time,journal,doi_info,authors,key words,title,abstract
2024 Aug,Ultrasound in medicine & biology,Ultrasound Med Biol. 2024 Aug;50(8):1232-1239. doi: ,"['Li, Shouqiang', 'Chen, Cheng', 'Lof, John', 'Stolze, Elizabeth A', 'Sklenar, Jiri', 'Chen, Xucai', 'Pacella, John J', 'Villanueva, Flordeliza S', 'Matsunaga, Terry O', 'Everbach, E Carr', 'Radio, Stanley J', 'Westphal, Sherry', 'Xie, Feng', 'Leng, Xiaoping', 'Porter, Thomas R']","['animals', ' fluorocarbons', 'rats', ' myocardial infarction physiopathology', ' rats, sprague-dawley', 'male', ' contrast media', 'microbubbles', 'body temperature', 'acoustics', 'acoustic activation', 'body temperature', 'droplets', 'imaging', 'perfluoropropane']",Effect of Ambient Conditions on Acoustic Activation of the Perfluoropropane Droplets Within the Infarct Zone.,"BACKGROUND: Acoustically activated perfluoropropane droplets (PD) formulated from lipid encapsulated microbubble preparations produce a delayed myocardial contrast enhancement that preferentially highlights the infarct zones (IZ). Since activation of PDs may be temperature sensitive, it is unclear what effect body temperature (BT) has on acoustic activation (AA). OBJECTIVE: We sought to determine whether the microvascular retention and degree of myocardial contrast intensity (M"
2024 Jun,Journal of ultrasound in medicine : official journal of the American Institute of ,J Ultrasound Med. 2024 Jun;43(6):1063-1080. doi: 10.1002/jum.16435. Epub 2024 Mar ,"['Li, Shouqiang', 'Chen, Cheng', 'Lof, John', 'Stolze, Elizabeth A', 'Sklenar, Jiri', 'Chen, Xucai', 'Pacella, John J', 'Villanueva, Flordeliza S', 'Matsunaga, Terry O', 'Everbach, E Carr', 'Radio, Stanley J', 'Westphal, Sherry N', 'Shiva, Sruti', 'Xie, Feng', 'Leng, Xiaoping', 'Porter, Thomas R']","['animals', ' fluorocarbons pharmacokinetics', 'swine', 'rats', ' myocardial infarction diagnostic imaging', 'male', 'contrast media pharmacokinetics', 'nanoparticles', 'rats, sprague-dawley', 'myocardium metabolism', 'disease models, animal', 'myocardial reperfusion injury diagnostic imaging', 'microbubbles', 'female', 'ultrasonography methods', 'acoustic activation', 'droplets', 'imaging', 'myocardial ischemia', 'perfluoropropane', 'reperfusion']",Acoustic Activation Imaging With Intravenous Perfluoropropane Nanodroplets Results in Selective Bioactivation of the Risk Area.,"BACKGROUND: Acoustically activatable perfluoropropane droplets (PD) can be formulated from commercially available microbubble preparations. Diagnostic transthoracic ultrasound frequencies have resulted in acoustic activation (AA) predominately within myocardial infarct zones (IZ). OBJECTIVE: We hypothesized that the AA area following acute coronary ischemia/reperfusion (I/R) would selectively enhance the developing scar zone, and target bioeffects specifically to this region. METHODS: We administered intravenous PD in 36 rats and 20 pigs at various stages of myocardial scar formation (30 minutes, 1 day, and 7 days post I/R) to determine what effect infarct age had on the AA within the IZ. This was correlated with histology, myeloperoxidase activity, and tissue nitrite activity. RESULTS: The degree of AA within the IZ in rats was not associated with collagen content, neutrophil infiltration, or infarct age. AA within 24 hours of I/R was associated with increased nitric oxide utilization selectively within the IZ (P < .05 compared with remote zone). The spatial extent of AA in pigs correlated with infarct size only when performed before sacrifice at 7 days (r = .74, P < .01). CONCLUSIONS: Acoustic activation of intravenous PD enhances the developing scar zone following I/R, and results in selective tissue nitric oxide utilization."
2024,Nanotheranostics,Nanotheranostics. 2024 Jan 1;8(1):33-47. doi: 10.7150/ntno.85092. eCollection ,"['Mohammed, Soheb Anwar', 'Amjad, Muhammad Wahab', 'Acosta, Maria F', 'Chen, Xucai', 'Lavery, Linda', 'Hanrahan, Dillon', 'Unger, Evan C', 'Meuillet, Emmanuelle J', 'Pacella, John J']","['rats', 'animals', 'swine', ' microbubbles', ' percutaneous coronary intervention', 'ultrasonography', 'peptides', 'lipids', 'cavitation', 'fibrin-targeted microbubbles', 'microvascular obstruction', 'phase-shift microbubbles', 'sonoreperfusion']",Fibrin-targeted phase shift microbubbles for the treatment of microvascular obstruction.,Rationale: Microvascular obstruction (MVO) following percutaneous coronary intervention (P
2023 Mar,Transplantation proceedings,Transplant Proc. 2023 Mar;55(2):485-495. doi: 10.1016/j.transproceed.2023.02.003. ,"['Hughes, Christopher B', 'Nigmet, Yermek', 'Villanueva, Flordeliza S', 'Chen, Xucai', 'Demetris, Anthony J', 'Stolz, Donna B', 'Pacella, John J', 'Humar, Abhinav']","['rats', 'animals', ' microbubbles', 'organ preservation methods', 'liver surgery', 'perfusion methods', ' thrombosis etiology prevention & control', 'graft survival']",Ultrasound-Targeted Microbubble Cavitation During Machine Perfusion Reduces Microvascular Thrombi and Graft Injury in a Rat Liver Model of Donation After Circulatory Death.,"BACKGROUND: Ischemic cholangiopathy is a process of bile duct injury that might result from peribiliary vascular plexus (PBP) thrombosis and remains a dreaded complication in liver transplantation from donors after circulatory death (DCD). The aim of this study was to propose a mechanical method of clot destruction to clear microvascular thrombi in DCD livers before transplantation. METHODS: Sonothrombolysis (STL) is a process by which inertial cavitation of circulating microbubbles entering an ultrasound field create a high-energy shockwave at a microbubble-thrombus interface, causing mechanical clot destruction. The effectiveness of STL in DCD liver treatment remains unclear. We carried out STL treatment during normothermic, oxygenated, ex vivo machine perfusion (NMP), introducing microbubbles into the perfusate with the liver enveloped in an ultrasound field. RESULTS: The STL livers showed reduction in hepatic arterial and PBP thrombus and decreases in hepatic arterial and portal venous flow resistance, reduced parenchymal injury as measured by aspartate transaminase release and oxygen consumption, and improved cholangiocyte function. Light and electron microscopy showed reduction of hepatic arterial and PBP thrombus in STL livers compared with controls and preserved hepatocyte structure, sinusoid endothelial morphology, and biliary epithelial microvilli. CONCLUSION: In this model, STL improved flow and functional measures in DCD livers undergoing NMP. These data suggest a novel therapeutic approach to treat PBP injury in DCD livers, which may ultimately increase the pool of grafts available to patients awaiting liver transplantation."
2023 Feb 28,JAMA,JAMA. 2023 Feb 28;329(8):651-661. doi: 10.1001/jama.2023.0713.,"['Azizi, Michel', 'Saxena, Manish', 'Wang, Yale', 'Jenkins, J Stephen', 'Devireddy, Chandan', 'Rader, Florian', 'Fisher, Naomi D L', 'Schmieder, Roland E', 'Mahfoud, Felix', 'Lindsey, Jason', 'Sanghvi, Kintur', 'Todoran, Thomas M', 'Pacella, John', 'Flack, John', 'Daemen, Joost', 'Sharp, Andrew S P', 'Lurz, Philipp', 'Bloch, Michael J', 'Weber, Michael A', 'Lobo, Melvin D', 'Basile, Jan', 'Claude, Lisa', 'Reeve-Stoffer, Helen', 'McClure, Candace K', 'Kirtane, Ajay J']","['female', 'humans', 'male', 'middle aged', 'antihypertensive agents therapeutic use', ' denervation methods', 'endovascular procedures', ' hypertension surgery', 'kidney diagnostic imaging innervation', ' ultrasonography, interventional methods', 'vascular surgical procedures', 'single-blind method']",Endovascular Ultrasound Renal Denervation to Treat Hypertension: The RADIANCE II Randomized Clinical Trial.,"IMPORTANCE: Two initial sham-controlled trials demonstrated that ultrasound renal denervation decreases blood pressure (BP) in patients with mild to moderate hypertension and hypertension that is resistant to treatment. OBJECTIVE: To study the efficacy and safety of ultrasound renal denervation without the confounding influence of antihypertensive medications in patients with hypertension. DESIGN, SETTING, AND PARTI"
2023 Apr,Ultrasound in medicine & biology,Ultrasound Med Biol. 2023 Apr;49(4):996-1006. doi: ,"['Chen, Xianghui', 'Chen, Xucai', 'Wang, Jianjun', 'Yu, Francois T H', 'Villanueva, Flordeliza S', 'Pacella, John J']","[' microbubbles', ' ultrasonic therapy', 'acoustics', 'lipids', 'high-speed microscopy', 'microbubble dynamics', 'sonoreperfusion', 'ultrasound contrast agents', 'ultrasound therapy', 'ultrasound-targeted microbubble cavitation']",Dynamic Behavior of Polymer Microbubbles During Long Ultrasound Tone-Burst Excitation and Its Application for Sonoreperfusion Therapy.,"OBJECTIVE: Ultrasound (US)-targeted microbubble (MB) cavitation (UTMC)-mediated therapies have been found to restore perfusion and enhance drug/gene delivery. Because of the potentially longer circulation time and relative ease of storage and reconstitution of polymer-shelled MBs compared with lipid MBs, we investigated the dynamic behavior of polymer microbubbles and their therapeutic potential for sonoreperfusion (SRP) therapy. METHODS: The fate of polymer MBs during a single long tone-burst exposure (1 MHz, 5 ms) at various acoustic pressures and MB concentrations was recorded via high-speed microscopy and passive cavitation detection (PCD). SRP efficacy of the polymer MBs was investigated in an in vitro flow system and compared with that of lipid MBs. DISCUSSION: Microscopy videos indicated that polymer MBs formed gas-filled clusters that continued to oscillate, fragment and form new gas-filled clusters during the single US burst. PCD confirmed continued acoustic activity throughout the 5-ms US excitation. SRP efficacy with polymer MBs increased with pulse duration and acoustic pressure similarly to that with lipid MBs but no significant differences were found between polymer and lipid MBs. CONCLUSION: These data suggest that persistent cavitation activity from polymer MBs during long tone-burst US excitation confers excellent reperfusion efficacy."
2023 Jan,Ultrasound in medicine & biology,Ultrasound Med Biol. 2023 Jan;49(1):152-164. doi: ,"['Yu, François T H', 'Amjad, Muhammad Wahab', 'Mohammed, Soheb Anwar', 'Yu, Gary Z', 'Chen, Xucai', 'Pacella, John J']","['animals', ' microbubbles', 'ultrasonography', ' ultrasonic therapy methods', 'reperfusion', 'hindlimb', 'microbubbles', 'microvascular obstruction', 'sonoreperfusion therapy', 'ultrasound']",Effect of Ultrasound Pulse Length on Sonoreperfusion Therapy.,"In recent years, long- and short-pulse ultrasound (US)-targeted microbubble cavitation (UTMC) has been found to increase perfusion in healthy and ischemic skeletal muscle, in pre-clinical animal models of microvascular obstruction and in the myocardium of patients presenting with acute myocardial infarction. There is evidence that the observed microvascular vasodilation is driven by the nitric oxide pathway and purinergic signaling, but the time course of the response and the dependency on US pulse length are not well elucidated. Because our prior data supported that sonoreperfusion efficacy is enhanced by long-pulse US versus short-pulse US, in this study, we sought to compare long-pulse (5000 cycles) and short-pulse (500 × 10 cycles) US at a pressure of 1.5 MPa with an equivalent total number of acoustical cycles, hence constant acoustic energy, and at the same frequency (1 MHz), in a rodent hind limb model with and without microvascular obstruction (MVO). In quantifying perfusion using burst replenishment contrast-enhanced US imaging, we made three findings: (i) Long and short pulses result in different vasodilation kinetics in an intact hind limb model. The long pulse causes an initial spasmic reduction in flow that spontaneously resolved at 4 min, followed by sustained higher flow rates (approximately twofold) compared with baseline, starting 10 min after therapy (p < 0.05). The short pulse caused a short-lived approximately twofold increase in flow rate that peaked at 4 min (p < 0.05), but without the initial spasm. (ii) The sustained increased response with the long pulse is not simply reactive hyperemia. (iii) Both pulses are effective in reperfusion of MVO in our hindlimb model by restoring blood volume, but only the long pulse caused an increase in flow rate after treatment ii, compared with MVO (p < 0.05). Histological analysis of hind limb muscle post-UTMC with either pulse configuration indicates no evidence of tissue damage or hemorrhage. Our findings indicate that the microbubble oscillation induces vasodilation, and therapeutic efficacy for the treatment of MVO can be tuned by varying pulse length; relative to short-pulse US, longer pulses drive greater microbubble cavitation and more rapid microvascular flow rate restoration after MVO, warranting further optimization of the pulse length for sonoreperfusion therapy."
2023 Jan 15,International journal of cardiology,Int J Cardiol. 2023 Jan 15;371:80-81. doi: 10.1016/j.ijcard.2022.10.005. Epub ,"['Chaudhary, Rahul', 'Bashline, Michael', 'Novelli, Enrico M', 'Bliden, Kevin P', 'Tantry, Udaya S', 'Olafiranye, Oladipupo', 'Nouraie, Seyed Mehdi', 'Gurbel, Paul A', 'Pacella, John J']","['male', 'humans', 'female', 'coronary angiography', ' coronary stenosis', ' stroke diagnosis epidemiology etiology', 'risk factors', 'prognosis', 'coronary vessels', ' coronary artery disease', 'mace', 'myocardial infarction with nonobstructive coronary arteries', 'sex-related differences', 'stroke']",Reply to: Among patients with MINOCA women versus men have the increased risks of MACE and stroke?,
2022 Nov,Ultrasound in medicine & biology,Ultrasound Med Biol. 2022 Nov;48(11):2322-2334. doi: ,"['Zeng, Ping', 'Chen, Cheng', 'Lof, John', 'Stolze, Elizabeth', 'Li, Shouqiang', 'Chen, Xucai', 'Pacella, John', 'Villanueva, Flordeliza S', 'Matsunaga, Terry', 'Everbach, E Carr', 'Fei, Hongwen', 'Xie, Feng', 'Porter, Thomas']","['acoustics', 'animals', 'contrast media', ' fluorocarbons', 'microbubbles', ' myocardial infarction', 'rats', 'swine', 'acoustic activation', 'droplets', 'imaging', 'inertial cavitation', 'microbubbles', 'myocardial ischemia', 'perfluoropropane', 'stable cavitation', 'transthoracic']",Acoustic Detection of Retained Perfluoropropane Droplets Within the Developing Myocardial Infarct Zone.,"Perfluoropropane droplets (PDs) cross endothelial barriers and can be acoustically activated for selective myocardial extravascular enhancement following intravenous injection (IVI). Our objective was to determine how to optimally activate extravascular PDs for transthoracic ultrasound-enhanced delineation of a developing scar zone (DSZ). Ultrafast-frame-rate microscopy was conducted to determine the effect of pulse sequence on the threshold of bubble formation from PDs. In vitro studies were subsequently performed at different flow rates to determine acoustic activation and inertial cavitation thresholds for a PD infusion using multipulse fundamental non-linear or single-pulse harmonic imaging. IVIs of PDs were given in 9 rats and 10 pigs following prolonged left anterior descending ischemia to detect and quantify PD kinetics within the DSZ. A multipulse sequence had a lower myocardial index threshold for acoustic activation by ultrafast-frame-rate microscopy. Acoustic activation was observed at a myocardial index ≥0.4 below the inertial cavitation threshold for both pulse sequences. In rats, confocal microscopy and serial acoustic activation imaging detected higher droplet presence (relative to remote regions) within the DSZ at 3 min post-IVI. Transthoracic high-mechanical-index impulses with fundamental non-linear imaging in pigs at this time post-IVI resulted in selective contrast enhancement within the DSZ."
2022 Dec 15,International journal of cardiology,Int J Cardiol. 2022 Dec 15;369:1-4. doi: 10.1016/j.ijcard.2022.07.050. Epub 2022 ,"['Chaudhary, Rahul', 'Bashline, Michael', 'Novelli, Enrico M', 'Bliden, Kevin P', 'Tantry, Udaya S', 'Olafiranye, Oladipupo', 'Rahman, Aref', 'Gurbel, Paul A', 'Pacella, John J']","['coronary angiography adverse effects', ' coronary artery disease complications diagnosis epidemiology', 'estrogens', 'female', 'humans', 'male', 'middle aged', ' myocardial infarction diagnosis epidemiology etiology', 'prognosis', 'risk factors', 'sex factors', ' stroke complications', 'mace', 'minoca', 'sex differences', 'stroke', 'thrombogenicity']",Sex-related differences in clinical outcomes among patients with myocardial infarction with nonobstructive coronary artery disease: A systematic review and meta-analysis.,"BACKGROUND: Among patients who present with acute myocardial infarction (MI), 2-6% are found to have non-obstructive coronary arteries (NOCA). Patients with MINOCA are more commonly women and present at a younger age (51-59 years). The influence of sex on adverse event rates remains unclear. METHODS: PubMed, MEDLINE, CENTRAL (Cochrane Central Register of Controlled Trials), EMBASE, EBSCO, Web of Science and"
