time,journal,doi_info,authors,key words,title,abstract
2022 Oct,ERJ open research,ERJ Open Res. 2022 Dec 12;8(4):00382-2022. doi: 10.1183/23120541.00382-2022. ,"['Corcoran, Timothy E', 'Bertrand, Carol A', 'Myerburg, Michael M', 'Weiner, Daniel J', 'Frizzell, Sheila A', 'Li, Anna', 'Agostini, Brittani', 'Parker, Robert S', 'Shapiro, Monica E', 'Muthukrishnan, Ashok', 'Hages, Nicholas D', 'Mulhern, Brian P', 'Pilewski, Joseph M']",[],Nasal epithelial cell culture fluorescence recovery after photobleaching predicts cystic fibrosis therapeutic response.,"BACKGROUND: Human nasal epithelial (HNE) cells can be sampled noninvasively and cultured to provide a model of the airway epithelium that reflects cystic fibrosis (CF) pathophysiology. We hypothesised that in vitro measures of HNE cell physiology would correlate directly with in vivo measures of lung physiology and therapeutic response, providing a framework for using HNE cells for therapeutic development and precision medicine. METHODS: We sampled nasal cells from participants with CF (CF group, n=26), healthy controls (HC group, n=14) and single CF transmembrane conductance regulator (CFTR) mutation carrier parents of the CF group (CR group, n=16). Participants underwent lung physiology and sweat chloride testing, and nuclear imaging-based measurement of mucociliary clearance (MCC) and small-molecule absorption (ABS). CF participants completed a second imaging day that included hypertonic saline (HS) inhalation to assess therapeutic response in terms of MCC. HNE measurements included Ussing chamber electrophysiology, small-molecule and liquid absorption rates, and particle diffusion rates through the HNE airway surface liquid (ASL) measured using fluorescence recovery after photobleaching (FRAP). RESULTS: Long FRAP diffusion times were associated with increased MCC response to HS in CF. This implies a strong relationship between inherent factors affecting ASL mucin concentration and therapeutic response to a hydrating therapy. MCC decreased with age in the CR group, which had a larger range of ages than the other two groups. Likely this indicates a general age-related effect that may be accentuated in this group. Measures of lung ABS correlated with sweat chloride in both the HC and CF groups, indicating that CFTR function drives this measure of paracellular small-molecule probe absorption. CONCLUSIONS: Our results demonstrate the utility of HNE cultures for assessing therapeutic response for hydrating therapies. In vitro measurements of FRAP were particularly useful for predicting response and for characterising important properties of ASL mucus that were ultimately reflected in lung physiology."
2022,Frontiers in medicine,Front Med (Lausanne). 2022 May 19;9:794423. doi: 10.3389/fmed.2022.794423. ,"['Aldewereld, Zachary T', 'Zhang, Li Ang', 'Urbano, Alisa', 'Parker, Robert S', 'Swigon, David', 'Banerjee, Ipsita', 'Gómez, Hernando', 'Clermont, Gilles']","['hierarchical clustering', 'machine learning', 'phenotypes', 'sepsis', 'septic shock']",Identification of Clinical Phenotypes in Septic Patients Presenting With Hypotension or Elevated Lactate.,"INTRODUCTION: Targeted therapies for sepsis have failed to show benefit due to high variability among subjects. We sought to demonstrate different phenotypes of septic shock based solely on clinical features and show that these relate to outcome. METHODS: A retrospective analysis was performed of a 1,023-subject cohort with early septic shock from the ProCESS trial. Twenty-three clinical variables at baseline were analyzed using hierarchical clustering, with consensus clustering used to identify and validate the ideal number of clusters in a derivation cohort of 642 subjects from 20 hospitals. Clusters were visualized using heatmaps over 0, 6, 24, and 72 h. Clinical outcomes were 14-day all-cause mortality and organ failure pattern. Cluster robustness was confirmed in a validation cohort of 381 subjects from 11 hospitals. RESULTS: Five phenotypes were identified, each with unique organ failure patterns that persisted in time. By enrollment criteria, all patients had shock. The two high-risk phenotypes were characterized by distinct multi-organ failure patterns and cytokine signatures, with the highest mortality group characterized most notably by liver dysfunction and coagulopathy while the other group exhibited primarily respiratory failure, neurologic dysfunction, and renal dysfunction. The moderate risk phenotype was that of respiratory failure, while low-risk phenotypes did not have a high degree of additional organ failure. CONCLUSIONS: Sepsis phenotypes with distinct biochemical abnormalities may be identified by clinical characteristics alone and likely provide an opportunity for early clinical actionability and prognosis."
2021 Feb,Transfusion,Transfusion. 2021 Feb;61(2):423-434. doi: 10.1111/trf.16216. Epub 2020 Dec 11.,"['Pressly, Michelle A', 'Parker, Robert S', 'Waters, Jonathan H', 'Beck, Stacy L', 'Jeyabalan, Arundhathi', 'Clermont, Gilles']","['adult', 'blood transfusion  statistics & numerical data', 'cesarean section statistics & numerical data', 'databases, factual statistics & numerical data', 'datasets as topic statistics & numerical data', 'delivery, obstetric methods', 'female', 'humans', ' logistic models', 'peripartum period', 'postpartum hemorrhage  epidemiology therapy', 'pregnancy', 'pregnancy complications epidemiology', 'pregnancy complications, hematologic  epidemiology therapy', 'procedures and techniques utilization statistics & numerical data', ' roc curve', 'risk assessment  methods statistics & numerical data', 'risk factors', 'smoking epidemiology', 'uterine hemorrhage  epidemiology therapy', 'cmqcc', 'momi database', 'antepartum', 'logistic regression', 'maternal hemorrhage', 'peripartum', 'postpartum', 'risk prediction']",Improvements and limitations in developing multivariate models of hemorrhage and transfusion risk for the obstetric population.,"BACKGROUND: Maternal hemorrhage protocols involve risk screening. These protocols prepare clinicians for potential hemorrhage and transfusion in individual patients. Patient-specific estimation and stratification of risk may improve maternal outcomes. STUDY DESIGN AND METHODS: Prediction models for hemorrhage and transfusion were trained and tested in a data set of 74 variables from 63 973 deliveries (97.6% of the source population of 65 560 deliveries included in a perinatal database from an academic urban delivery center) with sufficient data at pertinent time points: antepartum, peripartum, and postpartum. Hemorrhage and transfusion were present in 6% and 1.6% of deliveries, respectively. Model performance was evaluated with the receiver operating characteristic (ROC), precision-recall curves, and the Hosmer-Lemeshow calibration statistic. RESULTS: For hemorrhage risk prediction, logistic regression model discrimination showed ROCs of 0.633, 0.643, and 0.661 for the antepartum, peripartum, and postpartum models, respectively. These improve upon the California Maternal Quality Care Collaborative (CMQCC) accuracy of 0.613 for hemorrhage. Predictions of transfusion resulted in ROCs of 0.806, 0.822, and 0.854 for the antepartum, peripartum, and postpartum models, respectively. Previously described and new risk factors were identified. Models were not well calibrated with Hosmer-Lemeshow statistic P values between .001 and .6. CONCLUSIONS: Our models improve on existing risk assessment; however, further enhancement might require the inclusion of more granular, dynamic data. With the goal of increasing translatability, this work was distilled to an online open-source repository, including a form allowing risk factor inputs and outputs of CMQCC risk, alongside our numerical risk estimation and stratification of hemorrhage and transfusion."
2020 May,The journal of trauma and acute care surgery,J Trauma Acute Care Surg. 2020 May;88(5):654-660. doi: ,"['Pressly, Michelle A', 'Parker, Robert S', 'Neal, Matthew D', 'Sperry, Jason L', 'Clermont, Gilles']","['adult', 'algorithms', 'blood coagulation disorders blood  diagnosis therapy', 'blood component transfusion  statistics & numerical data', 'clinical trials as topic', 'female', 'humans', 'male', 'middle aged', ' models, cardiovascular', 'platelet activation', 'platelet count', 'point-of-care systems statistics & numerical data', 'prognosis', 'thrombelastography instrumentation  statistics & numerical data', 'time factors', 'wounds and injuries blood  complications therapy', 'young adult']",Accelerating availability of clinically-relevant parameter estimates from thromboelastogram point-of-care device.,"BACKGROUND: Modeling approaches offer a novel way to detect and predict coagulopathy in trauma patients. A dynamic model, built and tested on thromboelastogram (TEG) data, was used to generate a virtual library of over 160,000 simulated RapidTEGs. The patient-specific parameters are the initial platelet count, platelet activation rate, thrombus growth rate, and lysis rate (P(0), k1, k2, and k3, respectively). METHODS: Patient data from both STAAMP (n = 182 patients) and PAMPer (n = 111 patients) clinical trials were collected. A total of 873 RapidTEGs were analyzed. One hundred sixteen TEGs indicated maximum amplitude (MA) below normal and 466 TEGs indicated lysis percent above normal. Each patient's TEG response was compared against the virtual library of TEGs to determine library trajectories having the least sum-of-squared error versus the patient TEG up to each specified evaluation time ∈ (3, 4, 5, 7.5, 10, 15, 20 minutes). Using 10 nearest-neighbor trajectories, a logistic regression was performed to predict if the patient TEG indicated MA below normal (<50 mm), lysis percent 30 minutes after MA (LY30) greater than 3%, and/or blood transfusion need using the parameters from the dynamic model. RESULTS: The algorithm predicts abnormal MA values using the initial 3 minutes of RapidTEG data with a median area under the curve of 0.95, and improves with more data to 0.98 by 10 minutes. Prediction of future platelet and packed red blood cell transfusion based on parameters at 4 and 5 minutes, respectively, provides equivalent predictions to the traditional TEG parameters in significantly less time. Dynamic model parameters could not predict abnormal LY30 or future fresh-frozen plasma transfusion. CONCLUSION: This analysis could be incorporated into TEG software and workflow to quickly estimate if the MA would be below or above threshold value within the initial minutes following a TEG, along with an estimate of what blood products to have on hand. LEVEL OF EVIDENCE: Therapeutic/Care Management: Level IV."
2019 Oct,Journal of pharmacokinetics and pharmacodynamics,J Pharmacokinet Pharmacodyn. 2019 Oct;46(5):457-472. doi: ,"['Serrano Castillo, Florencio', 'Bertrand, Carol A', 'Myerburg, Michael M', 'Shapiro, Monica E', 'Corcoran, Timothy E', 'Parker, Robert S']","['adult', 'case-control studies', 'cells, cultured', 'cystic fibrosis  metabolism', 'female', 'humans', 'ion transport', 'male', ' models, biological', 'nasal mucosa  metabolism', 'pentetic acid  pharmacokinetics', 'permeability', 'technetium pharmacokinetics', 'young adult', 'airway surface liquid layer', 'cftr', 'cystic fibrosis', 'electrophysiology', 'human nasal epithelial', 'quantitative systems pharmacology']",A physiologically-motivated model of cystic fibrosis liquid and solute transport dynamics across primary human nasal epithelia.,"Cystic fibrosis (CF) disease is caused by mutations affecting the gene coding for the cystic fibrosis transmembrane conductance regulator (CFTR), an anion channel expressed in the mucosal side of epithelial tissue. In the airway, dysfunctional CFTR results in a transepithelial osmotic imbalance leading to hyperabsorption of airway surface liquid mucostasis, chronic inflammation, and eventual respiratory failure. Human nasal epithelial cell cultures from healthy and CF donors were used to perform studies of liquid and solute transport dynamics at an air/liquid interface in order to emulate the in vivo airway. Then, these results were used to inform a quantitative systems pharmacology model of airway epithelium describing electrically and chemically driven transcellular ionic transport, contributions of both convective and diffusive paracellular solute transport, and osmotically driven transepithelial water dynamics. Model predictions showed CF cultures, relative to non-CF ones, have increased apical and basolateral water permeabilities, and increase paracellular permeability and transepithelial chemical driving force for a radiolabeled tracer used to track small molecule absorption. These results provide a computational platform to better understand and probe the mechanisms behind the liquid hyperabsorption and small molecule retention profiles observed in the CF airway."
2018 Feb 2,Computers & chemical engineering,Comput Chem Eng. 2018 Feb 2;110:1-12. doi: 10.1016/j.compchemeng.2017.11.011. ,"['Zhang, Li Ang', 'Urbano, Alisa', 'Clermont, Gilles', 'Swigon, David', 'Banerjee, Ipsita', 'Parker, Robert S']","['bayesian inference', 'mcmc', 'simulation']","APT-MCMC, a C++/Python implementation of Markov Chain Monte Carlo for parameter identification.","The inverse problem associated with fitting parameters of an ordinary differential equation (ODE) system to data is nonlinear and multimodal, which is of great challenge to gradient-based optimizers. Markov Chain Monte Carlo (MCMC) techniques provide an alternative approach to solving these problems and can escape local minima by design. APT-MCMC was created to allow users to setup ODE simulations in Python and run as compiled C++ code. It combines affine-invariant ensemble of samplers and parallel tempering MCMC techniques to improve the simulation efficiency. Simulations use Bayesian inference to provide probability distributions of parameters, which enable analysis of multiple minima and parameter correlation. Benchmark tests result in a 20×-60× speedup but 14% increase in memory usage against emcee, a similar MCMC package in Python. Several MCMC hyperparameters were analyzed: number of temperatures, ensemble size, step size, and swap attempt frequency. Heuristic tuning guidelines are provided for setting these hyperparameters."
2018,IFAC-PapersOnLine,IFAC Pap OnLine. 2018;51(19):52-55. doi: 10.1016/j.ifacol.2018.09.038. Epub 2018 ,"['Pressly, Michelle A', 'Neal, Matthew D', 'Waters, Jonathan H', 'Clermont, Gilles', 'Parker, Robert S']","['clotting', 'nonlinear dynamic modeling', 'obstetrics', 'postpartum hemorrhage', 'venous thromboembolism']",Coupled Model of Blood Volume and Activated Clotting Factor Concentration during Childbirth.,"Obstetric patients show an increased risk of developing venous thromboembolism (VTE). Modeling the changes that occur during and after delivery may help determine which patients will develop VTE and when they might be likely to develop this dangerous complication after delivery. Combining a model of blood volume changes with a model of activated clotting factor concentrations, which are both affected during delivery, can identify scenarios that may lead to an increased risk of developing clots in the venous vascular space. This Ordinary Differential Equation (ODE) model recapitulates known phenomena including an elevated coagulation response during delivery and hemorrhage leading to increased clotting factor concentration in the vascular space. The simulation from normal activation without hemorrhage results in a spike in clotting factors in the vascular space to reestablish hemostasis after delivery. With twice the activation rate, simulations show elevated and extended duration of activated clotting factor presence in the vascular space. With response to a hemorrhage with normal activation, the resulting elevation and duration is further increased. This model, when tailored to individual patients, could lead to the development of a VTE risk assessment tool for clinicians to help mitigate and reduce an individual's risk of developing this deadly complication."
2018,IFAC-PapersOnLine,IFAC Pap OnLine. 2018;51(19):118-119. doi: 10.1016/j.ifacol.2018.09.013. Epub ,"['McCarroll, Matthew J', 'Clermont, Gilles', 'Gomez, Hernando', 'Swigon, David', 'Parker, Robert S']","['aki', 'bioenergetics', 'image analysis', 'microcirculation', 'mitochondria']",Characterization of Blood Volume Space and Mitochondrial Activity in Functional Renal Cells.,"Renal function can become compromised in the event of shock, leading to acute kidney injury (AKI). As a result, microcirculatory dysfunction and disruption of oxygen homeostastis is observed, which leads to a shift in mitochondrial bioenergetics. These events can be studied by assessing the functionality in healthy, normal states and diseased states. Characterization of the spatial heterogeneity of mitochondrial activity and capillary blood volume space in healthy renal cells was performed using intravital multi-photon microscopy. The developed metrics that were used for depiction and quantification of the physiologic normal state can be applied to a diseased state, allowing the extent of microcirculatory dysfunction to be observed and evaluated."
2017 Dec 1,Journal of virology,J Virol. 2017 Nov 14;91(23):e00395-17. doi: 10.1128/JVI.00395-17. Print 2017 Dec ,"['Keef, Ericka', 'Zhang, Li Ang', 'Swigon, David', 'Urbano, Alisa', 'Ermentrout, G Bard', 'Matuszewski, Michael', 'Toapanta, Franklin R', 'Ross, Ted M', 'Parker, Robert S', 'Clermont, Gilles']","['adaptive immunity', 'age factors', 'animals', 'chemokines immunology', 'cytokines immunology', ' host-pathogen interactions', 'immunity, innate', ' immunosenescence', 'influenza a virus, h1n1 subtype immunology', 'lung virology', 'mice', 'mice, inbred balb c', ' models, immunological', 'orthomyxoviridae infections  immunology virology', 'survival analysis', 'host-pathogen interactions', 'immunosenescence', 'influenza', 'mathematical modeling', 'viral clearance']",Discrete Dynamical Modeling of Influenza Virus Infection Suggests Age-Dependent Differences in Immunity.,"Immunosenescence, an age-related decline in immune function, is a major contributor to morbidity and mortality in the elderly. Older hosts exhibit a delayed onset of immunity and prolonged inflammation after an infection, leading to excess damage and a greater likelihood of death. Our study applies a rule-based model to infer which components of the immune response are most changed in an aged host. Two groups of BALB/c mice (aged 12 to 16 weeks and 72 to 76 weeks) were infected with 2 inocula: a survivable dose of 50 PFU and a lethal dose of 500 PFU. Data were measured at 10 points over 19 days in the sublethal case and at 6 points over 7 days in the lethal case, after which all mice had died. Data varied primarily in the onset of immunity, particularly the inflammatory response, which led to a 2-day delay in the clearance of the virus from older hosts in the sublethal cohort. We developed a Boolean model to describe the interactions between the virus and 21 immune components, including cells, chemokines, and cytokines, of innate and adaptive immunity. The model identifies distinct sets of rules for each age group by using Boolean operators to describe the complex series of interactions that activate and deactivate immune components. Our model accurately simulates the immune responses of mice of both ages and with both inocula included in the data (95% accurate for younger mice and 94% accurate for older mice) and shows distinct rule choices for the innate immunity arm of the model between younger and aging mice in response to influenza A virus infection.IMPORTANCE Influenza virus infection causes high morbidity and mortality rates every year, especially in the elderly. The elderly tend to have a delayed onset of many immune responses as well as prolonged inflammatory responses, leading to an overall weakened response to infection. Many of the details of immune mechanisms that change with age are currently not well understood. We present a rule-based model of the intrahost immune response to influenza virus infection. The model is fit to experimental data for young and old mice infected with influenza virus. We generated distinct sets of rules for each age group to capture the temporal differences seen in the immune responses of these mice. These rules describe a network of interactions leading to either clearance of the virus or death of the host, depending on the initial dosage of the virus. Our models clearly demonstrate differences in these two age groups, particularly in the innate immune responses."
2016 May,The European respiratory journal,Eur Respir J. 2016 May;47(5):1392-401. doi: 10.1183/13993003.01880-2015. Epub ,"['Locke, Landon W', 'Myerburg, Michael M', 'Weiner, Daniel J', 'Markovetz, Matthew R', 'Parker, Robert S', 'Muthukrishnan, Ashok', 'Weber, Lawrence', 'Czachowski, Michael R', 'Lacy, Ryan T', 'Pilewski, Joseph M', 'Corcoran, Timothy E']","['administration, inhalation', 'adult', 'aerosols', 'cystic fibrosis complications  microbiology', 'disease progression', 'female', 'humans', 'longitudinal studies', 'male', 'middle aged', ' mucociliary clearance', 'mucus microbiology', 'pseudomonas infections complications  pathology', ' pseudomonas aeruginosa', 'radionuclide imaging', 'radiopharmaceuticals administration & dosage', 'respiratory system physiopathology', 'young adult']",Pseudomonas infection and mucociliary and absorptive clearance in the cystic fibrosis lung.,"Airway surface liquid hyperabsorption and mucus accumulation are key elements of cystic fibrosis lung disease that can be assessed in vivo using functional imaging methods. In this study we evaluated experimental factors affecting measurements of mucociliary clearance (MCC) and small-molecule absorption (ABS) and patient factors associated with abnormal absorption and mucus clearance.Our imaging technique utilises two radiopharmaceutical probes delivered by inhalation. Measurement repeatability was assessed in 10 adult cystic fibrosis subjects. Experimental factors were assessed in 29 adult and paediatric cystic fibrosis subjects (51 scans). Patient factors were assessed in a subgroup with optimal aerosol deposition (37 scans; 24 subjects). Paediatric subjects (n=9) underwent initial and 2-year follow-up scans. Control subjects from a previously reported study are included for comparison.High rates of central aerosol deposition influenced measurements of ABS and, to a lesser extent, MCC. Depressed MCC in cystic fibrosis was only detectable in subjects with previous Pseudomonas aeruginosa infection. Cystic fibrosis subjects without P. aeruginosa had similar MCC to control subjects. Cystic fibrosis subjects had consistently higher ABS rates.We conclude that the primary experimental factor affecting MCC/ABS measurements is central deposition percentage. Depressed MCC in cystic fibrosis is associated with P. aeruginosa infection. ABS is consistently increased in cystic fibrosis."
