time,journal,doi_info,authors,key words,title,abstract
2024 Apr 20,Cancers,Cancers (Basel). 2024 Apr 20;16(8):1586. doi: 10.3390/cancers16081586.,"['Abdelhakiem, Mohamed K', 'Bao, Riyue', 'Pifer, Phillip M', 'Molkentine, David', 'Molkentine, Jessica', 'Hefner, Andrew', 'Beadle, Beth', 'Heymach, John V', 'Luke, Jason J', 'Ferris, Robert L', 'Pickering, Curtis R', 'Wang, Jing H', 'Patel, Ravi B', 'Skinner, Heath D']","['biomarkers', 'immune microenvironment', 'radiation', 'resistance', 'tumor microenvironment']",Th2 Cells Are Associated with Tumor Recurrence Following Radiation.,"The curative treatment of multiple solid tumors, including head and neck squamous cell carcinoma (HNSCC), utilizes radiation. The outcomes for HPV/p16-negative HNSCC are significantly worse than HPV/p16-positive tumors, with increased radiation resistance leading to worse locoregional recurrence (LRR) and ultimately death. This study analyzed the relationship between immune function and outcomes following radiation in HPV/p16-negative tumors to identify mechanisms of radiation resistance and prognostic immune biomarkers. A discovery cohort of 94 patients with HNSCC treated uniformly with surgery and adjuvant radiation and a validation cohort of 97 similarly treated patients were utilized. Tumor immune infiltrates were derived from RNAseq gene expression. The immune cell types significantly associated with outcomes in the discovery cohort were examined in the independent validation cohort. A positive association between high Th2 infiltration and LRR was identified in the discovery cohort and validated in the validation cohort. Tumor mutations in CREBBP/EP300 and CASP8 were significantly associated with Th2 infiltration. A pathway analysis of genes correlated with Th2 cells revealed the potential repression of the antitumor immune response and the activation of BRCA1-associated DNA damage repair in multiple cohorts. The Th2 infiltrates were enriched in the HPV/p16-negative HNSCC tumors and associated with LRR and mutations in CASP8, CREBBP/EP300, and pathways previously shown to impact the response to radiation."
2024 Mar 4,Scientific reports,Sci Rep. 2024 Mar 4;14(1):5305. doi: 10.1038/s41598-024-55296-y.,"['Vincze, Sarah R', 'Jaswal, Ambika P', 'Frederico, Stephen C', 'Nisnboym, Michal', 'Li, Bo', 'Xiong, Zujian', 'Sever, ReidAnn E', 'Sneiderman, Chaim T', 'Rodgers, Mikayla', 'Day, Kathryn E', 'Latoche, Joseph D', 'Foley, Lesley M', 'Hitchens, T Kevin', 'Frederick, Robin', 'Patel, Ravi B', 'Hadjipanayis, Costas G', 'Raphael, Itay', 'Nedrow, Jessie R', 'Edwards, W Barry', 'Kohanbash, Gary']","['humans', 'animals', 'mice', 'tissue distribution', ' glioma diagnostic imaging', ' glioblastoma diagnostic imaging', 'positron-emission tomography', 'receptors, immunologic', 'tumor microenvironment', 'brain tumor', 'glioma', 'immunosuppression', 'immunotherapy', 'tigit']",ImmunoPET imaging of TIGIT in the glioma microenvironment.,"Glioblastoma (GBM) is the most common primary malignant brain tumor. Currently, there are few effective treatment options for GBM beyond surgery and chemo-radiation, and even with these interventions, median patient survival remains poor. While immune checkpoint inhibitors (I"
2023 Jan,Journal for immunotherapy of cancer,J Immunother Cancer. 2023 Jan;11(1):e005463. doi: 10.1136/jitc-2022-005463.,"['Carlson, Peter M', 'Patel, Ravi B', 'Birstler, Jen', 'Rodriquez, Matthew', 'Sun, Claire', 'Erbe, Amy K', 'Bates, Amber M', 'Marsh, Ian', 'Grudzinski, Joseph', 'Hernandez, Reinier', 'Pieper, Alexander A', 'Feils, Arika S', 'Rakhmilevich, Alexander L', 'Weichert, Jamey P', 'Bednarz, Bryan P', 'Sondel, Paul M', 'Morris, Zachary S']","['mice', 'animals', ' cd8-positive t-lymphocytes', ' melanoma', 'immunotherapy methods', 'immunologic memory', 'vaccination', 'immunotherapy', 'radiotherapy', 'tumor microenvironment']",Radiation to all macroscopic sites of tumor permits greater systemic antitumor response to in situ vaccination.,"BACKGROUND: The antitumor effects of external beam radiation therapy (EBRT) are mediated, in part, by an immune response. We have reported that a single fraction of 12 Gy EBRT combined with intratumoral anti-GD2 hu14.18-IL2 immunocytokine (IC) generates an effective in situ vaccine (ISV) against GD2-positive murine tumors. This ISV is effective in eradicating single tumors with sustained immune memory; however, it does not generate an adequate abscopal response against macroscopic distant tumors. Given the immune-stimulatory capacity of radiation therapy (RT), we hypothesized that delivering RT to all sites of disease would augment systemic antitumor responses to ISV. METHODS: We used a syngeneic B78 murine melanoma model consisting of a 'primary' flank tumor and a contralateral smaller 'secondary' flank tumor, treated with 12 Gy EBRT and intratumoral IC immunotherapy to the primary and additional EBRT to the secondary tumor. As a means of delivering RT to all sites of disease, both known and occult, we also used a novel alkylphosphocholine analog, NM600, conjugated to (90)Y as a targeted radionuclide therapy (TRT). Tumor growth, overall survival, and cause of death were measured. Flow cytometry was used to evaluate immune population changes in both tumors. RESULTS: Abscopal effects of local ISV were amplified by delivering as little as 2-6 Gy of EBRT to the secondary tumor. When the primary tumor ISV regimen was delivered in mice receiving 12 Gy EBRT to the secondary tumor, we observed improved overall survival and more disease-free mice with immune memory compared with either ISV or 12 Gy EBRT alone. Similarly, TRT combined with ISV resulted in improved overall survival and a trend towards reduced tumor growth rates when compared with either treatment alone. Using flow cytometry, we identified an influx of CD8(+) T cells with a less exhausted phenotype in both the ISV-targeted primary and the distant secondary tumor following the combination of secondary tumor EBRT or TRT with primary tumor ISV. CONCLUSIONS: We report a novel use for low-dose RT, not as a direct antitumor modality but as an immunomodulator capable of driving and expanding antitumor immunity against metastatic tumor sites following ISV."
2022 Nov,"Journal of nuclear medicine : official publication, Society of Nuclear Medicine",J Nucl Med. 2022 Nov;63(11):1636-1641. doi: 10.2967/jnumed.122.264373. Epub 2022 ,"['Bellavia, Michael C', 'Patel, Ravi B', 'Anderson, Carolyn J']","['male', 'humans', ' radiopharmaceuticals', 'immune checkpoint inhibitors', ' prostatic neoplasms', 'radiobiology', '177lu-dotatate', '177lu-psma-617', '223ra', 'immune checkpoint', 'oncology: general', 'radiobiology', 'radionuclide therapy', 'targeted radiopharmaceutical therapy']",Combined Targeted Radiopharmaceutical Therapy and Immune Checkpoint Blockade: From Preclinical Advances to the Clinic.,Immune checkpoint inhibitors (I
2023 Jan 1,"International journal of radiation oncology, biology, physics",Int J Radiat Oncol Biol Phys. 2023 Jan 1;115(1):48-59. doi: ,"['Salerno, Kilian E', 'Roy, Soumyajit', 'Ribaudo, Cathy', 'Fisher, Teresa', 'Patel, Ravi B', 'Mena, Esther', 'Escorcia, Freddy E']","['humans', 'united states', ' radiopharmaceuticals therapeutic use', ' medical oncology', 'radiation oncologists', 'radionuclide imaging']",A Primer on Radiopharmaceutical Therapy.,"The goal of this article is to serve as a primer for the United States-based radiation oncologist who may be interested in learning more about radiopharmaceutical therapy (RPT). Specifically, we define RPT, review the data behind its current and anticipated indications, and discuss important regulatory considerations for incorporating it into clinical practice. RPT represents an opportunity for radiation oncologists to leverage 2 key areas of expertise, namely therapeutic radiation therapy and oncology, and apply them in a distinct context in collaboration with nuclear medicine and medical oncology colleagues. Although not every radiation oncologist will incorporate RPT into their day-to-day practice, it is important to understand the role for this modality and how it can be appropriately used in select patients."
2022 May 17,International journal of molecular sciences,Int J Mol Sci. 2022 May 17;23(10):5616. doi: 10.3390/ijms23105616.,"['Espinal, Alexis', 'Epperly, Michael W', 'Mukherjee, Amitava', 'Fisher, Renee', 'Shields, Donna', 'Wang, Hong', 'Huq, M Saiful', 'Hamade, Diala Fatima', 'Vlad, Anda M', 'Coffman, Lan', 'Buckanovich, Ronald', 'Yu, Jian', 'Leibowitz, Brian J', 'van Pijkeren, Jan-Peter', 'Patel, Ravi B', 'Stolz, Donna', 'Watkins, Simon', 'Ejaz, Asim', 'Greenberger, Joel S']","['endothelial cells', 'interleukins', 'intestinal mucosa metabolism', 'intestines', ' limosilactobacillus reuteri', ' probiotics', ' radiation protection', 'interleukin-22', 'lactobacillus reuteri-il-22', 'ionizing irradiation', 'radiation mitigation', 'radioprotection', 'whole abdomen irradiation']",Intestinal Radiation Protection and Mitigation by Second-Generation Probiotic Lactobacillus-reuteri Engineered to Deliver Interleukin-22.,"(1) Background: The systemic administration of therapeutic agents to the intestine including cytokines, such as Interleukin-22 (IL-22), is compromised by damage to the microvasculature 24 hrs after total body irradiation (TBI). At that time, there is significant death of intestinal microvascular endothelial cells and destruction of the lamina propria, which limits drug delivery through the circulation, thus reducing the capacity of therapeutics to stabilize the numbers of Lgr5+ intestinal crypt stem cells and their progeny, and improve survival. By its direct action on intestinal stem cells and their villus regeneration capacity, IL-22 is both an ionizing irradiation protector and mitigator. (2) Methods: To improve delivery of IL-22 to the irradiated intestine, we gavaged Lactobacillus-reuteri as a platform for the second-generation probiotic Lactobacillus-reuteri-Interleukin-22 (LR-IL-22). (3) Results: There was effective radiation mitigation by gavage of LR-IL-22 at 24 h after intestinal irradiation. Multiple biomarkers of radiation damage to the intestine, immune system and bone marrow were improved by LR-IL-22 compared to the gavage of control LR or intraperitoneal injection of IL-22 protein. (4) Conclusions: Oral administration of LR-IL-22 is an effective protector and mitigator of intestinal irradiation damage."
2021,Frontiers in immunology,Front Immunol. 2021 Nov 15;12:763888. doi: 10.3389/fimmu.2021.763888. eCollection ,"['Pieper, Alexander A', 'Zangl, Luke M', 'Speigelman, Dan V', 'Feils, Arika S', 'Hoefges, Anna', 'Jagodinsky, Justin C', 'Felder, Mildred A', 'Tsarovsky, Noah W', 'Arthur, Ian S', 'Brown, Ryan J', 'Birstler, Jen', 'Le, Trang', 'Carlson, Peter M', 'Bates, Amber M', 'Hank, Jacquelyn A', 'Rakhmilevich, Alexander L', 'Erbe, Amy K', 'Sondel, Paul M', 'Patel, Ravi B', 'Morris, Zachary S']","['animals', 'cancer vaccines  immunology', 'cell line, tumor', 'combined modality therapy', 'disease models, animal', 'female', 'lymphocytes, tumor-infiltrating immunology', 'mice', 'mice, inbred balb c', 'mice, inbred c57bl', 'neoplasms, experimental immunology  radiotherapy', 'oligodeoxyribonucleotides  therapeutic use', 'receptors, ox40  immunology', 't-lymphocytes, regulatory immunology', 'tumor microenvironment', 'cpg – oligonucleotides', 'in situ vaccine', 'ox40 agonist', 'cold tumor models', 'radiation therapy', 'radioimmunotherapy']",Radiation Augments the Local Anti-Tumor Effect of In Situ Vaccine With CpG-Oligodeoxynucleotides and Anti-OX40 in Immunologically Cold Tumor Models.,"INTRODUCTION: Combining CpG oligodeoxynucleotides with anti-OX40 agonist antibody (CpG+OX40) is able to generate an effective in situ vaccine in some tumor models, including the A20 lymphoma model. Immunologically ""cold"" tumors, which are typically less responsive to immunotherapy, are characterized by few tumor infiltrating lymphocytes (TILs), low mutation burden, and limited neoantigen expression. Radiation therapy (RT) can change the tumor microenvironment (TME) of an immunologically ""cold"" tumor. This study investigated the effect of combining RT with the in situ vaccine CpG+OX40 in immunologically ""cold"" tumor models. METHODS: Mice bearing flank tumors (A20 lymphoma, B78 melanoma or 4T1 breast cancer) were treated with combinations of local RT, CpG, and/or OX40, and response to treatment was monitored. Flow cytometry and quantitative polymerase chain reaction (qPCR) experiments were conducted to study differences in the TME, secondary lymphoid organs, and immune activation after treatment. RESULTS: An in situ vaccine regimen of CpG+OX40, which was effective in the A20 model, did not significantly improve tumor response or survival in the ""cold"" B78 and 4T1 models, as tested here. In both models, treatment with RT prior to CpG+OX40 enabled a local response to this in situ vaccine, significantly improving the anti-tumor response and survival compared to RT alone or CpG+OX40 alone. RT increased OX40 expression on tumor infiltrating CD4+ non-regulatory T cells. RT+CpG+OX40 increased the ratio of tumor-infiltrating effector T cells to T regulatory cells and significantly increased CD4+ and CD8+ T cell activation in the tumor draining lymph node (TDLN) and spleen. CONCLUSION: RT significantly improves the local anti-tumor effect of the in situ vaccine CpG+OX40 in immunologically ""cold"", solid, murine tumor models where RT or CpG+OX40 alone fail to stimulate tumor regression."
2022 Jun,Molecular imaging and biology,Mol Imaging Biol. 2022 Jun;24(3):425-433. doi: 10.1007/s11307-021-01666-1. Epub ,"['Bellavia, Michael C', 'Nyiranshuti, Lea', 'Latoche, Joseph D', 'Ho, Khanh-Van', 'Fecek, Ronald J', 'Taylor, Jennifer L', 'Day, Kathryn E', 'Nigam, Shubhanchi', 'Pun, Michael', 'Gallazzi, Fabio', 'Edinger, Robert S', 'Storkus, Walter J', 'Patel, Ravi B', 'Anderson, Carolyn J']","['animals', 'cell line, tumor', 'copper radioisotopes', 'disease models, animal', 'humans', ' integrin alpha4beta1 metabolism', ' melanoma diagnostic imaging genetics', 'mice', 'positron emission tomography computed tomography', 'positron-emission tomography methods', 'prospective studies', 'proto-oncogene proteins b-raf genetics', 'tissue distribution', 'braf mutant melanoma', 'cd49d', 'llp2a', 'pet imaging', 'theranostic', 'vla-4']",PET Imaging of VLA-4 in a New BRAF(V600E) Mouse Model of Melanoma.,"PURPOSE: Despite unprecedented responses to immune checkpoint inhibitors and targeted therapy in melanoma, a major subset of patients progresses and have few effective salvage options. We have previously demonstrated robust, selective uptake of the peptidomimetic LLP2A labeled with Cu-64 ([(64)Cu]-LLP2A) for positron emission tomography (PET) imaging in subcutaneous and metastatic models of B16F10 murine melanoma. LLP2A binds with high affinity to very late antigen-4 (VLA-4, integrin α(4)β(1)), a transmembrane protein overexpressed in melanoma and other cancers that facilitates tumor growth and metastasis. Yet B16F10 fails to faithfully reflect human melanoma biology, as it lacks certain oncogenic driver mutations, including BRAF mutations found in ≥ 50 % of clinical specimens. Here, we evaluated the PET tracer [(64)Cu]-CB-TE1A1P-PEG(4)-LLP2A ([(64)Cu]-LLP2A) in novel, translational BRAF(V600E) mutant melanoma models differing in VLA-4 expression-BPR (VLA-4(-)) and BPRα (VLA-4(+)). PROCEDURES: BPR cells were transduced with α(4) (CD49d) to overexpress intact cell surface VLA-4 (BPRα). The binding affinity of [(64)Cu]-LLP2A to BPR and BPRα cells was determined by saturation binding assays. [(64)Cu]-LLP2A internalization into B16F10, BPR, and BPRα cells was quantified via a plate-based assay. Tracer biodistribution and PET/CT imaging were evaluated in mice bearing subcutaneous BPR and BPRα tumors. RESULTS: [(64)Cu]-LLP2A demonstrated high binding affinity to BPRα (K(d) = 1.4 nM) but indeterminate binding to BPR cells. VLA-4(+) BPRα and B16F10 displayed comparable time-dependent [(64)Cu]-LLP2A internalization, whereas BPR internalization was undetectable. PET/CT showed increased tracer uptake in BPRα tumors vs. BPR tumors in vivo, which was validated by significantly greater (p < 0.0001) BPRα tumor uptake in biodistribution analyses. CONCLUSIONS: [(64)Cu]-LLP2A discriminates BPRα (VLA-4(+)) vs. BPR (VLA-4(-)) melanomas in vivo, supporting translation of these BRAF-mutated melanoma models via prospective imaging and theranostic studies. These results extend the utility of LLP2A to selectively target clinically relevant and therapy-resistant tumor variants toward its use for therapeutic patient care."
2021 Jul 14,Science translational medicine,Sci Transl Med. 2021 Jul 14;13(602):eabb3631. doi: 10.1126/scitranslmed.abb3631.,"['Patel, Ravi B', 'Hernandez, Reinier', 'Carlson, Peter', 'Grudzinski, Joseph', 'Bates, Amber M', 'Jagodinsky, Justin C', 'Erbe, Amy', 'Marsh, Ian R', 'Arthur, Ian', 'Aluicio-Sarduy, Eduardo', 'Sriramaneni, Raghava N', 'Jin, Won Jong', 'Massey, Christopher', 'Rakhmilevich, Alexander L', 'Vail, David', 'Engle, Johnathan W', 'Le, Trang', 'Kim, KyungMann', 'Bednarz, Bryan', 'Sondel, Paul M', 'Weichert, Jamey', 'Morris, Zachary S']","['animals', ' cd8-positive t-lymphocytes', 'cell line, tumor', 'dogs', ' immune checkpoint inhibitors', 'immunotherapy', 'mice', 'radioisotopes', 'tumor protein, translationally-controlled 1']",Low-dose targeted radionuclide therapy renders immunologically cold tumors responsive to immune checkpoint blockade.,Molecular and cellular effects of radiotherapy on tumor microenvironment (TME) can help prime and propagate antitumor immunity. We hypothesized that delivering radiation to all tumor sites could augment response to immunotherapies. We tested an approach to enhance response to immune checkpoint inhibitors (I
2021 Jul 15,"Journal of immunology (Baltimore, Md. : 1950)",J Immunol. 2021 Jul 15;207(2):720-734. doi: 10.4049/jimmunol.2000656. Epub 2021 ,"['Carlson, Peter M', 'Mohan, Manasi', 'Patel, Ravi B', 'Birstler, Jen', 'Nettenstrom, Lauren', 'Sheerar, Dagna', 'Fox, Kathryn', 'Rodriguez, Matthew', 'Hoefges, Anna', 'Hernandez, Reinier', 'Zahm, Chris', 'Kim, KyungMann', 'McNeel, Douglas G', 'Weichert, Jamey', 'Morris, Zachary S', 'Sondel, Paul M']","['animals', 'cd4-positive t-lymphocytes immunology', 'cd8-positive t-lymphocytes immunology', 'cell line, tumor', 'cryopreservation  methods', 'flow cytometry  methods', 'immunophenotyping methods', 'leukocytes, mononuclear  immunology', 'melanoma, experimental  pathology', 'mice', 'mice, inbred c57bl', 'myeloid cells  immunology', 'natural killer t-cells immunology', 'pandemics', 'signal transduction immunology', 'tumor microenvironment immunology']",Optimizing Flow Cytometric Analysis of Immune Cells in Samples Requiring Cryopreservation from Tumor-Bearing Mice.,"Most shared resource flow cytometry facilities do not permit analysis of radioactive samples. We are investigating low-dose molecular targeted radionuclide therapy (MTRT) as an immunomodulator in combination with in situ tumor vaccines and need to analyze radioactive samples from MTRT-treated mice using flow cytometry. Further, the sudden shutdown of core facilities in response to the COVID-19 pandemic has created an unprecedented work stoppage. In these and other research settings, a robust and reliable means of cryopreservation of immune samples is required. We evaluated different fixation and cryopreservation protocols of disaggregated tumor cells with the aim of identifying a protocol for subsequent flow cytometry of the thawed sample, which most accurately reflects the flow cytometric analysis of the tumor immune microenvironment of a freshly disaggregated and analyzed sample. Cohorts of C57BL/6 mice bearing B78 melanoma tumors were evaluated using dual lymphoid and myeloid immunophenotyping panels involving fixation and cryopreservation at three distinct points during the workflow. Results demonstrate that freezing samples after all staining and fixation are completed most accurately matches the results from noncryopreserved equivalent samples. We observed that cryopreservation of living, unfixed cells introduces a nonuniform alteration to PD1 expression. We confirm the utility of our cryopreservation protocol by comparing tumors treated with in situ tumor vaccines, analyzing both fresh and cryopreserved tumor samples with similar results. Last, we use this cryopreservation protocol with radioactive specimens to demonstrate potentially beneficial effector cell changes to the tumor immune microenvironment following administration of a novel MTRT in a dose- and time-dependent manner."
