time,journal,doi_info,authors,key words,title,abstract
2024 May 10,"Geriatrics (Basel, Switzerland)",Geriatrics (Basel). 2024 May 10;9(3):61. doi: 10.3390/geriatrics9030061.,"['Pliner, Erika M', 'Sturnieks, Daina L', 'Beschorner, Kurt E', 'Redfern, Mark S', 'Lord, Stephen R']","['aged', 'injury prevention', 'ladder falls', 'risk-taking', 'task performance', 'unsafe behavior']","Ladder Use Ability, Behavior and Exposure by Age and Gender.","This study aimed to quantify and compare ladder use ability and behavior in younger and older men and women from three ladder use behavior experiments. The experimental tasks comprised (1) changing a lightbulb on a household stepladder under two cognitive demands (single and dual task), (2) clearing a simulated roof gutter on a straight ladder and (3) querying ladder choice in different exigency scenarios. Ladder use ability and behavior data were captured from recorded time, performance, motion capture and user choice data. In addition, this study surveyed ladder use frequency and habitual behaviors. The experimental findings indicate that older adults require more time to complete ladder tasks; younger adults display riskier ladder use behaviors; men and women display similar ladder use ability; and men are more willing to climb riskier ladders. The survey found older adults to report more frequent ladder use than younger adults, and men use straight ladders more frequently than women. These results suggest that the reported higher ladder fall rates experienced by older adults and men are linked to increased ladder use exposure and riskier ladder choice. This knowledge can help guide population-specific interventions to reduce ladder falls in both young and older people."
2024 Jul,Gait & posture,Gait Posture. 2024 Jul;112:74-80. doi: 10.1016/j.gaitpost.2024.04.035. Epub 2024 ,"['Bick, Natalie A', 'Redfern, Mark S', 'Jennings, J Richard', 'Eack, Shaun M', 'Iverson, Jana M', 'Cham, Rakié']","['humans', ' autism spectrum disorder physiopathology', 'male', 'female', ' attention physiology', 'young adult', 'adult', ' gait physiology', 'reaction time', 'case-control studies', 'attentional set-shifting', 'autism spectrum disorder', 'information processing auditory dual-task', 'spatiotemporal gait metrics']",Attention and sensory integration for gait in young adults with autism spectrum disorder.,"INTRODUCTION: Altered sensorimotor function is a common feature of autism spectrum disorder (ASD). As a result, spatiotemporal walking patterns are typically affected. Attentional processes relevant for locomotion may be altered in people with ASD. This study assessed the extent to which gait alterations observed under sensory challenging conditions are due to reduced attention-related processes in young adults with ASD. METHODS: Twenty-one adults with ASD and 21 age- and sex-matched neurotypical participants walked at a self-selected pace on a 10-m walkway under 12 sensory/attention conditions: hard or carpet flooring; well-lit or dim lighting; no attention task, an auditory choice-reaction time information-processing task, or a simple reaction time information-processing task. Gait data were collected with a 12-marker motion capture set and a trunk accelerometer. Spatiotemporal characteristics of gait were derived and compared between the two groups across gait conditions. RESULTS: Floor/light conditions impacted gait speed, average step length, average stance time, average step width, and step width variability similarly in both groups (p<0.05). The information processing tasks impacted average step length, gait speed, and step length variability (p<0.05). Group differences were found in step length metrics: the ASD group had decreased average step length during the simple reaction time information-processing task and neurotypical participants did not (p=0.039); the ASD group had increased variability on carpet compared to hard floor and the neurotypical group had no change in variability due to floor (p=0.015). SIGNIFICANCE: These results suggest that attentional set-shifting and somatosensory inputs may play an important role in ASD-related gait alterations. Step length metrics appear to be sensitive to group differences between ASD and neurotypical adults during sensory challenging conditions."
2024 May,Journal of geriatric oncology,J Geriatr Oncol. 2024 May;15(4):101765. doi: 10.1016/j.jgo.2024.101765. Epub 2024 ,"['McNeish, Brendan L', 'Dittus, Kim', 'Mossburg, Jurdan', 'Krant, Nicholas', 'Steinharter, John A', 'Feb, Kendall', 'Cote, Hunter', 'Hehir, Michael K', 'Reynolds, Rebecca', 'Redfern, Mark S', 'Rosano, Caterina', 'Richardson, James K', 'Kolb, Noah']","['humans', 'female', 'male', ' peripheral nervous system diseases chemically induced', 'cross-sectional studies', ' cancer survivors psychology', 'aged', ' executive function drug effects', 'middle aged', ' antineoplastic agents adverse effects', 'neoplasms drug therapy', 'aged', 'chemotherapy-induced peripheral neuropathy', 'chemotherapy-related cognitive impairment', 'executive function', 'cancer survivor']",The association of chemotherapy-induced peripheral neuropathy with reduced executive function in chemotherapy-treated cancer survivors: A cross-sectional study.,INTRODUCTION: Chemotherapy-induced peripheral neuropathy (
2024 Feb,Computer methods and programs in biomedicine,Comput Methods Programs Biomed. 2024 Feb;244:108001. doi: ,"['Suri, Anisha', 'Hubbard, Zachary L', 'VanSwearingen, Jessie', 'Torres-Oviedo, Gelsy', 'Brach, Jennifer S', 'Redfern, Mark S', 'Sejdic, Ervin', 'Rosso, Andrea L']","['female', 'humans', 'aged', 'aged, 80 and over', 'male', ' fear psychology', ' independent living', 'cross-sectional studies', 'gait', 'acceleration', 'actigraphy', 'fear of falling', 'gait', 'machine learning', 'older adults']",Fear of falling in community-dwelling older adults: What their gait acceleration pattern reveals.,"BACKGROUND: Fear of Falling (FOF) is common among community-dwelling older adults and is associated with increased fall-risk, reduced activity, and gait modifications. OBJECTIVE: In this cross-sectional study, we examined the relationships between FOF and gait quality. METHODS: Older adults (N=232; age 77±6; 65 % females) reported FOF by a single yes/no question. Gait quality was quantified as (1) harmonic ratio (smoothness) and other time-frequency spatiotemporal variables from triaxial accelerometry (Vertical-V, Mediolateral-ML, Anterior-Posterior -AP) during six-minute walk; (2) gait speed, step-time CoV (variability), and walk-ratio (step-length/cadence) on a 4-m instrumented walkway. Mann Whitney U-tests and Random forest classifier compared gait between those with and without FOF. Selected gait variables were used to build Support Vector Machine (SVM) classifier and performance was evaluated using AUC-ROC. RESULTS: Individuals with FOF had slower gait speed (103.66 ± 17.09 vs. 110.07 ± 14.83 cm/s), greater step time CoV (4.17 ± 1.66 vs. 3.72 ± 1.24 %), smaller walk-ratio (0.53 ± 0.08 vs. 0.56 ± 0.07 cm/steps/minute), smaller standard deviation V (0.15 ± 0.06 vs. 0.18 ± 0.09 m/s(2)), and smaller harmonic-ratio V (2.14 ± 0.73 vs. 2.38 ± 0.58), all p<.01. Linear SVM yielded an AUC-ROC of 67 % on test dataset, coefficient values being gait speed (-0.19), standard deviation V (-0.23), walk-ratio (-0.36), and smoothness V (-0.38) describing associations with presence of FOF. CONCLUSION: Older adults with FOF have reduced gait speed, acceleration adaptability, walk-ratio, and smoothness. Disrupted gait patterns during fear of falling could provide insights into psychosocial distress in older adults. Longitudinal studies are warranted."
2024 Jan,Journal of biomechanics,J Biomech. 2024 Jan;162:111898. doi: 10.1016/j.jbiomech.2023.111898. Epub 2023 ,"['Karabin, Michelle J', 'Smith, Richard W', 'Sparto, Patrick J', 'Furman, Joseph M', 'Redfern, Mark S']","['adult', 'humans', ' walking physiology', ' locomotion', 'lower extremity', 'muscle, skeletal physiology', 'leg', 'biomechanical phenomena', 'postural balance physiology', 'gait physiology', 'perturbations', 'stability', 'stability strategies', 'walking']",Balance strategies for recovery from perturbed overground walking.,"Bipedal locomotion is naturally unstable and requires active control. Walking is believed to be primarily stabilized through the selection of foot placements; however, other strategies are available, including regulation of ankle inversion/eversion, ankle push-off, and angular momentum through trunk postural adjustments. The roles of these strategies in maintaining overall stability are often masked by the dominant foot placement strategy. The objectives of this study were to describe how the four strategies are used to respond to medial or lateral ground perturbations during overground walking in healthy individuals and determine reliance on each strategy. Fifteen healthy adults walked with and without perturbations applied to the right foot at heel strike while body kinematics and surface electromyographic activity were measured. Medial perturbations resulted in decreased step width on the first step after the perturbation, increased ankle inversion, increased ankle push-off, and rightward trunk sway. Lateral perturbations resulted in increased step width, decreased ankle inversion, no change in ankle push-off, and leftward trunk sway. EMG activity was consistent with the observed strategies (e.g. increased peroneus longus EMG activity during ankle eversion) with the exception of increased bilateral erector spinae activity for all perturbations. Foot placement was the dominant strategy in response to perturbations, with other strategies showing reduced, yet significant, roles. This work demonstrates that multiple strategies are recruited to improve the balance response in addition to foot placement alone. These results can serve as a reference for future studies of populations with impaired balance to identify potential deficits in strategy selection."
2024 Apr,Journal of geriatric oncology,J Geriatr Oncol. 2024 Apr;15(3):101667. doi: 10.1016/j.jgo.2023.101667. Epub 2023 ,"['McNeish, Brendan L', 'Dittus, Kim', 'Mossburg, Jurdan', 'Krant, Nicholas', 'Steinharter, Jack A', 'Feb, Kendall', 'Cote, Hunter', 'Hehir, Michael K', 'Reynolds, Rebecca', 'Bell, Sarah G', 'Redfern, Mark S', 'Rosano, Caterina', 'Richardson, James K', 'Kolb, Noah']","['humans', 'aged', 'retrospective studies', ' cancer survivors', 'aging', 'gait', 'survivors', ' neoplasms drug therapy', 'aging', 'falls', 'performance status', 'risk assessment', 'cancer survivor']",Unipedal stance time is associated with fall outcomes in older chemotherapy-treated cancer survivors: A retrospective study.,
2023 Nov,Journal of geriatric oncology,J Geriatr Oncol. 2023 Nov;14(8):101637. doi: 10.1016/j.jgo.2023.101637. Epub 2023 ,"['McNeish, Brendan L', 'Dittus, Kim', 'Mossburg, Jurdan', 'Krant, Nicholas', 'Steinharter, John A', 'Feb, Kendall', 'Cote, Hunter', 'Hehir, Michael K', 'Reynolds, Rebecca', 'Redfern, Mark S', 'Rosano, Caterina', 'Richardson, James K', 'Kolb, Noah']","['humans', 'female', 'aged', 'male', 'executive function', ' cancer survivors', 'cross-sectional studies', 'accidental falls', ' peripheral nervous system diseases chemically induced', ' neoplasms drug therapy', 'accidental falls', 'aged', 'cancer survivor', 'chemotherapy-related cognitive impairment', 'executive function']",Executive function is associated with balance and falls in older cancer survivors treated with chemotherapy: A cross-sectional study.,INTRODUCTION: Balance decrements and increased fall risk in older cancer survivors have been attributed to chemotherapy-induced peripheral neuropathy (
2023 Sep,Gait & posture,Gait Posture. 2023 Sep;106:34-41. doi: 10.1016/j.gaitpost.2023.08.010. Epub 2023 ,"['Suri, Anisha', 'VanSwearingen, Jessie', 'Rosano, Caterina', 'Brach, Jennifer S', 'Redfern, Mark S', 'Sejdić, Ervin', 'Rosso, Andrea L']","['female', 'humans', 'aged', 'aged, 80 and over', 'male', ' gait', ' walking psychology', 'walking speed', 'cognition', 'executive function', 'accelerometry', 'cognitive function', 'dual tasks', 'gait', 'healthy aging']",Uneven surface and cognitive dual-task independently affect gait quality in older adults.,"BACKGROUND: Real-world mobility involves walking in challenging conditions. Assessing gait during simultaneous physical and cognitive challenges provides insights on cognitive health. RESEARCH QUESTION: How does uneven surface, cognitive task, and their combination affect gait quality and does this gait performance relate to cognitive functioning? METHODS: Community-dwelling older adults (N = 104, age=75 ± 6 years, 60 % females) performed dual-task walking paradigms (even and uneven surface; with and without alphabeting cognitive task (ABC)) to mimic real-world demands. Gait quality measures [speed(m/s), rhythmicity(steps/minute), stride time variability (%), adaptability (m/s(2)), similarity, smoothness, power (Hz) and regularity] were calculated from an accelerometer worn on the lower back. Linear-mixed modelling and Tukey analysis were used to analyze independent effects of surface and cognitive task and their interaction on gait quality. Partial Spearman correlations compared gait quality with global cognition and executive function. RESULTS: No interaction effects between surface and cognitive task were found. Uneven surface reduced gait speed(m/s) (β = -0.07). Adjusted for speed, uneven surface reduced gait smoothness (β = -0.27) and increased regularity (β = 0.09), Tukey p < .05, for even vs uneven and even-ABC vs uneven-ABC. Cognitive task reduced gait speed(m/s) (β = -0.12). Adjusted for speed, cognitive task increased variability (β = 7.60), reduced rhythmicity (β = -6.68) and increased regularity (β = 0.05), Tukey p < .05, for even vs even-ABC and uneven vs uneven-ABC. With demographics as covariates, gait speed was not associated with cognition. Gait quality [lower variability during even-ABC (ρ(p) =-.31) and uneven-ABC (ρ(p) =-.28); greater rhythmicity (ρ(p) between.22 and.29) and greater signal-adaptability AP (ρ(p) between.22 and.26) during all walking tasks] was associated with better global cognition. Gait adaptability during even (ρ(p) =-0.21, p = 0.03) and uneven(ρ(p) =-0.19, p = 0.04) walking was associated with executive function. SIGNIFICANCE: Surface and cognitive walking tasks independently affected gait quality. Our study with high-functioning older adults suggests that task-related changes in gait quality are related to subtle changes in cognitive functioning."
2023 Aug 17,"Sensors (Basel, Switzerland)",Sensors (Basel). 2023 Aug 17;23(16):7218. doi: 10.3390/s23167218.,"['Bohlke, Kayla', 'Zhu, Xiaonan', 'Sparto, Patrick J', 'Redfern, Mark S', 'Rosano, Caterina', 'Sejdic, Ervin', 'Rosso, Andrea L']",[],"Correction: Bohlke et al. The Effect of a Verbal Cognitive Task on Postural Sway Does Not Persist When the Task Is Over. Sensors 2021, 21, 8428.",There was an error in the original publication [...].
2023,Journal of vestibular research : equilibrium & orientation,J Vestib Res. 2023;33(6):367-376. doi: 10.3233/VES-230010.,"['Karabin, Michelle J', 'Harrell, Regan G', 'Sparto, Patrick J', 'Furman, Joseph M', 'Redfern, Mark S']","['humans', ' reflex, vestibulo-ocular physiology', 'reproducibility of results', 'biomechanical phenomena', 'semicircular canals physiology', ' vestibule, labyrinth', 'head impulse test methods', 'video head impulse test', 'head kinematics']",Head and vestibular kinematics during vertical semicircular canal impulses.,"BACKGROUND: The video head impulse test (vHIT) is a common assessment of semicircular canal function during high-speed impulses. Reliability of the vHIT for assessing vertical semicircular canals is uncertain. Vertical head impulses require a complex head movement, making it difficult to isolate a single semicircular canal and interpret resulting eye rotations. OBJECTIVE: The purpose of this study was to provide descriptive head kinematics and vestibular stimuli during vertical plane impulses to ultimately improve impulse delivery and interpretation of vHIT results for vertical semicircular canals. METHODS: Six participants received right anterior (RA) and left posterior (LP) semicircular canal impulses. Linear displacements, rotational displacements, and rotational velocities of the head were measured. Peak velocities in semicircular canal planes and peak-to-peak gravitoinertial accelerations at the otolith organs were derived from head kinematics. RESULTS: The largest rotational velocities occurred in the target semicircular canal plane, with non-negligible velocities occurring in non-target planes. Larger vertical displacements and accelerations occurred on the right side of the head compared to the left for RA and LP impulses. CONCLUSIONS: These results provide a foundation for designing protocols to optimize stimulation applied to a singular vertical semicircular canal and for interpreting results from the vHIT for vertical semicircular canals."
