time,journal,doi_info,authors,key words,title,abstract
2023 Dec 11,Applied physics letters,Appl Phys Lett. 2023 Dec 11;123(24):244103. doi: 10.1063/5.0172538.,"['DeAngelis, Mark A', 'Ruder, Warren C', 'LeDuc, Philip R']",[],An embedded microfluidic valve for dynamic control of cellular communication.,"The communication between different cell populations is an important aspect of many natural phenomena that can be studied with microfluidics. Using microfluidic valves, these complex interactions can be studied with a higher level of control by placing a valve between physically separated populations. However, most current valve designs do not display the properties necessary for this type of system, such as providing variable flow rate when embedded inside a microfluidic device. While some valves have been shown to have such tunable behavior, they have not been used for dynamic, real-time outputs. We present an electric solenoid valve that can be fabricated completely outside of a cleanroom and placed into any microfluidic device to offer control of dynamic fluid flow rates and profiles. After characterizing the behavior of this valve under controlled test conditions, we developed a regression model to determine the required input electrical signal to provide the solenoid the ability to create a desired flow profile. With this model, we demonstrated that the valve could be controlled to replicate a desired, time-varying pattern for the interface position of a co-laminar fluid stream. Our approach can be performed by other investigators with their microfluidic devices to produce predictable, dynamic fluidic behavior. In addition to modulating fluid flows, this work will be impactful for controlling cellular communication between distinct populations or even chemical reactions occurring in microfluidic channels."
2022 Oct,"Advanced intelligent systems (Weinheim an der Bergstrasse, Germany)",Adv Intell Syst. 2022 Oct;4(10):2200023. doi: 10.1002/aisy.202200023. Epub 2022 ,"['Behrens, Michael R', 'Ruder, Warren C']","['robotics', 'artificial intelligence', 'control systems', 'machine learning', 'magnetics', 'microrobot', 'reinforcement learning']",Smart Magnetic Microrobots Learn to Swim with Deep Reinforcement Learning.,"Swimming microrobots are increasingly developed with complex materials and dynamic shapes and are expected to operate in complex environments in which the system dynamics are difficult to model and positional control of the microrobot is not straightforward to achieve. Deep reinforcement learning is a promising method of autonomously developing robust controllers for creating smart microrobots, which can adapt their behavior to operate in uncharacterized environments without the need to model the system dynamics. This article reports the development of a smart helical magnetic hydrogel microrobot that uses the soft actor critic reinforcement learning algorithm to autonomously derive a control policy which allows the microrobot to swim through an uncharacterized biomimetic fluidic environment under control of a time varying magnetic field generated from a three-axis array of electromagnets. The reinforcement learning agent learned successful control policies from both state vector input and raw images, and the control policies learned by the agent recapitulated the behavior of rationally designed controllers based on physical models of helical swimming microrobots. Deep reinforcement learning applied to microrobot control is likely to significantly expand the capabilities of the next generation of microrobots."
2020 Oct 1,APL materials,APL Mater. 2020 Oct 1;8(10):101104. doi: 10.1063/5.0020429.,"['Wei, Ting-Yen', 'Ruder, Warren C']",[],Engineering control circuits for molecular robots using synthetic biology.,"The integration of molecular robots and synthetic biology allows for the creation of sophisticated behaviors at the molecular level. Similar to the synergy between bioelectronics and soft robotics, synthetic biology provides control circuitry for molecular robots. By encoding perception-action modules within synthetic circuits, molecular machines can advance beyond repeating tasks to the incorporation of complex behaviors. In particular, cell-free synthetic biology provides biomolecular circuitry independent of living cells. This research update reviews the current progress in using synthetic biology as perception-action control modules in robots from molecular robots to macroscale robots. Additionally, it highlights recent developments in molecular robotics and cell-free synthetic biology and suggests their combined use as a necessity for future molecular robot development."
2020 Oct 20,Micromachines,Micromachines (Basel). 2020 Oct 20;11(10):947. doi: 10.3390/mi11100947.,"['Fuller, Haley C', 'Wei, Ting-Yen', 'Behrens, Michael R', 'Ruder, Warren C']","['drug delivery', 'microbiorobots', 'microphysiological systems', 'microrobotics', 'organ-on-a-chip']",The Future Application of Organ-on-a-Chip Technologies as Proving Grounds for MicroBioRobots.,"An evolving understanding of disease pathogenesis has compelled the development of new drug delivery approaches. Recently, bioinspired microrobots have gained traction as drug delivery systems. By leveraging the microscale phenomena found in physiological systems, these microrobots can be designed with greater maneuverability, which enables more precise, controlled drug release. Their function could be further improved by testing their efficacy in physiologically relevant model systems as part of their development. In parallel with the emergence of microscale robots, organ-on-a-chip technologies have become important in drug discovery and physiological modeling. These systems reproduce organ-level functions in microfluidic devices, and can also incorporate specific biological, chemical, and physical aspects of a disease. This review highlights recent developments in both microrobotics and organ-on-a-chip technologies and envisions their combined use for developing future drug delivery systems."
2020 Jan 31,Scientific reports,Sci Rep. 2020 Jan 31;10(1):1543. doi: 10.1038/s41598-020-58246-6.,"['Behrens, Michael R', 'Fuller, Haley C', 'Swist, Emily R', 'Wu, Jingwen', 'Islam, Md Mydul', 'Long, Zhicheng', 'Ruder, Warren C', 'Steward, Robert Jr']","['computers', 'humans', 'infusion pumps, implantable  standards', 'ionic liquids  metabolism', 'lab-on-a-chip devices  standards', 'microfluidics methods', 'peristalsis', 'point-of-care systems  standards', 'printing, three-dimensional', 'specimen handling  methods']","Open-source, 3D-printed Peristaltic Pumps for Small Volume Point-of-Care Liquid Handling.","Microfluidic technologies are frequently employed as point-of-care diagnostic tools for improving time-to-diagnosis and improving patient outcomes in clinical settings. These microfluidic devices often are designed to operate with peripheral equipment for liquid handling that increases the cost and complexity of these systems and reduces their potential for widespread adoption in low resource healthcare applications. Here, we present a low-cost (~$120), open-source peristaltic pump constructed with a combination of three dimensional (3D)-printed parts and common hardware, which is amenable to deployment with microfluidic devices for point-of-care diagnostics. This pump accepts commonly available silicone rubber tubing in a range of sizes from 1.5 to 3 mm, and is capable of producing flow rates up to 1.6 mL min(-1). This device is programmed with an Arduino microcontroller, allowing for custom flow profiles to fit a wide range of low volume liquid handling applications including precision liquid aliquoting, flow control within microfluidics, and generation of physiologically relevant forces for studying cellular mechanobiology within microfluidic systems."
2019,MethodsX,MethodsX. 2019 May 28;6:1331-1335. doi: 10.1016/j.mex.2019.05.018. eCollection ,"['Movizzo, Paul G', 'Ruder, Warren C', 'Long, Zhicheng']","['3d-printed containment of living biosensors', 'additive manufacturing', 'biosensors', 'synthetic biology']",A 3D-printed portable device for field deployment of living biosensors.,"Living biosensors typically use genetically modified organisms (GMOs) to detect infectious biomarkers in clinical samples. GMOs are prohibited to be released into the environment by many laws, which limits the application of living biosensors outside laboratory settings. Here, we reported a robust 3D-printed device that eliminates the risk of exposure of GMOs to potential users and the environment. The device is designed to snugly attach to a common culture tube and consists of two components, a housing and a plunger. The housing contains a stress-focusing cutout and a reagent well to hold the living biosensor. While the plunger is designed to form a two-stage press-fit seal with the housing. The first seal allows to safely transfer the living biosensor from a biosafety lab to the field, and the second seal prevents the leakage of GMOs from the culture tube during the test and before safe disposal. Additionally, a lever-actuated machine was also designed and 3D-printed to assist users operating the device."
2018 Aug 30,Journal of visualized experiments : JoVE,J Vis Exp. 2018 Aug 30;(138):57532. doi: 10.3791/57532.,"['Chen, Ming-Cheng', 'Lake, John R', 'Heyde, Keith C', 'Ruder, Warren C']","['infusion pumps  statistics & numerical data', 'lab-on-a-chip devices  statistics & numerical data', 'printing, three-dimensional  statistics & numerical data', 'syringes  statistics & numerical data']",Three-dimensional Printing of Thermoplastic Materials to Create Automated Syringe Pumps with Feedback Control for Microfluidic Applications.,"Microfluidics has become a critical tool in research across the biological, chemical, and physical sciences. One important component of microfluidic experimentation is a stable fluid handling system capable of accurately providing an inlet flow rate or inlet pressure. Here, we have developed a syringe pump system capable of controlling and regulating the inlet fluid pressure delivered to a microfluidic device. This system was designed using low-cost materials and additive manufacturing principles, leveraging three-dimensional (3D) printing of thermoplastic materials and off-the-shelf components whenever possible. This system is composed of three main components: a syringe pump, a pressure transducer, and a programmable microcontroller. Within this paper, we detail a set of protocols for fabricating, assembling, and programming this syringe pump system. Furthermore, we have included representative results that demonstrate high-fidelity, feedback control of inlet pressure using this system. We expect this protocol will allow researchers to fabricate low-cost syringe pump systems, lowering the entry barrier for the use of microfluidics in biomedical, chemical, and materials research."
2018,"Synthetic biology (Oxford, England)",Synth Biol (Oxf). 2018 Sep 12;3(1):ysy017. doi: 10.1093/synbio/ysy017. ,"['Scott, Felicia Y', 'Heyde, Keith C', 'Rice, MaryJoe K', 'Ruder, Warren C']","['biomaterials', 'interfaces', 'microfluidics', 'surface display']",Engineering a living biomaterial via bacterial surface capture of environmental molecules.,"Synthetic biology holds significant potential in biomaterials science as synthetically engineered cells can produce new biomaterials, or alternately, can function as living components of new biomaterials. Here, we describe the creation of a new biomaterial that incorporates living bacterial constituents that interact with their environment using engineered surface display. We first developed a gene construct that enabled simultaneous expression of cytosolic mCherry and a surface-displayed, catalytically active enzyme capable of covalently bonding with benzylguanine (BG) groups. We then created a functional living material within a microfluidic channel using these genetically engineered cells. The material forms when engineered cells covalently bond to ambient BG-modified molecules upon induction. Given the wide range of materials amenable to functionalization with BG-groups, our system provides a proof-of-concept for the sequestration and assembly of BG-functionalized molecules on a fluid-swept, living biomaterial surface."
2018,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2018;1772:249-265. doi: 10.1007/978-1-4939-7795-6_14.,"['Heyde, Keith C', 'Ruder, Warren C']","['biocompatible materials  administration & dosage  chemistry', 'biotin  metabolism', 'cell engineering methods', 'escherichia coli  drug effects', 'genetic engineering methods', 'surface properties drug effects', 'biotic-abiotic interface', 'biotin', 'smart biomaterials', 'synthetic biology']",Programming Biomaterial Interactions Using Engineered Living Cells.,"We have developed a biomaterials interface that allows the properties of a functionalized surface to be controlled by a population of genetically engineered bacteria. This interface was engineered by linking a genetically modified E. coli strain with a chemically functionalized surface. Critically, the E. coli was engineered to upregulate the production of biotin when induced by a small signaling molecule. This biotin would then interact with the functionalized surface to modulate the surface's binding dynamics. In this chapter, we detail three protocols: one protocol for developing a population of biotin-producing genetically engineered cells, and two protocols for creating different types of functionalized surfaces. These methods will enable scientists to readily explore strategies for controlling surface-based material assembly and modification using a linked culture of engineered cells."
2017,PloS one,PLoS One. 2017 Apr 3;12(4):e0175089. doi: 10.1371/journal.pone.0175089. ,"['Lake, John R', 'Heyde, Keith C', 'Ruder, Warren C']","[' infusion pumps', 'lab-on-a-chip devices', 'microfluidics  instrumentation', ' syringes']",Low-cost feedback-controlled syringe pressure pumps for microfluidics applications.,"Microfluidics are widely used in research ranging from bioengineering and biomedical disciplines to chemistry and nanotechnology. As such, there are a large number of options for the devices used to drive and control flow through microfluidic channels. Commercially available syringe pumps are probably the most commonly used instruments for this purpose, but are relatively high-cost and have inherent limitations due to their flow profiles when they are run open-loop. Here, we present a low-cost ($110) syringe pressure pump that uses feedback control to regulate the pressure into microfluidic chips. Using an open-source microcontroller board (Arduino), we demonstrate an easily operated and programmable syringe pump that can be run using either a PID or bang-bang control method. Through feedback control of the pressure at the inlets of two microfluidic geometries, we have shown stability of our device to within ±1% of the set point using a PID control method and within ±5% of the set point using a bang-bang control method with response times of less than 1 second. This device offers a low-cost option to drive and control well-regulated pressure-driven flow through microfluidic chips."
