time,journal,doi_info,authors,key words,title,abstract
2024 Jun 3,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Jun 3:2024.06.03.597138. doi: 10.1101/2024.06.03.597138.,"['Liu, Qiang', 'Gagoski, Borjan', 'Shaik, Imam Ahmed', 'Westin, Carl-Fredrik', 'Wilde, Elisabeth A', 'Schneider, Walter', 'Bilgic, Berkin', 'Grissom, William', 'Nielsen, Jon-Fredrik', 'Zaitsev, Maxim', 'Rathi, Yogesh', 'Ning, Lipeng']","['diffusion', 'pulseq', 'dmri', 'multidimensional mri', 'rdmri', 'relaxometry']",Time-division multiplexing (TDM) sequence removes bias in T2 estimation and relaxation-diffusion measurements.,"PURPOSE: To compare the performance of multi-echo (ME) and time-division multiplexing (TDM) sequences for accelerated relaxation-diffusion MRI (rdMRI) acquisition and to examine their reliability in estimating accurate rdMRI microstructure measures. METHOD: The ME, TDM, and the reference single-echo (SE) sequences with six echo times (TE) were implemented using Pulseq with single-band (SB-) and multi-band 2 (MB2-) acceleration factors. On a diffusion phantom, the image intensities of the three sequences were compared, and the differences were quantified using the normalized root mean squared error (NRMSE). For the in-vivo brain scan, besides the image intensity comparison and T2-estimates, different methods were used to assess sequence-related effects on microstructure estimation, including the relaxation diffusion imaging moment (REDIM) and the maximum-entropy relaxation diffusion distribution (MaxEnt-RDD). RESULTS: TDM performance was similar to the gold standard SE acquisition, whereas ME showed greater biases (3-4× larger NRMSEs for phantom, 2× for in-vivo). T2 values obtained from TDM closely matched SE, whereas ME sequences underestimated the T2 relaxation time. TDM provided similar diffusion and relaxation parameters as SE using REDIM, whereas SB-ME exhibited a 60% larger bias in the <R(2)> map and on average 3.5× larger bias in the covariance between relaxation-diffusion coefficients. CONCLUSION: Our analysis demonstrates that TDM provides a more accurate estimation of relaxation-diffusion measurements while accelerating the acquisitions by a factor of 2 to 3."
2023 Jul 18,The Behavioral and brain sciences,Behav Brain Sci. 2023 Jul 18;46:e140. doi: 10.1017/S0140525X2200317X.,"['Shiffrin, Richard M', 'Schneider, Walter', 'Logan, Gordon D']","['humans', ' memory, short-term', 'time']",The distinction between long-term knowledge and short-term control processes is valid and useful.,"The binary distinction De Neys questions has been put forward many times since the beginnings of psychology, in slightly different forms and under different names. It has proved enormously useful and has received detailed empirical support and careful modeling. At heart the distinction is that between knowledge in long-term memory and control processes in short-term memory."
2023,Neurotrauma reports,Neurotrauma Rep. 2023 Jun 22;4(1):404-409. doi: 10.1089/neur.2023.0003. ,"['Eagle, Shawn R', 'Puccio, Ava M', 'Agoston, Denes V', 'Soose, Ryan', 'Mancinelli, Michael', 'Nwafo, Rachel', 'McIntyre, Peyton', 'Agnone, Allison', 'Tollefson, Savannah', 'Collins, Michael', 'Kontos, Anthony P', 'Schneider, Walter', 'Okonkwo, David O']","['uch-l1', 'chronic mtbi', 'p-tau', 'predictive biomarkers', 'targeted treatment']",Evaluating Targeted Therapeutic Response With Predictive Blood-Based Biomarkers in Patients With Chronic Mild Traumatic Brain Injury.,"Chronic consequences of mild traumatic brain injury (mTBI) are heterogeneous, but may be treatable with targeted medical and rehabilitation interventions. A biological signature for the likelihood of response to therapy (i.e., ""predictive"" biomarkers) would empower personalized medicine post-mTBI. The purpose of this study was to correlate pre-intervention blood biomarker levels and the likelihood of response to targeted interventions for patients with chronic issues attributable to mTBI. Patients with chronic symptoms and/or disorders secondary to mTBI >3 months previous (104 days to 15 years; n = 74) were enrolled. Participants completed pre-intervention assessments of symptom burden, comprehensive clinical evaluation, and blood-based biomarker measurements. Multi-domain targeted interventions for specific symptoms and impairments across a 6-month treatment period were prescribed. Participants completed a follow-up testing after the treatment period. An all-possible model's backward logistic regression was built to identify predictors of improvement in relation to blood biomarker levels before intervention. The minimum clinically important difference (M"
2023,Neurotrauma reports,Neurotrauma Rep. 2023 Apr 12;4(1):251-254. doi: 10.1089/neur.2023.0002. ,"['Eagle, Shawn R', 'Puccio, Ava M', 'Agoston, Denes V', 'Mancinelli, Michael', 'Nwafo, Rachel', 'McIntyre, Peyton', 'Agnone, Allison', 'Tollefson, Savannah', 'Collins, Michael', 'Kontos, Anthony P', 'Schneider, Walter', 'Okonkwo, David O', 'Soose, Ryan J']","['blood biomarkers', 'mild traumatic brain injury', 'sleep', 'von willebrand factor']",Association of Plasma Biomarkers with Sleep Outcomes and Treatment Response After Mild Traumatic Brain Injury.,"Sleep disturbances occur in up to 70% of patients with mild traumatic brain injury (mTBI). Modern mTBI management recommends targeted treatment for the patient's unique clinical manifestations (i.e., obstructive sleep apnea, insomnia). The purpose of this study was to evaluate the association of plasma biomarkers with symptom reports, overnight sleep evaluations, and response to treatment for sleep disturbances secondary to mTBI. This study is a secondary analysis of a prospective multiple interventional trial of patients with chronic issues related to mTBI. Pre- and post-intervention assessments were conducted, including overnight sleep apnea evaluation, the Pittsburgh Sleep Quality Index (PSQI), and blinded analysis of blood biomarkers. Bivariate Spearman correlations were conducted for pre-intervention plasma biomarker concentrations and 1) PSQI change scores and 2) pre-intervention sleep apnea outcomes (i.e., oxygen saturation measures). A backward logistic regression model was built to evaluate the association of pre-intervention plasma biomarkers with improvement in PSQI over the treatment period (p < 0.05). Participants were 36.3 ± 8.6 years old and 6.1 ± 3.8 years from their index mTBI. Participants reported subjective improvements (PSQI = -3.7 ± 3.8), whereas 39.3% (n = 11) had improved PSQI scores beyond the minimum clinically important difference (M"
2022 Nov,Computational diffusion MRI : MICCAI Workshop,Comput Diffus MRI. 2022 Nov;13722:89-100. doi: 10.1007/978-3-031-21206-2_8. Epub ,"['Filipiak, Patryk', 'Shepherd, Timothy', 'Basler, Lee', 'Zuccolotto, Anthony', 'Placantonakis, Dimitris G', 'Schneider, Walter', 'Boada, Fernando E', 'Baete, Steven H']","['brain microstructure', 'diffusion mri', 'odf fingerprinting', 'stochastic optimization', 'white matter']",Stepwise Stochastic Dictionary Adaptation Improves Microstructure Reconstruction with Orientation Distribution Function Fingerprinting.,"Fitting of the multicompartment biophysical model of white matter is an ill-posed optimization problem. One approach to make it computationally tractable is through Orientation Distribution Function (ODF) Fingerprinting. However, the accuracy of this method relies solely on ODF dictionary generation mechanisms which either sample the microstructure parameters on a multidimensional grid or draw them randomly with a uniform distribution. In this paper, we propose a stepwise stochastic adaptation mechanism to generate ODF dictionaries tailored specifically to the diffusion-weighted images in hand. The results we obtained on a diffusion phantom and in vivo human brain images show that our reconstructed diffusivities are less noisy and the separation of a free water fraction is more pronounced than for the prior (uniform) distribution of ODF dictionaries."
2023 Mar,Computer methods and programs in biomedicine,Comput Methods Programs Biomed. 2023 Mar;230:107339. doi: ,"['Jha, Ranjeet Ranjan', 'Kumar, B V Rathish', 'Pathak, Sudhir K', 'Schneider, Walter', 'Bhavsar, Arnav', 'Nigam, Aditya']","['humans', ' image processing, computer-assisted methods', 'brain diagnostic imaging', 'diffusion magnetic resonance imaging methods', ' white matter diagnostic imaging', 'gray matter diagnostic imaging', 'deep learning', 'diffusion mri', 'multi-shell hardi', 'single-shell hardi', 'spherical harmonics', 'fodf']",Undersampled single-shell to MSMT fODF reconstruction using CNN-based ODE solver.,"BACKGROUND AND OBJECTIVE: Diffusion MRI (dMRI) has been considered one of the most popular non-invasive techniques for studying the human brain's white matter (WM). dMRI is used to delineate the brain's microstructure by approximating the WM region's fiber tracts. The achieved fiber tracts can be utilized to assess mental diseases like Multiple sclerosis, ADHD, Seizures, Intellectual disability, and others. New techniques such as high angular resolution diffusion-weighted imaging (HARDI) have been developed, providing precise fiber directions, and overcoming the limitation of traditional DTI. Unlike Single-shell, Multi-shell HARDI provides tissue fractions for white matter, gray matter, and cerebrospinal fluid, resulting in a Multi-shell Multi-tissue fiber orientation distribution function (MSMT fODF). This MSMT fODF comes up with more precise fiber directions than a Single-shell, which helps to get correct fiber tracts. In addition, various multi-compartment diffusion models, including as CHARMED and NODDI, have been developed to describe the brain tissue microstructural information. This type of model requires multi-shell data to obtain more specific tissue microstructural information. However, a major concern with multi-shell is that it takes a longer scanning time restricting its use in clinical applications. In addition, most of the existing dMRI scanners with low gradient strengths commonly acquire a single b-value (shell) upto b=1000s/mm(2) due to SNR (Signal-to-noise ratio) reasons and severe imaging artifacts. METHODS: To address this issue, we propose a CNN-based ordinary differential equations solver for the reconstruction of MSMT fODF from under-sampled and fully sampled Single-shell (b=1000s/mm(2)) dMRI. The proposed architecture consists of CNN-based Adams-Bash-forth and Runge-Kutta modules along with two loss functions, including L(1) and total variation. RESULTS: We have shown quantitative results and visualization of fODF, fiber tracts, and structural connectivity for several brain regions on the publicly available HCP dataset. In addition, the obtained angular correlation coefficients for white matter and full brain are high, showing the proposed network's utility.Finally, we have also demonstrated the effect of noise by adjusting SNR from 5 to 50 and observed the network robustness. CONCLUSION: We can conclude that our model can accurately predict MSMT fODF from under-sampled or fully sampled Single-shell dMRI volumes."
2022 Jul,Magnetic resonance imaging,Magn Reson Imaging. 2022 Jul;90:1-16. doi: 10.1016/j.mri.2022.03.004. Epub 2022 ,"['Jha, Ranjeet Ranjan', 'Pathak, Sudhir K', 'Nath, Vishwesh', 'Schneider, Walter', 'Kumar, B V Rathish', 'Bhavsar, Arnav', 'Nigam, Aditya']","['algorithms', 'brain diagnostic imaging', 'diffusion', 'diffusion magnetic resonance imaging methods', ' image processing, computer-assisted methods', ' white matter diagnostic imaging', 'diffusion mri', 'gans', 'multi-shell hardi', 'single shell hardi', 'spherical harmonics', 'fodf']",VRfRNet: Volumetric ROI fODF reconstruction network for estimation of multi-tissue constrained spherical deconvolution with only single shell dMRI.,"Diffusion MRI (dMRI) is one of the most popular techniques for studying the brain structure, mainly the white matter region. Among several sampling methods in dMRI, the high angular resolution diffusion imaging (HARDI) technique has attracted researchers due to its more accurate fiber orientation estimation. However, the current single-shell HARDI makes the intravoxel structure challenging to estimate accurately. While multi-shell acquisition can address this problem, it takes a longer scanning time, restricting its use in clinical applications. In addition, most existing dMRI scanners with low gradient-strengths often acquire single-shell up to b=1000s/mm(2) because of signal-to-noise ratio issues and severe image artefacts. Hence, we propose a novel generative adversarial network, VRfRNet, for the reconstruction of multi-shell multi-tissue fiber orientation distribution function from single-shell HARDI volumes. Such a transformation learning is performed in the spherical harmonics (SH) space, as raw input HARDI volume is transformed to SH coefficients to soften gradient directions. The proposed VRfRNet consists of several modules, such as multi-context feature enrichment module, feature level attention, and softmax level attention. In addition, three loss functions have been used to optimize network learning, including L(1), adversarial, and total variation. The network is trained and tested using standard qualitative and quantitative performance metrics on the publicly available HCP data-set."
2021 Dec 30,"Diagnostics (Basel, Switzerland)",Diagnostics (Basel). 2021 Dec 30;12(1):84. doi: 10.3390/diagnostics12010084.,"['Krieger, Don', 'Shepard, Paul', 'Soose, Ryan', 'Puccio, Ava', 'Beers, Sue', 'Schneider, Walter', 'Kontos, Anthony P', 'Collins, Michael W', 'Okonkwo, David O']","['camcan', 'team-tbi', 'anxiety', 'depression', 'insomnia', 'ocular', 'pain', 'post-concussion syndrome', 'sleep disorder', 'somatization', 'test-retest reliability', 'vestibular']",MEG-Derived Symptom-Sensitive Biomarkers with Long-Term Test-Retest Reliability.,"Neuroelectric measures derived from human magnetoencephalographic (MEG) recordings hold promise as aides to diagnosis and treatment monitoring and targeting for chronic sequelae of traumatic brain injury (TBI). This study tests novel MEG-derived regional brain measures of tonic neuroelectric activation for long-term test-retest reliability and sensitivity to symptoms. Resting state MEG recordings were obtained from a normative cohort (CamCAN, baseline: n = 613; mean 16-month follow-up: n = 245) and a chronic symptomatic TBI cohort (TEAM-TBI, baseline: n = 62; mean 6-month follow-up: n = 40). The MEG-derived neuroelectric measures were corrected for the empty-room contribution using a random forest classifier. The mean 16-month correlation between baseline and 16-month follow-up CamCAN measures was 0.67; test-retest reliability was markedly improved in this study compared with previous work. The TEAM-TBI cohort was screened for depression, somatization, and anxiety with the Brief Symptom Inventory and for insomnia with the Insomnia Severity Index and was assessed via adjudication for six clinical syndromes: chronic pain, psychological health, and oculomotor, vestibular, cognitive, and sleep dysfunction. Linear classifiers constructed from the 136 regional measures from each TEAM-TBI cohort member distinguished those with and without each symptom, p < 0.0003 for each, i.e., the tonic regional neuroelectric measures of activation are sensitive to the presence/absence of these symptoms and clinical syndromes. The novel regional MEG-derived neuroelectric measures obtained and tested in this study demonstrate the necessary and sufficient properties to be clinically useful, i.e., good test-retest reliability, sensitivity to symptoms in each individual, and obtainable using automatic processing without human judgement or intervention."
2021 Nov,NeuroImage,Neuroimage. 2021 Nov;243:118530. doi: 10.1016/j.neuroimage.2021.118530. Epub 2021 ,"['Huang, Susie Y', 'Witzel, Thomas', 'Keil, Boris', 'Scholz, Alina', 'Davids, Mathias', 'Dietz, Peter', 'Rummert, Elmar', 'Ramb, Rebecca', 'Kirsch, John E', 'Yendiki, Anastasia', 'Fan, Qiuyun', 'Tian, Qiyuan', 'Ramos-Llordén, Gabriel', 'Lee, Hong-Hsi', 'Nummenmaa, Aapo', 'Bilgic, Berkin', 'Setsompop, Kawin', 'Wang, Fuyixue', 'Avram, Alexandru V', 'Komlosh, Michal', 'Benjamini, Dan', 'Magdoom, Kulam Najmudeen', 'Pathak, Sudhir', 'Schneider, Walter', 'Novikov, Dmitry S', 'Fieremans, Els', 'Tounekti, Slimane', 'Mekkaoui, Choukri', 'Augustinack, Jean', 'Berger, Daniel', 'Shapson-Coe, Alexander', 'Lichtman, Jeff', 'Basser, Peter J', 'Wald, Lawrence L', 'Rosen, Bruce R']","['brain diagnostic imaging', 'connectome  methods', 'diffusion magnetic resonance imaging  methods', 'female', 'humans', 'male', 'neuroimaging methods', 'phantoms, imaging', 'axon diameter', 'connectome', 'diffusion mri', 'gray matter', 'head gradient', 'multi-scale modeling', 'peripheral nerve stimulation', 'tissue microstructure', 'validation']","Connectome 2.0: Developing the next-generation ultra-high gradient strength human MRI scanner for bridging studies of the micro-, meso- and macro-connectome.","The first phase of the Human Connectome Project pioneered advances in MRI technology for mapping the macroscopic structural connections of the living human brain through the engineering of a whole-body human MRI scanner equipped with maximum gradient strength of 300 mT/m, the highest ever achieved for human imaging. While this instrument has made important contributions to the understanding of macroscale connectional topology, it has also demonstrated the potential of dedicated high-gradient performance scanners to provide unparalleled in vivo assessment of neural tissue microstructure. Building on the initial groundwork laid by the original Connectome scanner, we have now embarked on an international, multi-site effort to build the next-generation human 3T Connectome scanner (Connectome 2.0) optimized for the study of neural tissue microstructure and connectional anatomy across multiple length scales. In order to maximize the resolution of this in vivo microscope for studies of the living human brain, we will push the diffusion resolution limit to unprecedented levels by (1) nearly doubling the current maximum gradient strength from 300 mT/m to 500 mT/m and tripling the maximum slew rate from 200 T/m/s to 600 T/m/s through the design of a one-of-a-kind head gradient coil optimized to minimize peripheral nerve stimulation; (2) developing high-sensitivity multi-channel radiofrequency receive coils for in vivo and ex vivo human brain imaging; (3) incorporating dynamic field monitoring to minimize image distortions and artifacts; (4) developing new pulse sequences to integrate the strongest diffusion encoding and highest spatial resolution ever achieved in the living human brain; and (5) calibrating the measurements obtained from this next-generation instrument through systematic validation of diffusion microstructural metrics in high-fidelity phantoms and ex vivo brain tissue at progressively finer scales with accompanying diffusion simulations in histology-based micro-geometries. We envision creating the ultimate diffusion MRI instrument capable of capturing the complex multi-scale organization of the living human brain - from the microscopic scale needed to probe cellular geometry, heterogeneity and plasticity, to the mesoscopic scale for quantifying the distinctions in cortical structure and connectivity that define cyto- and myeloarchitectonic boundaries, to improvements in estimates of macroscopic connectivity."
2021 Summer,Journal of special operations medicine : a peer reviewed journal for SOF medical ,J Spec Oper Med. 2021 Summer;21(2):61-66. doi: 10.55460/AEY2-8NRI.,"['Eagle, Shawn R', 'Kontos, Anthony P', 'Collins, Michael W', 'Mucha, Anne', 'Holland, Cyndi L', 'Edelman, Kathryn', 'Benso, Steven', 'Schneider, Walter', 'Soose, Ryan', 'Okonkwo, David O']","['adult', 'anxiety', ' brain concussion complications diagnosis therapy', 'female', 'humans', 'male', ' military personnel', ' post-concussion syndrome diagnosis therapy', 'prospective studies']","Targeted Intervention Improves Symptoms and Impairments in Patients With Mild Traumatic Brain Injury With Chronic Symptom: A Prospective, Multiple Interventional Research Trial.","BACKGROUND: Mild traumatic brain injury (mTBI) and its potential long-term consequences is a primary concern for the US military. The purpose of the study is to evaluate if participants improved in anxiety/mood symptoms, sleep quality, and vestibular/ocular symptoms following a 6-month active intervention, and to explore the effect of targeted treatment for those with specific symptoms/impairments (e.g., psychological, sleep, ocular, vestibular). MATERIALS AND METHODS: A multidisciplinary clinical team adjudicated participants (n=72, 35.8±8.6 years old, 19% female) to have one of the following primary clinical trajectories: psychological (PSYCH; n=34), sleep (SLEEP; n=25) and vestibular/ocular (VESTIB/OCULAR; n=18). Participants returned for follow-up assessment 6 months later. Assessments included the Post-Concussion Symptom Scale [PCSS], Generalized Anxiety Disorder-7 [GAD-7], Pittsburgh Sleep Quality Index [PSQI], and Dizziness Handicap Inventory [DHI]. Change in concussion symptoms and primary outcome for the given trajectory (i.e., PSYCH=GAD-7, SLEEP=PSQI, VESTIB/OCULAR=DHI) was assessed. RESULTS: Following the 6-month intervention, participants reduced PCSS Score (-14.5±2.4; p<.001; η2=0.34), GAD-7 (-3.1±0.5; p<.001; η2=0.34), PSQI (-2.7±0.5; p<.001; η2=0.34) and DHI (-9.2±2.0; p<.001; η2=0.23). PSYCH (n=34) reduced PCSS score (-17.9±3.6; p<.001; η2=0.45) and GAD-7 (-3.1±0.7; p<.001; η2=0.38). SLEEP (n=25) reduced PCSS score (-8.8±4.4; p=.06; η2=0.15) and PSQI (-3.6±0.9; p<.001; η2=0.45) scores. VESTIB/OCULAR (n=18) reduced PCSS score (-16.7±4.8; p=.03; η2=0.45), and DHI (-15.7±5.5; p=.012; η2=0.35). CONCLUSIONS: Large effects were observed for concussion, anxiety, sleep, and dizziness symptom reduction over 6-month treatment. Each primary outcome demonstrated a larger treatment effect for the given trajectory than the overall sample, indicating that targeted treatment can reduce symptom burden in patients with mTBI with chronic symptoms."
