time,journal,doi_info,authors,key words,title,abstract
2024 May-Jun,Sports health,Sports Health. 2024 May-Jun;16(3):347-357. doi: 10.1177/19417381231197217. Epub ,"['Strama, Emily', 'Keenan, Karen A', 'Sell, Timothy', 'Faherty, Mallory', 'Rafferty, Deirdre', 'Salesi, Karl', 'Csonka, Jennifer', 'Varnell, Michelle']","['humans', 'adolescent', 'young adult', 'adult', 'prospective studies', ' shoulder joint', ' shoulder injuries epidemiology', ' baseball injuries', 'range of motion, articular', 'shoulder pain epidemiology', 'upper extremity', 'athlete', 'glenohumeral internal rotation deficit', 'pain', 'shoulder', 'upper extremity']",Throwing Shoulder Adaptations Are Not Related to Shoulder Injury or Pain: A Preliminary Report.,"BACKGROUND: Overhead throwing in baseball and softball athletes induces shoulder adaptations theorized to increase risk of shoulder musculoskeletal injury (MSI) and/or pain due to range of motion (ROM) deficits. HYPOTHESIS: Shoulder ROM adaptations are associated with a higher risk for developing shoulder MSI and pain. STUDY DESIGN: Prospective cohort study. LEVEL OF EVIDENCE: Level 3. METHODS: A total of 60 National Collegiate Athletic Association Division I athletes cleared for full athletic participation and free from upper extremity MSI in the last 4 weeks (age, 19.0 ± 1.2 years; weight, 82.1 ± 13.7 kg; height, 178.6 ± 11.2 cm; softball, n = 23; baseball, n = 37). Passive glenohumeral internal rotation (IR), external rotation (ER), and horizontal adduction (HA) ROM were measured with the scapula stabilized and used to categorize participants with/without external rotation gain (ERG), external rotation insufficiency (ERI), glenohumeral internal rotation deficit (GIRD), pathological GIRD, and posterior shoulder tightness (PST) before the competitive season. Groups were then compared to assess the incidence of shoulder MSI prospectively and prevalence of shoulder pain at the initial evaluation. RESULTS: Baseball and softball athletes demonstrated significantly less IR ROM in the dominant shoulder (50.6° ± 9.4°) compared with the nondominant shoulder (59.1° ± 8.6°; P < 0.01) and significantly more ER ROM (dominant, 104.6° ± 12.1°; nondominant, 97.7° ± 12.0°; P < 0.01). Incidence of shoulder MSI was 15% but was not significantly related to any shoulder adaptations. No significant relationship was found between prevalence of pain and any shoulder adaptations in the 27% of athletes with pain. CONCLUSION: Increased ER and decreased IR ROM adaptations in intercollegiate overhead throwing athletes do not appear to be correlated to risk of shoulder MSI or pain. CLINICAL RELEVANCE: The findings of this level 3 prospective study provide clinicians working with overhead athletes information regarding shoulder MSI risk and pain. It is recommended that clinicians should not use ROM adaptations exclusively to determine increased risk of shoulder MSI."
2022 May,Physical therapy in sport : official journal of the Association of Chartered ,Phys Ther Sport. 2022 May;55:55-60. doi: 10.1016/j.ptsp.2022.02.004. Epub 2022 ,"['Vosburg, Emily', 'Hinkey, Michelle', 'Meyers, Rachel', 'Csonka, Jennifer', 'Salesi, Karl', 'Siesel, Tara', 'Fonseca, Jose', 'Zarzour, Robert', 'Sell, Timothy', 'Faherty, Mallory']","['athletes', ' basketball injuries', 'humans', 'knee joint physiology', ' leg injuries', 'lower extremity', 'muscle strength physiology', ' soccer injuries', 'collegiate athletes', 'isometric strength', 'lower extremity', 'musculoskeletal injury', 'strength ratio']",The association between lower extremity strength ratios and the history of injury in collegiate athletes.,"CONTEXT: Strength ratios are important because imbalances in opposing muscle groups can cause articular instability and subsequently increase the risk of musculoskeletal injury (MSKI). Therefore, the purpose of this study was to evaluate the association between lower extremity (LE) musculoskeletal isometric strength ratios and the history of LE MSKI. PARTI"
2021,International journal of sports physical therapy,Int J Sports Phys Ther. 2021 Oct 1;16(5):1273-1277. doi: 10.26603/001c.28099. ,"['Ingel, Nicolette', 'Vice, Victoria', 'Dommer, Courtney', 'Csonka, Jennifer', 'Moore, Tara', 'Zaleski, Ariel', 'Killelea, Carolyn', 'Faherty, Mallory', 'Feld, Jody', 'Sell, Timothy']","['postural stability', 'sex differences', 'vision']",Examining Sex Differences in Visual Reliance During Postural Control in Intercollegiate Athletes.,"BACKGROUND: Risk factors for different sports injuries vary between sexes. Deficits in postural stability have been associated with several lower extremity injuries. The purpose of this study was to examine the differences in static postural stability between male and female intercollegiate athletes with and without visual information. # HypothesisThere will be no difference in visual reliance between sexes during static postural stability. STUDY DESIGN: Cross-sectional Study. METHODS: Static postural stability was assessed during a single session for football, soccer, basketball, and volleyball intercollegiate athletes (males, n=135, females, n=51) under eyes open (EO) and eyes closed (EC) conditions via performance of single limb stance on a force plate. Ground reaction force component data in all directions were quantified as a unitless composite score (COMP) where lower values indicated better postural stability. The absolute change and percentage change between EO and EC conditions were calculated for each sex. Two-sample Kolmogorov-Smirnov tests were used to compare differences between sexes. RESULTS: Males had greater EO COMP (males=7.77±3.40; females=6.48±4.61; p=0.038; Cohen's d=0.343) and EC COMP (males=19.43±8.91; females 14.66±6.65; p=0.001; Cohen's d=0.571) than females. A significant difference in absolute change from EO to EC was observed between sexes (males=-11.65±7.05; females=-8.18±5.61; p=0.01, Cohen's d=-0.520) indicating that males had a greater change between conditions for the worse. There was no significant difference in percent change from EO to EC between sexes (males=159.2±90.7; females=156.7±109.2; p=0.39; Cohen's d=0.026). CONCLUSIONS: The observed differences between males and females in EO COMP, EC COMP, and absolute difference in COMP indicate that there is some factor that causes a difference in static postural stability between sexes. No difference in percent change between groups indicates that the difference in static postural stability between sexes may not be due to visual reliance. Female athletes may inherently have better postural stability than males, but both sexes were able to compensate for the loss of visual input. LEVEL OF EVIDENCE: 3."
2021 Feb 1,International journal of sports physical therapy,Int J Sports Phys Ther. 2021 Feb 1;16(1):64-71. doi: 10.26603/001c.18817.,"['Olsen, Bryce', 'Freijomil, Nicholas', 'Csonka, Jennifer', 'Moore, Tara', 'Killelea, Carolyn', 'Faherty, Mallory S', 'Sell, Timothy C']","['balance', 'hip strength', 'injury prevention', 'movement system', 'physical therapy', 'postural stability', 'rehabilitation']",The Relationship Between Hip Strength and Postural Stability in Collegiate Athletes Who Participate in Lower Extremity Dominant Sports.,"BACKGROUND: Lower extremity (LE) injuries are common across many sports. Both core strength (including hip strength) deficits and poor postural stability have been linked to lower extremity (LE) injury. The relationship between these two characteristics is unknown. PURPOSE: To explore the relationships between hip strength, static postural stability, and dynamic postural stability. STUDY DESIGN: Descriptive Cross-Sectional Study. METHODS: 162 Division I student-athletes (111 males and 51 females) participated in this study. Isometric hip strength was measured using a hand-held dynamometer and both single-leg static (eyes open EO and eyes closed EC) and dynamic postural stability were assessed with a force plate. Pairwise correlations were calculated to examine the relationship between the hip strength variables and the postural stability scores for all subjects and separately for males and females. RESULTS: There were no significant correlations between hip strength and dynamic postural stability for any of the pairwise correlations. Significant, albeit minimal, correlations between EO and EC static postural stability and each of the hip strength variables for all subjects and male subjects (correlation coefficients ranged from -0.19 to -0.34). However, there were only two significant correlations between hip strength and EC static postural stability (hip internal/external rotation) and one for hip strength and EO postural stability (hip internal rotation) found for female subjects (correlation coefficients ranged from -0.28 to -0.31). CONCLUSION: There was no relationship between isometric hip strength and dynamic postural stability; whereas, there were some relationships between the strength measures and static postural stability. These significant, but minimal correlations were observed in more of the comparisons within the male cohort potentially demonstrating a sex difference. LEVEL OF EVIDENCE: 3b."
2017 Dec 14,BMJ open,BMJ Open. 2017 Dec 14;7(12):e017434. doi: 10.1136/bmjopen-2017-017434.,"['Lovalekar, Mita', 'Abt, John P', 'Sell, Timothy C', 'Lephart, Scott M', 'Pletcher, Erin', 'Beals, Kim']","['adult', 'cross-sectional studies', 'female', 'fractures, bone  epidemiology', 'humans', 'male', 'medical records', ' mental recall', ' military personnel', 'musculoskeletal diseases  epidemiology', 'risk factors', ' self report', 'united states', 'young adult', 'mental recall', 'military personnel', 'musculoskeletal system injuries', 'sports medicine']",Accuracy of recall of musculoskeletal injuries in elite military personnel: a cross-sectional study.,BACKGROUND: Self-reported data are often used in research studies among military populations. OBJECTIVE: The accuracy of self-reported musculoskeletal injury data among elite military personnel was assessed for issues with recall. DESIGN: Cross-sectional study. SETTING: Applied research laboratory at a military installation. PARTI
2017 Dec,Journal of athletic training,J Athl Train. 2017 Dec;52(12):1153-1160. doi: 10.4085/1062-6050-52.12.22. Epub ,"['Heebner, Nicholas R', 'Abt, John P', 'Lovalekar, Mita', 'Beals, Kim', 'Sell, Timothy C', 'Morgan, Jeffery', 'Kane, Shawn', 'Lephart, Scott']","['adult', 'anterior cruciate ligament injuries', 'biomechanical phenomena', 'body composition', 'female', 'humans', 'incidence', 'knee injuries epidemiology  physiopathology', 'knee joint  physiopathology', 'male', 'military personnel  statistics & numerical data', 'prospective studies', 'range of motion, articular  physiology', 'united states epidemiology', 'biomechanics', 'flexibility', 'military athletes', 'strength']",Physical and Performance Characteristics Related to Unintentional Musculoskeletal Injury in Special Forces Operators: A Prospective Analysis.,CONTEXT: Seventy-seven percent of musculoskeletal injuries sustained by United States Army Special Forces Operators are preventable. Identification of predictive characteristics will promote the development of screening methods to augment injury-prevention programs. OBJECTIVE: To determine physical and performance characteristics that predict musculoskeletal injuries. SETTING: Clinical laboratory. PATIENTS OR OTHER PARTI
2017 Dec,Journal of athletic training,J Athl Train. 2017 Dec;52(12):1101-1108. doi: 10.4085/1062-6050-52.11.25. Epub ,"['Heebner, Nicholas R', 'Rafferty, Deirdre M', 'Wohleber, Meleesa F', 'Simonson, Andrew J', 'Lovalekar, Mita', 'Reinert, Andrew', 'Sell, Timothy C']","['adult', 'ankle joint  physiology', 'anterior cruciate ligament  physiology', 'anterior cruciate ligament injuries prevention & control', 'biomechanical phenomena', 'female', 'humans', 'kinetics', 'knee injuries prevention & control', 'knee joint  physiology', 'male', 'drop landing', 'landing biomechanics', 'military athletes', 'stop jump']",Landing Kinematics and Kinetics at the Knee During Different Landing Tasks.,"CONTEXT: Several tasks have been used to examine landing biomechanics for evaluation and rehabilitation, especially as related to anterior cruciate ligament injuries. However, comparing results among studies in which different tasks were used can be difficult, and it is unclear which task may be most appropriate. OBJECTIVE: To compare lower extremity biomechanics across 5 commonly used landing tasks. DESIGN: Descriptive laboratory study. SETTING: University-operated US Air Force Special Operations Forces human performance research laboratory. PATIENTS OR OTHER PARTI"
2017,"Work (Reading, Mass.)",Work. 2017;58(2):111-119. doi: 10.3233/WOR-172615.,"['Eagle, Shawn R', 'Nagai, Takashi', 'Morgan, Paul', 'Hendershot, Renee', 'Sell, Timothy C']","['adult', 'biomechanical phenomena', 'cervical vertebrae  pathology', 'female', 'humans', 'male', 'military personnel  statistics & numerical data', 'muscle strength physiology', 'radiculopathy  complications etiology', ' range of motion, articular', 'students  statistics & numerical data', 'neck', 'military', 'special operation forces']",Naval Special Warfare (NSW) crewmen demonstrate diminished cervical strength and range of motion compared to NSW students.,"BACKGROUND: Cumulative effects of high-impact vertical forces, like those experienced on an open-ocean mission, could be an injury concern for the cervical spine. OBJECTIVE: Compare cervical range of motion (ROM) and strength measures between students and NSW Crewmen and secondarily to compare these measures between students and Crewmen separated into three groups based on years of service. METHODS: A volunteer sample of 186 students (age: 22.8±3.1 years) and 167 Operators (age: 26.9±5.1 years) completed cervical isometric strength (% BW) and ROM (°) measurements using a handheld dynamometer and CROM-3 device, respectively. Independent samples t-tests were done to evaluate differences between students and Crewmen. Analysis of Variance and appropriate post-hoc tests were calculated to compare students to Crewmen separated into three groups based on years of service. Data is reported as mean±SD and (student mean vs. Operator mean). RESULTS: Students demonstrated higher flexion strength (21.7±4.9 vs. 19.1±5.0) and greater ROM: flexion (54.3±10.6 vs. 51.2±9.2), and extension (77.0±14.4 vs. 71.3±11.4) than Crewmen. Students demonstrated greater flexion strength than Crewmen with ≤2 (19.4±5.1), 3-6 (19.4±5.3), and ≥7 (18.6±4.7) years of service. CONCLUSIONS: Students demonstrated greater cervical strength and ROM. A trend of decreasing ROM/strength in Crewmen with greater years of service was also observed."
2018 May,Journal of sports sciences,J Sports Sci. 2018 May;36(10):1155-1161. doi: 10.1080/02640414.2017.1363402. Epub ,"['Johnson, Caleb D', 'Williams, Valerie J', 'Heebner, Nicholas R', 'Wohleber, Meleesa F', 'Simonson, Andrew J', 'Rafferty, Deirdre M', 'Reinert, Andrew', 'Sell, Timothy C']","['adult', 'biomechanical phenomena', 'feedback, sensory  physiology', 'humans', 'lower extremity  physiology', 'male', ' plyometric exercise', 'postural balance physiology', 'psychological tests', 'task performance and analysis', 'postural stability', 'sot', 'landing mechanics', 'sensory organization test', 'stop-jump']",Relationship of performance on the sensory organization test to landing characteristics.,"Jump landing tasks have been used to assess landing characteristics and require significant sensorimotor feedback to maintain functional joint stability (FJS) throughout the task. Postural stability (PS) also requires significant sensorimotor feedback and control and would seemingly involve similar sensory feedback pathways. However, previous literature clarifying the relationship between these two processes, maintaining FJS and PS, is limited. 80 Special Tactics Operators. PS was assessed using the Sensory Organization Test (SOT). SOT variables included: Composite, Somatosensory, Visual, Vestibular, and Preference scores. Landing characteristics were assessed using motion analysis during a double-legged (DLSJ) and single-legged (SLSJ) stop jump task. Pearson's correlation coefficients were calculated to assess the relationship between SOT scores and landing characteristics (α < .05). For the DLSJ, significant correlations were found between: Composite and peak posterior ground reaction forces (-.257), Vestibular and peak knee abduction moment (-.237), and Preference and initial contact hip flexion (-.297), peak hip flexion (-.249). For the SLSJ, significant correlations were found between: Somatosensory and peak vertical ground reaction forces (-.246); Preference and initial contact hip flexion (-.295), peak hip flexion (-.262). The results indicate that the SOT may not be a sensitive enough tool to assess sensorimotor control in a healthy, athletic population."
2017 Aug,"Clinical biomechanics (Bristol, Avon)","Clin Biomech (Bristol, Avon). 2017 Aug;47:27-32. doi: ","['Bansbach, Heather M', 'Lovalekar, Mita T', 'Abt, John P', 'Rafferty, Deirdre', 'Yount, Darcie', 'Sell, Timothy C']","['adult', 'ankle injuries  physiopathology', 'ankle joint  physiopathology', 'biomechanical phenomena', 'female', 'humans', 'joint instability  physiopathology', 'male', ' military personnel', 'postural balance  physiology', 'self report', 'united states', 'ankle injury', 'military', 'postural stability', 'self-reported']",Military personnel with self-reported ankle injuries do not demonstrate deficits in dynamic postural stability or landing kinematics.,"BACKGROUND: The odds of sustaining non-contact musculoskeletal injuries are higher in Special Operations Forces operators than in infantry soldiers. The ankle is one of the most commonly injured joints, and once injured can put individuals at risk for reinjury. The purpose of this study was to determine if any differences in postural stability and landing kinematics exist between operators with a self-reported ankle injury in the past one year and uninjured controls. METHODS: A total of 55 Special Operations Forces operators were included in this analysis. Comparisons were made between operators with a self-reported ankle injury within one-year of their test date (n=11) and healthy matched controls (n=44). Comparisons were also made between injured and uninjured limbs within the injured group. Dynamic postural stability and landing kinematics at the ankle, knee, and hip were assessed during a single-leg jump-landing task. Comparisons were made between groups with independent t-tests and within the injured group between limbs using paired t-tests. FINDINGS: There were no significant differences in dynamic postural stability index or landing kinematics between the injured and uninjured groups. Anterior-posterior stability index was significantly higher on the uninjured limb compared to the injured limb within the injured group (P=0.02). INTERPRETATION: Single ankle injuries sustained by operators may not lead to deficits in dynamic postural stability. Dynamic postural stability index and landing kinematics within one year after injury were either not affected by the injuries reported, or injured operators were trained back to baseline measures through rehabilitation and daily activity."
