time,journal,doi_info,authors,key words,title,abstract
2022 May,IEEE transactions on control systems technology : a publication of the IEEE ,IEEE Trans Control Syst Technol. 2022 May;30(3):1021-1036. doi: ,"['Molazadeh, Vahidreza', 'Zhang, Qiang', 'Bao, Xuefeng', 'Sharma, Nitin']","['functional electrical stimulation', 'hybrid exoskeleton', 'iterative learning control', 'neural networks', 'powered exoskeleton', 'virtual constraints']",An Iterative Learning Controller for a Switched Cooperative Allocation Strategy during Sit-to-Stand Tasks with a Hybrid Exoskeleton.,"A hybrid exoskeleton that combines functional electrical stimulation (FES) and a powered exoskeleton is an emerging technology for assisting people with mobility disorders. The cooperative use of FES and the exoskeleton allows active muscle contractions via FES while robustifying torque generation to reduce FES-induced muscle fatigue. In this paper, a switched distribution of allocation ratios between FES and electric motors in a closed-loop adaptive control design is explored for the first time. The new controller uses an iterative learning neural network (NN)-based control law to compensate for structured and unstructured parametric uncertainties in the hybrid exoskeleton model. A discrete Lyapunov-like stability analysis that uses a common energy function proves asymptotic stability for the switched system with iterative learning update laws. Five human participants, including a person with complete spinal cord injury, performed sit-to-stand tasks with the new controller. The experimental results showed that the synthesized controller, in a few iterations, reduced the root mean square error between desired positions and actual positions of the knee and hip joints by 46.20% and 53.34%, respectively. The sit-to-stand experimental results also show that the proposed NN-based iterative learning control (NNILC) approach can recover the asymptotically trajectory tracking performance despite the switching of allocation levels between FES and electric motor. Compared to a proportional-derivative controller and traditional iterative learning control, the findings showed that the new controller can potentially simplify the clinical implementation of the hybrid exoskeleton with minimal parameters tuning."
2021 Sep,IEEE transactions on control systems technology : a publication of the IEEE ,IEEE Trans Control Syst Technol. 2021 Sep;29(5):2180-2191. doi: ,"['Bao, Xuefeng', 'Sheng, Zhiyu', 'Dicianno, Brad E', 'Sharma, Nitin']",[],A Tube-based Model Predictive Control Method to Regulate a Knee Joint with Functional Electrical Stimulation and Electric Motor Assist.,"A hybrid neuroprosthesis system is a promising rehabilitation technology to restore lower-limb function in persons with paraplegia. The technology combines functional electrical stimulation (FES) and a powered lower limb exoskeleton to produce movements for walking and standing. The main control challenge in the hybrid neuroprosthesis is to achieve an optimal coordination between FES and electric motors. Model-based optimal control methods have been suggested for the control of the hybrid neuroprosthesis. However, it is often difficult to effect robust control performance with model-based optimal control methods due to modeling uncertainties. A tube-based model predictive control (MPC) method is developed to obtain robust and optimal coordination between FES and an electric motor during a knee regulation task. An external feedback control is used to limit the error between the actual position and the MPC-computed nominal position. The tube-based MPC method is proven to have recursive feasibility, compliance to input constraints, and exponentially bounded stability. The experimental results obtained from an able-bodied participant and a participant with spinal cord injury validate the controller's ability to allocate control inputs to FES and the electric motor as well as method's robustness to modeling uncertainties."
2022 Jan 3,"Sensors (Basel, Switzerland)",Sensors (Basel). 2022 Jan 3;22(1):335. doi: 10.3390/s22010335.,"['Zhang, Qiang', 'Iyer, Ashwin', 'Lambeth, Krysten', 'Kim, Kang', 'Sharma, Nitin']","['electric stimulation', 'humans', ' isometric contraction', 'muscle contraction', ' muscle fatigue', 'muscle, skeletal', 'ultrasonography', 'ankle joint', 'biomechanical phenomena', 'electrical stimulation', 'linear models', 'muscle fatigue', 'nonlinear dynamics', 'ultrasonography']",Ultrasound Echogenicity as an Indicator of Muscle Fatigue during Functional Electrical Stimulation.,"Functional electrical stimulation (FES) is a potential neurorehabilitative intervention to enable functional movements in persons with neurological conditions that cause mobility impairments. However, the quick onset of muscle fatigue during FES is a significant challenge for sustaining the desired functional movements for more extended periods. Therefore, a considerable interest still exists in the development of sensing techniques that reliably measure FES-induced muscle fatigue. This study proposes to use ultrasound (US) imaging-derived echogenicity signal as an indicator of FES-induced muscle fatigue. We hypothesized that the US-derived echogenicity signal is sensitive to FES-induced muscle fatigue under isometric and dynamic muscle contraction conditions. Eight non-disabled participants participated in the experiments, where FES electrodes were applied on their tibialis anterior (TA) muscles. During a fatigue protocol under either isometric and dynamic ankle dorsiflexion conditions, we synchronously collected the isometric dorsiflexion torque or dynamic dorsiflexion angle on the ankle joint, US echogenicity signals from TA muscle, and the applied stimulation intensity. The experimental results showed an exponential reduction in the US echogenicity relative change (ERC) as the fatigue progressed under the isometric (R2=0.891±0.081) and dynamic (R2=0.858±0.065) conditions. The experimental results also implied a strong linear relationship between US ERC and TA muscle fatigue benchmark (dorsiflexion torque or angle amplitude), with R2 values of 0.840±0.054 and 0.794±0.065 under isometric and dynamic conditions, respectively. The findings in this study indicate that the US echogenicity signal is a computationally efficient signal that strongly represents FES-induced muscle fatigue. Its potential real-time implementation to detect fatigue can facilitate an FES closed-loop controller design that considers the FES-induced muscle fatigue."
2021,Frontiers in robotics and AI,Front Robot AI. 2021 Nov 3;8:711388. doi: 10.3389/frobt.2021.711388. eCollection ,"['Molazadeh, Vahidreza', 'Zhang, Qiang', 'Bao, Xuefeng', 'Dicianno, Brad E', 'Sharma, Nitin']","['exoskeleton', 'functional electrical stimulation (fes)', 'iterative learning', 'shared control', 'wearable robot']",Shared Control of a Powered Exoskeleton and Functional Electrical Stimulation Using Iterative Learning.,"A hybrid exoskeleton comprising a powered exoskeleton and functional electrical stimulation (FES) is a promising technology for restoration of standing and walking functions after a neurological injury. Its shared control remains challenging due to the need to optimally distribute joint torques among FES and the powered exoskeleton while compensating for the FES-induced muscle fatigue and ensuring performance despite highly nonlinear and uncertain skeletal muscle behavior. This study develops a bi-level hierarchical control design for shared control of a powered exoskeleton and FES to overcome these challenges. A higher-level neural network-based iterative learning controller (NNILC) is derived to generate torques needed to drive the hybrid system. Then, a low-level model predictive control (MPC)-based allocation strategy optimally distributes the torque contributions between FES and the exoskeleton's knee motors based on the muscle fatigue and recovery characteristics of a participant's quadriceps muscles. A Lyapunov-like stability analysis proves global asymptotic tracking of state-dependent desired joint trajectories. The experimental results on four non-disabled participants validate the effectiveness of the proposed NNILC-MPC framework. The root mean square error (RMSE) of the knee joint and the hip joint was reduced by 71.96 and 74.57%, respectively, in the fourth iteration compared to the RMSE in the 1st sit-to-stand iteration."
2020 May,IEEE transactions on medical robotics and bionics,IEEE Trans Med Robot Bionics. 2020 May;2(2):226-235. doi: ,"['Bao, Xuefeng', 'Molazadeh, Vahidreza', 'Dodson, Albert', 'Dicianno, Brad E', 'Sharma, Nitin']","['functional electrical stimulation', 'hybrid neuroprosthesis', 'model predictive control', 'muscle fatigue', 'nonlinear control', 'powered exoskeleton']",Using Person-Specific Muscle Fatigue Characteristics to Optimally Allocate Control in a Hybrid Exoskeleton - Preliminary Results.,"Currently controllers that dynamically modulate functional electrical stimulation (FES) and a powered exoskeleton at the same time during standing-up movements are largely unavailable. In this paper, an optimal shared control of FES and a powered exoskeleton is designed to perform sitting to standing (STS) movements with a hybrid exoskeleton. A hierarchical control design is proposed to overcome the difficulties associated with developing an optimal real-time solution for the highly nonlinear and uncertain STS control model with multiple degrees of freedom. A higher-level robust nonlinear control design is derived to exponentially track a time-invariant desired STS movement profile. Then, a lower-level optimal control allocator is designed to distribute control between FES and the knee electric motors. The allocator uses a person's muscle fatigue and recovery dynamics to determine an optimal ratio between the FES-elicited knee torque and the exoskeleton assist. Experiments were performed on human participants, two persons without disability and one person with spinal cord injury (S"
2021 Jan,Annals of biomedical engineering,Ann Biomed Eng. 2021 Jan;49(1):262-275. doi: 10.1007/s10439-020-02536-7. Epub ,"['Sheng, Zhiyu', 'Sharma, Nitin', 'Kim, Kang']","['adult', 'electric stimulation', 'female', 'humans', 'isometric contraction', 'male', 'muscle fatigue  physiology', 'quadriceps muscle  diagnostic imaging  physiology', 'ultrasonography', 'young adult', 'muscle fatigue effects', 'neuromuscular electrical stimulation (nmes)', 'ultrasound imaging', 'ultrasound speckle tracking']",Ultra-High-Frame-Rate Ultrasound Monitoring of Muscle Contractility Changes Due to Neuromuscular Electrical Stimulation.,"The quick onset of muscle fatigue is a critical issue when applying neuromuscular electrical stimulation (NMES) to generate muscle contractions for functional limb movements, which were lost/impaired due to a neurological disorder or an injury. For in situ assessment of the effect of NMES-induced muscle fatigue, a novel noninvasive sensor modality that can quantify the degraded contractility of a targeted muscle is required. In this study, instantaneous strain maps of a contracting muscle were derived from ultra-high-frame-rate (2 kHz) ultrasound images to quantify the contractility. A correlation between strain maps and isometric contraction force values was investigated. When the muscle reached its maximum contraction, the maximum and the mean values of the strain map were correlated with the force values and were further used to stage the contractility change. During the muscle activation period, a novel methodology based on the principal component regression (PCR) was proposed to explore the strain-force correlation. The quadriceps muscle of 3 able-bodied human participants was investigated during NMES-elicited isometric knee extension experiments. Strong to very strong correlation results were obtained and indicate that the proposed measurements from ultrasound images are promising to quantify the muscle contractility changes during NMES."
2019 Oct 1,Journal of computational and nonlinear dynamics,J Comput Nonlinear Dyn. 2019 Oct 1;14(10):101009-1010097. doi: 10.1115/1.4042903. ,"['Bao, Xuefeng', 'Kirsch, Nicholas', 'Dodson, Albert', 'Sharma, Nitin']",[],Model Predictive Control of a Feedback-Linearized Hybrid Neuroprosthetic System With a Barrier Penalty.,"Functional electrical stimulation (FES) is prescribed as a treatment to restore motor function in individuals with neurological impairments. However, the rapid onset of FES-induced muscle fatigue significantly limits its duration of use and limb movement quality. In this paper, an electric motor-assist is proposed to alleviate the fatigue effects by sharing work load with FES. A model predictive control (MPC) method is used to allocate control inputs to FES and the electric motor. To reduce the computational load, the dynamics is feedback linearized so that the nominal model inside the MPC method becomes linear. The state variables: the angular position and the muscle fatigue are still preserved in the transformed state space to keep the optimization meaningful. Because after feedback linearization the original linear input constraints may become nonlinear and state-dependent, a barrier cost function is used to overcome this issue. The simulation results show a satisfactory control performance and a reduction in the computation due to the linearization."
2019 Sep,International journal of intelligent robotics and applications,Int J Intell Robot Appl. 2019 Sep;3(3):298-313. doi: 10.1007/s41315-019-00100-8. ,"['Bao, Xuefeng', 'Mao, Zhi-Hong', 'Munro, Paul', 'Sun, Ziyue', 'Sharma, Nitin']",[],Sub-optimally Solving Actuator Redundancy in a Hybrid Neuroprosthetic System with a Multi-layer Neural Network Structure.,"Functional electrical stimulation (FES) has recently been proposed as a supplementary torque assist in lower-limb powered exoskeletons for persons with paraplegia. In the combined system, also known as a hybrid neuroprosthesis, both FES-assist and the exoskeleton act to generate lower-limb torques to achieve standing and walking functions. Due to this actuator redundancy, we are motivated to optimally allocate FES-assist and exoskeleton torque based on a performance index that penalizes FES overuse to minimize muscle fatigue while also minimizing regulation or tracking errors. Traditional optimal control approaches need a system model to optimize; however, it is often difficult to formulate a musculoskeletal model that accurately predicts muscle responses due to FES. In this paper, we use a novel identification and control structure that contains a recurrent neural network (RNN) and several feedforward neural networks (FNNs). The RNN is trained by supervised learning to identify the system dynamics, while the FNNs are trained by a reinforcement learning method to provide sub-optimal control actions. The output layer of each FNN has its unique activation functions, so that the asymmetric constraint of FES and the symmetric constraint of exoskeleton motor control input can be realized. This new structure is experimentally validated on a seated human participant using a single joint hybrid neuroprosthesis."
2018,Frontiers in neuroscience,Front Neurosci. 2018 Apr 10;12:159. doi: 10.3389/fnins.2018.00159. eCollection ,"['Alibeji, Naji A', 'Molazadeh, Vahidreza', 'Dicianno, Brad E', 'Sharma, Nitin']","['lyapunov', 'hybrid neuroprosthesis', 'neuromuscular stimulation', 'nonlinear control', 'synergy']",A Control Scheme That Uses Dynamic Postural Synergies to Coordinate a Hybrid Walking Neuroprosthesis: Theory and Experiments.,"A hybrid walking neuroprosthesis that combines functional electrical stimulation (FES) with a powered lower limb exoskeleton can be used to restore walking in persons with paraplegia. It provides therapeutic benefits of FES and torque reliability of the powered exoskeleton. Moreover, by harnessing metabolic power of muscles via FES, the hybrid combination has a potential to lower power consumption and reduce actuator size in the powered exoskeleton. Its control design, however, must overcome the challenges of actuator redundancy due to the combined use of FES and electric motor. Further, dynamic disturbances such as electromechanical delay (EMD) and muscle fatigue must be considered during the control design process. This ensures stability and control performance despite disparate dynamics of FES and electric motor. In this paper, a general framework to coordinate FES of multiple gait-governing muscles with electric motors is presented. A muscle synergy-inspired control framework is used to derive the controller and is motivated mainly to address the actuator redundancy issue. Dynamic postural synergies between FES of the muscles and the electric motors were artificially generated through optimizations and result in key dynamic postures when activated. These synergies were used in the feedforward path of the control system. A dynamic surface control technique, modified with a delay compensation term, is used as the feedback controller to address model uncertainty, the cascaded muscle activation dynamics, and EMD. To address muscle fatigue, the stimulation levels in the feedforward path were gradually increased based on a model-based fatigue estimate. A Lyapunov-based stability approach was used to derive the controller and guarantee its stability. The synergy-based controller was demonstrated experimentally on an able-bodied subject and person with an incomplete spinal cord injury."
2017 Aug,IEEE/ASME transactions on mechatronics : a joint publication of the IEEE ,IEEE ASME Trans Mechatron. 2017 Aug;22(4):1755-1764. doi: ,"['Alibeji, Naji', 'Kirsch, Nicholas', 'Dicianno, Brad E', 'Sharma, Nitin']",[],A Modified Dynamic Surface Controller for Delayed Neuromuscular Electrical Stimulation.,"A widely accepted model of muscle force generation during neuromuscular electrical stimulation (NMES) is a second-order nonlinear musculoskeletal dynamics cascaded to a delayed first-order muscle activation dynamics. However, most nonlinear NMES control methods have either neglected the muscle activation dynamics or used an ad hoc strategies to tackle the muscle activation dynamics, which may not guarantee control stability. We hypothesized that a nonlinear control design that includes muscle activation dynamics can improve the control performance. In this paper, a dynamic surface control (DSC) approach was used to design a PID-based NMES controller that compensates for EMD in the activation dynamics. Because the muscle activation is unmeasurable, a model based estimator was used to estimate the muscle activation in realtime. The Lyapunov stability analysis confirmed that the newly developed controller achieves semi-global uniformly ultimately bounded (SGUUB) tracking for the musculoskeletal system. Experiments were performed on two able-bodied subjects and one spinal cord injury subject using a modified leg extension machine. These experiments illustrate the performance of the new controller and compare it to a previous PID-DC controller that did not consider muscle activation dynamics in the control design. These experiments support our hypothesis that a control design that includes muscle activation improves the NMES control performance."
