time,journal,doi_info,authors,key words,title,abstract
2024 Jul 1,Cancer immunology research,Cancer Immunol Res. 2024 Jul 1. doi: 10.1158/2326-6066.CIR-24-0061.,"['Dong, Bowen', 'Obermajer, Natasa', 'Tsuji, Takemasa', 'Matsuzaki, Junko', 'Bonura, Cindy M', 'Sander, Cindy', 'Withers, Henry', 'Long, Mark D', 'Chavel, Colin', 'Olejniczak, Scott H', 'Minderman, Hans', 'Kirkwood, John M', 'Edwards, Robert P', 'Storkus, Walter J', 'Romero, Pedro', 'Kalinski, Pawel']",[],"NK Receptor Signaling Lowers TCR Activation Threshold, Enhancing Selective Recognition of Cancer Cells by TAA-Specific CTLs.",
2024,Frontiers in immunology,Front Immunol. 2024 Jan 18;15:1334769. doi: 10.3389/fimmu.2024.1334769. ,"['Filderman, Jessica N', 'Taylor, Jennifer L', 'Wang, Jianmin', 'Zhang, Yali', 'Singh, Prashant', 'Ross, Mark A', 'Watkins, Simon C', 'Nedal Al Bzour, Ayah', 'Karapetyan, Lilit', 'Kalinski, Pawel', 'Storkus, Walter J']","['mice', 'animals', ' b7-h1 antigen', 'proto-oncogene proteins b-raf', 'cyclooxygenase 2', 'cell line, tumor', ' melanoma, experimental', 'interferons', 'tumor microenvironment', 'arg2', 'cox2', 'isg15', 'nos2', 'ptgs2', 'combination immunotherapy', 'immune checkpoint', 'melanoma']",Antagonism of regulatory ISGs enhances the anti-melanoma efficacy of STING agonists.,"BACKGROUND: Stimulator of Interferon Genes (STING) is a dsDNA sensor that triggers type I inflammatory responses. Recent data from our group and others support the therapeutic efficacy of STING agonists applied intratumorally or systemically in a range of murine tumor models, with treatment benefits associated with tumor vascular normalization and improved immune cell recruitment and function within the tumor microenvironment (TME). However, such interventions are rarely curative and STING agonism coordinately upregulates expression of immunoregulatory interferon-stimulated genes (ISGs) including Arg2, Cox2, Isg15, Nos2, and Pdl1 that may limit treatment benefits. We hypothesized that combined treatment of melanoma-bearing mice with STING agonist ADU-S100 together with antagonists of regulatory ISGs would result in improved control of tumor growth vs. treatment with ADU-S100 alone. METHODS: Mice bearing either B16 (BRAF(WT)PTEN(WT)) or BPR20 (BRAF(V600E)PTEN(-/-)) melanomas were treated with STING agonist ADU-S100 plus various inhibitors of ARG2, COX2, NOS2, PD-L1, or ISG15. Tumor growth control and changes in the TME were evaluated for combination treatment vs ADU-S100 monotherapy by tumor area measurements and flow cytometry/transcriptional profiling, respectively. RESULTS: In the B16 melanoma model, we noted improved antitumor efficacy only when ADU-S100 was combined with neutralizing/blocking antibodies against PD-L1 or ISG15, but not inhibitors of ARG2, COX2, or NOS2. Conversely, in the BPR20 melanoma model, improved tumor growth control vs. ADU-S100 monotherapy was only observed when combining ADU-S100 with ARG2i, COX2i, and NOS2i, but not anti-PD-L1 or anti-ISG15. Immune changes in the TME associated with improved treatment outcomes were subtle but included increases in proinflammatory innate immune cells and activated CD8(+)CD69(+) T cells and varied between the two tumor models. CONCLUSIONS: These data suggest contextual differences in the relative contributions of individual regulatory ISGs that serve to operationally limit the anti-tumor efficacy of STING agonists which should be considered in future design of novel combination protocols for optimal treatment benefit."
2023 Oct 19,Research square,Res Sq [Preprint]. 2023 Oct 19:rs.3.rs-3399211. doi: 10.21203/rs.3.rs-3399211/v1.,"['Dong, Bowen', 'Obermajer, Nataša', 'Tsuji, Takemasa', 'Matsuzaki, Junko', 'Bonura, Cindy', 'Withers, Henry', 'Long, Mark', 'Chavel, Colin', 'Olejniczak, Scott H', 'Minderman, Hans', 'Edwards, Robert P', 'Storkus, Walter J', 'Romero, Pedro', 'Kalinski, Pawel']",[],NK Receptors Replace CD28 As the Dominant Source of Signal 2 for Cognate Recognition of Cancer Cells by TAA-specific Effector CD8(+) T Cells.,"CD28-driven ""signal 2"" is critical for naïve CD8(+) T cell responses to dendritic cell (DC)-presented weak antigens, including non-mutated tumor-associated antigens (TAAs). However, it is unclear how DC-primed cytotoxic T lymphocytes (CTLs) respond to the same TAAs presented by cancer cells which lack CD28 ligands. Here, we show that NK receptors (NKRs) DNAM-1 and NKG2D replace CD28 during CTL re-activation by cancer cells presenting low levels of MHC I/TAA complexes, leading to enhanced proximal TCR signaling, immune synapse formation, CTL polyfunctionality, release of cytolytic granules and antigen-specific cancer cell killing. Double-transduction of T cells with recombinant TCR and NKR constructs or upregulation of NKR-ligand expression on cancer cells by chemotherapy enabled effective recognition and killing of poorly immunogenic tumor cells by CTLs. Operational synergy between TCR and NKRs in CTL recognition explains the ability of cancer-expressed self-antigens to serve as tumor rejection antigens, helping to develop more effective therapies."
2023,Frontiers in immunology,Front Immunol. 2023 Jun 22;14:1171978. doi: 10.3389/fimmu.2023.1171978. ,"['Karapetyan, Lilit', 'AbuShukair, Hassan M', 'Li, Aofei', 'Knight, Andrew', 'Al Bzour, Ayah Nedal', 'MacFawn, Ian P', 'Thompson, Zachary J', 'Chen, Ann', 'Yang, Xi', 'Dadey, Rebekah', 'Karunamurthy, Arivarasan', 'De Stefano, Danielle Vargas', 'Sander, Cindy', 'Kunning, Sheryl R', 'Najjar, Yana G', 'Davar, Diwakar', 'Luke, Jason J', 'Gooding, William', 'Bruno, Tullia C', 'Kirkwood, John M', 'Storkus, Walter J']","['humans', 'female', 'middle aged', 'aged', 'male', 'prognosis', ' melanoma genetics', 'cytokines', 'gene expression profiling', 'genomics', 'tumor microenvironment genetics', 'april', 'tnfsf13', 'chemokine', 'cytokine', 'lymphoid aggregate', 'melanoma', 'survival', 'tertiary lymphoid structure']",Expression of lymphoid structure-associated cytokine/chemokine gene transcripts in tumor and protein in serum are prognostic of melanoma patient outcomes.,"BACKGROUND: Proinflammatory chemokines/cytokines support development and maturation of tertiary lymphoid structures (TLS) within the tumor microenvironment (TME). In the current study, we sought to investigate the prognostic value of TLS-associated chemokines/cytokines (TLS-kines) expression levels in melanoma patients by performing serum protein and tissue transcriptomic analyses, and to then correlate these data with patients clinicopathological and TME characteristics. METHODS: Levels of TLS-kines in patients' sera were quantitated using a custom Luminex Multiplex Assay. The Cancer Genomic Atlas melanoma cohort (TCGA-SKCM) and a Moffitt Melanoma cohort were used for tissue transcriptomic analyses. Associations between target analytes and survival outcomes, clinicopathological variables, and correlations between TLS-kines were statistically analyzed. RESULTS: Serum of 95 patients with melanoma were evaluated; 48 (50%) female, median age of 63, IQR 51-70 years. Serum levels of APRIL/TNFSF13 were positively correlated with levels of both CXCL10 and CXCL13. In multivariate analyses, high levels of serum APRIL/TNFSF13 were associated with improved event-free survival after adjusting for age and stage (HR = 0.64, 95%"
2023 Sep 1,Journal of leukocyte biology,J Leukoc Biol. 2023 Sep 1;114(3):195-198. doi: 10.1093/jleuko/qiad073.,"['Filderman, Jessica N', 'Luke, Jason J', 'Storkus, Walter J']","['humans', 'blood platelets', ' extracellular traps', 'neutrophils', ' venous thrombosis drug therapy', 'sting agonist', 'stxbp2', 'cgas', 'coagulopathy', 'neutrophil extracellular traps', 'neutrophils', 'palmitoylation', 'platelets', 'sepsis', 'stimulator of interferon genes', 'targeted therapy', 'thrombin', 'vasculature']",Platelet STING agonism and venous thrombosis: translational implications for improved disease outcomes.,
2022 Oct 11,Cancers,Cancers (Basel). 2022 Oct 11;14(20):4973. doi: 10.3390/cancers14204973.,"['Karapetyan, Lilit', 'Gooding, William', 'Li, Aofei', 'Yang, Xi', 'Knight, Andrew', 'Abushukair, Hassan M', 'Vargas De Stefano, Danielle', 'Sander, Cindy', 'Karunamurthy, Arivarasan', 'Panelli, Monica', 'Storkus, Walter J', 'Tarhini, Ahmad A', 'Kirkwood, John M']","['gene expression profile', 'melanoma', 'recurrence free survival', 'sentinel lymph node']",Sentinel Lymph Node Gene Expression Signature Predicts Recurrence-Free Survival in Cutaneous Melanoma.,"We sought to develop a sentinel lymph node gene expression signature score predictive of disease recurrence in patients with cutaneous melanoma. Gene expression profiling was performed on SLN biopsies using U133A 2.0 Affymetrix gene chips. The top 25 genes associated with recurrence-free survival (RFS) were selected and a penalized regression function was used to select 12 genes with a non-zero coefficient. A proportional hazards regression model was used to evaluate the association between clinical covariates, gene signature score, and RFS. Among the 45 patients evaluated, 23 (51%) had a positive SLN. Twenty-one (46.7%) patients developed disease recurrence. For the top 25 differentially expressed genes (DEG), 12 non-zero penalized coefficients were estimated (CLGN, C1QTNF3, ADORA3, ARHGAP8, DCTN1, ASPSCR1, CHRFAM7A, ZNF223, PDE6G, CXCL3, HEXIM1, HLA-DRB). This 12-gene signature score was significantly associated with RFS (p < 0.0001) and produced a bootstrap C index of 0.888. In univariate analysis, Breslow thickness, presence of primary tumor ulceration, SLN positivity were each significantly associated with RFS. After simultaneously adjusting for these prognostic factors in relation to the gene signature, the 12-gene score remained a significant independent predictor for RFS (p < 0.0001). This SLN 12-gene signature risk score is associated with melanoma recurrence regardless of SLN status and may be used as a prognostic factor for RFS."
2022,Frontiers in oncology,Front Oncol. 2022 Jul 27;12:945510. doi: 10.3389/fonc.2022.945510. eCollection ,"['Gruenwald, Viktor', 'Storkus, Walter J']","['biomarker', 'cancer', 'immunotherapy', 'renal cell carcinoma (rcc)', 'urologic oncology']",Editorial: Immunotherapy in renal cell carcinoma.,"This collection contains 10 reports published In Frontiers in Oncology between August 2020 and March 2022 broadly focused on the immunobiology of renal cell carcinoma (RCC), the impact of immunotherapy in the setting of RCC, and the identification of biomarkers that are prognostic of RCC patient outcomes and response to immunotherapy."
2022 Sep 1,Cancer immunology research,Cancer Immunol Res. 2022 Sep 1;10(9):1141-1154. doi: ,"['Vats, Kavita', 'Kruglov, Oleg', 'Sahoo, Bikram', 'Soman, Vishal', 'Zhang, Jiying', 'Shurin, Galina V', 'Chandran, Uma R', 'Skums, Pavel', 'Shurin, Michael R', 'Zelikovsky, Alex', 'Storkus, Walter J', 'Bunimovich, Yuri L']","['humans', 'immunity', ' melanoma', ' skin neoplasms', ' tertiary lymphoid structures', 'tumor microenvironment']",Sensory Nerves Impede the Formation of Tertiary Lymphoid Structures and Development of Protective Antimelanoma Immune Responses.,
2022 Jun 15,The Journal of clinical investigation,J Clin Invest. 2022 Jun 15;132(12):e161052. doi: 10.1172/JCI161052.,"['Filderman, Jessica N', 'Storkus, Walter J']","['cd4-positive t-lymphocytes', 'cd8-positive t-lymphocytes', ' head and neck neoplasms pathology', 'humans', 'lymphocytes, tumor-infiltrating', 'prognosis', ' tumor microenvironment']",Finding the right help in the tumor microenvironment.,
2022 Jun 3,Journal of translational medicine,J Transl Med. 2022 Jun 3;20(1):253. doi: 10.1186/s12967-022-03450-3.,"['Saad, Mariam', 'Lee, Sandra J', 'Tan, Aik Choon', 'El Naqa, Issam M', 'Hodi, F Stephen', 'Butterfield, Lisa H', 'LaFramboise, William A', 'Storkus, Walter', 'Karunamurthy, Arivarasan D', 'Conejo-Garcia, Jose', 'Hwu, Patrick', 'Streicher, Howard', 'Sondak, Vernon K', 'Kirkwood, John M', 'Tarhini, Ahmad A']","['adjuvants, immunologic therapeutic use', 'ctla-4 antigen genetics', 'female', 'humans', 'interferon-alpha', 'ipilimumab therapeutic use', 'leukocytes, mononuclear pathology', 'male', ' melanoma drug therapy genetics', 'neoplasm recurrence, local pathology', 'neoplasm staging', ' skin neoplasms drug therapy genetics', 'tumor microenvironment', 'adjuvant', 'female', 'interferon', 'ipilimumab', 'male', 'melanoma']",Enhanced immune activation within the tumor microenvironment and circulation of female high-risk melanoma patients and improved survival with adjuvant CTLA4 blockade compared to males.,"BACKGROUND: We hypothesized that a gender difference in clinical response may exist to adjuvant CTLA4 blockade with ipilimumab versus high-dose IFNα (HDI). We investigated differences in candidate immune biomarkers in the circulation and tumor microenvironment (TME). PATIENTS AND METHODS: This gender-based analysis was nested within the E1609 trial that tested adjuvant therapy with ipilimumab 3 mg/kg (ipi3) and 10 mg/kg (ipi10) versus HDI in high risk resected melanoma. We investigated gender differences in treatment efficacy with ipi3 and ipi10 versus HDI while adjusting for age, stage, ECOG performance (PS), ulceration, primary tumor status and lymph node number. Forest plots were created to compare overall survival (OS) and relapse free survival (RFS) between ipi and HDI. Gene expression profiling (GEP) was performed on tumors of 718 (454 male, 264 female) patients. Similarly, serum and peripheral blood mononuclear cells (PBMC) samples were tested for soluble and cellular biomarkers (N = 321 patients; 109 female and 212 male). RESULTS: The subgroups of female, stage IIIC, PS = 1, ulcerated primary, in-transit metastasis demonstrated significant improvement in RFS and/or OS with ipi3 versus HDI. Female gender was significant for both OS and RFS and was further explored. In the RFS comparison, a multivariate Cox regression model including significant variables indicated a significant interaction between gender and treatment (P = 0.024). In peripheral blood, percentages of CD3+ T cells (P = 0.024) and CD3+ CD4+ helper T cells (P = 0.0001) were higher in females compared to males. Trends toward higher circulating levels of IL1β (P = 0.07) and IL6 (P = 0.06) were also found in females. Males had higher percentages of monocytes (P = 0.03) with trends toward higher percentages of regulatory T cells (T-reg). Tumor GEP analysis supported enhanced infiltration with immune cells including gammadelta T cells (P = 0.005), NK cells (P = 0.01), dendritic cells (P = 0.01), CD4+ T cells (P = 0.03), CD8+ T cells (P = 0.03) and T-reg (P = 0.008) in the tumors of females compared to males and a higher T-effector and IFNγ gene signature score (P = 0.0244). CONCLUSION: Female gender was associated with adjuvant CTLA4 blockade clinical benefits and female patients were more likely to have evidence of type1 immune activation within the TME and the circulation. Trial registration ClinicalTrials.gov NCT01274338. Registered 11 January 2011, https://www. CLINICALTRIALS: gov/ct2/show/NCT01274338."
