time,journal,doi_info,authors,key words,title,abstract
2024 May,Tissue engineering. Part A,Tissue Eng Part A. 2024 May;30(9-10):404-414. doi: 10.1089/ten.TEA.2023.0219. ,"['Calabrese, Tia C', 'Rothermund, Kristi', 'Gabe, Claire M', 'Beniash, Elia', 'Davidson, Lance A', 'Syed-Picard, Fatima N']","['humans', ' organoids cytology metabolism', ' stem cells cytology metabolism', ' tooth root cytology metabolism', ' dental pulp cytology metabolism', ' periodontal ligament cytology', 'tissue engineering methods', 'dental implants', 'dental pulp stem cells', 'organoid', 'periodontal ligament stem cells', 'self-assembly']",Self-Assembly of Tooth Root Organoid from Postnatal Human Dental Stem Cells.,"Challenges remain in simultaneously regenerating the multiple diverse tissues of the tooth root in a spatially organized manner. Previously, our research group has established that scaffold-free tissue engineering approaches enable dental pulp stem/progenitor cells (DPSCs) and periodontal ligament (PDL) stem/progenitor cells (PDLSCs) to self-assemble into dentin-pulp and PDL-cementum organoids, respectively. In this study, we leveraged the innate self-organizing capacity of DPSCs and PDLSCs to now engineer organoids that resemble the full tooth root. Scaffold-free engineered tissues were generated using a heterogeneous mixture of human DPSCs and PDLSCs. Within 2 days of construct formation, PDLSCs and DPSCs became spatially restricted to the periphery and center of the constructs, respectively, emulating their anatomical positions in the tooth root. Histological and microcomputed tomography analyses showed that organoids exhibited a striated mineral pattern with a central unmineralized core, surrounded by a mineralized tissue structure, enclosed within a second peripheral unmineralized tissue, similar to the natural tooth root. Interestingly, DPSCs gave rise to the central unmineralized tissue and the inner portion of the mineralized tissue, and PDLSCs generated the outer portion of the mineralized tissue and the peripheral soft tissue. Quantitative image analysis of immunofluorescent staining revealed increased dentin sialophosphoprotein expression in the region of mineralized tissue associated with DPSCs and increased cementum protein-1 expression in the portion formed by PDLSCs, demonstrating that tooth root organoids comprise two biochemically distinct mineralized tissues characteristic of dentin-like and cementum-like structures, respectively. In addition, PDL-associated protein-1 expression was localized to the peripheral soft tissue, suggesting the formation of a rudimentary PDL-like structure. This study demonstrates that DPSCs and PDLSCs have an inherent ability to orchestrate the formation of a full tooth root-like structure. These organoids present a biomimetic model system to study cellular dynamics driving dental tissue repair or could be utilized therapeutically as biological dental implants."
2022 Nov,Journal of endodontics,J Endod. 2022 Nov;48(11):1378-1386.e2. doi: 10.1016/j.joen.2022.08.010. Epub 2022 ,"['Rothermund, Kristi', 'Calabrese, Tia C', 'Syed-Picard, Fatima N']","['humans', ' dental pulp', ' lipopolysaccharides pharmacology', 'porphyromonas gingivalis', 'escherichia coli', 'core binding factor alpha 1 subunit', 'stem cells physiology', 'cell differentiation', 'rna, messenger', 'cells, cultured', 'odontoblast differentiation', 'organoid', 'pulpitis model', 'regeneration', 'stem cells']",Differential Effects of Escherichia coli- Versus Porphyromonas gingivalis-derived Lipopolysaccharides on Dental Pulp Stem Cell Differentiation in Scaffold-free Engineered Tissues.,"INTRODUCTION: To leverage the therapeutic capabilities of dental pulp stem cells (DPSCs) for regenerative endodontic applications, a better understanding of their innate defense and reparative processes is needed. Lipopolysaccharide (LPS) is a major virulent factor of gram-negative bacteria and contributor to endodontic infections. We have developed 3-dimensional scaffold-free DPSC tissues that self-organize into dentin-pulp organoids comprising a mineralized dentin-like tissue on the periphery and an unmineralized pulp-like core. In this study, scaffold-free DPSC constructs were used as controllable experimental models to study the DPSC response to bacterial challenge. METHODS: Scaffold-free constructs were engineered using DPSCs isolated from human third molars. To simulate bacterial exposure, DPSC constructs were exposed to either Porphyromonas gingivalis-derived LPS or Escherichia coli-derived LPS. The effects of LPS on DPSC differentiation, proliferation, and apoptosis were evaluated. RESULTS: Engineered tissues lacking LPS treatment self-organized into dentin-pulp organoids. LPS treatment did not negatively affect DPSC proliferation or apoptosis in the engineered tissues. Both E. coli LPS and P. gingivalis LPS inhibited the up-regulation of RUNX2 messenger RNA expression and reduced the expression of the odontoblast-associated proteins (P < .05), suggesting that LPS is inhibiting odontoblastic differentiation. However, only E. coli LPS treatment significantly reduced mineral deposition in the DPSC (P < .05) constructs, indicating that E. coli LPS but not P. gingivalis LPS reduced functional differentiation of DPSCs and prevented DPSCs from self-organizing into a dentin-pulp complex-like structure. CONCLUSIONS: This study establishes scaffold-free DPSC constructs as models of oral disease. Furthermore, it emphasizes the diversity of LPS derived from different bacterial species and highlights the necessity of using LPS derived from clinically relevant bacteria in basic science investigations."
2022 Feb 14,ACS biomaterials science & engineering,ACS Biomater Sci Eng. 2022 Feb 14;8(2):814-825. doi: ,"['Drewry, Michelle D', 'Dailey, Matthew T', 'Rothermund, Kristi', 'Backman, Charles', 'Dahl, Kris N', 'Syed-Picard, Fatima N']","[' axons physiology', 'dental pulp', 'extracellular matrix', 'humans', ' nerve regeneration', 'stem cells', 'dental pulp stem cells', 'facial nerve', 'peripheral nerve', 'regeneration', 'scaffold-free', 'tissue engineering']",Promoting and Orienting Axon Extension Using Scaffold-Free Dental Pulp Stem Cell Sheets.,"Current treatments of facial nerve injury result in poor functional outcomes due to slow and inefficient axon regeneration and aberrant reinnervation. To address these clinical challenges, bioactive scaffold-free cell sheets were engineered using neurotrophic dental pulp stem/progenitor cells (DPCs) and their aligned extracellular matrix (ECM). DPCs endogenously supply high levels of neurotrophic factors (NTFs), growth factors capable of stimulating axonal regeneration, and an aligned ECM provides guidance cues to direct axon extension. Human DPCs were grown on a substrate comprising parallel microgrooves, inducing the cells to align and deposit a linearly aligned, collagenous ECM. The resulting cell sheets were robust and could be easily removed from the underlying substrate. DPC sheets produced NTFs at levels previously shown capable of promoting axon regeneration, and, moreover, inducing DPC alignment increased the expression of select NTFs relative to unaligned controls. Furthermore, the aligned DPC sheets were able to stimulate functional neuritogenic effects in neuron-like cells in vitro. Neuronally differentiated neuroblastoma SH-SY5Y cells produced neurites that were significantly more oriented and less branched when cultured on aligned cell sheets relative to unaligned sheets. These data demonstrate that the linearly aligned DPC sheets can biomechanically support axon regeneration and improve axonal guidance which, when applied to a facial nerve injury, will result in more accurate reinnervation. The aligned DPC sheets generated here could be used in combination with commercially available nerve conduits to enhance their bioactivity or be formed into stand-alone scaffold-free nerve conduits capable of facilitating improved facial nerve recovery."
2021 Sep,Tissue engineering. Part A,Tissue Eng Part A. 2021 Sep;27(17-18):1128-1139. doi: 10.1089/ten.TEA.2020.0265. ,"['Ahmed, Meer N', 'Shi, Delin', 'Dailey, Matthew T', 'Rothermund, Kristi', 'Drewry, Michelle D', 'Calabrese, Tia C', 'Cui, Xinyan T', 'Syed-Picard, Fatima N']","['animals', ' axons', 'dental pulp', 'facial nerve', 'humans', 'nerve growth factors', ' nerve regeneration', 'quality of life', 'rats', 'adult stem cells', 'dental stem cells', 'neural crest stem cells', 'neurotrophins', 'peripheral nerve', 'scaffold-free']",Dental Pulp Cell Sheets Enhance Facial Nerve Regeneration via Local Neurotrophic Factor Delivery.,"An effective strategy for sustained neurotrophic factor (NTF) delivery to sites of peripheral nerve injury (PNI) would accelerate healing and enhance functional recovery, addressing the major clinical challenges associated with the current standard of care. In this study, scaffold-free cell sheets were generated using human dental pulp stem/progenitor cells, that endogenously express high levels of NTFs, for use as bioactive NTF delivery systems. Additionally, the effect of fibroblast growth factor 2 (FGF2) on NTF expression by dental pulp cell (DPC) sheets was evaluated. In vitro analysis confirmed that DPC sheets express high levels of NTF messenger RNA (mRNA) and proteins, and the addition of FGF2 to DPC sheet culture increased total NTF production by significantly increasing the cellularity of sheets. Furthermore, the DPC sheet secretome stimulated neurite formation and extension in cultured neuronal cells, and these functional effects were further enhanced when DPC sheets were cultured with FGF2. These neuritogenic results were reversed by NTF inhibition substantiating that DPC sheets have a positive effect on neuronal cell activity through the production of NTFs. Further evaluation of DPC sheets in a rat facial nerve crush injury model in vivo established that in comparison with untreated controls, nerves treated with DPC sheets had greater axon regeneration through the injury site and superior functional recovery as quantitatively assessed by compound muscle action potential measurements. This study demonstrates the use of DPC sheets as vehicles for NTF delivery that could augment the current methods for treating PNIs to accelerate regeneration and enhance the functional outcome. Impact statement The major challenges associated with current treatments of peripheral nerve injuries (PNIs) are prolonged repair times and insufficient functional recovery. Dental pulp stem/progenitor cells (DPCs) are known to endogenously express high levels of neurotrophic factors (NTFs), growth factors that enhance axon regeneration. In this study, we demonstrate that scaffold-free DPC sheets can act as effective carrier systems to facilitate the delivery and retention of NTF-producing DPCs to sites of PNIs and improve functional nerve regeneration. DPC sheets have high translational feasibility and could augment the current standard of care to enhance the quality of life for patients dealing with PNIs."
2020 Apr 4,Micromachines,Micromachines (Basel). 2020 Apr 4;11(4):384. doi: 10.3390/mi11040384.,"['Sonmez, Utku M', 'Wood, Adam', 'Justus, Kyle', 'Jiang, Weijian', 'Syed-Picard, Fatima', 'LeDuc, Philip R', 'Kalinski, Pawel', 'Davidson, Lance A']","['jurkat cells', 'chemotaxis', 'concentration gradient', 'microfabrication', 'microfluidics']",Chemotactic Responses of Jurkat Cells in Microfluidic Flow-Free Gradient Chambers.,"Gradients of soluble molecules coordinate cellular communication in a diverse range of multicellular systems. Chemokine-driven chemotaxis is a key orchestrator of cell movement during organ development, immune response and cancer progression. Chemotaxis assays capable of examining cell responses to different chemokines in the context of various extracellular matrices will be crucial to characterize directed cell motion in conditions which mimic whole tissue conditions. Here, a microfluidic device which can generate different chemokine patterns in flow-free gradient chambers while controlling surface extracellular matrix (ECM) to study chemotaxis either at the population level or at the single cell level with high resolution imaging is presented. The device is produced by combining additive manufacturing (AM) and soft lithography. Generation of concentration gradients in the device were simulated and experimentally validated. Then, stable gradients were applied to modulate chemotaxis and chemokinetic response of Jurkat cells as a model for T lymphocyte motility. Live imaging of the gradient chambers allowed to track and quantify Jurkat cell migration patterns. Using this system, it has been found that the strength of the chemotactic response of Jurkat cells to CXCL12 gradient was reduced by increasing surface fibronectin in a dose-dependent manner. The chemotaxis of the Jurkat cells was also found to be governed not only by the CXCL12 gradient but also by the average CXCL12 concentration. Distinct migratory behaviors in response to chemokine gradients in different contexts may be physiologically relevant for shaping the host immune response and may serve to optimize the targeting and accumulation of immune cells to the inflammation site. Our approach demonstrates the feasibility of using a flow-free gradient chamber for evaluating cross-regulation of cell motility by multiple factors in different biologic processes."
2019,Frontiers in physiology,Front Physiol. 2019 Apr 11;10:422. doi: 10.3389/fphys.2019.00422. eCollection ,"['Basu, Avik', 'Rothermund, Kristi', 'Ahmed, Meer N', 'Syed-Picard, Fatima N']","['organoid', 'periodontal ligament stem cells', 'periodontal regeneration', 'periodontium', 'self-assembly', 'tissue engineering']",Self-Assembly of an Organized Cementum-Periodontal Ligament-Like Complex Using Scaffold-Free Tissue Engineering.,"A major challenge in regenerating periodontal tissues is emulating its complex structure containing both mineralized and soft tissues. In this study, scaffold-free tissue constructs engineered using periodontal ligament cells (PDLCs), which contain a population of adult stem/progenitor cells, self-assembled into an organized multi-tissue structure comprising a mineralized cementum-like core enclosed within a periodontal ligament (PDL)-like tissue. Scaffold-free engineered constructs were formed by culturing human PDLCs to form a cell sheet on six-well dishes containing two minutien pins placed 7 mm apart. The cell sheet was contracted by the cells to roll into the pins forming a cylindrical construct anchored on either end by the pins. These tissues were approximately 1 mm in diameter and 7 mm long and contained only the cells and their endogenous matrix. These scaffold-free engineered constructs exhibited two structurally distinct tissues, one in the center of the construct and another on the periphery. The center tissue was mineralized and expressed alkaline phosphatase and bone sialoprotein, similar to cementum. The peripheral tissue was not calcified and expressed periodontal ligament-associated protein-1 and periostin, which is characteristic of the periodontal ligament. This tissue organization was seen after in vitro culture and maintained in vivo following subcutaneous implantation in immunocompromised mice. These data demonstrate that scaffold-free tissue engineering facilitates PDLCs to self-assemble into an organized cementum-PDL-like complex. These engineered tissues could be used as implantable grafts to regenerate damaged periodontal tissues or as model systems to study PDLC biology and mechanisms driving organized tissue assembly within the periodontium."
2018 Jan,Journal of tissue engineering and regenerative medicine,J Tissue Eng Regen Med. 2018 Jan;12(1):59-69. doi: 10.1002/term.2363. Epub 2017 ,"['Syed-Picard, Fatima N', 'Du, Yiqin', 'Hertsenberg, Andrew J', 'Palchesko, Rachelle', 'Funderburgh, Martha L', 'Feinberg, Adam W', 'Funderburgh, James L']","['animals', 'corneal stroma  physiology ultrastructure', 'extracellular matrix metabolism', 'humans', 'implants, experimental', 'mice', 'mice, inbred c57bl', 'stem cells cytology', 'tissue engineering  methods', 'tissue scaffolds  chemistry', 'cell sheet', 'cornea', 'human cells', 'ocular', 'scaffold-free', 'stem cells', 'transplantation']",Scaffold-free tissue engineering of functional corneal stromal tissue.,"Blinding corneal scarring is predominately treated with allogeneic graft tissue; however, there is a worldwide shortage of donor tissue leaving millions in need of therapy. Human corneal stromal stem cells (CSSC) have been shown produce corneal tissue when cultured on nanofibre scaffolding, but this tissue cannot be readily separated from the scaffold. In this study, scaffold-free tissue engineering methods were used to generate biomimetic corneal stromal tissue constructs that can be transplanted in vivo without introducing the additional variables associated with exogenous scaffolding. CSSC were cultured on substrates with aligned microgrooves, which directed parallel cell alignment and matrix organization, similar to the organization of native corneal stromal lamella. CSSC produced sufficient matrix to allow manual separation of a tissue sheet from the grooved substrate. These constructs were cellular and collagenous tissue sheets, approximately 4 μm thick and contained extracellular matrix molecules typical of corneal tissue including collagen types I and V and keratocan. Similar to the native corneal stroma, the engineered corneal tissues contained long parallel collagen fibrils with uniform diameter. After being transplanted into mouse corneal stromal pockets, the engineered corneal stromal tissues became transparent, and the human CSSCs continued to express human corneal stromal matrix molecules. Both in vitro and in vivo, these scaffold-free engineered constructs emulated stromal lamellae of native corneal stromal tissues. Scaffold-free engineered corneal stromal constructs represent a novel, potentially autologous, cell-generated, biomaterial with the potential for treating corneal blindness. Copyright © 2016 John Wiley & Sons, Ltd."
2015 Mar,Stem cells translational medicine,Stem Cells Transl Med. 2015 Mar;4(3):276-85. doi: 10.5966/sctm.2014-0115.,"['Syed-Picard, Fatima N', 'Du, Yiqin', 'Lathrop, Kira L', 'Mann, Mary M', 'Funderburgh, Martha L', 'Funderburgh, James L']","['adult', 'animals', 'blindness metabolism  therapy', ' cell differentiation', 'cornea  metabolism', 'corneal diseases metabolism  therapy', 'dental pulp  cytology metabolism', 'heterografts', 'humans', 'mice', ' stem cell transplantation', 'stem cells  cytology metabolism', 'cornea', 'corneal keratocytes', 'corneal stroma', 'dental pulp', 'stem cells']",Dental pulp stem cells: a new cellular resource for corneal stromal regeneration.,"Corneal blindness afflicts millions of individuals worldwide and is currently treated by grafting with cadaveric tissues; however, there are worldwide donor tissue shortages, and many allogeneic grafts are eventually rejected. Autologous stem cells present a prospect for personalized regenerative medicine and an alternative to cadaveric tissue grafts. Dental pulp contains a population of adult stem cells and, similar to corneal stroma, develops embryonically from the cranial neural crest. We report that adult dental pulp cells (DPCs) isolated from third molars have the capability to differentiate into keratocytes, cells of the corneal stoma. After inducing differentiation in vitro, DPCs expressed molecules characteristic of keratocytes, keratocan, and keratan sulfate proteoglycans at both the gene and the protein levels. DPCs cultured on aligned nanofiber substrates generated tissue-engineered, corneal stromal-like constructs, recapitulating the tightly packed, aligned, parallel fibrillar collagen of native stromal tissue. After injection in vivo into mouse corneal stroma, human DPCs produced corneal stromal extracellular matrix containing human type I collagen and keratocan and did not affect corneal transparency or induce immunological rejection. These findings demonstrate a potential for the clinical application of DPCs in cellular or tissue engineering therapies for corneal stromal blindness."
2014 Dec 10,Science translational medicine,Sci Transl Med. 2014 Dec 10;6(266):266ra172. doi: 10.1126/scitranslmed.3009644.,"['Basu, Sayan', 'Hertsenberg, Andrew J', 'Funderburgh, Martha L', 'Burrow, Michael K', 'Mann, Mary M', 'Du, Yiqin', 'Lathrop, Kira L', 'Syed-Picard, Fatima N', 'Adams, Sheila M', 'Birk, David E', 'Funderburgh, James L']","['adult', 'animals', 'biopsy', 'cell differentiation', 'cicatrix prevention & control', 'collagen chemistry', 'cornea metabolism  pathology', 'corneal transplantation  methods', 'culture media chemistry', 'female', 'fibroblasts cytology', 'gene expression regulation', 'humans', 'keratan sulfate chemistry', 'keratinocytes cytology', 'mice', 'mice, inbred c57bl', 'middle aged', 'proteoglycans chemistry', ' stem cell transplantation', 'stem cells  cytology', 'stromal cells  cytology']",Human limbal biopsy-derived stromal stem cells prevent corneal scarring.,"Conventional allograft therapy for corneal scarring is widespread and successful, but donor tissue is not universally available, and some grafts fail owing to rejection and complications such as endothelial failure. We investigated direct treatment of corneal scarring using autologous stem cells, a therapy that, if successful, could reduce the need for corneal grafts. Mesenchymal cells were expanded from small superficial, clinically replicable limbal biopsies of human cadaveric corneo-scleral rims. Limbal biopsy-derived stromal cells (LBSCs) expanded rapidly in media containing human serum, were highly clonogenic, and could generate spheres expressing stem cell genes (ABCG2, Nestin, NGFR, Oct4, PAX6, and Sox2). Human LBSCs differentiated into keratocytes expressing characteristic marker genes (ALDH3A1, AQP1, KERA, and PTGDS) and organized a thick lamellar stroma-like tissue containing aligned collagen and keratan sulfate proteoglycans when cultured on aligned nanofiber substrata. When engrafted into mouse corneal wounds, LBSCs prevented formation of light-scattering scar tissue containing fibrotic matrix components. The presence of LBSCs induced regeneration of ablated stroma with tissue exhibiting lamellar structure and collagen organization indistinguishable from that of native tissue. Because the limbus can be easily biopsied from either eye of an affected individual and LBSCs capable of corneal stromal remodeling can be expanded under xeno-free autologous conditions, these cells present a potential for autologous stem cell-based treatment of corneal stromal blindness."
2014 Jun,Journal of oral and maxillofacial surgery : official journal of the American ,J Oral Maxillofac Surg. 2014 Jun;72(6):1078-83. doi: 10.1016/j.joms.2014.02.005. ,"['Syed-Picard, Fatima N', 'Shah, Gaurav A', 'Costello, Bernard J', 'Sfeir, Charles']","['animals', 'biocompatible materials chemistry', 'bone regeneration  physiology', 'calcium phosphates chemistry', 'cell adhesion molecules analysis', 'cell culture techniques', 'connective tissue anatomy & histology', 'extracellular matrix physiology', 'fascia anatomy & histology blood supply', 'humans', 'image processing, computer-assisted methods', 'mesenchymal stem cells  physiology', 'mice', 'mice, inbred balb c', 'mice, nude', 'neovascularization, physiologic physiology', 'osteoblasts cytology', 'osteocytes cytology', 'osteogenesis physiology', 'periosteum anatomy & histology  physiology', 'subcutaneous tissue surgery', 'tissue engineering  methods', 'tissue scaffolds chemistry']",Regeneration of periosteum by human bone marrow stromal cell sheets.,"PURPOSE: The presence of a functional periosteum accelerates healing in bone defects by providing a source of progenitor cells that aid in repair. We hypothesized that bone marrow stromal cell (BMSC) sheets could be used to engineer functional periosteal tissues. MATERIALS AND METHODS: BMSCs were cultured to hyperconfluence and produced sufficient extracellular matrix to form robust tissue sheets. The sheets were wrapped around calcium phosphate pellets and implanted subcutaneously in mice for 8 weeks. Histologic comparisons were made between calcium phosphate samples with and without BMSC sheet wraps. Bone and periosteum formation were analyzed through tissue morphology and tissue-specific protein expression. RESULTS: Calcium phosphate pellets wrapped in BMSC sheets regenerated a bone-like tissue, but pellets lacking the cell sheet wrap did not. The bone-like tissue seen on the calcium phosphate scaffolds wrapped with the BMSC sheets was enclosed within a periosteum-like tissue characterized morphologically and through expression of periostin. CONCLUSIONS: These data indicate that cell sheet technology has potential for regenerating a functional periosteum-like tissue that could aid in future orthopedic therapy."
