time,journal,doi_info,authors,key words,title,abstract
2023 Apr,Psychophysiology,Psychophysiology. 2023 Apr;60(4):e14217. doi: 10.1111/psyp.14217. Epub 2022 Nov ,"['López-Caballero, Fran', 'Coffman, Brian', 'Seebold, Dylan', 'Teichert, Tobias', 'Salisbury, Dean F']","['humans', 'acoustic stimulation methods', ' lead', ' evoked potentials, auditory physiology', 'reaction time physiology', 'auditory perception', 'electroencephalography', 'erps', 'isi', 'middle-latency response', 'neural adaptation', 'random auditory context', 'stimulus intensity']",Intensity and inter-stimulus-interval effects on human middle- and long-latency auditory evoked potentials in an unpredictable auditory context.,"It is not known how Auditory-Evoked Responses (AERs) comprising Middle Latency Responses (MLRs) and Long Latency Responses (LLRs) are modulated by stimulus intensity and inter-stimulus interval (ISI) in an unpredictable auditory context. Further, intensity and ISI effects on MLR and LLR have never been assessed simultaneously in the same humans. To address this important question, thirty participants passively listened to a random sequence of auditory clicks of three possible intensities (65, 75, and 85 dB) at five possible ISI ranges (0.25 to 0.5 s, 0.5 to 1 s, 1 to 2 s, 2 to 4 s, 4 to 8 s) over four to seven one-hour sessions while EEG was recorded. P0, Na, Pa, Nb, and Pb MLR peaks and N1 and P2 LLR peaks were measured. MLRs P0 (p = .005), Pa (p = .021), and Pb (p = <.001) were modulated by intensity, while only MLR Pb (p = <.001) was modulated by ISI. LLR N1 and P2 were modulated by both intensity and ISI (all p values < .001). Intensity and ISI interacted at Pb, N1, and P2 (all p values < .001), with greater intensity effects at longer ISIs and greater ISI effects at louder intensities. Together, these results provide a comprehensive picture of intensity and ISI effects on AER across the entire thalamocortical auditory pathway, while controlling for stimulus predictability. Moreover, they highlight P0 as the earliest MLR response sensitive to stimulus intensity and Pb (~50 ms) as the earliest cortical response coding for ISIs above 250 ms and showing an interdependence between intensity and ISI effects."
2022 Jun,PLoS pathogens,PLoS Pathog. 2022 Jun 13;18(6):e1009946. doi: 10.1371/journal.ppat.1009946. ,"['Ma, Henry', 'Albe, Joseph R', 'Gilliland, Theron', 'McMillen, Cynthia M', 'Gardner, Christina L', 'Boyles, Devin A', 'Cottle, Emily L', 'Dunn, Matthew D', 'Lundy, Jeneveve D', 'Salama, Noah', ""O'Malley, Katherine J"", 'Pandrea, Ivona', 'Teichert, Tobias', 'Barrick, Stacey', 'Klimstra, William B', 'Hartman, Amy L', 'Reed, Douglas S']","['animals', 'central nervous system', ' encephalitis virus, venezuelan equine genetics', ' encephalomyelitis, venezuelan equine', 'horses genetics', 'inflammation', 'macaca fascicularis', 'rna, viral genetics']",Long-term persistence of viral RNA and inflammation in the CNS of macaques exposed to aerosolized Venezuelan equine encephalitis virus.,"Venezuelan equine encephalitis virus (VEEV) is a positively-stranded RNA arbovirus of the genus Alphavirus that causes encephalitis in humans. Cynomolgus macaques are a relevant model of the human disease caused by VEEV and are useful in exploring pathogenic mechanisms and the host response to VEEV infection. Macaques were exposed to small-particle aerosols containing virus derived from an infectious clone of VEEV strain INH-9813, a subtype IC strain isolated from a human infection. VEEV-exposed macaques developed a biphasic fever after infection similar to that seen in humans. Maximum temperature deviation correlated with the inhaled dose, but fever duration did not. Neurological signs, suggestive of virus penetration into the central nervous system (CNS), were predominantly seen in the second febrile period. Electroencephalography data indicated a statistically significant decrease in all power bands and circadian index during the second febrile period that returned to normal after fever resolved. Intracranial pressure increased late in the second febrile period. On day 6 post-infection macaques had high levels of MCP-1 and IP-10 chemokines in the CNS, as well as a marked increase of T lymphocytes and activated microglia. More than four weeks after infection, VEEV genomic RNA was found in the brain, cerebrospinal fluid and cervical lymph nodes. Pro-inflammatory cytokines & chemokines, infiltrating leukocytes and pathological changes were seen in the CNS tissues of macaques euthanized at these times. These data are consistent with persistence of virus replication and/or genomic RNA and potentially, inflammatory sequelae in the central nervous system after resolution of acute VEEV disease."
2022,"Neurobiology of language (Cambridge, Mass.)",Neurobiol Lang (Camb). 2022;3(3):441-468. doi: 10.1162/nol_a_00072. Epub 2022 Jul ,"['Teichert, Tobias', 'Gnanateja, G Nike', 'Sadagopan, Srivatsun', 'Chandrasekaran, Bharath']","['eeg', 'deconvolution', 'envelope following responses', 'frequency following responses', 'macaque monkey', 'temporal fine structure']",A Linear Superposition Model of Envelope and Frequency Following Responses May Help Identify Generators Based on Latency.,"Envelope and frequency-following responses (FFR(ENV) and FFR(TFS)) are scalp-recorded electrophysiological potentials that closely follow the periodicity of complex sounds such as speech. These signals have been established as important biomarkers in speech and learning disorders. However, despite important advances, it has remained challenging to map altered FFR(ENV) and FFR(TFS) to altered processing in specific brain regions. Here we explore the utility of a deconvolution approach based on the assumption that FFR(ENV) and FFR(TFS) reflect the linear superposition of responses that are triggered by the glottal pulse in each cycle of the fundamental frequency (F0 responses). We tested the deconvolution method by applying it to FFR(ENV) and FFR(TFS) of rhesus monkeys to human speech and click trains with time-varying pitch patterns. Our analyses show that F0(ENV) responses could be measured with high signal-to-noise ratio and featured several spectro-temporally and topographically distinct components that likely reflect the activation of brainstem (<5 ms; 200-1000 Hz), midbrain (5-15 ms; 100-250 Hz), and cortex (15-35 ms; ~90 Hz). In contrast, F0(TFS) responses contained only one spectro-temporal component that likely reflected activity in the midbrain. In summary, our results support the notion that the latency of F0 components map meaningfully onto successive processing stages. This opens the possibility that pathologically altered FFR(ENV) or FFR(TFS) may be linked to altered F0(ENV) or F0(TFS) and from there to specific processing stages and ultimately spatially targeted interventions."
2021 Nov-Dec,eNeuro,eNeuro. 2021 Dec 23;8(6):ENEURO.0451-21.2021. doi: 10.1523/ENEURO.0451-21.2021. ,"['Gnanateja, G Nike', 'Rupp, Kyle', 'Llanos, Fernando', 'Remick, Madison', 'Pernia, Marianny', 'Sadagopan, Srivatsun', 'Teichert, Tobias', 'Abel, Taylor J', 'Chandrasekaran, Bharath']","['acoustic stimulation', 'animals', ' auditory cortex', 'electroencephalography', 'guinea pigs', 'phonetics', 'pitch perception', ' speech perception', 'auditory brainstem', 'auditory cortex', 'cross-species', 'frequency following responses', 'periodicity', 'pitch']",Frequency-Following Responses to Speech Sounds Are Highly Conserved across Species and Contain Cortical Contributions.,"Time-varying pitch is a vital cue for human speech perception. Neural processing of time-varying pitch has been extensively assayed using scalp-recorded frequency-following responses (FFRs), an electrophysiological signal thought to reflect integrated phase-locked neural ensemble activity from subcortical auditory areas. Emerging evidence increasingly points to a putative contribution of auditory cortical ensembles to the scalp-recorded FFRs. However, the properties of cortical FFRs and precise characterization of laminar sources are still unclear. Here we used direct human intracortical recordings as well as extracranial and intracranial recordings from macaques and guinea pigs to characterize the properties of cortical sources of FFRs to time-varying pitch patterns. We found robust FFRs in the auditory cortex across all species. We leveraged representational similarity analysis as a translational bridge to characterize similarities between the human and animal models. Laminar recordings in animal models showed FFRs emerging primarily from the thalamorecipient layers of the auditory cortex. FFRs arising from these cortical sources significantly contributed to the scalp-recorded FFRs via volume conduction. Our research paves the way for a wide array of studies to investigate the role of cortical FFRs in auditory perception and plasticity."
2021 Nov,PLoS computational biology,PLoS Comput Biol. 2021 Nov 17;17(11):e1009601. doi: 10.1371/journal.pcbi.1009601. ,"['Klein, Natalie', 'Siegle, Joshua H', 'Teichert, Tobias', 'Kass, Robert E']","['animals', 'computer simulation', ' models, neurological', 'primary visual cortex  physiology']",Cross-population coupling of neural activity based on Gaussian process current source densities.,"Because local field potentials (LFPs) arise from multiple sources in different spatial locations, they do not easily reveal coordinated activity across neural populations on a trial-to-trial basis. As we show here, however, once disparate source signals are decoupled, their trial-to-trial fluctuations become more accessible, and cross-population correlations become more apparent. To decouple sources we introduce a general framework for estimation of current source densities (CSDs). In this framework, the set of LFPs result from noise being added to the transform of the CSD by a biophysical forward model, while the CSD is considered to be the sum of a zero-mean, stationary, spatiotemporal Gaussian process, having fast and slow components, and a mean function, which is the sum of multiple time-varying functions distributed across space, each varying across trials. We derived biophysical forward models relevant to the data we analyzed. In simulation studies this approach improved identification of source signals compared to existing CSD estimation methods. Using data recorded from primate auditory cortex, we analyzed trial-to-trial fluctuations in both steady-state and task-evoked signals. We found cortical layer-specific phase coupling between two probes and showed that the same analysis applied directly to LFPs did not recover these patterns. We also found task-evoked CSDs to be correlated across probes, at specific cortical depths. Using data from Neuropixels probes in mouse visual areas, we again found evidence for depth-specific phase coupling of primary visual cortex and lateromedial area based on the CSDs."
2021 Feb,PLoS pathogens,PLoS Pathog. 2021 Feb 3;17(2):e1009308. doi: 10.1371/journal.ppat.1009308. ,"['Albe, Joseph R', 'Ma, Henry', 'Gilliland, Theron H', 'McMillen, Cynthia M', 'Gardner, Christina L', 'Boyles, Devin A', 'Cottle, Emily L', 'Dunn, Matthew D', 'Lundy, Jeneveve D', ""O'Malley, Katherine J"", 'Salama, Noah', 'Walters, Aaron W', 'Pandrea, Ivona', 'Teichert, Tobias', 'Klimstra, William B', 'Reed, Douglas S', 'Hartman, Amy L']","['aerosols  adverse effects', 'animals', 'biomarkers  analysis', 'brain  immunology  pathology virology', 'cytokines metabolism', 'disease models, animal', 'encephalitis virus, eastern equine  pathogenicity', 'encephalitis, viral  immunology pathology virology', 'female', 'fever  immunology pathology virology', 'macaca fascicularis', 'male']",Physiological and immunological changes in the brain associated with lethal eastern equine encephalitis virus in macaques.,"Aerosol exposure to eastern equine encephalitis virus (EEEV) can trigger a lethal viral encephalitis in cynomolgus macaques which resembles severe human disease. Biomarkers indicative of central nervous system (CNS) infection by the virus and lethal outcome of disease would be useful in evaluating potential medical countermeasures, especially for therapeutic compounds. To meet requirements of the Animal Rule, a better understanding of the pathophysiology of EEEV-mediated disease in cynomolgus macaques is needed. In this study, macaques given a lethal dose of clone-derived EEEV strain V105 developed a fever between 2-3 days post infection (dpi) and succumbed to the disease by 6 dpi. At the peak of the febrile phase, there was a significant increase in the delta electroencephalography (EEG) power band associated with deep sleep as well as a sharp rise in intracranial pressure (ICP). Viremia peaked early after infection and was largely absent by the onset of fever. Granulocytosis and elevated plasma levels of IP-10 were found early after infection. At necropsy, there was a one hundred- to one thousand-fold increase in expression of traumatic brain injury genes (LIF, MMP-9) as well as inflammatory cytokines and chemokines (IFN-γ, IP-10, MCP-1, IL-8, IL-6) in the brain tissues. Phenotypic analysis of leukocytes entering the brain identified cells as primarily lymphoid (T, B, NK cells) with lower levels of infiltrating macrophages and activated microglia. Massive amounts of infectious virus were found in the brains of lethally-infected macaques. While no infectious virus was found in surviving macaques, quantitative PCR did find evidence of viral genomes in the brains of several survivors. These data are consistent with an overwhelming viral infection in the CNS coupled with a tremendous inflammatory response to the infection that may contribute to the disease outcome. Physiological monitoring of EEG and ICP represent novel methods for assessing efficacy of vaccines or therapeutics in the cynomolgus macaque model of EEEV encephalitis."
2020 Dec 1,Journal of neuroscience methods,J Neurosci Methods. 2020 Dec 1;346:108906. doi: 10.1016/j.jneumeth.2020.108906. ,"['Li, Fan', 'Teichert, Tobias']","['animals', 'brain diagnostic imaging', 'electrodes', ' electroencephalography', ' macaca', 'magnetic resonance imaging', 'software', '10-20 system', 'eeg', 'non-human primates']",A surface metric and software toolbox for EEG electrode grids in the macaque.,"BACKGROUND: The past years have seen increased appreciation of electroencephalographic (EEG) recordings in non-human primates (NHP) as a tool for translational research. In humans, even large EEG electrode grids can easily and quickly be placed on standardized positions using commercially available EEG caps. In the NHP, the identification of standardized EEG electrode positions is more complicated and time-consuming. NEW METHOD: Here we introduce a surface metric and software package (NHP1020) that automates the planning of large, approximately evenly spaced electrode grids for EEG recordings in the NHP. RESULTS: Based on one CT and one MRI image as well as two intracranial markers, the NHP1020 software defines electrode positions on the brain surface using a surface-based spherical metric similar to the one used by the international 10-20 system. Standardized electrode grids can be shared, imported or defined with few high-level commands. EXISTING METHODS: NHP EEG electrodes can be placed relative to extracranial markers and measurements or relative to underlying neural structures of interest. Both approaches are time-consuming and require manual intervention. Furthermore, the use of extracranial markers in this species may be more problematic than in humans, because cranial muscles and ridges are larger and keep maturing long into adulthood. CONCLUSION: The presented surface metric and the NHP1020 toolbox provide fast and automated identification of entire electrode grids in the non-human primate based on a two-dimensional metric on the brain surface."
2020,PloS one,PLoS One. 2020 Jun 25;15(6):e0232381. doi: 10.1371/journal.pone.0232381. ,"['Ma, Henry', 'Lundy, Jeneveve D', 'Cottle, Emily L', ""O'Malley, Katherine J"", 'Trichel, Anita M', 'Klimstra, William B', 'Hartman, Amy L', 'Reed, Douglas S', 'Teichert, Tobias']","['alphavirus isolation & purification pathogenicity', 'alphavirus infections metabolism  pathology', 'animals', 'biomarkers metabolism', 'brain  physiology', 'circadian rhythm', 'disease models, animal', 'electroencephalography methods', 'encephalitis, viral metabolism  pathology', 'female', 'intracranial pressure  physiology', 'macaca', 'male', 'severity of illness index', 'telemetry']",Applications of minimally invasive multimodal telemetry for continuous monitoring of brain function and intracranial pressure in macaques with acute viral encephalitis.,"Alphaviruses such as Venezuelan equine encephalitis virus (VEEV) and Eastern equine encephalitis virus (EEEV) are arboviruses that can cause severe zoonotic disease in humans. Both VEEV and EEEV are highly infectious when aerosolized and can be used as biological weapons. Vaccines and therapeutics are urgently needed, but efficacy determination requires animal models. The cynomolgus macaque (Macaca fascicularis) provides a relevant model of human disease, but questions remain whether vaccines or therapeutics can mitigate CNS infection or disease in this model. The documentation of alphavirus encephalitis in animals relies on traditional physiological biomarkers and behavioral/neurological observations by veterinary staff; quantitative measurements such as electroencephalography (EEG) and intracranial pressure (ICP) can recapitulate underlying encephalitic processes. We detail a telemetry implantation method suitable for continuous monitoring of both EEG and ICP in awake macaques, as well as methods for collection and analysis of such data. We sought to evaluate whether changes in EEG/ICP suggestive of CNS penetration by virus would be seen after aerosol exposure of naïve macaques to VEEV IC INH9813 or EEEV V105 strains compared to mock-infection in a cohort of twelve adult cynomolgus macaques. Data collection ran continuously from at least four days preceding aerosol exposure and up to 50 days thereafter. EEG signals were processed into frequency spectrum bands (delta: [0.4 - 4Hz); theta: [4 - 8Hz); alpha: [8-12Hz); beta: [12-30] Hz) and assessed for viral encephalitis-associated changes against robust background circadian variation while ICP data was assessed for signal fidelity, circadian variability, and for meaningful differences during encephalitis. Results indicated differences in delta, alpha, and beta band magnitude in infected macaques, disrupted circadian rhythm, and proportional increases in ICP in response to alphavirus infection. This novel enhancement of the cynomolgus macaque model offers utility for timely determination of onset, severity, and resolution of encephalitic disease and for the evaluation of vaccine and therapeutic candidates."
2020 Aug,Neuropsychopharmacology : official publication of the American College of ,Neuropsychopharmacology. 2020 Aug;45(9):1411-1422. doi: ,"['Javitt, Daniel C', 'Siegel, Steven J', 'Spencer, Kevin M', 'Mathalon, Daniel H', 'Hong, L Elliot', 'Martinez, Antigona', 'Ehlers, Cindy L', 'Abbas, Atheir I', 'Teichert, Tobias', 'Lakatos, Peter', 'Womelsdorf, Thilo']","['animals', 'biomarkers', ' electroencephalography', 'evoked potentials', 'humans', ' mental disorders drug therapy']",A roadmap for development of neuro-oscillations as translational biomarkers for treatment development in neuropsychopharmacology.,"New treatment development for psychiatric disorders depends critically upon the development of physiological measures that can accurately translate between preclinical animal models and clinical human studies. Such measures can be used both as stratification biomarkers to define pathophysiologically homogeneous patient populations and as target engagement biomarkers to verify similarity of effects across preclinical and clinical intervention. Traditional ""time-domain"" event-related potentials (ERP) have been used translationally to date but are limited by the significant differences in timing and distribution across rodent, monkey and human studies. By contrast, neuro-oscillatory responses, analyzed within the ""time-frequency"" domain, are relatively preserved across species permitting more precise translational comparisons. Moreover, neuro-oscillatory responses are increasingly being mapped to local circuit mechanisms and may be useful for investigating effects of both pharmacological and neuromodulatory interventions on excitatory/inhibitory balance. The present paper provides a roadmap for development of neuro-oscillatory responses as translational biomarkers in neuropsychiatric treatment development."
2019 Jun 1,Journal of neurophysiology,J Neurophysiol. 2019 Jun 1;121(6):2401-2415. doi: 10.1152/jn.00821.2018. Epub ,"['Teichert, Tobias', 'Gurnsey, Kate']","['animals', 'auditory perception  physiology', 'behavior, animal physiology', 'decision making  physiology', 'discrimination, psychological  physiology', 'humans', 'macaca mulatta', 'male', 'time factors', 'decision making', 'echoic memory', 'psychophysics', 'rhesus macaque']",Formation and decay of auditory short-term memory in the macaque monkey.,"Echoic memory (EM) is a short-lived, precategorical, and passive form of auditory short-term memory (STM). A key hallmark of EM is its rapid exponential decay with a time constant between 1 and 2 s. It is not clear whether auditory STM in the rhesus, an important model system, shares this rapid exponential decay. To resolve this shortcoming, two rhesus macaques were trained to perform a delayed frequency discrimination task. Discriminability of delayed tones was measured as a function of retention duration and the number of times the standard had been repeated before the target. Like in the human, our results show a rapid decline of discriminability with retention duration. In addition, the results suggest a gradual strengthening of discriminability with repetition number. Model-based analyses suggest the presence of two components of auditory STM: a short-lived component with a time constant on the order of 550 ms that most likely corresponds to EM and a more stable memory trace with time constants on the order of 10 s that strengthens with repetition and most likely corresponds to auditory recognition memory. NEW & NOTEWORTHY This is the first detailed quantification of the rapid temporal dynamics of auditory short-term memory in the rhesus. Much of the auditory information in short-term memory is lost within the first couple of seconds. Repeated presentations of a tone strengthen its encoding into short-term memory. Model-based analyses suggest two distinct components: an echoic memory homolog that mediates the rapid decay and a more stable but less detail-rich component that mediates strengthening of the trace with repetition."
