time,journal,doi_info,authors,key words,title,abstract
2024 Mar,Journal of forensic sciences,J Forensic Sci. 2024 Mar;69(2):659-668. doi: 10.1111/1556-4029.15467. Epub 2024 ,"['Wenzinger, Zara Ellen', 'Wetzel, Stephanie', 'Bernarding, Benjamin', 'Viator, John', 'Kohlhepp, Brian', 'Marshall, Pamela']","['3d printed firearm', '3d printing', 'liberator', 'firearms', 'firearms examination', 'ghost gun']",The relevance of current forensic firearms examination techniques when applied to 3D printed firearms.,"This research project had two major objectives. The first was to successfully print and fire the Liberator, a 3D-printed firearm, to assess its feasibility as a lethal weapon. The second objective was to identify any individual characteristics that might be deposited during the firing process by the firearm. The Liberator was printed using unchanged files downloaded from the internet using PLA and ABS filament. The Liberator was fired remotely into newspapers at the Allegheny County Medical Examiner's Office. The printing of the Liberator was both inexpensive and relatively quick with only minor hand modifications made after printing. The Liberator fractured beyond repair after firing but successfully fired and penetrated three newspapers. Neither the bullet nor the cartridge case exhibited any individual characteristics that could be used for identification purposes. Suspected thermoplastic deposits were identified on both the bullet and cartridge case, but additional testing must be done for confirmation purposes. In conclusion, the Liberator can be used reliably for one shot and will not yield any evidence for Firearms and Toolmark Examination."
2023 Oct 31,"Bioengineering (Basel, Switzerland)",Bioengineering (Basel). 2023 Oct 31;10(11):1268. doi: ,"['Yang, Bin', 'Schinke, Jennifer', 'Rastegar, Amir', 'Tanyeri, Melikhan', 'Viator, John A']","['3d dental reconstruction', 'dental imaging', 'intraoral scanner', 'photogrammetry']",Cost-Effective Full-Color 3D Dental Imaging Based on Close-Range Photogrammetry.,"Dental imaging plays a crucial role in clinical dental practice. Conventional 2D dental imaging serves general-purpose tasks, such as patient documentation, while high-precision 3D dental scanning is tailored for specialized procedures, such as orthodontics and implant surgeries. In this study, we aimed to develop a cost-effective 3D imaging technique that could bridge the gap between conventional dental photography and high-precision 3D dental scanning, with the goal of improving patient dental care. We developed a 3D imaging technique based on close-range photogrammetry and termed it close-range photogrammetry-based dental imaging (CPDI). We evaluated this technique on both in vitro dental models and in vivo teeth. For dental models, we conducted a parametric study to examine the effects of the depth of field and specular reflection on reconstruction quality. We showed that the optimal results were achieved with an f/5.6 lens and without a circular polarizer for reflection suppression. This configuration generated 3D scans with 57.7 ± 3.2% and 82.4 ± 2.7% of reconstructed points falling within ±0.1 mm and ±0.2 mm error margins, respectively. With such accuracy, these 3D dental models can faithfully represent dental morphology and features. During in vivo imaging, we were able to reconstruct high-quality 3D models of the anterior arch, further demonstrating its clinical relevance. The reconstructed models carry both 3D shapes and detail full-color surface textures, which positions CPDI as a versatile imaging tool in different areas of clinical dental care."
2024,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2024;2738:347-355. doi: 10.1007/978-1-0716-3549-0_21.,"['Edgar, Robert H', 'Samson, Anie-Pier', 'Viator, John A']","['humans', ' bacteriophages', 'flow cytometry', ' methicillin-resistant staphylococcus aureus', 'staphylococcus aureus', ' bacteremia', 'anti-bacterial agents', 'antimicrobial resistance', 'bacterial', 'bacteriophage', 'diagnostic', 'optical', 'optoacoustic']",The Application of Bacteriophage and Photoacoustic Flow Cytometry in Bacterial Identification.,"Infection with resistant bacteria has become an ever-increasing problem in modern medical practice. Bacteremia is a serious and potentially lethal condition that can lead to sepsis without early intervention. Currently, broad-spectrum antibiotics are prescribed until bacteria can be identified through blood cultures, a process that can take 2-3 days and is unable to provide quantitative information. Staphylococcus aureus (S. aureus) is a leading cause of bacteremia, and methicillin-resistant S. aureus (MRSA) accounts for more than a third of the cases. Other bacteria such as Clostridium difficile, Acinetobacter baumannii, and Carbapenem-resistant Enterobacteriaceae are becoming more prevalent and antibiotic-resistant. Rapid diagnostics for each of these superbugs has been a priority for health organizations around the world. Bacteriophages have evolved for millions of years to develop exquisite specificity in target binding using their host attachment proteins. Bacteriophages are viruses that infect bacteria. Bacteriophages use tail spikes, specialized attachment proteins, to bind specifically to their target bacterial cell surface proteins. We use bacteriophages and parts of bacteriophages as specific tags coupled with photoacoustic flow cytometry for the detection and quantification of bacteria. In photoacoustic flow cytometry, laser light is absorbed by particles under flow, and the ultrasound waves generated on the release of the energy are detected. Photoacoustics involves the detection of ultrasound waves resulting from laser irradiation. In photoacoustic flow cytometry, pulsed laser light is delivered to a sample flowing past a focused transducer, and particles that absorb laser light create a photoacoustic response. Bacteria can be tagged with dyed bacteriophage and processed through a photoacoustic flow cytometer where they are detected by the acoustic response. In this chapter, we describe the procedure and methods used to accomplish this. Often the limiting factor for the treatment of patients is the time spent waiting for results. It is our hope that the work presented in this chapter can be a foundation for future work and provide an ability to detect bacterial pathogens in blood cultures. Bacterial plate cultures and Gram staining are nineteenth-century technologies that have been the gold standards for decades, but current trends in resistant bacteria have necessitated a move toward more rapid and quantifiable diagnostic tools."
2023 Feb 28,Micromachines,Micromachines (Basel). 2023 Feb 28;14(3):573. doi: 10.3390/mi14030573.,"['Edgar, Robert H', 'Samson, Anie-Pier', 'Kocsis, Tori', 'Viator, John A']","['acoustic', 'biosensing', 'optoacoustics']",Photoacoustic Flow Cytometry Using Functionalized Microspheres for Selective Detection of Bacteria.,"Photoacoustic flow cytometry is a method to detect rare analytes in fluids. We developed photoacoustic flow cytometry to detect pathological cells in body fluids, such as circulating tumor cells or bacteria in blood. In order to induce specific optical absorption in bacteria, we use modified bacteriophage that precisely target bacterial species or subspecies for rapid identification. In order to reduce detection variability and to halt the lytic lifescycle that results in lysis of the bacteria, we attached dyed latex microspheres to the tail fibers of bacteriophage that retained the bacterial recognition binding sites. We tested these microsphere complexes using Salmonella enterica (Salmonella) and Escherichia coli (E. coli) bacteria and found robust and specific detection of targeted bacteria. In our work we used LT2, a strain of Salmonella, against K12, a strain of E. coli. Using Det7, a bacteriophage that binds to LT2 and not to K12, we detected an average of 109.3±9.0 of LT2 versus 2.0±1.7 of K12 using red microspheres and 86.7±13.2 of LT2 versus 0.3±0.6 of K12 using blue microspheres. These results confirmed our ability to selectively detect bacterial species using photoacoustic flow cytometry."
2023,Frontiers in medicine,Front Med (Lausanne). 2023 Feb 23;10:1017192. doi: 10.3389/fmed.2023.1017192. ,"['Edgar, Robert H', 'Samson, Anie-Pier', 'Kowalski, Regis P', 'Kellum, John A', 'Hempel, John', 'Viator, John A', 'Jhanji, Vishal']","['flow cytometry', 'k-means', 'microbial', 'optoacoustics', 'ultrasonic']",Differentiating methicillin resistant and susceptible Staphylococcus aureus from ocular infections using photoacoustic labeling.,"INTRODUCTION: Antibiotic resistance in bacterial species constitutes a growing problem in the clinical management of infections. Not only does it limit therapeutic options, but application of ineffective antibiotics allows resistant species to progress prior to prescribing more effective treatment to patients. Methicillin resistance in Staphylococcus aureus is a major problem in clinical infections as it is the most common hospital acquired infection. METHODS: We developed a photoacoustic flow cytometer using engineered bacteriophage as probes for rapid determination of methicillin resistance in Staphylococcus aureus with thirteen clinical samples obtained from keratitis patients. This method irradiates cells under flow with 532 nm laser light and selectively generates acoustic waves in labeled bacterial cells, thus enabling detection and enumeration of them. Staphylococcus aureus isolates were classified from culture isolation as either methicillin resistant or susceptible using cefoxitin disk diffusion testing. The photoacoustic method enumerates bacterial cells before and after treatment with antibiotics. Decreasing counts of bacteria after treatment indicate susceptible strains. We quantified the bacterial cells in the treated and untreated samples. RESULTS: Using k-means clustering on the data, we achieved 100% concordance with the classification of Staphylococcus aureus resistance using culture. DISCUSSION: Photoacoustics can be used to differentiate methicillin resistant and susceptible strains of bacteria from ocular infections. This method may be generalized to other bacterial species using appropriate bacteriophages and testing for resistance using other antibiotics."
2022 Mar,Lasers in surgery and medicine,Lasers Surg Med. 2022 Mar;54(3):418-425. doi: 10.1002/lsm.23487. Epub 2021 Dec ,"['Edgar, Robert H', 'Samson, Anie-Pier', 'Cook, Justin', 'Douglas, Madeline', 'Urish, Ken', 'Kellum, John', 'Hempel, John', 'Viator, John A']","['anti-bacterial agents pharmacology therapeutic use', ' bacteremia diagnosis drug therapy microbiology', ' cross infection', ' daptomycin therapeutic use', 'humans', ' methicillin-resistant staphylococcus aureus', 'microbial sensitivity tests', ' staphylococcal infections diagnosis drug therapy microbiology', 'staphylococcus aureus', 'bacterial resistance', 'early detection', 'lasers', 'optics', 'optoacoustics']",Photoacoustic discrimination of antibiotic-resistant and sensitive Staphylococcus aureus isolates.,"OBJECTIVES: Bacteremia is a serious and potentially lethal condition. Staphylococcus aureus is a leading cause of bacteremia and methicillin-resistant S. aureus (MRSA) accounts for more than a third of the cases. Compared to methicillin-sensitive S. aureus, MRSA is more than twice as likely to be fatal. Furthermore, subpopulations of seemingly isogenic bacteria may exhibit a range of susceptibilities, often called heterogenous resistance. These heterogeneous antibiotic-resistant infections are often misdiagnosed as hospital-acquired secondary infections because there are no clinically used tests that can differentiate between homogeneous and heterogeneous antibiotic resistance. We describe the development and proof of concept of rapid bacterial identification using photoacoustic flow cytometry and labeled bacteriophages with the characterization and differentiation of heterogeneous antibiotic-resistant bacterial infections. METHODS: In photoacoustic flow cytometry, pulsed laser light is delivered to a sample flowing past a focused transducer and particles that absorb laser light create an acoustic response. Optically labeled bacteriophage are added to a bacterial mixture that flows through the photoacoustic chamber. The presence of target bacteria is determined by bound labeled phage which are detected photoacoustically. Incubation of bacterial samples in the presence and absence of the antibiotic daptomycin creates a difference in bacterial cell numbers that is quantified using photoacoustic flow cytometry. RESULTS: Four clinical isolates were tested in the presence and absence of daptomycin. Photoacoustic events for each isolate were recorded and compared to growth curves. Samples treated with daptomycin fell into three categories: resistant, susceptible, and heterogeneous resistant. CONCLUSIONS: Here we show a method to determine the presence of bacteria as a marker for bloodstream infection level and antibiotic sensitivity in less than 4 hours. Additionally, these results show an ability to identify heterogeneous resistant strains that are often misidentified."
2020 Nov,Journal of innovative optical health sciences,J Innov Opt Health Sci. 2020 Nov;13(6):2050023. doi: 10.1142/s1793545820500236. ,"['Viator, John A', 'Hazur, Marc', 'Sajewski, Andrea', 'Tarhini, Ahmad', 'Sanders, Martin E', 'Edgar, Robert H']","['diagnosis', 'metastasis', 'optoacoustics']",Photoacoustic detection of circulating melanoma cells in late stage patients.,"Melanoma is the deadliest skin cancer and is responsible for over 7000 deaths in the US annually. The spread of cancer, or metastasis, is responsible for these deaths, as secondary tumors interrupt normal organ function. Circulating tumor cells, or those cells that spread throughout the body from the primary tumor, are thought to be responsible for metastasis. We developed an optical method, photoacoustic flow cytometry, in order to detect and enumerate circulating melanoma cells (CMCs) from blood samples of patients. We tested the blood of Stage IV melanoma patients to show the ability of the photoacoustic flow cytometer to detect these rare cells in blood. We then tested the system on archived blood samples from Stage III melanoma patients with known outcomes to determine if detection of CMCs can predict future metastasis. We detected between 0 and 66 CMCs in Stage IV patients. For the Stage III study, we found that of those samples with CMCs, 2 remained disease free and 5 developed metastasis. Of those without CMCs, 6 remained disease free and 1 developed metastasis. We believe that photoacoustic detection of CMCs provides valuable information for the prediction of metastasis and we postulate a system for more accurate prognosis."
2021,"Methods in molecular biology (Clifton, N.J.)",Methods Mol Biol. 2021;2265:203-212. doi: 10.1007/978-1-0716-1205-7_15.,"['Edgar, Robert H', 'Cook, Justin', 'Douglas, Madeline', 'Samson, Anie-Pier', 'Viator, John A']","['disease progression', 'early detection of cancer methods', 'flow cytometry instrumentation  methods', 'gene library', 'humans', 'immunohistochemistry methods', 'melanoma blood  diagnosis genetics pathology', 'neoplasm metastasis diagnosis pathology', ' neoplastic cells, circulating pathology', 'photoacoustic techniques  instrumentation  methods', 'real-time polymerase chain reaction', 'rheology  instrumentation  methods', 'skin neoplasms blood  diagnosis genetics pathology', 'ultrasonography methods', 'diagnostic', 'metastasis', 'optical', 'optoacoustic', 'ultrasound']",Capture and Isolation of Circulating Melanoma Cells Using Photoacoustic Flowmetry.,"Early detection of cancer has been a goal of cancer research in general and melanoma research in particular (Birnbaum et al., Lancet Glob Health 6:e885-e893, 2018; Alendar et al., Bosnian J Basic Med Sci 9:77-80, 2009). Early detection of metastasis has been targeted as pivotal to increasing survival rates (Menezes et al., Adv Cancer Res 132:1-44, 2016). Melanoma, though curable in its early stages, has a dramatic decrease in survival rates once metastasis has occurred (Sharma et al., Biotechnol Adv 36:1063-1078, 2018). The transition to metastasis is not well understood and is an area of increasing interest. Metastasis is always premeditated by the shedding of circulating tumor cells (CTCs) from the primary tumor. The ability to isolate rare CTCs from the bloodstream has led to a host of new targets and therapies for cancer (Micalizzi et al., Genes Dev 31:1827-1840, 2017). Detection of CTCs also allows for disease progression to be tracked in real time while eliminating the need to wait for additional tumors to grow. Using a photoacoustic flowmeter, in which we induce ultrasonic responses from circulating melanoma cells (CMCs), we identify and quantify these cells in order to track disease progression. Additionally, these CMCs are captured and isolated allowing for future analysis such as RNA-Seq or microarray analysis."
2021 Apr,Lasers in surgery and medicine,Lasers Surg Med. 2021 Apr;53(4):578-586. doi: 10.1002/lsm.23286. Epub 2020 Jun ,"['Edgar, Robert H', 'Tarhini, Ahmad', 'Sander, Cindy', 'Sanders, Martin E', 'Cook, Justin L', 'Viator, John A']","['flow cytometry', 'humans', ' melanoma diagnostic imaging', ' neoplastic cells, circulating', ' skin neoplasms diagnostic imaging', 'cancer staging', 'microfluidic', 'optoacoustics']",Predicting Metastasis in Melanoma by Enumerating Circulating Tumor Cells Using Photoacoustic Flow Cytometry.,"BACKGROUND AND OBJECTIVES: Enumerating circulating tumor cells has been used as a method of monitoring progression of various cancers. Various methods for detecting circulating melanoma cells (CMCs) have been reported, but none has had sufficient sensitivity to determine if the presence of rare CMCs in the blood of Stage I-III melanoma patients predicts if those patients eventually develop metastatic disease. STUDY DESIGN: We quantified CMCs in serial blood samples from 38 early stage melanoma patients to determine if CMC numbers predict development of metastatic melanoma. CMCs were enumerated using a photoacoustic flow cytometric detection system that uses a laser to induce high frequency acoustic signals in pigmented CMCs. RESULTS: We observed that detection of greater than 2 CMCs/ml of blood from patients with Stage I-III melanoma predicts metastatic disease. Of the 11 patients we studied who had two or fewer CMCs detected at all time points tested, none progressed to metastatic disease over a mean follow-up of 1288 days. In contrast, 18 of the 27 patients (67%) having more than 2 CMCs/ml at one or more time points progressed to metastatic disease over a mean follow-up of 850 days. CONCLUSIONS: Photoacoustic flow cytometry can detect rare CMCs in the blood of Stage I-III melanoma patients and detectionof these cells is predictive of subsequent development of metastatic disease. Lasers Surg. Med."
2019 Nov,Journal of biomedical optics,J Biomed Opt. 2019 Nov;24(11):1-7. doi: 10.1117/1.JBO.24.11.115003.,"['Edgar, Robert H', 'Cook, Justin', 'Noel, Cierra', 'Minard, Austin', 'Sajewski, Andrea', 'Fitzpatrick, Matthew', 'Fernandez, Rachel', 'Hempel, John D', 'Kellum, John A', 'Viator, John A']","['bacteriophages  physiology', 'coloring agents', 'epitopes', 'escherichia coli  cytology virology', 'flow cytometry  methods', 'lasers', 'photoacoustic techniques  methods', 'salmonella  cytology virology', 'signal processing, computer-assisted', 'ultrasonics', 'bacteriophage', 'diagnostics', 'optoacoustics']",Bacteriophage-mediated identification of bacteria using photoacoustic flow cytometry.,"Infection with resistant bacteria has become an ever increasing problem in modern medical practice. Currently, broad spectrum antibiotics are prescribed until bacteria can be identified through blood cultures, a process that can take two to three days and is unable to provide quantitative information. To detect and quantify bacteria rapidly in blood samples, we designed a method using labeled bacteriophage in conjunction with photoacoustic flow cytometry (PAFC). PAFC is the generation of ultrasonic waves created by the absorption of laser light in particles under flow. Bacteriophage is a virus that infects bacteria and possesses the ability to discriminate bacterial surface antigens, allowing the bacteriophage to bind only to their target bacteria. Bacteria can be tagged with dyed phage and processed through a photoacoustic flow cytometer where they are detected by the acoustic response. We demonstrate that E. coli; can be detected and discriminated from Salmonella; using this method. Our goal is to develop a method to determine bacterial content in blood samples. We hope to develop this technology into future clinical use and decrease the time required to identify bacterial species from 3 to 4 days to less than 1 hour."
