time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2024 Jun 5;12:1410863. doi: 10.3389/fbioe.2024.1410863. ,"['Rodríguez-Soto, María A', 'Riveros-Cortés, Alejandra', 'Orjuela-Garzón, Ian C', 'Fernández-Calderón, Inés María', 'Rodríguez, Cristian F', 'Vargas, Natalia Suárez', 'Ostos, Carlos', 'Camargo, Carolina Muñoz', 'Cruz, Juan C', 'Kim, Seungil', ""D'Amore, Antonio"", 'Wagner, William R', 'Briceño, Juan C']","['m1 m2 macrophage polarization', 'biomaterials', 'cell signaling', 'endothelialization', 'immunomodulation', 'inflammatory response', 'regenerative medicine', 'tissue engineered vascular grafts']",Redefining vascular repair: revealing cellular responses on PEUU-gelatin electrospun vascular grafts for endothelialization and immune responses on in vitro models.,"Tissue-engineered vascular grafts (TEVGs) poised for regenerative applications are central to effective vascular repair, with their efficacy being significantly influenced by scaffold architecture and the strategic distribution of bioactive molecules either embedded within the scaffold or elicited from responsive tissues. Despite substantial advancements over recent decades, a thorough understanding of the critical cellular dynamics for clinical success remains to be fully elucidated. Graft failure, often ascribed to thrombogenesis, intimal hyperplasia, or calcification, is predominantly linked to improperly modulated inflammatory reactions. The orchestrated behavior of repopulating cells is crucial for both initial endothelialization and the subsequent differentiation of vascular wall stem cells into functional phenotypes. This necessitates the TEVG to provide an optimal milieu wherein immune cells can promote early angiogenesis and cell recruitment, all while averting persistent inflammation. In this study, we present an innovative TEVG designed to enhance cellular responses by integrating a physicochemical gradient through a multilayered structure utilizing synthetic (poly (ester urethane urea), PEUU) and natural polymers (Gelatin B), thereby modulating inflammatory reactions. The luminal surface is functionalized with a four-arm polyethylene glycol (P4A) to mitigate thrombogenesis, while the incorporation of adhesive peptides (RGD/SV) fosters the adhesion and maturation of functional endothelial cells. The resultant multilayered TEVG, with a diameter of 3.0 cm and a length of 11 cm, exhibits differential porosity along its layers and mechanical properties commensurate with those of native porcine carotid arteries. Analyses indicate high biocompatibility and low thrombogenicity while enabling luminal endothelialization and functional phenotypic behavior, thus limiting inflammation in in-vitro models. The vascular wall demonstrated low immunogenicity with an initial acute inflammatory phase, transitioning towards a pro-regenerative M2 macrophage-predominant phase. These findings underscore the potential of the designed TEVG in inducing favorable immunomodulatory and pro-regenerative environments, thus holding promise for future clinical applications in vascular tissue engineering."
2024 Feb 6,Nature communications,Nat Commun. 2024 Feb 6;15(1):1123. doi: 10.1038/s41467-024-45437-2.,"['Zhu, Yang', 'Deng, Kaicheng', 'Zhou, Jianwei', 'Lai, Chong', 'Ma, Zuwei', 'Zhang, Hua', 'Pan, Jiazhen', 'Shen, Liyin', 'Bucknor, Matthew D', 'Ozhinsky, Eugene', 'Kim, Seungil', 'Chen, Guangjie', 'Ye, Sang-Ho', 'Zhang, Yue', 'Liu, Donghong', 'Gao, Changyou', 'Xu, Yonghua', 'Wang, Huanan', 'Wagner, William R']","['animals', 'dogs', ' polyurethanes', 'heating', 'magnetic resonance imaging methods', ' high-intensity focused ultrasound ablation methods', 'urea']",Shape-recovery of implanted shape-memory devices remotely triggered via image-guided ultrasound heating.,"Shape-memory materials hold great potential to impart medical devices with functionalities useful during implantation, locomotion, drug delivery, and removal. However, their clinical translation is limited by a lack of non-invasive and precise methods to trigger and control the shape recovery, especially for devices implanted in deep tissues. In this study, the application of image-guided high-intensity focused ultrasound (HIFU) heating is tested. Magnetic resonance-guided HIFU triggered shape-recovery of a device made of polyurethane urea while monitoring its temperature by magnetic resonance thermometry. Deformation of the polyurethane urea in a live canine bladder (5 cm deep) is achieved with 8 seconds of ultrasound-guided HIFU with millimeter resolution energy focus. Tissue sections show no hyperthermic tissue injury. A conceptual application in ureteral stent shape-recovery reduces removal resistance. In conclusion, image-guided HIFU demonstrates deep energy penetration, safety and speed."
2024 Jan 10,International journal of molecular sciences,Int J Mol Sci. 2024 Jan 10;25(2):847. doi: 10.3390/ijms25020847.,"['Xiao, Bo', 'Feturi, Firuz', 'Su, An-Jey A', 'Van der Merwe, Yolandi', 'Barnett, Joshua M', 'Jabbari, Kayvon', 'Khatter, Neil J', 'Li, Bing', 'Katzel, Evan B', 'Venkataramanan, Raman', 'Solari, Mario G', 'Wagner, William R', 'Steketee, Michael B', 'Simons, Daniel J', 'Washington, Kia M']","['animals', 'rats', ' tacrolimus pharmacology', ' myelin sheath', 'neurons', 'urethane', 'nerve regeneration', 'amides', 'carbamates', 'urea', 'esters', 'biopolymer', 'immunology', 'infraorbital nerve', 'neuroregeneration', 'peripheral nerve injury', 'tacrolimus']",Nerve Wrap for Local Delivery of FK506/Tacrolimus Accelerates Nerve Regeneration.,"Peripheral nerve injuries (PNIs) occur frequently and can lead to devastating and permanent sensory and motor function disabilities. Systemic tacrolimus (FK506) administration has been shown to hasten recovery and improve functional outcomes after PNI repair. Unfortunately, high systemic levels of FK506 can result in adverse side effects. The localized administration of FK506 could provide the neuroregenerative benefits of FK506 while avoiding systemic, off-target side effects. This study investigates the utility of a novel FK506-impregnated polyester urethane urea (PEUU) nerve wrap to treat PNI in a previously validated rat infraorbital nerve (ION) transection and repair model. ION function was assessed by microelectrode recordings of trigeminal ganglion cells responding to controlled vibrissae deflections in ION-transected and -repaired animals, with and without the nerve wrap. Peristimulus time histograms (PSTHs) having 1 ms bins were constructed from spike times of individual single units. Responses to stimulus onsets (ON responses) were calculated during a 20 ms period beginning 1 ms after deflection onset; this epoch captures the initial, transient phase of the whisker-evoked response. Compared to no-wrap controls, rats with PEUU-FK506 wraps functionally recovered earlier, displaying larger response magnitudes. With nerve wrap treatment, FK506 blood levels up to six weeks were measured nearly at the limit of quantification (LOQ ≥ 2.0 ng/mL); whereas the drug concentrations within the ION and muscle were much higher, demonstrating the local delivery of FK506 to treat PNI. An immunohistological assessment of ION showed increased myelin expression for animals assigned to neurorrhaphy with PEUU-FK506 treatment compared to untreated or systemic-FK506-treated animals, suggesting that improved PNI outcomes using PEUU-FK506 is mediated by the modulation of Schwann cell activity."
2024 May 1,ASAIO journal (American Society for Artificial Internal Organs : 1992),ASAIO J. 2024 May 1;70(5):451-455. doi: 10.1097/MAT.0000000000002138. Epub 2024 ,"['Menallo, Giorgio', 'Miraglia, Roberto', 'Gerasia, Roberta', 'Cosentino, Federica', 'Terranova, Pietro', 'Barbuto, Marianna', 'Wagner, William R', ""D'Amore, Antonio""]","['humans', ' image processing, computer-assisted methods', 'software', 'time factors']",Open-Source Image-Based Tool to Experimentally Evaluate Blood Residence Time in Clinical Devices.,"This article introduces an open-source tool to experimentally compare blood residence time in biomedical devices using an image-based method. The experimental setup and the postprocessing workflow are comprehensively elucidated in a detailed report that conducts a thorough comparison of the residence times of a blood analog within three distinct blood oxygenator prototypes. To enable widespread accessibility and ease of use, the user-friendly MATLAB App developed for the analysis is available on the Mathworks repository: https://www.mathworks.com/matlabcentral/fileexchange/135156 ."
2024 Mar,Annals of biomedical engineering,Ann Biomed Eng. 2024 Mar;52(3):575-587. doi: 10.1007/s10439-023-03401-z. Epub ,"['Pedersen, Drake D', 'Kim, Seungil', ""D'Amore, Antonio"", 'Wagner, William R']","[' polymers', ' pulmonary valve', 'tissue engineering methods', 'tissue scaffolds', 'heart valves', 'polyesters', 'fluid mechanics', 'heart valve design', 'particle image velocimetry', 'pulmonary valve', 'tissue-engineered heart valve']",Influence of Polymer Stiffness and Geometric Design on Fluid Mechanics in Tissue-Engineered Pulmonary Valve Scaffolds.,"There is still much unknown about the fluid mechanical response to cardiac valve scaffolds, even as their implementation in the clinic is on the horizon. Specifically, while degradable polymer valve scaffolds are currently being tested in the pulmonary valve position, their material and mechanical properties have not been fully elucidated. Optimizing these properties are important determinants not only of acute function, but long-term remodeling prospects. This study aimed to characterize fluid profiles downstream of electrospun valve scaffolds under dynamic pulmonary conditions. Valve scaffold design was changed by either blending poly(carbonate urethane) urea (PCUU) with poly(ε-caprolactone) (PCL) to modulate material stiffness or by changing the geometric design of the valve scaffolds. Specifically, two designs were utilized: one modeled after a clinically used bioprosthetic valve design (termed Mk1 design), and another using a geometrically ""optimized"" design (termed Mk2) based on anatomical data. Particle image velocimetry results showed that material stiffness only had a mild impact on fluid mechanics, measured by velocity magnitude, vorticity, viscous shear stress, Reynolds shear stress, and turbulent kinetic energy. However, comparing the two geometric designs yielded a much greater impact, with the Mk2 valve groups containing the highest PCUU/PCL ratio demonstrating the overall best performance. This report highlights the easily manipulable design features of polymeric valve scaffolds and demonstrates their relative significance for valve function."
2024 Jan,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2024 Jan;112(1):99-109. doi: 10.1002/jbm.a.37619. Epub 2023 ,"['Ye, Sang-Ho', 'Orizondo, Ryan A', 'De, Bianca Nina', 'Kim, Seungil', 'Frankowski, Brian J', 'Federspiel, William J', 'Wagner, William R']","['humans', ' silanes', ' blood platelets', 'polymers', 'lung', 'water', 'ambulator assist lung', 'epoxy-silane groups', 'simple aqueous circulation coating', 'thromboresistance', 'water soluble sulfobetaine block copolymers']","Epoxy silane sulfobetaine block copolymers for simple, aqueous thromboresistant coating on ambulatory assist lung devices.","Developing an ambulatory assist lung (AAL) for patients who need continuous extracorporeal membrane oxygenation has been associated with several design objectives, including the design of compact components, optimization of gas transfer efficiency, and reduced thrombogenicity. In an effort to address thrombogenicity concerns with currently utilized component biomaterials, a low molecular weight water soluble siloxane-functionalized zwitterionic sulfobetaine (SB-Si) block copolymer was coated on a full-scale AAL device set via a one pot aqueous circulation coating. All device parts including hollow fiber bundle, housing, tubing and cannular were successfully coated with increasing atomic compositions of the SB block copolymer and the coated surfaces showed a significant reduction of platelet deposition while gas exchange performance was sustained. However, water solubility of the SB-Si was unstable, and the coating method, including oxygen plasma pretreatment on the surfaces were considered inconsistent with the objective of developing a simple aqueous coating. Addressing these weaknesses, SB block copolymers were synthesized bearing epoxy or epoxy-silane groups with improved water solubility (SB-EP & SB-EP-Si) and no requirement for surface pretreatment (SB-EP-Si). An SB-EP-Si triblock copolymer showed the most robust coating capacity and stability without prior pretreatment to represent a simple aqueous circulation coating on an assembled full-scale AAL device."
2023,Frontiers in bioengineering and biotechnology,Front Bioeng Biotechnol. 2023 Sep 20;11:1257778. doi: 10.3389/fbioe.2023.1257778. ,"['Rodríguez-Soto, María A', 'Suárez Vargas, Natalia', 'Ayala-Velásquez, María', 'Aragón-Rivera, Andrés M', 'Ostos, Carlos', 'Cruz, Juan C', 'Muñoz Camargo, Carolina', 'Kim, Seungil', ""D'Amore, Antonio"", 'Wagner, William R', 'Briceño, Juan C']","['anti-thrombotic performance', 'biocompatibility', 'polyester urethane urea (peuu)', 'regenerative cardiovascular devices', 'surface modifications']",Polyester urethane urea (PEUU) functionalization for enhanced anti-thrombotic performance: advancing regenerative cardiovascular devices through innovative surface modifications.,"Introduction: Thrombogenesis, a major cause of implantable cardiovascular device failure, can be addressed through the use of biodegradable polymers modified with anticoagulating moieties. This study introduces a novel polyester urethane urea (PEUU) functionalized with various anti-platelet deposition molecules for enhanced antiplatelet performance in regenerative cardiovascular devices. Methods: PEUU, synthesized from poly-caprolactone, 1,4-diisocyanatobutane, and putrescine, was chemically oxidized to introduce carboxyl groups, creating PEUU-COOH. This polymer was functionalized in situ with polyethyleneimine, 4-arm polyethylene glycol, seleno-L-cystine, heparin sodium, and fondaparinux. Functionalization was confirmed using Fourier-transformed infrared spectroscopy and X-ray photoelectron spectroscopy. Bio-compatibility and hemocompatibility were validated through metabolic activity and hemolysis assays. The anti-thrombotic activity was assessed using platelet aggregation, lactate dehydrogenase activation assays, and scanning electron microscopy surface imaging. The whole-blood clotting time quantification assay was employed to evaluate anticoagulation properties. Results: Results demonstrated high biocompatibility and hemocompatibility, with the most potent anti-thrombotic activity observed on pegylated surfaces. However, seleno-L-cystine and fondaparinux exhibited no anti-platelet activity. Discussion: The findings highlight the importance of balancing various factors and addressing challenges associated with different approaches when developing innovative surface modifications for cardiovascular devices."
2024 Feb,Journal of biomedical materials research. Part A,J Biomed Mater Res A. 2024 Feb;112(2):276-287. doi: 10.1002/jbm.a.37622. Epub ,"['Machaidze, Zurab', ""D'Amore, Antonio"", 'Freitas, Renata C C', 'Joyce, Angelina J', 'Bayoumi, Ahmed', 'Rich, Kimberly', 'Brown, David W', 'Aikawa, Elena', 'Wagner, William R', 'Rego, Bruno V', 'Mayer, John E Jr']","['animals', 'sheep', 'endothelial cells', ' pulmonary valve', 'tissue scaffolds chemistry', 'biocompatible materials', ' heart valve prosthesis', 'polymers', 'polyesters', 'tissue engineering methods', 'pecuu', 'biodegradable scaffold', 'heart valve', 'inflammation', 'tissue engineering']",Tissue formation and host remodeling of an elastomeric biodegradable scaffold in an ovine pulmonary leaflet replacement model.,"In pursuit of a suitable scaffold material for cardiac valve tissue engineering applications, an acellular, electrospun, biodegradable polyester carbonate urethane urea (PECUU) scaffold was evaluated as a pulmonary valve leaflet replacement in vivo. In sheep (n = 8), a single pulmonary valve leaflet was replaced with a PECUU leaflet and followed for 1, 6, and 12 weeks. Implanted leaflet function was assessed in vivo by echocardiography. Explanted samples were studied for gross pathology, microscopic changes in the extracellular matrix, host cellular re-population, and immune responses, and for biomechanical properties. PECUU leaflets showed normal leaflet motion at implant, but decreased leaflet motion and dimensions at 6 weeks. The leaflets accumulated α-SMA and CD45 positive cells, with surfaces covered with endothelial cells (CD31+). New collagen formation occurred (Picrosirius Red). Accumulated tissue thickness correlated with the decrease in leaflet motion. The PECUU scaffolds had histologic evidence of scaffold degradation and an accumulation of pro-inflammatory/M1 and anti-inflammatory/M2 macrophages over time in vivo. The extent of inflammatory cell accumulation correlated with tissue formation and polymer degradation but was also associated with leaflet thickening and decreased leaflet motion. Future studies should explore pre-implant seeding of polymer scaffolds, more advanced polymer fabrication methods able to more closely approximate native tissue structure and function, and other techniques to control and balance the degradation of biomaterials and new tissue formation by modulation of the host immune response."
2023 Oct,Journal of the mechanical behavior of biomedical materials,J Mech Behav Biomed Mater. 2023 Oct;146:106043. doi: 10.1016/j.jmbbm.2023.106043. ,"['Pedersen, Drake D', 'Kim, Seungil', ""D'Amore, Antonio"", 'Wagner, William R']","[' tissue engineering methods', 'aortic valve', 'tissue scaffolds', 'polymers', 'catheters', ' heart valve prosthesis', 'heart valve design', 'pulmonary valve', 'strain map', 'tissue engineered heart valve']",Cardiac valve scaffold design: Implications of material properties and geometric configuration on performance and mechanics.,"Development of tissue engineered scaffolds for cardiac valve replacement is nearing clinical translation. While much work has been done to characterize mechanical behavior of native and bioprosthetic valves, and incorporate those data into models improving valve design, similar work for degradable valve scaffolds is lacking. This is particularly important given the implications mechanics have on short-term survival and long-term remodeling. As such, this study aimed to characterize spatially-resolved strain profiles on the leaflets of degradable polymeric valve scaffolds, manipulating common design features such as material stiffness by blending poly(carbonate urethane)urea with stiffer polymers, and geometric configuration, modeled after either a clinically-used valve design (Mk1 design) or an anatomically ""optimized"" design (Mk2 design). It was shown that material stiffness plays a significant role in overall valve performance, with the stiffest valve groups showing asymmetric and incomplete opening during systole. However, the geometric configuration had a significantly greater effect on valve performance as well as strain magnitude and distribution. Major findings in the strain maps included systolic strains having overall higher strain magnitudes than diastole, and peak radial-direction strain concentrations in the base region of Mk1 valves during systole, with a significant mitigation of radial strain in Mk2 valves. The high tunability of tissue engineered scaffolds is a great advantage for valve design, and the results reported here indicate that design parameters have significant and unequal impact on valve performance and mechanics."
2023 Nov,Advanced healthcare materials,Adv Healthc Mater. 2023 Nov;12(29):e2301335. doi: 10.1002/adhm.202301335. Epub ,"['Sato, Hideyoshi', 'Kohyama, Keishi', 'Uchibori, Takafumi', 'Takanari, Keisuke', 'Huard, Johnny', 'Badylak, Stephen F', ""D'Amore, Antonio"", 'Wagner, William R']","['rats', 'animals', ' surgical flaps blood supply innervation', ' muscles', 'extracellular matrix', 'biohybrid flaps', 'facial paralysis', 'muscle regeneration', 'stem cells', 'tissue engineering']","Creating and Transferring an Innervated, Vascularized Muscle Flap Made from an Elastic, Cellularized Tissue Construct Developed In Situ.","Reanimating facial structures following paralysis and muscle loss is a surgical objective that would benefit from improved options for harvesting appropriately sized muscle flaps. The objective of this study is to apply electrohydrodynamic processing to generate a cellularized, elastic, biocomposite scaffold that could develop and mature as muscle in a prepared donor site in vivo, and then be transferred as a thin muscle flap with a vascular and neural pedicle. First, an effective extracellular matrix (ECM) gel type is selected for the biocomposite scaffold from three types of ECM combined with poly(ester urethane)urea microfibers and evaluated in rat abdominal wall defects. Next, two types of precursor cells (muscle-derived and adipose-derived) are compared in constructs placed in rat hind limb defects for muscle regeneration capacity. Finally, with a construct made from dermal ECM and muscle-derived stem cells, protoflaps are implanted in one hindlimb for development and then microsurgically transferred as a free flap to the contralateral limb where stimulated muscle function is confirmed. This construct generation and in vivo incubation procedure may allow the generation of small-scale muscle flaps appropriate for transfer to the face, offering a new strategy for facial reanimation."
