time,journal,doi_info,authors,key words,title,abstract
2020 Jan,Journal of orthopaedic translation,J Orthop Translat. 2019 Oct 14;20:25-30. doi: 10.1016/j.jot.2019.09.003. ,"['Mau, Jonquil R', 'Hawkins, Kevin M', 'Woo, Savio L-Y', 'Kim, Kwang E', 'McCullough, Matthew B A']","['finite element analysis', 'interference screw', 'screw design', 'screw insertion']",Design of a new magnesium-based anterior cruciate ligament interference screw using finite element analysis.,"BACKGROUND/OBJECTIVE: In anterior cruciate ligament ​reconstruction, a tendon graft, anchored by interference screws (IFSs), is frequently used as a replacement for the damaged ligament. Generally, IFSs are classified as being either metallic or polymeric. Metallic screws have sharp threads that lacerate the graft, preventing solid fixation. These constructs are difficult to image ​and can limit bone--screw integration because of the higher stiffness of the screw. Polymeric materials are often a better match to bone's material properties, but lack the strength needed to hold grafts in place. Magnesium (Mg) is a material of great promise for orthopaedic applications. Mg has mechanical properties similar to bone, ability to be seen on magnetic resonance imagings, and promotes bone healing. However, questions still remain regarding the strength of Mg-based screws. Previous ex vivo ​animal experiments found stripping of the screw drive when the full torque was applied to Mg screws during surgery, preventing full insertion and poor graft fixation. The similar design of the Mg screw led to questions regarding the relationship between material properties and design, and the ultimate impact on mechanical behaviour. Thus, the objective of this study was to analyze the stresses in the screw head, a key factor in the stripping mechanism of IFS, then use that information to improve screw design, for this material. METHODS: Using finite element analysis, a comparison study of six drive designs (hexagonal, quadrangle, torx, trigonal, trilobe, and turbine) was performed. This was followed by a parametric analysis to determine appropriate drive depth and drive width. RESULTS: It was observed that with a typical torque (2 ​Nm) used for screw insertion during anterior cruciate ligament reconstruction, the maximum von Mises and shear stress values were concentrated in the corners or turns of the drive, which could lead to stripping if the values were greater than the yield stress of Mg (193 ​MPa). With a four-time ​increase in drive depth to be fully driven and a 30% greater drive width, these maximum stress values were significantly decreased by more than 75%. CONCLUSION: It was concluded that improving the design of a Mg-based screw may increase surgical success rates, by decreasing device failure at insertion. THE TRANSLATIONAL POTENTIAL OF THIS ARTICLE: The results of this work have the potential to improve designs of degradable IFSs, allowing for greater torque to be applied and thus greater screw fixation between host bone and the graft. Such a fixation will allow greater integration, better patient healing, and ultimately improved patient outcomes."
2019 Sep 1,Journal of biomechanical engineering,J Biomech Eng. 2019 Sep 1;141(9). doi: 10.1115/1.4044066.,"['Woo, Savio L-Y']","['biomechanical phenomena', 'history, 20th century', ' mechanical phenomena']",A Tribute to Our Centenarian Yuan-Cheng Fung: Father of Modern Biomechanics.,
2019 Aug,"Clinical biomechanics (Bristol, Avon)","Clin Biomech (Bristol, Avon). 2019 Aug;68:122-127. doi: ","['Wang, Huizhi', 'Kang, Huijun', 'Yao, Jie', 'Cheng, Cheng-Kung', 'Woo, Savio L-Y']","['anterior cruciate ligament surgery', 'anterior cruciate ligament injuries  surgery', 'anterior cruciate ligament reconstruction  instrumentation', 'biomechanical phenomena', 'cadaver', 'computer simulation', 'femur surgery', ' finite element analysis', 'humans', 'knee joint  surgery', 'magnesium  chemistry', 'range of motion, articular', 'plastic surgery procedures  instrumentation', 'rupture surgery', 'stress, mechanical', 'tibia surgery', 'acl repair', 'anterior cruciate ligament (acl)', 'biomechanics', 'finite element analysis', 'magnesium ring', 'mechanical augmentation']",Evaluation of a magnesium ring device for mechanical augmentation of a ruptured ACL: Finite element analysis.,"BACKGROUND: Recently, a ring device was used for mechanical augmentation to aid the healing of ACL. In-vivo study using goat showed improved joint stability after ring repair in comparison to using biological augmentation alone. Objective of this study was to quantify the load and stress levels in the ACL and its femoral insertion site following ring repair. METHODS: A three dimensional finite element model of a goat stifle joint was developed to find the load and stress level in the ACL and at its femoral insertion site following ring repair. FINDINGS: Ring repair led to approximately a 50% reduction in anterior-posterior tibial translation over the model with a deficient ACL: 5.2 mm vs 10.6 mm, 4.4 mm vs 9.0 mm, and 2.9 mm vs 5.2 mm at joint flexion angles of 37°, 60° and 90° respectively. After ring repair, the in situ force in the ACL was restored to be nearly 60% of the intact ACL. The maximum Von Mises stress at the femoral insertion site was up to 71% of those for the intact ACL. INTERPRETATION: This study offers new knowledge on the function of a ring device to mechanically augment ACL repair in order to improve its healing. Quantitative data on loading levels in the repaired ACL and its insertion site that led to its healing could be used as basis for developing novel devices to mechanically augment the healing of ACL in humans."
2016 Nov,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2016 Nov;34(11):2001-2008. doi: 10.1002/jor.23210. Epub 2016 Apr 7.,"['Farraro, Kathryn F', 'Sasaki, Norihiro', 'Woo, Savio L-Y', 'Kim, Kwang E', 'Tei, Matteo M', 'Speziali, Andrea', 'McMahon, Patrick J']","[' absorbable implants', 'animals', 'anterior cruciate ligament injuries  surgery', 'anterior cruciate ligament reconstruction  instrumentation methods', 'goats', ' magnesium', 'suture techniques', 'acl repair', 'anterior cruciate ligament (acl)', 'magnesium ring device', 'robotic testing system']",Magnesium ring device to restore function of a transected anterior cruciate ligament in the goat stifle joint.,"A bioresorbable, mono-crystalline magnesium (Mg) ring device and suture implantation technique were designed to connect the ends of a transected anterior cruciate ligament (ACL) to restabilize the knee and load the ACL to prevent disuse atrophy of its insertion sites and facilitate its healing. To test its application, cadaveric goat stifle joints were evaluated using a robotic/universal force-moment sensor testing system in three states: Intact, ACL-deficient, and after Mg ring repair, at 30°, 60°, and 90° of joint flexion. Under a 67-N anterior tibial load simulating that used in clinical examinations, the corresponding anterior tibial translation (ATT) and in-situ forces in the ACL and medial meniscus for 0 and 100 N of axial compression were obtained and compared with a control group treated with suture repair. In all cases, Mg ring repair reduced the ATT by over 50% compared to the ACL-deficient joint, and in-situ forces in the ACL and medial meniscus were restored to near normal levels, showing significant improvement over suture repair. These findings suggest that Mg ring repair could successfully stabilize the joint and load the ACL immediately after surgery, laying the framework for future in vivo studies to assess its utility for ACL healing. © 2016 Orthopaedic Research Society. Published by Wiley Periodicals, Inc. J Orthop Res 34:2001-2008, 2016."
2015 Dec,Journal of experimental orthopaedics,J Exp Orthop. 2015 Dec;2(1):4. doi: 10.1186/s40634-015-0021-5. Epub 2015 Feb 28.,"['Nguyen, D Tan', 'Dellbrügge, Sietske', 'Tak, Paul P', 'Woo, Savio L-Y', 'Blankevoort, Leendert', 'van Dijk, Niek C']","['anterior cruciate ligament', 'bio-enhanced acl repair', 'healing', 'primary repair', 'small intestine submucosa']",Histological characteristics of ligament healing after bio-enhanced repair of the transected goat ACL.,"BACKGROUND: Recently, healing of a ruptured anterior cruciate ligament (ACL) is reconsidered. In a previous study, we have shown that the transected ACL can heal after treatment with the triple X locking suture alone or combined with small intestine submucosa (SIS). The first research question of this study was whether the healing ACLs in both groups show histological characteristics that are typical for ligament healing. Secondly, did the combined treatment with SIS lead to improved histological healing, in terms of the morphology of the fibrous synovial layer, the extracellular matrix (ECM), collagen fiber orientation, cellularity, ratio of myofibroblasts, and collagen type 3 staining. The hypothesis was that SIS enhances the healing by the scaffolding effect, endogenous growth factors, and chemoattractants. METHODS: In the Suture group, the left ACL was transected and sutured with the triple X locking suture repair technique. In the Suture-SIS group, the left ACL underwent the same procedure with the addition of SIS. The right ACL served as internal control. Standard histology and immunostaining of α-smooth muscle actin (SMA) and collagen type 3 were used. RESULTS: Microscopy showed that the fibrous synovial layer around the ACL was reestablished in both groups. The collagen fibers in the Suture-SIS group stained denser, were more compactly arranged, and the ECM contained fewer voids and fat vacuoles. Neovasculature running between the collagen fibers was observed in both experimental groups. Collagen type 3 stained less in the Suture-SIS group. The cellularity in the Suture group, Suture-SIS group and Control was 1265 ± 1034 per mm(2), 954 ± 378 per mm(2), 254 ± 92, respectively; 49%, 26% and 20% of the cells stain positive for α-SMA, respectively. CONCLUSION: The healing ACL in both treated groups showed histological characteristics which are comparable to the spontaneously healing medial collateral ligament and showed that the ACL has a similar intrinsic healing response. Though, no definitive conclusions on the beneficial effects of the SIS scaffold on the healing process can be made."
2015 Dec,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2015 Dec;33(12):1739-40. doi: 10.1002/jor.23076.,"['Woo, Savio L-Y']","['california', 'canada', 'history, 20th century', 'history, 21st century', 'humans', 'orthopedics  history', 'translational research, biomedical history']","In memoriam: Cyril B. Frank, MD (1949-2015).",
2015 Jul,Journal of orthopaedic translation,J Orthop Translat. 2015 Jun 25;3(3):114-122. doi: 10.1016/j.jot.2015.05.001. ,"['Liang, Rui', 'Yang, Guoguang', 'Kim, Kwang E', ""D'Amore, Antonio"", 'Pickering, Aimee N', 'Zhang, Cuiling', 'Woo, Savio L-Y']","['acl fibroblasts', 'fibre morphology', 'growth factors', 'hydrogel', 'porcine small intestine submucosa']",Positive effects of an extracellular matrix hydrogel on rat anterior cruciate ligament fibroblast proliferation and collagen mRNA expression.,"BACKGROUND/OBJECTIVE: We have previously shown that an extracellular matrix (ECM) bioscaffold derived from porcine small intestine submucosa (SIS) enhanced the healing of a gap injury of the medial collateral ligament as well as the central third defect of the patellar tendon. With the addition of a hydrogel form of SIS, we found that a transected goat anterior cruciate ligament (ACL) could also be healed. The result begs the research question of whether SIS hydrogel has positive effects on ACL fibroblasts (ACLFs) and thus facilitates ACL healing. METHODS: In the study, ECM-SIS hydrogel was fabricated from the digestion of decellularised and sterilised sheets of SIS derived from αGal-deficient (GalSafe) pigs. As a comparison, a pure collagen hydrogel was also fabricated from commercial collagen type I solution. The morphometrics of hydrogels was assessed with scanning electron microscopy. The ECM-SIS and collagen hydrogels had similar fibre diameters (0.105 ± 0.010 μm vs. 0.114 ± 0.004 μm), fibre orientation (0.51 ± 0.02 vs. 0.52 ± 0.02), and pore size (0.092 ± 0.012 μm vs. 0.087 ± 0.008 μm). The preservation of bioactive properties of SIS hydrogel was assessed by detecting bioactive molecules sensitive to processing and enzyme digestion, such as growth factors fibroblast growth factor-2 (FGF-2) and transforming growth factor-beta 1 (TGF-β1), with enzyme-linked immunosorbent assay. ACLFs were isolated and expanded in culture from explants of rat ACLs (n = 3). The cells were then seeded on the hydrogels and cultured with 0%, 1%, and 10% foetal bovine serum (FBS) for 3 days and 7 days. Cell attachment was observed using a light microscope and scanning electron microscopy, whereas cell proliferation and matrix production (collagen types I and III) were examined with bromodeoxyuridine assays and reverse transcription-polymerase chain reaction, respectively. RESULTS: The results showed that FGF-2 and TGF-β1 in the SIS hydrogel were preserved by 50% (65.9 ± 26.1 ng/g dry SIS) and 90% (4.4 ± 0.6 ng/g dry SIS) relative to their contents in ECM-SIS sheets, respectively. At Day 3 of culture, ACLFs on the SIS hydrogel were found to proliferate 39%, 31%, and 22% more than those on the pure collagen hydrogel at 0%, 1%, and 10% FBS, respectively (p < 0.05). Collagen type I mRNA expression was increased by 150%, 207%, and 100%, respectively, compared to collagen hydrogel (p < 0.05), whereas collagen type III mRNA expression was increased by 123% and 132% at 0% and 1% FBS, respectively (all p < 0.05) but not at 10% FBS. By Day 7, collagen type I mRNA expression was still elevated by 137% and 100% compared to collagen hydrogel at 1% and 10% FBS, respectively (p < 0.05). Yet, collagen type III mRNA levels were not significantly different between the two groups at any FBS concentrations. CONCLUSION: Our data showed that the ECM-SIS hydrogel not only supported the growth of ACLFs, but also promoted their proliferation and matrix production relative to a pure collagen hydrogel. As such, ECM-SIS hydrogel has potential therapeutic value to facilitate ACL healing at the early stage after injury."
2014 Mar,The American journal of sports medicine,Am J Sports Med. 2014 Mar;42(3):723-30. doi: 10.1177/0363546513516603. Epub 2014 ,"['Sasaki, Norihiro', 'Farraro, Kathryn F', 'Kim, Kwang E', 'Woo, Savio L-Y']","['aged', 'anterior cruciate ligament reconstruction  methods', 'autografts', 'cadaver', 'humans', 'joint instability physiopathology surgery', 'knee joint  physiopathology  surgery', 'middle aged', 'quadriceps muscle', 'range of motion, articular physiology', 'robotics', 'tendons  transplantation', 'torque', 'weight-bearing physiology', 'acl reconstruction', 'quadriceps tendon autograft', 'robotic ufs testing system']",Biomechanical evaluation of the quadriceps tendon autograft for anterior cruciate ligament reconstruction: a cadaveric study.,"BACKGROUND: Recently, many surgeons have chosen the quadriceps tendon (QT) as an autograft for anterior cruciate ligament (ACL) reconstruction. However, there have not been biomechanical studies that quantitatively evaluated knee function after reconstruction using a QT autograft. PURPOSE: To measure the 6 degrees of freedom knee kinematics and in situ graft forces after reconstruction with a QT autograft compared with a quadrupled semitendinosus and gracilis (QSTG) tendon autograft. STUDY DESIGN: Controlled laboratory study. METHODS: Ten human cadaveric knees (age, 54-64 years) were tested in 3 conditions: (1) intact, (2) ACL deficient, and (3) after ACL reconstruction using a QT or QSTG autograft. With use of a robotic/universal force-moment sensor testing system, knee kinematics and in situ forces in the ACL and autografts were obtained at 5 knee flexion angles under externally applied loads: (1) 134-N anterior tibial load, (2) 134-N anterior tibial load with 200-N axial compression, and (3) 10-N·m valgus and 5-N·m internal tibial torque. RESULTS: Under the anterior tibial load, both autografts restored anterior tibial translation to within 2.5 mm of the intact knee and in situ forces to within 20 N of the intact ACL at 15°, 30°, and 60°. Adding compression did not change these findings. With the combined rotatory load, the anterior tibial translation and graft in situ forces were again not significantly different from the intact ACL. There were no significant differences between the grafts under any experimental condition. CONCLUSION: Reconstruction of the ACL with a QT autograft restored knee function to similar levels as that reconstructed with a QSTG autograft under loads simulating clinical examinations. CLINICAL RELEVANCE: The positive biomechanical results of this cadaveric study lend support to the use of a QT autograft for ACL reconstruction, as it could restore knee function immediately after surgery under applied loads that mimic clinical examinations."
2014 Jun 27,Journal of biomechanics,J Biomech. 2014 Jun 27;47(9):1979-86. doi: 10.1016/j.jbiomech.2013.12.003. Epub ,"['Farraro, Kathryn F', 'Kim, Kwang E', 'Woo, Savio L-Y', 'Flowers, Jonquil R', 'McCullough, Matthew B']","['animals', 'anterior cruciate ligament physiology  surgery', ' biocompatible materials', 'biomechanical phenomena', 'bone screws', 'humans', 'knee joint physiology', ' magnesium', 'tibia physiology', 'tissue engineering', 'biomaterials', 'functional tissue engineering', 'magnesium', 'mg alloys', 'orthopaedic devices']",Revolutionizing orthopaedic biomaterials: The potential of biodegradable and bioresorbable magnesium-based materials for functional tissue engineering.,"In recent years, there has been a surge of interest in magnesium (Mg) and its alloys as biomaterials for orthopaedic applications, as they possess desirable mechanical properties, good biocompatibility, and biodegradability. Also shown to be osteoinductive, Mg-based materials could be particularly advantageous in functional tissue engineering to improve healing and serve as scaffolds for delivery of drugs, cells, and cytokines. In this paper, we will present two examples of Mg-based orthopaedic devices: an interference screw to accelerate ACL graft healing and a ring to aid in the healing of an injured ACL. In vitro tests using a robotic/UFS testing system showed that both devices could restore function of the goat stifle joint. Under a 67-N anterior tibial load, both the ACL graft fixed with the Mg-based interference screw and the Mg-based ring-repaired ACL could restore anterior tibial translation (ATT) to within 2mm and 5mm, respectively, of the intact joint at 30°, 60°, and 90° of flexion. In-situ forces in the replacement graft and Mg-based ring-repaired ACL were also similar to those of the intact ACL. Further, early in vivo data using the Mg-based interference screw showed that after 12 weeks, it was non-toxic and the joint stability and graft function reached similar levels as published data. Following these positive results, we will move forward in incorporating bioactive molecules and ECM bioscaffolds to these Mg-based biomaterials to test their potential for functional tissue engineering of musculoskeletal and other tissues."
2014 Jan 22,Journal of biomechanics,J Biomech. 2014 Jan 22;47(2):592-5. doi: 10.1016/j.jbiomech.2013.11.026. Epub ,"['Kim, Kwang E', 'Hsu, Shan-Ling', 'Woo, Savio L-Y']","['animals', 'biomechanical phenomena', 'femur anatomy & histology physiology', 'knee joint  physiology surgery', 'ligaments, articular  physiology', 'patella physiology surgery', 'random allocation', 'plastic surgery procedures', 'swine', 'transplantation, autologous', 'biomechanics', 'medial patellofemoral ligament (mpfl)', 'reconstruction', 'specimen orientation', 'structural properties']",Tensile properties of the medial patellofemoral ligament: the effect of specimen orientation.,"For recurrent patellar dislocation, reconstruction of the medial patellofemoral ligament (MPFL) with replacement autografts has often been performed but with only little data on the tensile properties of the MPFL to guide graft selection. With its complex anatomy and geometry, these properties are difficult to obtain. In this study, we showed how the orientation of the femur-MPFL-patella complex (FMPC) during uniaxial tensile testing can have a significant effect on its structural properties. Twenty two FMPCs were isolated from porcine stifle joints and randomly assigned to two groups of 11 each. For the first group, the specimens were loaded to failure with the patella oriented 30 degrees away from the direction of the applied load to mimic its orientation in situ, called natural orientation. In the second group, the patella was aligned in the direction of the tensile load, called non-natural orientation. The stiffness for the natural orientation group was 65±13 N/mm, 32% higher than that for the non-natural orientation group (50±17 N/mm; p<0.05). The ultimate loads were 438±128 N and 386±136 N, respectively (p>0.05). Ten out of 11 specimens in the natural orientation group failed at the femoral attachment (the narrowest portion of the MPFL) compared to 6 out of 11 in the non-natural orientation group. Our findings suggest that the specimen orientation that mimics the in-situ loading conditions of the MPFL should be used to obtain more representative data for the structural properties of the FMPC."
