time,journal,doi_info,authors,key words,title,abstract
2021,Current pathobiology reports,Curr Pathobiol Rep. 2021;9(4):93-105. doi: 10.1007/s40139-021-00226-0. Epub 2021 ,"['Julian, Dana R', 'Kazakoff, Megan A', 'Patel, Akhil', 'Jaynes, Jesse', 'Willis, Monte S', 'Yates, Cecelia C']","['covid-19', 'cxcl10', 'chemokines', 'fibrosis']",Chemokine-Based Therapeutics for the Treatment of Inflammatory and Fibrotic Convergent Pathways in COVID-19.,"Coronavirus disease 2019 (COVID-19) is an infectious disease caused by the SARS-CoV-2 betacoronavirus and has taken over 761,426 American lives as of the date of publication and will likely result in long-term, if not permanent, tissue damage for countless patients. COVID-19 presents with diverse and multisystemic pathologic processes, including a hyperinflammatory response, acute respiratory distress syndrome (ARDS), vascular injury, microangiopathy, tissue fibrosis, angiogenesis, and widespread thrombosis across multiple organs, including the lungs, heart, kidney, liver, and brain. C-X-C chemokines contribute to these pathologies by attracting inflammatory mediators, the disruption of endothelial cell integrity and function, and the initiation and propagation of the cytokine storm. Among these, CXCL10 is recognized as a critical contributor to the hyperinflammatory state and poor prognosis in COVID-19. CXCL10 is also known to regulate growth factor-induced fibrosis, and recent evidence suggests the CXCL10-CXCR3 signaling system may be vital in targeting convergent pro-inflammatory and pro-fibrotic pathways. This review will explore the mechanistic role of CXCL10 and related chemokines in fibrotic complications associated with COVID-19 and the potential of CXCL10-targeted therapeutics for early intervention and long-term treatment of COVID-19-induced fibrosis."
2021 Jan,Clinical & experimental ophthalmology,Clin Exp Ophthalmol. 2021 Jan;49(1):60-69. doi: 10.1111/ceo.13884. Epub 2021 Jan ,"['Swogger, John', 'Conner, Ian P', 'Happ-Smith, Carrie', 'Kemmerer, Megan C', 'Julian, Dana R', 'Davis, Rachel', 'Wells, Alan', 'Schuman, Joel S', 'Yates, Cecelia C']","['animals', 'conjunctiva pathology', 'disease models, animal', 'fibrosis', ' filtering surgery', ' glaucoma pathology surgery', 'intraocular pressure', 'mitomycin', 'rabbits', ' trabeculectomy', 'wound healing', 'cxcl10 ip-10', 'chemokine', 'corneal wound healing', 'fibrosis', 'glaucoma']",Novel combination therapy reduces subconjunctival fibrosis after glaucoma filtration surgery in the rabbit model.,"BACKGROUND: Glaucoma filtration surgery (GFS) is limited by subconjunctival, episcleral and scleral fibrosis sealing the trabeculectomy and scarring the filtering bleb. Mitomycin-C (MMC) is commonly applied intraoperatively to the subconjunctival and/or intrascleral space to reduce scarring and promotes GFS success but is associated with postoperative scleral melting and bleb leaks. IP-10 peptide (IP-10p), an ELR-negative CXC chemokine mimetic and inhibitor of fibroblast function, may be an alternative or adjunct to current postoperative GFS treatments. This study sought to determine if IP-10p produces histological changes in tissue remodelling, vascularity and fibrosis that enhance bleb survival after GFS. METHODS: Rabbits underwent tube-assisted filtration surgery on the right eye with either: (a) IP-10p injected into bleb at time of surgery and postoperative days 2, 4 and 7, (b) intraoperative MMC or (c) intraoperative MMC plus IP-10p injected into bleb at time of surgery and postoperative days 2, 4 and 7. Left contralateral eyes were treated with balanced salt solution (BSS). RESULTS: IP-10p-treated blebs demonstrated reduced collagen deposition, cellularity and overall reduction of scar formation compared to BSS-control. Bleb vascularity was reduced compared to BSS-control and MMC treatment groups. Additionally, IP-10p/MMC treated eyes demonstrated an increased number of conjunctival goblet cells in bleb histology compared to the dramatic loss seen with MMC treatment alone. CONCLUSIONS: This study demonstrates that IP-10p significantly reduces histological scarring compared to BSS or MMC alone, does not damage the conjunctiva to the extent of current standards, and may be an alternative or adjunct to MMC for those undergoing GFS."
2020 Oct,Translational vision science & technology,Transl Vis Sci Technol. 2020 Oct 20;9(11):23. doi: 10.1167/tvst.9.11.23. ,"['Swogger, John', 'Conner, Ian P', 'Rosano, Maranda', 'Kemmerer, Megan', 'Happ-Smith, Carrie', 'Wells, Alan', 'Schuman, Joel S', 'Yates, Cecelia C']","['animals', 'humans', 'intraocular pressure', 'mitomycin', 'rabbits', 'sclera', 'tonometry, ocular', ' trabeculectomy', 'new zealand white rabbit model', 'glaucoma', 'mitomycin c', 'scar formation', 'trabeculectomy']",Injected Versus Sponge-Applied Mitomycin C (MMC) During Modified Trabeculectomy in New Zealand White Rabbit Model.,"PURPOSE: Mitomycin C is routinely applied during trabeculectomy surgeries to enhance bleb survival after glaucoma filtration surgery. The current approach involves placing cellulose sponges soaked in mitomycin C at a standard concentration onto bare sclera for a predetermined duration, which varies among surgeons. The purpose of this study was to compare the effects of sponge-applied versus intra-Tenon injection of mitomycin C during modified trabeculectomy. METHODS: Two groups of five New Zealand White rabbits underwent glaucoma filtration surgery with either preoperative intra-Tenon injection of mitomycin C or intraoperative application of mitomycin C using a cellulose sponge. Postoperative intraocular pressure was recorded weekly, and eyes were enucleated and sent for pathological examination and histological analysis. RESULTS: An intra-Tenon injection of mitomycin C resulted in decreased intraocular pressure measurements and bleb vascularity compared to the controls but increased levels compared to the sponge-applied group. Collagen deposition and cellularity were reduced and the goblet cell population was increased in the intra-Tenon injection group. CONCLUSIONS: This study shows that an intra-Tenon injection can be an effective method for administering mitomycin C compared to the standard-of-care approach of mitomycin C being sponge applied onto bare sclera. Mitomycin C injection led to a greater reduction in intraocular pressure and inhibition of fibroblasts. The associated goblet cell population that can lead to increased mitomycin C toxicity-related morbidity was minimized with the intra-Tenon injection compared to the sponge-applied MMC treatment. Therefore, patients with ocular surface disease may benefit from an intra-Tenon injection. TRANSLATIONAL RELEVANCE: This project provides a direct, qualitative assessment in an animal model of common techniques within glaucoma filtration surgery for drug delivery to improve surgical success."
2020,PloS one,PLoS One. 2020 Oct 23;15(10):e0240986. doi: 10.1371/journal.pone.0240986. ,"['Cheikhi, Amin M', 'Johnson, Zariel I', 'Julian, Dana R', 'Wheeler, Sarah', 'Feghali-Bostwick, Carol', 'Conley, Yvette P', 'Lyons-Weiler, James', 'Yates, Cecelia C']","['age factors', 'algorithms', 'bayes theorem', 'case-control studies', 'extracellular matrix  genetics', ' fibrosis genetics', ' gene expression profiling', 'humans', 'inflammation  genetics metabolism', 'intercellular signaling peptides and proteins genetics metabolism', 'models, biological', 'scleroderma, systemic  genetics', 'skin pathology']",Prediction of severity and subtype of fibrosing disease using model informed by inflammation and extracellular matrix gene index.,"Fibrosis is a chronic disease with heterogeneous clinical presentation, rate of progression, and occurrence of comorbidities. Systemic sclerosis (scleroderma, SSc) is a rare rheumatic autoimmune disease that encompasses several aspects of fibrosis, including highly variable fibrotic manifestation and rate of progression. The development of effective treatments is limited by these variabilities. The fibrotic response is characterized by both chronic inflammation and extracellular remodeling. Therefore, there is a need for improved understanding of which inflammation-related genes contribute to the ongoing turnover of extracellular matrix that accompanies disease. We have developed a multi-tiered method using Naïve Bayes modeling that is capable of predicting level of disease and clinical assessment of patients based on expression of a curated 60-gene panel that profiles inflammation and extracellular matrix production in the fibrotic disease state. Our novel modeling design, incorporating global and parametric-based methods, was highly accurate in distinguishing between severity groups, highlighting the importance of these genes in disease. We refined this gene set to a 12-gene index that can accurately identify SSc patient disease state subsets and informs knowledge of the central regulatory pathways in disease progression."
2019 Oct 1,Scientific reports,Sci Rep. 2019 Oct 1;9(1):14050. doi: 10.1038/s41598-019-50320-y.,"['Haloul, Mohamed', 'Oliveira, Edson R A', 'Kader, Muhamuda', 'Wells, Jakob Z', 'Tominello, Tyler R', 'El Andaloussi, Abdeljabar', 'Yates, Cecelia C', 'Ismail, Nahed']","['animals', 'ehrlichia', 'ehrlichiosis  immunology pathology', 'female', 'liver  immunology pathology', 'macrophages immunology  pathology', 'mechanistic target of rapamycin complex 1 metabolism  physiology', 'mice', 'mice, inbred c57bl']",mTORC1-mediated polarization of M1 macrophages and their accumulation in the liver correlate with immunopathology in fatal ehrlichiosis.,"A polarized macrophage response into inflammatory (M1) or regenerative/anti-inflammatory (M2) phenotypes is critical in host response to multiple intracellular bacterial infections. Ehrlichia is an obligate Gram-negative intracellular bacterium that causes human monocytic ehrlichiosis (HME): a febrile illness that may progress to fatal sepsis with multi-organ failure. We have shown that liver injury and Ehrlichia-induced sepsis occur due to dysregulated inflammation. Here, we investigated the contribution of macrophages to Ehrlichia-induced sepsis using murine models of mild and fatal ehrlichiosis. Lethally-infected mice showed accumulation of M1 macrophages (iNOS-positive) in the liver. In contrast, non-lethally infected mice showed polarization of M2 macrophages and their accumulation in peritoneum, but not in the liver. Predominance of M1 macrophages in lethally-infected mice was associated with expansion of IL-17-producing T, NK, and NKT cells. Consistent with the in vivo data, infection of bone marrow-derived macrophages (BMM) with lethal Ehrlichia polarized M0 macrophages into M1 phenotype under an mTORC1-dependent manner, while infection with non-lethal Ehrlichia polarized these cells into M2 types. This work highlights that mTORC1-mediated polarization of macrophages towards M1 phenotype may contribute to induction of pathogenic immune responses during fatal ehrlichiosis. Targeting mTORC1 pathway may provide a novel aproach for treatment of HME."
2018,PloS one,PLoS One. 2018 Jun 20;13(6):e0199314. doi: 10.1371/journal.pone.0199314. ,"['Johnson, Zariel I', 'Jones, Jacqueline D', 'Mukherjee, Angana', 'Ren, Dianxu', 'Feghali-Bostwick, Carol', 'Conley, Yvette P', 'Yates, Cecelia C']","['algorithms', 'biopsy', 'female', ' gene expression profiling', 'humans', 'male', 'middle aged', ' models, genetic', 'oncostatin m genetics', 'principal component analysis', 'scleroderma, systemic  diagnosis  genetics pathology', ' severity of illness index', 'signal transduction genetics']",Novel classification for global gene signature model for predicting severity of systemic sclerosis.,"Progression of systemic scleroderma (SSc), a chronic connective tissue disease that causes a fibrotic phenotype, is highly heterogeneous amongst patients and difficult to accurately diagnose. To meet this clinical need, we developed a novel three-layer classification model, which analyses gene expression profiles from SSc skin biopsies to diagnose SSc severity. Two SSc skin biopsy microarray datasets were obtained from Gene Expression Omnibus. The skin scores obtained from the original papers were used to further categorize the data into subgroups of low (<18) and high (≥18) severity. Data was pre-processed for normalization, background correction, centering and scaling. A two-layered cross-validation scheme was employed to objectively evaluate the performance of classification models of unobserved data. Three classification models were used: support vector machine, random forest, and naive Bayes in combination with feature selection methods to improve performance accuracy. For both input datasets, random forest classifier combined with correlation-based feature selection (CFS) method and naive Bayes combined with CFS or support vector machine based recursive feature elimination method yielded the best results. Additionally, we performed a principal component analysis to show that low and high severity groups are readily separable by gene expression signatures. Ultimately, we found that our novel classification prediction model produced global gene signatures that significantly correlated with skin scores. This study represents the first report comparing the performance of various classification prediction models for gene signatures from SSc patients, using current clinical diagnostic factors. In summary, our three-classification model system is a powerful tool for elucidating gene signatures from SSc skin biopsies and can also be used to develop a prognostic gene signature for SSc and other fibrotic disorders."
2018,Frontiers in pharmacology,Front Pharmacol. 2018 May 17;9:507. doi: 10.3389/fphar.2018.00507. eCollection ,"['Mahoney, Christopher M', 'Imbarlina, Cayla', 'Yates, Cecelia C', 'Marra, Kacey G']","['adipogenic factors', 'adipose tissue restoration', 'adipose-derived stem cells', 'microspheres', 'soft tissue defects']",Current Therapeutic Strategies for Adipose Tissue Defects/Repair Using Engineered Biomaterials and Biomolecule Formulations.,"Tissue engineered scaffolds for adipose restoration/repair has significantly evolved in recent years. Patients requiring soft tissue reconstruction, caused by defects or pathology, require biomaterials that will restore void volume with new functional tissue. The gold standard of autologous fat grafting (AFG) is not a reliable option. This review focuses on the latest therapeutic strategies for the treatment of adipose tissue defects using biomolecule formulations and delivery, and specifically engineered biomaterials. Additionally, the clinical need for reliable off-the-shelf therapies, animal models, and challenges facing current technologies are discussed."
2018 Jul,The American journal of pathology,Am J Pathol. 2018 Jul;188(7):1676-1692. doi: 10.1016/j.ajpath.2018.04.007. Epub ,"['Mota, Roberto', 'Parry, Traci L', 'Yates, Cecelia C', 'Qiang, Zhaoyan', 'Eaton, Samuel C', 'Mwiza, Jean Marie', 'Tulasi, Deepthi', 'Schisler, Jonathan C', 'Patterson, Cam', 'Zaglia, Tania', 'Sandri, Marco', 'Willis, Monte S']","[' aging', 'animals', 'cardiomegaly etiology metabolism  prevention & control', ' cardiovascular physiological phenomena', 'cross-sectional studies', 'fibrosis etiology metabolism  prevention & control', 'mice', 'mice, transgenic', 'muscle proteins genetics  metabolism', 'skp cullin f-box protein ligases genetics  metabolism', 'signal transduction']",Increasing Cardiomyocyte Atrogin-1 Reduces Aging-Associated Fibrosis and Regulates Remodeling in Vivo.,"The muscle-specific ubiquitin ligase atrogin-1 (MAFbx) has been identified as a critical regulator of pathologic and physiological cardiac hypertrophy; it regulates these processes by ubiquitinating transcription factors [nuclear factor of activated T-cells and forkhead box O (FoxO) 1/3]. However, the role of atrogin-1 in regulating transcription factors in aging has not previously been described. Atrogin-1 cardiomyocyte-specific transgenic (Tg(+)) adult mice (α-major histocompatibility complex promoter driven) have normal cardiac function and size. Herein, we demonstrate that 18-month-old atrogin-1 Tg(+) hearts exhibit significantly increased anterior wall thickness without functional impairment versus wild-type mice. Histologic analysis at 18 months revealed atrogin-1 Tg(+) mice had significantly less fibrosis and significantly greater nuclei and cardiomyocyte cross-sectional analysis. Furthermore, by real-time quantitative PCR, atrogin-1 Tg(+) had increased Col 6a4, 6a5, 6a6, matrix metalloproteinase 8 (Mmp8), and Mmp9 mRNA, suggesting a role for atrogin-1 in regulating collagen deposits and MMP-8 and MMP-9. Because atrogin-1 Tg(+) mice exhibited significantly less collagen deposition and protein levels, enhanced Mmp8 and Mmp9 mRNA may offer one mechanism by which collagen levels are kept in check in the aged atrogin-1 Tg(+) heart. In addition, atrogin-1 Tg(+) hearts showed enhanced FoxO1/3 activity. The present study shows a novel link between atrogin-1-mediated regulation of FoxO1/3 activity and reduced collagen deposition and fibrosis in the aged heart. Therefore, targeting FoxO1/3 activity via the muscle-specific atrogin-1 ubiquitin ligase may offer a muscle-specific method to modulate aging-related cardiac fibrosis."
2017 Sep 5,Stem cell research & therapy,Stem Cell Res Ther. 2017 Sep 5;8(1):193. doi: 10.1186/s13287-017-0644-9.,"['Yates, Cecelia C', 'Rodrigues, Melanie', 'Nuschke, Austin', 'Johnson, Zariel I', 'Whaley, Diana', 'Stolz, Donna', 'Newsome, Joseph', 'Wells, Alan']","['animals', 'cell communication', 'cell- and tissue-based therapy methods', 'cellulose administration & dosage', 'cicatrix, hypertrophic metabolism  prevention & control', 'coculture techniques', 'drug combinations', 'extracellular matrix metabolism ultrastructure', 'female', 'fibroblasts cytology immunology metabolism  transplantation', 'gene deletion', 'gene expression', 'hexamethonium compounds administration & dosage', 'hyaluronic acid administration & dosage analogs & derivatives', 'male', ' mesenchymal stem cell transplantation', 'mesenchymal stem cells  cytology immunology metabolism', 'mice', 'mice, inbred c57bl', 'primary cell culture', 'receptors, cxcr3 deficiency genetics', 'skin injuries metabolism', 'surgical wound metabolism pathology  therapy', 'tantalum administration & dosage', 'thrombin administration & dosage', ' wound healing drug effects', 'cell therapy', 'collagen and epidermal–dermal communication', 'extracellular matrix', 'fibroblast', 'mesenchymal stromal cells', 'tenascin-c']",Multipotent stromal cells/mesenchymal stem cells and fibroblasts combine to minimize skin hypertrophic scarring.,"BACKGROUND: Transplantation of mesenchymal stem cells (MSC) has been proposed to improve wound healing. However, as these cells only transiently survive in the implantation site, the mechanisms underlying this beneficial healing response are associated with restorative paracrine effects of MSC matricellular factors on resident stromal cells. However, this requires that the recipient has a robust reservoir of viable cells. Here, we examine the influence of MSCs on the behavior of cotransplanted fibroblasts, in a manner to provide augmented cellular reserve to debilitated individuals, specifically focusing on matrix remodeling following in-vivo wounding. METHODS: Using a Hylan-A dermal filler hydrogel containing collagen I and tenascin-C for delivery and increased survival of transplanted cells, we find that cotransplantation of MSCs with fibroblasts reduces scarring. RESULTS: Transplanted xenogeneic MSCs augmented fibroblast proliferation, migration, and extracellular matrix deposition critical for wound closure, and reduced inflammation following wounding. MSCs also corrected matrix remodeling by CXCR3-deficient fibroblasts which otherwise led to hypertrophic scarring. This effect was superior to MSC or fibroblast transplantation alone. CONCLUSIONS: Taken together, these data suggest that MSCs, even if eventually rejected, transplanted with fibroblasts normalize matrix regeneration during healing. The current study provides insight into cellular therapies as a viable method for antifibrotic treatment and demonstrates that even transiently engrafted cells can have a long-term impact via matrix modulation and education of other tissue cells."
2017 Feb/Mar,Surgical infections,Surg Infect (Larchmt). 2017 Feb/Mar;18(2):119-127. doi: 10.1089/sur.2016.090. ,"['Satish, Latha', 'Gallo, Phillip H', 'Johnson, Sandra', 'Yates, Cecelia C', 'Kathju, Sandeep']","['animals', 'burns  physiopathology', 'cicatrix  drug therapy prevention & control', 'collagen metabolism', 'disease models, animal', ' lactobacillus plantarum', 'probiotics  therapeutic use', 'pseudomonas infections drug therapy microbiology prevention & control', 'pseudomonas aeruginosa', 'rabbits', 'wound healing  drug effects', 'wound infection drug therapy microbiology prevention & control']",Local Probiotic Therapy with Lactobacillus plantarum Mitigates Scar Formation in Rabbits after Burn Injury and Infection.,"BACKGROUND: Infection is the most common complication in burn-injured patients and is believed to contribute to the hypertrophic scarring frequently observed in such injury. Pseudomonas aeruginosa is a common pathogen in burn wound infection. We examined the effect of local probiotic therapy with Lactobacillus plantarum on the severity of the scarring following burn wounding and infection with P. aeruginosa in a rabbit model. METHODS: Full-thickness burn wounds were inoculated with control vehicle or L. plantarum; wounds were then challenged with bioluminescent P. aeruginosa. The time course of the ensuing infection was monitored by quantification of the emitted light. After allowing wounds to contract to near completion, they were harvested and analyzed for markers of scar formation. RESULTS: Application of L. plantarum curtailed both the severity and the length of the pseudomonal infection. Probiotic therapy significantly reduced both Type I collagen mRNA concentrations and total collagen protein accumulation in infected wounds, consistent with reduced scarring. Surprisingly, the probiotic showed a nearly equivalent effect in uninfected wounds. Masson's trichrome staining confirmed these findings histologically. CONCLUSIONS: Lactobacillus plantarum shows exciting potential as a therapeutic agent to both counteract burn wound infection and to alleviate scarring even in the absence of infection."
