time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Materials today. Bio,Mater Today Bio. 2024 Mar 11;26:101022. doi: 10.1016/j.mtbio.2024.101022. ,"['Wu, Kenny Zhuoran', 'Le, Zhicheng', 'Myint, Ba', 'Chan, Brian', 'Liu, Ling', 'Huang, Hua', 'Sing, Swee Leong', 'Tay, Andy']","['bacteriophage', 'bioactive coating', 'immune modulation', 'implant-associated infections', 'medical implants']",Bioactive coating provides antimicrobial protection through immunomodulation and phage therapeutics.,"Medical implant-associated infections (IAI) is a growing threat to patients undergoing implantation surgery. IAI prevention typically relies on medical implants endowed with bactericidal properties achieved through surface modifications with antibiotics. However, the clinical efficacy of this traditional paradigm remains suboptimal, often necessitating revision surgery and posing potentially lethal consequences for patients. To bolster the existing anti-IAI arsenal, we propose herein a chitosan-based bioactive coating, i.e., ChitoAntibac, which exerts bacteria-inhibitory effects either through immune modulation or phage-directed microbial clearance, without relying on conventional antibiotics. The immuno-stimulating effects and phage-induced bactericidal properties can be tailored by engineering the loading dynamic of macrophage migration inhibitory factor (MIF), which polarizes macrophages towards the proinflammatory subtype (M1) with enhanced bacterial phagocytosis, and Staphylococcal Phage K, resulting in rapid and targeted pathogenic clearance (>99.99%) in less than 8 h. Our innovative antibacterial coating opens a new avenue in the pursuit of effective IAI prevention through immuno-stimulation and phage therapeutics."
2024 Jun,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Jun;36(25):e2314184. doi: 10.1002/adma.202314184. Epub 2024 Mar ,"['Quek, Ying Jie', 'Tay, Andy']","['humans', ' nanotechnology methods', 'animals', 'intracellular space metabolism', 'extraction', 'intracellular content', 'nanotechnology', 'proteomics', 'transcriptomics']",Nanoscale Methods for Longitudinal Extraction of Intracellular Contents.,"Longitudinal analysis of intracellular contents including gene and protein expression is crucial for deciphering the fundamentally dynamic nature of cells. This offers invaluable insights into complex tissue composition and behavior, and drives progress in disease diagnosis, biomarker discovery, and drug development. Traditional longitudinal analysis workflows, involving the destruction of cells at various timepoints, limit insights to singular moments and fail to account for cellular heterogeneity. Current non-destructive approaches, like temporal modeling with single-cell ribonucleic acid sequencing (RNA-seq) and live-cell fluorescence imaging, either rely on biological assumptions or possess the risk of cellular perturbation. Recent advances in nanoscale technologies for non-destructive intracellular content extraction offer a promising solution to these challenges. These novel methods work at the nanoscale to non-destructively access cellular membranes and can be broadly classified into three mechanisms: tip-facilitated aspiration, membrane-based, and probe-based methods. This perspective focuses on these emerging nanotechnologies for repeated intracellular content extraction. Their potential in longitudinal analysis is discussed, the critical requirements for effective repeated sampling are addressed, and the suitability of each technique for various applications is explored. Furthermore, unresolved challenges in repeated sampling are highlighted to encourage further research in this growing field."
2023 Dec 7,Small methods,Small Methods. 2023 Dec 7:e2301281. doi: 10.1002/smtd.202301281.,"['Tian, Johann Shane', 'Tay, Andy']","['cell manufacturing', 'cell therapy', 'cell viability', 'electrical stimulation', 'proliferation']",Progress on Electro-Enhancement of Cell Manufacturing.,"With the long persistence of complex, chronic diseases in society, there is increasing motivation to develop cells as living medicine to treat diseases ranging from cancer to wounds. While cell therapies can significantly impact healthcare, the shortage of starter cells meant that considerable raw materials must be channeled solely for cell expansion, leading to expensive products with long manufacturing time which can prevent accessibility by patients who either cannot afford the treatment or have highly aggressive diseases and cannot wait that long. Over the last three decades, there has been increasing knowledge on the effects of electrical modulation on proliferation, but to the best of the knowledge, none of these studies went beyond how electro-control of cell proliferation may be extended to enhance industrial scale cell manufacturing. Here, this review is started by discussing the importance of maximizing cell yield during manufacturing before comparing strategies spanning biomolecular/chemical/physical to modulate cell proliferation. Next, the authors describe how factors governing invasive and non-invasive electrical stimulation (ES) including capacitive coupling electric field may be modified to boost cell manufacturing. This review concludes by describing what needs to be urgently performed to bridge the gap between academic investigation of ES to industrial applications."
2023 Dec 6,Small methods,Small Methods. 2023 Dec 6:e2301300. doi: 10.1002/smtd.202301300.,"['Hu, Tianmu', 'Kumar, Arun Rk', 'Luo, Yikai', 'Tay, Andy']","['car-t', 'automation', 'microfluidics', 'nanostructures', 'transfection']",Automating CAR-T Transfection with Micro and Nano-Technologies.,"Cancer poses a significant health challenge, with traditional treatments like surgery, radiotherapy, and chemotherapy often lacking in cell specificity and long-term curative potential. Chimeric antigen receptor T cell (CAR-T) therapy,utilizing genetically engineered T cells to target cancer cells, is a promising alternative. However, its high cost limits widespread application. CAR-T manufacturing process encompasses three stages: cell isolation and activation, transfection, and expansion.While the first and last stages have straightforward, commercially available automation technologies, the transfection stage lags behind. Current automated transfection relies on viral vectors or bulk electroporation, which have drawbacks such as limited cargo capacity and significant cell disturbance. Conversely, micro and nano-tool methods offer higher throughput and cargo flexibility, yet their automation remains underexplored.In this perspective, the progress in micro and nano-engineering tools for CAR-T transfection followed by a discussion to automate them is described. It is anticipated that this work can inspire the community working on micro and nano transfection techniques to examine how their protocols can be automated to align with the growing interest in automating CAR-T manufacturing."
2024 Apr,Advanced healthcare materials,Adv Healthc Mater. 2024 Apr;13(10):e2303481. doi: 10.1002/adhm.202303481. Epub ,"['Liao, Zehuan', 'Lim, Joseph Jing Heng', 'Lee, Jeannie Xue Ting', 'Chua, Damien', 'Vos, Marcus Ivan Gerard', 'Yip, Yun Sheng', 'Too, Choon Boon', 'Cao, Huan', 'Wang, Jun Kit', 'Shou, Yufeng', 'Tay, Andy', 'Lehti, Kaisa', 'Cheng, Hong Sheng', 'Tay, Chor Yong', 'Tan, Nguan Soon']","['humans', 'angiopoietins', 'cell line, tumor', 'epithelial-mesenchymal transition genetics', 'mechanical phenomena', ' mechanotransduction, cellular', ' neoplasms drug therapy', 'tumor microenvironment', '3d spheroid', 'angiopoietin‐like 4', 'epithelial‐to‐mesenchymal transition', 'mechanotransduction', 'tunable stiffness matrices']",Attenuating Epithelial-to-Mesenchymal Transition in Cancer through Angiopoietin-Like 4 Inhibition in a 3D Tumor Microenvironment Model.,"Epithelial-to-mesenchymal transition (EMT) plays a crucial role in metastatic cancer progression, and current research, which relies heavily on 2D monolayer cultures, falls short in recapitulating the complexity of a 3D tumor microenvironment. To address this limitation, a transcriptomic meta-analysis is conducted on diverse cancer types undergoing EMT in 2D and 3D cultures. It is found that mechanotransduction is elevated in 3D cultures and is further intensified during EMT, but not during 2D EMT. This analysis reveals a distinct 3D EMT gene signature, characterized by extracellular matrix remodeling coordinated by angiopoietin-like 4 (Angptl4) along with other canonical EMT regulators. Utilizing hydrogel-based 3D matrices with adjustable mechanical forces, 3D cancer cultures are established at varying physiological stiffness levels. A YAP:EGR-1 mediated up-regulation of Angptl4 expression is observed, accompanied by an upregulation of mesenchymal markers, at higher stiffness during cancer EMT. Suppression of Angptl4 using antisense oligonucleotides or anti-cAngptl4 antibodies leads to a dose-dependent abolishment of EMT-mediated chemoresistance and tumor self-organization in 3D, ultimately resulting in diminished metastatic potential and stunted growth of tumor xenografts. This unique programmable 3D cancer cultures simulate stiffness levels in the tumor microenvironment and unveil Angptl4 as a promising therapeutic target to inhibit EMT and impede cancer progression."
2023 Nov,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2023 Nov;35(47):e2304638. doi: 10.1002/adma.202304638. Epub 2023 Oct ,"['Shou, Yufeng', 'Le, Zhicheng', 'Cheng, Hong Sheng', 'Liu, Qimin', 'Ng, Yi Zhen', 'Becker, David Laurence', 'Li, Xianlei', 'Liu, Ling', 'Xue, Chencheng', 'Yeo, Natalie Jia Ying', 'Tan, Runcheng', 'Low, Jessalyn', 'Kumar, Arun R K', 'Wu, Kenny Zhuoran', 'Li, Hua', 'Cheung, Christine', 'Lim, Chwee Teck', 'Tan, Nguan Soon', 'Chen, Yongming', 'Liu, Zhijia', 'Tay, Andy']","['mice', 'animals', ' wound healing', ' diabetes mellitus therapy pathology', 'keratinocytes', 'collagen', 'hydrogels pharmacology', 'cell therapy', 'diabetic wounds', 'dynamic mechanical stimulation', 'magnetic hydrogels', 'regenerative medicine']",Mechano-Activated Cell Therapy for Accelerated Diabetic Wound Healing.,"Chronic diabetic wounds are a significant global healthcare challenge. Current strategies, such as biomaterials, cell therapies, and medical devices, however, only target a few pathological features and have limited efficacy. A powerful platform technology combining magneto-responsive hydrogel, cells, and wireless magneto-induced dynamic mechanical stimulation (MDMS) is developed to accelerate diabetic wound healing. The hydrogel encapsulates U.S. Food and Drug Administration (FDA)-approved fibroblasts and keratinocytes to achieve ∼3-fold better wound closure in a diabetic mouse model. MDMS acts as a nongenetic mechano-rheostat to activate fibroblasts, resulting in ∼240% better proliferation, ∼220% more collagen deposition, and improved keratinocyte paracrine profiles via the Ras/MEK/ERK pathway to boost angiogenesis. The magneto-responsive property also enables on-demand insulin release for spatiotemporal glucose regulation through increasing network deformation and interstitial flow. By mining scRNAseq data, a mechanosensitive fibroblast subpopulation is identified that can be mechanically tuned for enhanced proliferation and collagen production, maximizing therapeutic impact. The ""all-in-one"" system addresses major pathological factors associated with diabetic wounds in a single platform, with potential applications for other challenging wound types."
2023 Jun 13,ACS nano,ACS Nano. 2023 Jun 13;17(11):9850-9869. doi: 10.1021/acsnano.3c02798. Epub 2023 ,"['Wang, Yuwen', 'Tay, Andy']","[' nanostructures chemistry', 'nanomedicine methods', ' nanoparticles therapeutic use chemistry', 'stereoisomerism', 'cancer', 'chirality', 'immunotherapy', 'inorganic', 'nanomedicine', 'nanostructure', 'regenerative medicine', 'vaccinology']",Advances in Enantiomer-Dependent Nanotherapeutics.,"The nanoscale properties of nanomaterials, especially nanoparticles, including size, shape, and surface charge, have been extensively studied for their impact on nanomedicine. Given the inherent chiral nature of biological systems and their high enantiomeric selectivity, there is rising interest to manipulate the chirality of nanomaterials to enhance their biomolecular interactions and improve nanotherapeutics. Chiral nanostructures are currently more prevalently used in biosensing and diagnostic applications owing to their distinctive physical and optical properties, but they hold great promise for use in nanomedicine. In this Review, we first discuss stereospecific interactions between chiral nanomaterials and biomolecules before comparing the synthesis and characterization methods of chiral nanoparticles and nanoassemblies. Finally, we examine the applications of chiral nanotherapeutics in cancer, immunomodulation, and neurodegenerative diseases and propose plausible mechanisms in which chiral nanomaterials interact with cells for biological manipulation. This Review on chirality is a timely reminder of the arsenal of nanoscale modifications to boost research in nanotherapeutics."
2023 Jul,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2023 Jul;10(21):e2300670. doi: 10.1002/advs.202300670. Epub 2023 ,"['Shou, Yufeng', 'Teo, Xin Yong', 'Wu, Kenny Zhuoran', 'Bai, Bingyu', 'Kumar, Arun R K', 'Low, Jessalyn', 'Le, Zhicheng', 'Tay, Andy']","[' hydrogels pharmacology', 'extracellular matrix metabolism', 'cell differentiation', ' mesenchymal stem cells metabolism', 'cellular reprogramming', 'cell therapy', 'hydrogel', 'mechanical stimulation', 'mechanomedicine', 'mechanotransduction']",Dynamic Stimulations with Bioengineered Extracellular Matrix-Mimicking Hydrogels for Mechano Cell Reprogramming and Therapy.,"Cells interact with their surrounding environment through a combination of static and dynamic mechanical signals that vary over stimulus types, intensity, space, and time. Compared to static mechanical signals such as stiffness, porosity, and topography, the current understanding on the effects of dynamic mechanical stimulations on cells remains limited, attributing to a lack of access to devices, the complexity of experimental set-up, and data interpretation. Yet, in the pursuit of emerging translational applications (e.g., cell manufacturing for clinical treatment), it is crucial to understand how cells respond to a variety of dynamic forces that are omnipresent in vivo so that they can be exploited to enhance manufacturing and therapeutic outcomes. With a rising appreciation of the extracellular matrix (ECM) as a key regulator of biofunctions, researchers have bioengineered a suite of ECM-mimicking hydrogels, which can be fine-tuned with spatiotemporal mechanical cues to model complex static and dynamic mechanical profiles. This review first discusses how mechanical stimuli may impact different cellular components and the various mechanobiology pathways involved. Then, how hydrogels can be designed to incorporate static and dynamic mechanical parameters to influence cell behaviors are described. The Scopus database is also used to analyze the relative strength in evidence, ranging from strong to weak, based on number of published literatures, associated citations, and treatment significance. Additionally, the impacts of static and dynamic mechanical stimulations on clinically relevant cell types including mesenchymal stem cells, fibroblasts, and immune cells, are evaluated. The aim is to draw attention to the paucity of studies on the effects of dynamic mechanical stimuli on cells, as well as to highlight the potential of using a cocktail of various types and intensities of mechanical stimulations to influence cell fates (similar to the concept of biochemical cocktail to direct cell fate). It is envisioned that this progress report will inspire more exciting translational development of mechanoresponsive hydrogels for biomedical applications."
2023 Feb 14,ACS nano,ACS Nano. 2023 Feb 14;17(3):2851-2867. doi: 10.1021/acsnano.2c11278. Epub 2023 ,"['Shou, Yufeng', 'Teo, Xin Yong', 'Li, Xianlei', 'Zhicheng, Le', 'Liu, Ling', 'Sun, Xinhong', 'Jonhson, Win', 'Ding, Jun', 'Lim, Chwee Teck', 'Tay, Andy']","['humans', ' hydrogels', ' neoplasms drug therapy pathology', 'extracellular matrix pathology', 'down-regulation', 'cancer', 'drug efficacy', 'epithelial-to-mesenchymal transition', 'magnetic hydrogel', 'matrix stiffness']",Dynamic Magneto-Softening of 3D Hydrogel Reverses Malignant Transformation of Cancer Cells and Enhances Drug Efficacy.,"High extracellular matrix stiffness is a prominent feature of malignant tumors associated with poor clinical prognosis. To elucidate mechanistic connections between increased matrix stiffness and tumor progression, a variety of hydrogel scaffolds with dynamic changes in stiffness have been developed. These approaches, however, are not biocompatible at high temperature, strong irradiation, and acidic/basic pH, often lack reversibility (can only stiffen and not soften), and do not allow study on the same cell population longitudinally. In this work, we develop a dynamic 3D magnetic hydrogel whose matrix stiffness can be wirelessly and reversibly stiffened and softened multiple times with different rates of change using an external magnet. With this platform, we found that matrix stiffness increased tumor malignancy including denser cell organization, epithelial-to-mesenchymal transition and hypoxia. More interestingly, these malignant transformations could be halted or reversed with matrix softening (i.e., mechanical rescue), to potentiate drug efficacy attributing to reduced solid stress from matrix and downregulation of cell mechano-transductors including YAP1. We propose that our platform can be used to deepen understanding of the impact of matrix softening on cancer biology, an important but rarely studied phenomenon."
2023 Jun,Bioactive materials,Bioact Mater. 2023 Jan 2;24:387-400. doi: 10.1016/j.bioactmat.2022.12.019. ,"['Shou, Yufeng', 'Liu, Ling', 'Liu, Qimin', 'Le, Zhicheng', 'Lee, Khang Leng', 'Li, Hua', 'Li, Xianlei', 'Koh, Dion Zhanyun', 'Wang, Yuwen', 'Liu, Tong Ming', 'Yang, Zheng', 'Lim, Chwee Teck', 'Cheung, Christine', 'Tay, Andy']","['cell therapy', 'dms, dynamic mechanical stimulation', 'dynamic mechanical stimulation', 'mp, magnetic particle', 'msc, mesenchymal stem cell', 'magnetic hydrogel', 'mesenchymal stem cell', 'stem cell manufacturing']",Mechano-responsive hydrogel for direct stem cell manufacturing to therapy.,"Bone marrow-derived mesenchymal stem cell (MSC) is one of the most actively studied cell types due to its regenerative potential and immunomodulatory properties. Conventional cell expansion methods using 2D tissue culture plates and 2.5D microcarriers in bioreactors can generate large cell numbers, but they compromise stem cell potency and lack mechanical preconditioning to prepare MSC for physiological loading expected in vivo. To overcome these challenges, in this work, we describe a 3D dynamic hydrogel using magneto-stimulation for direct MSC manufacturing to therapy. With our technology, we found that dynamic mechanical stimulation (DMS) enhanced matrix-integrin β1 interactions which induced MSCs spreading and proliferation. In addition, DMS could modulate MSC biofunctions including directing MSC differentiation into specific lineages and boosting paracrine activities (e.g., growth factor secretion) through YAP nuclear localization and FAK-ERK pathway. With our magnetic hydrogel, complex procedures from MSC manufacturing to final clinical use, can be integrated into one single platform, and we believe this 'all-in-one' technology could offer a paradigm shift to existing standards in MSC therapy."
2022 Dec 8,eLife,Elife. 2022 Dec 8;11:e84816. doi: 10.7554/eLife.84816.,"['Urban, Lara', 'De Niz, Mariana', 'Fernández-Chiappe, Florencia', 'Ebrahimi, Hedyeh', 'Han, Laura K M', 'Mehta, Devang', 'Mencia, Regina', 'Mittal, Divyansh', 'Ochola, Elizabeth', 'Paz Quezada, Carolina', 'Romani, Facundo', 'Sinapayen, Lana', 'Tay, Andy', 'Varma, Aalok', 'Yahia Mohamed Elkheir, Lamis']","['communication', ' peer review', 'early-career researchers', 'none', 'peer review', 'point of view', 'preprints', 'research assessment', 'scientific publishing']",eLife's new model and its impact on science communication.,"The eLife Early-Career Advisory Group discusses eLife's new peer review and publishing model, and how the whole process of scientific communication could be improved for the benefit of early-career researchers and the entire scientific community."
2022 Aug,Nature nanotechnology,Nat Nanotechnol. 2022 Aug;17(8):807-811. doi: 10.1038/s41565-022-01158-5.,"['Elnathan, Roey', 'Tay, Andy', 'Voelcker, Nicolas H', 'Chiappini, Ciro']",[' nanostructures'],The start-ups taking nanoneedles into the clinic.,
2022 Mar,Materials today. Bio,Mater Today Bio. 2022 Apr 21;14:100269. doi: 10.1016/j.mtbio.2022.100269. ,"['Shou, Yufeng', 'Johnson, Sarah C', 'Quek, Ying Jie', 'Li, Xianlei', 'Tay, Andy']","['abm, agent-based model', 'apc, antigen-presenting cell', 'bv, blood vessel', 'biomaterials', 'cpm, cellular potts model', 'computational models', 'dc, dendritic cell', 'ecm, extracellular matrix', 'fdc, follicular dendritic cell', 'frc, fibroblastic reticular cell', 'immunotherapy', 'lec, lymphatic endothelial cell', 'ln, lymph node', 'lv, lymphatic vessel', 'lymph node', 'lymphatic system', 'ode, ordinary differential equation', 'pde, partial differential equation', 'pdms, polydimethylsiloxane']",Integrative lymph node-mimicking models created with biomaterials and computational tools to study the immune system.,"The lymph node (LN) is a vital organ of the lymphatic and immune system that enables timely detection, response, and clearance of harmful substances from the body. Each LN comprises of distinct substructures, which host a plethora of immune cell types working in tandem to coordinate complex innate and adaptive immune responses. An improved understanding of LN biology could facilitate treatment in LN-associated pathologies and immunotherapeutic interventions, yet at present, animal models, which often have poor physiological relevance, are the most popular experimental platforms. Emerging biomaterial engineering offers powerful alternatives, with the potential to circumvent limitations of animal models, for in-depth characterization and engineering of the lymphatic and adaptive immune system. In addition, mathematical and computational approaches, particularly in the current age of big data research, are reliable tools to verify and complement biomaterial works. In this review, we first discuss the importance of lymph node in immunity protection followed by recent advances using biomaterials to create in vitro/vivo LN-mimicking models to recreate the lymphoid tissue microstructure and microenvironment, as well as to describe the related immuno-functionality for biological investigation. We also explore the great potential of mathematical and computational models to serve as in silico supports. Furthermore, we suggest how both in vitro/vivo and in silico approaches can be integrated to strengthen basic patho-biological research, translational drug screening and clinical personalized therapies. We hope that this review will promote synergistic collaborations to accelerate progress of LN-mimicking systems to enhance understanding of immuno-complexity."
