time,journal,doi_info,authors,key words,title,abstract
2024 Jul,The EMBO journal,EMBO J. 2024 Jul;43(13):2715-2732. doi: 10.1038/s44318-024-00114-4. Epub 2024 May ,"['Aureille, Julien', 'Prabhu, Srinivas S', 'Barnett, Sam F', 'Farrugia, Aaron J', 'Arnal, Isabelle', 'Lafanechère, Laurence', 'Low, Boon Chuan', 'Kanchanawong, Pakorn', 'Mogilner, Alex', 'Bershadsky, Alexander D']","[' focal adhesions metabolism', ' microtubules metabolism', 'humans', ' rho guanine nucleotide exchange factors metabolism genetics', ' kinesins metabolism genetics', 'adaptor proteins, signal transducing metabolism genetics', 'cytoskeletal proteins metabolism genetics', 'myosin type ii metabolism', 'talin metabolism genetics', 'animals', 'focal adhesion mechanosensitivity', 'gef-h1', 'kank1', 'myosin-ii', 'ilid optogenetics']",Focal adhesions are controlled by microtubules through local contractility regulation.,"Microtubules regulate cell polarity and migration via local activation of focal adhesion turnover, but the mechanism of this process is insufficiently understood. Molecular complexes containing KANK family proteins connect microtubules with talin, the major component of focal adhesions. Here, local optogenetic activation of KANK1-mediated microtubule/talin linkage promoted microtubule targeting to an individual focal adhesion and subsequent withdrawal, resulting in focal adhesion centripetal sliding and rapid disassembly. This sliding is preceded by a local increase of traction force due to accumulation of myosin-II and actin in the proximity of the focal adhesion. Knockdown of the Rho activator GEF-H1 prevented development of traction force and abolished sliding and disassembly of focal adhesions upon KANK1 activation. Other players participating in microtubule-driven, KANK-dependent focal adhesion disassembly include kinases ROCK, PAK, and FAK, as well as microtubules/focal adhesion-associated proteins kinesin-1, APC, and αTAT. Based on these data, we develop a mathematical model for a microtubule-driven focal adhesion disruption involving local GEF-H1/RhoA/ROCK-dependent activation of contractility, which is consistent with experimental data."
2024 Feb 27,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 27:2024.02.25.581925. doi: ,"['Jain, Kashish', 'Minhaj, Rida F', 'Kanchanawong, Pakorn', 'Sheetz, Michael P', 'Changede, Rishita']",[],"Nano-clusters of ligand-activated integrins organize immobile, signalling active, nano-clusters of phosphorylated FAK required for mechanosignaling in focal adhesions.","Transmembrane signalling receptors, such as integrins, organise as nanoclusters that are thought to provide several advantages including, increasing avidity, sensitivity (increasing the signal-to-noise ratio) and robustness (signalling above a threshold rather than activation by a single receptor) of the signal compared to signalling by single receptors. Compared to large micron-sized clusters, nanoclusters offer the advantage of rapid turnover for the disassembly of the signal. However, if nanoclusters function as signalling hubs remains poorly understood. Here, we employ fluorescence nanoscopy combined with photoactivation and photobleaching at sub-diffraction limited resolution of ~100nm length scale within a focal adhesion to examine the dynamics of diverse focal adhesion proteins. We show that (i) subregions of focal adhesions are enriched in immobile population of integrin β3 organised as nanoclusters, which (ii) in turn serve to organise nanoclusters of associated key adhesome proteins- vinculin, focal adhesion kinase (FAK) and paxillin, demonstrating that signalling proceeds by formation of nanoclusters rather than through individual proteins. (iii) Distinct focal adhesion protein nanoclusters exhibit distinct dynamics dependent on function. (iv) long-lived nanoclusters function as signalling hubs- wherein phosphorylated FAK and paxillin formed stable nanoclusters in close proximity to immobile integrin nanoclusters which are disassembled in response to inactivation signal by phosphatase PTPN12 (v) signalling takes place in response to an external signal such as force or geometric arrangement of the nanoclusters and when the signal is removed, these nanoclusters disassemble. Taken together, these results demonstrate that signalling downstream of transmembrane receptors is organised as hubs of signalling proteins (FAK, paxillin, vinculin) seeded by nanoclusters of the transmembrane receptor (integrin)."
2024 May,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 May;36(21):e2309284. doi: 10.1002/adma.202309284. Epub 2024 Feb ,"['Jain, Kashish', 'Pandey, Ashish', 'Wang, Hao', 'Chung, Taerin', 'Nemati, Arash', 'Kanchanawong, Pakorn', 'Sheetz, Michael P', 'Cai, Haogang', 'Changede, Rishita']","[' titanium chemistry', 'ligands', ' cell adhesion', 'animals', 'integrins metabolism chemistry', 'mice', 'humans', 'metal nanoparticles chemistry', 'extracellular matrix metabolism chemistry', 'nanostructures chemistry', 'yap-signaling proteins', 'microscopy, fluorescence', 'tio2', 'fluorescence quenching', 'integrins', 'nanopatterning', 'super‐resolution imaging']",TiO(2) Nano-Biopatterning Reveals Optimal Ligand Presentation for Cell-Matrix Adhesion Formation.,"Nanoscale organization of transmembrane receptors is critical for cellular functions, enabled by the nanoscale engineering of bioligand presentation. Previously, a spatial threshold of ≤60 nm for integrin binding ligands in cell-matrix adhesion is demonstrated using monoliganded gold nanoparticles. However, the ligand geometric arrangement is limited to hexagonal arrays of monoligands, while plasmonic quenching limits further investigation by fluorescence-based high-resolution imaging. Here, these limitations are overcome with dielectric TiO(2) nanopatterns, eliminating fluorescence quenching, thus enabling super-resolution fluorescence microscopy on nanopatterns. By dual-color super-resolution imaging, high precision and consistency among nanopatterns, bioligands, and integrin nanoclusters are observed, validating the high quality and integrity of both nanopattern functionalization and passivation. By screening TiO(2) nanodiscs with various diameters, an increase in fibroblast cell adhesion, spreading area, and Yes-associated protein (YAP) nuclear localization on 100 nm diameter compared with smaller diameters was observed. Focal adhesion kinase is identified as the regulatory signal. These findings explore the optimal ligand presentation when the minimal requirements are sufficiently fulfilled in the heterogenous extracellular matrix network of isolated binding regions with abundant ligands. Integration of high-fidelity nano-biopatterning with super-resolution imaging allows precise quantitative studies to address early signaling events in response to receptor clustering and their nanoscale organization."
2023 Nov 20,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Nov 20:2023.11.20.567975. doi: ,"['Jain, Kashish', 'Lim, Kyna Yu En', 'Sheetz, Michael P', 'Kanchanawong, Pakorn', 'Changede, Rishita']",[],Intrinsic self-organization of integrin nanoclusters within focal adhesions is required for cellular mechanotransduction.,"Upon interaction with the extracellular matrix, the integrin receptors form nanoclusters as a first biochemical response to ligand binding. Here, we uncover a critical biodesign principle where these nanoclusters are spatially self-organized, facilitating effective mechanotransduction. Mouse Embryonic Fibroblasts (MEFs) with integrin β3 nanoclusters organized themselves with an intercluster distance of ~550 nm on uniformly coated fibronectin substrates, leading to larger focal adhesions. We determined that this spatial organization was driven by cell-intrinsic factors since there was no pre-existing pattern on the substrates. Altering this spatial organization using cyclo-RGD functionalized Titanium nanodiscs (of 100 nm, corroborating to the integrin nanocluster size) spaced at intervals of 300 nm (almost half), 600 nm (normal) or 1000 nm (almost double) resulted in abrogation in mechanotransduction, indicating that a new parameter i.e., an optimal intercluster distance is necessary for downstream function. Overexpression of α-actinin, which induces a kink in the integrin tail, disrupted the establishment of the optimal intercluster distance, while simultaneous co-overexpression of talin head with α-actinin rescued it, indicating a concentration-dependent competition, and that cytoplasmic activation of integrin by talin head is required for the optimal intercluster organization. Additionally, talin head-mediated recruitment of FHOD1 that facilitates local actin polymerization at nanoclusters, and actomyosin contractility were also crucial for establishing the optimal intercluster distance and a robust mechanotransduction response. These findings demonstrate that cell-intrinsic machinery plays a vital role in organizing integrin receptor nanoclusters within focal adhesions, encoding essential information for downstream mechanotransduction signalling."
2023 Aug 7,The Journal of cell biology,J Cell Biol. 2023 Aug 7;222(8):e202306136. doi: 10.1083/jcb.202306136. Epub 2023 ,"['Huang, Zengxin', 'Kanchanawong, Pakorn']","[' cell membrane', ' optical imaging instrumentation', 'integrins']",Ultra high-speed single-molecule fluorescence imaging.,"In two articles in this issue, Fujiwara et al. developed an ultrasensitive high-speed camera capable of single-molecule fluorescence imaging at a microsecond timescale (2023. J. Cell Biol.https://doi.org/10.1083/jcb.202110160). This major leap in detection speed enables the organization of plasma membrane and integrin-based adhesions to be probed in unprecedented detail (2023. J. Cell Biol.https://doi.org/10.1083/jcb.202110162)."
2023 Feb 11,Nature communications,Nat Commun. 2023 Feb 11;14(1):776. doi: 10.1038/s41467-023-35918-1.,"['Tee, Yee Han', 'Goh, Wei Jia', 'Yong, Xianbin', 'Ong, Hui Ting', 'Hu, Jinrong', 'Tay, Ignacius Yan Yun', 'Shi, Shidong', 'Jalal, Salma', 'Barnett, Samuel F H', 'Kanchanawong, Pakorn', 'Huang, Wenmao', 'Yan, Jie', 'Lim, Yong Ann Ben', 'Thiagarajan, Visalatchi', 'Mogilner, Alex', 'Bershadsky, Alexander D']","[' actins', ' actin cytoskeleton']",Actin polymerisation and crosslinking drive left-right asymmetry in single cell and cell collectives.,"Deviations from mirror symmetry in the development of bilateral organisms are common but the mechanisms of initial symmetry breaking are insufficiently understood. The actin cytoskeleton of individual cells self-organises in a chiral manner, but the molecular players involved remain essentially unidentified and the relationship between chirality of an individual cell and cell collectives is unclear. Here, we analysed self-organisation of the chiral actin cytoskeleton in individual cells on circular or elliptical patterns, and collective cell alignment in confined microcultures. Screening based on deep-learning analysis of actin patterns identified actin polymerisation regulators, depletion of which suppresses chirality (mDia1) or reverses chirality direction (profilin1 and CapZβ). The reversed chirality is mDia1-independent but requires the function of actin-crosslinker α-actinin1. A robust correlation between the effects of a variety of actin assembly regulators on chirality of individual cells and cell collectives is revealed. Thus, actin-driven cell chirality may underlie tissue and organ asymmetry."
2022 Nov,Nature methods,Nat Methods. 2022 Nov;19(11):1331-1333. doi: 10.1038/s41592-022-01659-0.,"['Ouyang, Wei', 'Bai, Jiachuan', 'Singh, Manish Kumar', 'Leterrier, Christophe', 'Barthelemy, Paul', 'Barnett, Samuel F H', 'Klein, Teresa', 'Sauer, Markus', 'Kanchanawong, Pakorn', 'Bourg, Nicolas', 'Cohen, Mickael M', 'Lelandais, Benoît', 'Zimmer, Christophe']","[' microscopy', ' information dissemination']",ShareLoc - an open platform for sharing localization microscopy data.,
2023 Feb,Nature reviews. Molecular cell biology,Nat Rev Mol Cell Biol. 2023 Feb;24(2):142-161. doi: 10.1038/s41580-022-00531-5. ,"['Kanchanawong, Pakorn', 'Calderwood, David A']","['animals', ' cell adhesion physiology', ' cytoskeleton metabolism', ' extracellular matrix metabolism', 'focal adhesions metabolism', ' integrins metabolism', 'signal transduction', 'tissue adhesions pathology']","Organization, dynamics and mechanoregulation of integrin-mediated cell-ECM adhesions.","The ability of animal cells to sense, adhere to and remodel their local extracellular matrix (ECM) is central to control of cell shape, mechanical responsiveness, motility and signalling, and hence to development, tissue formation, wound healing and the immune response. Cell-ECM interactions occur at various specialized, multi-protein adhesion complexes that serve to physically link the ECM to the cytoskeleton and the intracellular signalling apparatus. This occurs predominantly via clustered transmembrane receptors of the integrin family. Here we review how the interplay of mechanical forces, biochemical signalling and molecular self-organization determines the composition, organization, mechanosensitivity and dynamics of these adhesions. Progress in the identification of core multi-protein modules within the adhesions and characterization of rearrangements of their components in response to force, together with advanced imaging approaches, has improved understanding of adhesion maturation and turnover and the relationships between adhesion structures and functions. Perturbations of adhesion contribute to a broad range of diseases and to age-related dysfunction, thus an improved understanding of their molecular nature may facilitate therapeutic intervention in these conditions."
2022 Sep 12,Scientific reports,Sci Rep. 2022 Sep 12;12(1):15329. doi: 10.1038/s41598-022-19472-2.,"['Wong, Kin Sun', 'Zhong, Xueying', 'Low, Christine Siok Lan', 'Kanchanawong, Pakorn']","[' extracellular matrix metabolism', 'fibroblasts metabolism', 'microscopy, fluorescence', ' neural networks, computer', 'phenotype']",Self-supervised classification of subcellular morphometric phenotypes reveals extracellular matrix-specific morphological responses.,"Cell morphology is profoundly influenced by cellular interactions with microenvironmental factors such as the extracellular matrix (ECM). Upon adhesion to specific ECM, various cell types are known to exhibit different but distinctive morphologies, suggesting that ECM-dependent cell morphological responses may harbour rich information on cellular signalling states. However, the inherent morphological complexity of cellular and subcellular structures has posed an ongoing challenge for automated quantitative analysis. Since multi-channel fluorescence microscopy provides robust molecular specificity important for the biological interpretations of observed cellular architecture, here we develop a deep learning-based analysis pipeline for the classification of cell morphometric phenotypes from multi-channel fluorescence micrographs, termed SE-RNN (residual neural network with squeeze-and-excite blocks). We demonstrate SERNN-based classification of distinct morphological signatures observed when fibroblasts or epithelial cells are presented with different ECM. Our results underscore how cell shapes are non-random and established the framework for classifying cell shapes into distinct morphological signature in a cell-type and ECM-specific manner."
2022 Nov,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2022 Nov;9(31):e2202834. doi: 10.1002/advs.202202834. Epub 2022 ,"['Wong, Darren Chen Pei', 'Xiao, Jingwei', 'Chew, Ti Weng', 'Pan, Meng', 'Lee, Chang Jie Mick', 'Ang, Jing Wen', 'Yow, Ivan', 'Thivakar, T', 'Ackers-Johnson, Matthew', 'Lee, Nicole Jia Wen', 'Foo, Roger Sik-Yin', 'Kanchanawong, Pakorn', 'Low, Boon Chuan']","['humans', ' adaptor proteins, signal transducing genetics metabolism', 'cell differentiation', ' mechanotransduction, cellular', 'protein serine-threonine kinases', 'signal transduction', 'animals', 'rats', ' carrier proteins genetics metabolism', ' myocytes, cardiac cytology', ' yap-signaling proteins genetics metabolism', 'bnip-2', 'lats1', 'rhoa', 'yes-associated protein (yap)', 'cardiomyoblast', 'cellular contractility', 'mechanotransduction']",BNIP-2 Activation of Cellular Contractility Inactivates YAP for H9c2 Cardiomyoblast Differentiation.,"Rho GTPases and Hippo kinases are key regulators of cardiomyoblast differentiation. However, how these signaling axes are coordinated spatiotemporally remains unclear. Here, the central and multifaceted roles of the BCH domain containing protein, BNIP-2, in orchestrating the expression of two key cardiac genes (cardiac troponin T [cTnT] and cardiac myosin light chain [Myl2]) in H9c2 and human embryonic stem cell-derived cardiomyocytes are delineated. This study shows that BNIP-2 mRNA and protein expression increase with the onset of cTnT and Myl2 and promote the alignment of H9c2 cardiomyocytes. Mechanistically, BNIP-2 is required for the inactivation of YAP through YAP phosphorylation and its cytosolic retention. Turbo-ID proximity labeling corroborated by super-resolution analyses and biochemical pulldown data reveals a scaffolding role of BNIP-2 for LATS1 to phosphorylate and inactivate YAP in a process that requires BNIP-2 activation of cellular contractility. The findings identify BNIP-2 as a pivotal signaling scaffold that spatiotemporally integrates RhoA/Myosin II and LATS1/YAP mechanotransduction signaling to drive cardiomyoblast differentiation, by switching the genetic programming from YAP-dependent growth to YAP-silenced differentiation. These findings offer insights into the importance of scaffolding proteins in bridging the gap between mechanical and biochemical signals in cell growth and differentiation and the prospects in translational applications."
