time,journal,doi_info,authors,key words,title,abstract
2024 Jan 31,Journal of physiological anthropology,J Physiol Anthropol. 2024 Jan 31;43(1):7. doi: 10.1186/s40101-024-00354-7.,"['Biswas, Sayantan', 'El Kareh, Antonio', 'Qureshi, Mariyem', 'Lee, Deborah Mei Xuan', 'Sun, Chen-Hsin', 'Lam, Janice S H', 'Saw, Seang-Mei', 'Najjar, Raymond P']","['child, preschool', 'child', 'humans', 'prospective studies', ' myopia epidemiology genetics prevention & control', 'refraction, ocular', 'accommodation, ocular', 'circadian rhythm', 'emmetropization', 'environment', 'epidemiology', 'etiology', 'genetics', 'light', 'myopia', 'outdoor time', 'progression', 'risk factors']",The influence of the environment and lifestyle on myopia.,"BACKGROUND: Myopia, commonly known as near-sightedness, has emerged as a global epidemic, impacting almost one in three individuals across the world. The increasing prevalence of myopia during early childhood has heightened the risk of developing high myopia and related sight-threatening eye conditions in adulthood. This surge in myopia rates, occurring within a relatively stable genetic framework, underscores the profound influence of environmental and lifestyle factors on this condition. In this comprehensive narrative review, we shed light on both established and potential environmental and lifestyle contributors that affect the development and progression of myopia. MAIN BODY: Epidemiological and interventional research has consistently revealed a compelling connection between increased outdoor time and a decreased risk of myopia in children. This protective effect may primarily be attributed to exposure to the characteristics of natural light (i.e., sunlight) and the release of retinal dopamine. Conversely, irrespective of outdoor time, excessive engagement in near work can further worsen the onset of myopia. While the exact mechanisms behind this exacerbation are not fully comprehended, it appears to involve shifts in relative peripheral refraction, the overstimulation of accommodation, or a complex interplay of these factors, leading to issues like retinal image defocus, blur, and chromatic aberration. Other potential factors like the spatial frequency of the visual environment, circadian rhythm, sleep, nutrition, smoking, socio-economic status, and education have debatable independent influences on myopia development. CONCLUSION: The environment exerts a significant influence on the development and progression of myopia. Improving the modifiable key environmental predictors like time spent outdoors and engagement in near work can prevent or slow the progression of myopia. The intricate connections between lifestyle and environmental factors often obscure research findings, making it challenging to disentangle their individual effects. This complexity underscores the necessity for prospective studies that employ objective assessments, such as quantifying light exposure and near work, among others. These studies are crucial for gaining a more comprehensive understanding of how various environmental factors can be modified to prevent or slow the progression of myopia."
2024 Jan,Journal of pineal research,J Pineal Res. 2024 Jan;76(1):e12930. doi: 10.1111/jpi.12930.,"['Najjar, Raymond P', 'Prayag, Abhishek S', 'Gronfier, Claude']","['young adult', 'humans', 'aged', ' melatonin', 'photoreceptor cells, vertebrate', 'retinal cone photoreceptor cells', 'rod opsins', 'circadian rhythm physiology', 'aging', 'aging', 'circadian', 'mathematical modeling', 'melanopsin', 'melatonin', 'photoreception', 'sleep']",Melatonin suppression by light involves different retinal photoreceptors in young and older adults.,"Age-related sleep and circadian rhythm disturbances may be due to altered nonvisual photoreception. Here, we investigated the temporal dynamics of light-induced melatonin suppression in young and older individuals. In a within-subject design study, young and older participants were exposed for 60 min (0030-0130 at night) to nine narrow-band lights (range: 420-620 nm). Plasma melatonin suppression was calculated at 15, 30, 45, and 60 min time intervals. Individual spectral sensitivity of melatonin suppression and photoreceptor contribution were predicted for each interval and age group. In young participants, melanopsin solely drove melatonin suppression at all time intervals, with a peak sensitivity at 485.3 nm established only after 15 min of light exposure. Conversely, in older participants, spectral light-driven melatonin suppression was best explained by a more complex model combining melanopsin, S-cone, and M-cone functions, with a stable peak (~500 nm) at 30, 45, and 60 min of light exposure. Aging is associated with a distinct photoreceptor contribution to melatonin suppression by light. While in young adults melanopsin-only photoreception is a reliable predictor of melatonin suppression, in older individuals this process is jointly driven by melanopsin, S-cone, and M-cone functions. These findings offer new prospects for customizing light therapy for older individuals."
2024 Feb,Journal of AAPOS : the official publication of the American Association for ,J AAPOS. 2024 Feb;28(1):103803. doi: 10.1016/j.jaapos.2023.10.005. Epub 2024 Jan ,"['Lin, Mung Yan', 'Najjar, Raymond P', 'Tang, Zhiqun', 'Cioplean, Daniela', 'Dragomir, Mihaela', 'Chia, Audrey', 'Patil, Ajay', 'Vasseneix, Caroline', 'Peragallo, Jason H', 'Newman, Nancy J', 'Biousse, Valérie', 'Milea, Dan']","['adult', 'humans', 'child', 'child, preschool', ' papilledema diagnosis', ' deep learning', 'fundus oculi', 'artificial intelligence', 'optic nerve', 'brain']",The BONSAI (Brain and Optic Nerve Study with Artificial Intelligence) deep learning system can accurately identify pediatric papilledema on standard ocular fundus photographs.,"BACKGROUND: Pediatric papilledema often reflects an underlying severe neurologic disorder and may be difficult to appreciate, especially in young children. Ocular fundus photographs are easy to obtain even in young children and in nonophthalmology settings. The aim of our study was to ascertain whether an improved deep-learning system (DLS), previously validated in adults, can accurately identify papilledema and other optic disk abnormalities in children. METHODS: The DLS was tested on mydriatic fundus photographs obtained in a multiethnic pediatric population (<17 years) from three centers (Atlanta-USA; Bucharest-Romania; Singapore). The DLS's multiclass classification accuracy (ie, normal optic disk, papilledema, disks with other abnormality) was calculated, and the DLS's performance to specifically detect papilledema and normal disks was evaluated in a one-vs-rest strategy using the AUC, sensitivity and specificity, with reference to expert neuro-ophthalmologists. RESULTS: External testing was performed on 898 fundus photographs: 447 patients; mean age, 10.33 (231 patients ≤10 years of age; 216, 11-16 years); 558 normal disks, 254 papilledema, 86 other disk abnormalities. Overall multiclass accuracy of the DLS was 89.6% (range, 87.8%-91.6%). The DLS successfully distinguished ""normal"" from ""abnormal"" optic disks (AUC 0.99 [0.98-0.99]; sensitivity, 87.3% [84.9%-89.8%]; specificity, 98.5% [97.6%-99.6%]), and ""papilledema"" from ""normal and other"" (AUC 0.99 [0.98-1.0]; sensitivity, 98.0% [96.8%-99.4%]; specificity, 94.1% (92.4%-95.9%)]. CONCLUSIONS: Our DLS reliably distinguished papilledema from normal optic disks and other disk abnormalities in children, suggesting it could be utilized as a diagnostic aid for the assessment of optic nerve head appearance in the pediatric age group."
2023 Dec,EBioMedicine,EBioMedicine. 2023 Dec;98:104889. doi: 10.1016/j.ebiom.2023.104889. Epub 2023 Dec ,"['Spitschan, Manuel', 'Kervezee, Laura', 'Lok, Renske', 'McGlashan, Elise', 'Najjar, Raymond P']","['united states', 'humans', 'reproducibility of results', ' checklist', 'consensus', ' research design', 'circadian rhythms', 'interventions', 'light', 'non-visual effects of light', 'reporting guidelines', 'sleep']",ENLIGHT: A consensus checklist for reporting laboratory-based studies on the non-visual effects of light in humans.,"BACKGROUND: There is no consensus on reporting light characteristics in studies investigating non-visual responses to light. This project aimed to develop a reporting checklist for laboratory-based investigations on the impact of light on non-visual physiology. METHODS: A four-step modified Delphi process (three questionnaire-based feedback rounds and one face-to-face group discussion) involving international experts was conducted to reach consensus on the items to be included in the checklist. Following the consensus process, the resulting checklist was tested in a pilot phase with independent experts. FINDINGS: An initial list of 61 items related to reporting light-based interventions was condensed to a final checklist containing 25 items, based upon consensus among experts (final n = 60). Nine items were deemed necessary to report regardless of research question or context. A description of each item is provided in the accompanying Explanation and Elaboration (E&E) document. The independent pilot testing phase led to minor textual clarifications in the checklist and E&E document. INTERPRETATION: The ENLIGHT Checklist is the first consensus-based checklist for documenting and reporting ocular light-based interventions for human studies. The implementation of the checklist will enhance the impact of light-based research by ensuring comprehensive documentation, enhancing reproducibility, and enabling data aggregation across studies. FUNDING: Network of European Institutes for Advanced Study (NETIAS) Constructive Advanced Thinking (CAT) programme; Sir Henry Wellcome Postdoctoral Fellowship (Wellcome Trust, 204686/Z/16/Z); Netherlands Organisation for Health Research and Development VENI fellowship (2020-09150161910128); U.S. Department of Defense Grant (W81XWH-16-1-0223); National University of Singapore (NUHSRO/2022/038/Startup/08); and National Research Foundation Singapore (NRF2022-THE004-0002)."
2024 May,American journal of ophthalmology,Am J Ophthalmol. 2024 May;261:199-207. doi: 10.1016/j.ajo.2023.10.025. Epub 2023 ,"['Biousse, Valérie', 'Najjar, Raymond P', 'Tang, Zhiqun', 'Lin, Mung Yan', 'Wright, David W', 'Keadey, Matthew T', 'Wong, Tien Y', 'Bruce, Beau B', 'Milea, Dan', 'Newman, Nancy J']","['humans', 'fundus oculi', ' papilledema diagnosis', 'retrospective studies', ' deep learning', 'artificial intelligence', 'emergency service, hospital', ' eye diseases diagnosis', 'photography']",Application of a Deep Learning System to Detect Papilledema on Nonmydriatic Ocular Fundus Photographs in an Emergency Department.,"PURPOSE: The Fundus photography vs Ophthalmoscopy Trial Outcomes in the Emergency Department (FOTO-ED) studies showed that ED providers poorly recognized funduscopic findings in patients in the ED. We tested a modified version of the Brain and Optic Nerve Study Artificial Intelligence (BONSAI) deep learning system on nonmydriatic fundus photographs from the FOTO-ED studies to determine if the deep learning system could have improved the detection of papilledema had it been available to ED providers as a real-time diagnostic aid. DESIGN: Retrospective secondary analysis of a cohort of patients included in the FOTO-ED studies. METHODS: The testing data set included 1608 photographs obtained from 828 patients in the FOTO-ED studies. Photographs were reclassified according to the optic disc classification system used by the deep learning system (""normal optic discs,"" ""papilledema,"" and ""other optic disc abnormalities""). The system's performance was evaluated by calculating the area under the receiver operating characteristic curve (AUC), sensitivity, and specificity using a 1-vs-rest strategy, with reference to expert neuro-ophthalmologists. RESULTS: The BONSAI deep learning system successfully distinguished normal from abnormal optic discs (AUC 0.92 [95% confidence interval {"
2023 Oct 3,Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci. 2023 Oct 3;64(13):11. doi: 10.1167/iovs.64.13.11.,"['Tan, Royston K Y', 'Panda, Satish K', 'Braeu, Fabian A', 'Muralidharan, Arumugam R', 'Nongpiur, Monisha E', 'Chan, Anita S Y', 'Aung, Tin', 'Najjar, Raymond P', 'Girard, Michaël J A']","['swine', 'animals', ' iris physiology', ' glaucoma, angle-closure', 'biomechanical phenomena physiology', 'tomography, optical coherence']",The Structural Layers of the Porcine Iris Exhibit Inherently Different Biomechanical Properties.,"PURPOSE: The purpose of this study was to isolate the structural components of the ex vivo porcine iris tissue and to determine their biomechanical properties. METHODS: The porcine stroma and dilator tissues were separated, and their dimensions were assessed using optical coherence tomography (OCT). The stroma underwent flow test (n = 32) to evaluate for permeability using Darcy's Law (ΔP = 2000 Pa, A = 0.0391 mm2), and both tissues underwent stress relaxation experiments (ε = 0.5 with initial ramp of δε = 0.1) to evaluate for their viscoelastic behaviours (n = 28). Viscoelasticity was characterized by the parameters β (half width of the Gaussian distribution), τm (mean relaxation time constant), E0 (instantaneous modulus), and E∞ (equilibrium modulus). RESULTS: For the stroma, the hydraulic permeability was 9.49 ± 3.05 × 10-6 mm2/Pa · s, and the viscoelastic parameters were β = 2.50 ± 1.40, and τm = 7.43 ± 4.96 s, with the 2 moduli calculated to be E0 = 14.14 ± 6.44 kPa and E∞ = 6.08 ± 2.74 kPa. For the dilator tissue, the viscoelastic parameters were β = 2.06 ± 1.33 and τm = 1.28 ± 1.27 seconds, with the 2 moduli calculated to be E0 = 9.16 ± 3.03 kPa and E∞ = 5.54 ± 1.98 kPa. CONCLUSIONS: We have established a new protocol to evaluate the biomechanical properties of the structural layers of the iris. Overall, the stroma was permeable and exhibited smaller moduli than those of the dilator muscle. An improved characterization of iris biomechanics may form the basis to further our understanding of angle closure glaucoma."
2023 Aug 14,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Aug 14:2023.08.09.552691. doi: ,"['Hartstein, Lauren E', 'LeBourgeois, Monique K', 'Durniak, Mark T', 'Najjar, Raymond P']","['adolescents', 'children', 'intrinsically photosensitive retinal ganglion cells', 'light exposure', 'pupillary light reflex']",Differences in the Pupillary Responses to Evening Light between Children and Adolescents.,"PURPOSE: To assess differences in the pupillary light responses (PLRs) to blue and red evening lights between children and adolescents. METHODS: Forty healthy participants (8-9 years, n=21; 15-16 years, n=19) completed a PLR assessment 1 h before their habitual bedtime. After a 1 h dim-light adaptation period (<1 lux), baseline pupil diameter was measured in darkness for 30 s, followed by a 10 s exposure to 3.0×10(13) photons/cm(2)/s of either red (627 nm) or blue (459 nm) light, and a 40 s recovery in darkness to assess pupillary re-dilation. Subsequently, participants underwent 7 min of dim-light re-adaptation followed by an exposure to the other light condition. Lights were counterbalanced across participants. RESULTS: Across both age groups, maximum pupil constriction was significantly greater (p< 0.001, η(p)(2)=0.48) and more sustained (p< 0.001, η(p)(2)=0.41) during exposure to blue compared to red light. For adolescents, the post-illumination pupillary response (PIPR), a hallmark of melanopsin function, was larger after blue compared with red light (p= 0.02, d=0.60). This difference was not observed in children. Across light exposures, children had larger phasic (p< 0.01, η(p)(2)=0.20) and maximal (p< 0.01, η(p)(2)=0.22) pupil constrictions compared to adolescents. CONCLUSIONS: Blue light elicited a greater and more sustained pupillary response than red light across participants. However, the overall amplitude of the rod/cone-driven phasic response was greater in children than in adolescents. Our findings using the PLR highlight a higher sensitivity to evening light in children compared to adolescents, and continued maturation of the human non-visual photoreception/system throughout development."
2024 May 21,The British journal of ophthalmology,Br J Ophthalmol. 2024 May 21;108(6):884-888. doi: 10.1136/bjo-2023-323680.,"['Foo, Li Lian', 'Tan, Chuen-Seng', 'Noel, Brennan', 'Htoon, Hla M', 'Najjar, Raymond P', 'Kathrani, Biten', 'Sabanayagam, Charumathi', 'Saw, Seang-Mei']","['humans', 'singapore epidemiology', 'male', 'female', 'adolescent', 'adult', 'young adult', ' disease progression', ' myopia physiopathology epidemiology', 'risk factors', ' refraction, ocular physiology', 'child', 'follow-up studies', 'southeast asian people', 'epidemiology']",Factors influencing myopia stabilisation in young myopic adult Singaporeans.,"PURPOSE: To evaluate factors influencing stabilisation of myopia in the Singapore Cohort of Risk factors for Myopia. METHODS: We evaluated the longitudinal natural history of 424 myopic participants from 1999 to 2022. The outcome was the change in myopia from the adolescence follow-up visit (aged 12-19 years) to the adulthood follow-up visit (aged 26-33 years). Association of predictive factors, including baseline spherical error, gender, ethnicity, parental myopia, time outdoor, near work and age at adolescence, was examined with the dichotomous outcome of adult myopia progression (≤ -1.00 dioptres (D) over 10 years) using multiple logistic regression and progression in linear regression models. RESULTS: For the primary outcome, the mean rate of progression of the outcome was found to be -0.04±0.09 D per year from the adolescent to the adulthood follow-up visits. 82.3% (95%"
2024 May 21,The British journal of ophthalmology,Br J Ophthalmol. 2024 May 21;108(6):818-825. doi: 10.1136/bjo-2023-323878.,"['Finkelstein, Maxwell Toan', 'Nongpiur, Monisha Esther', 'Husain, Rahat', 'Perera, Shamira', 'Baskaran, Mani', 'Wong, Tina T', 'Aung, Tin', 'Milea, Dan', 'Najjar, Raymond P']","['humans', 'cross-sectional studies', 'male', 'prospective studies', 'female', ' intraocular pressure physiology', ' pupil physiology', 'adult', ' reflex, pupillary physiology', 'middle aged', 'visual fields physiology', 'myopia, degenerative physiopathology diagnosis', 'roc curve', 'glaucoma physiopathology diagnosis', 'reproducibility of results', 'diagnostic techniques, ophthalmological instrumentation', 'young adult', 'light', 'diagnostic tests investigation', 'glaucoma', 'optic nerve', 'pupil']",Handheld chromatic pupillometry can reliably detect functional glaucomatous damage in eyes with high myopia.,"BACKGROUND/AIMS: To assess pupillary light responses (PLRs) in eyes with high myopia (HM) and evaluate the ability of handheld chromatic pupillometry (HCP) to identify glaucomatous functional loss in eyes with HM. METHODS: This prospective, cross-sectional study included 28 emmetropes (EM), 24 high myopes without glaucoma (HM) and 17 high myopes with confirmed glaucoma (HMG), recruited at the Singapore National Eye Center. Monocular PLRs were evaluated using a custom-built handheld pupillometer that recorded changes in horizontal pupil radius in response to 9 s of exponentially increasing blue (469.1 nm) and red (640.1 nm) lights. Fifteen pupillometric features were compared between groups. A logistic regression model (LRM) was used to distinguish HMG eyes from non-glaucomatous eyes (EM and HM). RESULTS: All pupillometric features were similar between EM and HM groups. Phasic constriction to blue (p<0.001) and red (p=0.006) lights, and maximum constriction to blue light (p<0.001) were reduced in HMG compared with EM and HM. Pupillometric features of melanopsin function (postillumination pupillary response, PIPR area under the curve (AUC) 0-12 s (p<0.001) and PIPR 6 s (p=0.01) to blue light) were reduced in HMG. Using only three pupillometric features, the LRM could classify glaucomatous from non-glaucomatous eyes with an AUC of 0.89 (95%"
2023 Aug,Nature biomedical engineering,Nat Biomed Eng. 2023 Aug;7(8):986-1000. doi: 10.1038/s41551-023-01062-w. Epub ,"['Liu, Xinyu', 'Jiang, Liqin', 'Ke, Mengyuan', 'Sigal, Ian A', 'Chua, Jacqueline', 'Hoang, Quan V', 'Chia, Audrey Wi', 'Najjar, Raymond P', 'Tan, Bingyao', 'Cheong, Jocelyn', 'Bellemo, Valentina', 'Chong, Rachel S', 'Girard, Michaël J A', 'Ang, Marcus', 'Liu, Mengyang', 'Garhöfer, Gerhard', 'Barathi, Veluchamy A', 'Saw, Seang-Mei', 'Villiger, Martin', 'Schmetterer, Leopold']","['adult', 'humans', 'animals', 'guinea pigs', ' sclera diagnostic imaging pathology', 'birefringence', 'cross-sectional studies', ' myopia diagnostic imaging pathology', 'biomarkers']",Posterior scleral birefringence measured by triple-input polarization-sensitive imaging as a biomarker of myopia progression.,"In myopic eyes, pathological remodelling of collagen in the posterior sclera has mostly been observed ex vivo. Here we report the development of triple-input polarization-sensitive optical coherence tomography (OCT) for measuring posterior scleral birefringence. In guinea pigs and humans, the technique offers superior imaging sensitivities and accuracies than dual-input polarization-sensitive OCT. In 8-week-long studies with young guinea pigs, scleral birefringence was positively correlated with spherical equivalent refractive errors and predicted the onset of myopia. In a cross-sectional study involving adult individuals, scleral birefringence was associated with myopia status and negatively correlated with refractive errors. Triple-input polarization-sensitive OCT may help establish posterior scleral birefringence as a non-invasive biomarker for assessing the progression of myopia."
