time,journal,doi_info,authors,key words,title,abstract
2024 Jun 25,Nucleic acids research,Nucleic Acids Res. 2024 Jun 25:gkae532. doi: 10.1093/nar/gkae532.,"['Park, Ki Sung', 'Cha, Hanvit', 'Niu, Jia', 'Soh, Hyongsok Tom', 'Lee, Jin Hyup', 'Pack, Seung Pil']",[],DNA-controlled protein fluorescence: Design of aptamer-split peptide hetero-modulator for GFP to respond to intracellular ATP levels.,"Enabling the precise control of protein functions with artificially programmed reaction patterns is beneficial for investigating biological processes. Although several strategies have been established that employ the programmability of nucleic acid, they have been limited to DNA hybridization without external stimuli or target binding. Here, we report an approach for the DNA-mediated control of the tripartite split-GFP assembly via aptamers with responsiveness to intracellular small molecules as stimuli. We designed a novel structure-switching aptamer-peptide conjugate as a hetero modulator for split GFP in response to ATP. By conjugating two peptides (S10/11) derived from the tripartite split-GFP to ATP aptamer, we achieved GFP reassembly using only ATP as a trigger molecule. The response to ATP at ≥4 mM concentrations indicated that it can be applied to respond to intracellular ATP in live cells. Furthermore, our hetero-modulator exhibited high and long-term stability, with a half-life of approximately four days in a serum stability assay, demonstrating resistance to nuclease degradation. We validated that our aptamer-modulator split GFP was successfully reconstituted in the cell in response to intracellular ATP levels. Our aptamer-modulated split GFP platform can be utilized to monitor a wide range of intracellular metabolites by replacing the aptamer sequence."
2024 Mar 22,ACS sensors,ACS Sens. 2024 Mar 22;9(3):1168-1177. doi: 10.1021/acssensors.3c01638. Epub 2024 ,"['Kong, Dehui', 'Thompson, Ian A P', 'Maganzini, Nicolo', 'Eisenstein, Michael', 'Soh, Hyongsok Tom']","[' biosensing techniques', ' aptamers, nucleotide chemistry', ' nucleic acids', 'antibodies', 'antibody', 'continuous biosensing', 'fluorescent sensing', 'molecular recognition', 'structure-switching aptamer']","Aptamer-Antibody Chimera Sensors for Sensitive, Rapid, and Reversible Molecular Detection in Complex Samples.","The development of receptors suitable for the continuous detection of analytes in complex, interferent-rich samples remains challenging. Antibodies are highly sensitive but difficult to engineer in order to introduce signaling functionality, while aptamer switches are easy to construct but often yield only a modest target sensitivity. We present here a programmable antibody and DNA aptamer switch (PANDAS), which combines the desirable properties of both receptors by using a nucleic acid tether to link an analyte-specific antibody to an internal strand-displacement (ISD)-based aptamer switch that recognizes the same target through different epitopes. The antibody increases PANDAS analyte binding due to its high affinity, and the effective concentration between the two receptors further enhances two-epitope binding and fluorescent aptamer signaling. We developed a PANDAS sensor for the clotting protein thrombin and show that a tuned design achieves a greater than 300-fold enhanced sensitivity compared to that of using an aptamer alone. This design also exhibits reversible binding, enabling repeated measurements with a temporal resolution of ∼10 min, and retains excellent sensitivity even in interferent-rich samples. With future development, this PANDAS approach could enable the adaptation of existing protein-binding aptamers with modest affinity to sensors that deliver excellent sensitivity and minute-scale resolution in minimally prepared biological specimens."
2023 Sep 22,Science advances,Sci Adv. 2023 Sep 22;9(38):eadh4978. doi: 10.1126/sciadv.adh4978. Epub 2023 Sep ,"['Thompson, Ian A P', 'Saunders, Jason', 'Zheng, Liwei', 'Hariri, Amani A', 'Maganzini, Nicolò', 'Cartwright, Alyssa P', 'Pan, Jing', 'Yee, Steven', 'Dory, Constantin', 'Eisenstein, Michael', 'Vuckovic, Jelena', 'Soh, Hyongsok Tom']","[' hydrocortisone', ' antibodies', 'coloring agents', 'engineering', 'signal transduction']",An antibody-based molecular switch for continuous small-molecule biosensing.,"We present a generalizable approach for designing biosensors that can continuously detect small-molecule biomarkers in real time and without sample preparation. This is achieved by converting existing antibodies into target-responsive ""antibody-switches"" that enable continuous optical biosensing. To engineer these switches, antibodies are linked to a molecular competitor through a DNA scaffold, such that competitive target binding induces scaffold switching and fluorescent signaling of changing target concentrations. As a demonstration, we designed antibody-switches that achieve rapid, sample preparation-free sensing of digoxigenin and cortisol in undiluted plasma. We showed that, by substituting the molecular competitor, we can further modulate the sensitivity of our cortisol switch to achieve detection at concentrations spanning 3.3 nanomolar to 3.3 millimolar. Last, we integrated this switch with a fiber optic sensor to achieve continuous sensing of cortisol in a buffer and blood with <5-min time resolution. We believe that this modular sensor design can enable continuous biosensor development for many biomarkers."
2023 May 15,Biosensors & bioelectronics,Biosens Bioelectron. 2023 May 15;228:115202. doi: 10.1016/j.bios.2023.115202. ,"['Park, Ki Sung', 'Choi, Anna', 'Kim, Hyun Jung', 'Park, Insu', 'Eom, Mi-Suk', 'Yeo, Sang-Gu', 'Son, Ryeo Gang', 'Park, Tae-In', 'Lee, Gyudo', 'Soh, Hyongsok Tom', 'Hong, Yoochan', 'Pack, Seung Pil']","['humans', 'sars-cov-2 genetics', ' aptamers, nucleotide', ' covid-19 diagnosis', ' biosensing techniques', 'label-free sers biosensor', 'particle display', 'sars-cov-2 spike binding aptamer', 'sers-based aptasensor', 'silver nanoforest']",Ultra-sensitive label-free SERS biosensor with high-throughput screened DNA aptamer for universal detection of SARS-CoV-2 variants from clinical samples.,"COVID-19, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has caused an ongoing global pandemic with economic and social disruption. Moreover, the virus has persistently and rapidly evolved into novel lineages with mutations. The most effective strategy to control the pandemic is suppressing virus spread through early detection of infections. Therefore, developing a rapid, accurate, easy-to-use diagnostic platform against SARS-CoV-2 variants of concern remains necessary. Here, we developed an ultra-sensitive label-free surface-enhanced Raman scattering-based aptasensor as a countermeasure for the universal detection of SARS-CoV-2 variants of concern. In this aptasensor platform, we discovered two DNA aptamers that enable binding to SARS-CoV-2 spike protein via the Particle Display, a high-throughput screening approach. These showed high affinity that exhibited dissociation constants of 1.47 ± 0.30 nM and 1.81 ± 0.39 nM. We designed a combination with the aptamers and silver nanoforest for developing an ultra-sensitive SERS platform and achieved an attomolar (10(-18) M) level detection limit with a recombinant trimeric spike protein. Furthermore, using the intrinsic properties of the aptamer signal, we demonstrated a label-free aptasensor approach, enabling use without the Raman tag. Finally, our label-free SERS-combined aptasensor succeeded in detecting SARS-CoV-2 with excellent accuracy, even in clinical samples with variants of concern, including the wild-type, delta, and omicron variants."
2023 Dec,Nature biomedical engineering,Nat Biomed Eng. 2023 Dec;7(12):1541-1555. doi: 10.1038/s41551-022-00998-9. Epub ,"['Friedel, Mark', 'Thompson, Ian A P', 'Kasting, Gerald', 'Polsky, Ronen', 'Cunningham, David', 'Soh, Hyongsok Tom', 'Heikenfeld, Jason']","['humans', ' extracellular fluid chemistry', ' blood glucose analysis', 'needles']",Opportunities and challenges in the diagnostic utility of dermal interstitial fluid.,"The volume of interstitial fluid (ISF) in the human body is three times that of blood. Yet, collecting diagnostically useful ISF is more challenging than collecting blood because the extraction of dermal ISF disrupts the delicate balance of pressure between ISF, blood and lymph, and because the triggered local inflammation further skews the concentrations of many analytes in the extracted fluid. In this Perspective, we overview the most meaningful differences in the make-up of ISF and blood, and discuss why ISF cannot be viewed generally as a diagnostically useful proxy for blood. We also argue that continuous sensing of small-molecule analytes in dermal ISF via rapid assays compatible with nanolitre sample volumes or via miniaturized sensors inserted into the dermis can offer clinically advantageous utility, particularly for the monitoring of therapeutic drugs and of the status of the immune system."
2023 Mar 1,Angewandte Chemie (International ed. in English),Angew Chem Int Ed Engl. 2023 Mar 1;62(10):e202214045. doi: ,"['Qu, Hao', 'Zheng, Manyi', 'Ma, Qihui', 'Wang, Lu', 'Mao, Yu', 'Eisenstein, Michael', 'Tom Soh, Hyongsok', 'Zheng, Lei']","['allosteric regulation', ' aptamers, nucleotide chemistry', 'base sequence', 'affinity', 'allosterism', 'aptamers', 'mechanochemical coupling', 'molecular clamp']",Allosteric Regulation of Aptamer Affinity through Mechano-Chemical Coupling.,"The capacity to precisely modulate aptamer affinity is important for a wide variety of applications. However, most such engineering strategies entail laborious trial-and-error testing or require prior knowledge of an aptamer's structure and ligand-binding domain. We describe here a simple and generalizable strategy for allosteric modulation of aptamer affinity by employing a double-stranded molecular clamp that destabilizes aptamer secondary structure through mechanical tension. We demonstrate the effectiveness of the approach with a thrombin-binding aptamer and show that we can alter its affinity by as much as 65-fold. We also show that this modulation can be rendered reversible by introducing a restriction enzyme cleavage site into the molecular clamp domain and describe a design strategy for achieving even more finely-tuned affinity modulation. This strategy requires no prior knowledge of the aptamer's structure and binding mechanism and should thus be generalizable across aptamers."
2022 Nov 18,Nature communications,Nat Commun. 2022 Nov 18;13(1):7072. doi: 10.1038/s41467-022-34778-5.,"['Maganzini, Nicolò', 'Thompson, Ian', 'Wilson, Brandon', 'Soh, Hyongsok Tom']","['ligands', ' biosensing techniques methods', 'protein binding', 'antibodies', ' insulins']",Pre-equilibrium biosensors as an approach towards rapid and continuous molecular measurements.,"Almost all biosensors that use ligand-receptor binding operate under equilibrium conditions. However, at low ligand concentrations, the equilibration with the receptor (e.g., antibodies and aptamers) becomes slow and thus equilibrium-based biosensors are inherently limited in making measurements that are both rapid and sensitive. In this work, we provide a theoretical foundation for a method through which biosensors can quantitatively measure ligand concentration before reaching equilibrium. Rather than only measuring receptor binding at a single time-point, the pre-equilibrium approach leverages the receptor's kinetic response to instantaneously quantify the changing ligand concentration. Importantly, by analyzing the biosensor output in frequency domain, rather than in the time domain, we show the degree to which noise in the biosensor affects the accuracy of the pre-equilibrium approach. Through this analysis, we provide the conditions under which the signal-to-noise ratio of the biosensor can be maximized for a given target concentration range and rate of change. As a model, we apply our theoretical analysis to continuous insulin measurement and show that with a properly selected antibody, the pre-equilibrium approach could make the continuous tracking of physiological insulin fluctuations possible."
2022 Sep 27,ACS nano,ACS Nano. 2022 Sep 27;16(9):14549-14557. doi: 10.1021/acsnano.2c05010. Epub 2022 ,"['Trinh, Tuan', 'Thompson, Ian Andrew Paul', 'Clark, Finley', 'Remington, Jacob M', 'Eisenstein, Michael', 'Li, Jianing', 'Soh, Hyongsok Tom']","[' azo compounds chemistry', 'dna chemistry', ' dna, single-stranded', 'oligonucleotides', 'dna nanotechnology', 'dna triplex', 'aptamers', 'azobenzene', 'binding affinity', 'photoresponsive', 'stimuli-responsive materials']",A Photoresponsive Intramolecular Triplex Motif That Enables Rapid and Reversible Control of Aptamer Binding Activity.,"DNA switches that can change conformation in response to certain wavelengths of light could enable rapid and noninvasive control of chemical processes for a wide range of applications. However, most current photoresponsive DNA switches are limited by either irreversible switching or reversible switching with impractically slow kinetics. Here, we report the design of an intramolecular triplex photoswitch (TPS) design based on single-stranded DNA that undergoes rapid and reversible photoswitching between folded and unfolded states through isomerization of internal azobenzene modifications. After optimizing the performance of our photoswitch design, we used molecular dynamics simulations to reveal how individual azobenzenes contribute to the stabilization or destabilization of the triplex depending on their photoisomerization state. By coupling our TPS to an existing aptamer, we can reversibly modulate its binding affinity with less than 15 s of UV light exposure. We further demonstrate reproducible shifting in affinity over multiple cycles of UV and blue light irradiation without substantial photobleaching."
2022 Jul 26,ACS nano,ACS Nano. 2022 Jul 26;16(7):10219-10230. doi: 10.1021/acsnano.2c01908. Epub 2022 ,"['Wang, Jie', 'Soto, Fernando', 'Ma, Peng', 'Ahmed, Rajib', 'Yang, Huaxiao', 'Chen, Sihan', 'Wang, Jibo', 'Liu, Chun', 'Akin, Demir', 'Fu, Kaiyu', 'Cao, Xu', 'Chen, Pu', 'Hsu, En-Chi', 'Soh, Hyongsok Tom', 'Stoyanova, Tanya', 'Wu, Joseph C', 'Demirci, Utkan']","[' myocytes, cardiac', ' robotics', 'tissue engineering', 'acoustics', 'acoustic', 'biorobot', 'cardiomyocyte', 'external stimuli', 'micro nano assembly']",Acoustic Fabrication of Living Cardiomyocyte-based Hybrid Biorobots.,"Organized assemblies of cells have demonstrated promise as bioinspired actuators and devices; still, the fabrication of such ""biorobots"" has predominantly relied on passive assembly methods that reduce design capabilities. To address this, we have developed a strategy for the rapid formation of functional biorobots composed of live cardiomyocytes. We employ tunable acoustic fields to facilitate the efficient aggregation of millions of cells into high-density macroscopic architectures with directed cell orientation and enhanced cell-cell interaction. These biorobots can perform actuation functions both through naturally occurring contraction-relaxation cycles and through external control with chemical and electrical stimuli. We demonstrate that these biorobots can be used to achieve controlled actuation of a soft skeleton and pumping of microparticles. The biocompatible acoustic assembly strategy described here should prove generally useful for cellular manipulation in the context of tissue engineering, soft robotics, and other applications."
2021 Jun 23,Nano letters,Nano Lett. 2021 Jun 23;21(12):5438-5446. doi: 10.1021/acs.nanolett.0c05049. Epub ,"['Lee, Hyekyung', 'Sohn, Seoyun', 'Alizadeh, Shima', 'Kwon, Soonhyun', 'Kim, Tae Jin', 'Park, Seung-Min', 'Soh, Hyongsok Tom', 'Mani, Ali', 'Kim, Sung Jae']","[' electrolytes', 'membranes', 'physical phenomena', 'electrokinetics', 'nonuniform arrays of microchannels', 'overlimiting current', 'perm-selective ion transportation', 'recirculating flow, anticrystallization']",Overlimiting Current in Nonuniform Arrays of Microchannels: Recirculating Flow and Anticrystallization.,"Overlimiting current (OLC) through electrolytes interfaced with perm-selective membranes has been extensively researched for understanding fundamental nano-electrokinetics and developing efficient engineering applications. This work studies how a network of microchannels in a nonuniform array, which mimics a natural pore configuration, can contribute to OLC. Here, micro/nanofluidic devices are fabricated with arrays of parallel microchannels with nonuniform size distributions, which are faced with a perm-selective membrane. All cases maintain the same surface and bulk conduction to allow probing of the sensitivity only by the nonuniformity. Rigorous experimental and theoretical investigation demonstrates that overlimiting conductance has a maximum value depending on the nonuniformity. Furthermore, in operando visualization reveals that the nonuniform arrays induce flow loops across the microchannel network enhancing advective transport. This recirculating flow eliminates local salt accumulations so that it can effectively suppress undesirable salt crystallization. Therefore, these results can significantly advance not only the fundamental understanding of the driving mechanism of the OLC but also the design rule of electrochemical membrane applications."
