time,journal,doi_info,authors,key words,title,abstract
2023 Sep 25,New biotechnology,N Biotechnol. 2023 Sep 25;76:13-22. doi: 10.1016/j.nbt.2023.04.003. Epub 2023 Apr ,"['Borhani, Shayan G', 'Levine, Max Z', 'Krumpe, Lauren H', 'Wilson, Jennifer', 'Henrich, Curtis J', ""O'Keefe, Barry R"", 'Lo, Donald C', 'Sittampalam, G Sitta', 'Godfrey, Alexander G', 'Lunsford, R Dwayne', 'Mangalampalli, Venkata', 'Tao, Dingyin', 'LeClair, Christopher A', 'Thole, Aaron P', 'Frey, Douglas', 'Swartz, James', 'Rao, Govind']","['humans', ' antiviral agents pharmacology therapeutic use', 'cell-free system', 'pandemics prevention & control', ' covid-19', 'sars-cov-2', 'antiviral griffithsin', 'cell-free protein synthesis (cfps)', 'distributed manufacturing', 'pandemic preparedness', 'sars-cov-2']",An approach to rapid distributed manufacturing of broad spectrum anti-viral griffithsin using cell-free systems to mitigate pandemics.,"This study describes the cell-free biomanufacturing of a broad-spectrum antiviral protein, griffithsin (GRFT) such that it can be produced in microgram quantities with consistent purity and potency in less than 24 h. We demonstrate GRFT production using two independent cell-free systems, one plant and one microbial. Griffithsin purity and quality were verified using standard regulatory metrics. Efficacy was demonstrated in vitro against SARS-CoV-2 and HIV-1 and was nearly identical to that of GRFT expressed in vivo. The proposed production process is efficient and can be readily scaled up and deployed wherever a viral pathogen might emerge. The current emergence of viral variants of SARS-CoV-2 has resulted in frequent updating of existing vaccines and loss of efficacy for front-line monoclonal antibody therapies. Proteins such as GRFT with its efficacious and broad virus neutralizing capability provide a compelling pandemic mitigation strategy to promptly suppress viral emergence at the source of an outbreak."
2022 Aug,Current opinion in biotechnology,Curr Opin Biotechnol. 2022 Aug;76:102719. doi: 10.1016/j.copbio.2022.102719. Epub ,"['Zawada, James F', 'Burgenson, David', 'Yin, Gang', 'Hallam, Trevor J', 'Swartz, James R', 'Kiss, Robert D']","['amino acids chemistry', ' biological products', 'cell-free system chemistry', 'humans', 'protein biosynthesis', 'proteins chemistry']",Cell-free technologies for biopharmaceutical research and production.,"Cell-free protein synthesis (CFPS) technologies have grown from lab-scale research tools to biopharmaceutical production at the Good Manufacturing Practice manufacturing scale. Multiple human clinical trials are in progress with CFPS-based products. In addition, applications of CFPS in research have continued to expand over the years and play an important role in biopharmaceutical product discovery and development. The unique, open nature of CFPS has enabled efficient non-natural amino acid (nnAA) incorporation into protein products, which expands the range of biotherapeutics that can be considered for novel treatments. The flexibility and speed of CFPS combined with novel nnAA capabilities are poised to open a new chapter in the continuing evolution of biotherapies."
2022 Apr,Current opinion in biotechnology,Curr Opin Biotechnol. 2022 Apr;74:211-219. doi: 10.1016/j.copbio.2021.11.011. ,"['Finkelstein, Joshua', 'Swartz, James', 'Koffas, Mattheos']","['electrodes', 'electron transport', ' electrons']",Bioelectrosynthesis systems.,"Bioelectrosynthesis (BES) systems exploit extracellular electron transport pathways to augment cellular metabolism. This strategy can be used to improve the economic viability of bio-based syntheses versus conventional methods, most notably petrochemical-based syntheses. It also has the potential to reduce the carbon footprint of biomanufacturing processes. Efficient channeling of cathode-derived electrons towards biosynthesis requires a better understanding of the biological mechanisms of electron transport as well as detailed evaluation of all aspects of process performance. More advanced solutions may deploy cell free systems that use ex situ generated reducing equivalents to improve economic performance."
2020 Jun,Metabolic engineering communications,Metab Eng Commun. 2019 Dec 4;10:e00113. doi: 10.1016/j.mec.2019.e00113. ,"['Horvath, Nicholas', 'Vilkhovoy, Michael', 'Wayman, Joseph A', 'Calhoun, Kara', 'Swartz, James', 'Varner, Jeffrey D']","['biochemical engineering', 'cell-free protein synthesis', 'kinetic modeling']",Toward a genome scale sequence specific dynamic model of cell-free protein synthesis in Escherichia coli.,"In this study, we developed a dynamic mathematical model of E. coli cell-free protein synthesis (CFPS). Model parameters were estimated from a dataset consisting of glucose, organic acids, energy species, amino acids, and protein product, chloramphenicol acetyltransferase (CAT) measurements. The model was successfully trained to simulate these measurements, especially those of the central carbon metabolism. We then used the trained model to evaluate the performance, e.g., the yield and rates of protein production. CAT was produced with an energy efficiency of 12%, suggesting that the process could be further optimized. Reaction group knockouts showed that protein productivity was most sensitive to the oxidative phosphorylation and glycolysis/gluconeogenesis pathways. Amino acid biosynthesis was also important for productivity, while overflow metabolism and TCA cycle affected the overall system state. In addition, translation was more important to productivity than transcription. Finally, CAT production was robust to allosteric control, as were most of the predicted metabolite concentrations; the exceptions to this were the concentrations of succinate and malate, and to a lesser extent pyruvate and acetate, which varied from the measured values when allosteric control was removed. This study is the first to use kinetic modeling to predict dynamic protein production in a cell-free E. coli system, and could provide a foundation for genome scale, dynamic modeling of cell-free E. coli protein synthesis."
2020 Apr,Current opinion in biotechnology,Curr Opin Biotechnol. 2020 Apr;62:248-255. doi: 10.1016/j.copbio.2020.03.002. ,"['Swartz, James']","[' biofuels', 'biotechnology', 'hydrogen', ' hydrogenase genetics']",Opportunities toward hydrogen production biotechnologies.,"Hydrogen is already a major commodity and process intermediate for fertilizer production, petroleum processing, and chemical synthesis. It also offers unrealized potential for energy storage. While biological production offers an expandable and sustainable source, enthusiasm has been dampened by slow research progress. Also, the very low cost of natural gas (the major current hydrogen source) imposes severe economic challenges. This discussion describes process, metabolic, and protein engineering opportunities toward cost-effective biohydrogen production. Recent progress in hydrogenase engineering and photosynthetic bacterial research now suggests a favorable risk versus reward opportunity. Although the risks are still significant, successful technologies would provide important components in an integrated energy portfolio that enables global sustainability."
2018 Nov,Metabolic engineering,Metab Eng. 2018 Nov;50:156-172. doi: 10.1016/j.ymben.2018.09.011. Epub 2018 Oct ,"['Swartz, James R']","['metabolic engineering  methods  trends', 'cell-free metabolic engineering', 'cell-free protein synthesis']",Expanding biological applications using cell-free metabolic engineering: An overview.,"Expanding the concept of cell-free biology, implemented both with purified components and crude extracts, is continuing to deepen our appreciation of biological fundamentals while enlarging the range of applications. We are no longer intimidated by the complexity of crude extracts and complicated reaction systems with hundreds of active components, and, instead, coordinately activate and inactivate metabolic processes to focus and expand the capabilities of natural biological processes. This, in turn, dramatically increases the range of benefits offered by new products, both natural and supernatural, that were previously infeasible and/or unimaginable. This overview of cell-free metabolic engineering provides a broad range of examples and insights to guide and motivate continued research that will further expand fundamental understanding and beneficial applications. However, this survey also reveals how far we are from fully unlocking the potential offered by natural and engineered biological components and systems. This is an exciting conclusion, but metabolic engineering by itself is not sufficient. Going forward, innovative metabolic engineering must be intimately combined with creative process engineering to fully realize potential contributions toward a sustainable global civilization."
2018 Sep,Metabolic engineering,Metab Eng. 2018 Sep;49:21-27. doi: 10.1016/j.ymben.2018.04.024. Epub 2018 Jul 4.,"['Koo, Jamin', 'Swartz, James R']","['bacterial proteins  chemistry genetics', ' bioreactors', 'hydrogen  chemistry', 'hydrogenase  chemistry genetics', ' oryza enzymology genetics', 'oxygen  chemistry', ' photosynthesis', 'plant proteins  chemistry', 'recombinant proteins  chemistry genetics', ' synechocystis enzymology genetics', 'biofuel', 'hydrogen', 'o(2) tolerance', 'renewable energy', '[fefe] hydrogenase']",System analysis and improved [FeFe] hydrogenase O(2) tolerance suggest feasibility for photosynthetic H(2) production.,"Photosynthetic H(2) production has been a compelling but elusive objective. Here we describe how coordinated bioreactor, metabolic pathway, and protein engineering now suggest feasibility for the sustainable, solar-powered production of a storable fuel to complement our expanding photovoltaic and wind based capacities. The need to contain and harvest the gaseous products provides decisive solar bioreactor design advantages by limiting O(2) exposure to prolific, but O(2)-sensitive H(2) producing enzymes-[FeFe] hydrogenases. CO(2) supply and cell growth can also be limited so that most of the photosynthetic reduction capacity is directed toward H(2) production. Yet, natural [FeFe] hydrogenases are still too O(2) sensitive for technology implementation. We report the discovery of new variants and a new O(2) tolerance mechanism that significantly reduce the sensitivity to O(2) exposure without lowering H(2) production rates or losing electrons to O(2) reduction. Testing the improved hydrogenases with a biologically derived, light-dependent electron source provides evidence that this game changing technology has the potential for sustainable large-scale fuel production."
2018 Aug 17,ACS synthetic biology,ACS Synth Biol. 2018 Aug 17;7(8):1844-1857. doi: 10.1021/acssynbio.7b00465. Epub ,"['Vilkhovoy, Michael', 'Horvath, Nicholas', 'Shih, Che-Hsiao', 'Wayman, Joseph A', 'Calhoun, Kara', 'Swartz, James', 'Varner, Jeffrey D']","['escherichia coli  genetics', 'glycolysis genetics', 'oxidative phosphorylation', 'protein biosynthesis genetics']",Sequence Specific Modeling of E. coli Cell-Free Protein Synthesis.,"Cell-free protein synthesis (CFPS) is a widely used research tool in systems and synthetic biology. However, if CFPS is to become a mainstream technology for applications such as point of care manufacturing, we must understand the performance limits and costs of these systems. Toward this question, we used sequence specific constraint based modeling to evaluate the performance of E. coli cell-free protein synthesis. A core E. coli metabolic network, describing glycolysis, the pentose phosphate pathway, energy metabolism, amino acid biosynthesis, and degradation was augmented with sequence specific descriptions of transcription and translation and effective models of promoter function. Model parameters were largely taken from literature; thus the constraint based approach coupled the transcription and translation of the protein product, and the regulation of gene expression, with the availability of metabolic resources using only a limited number of adjustable model parameters. We tested this approach by simulating the expression of two model proteins: chloramphenicol acetyltransferase and dual emission green fluorescent protein, for which we have data sets; we then expanded the simulations to a range of additional proteins. Protein expression simulations were consistent with measurements for a variety of cases. The constraint based simulations confirmed that oxidative phosphorylation was active in the CAT cell-free extract, as without it there was no feasible solution within the experimental constraints of the system. We then compared the metabolism of theoretically optimal and experimentally constrained CFPS reactions, and developed parameter free correlations which could be used to estimate productivity as a function of carbon number and promoter type. Lastly, global sensitivity analysis identified the key metabolic processes that controlled CFPS productivity and energy efficiency. In summary, sequence specific constraint based modeling of CFPS offered a novel means to a priori estimate the performance of a cell-free system, using only a limited number of adjustable parameters. While we modeled the production of a single protein in this study, the approach could easily be extended to multiprotein synthetic circuits, RNA circuits, or the cell-free production of small molecule products."
2018 Jan 30,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2018 Jan 30;115(5):E925-E933. doi: ,"['Jalili, Roxana', 'Horecka, Joe', 'Swartz, James R', 'Davis, Ronald W', 'Persson, Henrik H J']","['antibodies  chemistry', 'antibody affinity', 'biomarkers  chemistry', 'blood proteins  chemistry', 'dna, single-stranded chemistry', 'dose-response relationship, drug', 'humans', 'immunoassay', 'oligonucleotides', 'phosphorylation', 'polymerase chain reaction', 'protein binding', 'protein interaction mapping  methods', 'proteomics', 'reproducibility of results', 'antibody affinity', 'immuno-pcr', 'kinetic analysis', 'proximity ligation assay', 'qpcr']",Streamlined circular proximity ligation assay provides high stringency and compatibility with low-affinity antibodies.,"Proximity ligation assay (PLA) is a powerful tool for quantitative detection of protein biomarkers in biological fluids and tissues. Here, we present the circular proximity ligation assay (c-PLA), a highly specific protein detection method that outperforms traditional PLA in stringency, ease of use, and compatibility with low-affinity reagents. In c-PLA, two proximity probes bind to an analyte, providing a scaffolding that positions two free oligonucleotides such that they can be ligated into a circular DNA molecule. This assay format stabilizes antigen proximity probe complexes and enhances stringency by reducing the probability of random background ligation events. Circle formation also increases selectivity, since the uncircularized DNA can be removed enzymatically. We compare this method with traditional PLA on several biomarkers and show that the higher stringency for c-PLA improves reproducibility and enhances sensitivity in both buffer and human plasma. The limit of detection ranges from femtomolar to nanomolar concentrations for both methods. Kinetic analyses using surface plasmon resonance (SPR) and biolayer interferometry (BLI) reveal that the variation in limit of detection is due to the variation in antibody affinity and that c-PLA outperforms traditional PLA for low-affinity antibodies. The lower background signal can be used to increase proximity probe concentration while maintaining a high signal-to-noise ratio, thereby enabling the use of low-affinity reagents in a homogeneous assay format. We anticipate that the advantages of c-PLA will be useful in a variety of clinical protein detection applications where high-affinity reagents are lacking."
2017 Mar,Bioengineering & translational medicine,Bioeng Transl Med. 2017 Jan 19;2(1):43-57. doi: 10.1002/btm2.10049. eCollection ,"['Rohovie, Marcus J', 'Nagasawa, Maya', 'Swartz, James R']","['nanoparticle', 'protein engineering', 'targeted delivery', 'therapeutics', 'virus‐like particle']",Virus-like particles: Next-generation nanoparticles for targeted therapeutic delivery.,"Most drug therapies distribute the agents throughout the entire body, even though the drugs are typically only needed at specific tissues. This often limits dosage and causes discomfort and harmful side-effects. Significant research has examined nanoparticles (NPs) for use as targeted delivery vehicles for therapeutic cargo, however, major clinical success has been limited. Current work focuses mainly on liposomal and polymer-based NPs, but emerging research is exploring the engineering of viral capsids as noninfectious protein-based NPs-termed virus-like particles (VLPs). This review covers the research that has been performed thus far and outlines the potential for these VLPs to become highly effective delivery vehicles that overcome the many challenges encountered for targeted delivery of therapeutic cargo."
