time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Circulation. Arrhythmia and electrophysiology,Circ Arrhythm Electrophysiol. 2024 Jun;17(6):e012577. doi: ,"['Baykaner, Tina', 'Greif, Shana', 'Vajapey, Ramya S', 'Albert, Christine M', 'Aziz, Zaid', 'Badhwar, Nitish', 'Bunch, T Jared', 'Cheung, Jim W', 'Chrispin, Jonathan', 'Chung, Mina K', 'Clopton, Paul', 'Cooper, Daniel H', 'Cooper, Joshua M', 'Costea, Alexandru', 'Huang, Henry D', 'Hurwitz, Jodie L', 'Jankelson, Lior', 'Kapoor, Ridhima', 'Kroman, Anne', 'Latchamsetty, Rakesh', 'Liang, Jackson J', 'Mansour, Moussa', 'Marrouche, Nassir F', 'Merchant, Faisal M', 'Miller, John M', 'Mountantonakis, Stavros', 'Piccini, Jonathan P', 'Russo, Andrea M', 'Steinberg, Benjamin A', 'Tedrow, Usha', 'Tzou, Wendy S', 'Wan, Elaine Y', 'Wang, Paul J', 'Han, Janet K']","['female', 'humans', 'male', ' cardiac electrophysiology education', 'cardiologists education', 'career choice', 'education, medical, graduate', 'electrophysiologic techniques, cardiac', 'internship and residency', 'mentors', ' physicians, women', 'education', 'electrophysiology', 'hospitals', 'leadership', 'women']",Women Trainees in Electrophysiology and the Effect of Role Models.,
2024 Mar 13,American journal of ophthalmology,Am J Ophthalmol. 2024 Mar 13;264:216-223. doi: 10.1016/j.ajo.2024.02.030.,"['Justin, Grant A', 'Huang, Charles', 'Nguyen, Michael K', 'Lee, Jessica', 'Seddon, Ian', 'Wesley, Treven A', 'Bakri, Sophie J', 'Peter Campbell, J', 'Cavuoto, Kara', 'Collins, Megan', 'Gedde, Steven J', 'Kossler, Andrea L', 'Milman, Tatyana', 'Shukla, Aakriti', 'Sridhar, Jayanth', 'Syed, Zeba A', 'Williams, Jr Basil K', 'Woreta, Fasika A', 'Patel, Samir N', 'Yonekawa, Yoshihiro']",[],An Analysis of Solicitations From Predatory Journals in Ophthalmology.,"PURPOSE: To evaluate trends associated with email communication from potentially predatory publishers to faculty in ophthalmology. DESIGN: Cross-sectional study METHODS: Ophthalmologists (n = 14) from various subspecialties and institutions were recruited to participate. Participants identified unsolicited emails that they had received originating from publishers in May 2021. Information collected included details on email contents and publisher organizations. Trends in communications from predatory publishers were evaluated. RESULTS: Over a 30-day study period, a total of 1813 emails were received from 383 unique publishers and 696 unique journals, with a mean (SD) of 4.73 (2.46) emails received per day per participant. Of the 1813 emails identified, 242 (13%) emails were invitations to conferences, whereas 1440 (80%) were solicitations for article submissions to open-access, pay-to-publish journals. A total of 522 (29.0%) emails were related to ophthalmology, and reference to a prior publication of the participant occurred in 262 emails (14%). Of the 696 unique journals identified, 174 (25%) journals were indexed on PubMed and 426 (61%) were listed on Beall's list. When comparing journals that were listed on PubMed vs those that were not, PubMed indexed journals had a higher impact factor (2.1 vs 1.5, P = .002), were less likely to use ""greetings"" (76% vs 91%, P < .001), had fewer spelling/grammar errors (40% vs 51%, P = .01), and were less likely to offer rapid publication (16% vs 25%, P = .02). CONCLUSIONS: Unsolicited requests to publish occur frequently and may diminish the quality of the scientific literature. We encourage individuals in ophthalmology to be aware of these trends in predatory publishing."
2023 Dec 12,Immunity,Immunity. 2023 Dec 12;56(12):2699-2718.e11. doi: 10.1016/j.immuni.2023.11.005.,"['Beltra, Jean-Christophe', 'Abdel-Hakeem, Mohamed S', 'Manne, Sasikanth', 'Zhang, Zhen', 'Huang, Hua', 'Kurachi, Makoto', 'Su, Leon', 'Picton, Lora', 'Ngiow, Shin Foong', 'Muroyama, Yuki', 'Casella, Valentina', 'Huang, Yinghui J', 'Giles, Josephine R', 'Mathew, Divij', 'Belman, Jonathan', 'Klapholz, Max', 'Decaluwe, Hélène', 'Huang, Alexander C', 'Berger, Shelley L', 'Garcia, K Christopher', 'Wherry, E John']","[' cd8-positive t-lymphocytes', ' transcription factors genetics', 'interleukin-2', 'gene expression regulation', 'programmed cell death 1 receptor metabolism', 'cd8(+) t\xa0cell', 'il-2', 'pd-1 blockade', 'stat5', 'tex intermediate', 'tox', 'epigenetic reprogramming', 'exhaustion', 'orthogonal il-2:il2rβ']",Stat5 opposes the transcription factor Tox and rewires exhausted CD8(+) T cells toward durable effector-like states during chronic antigen exposure.,"Rewiring exhausted CD8(+) T (Tex) cells toward functional states remains a therapeutic challenge. Tex cells are epigenetically programmed by the transcription factor Tox. However, epigenetic remodeling occurs as Tex cells transition from progenitor (Tex(prog)) to intermediate (Tex(int)) and terminal (Tex(term)) subsets, suggesting development flexibility. We examined epigenetic transitions between Tex cell subsets and revealed a reciprocally antagonistic circuit between Stat5a and Tox. Stat5 directed Tex(int) cell formation and re-instigated partial effector biology during this Tex(prog)-to-Tex(int) cell transition. Constitutive Stat5a activity antagonized Tox and rewired CD8(+) T cells from exhaustion to a durable effector and/or natural killer (NK)-like state with superior anti-tumor potential. Temporal induction of Stat5 activity in Tex cells using an orthogonal IL-2:IL2Rβ-pair fostered Tex(int) cell accumulation, particularly upon PD-L1 blockade. Re-engaging Stat5 also partially reprogrammed the epigenetic landscape of exhaustion and restored polyfunctionality. These data highlight therapeutic opportunities of manipulating the IL-2-Stat5 axis to rewire Tex cells toward more durably protective states."
2023 Mar,Circulation. Arrhythmia and electrophysiology,Circ Arrhythm Electrophysiol. 2023 Mar;16(3):e011387. doi: ,"['Gao, Jingshan', 'Makiyama, Takeru', 'Yamamoto, Yuta', 'Kobayashi, Takuya', 'Aoki, Hisaaki', 'Maurissen, Thomas L', 'Wuriyanghai, Yimin', 'Kashiwa, Asami', 'Imamura, Tomohiko', 'Aizawa, Takanori', 'Huang, Hai', 'Kohjitani, Hirohiko', 'Nishikawa, Misato', 'Chonabayashi, Kazuhisa', 'Fukuyama, Megumi', 'Manabe, Hiromi', 'Nakau, Kouichi', 'Wada, Tsutomu', 'Kato, Koichi', 'Toyoda, Futoshi', 'Yoshida, Yoshinori', 'Makita, Naomasa', 'Woltjen, Knut', 'Ohno, Seiko', 'Kurebayashi, Nagomi', 'Murayama, Takashi', 'Sakurai, Takashi', 'Horie, Minoru', 'Kimura, Takeshi']","['humans', 'calmodulin genetics metabolism', 'myocytes, cardiac metabolism', ' induced pluripotent stem cells metabolism', 'ryanodine receptor calcium release channel genetics metabolism', ' tachycardia, ventricular metabolism', 'arrhythmias, cardiac', ' long qt syndrome genetics metabolism', 'calcium metabolism', 'mutation', 'arrhythmias', 'calmodulin', 'gene editing', 'induced pluripotent stem cells', 'ryanodine receptor calcium release channel', 'sarcoplasmic reticulum', 'ventricular tachycardia']",Novel Calmodulin Variant p.E46K Associated With Severe Catecholaminergic Polymorphic Ventricular Tachycardia Produces Robust Arrhythmogenicity in Human Induced Pluripotent Stem Cell-Derived Cardiomyocytes.,
2023 Jan,Applied clinical informatics,Appl Clin Inform. 2023 Jan;14(1):164-171. doi: 10.1055/a-2000-7590. Epub 2022 Dec ,"['Arvisais-Anhalt, Simone', 'Ravi, Akshay', 'Weia, Benjamin', 'Aarts, Jos', 'Ahmad, Hasan B', 'Araj, Ellen', 'Bauml, Julie A', 'Benham-Hutchins, Marge', 'Boyd, Andrew D', 'Brecht-Doscher, Aimee', 'Butler-Henderson, Kerryn', 'Butte, Atul J', 'Cardilo, Anthony B', 'Chilukuri, Nymisha', 'Cho, Mildred K', 'Cohen, Jenny K', 'Craven, Catherine K', 'Crusco, Salvatore', 'Dadabhoy, Farah', 'Dash, Dev', 'DeBolt, Claire', 'Elkin, Peter L', 'Fayanju, Oluseyi A', 'Fochtmann, Laura J', 'Graham, Justin V', 'Hanna, John J', 'Hersh, William', 'Hofford, Mackenzie R', 'Hron, Jonathan D', 'Huang, Sean S', 'Jackson, Brian R', 'Kaplan, Bonnie', 'Kelly, William', 'Ko, Kyungmin', 'Koppel, Ross', 'Kurapati, Nikhil', 'Labbad, Gabriel', 'Lee, Julie J', 'Lehmann, Christoph U', 'Leitner, Stefano', 'Liao, Zachary C', 'Medford, Richard J', 'Melnick, Edward R', 'Muniyappa, Anoop N', 'Murray, Sara G', 'Neinstein, Aaron Barak', 'Nichols-Johnson, Victoria', 'Novak, Laurie Lovett', 'Ogan, William Scott', 'Ozeran, Larry', 'Pageler, Natalie M', 'Pandita, Deepti', 'Perumbeti, Ajay', 'Petersen, Carolyn', 'Pierce, Logan', 'Puttagunta, Raghuveer', 'Ramaswamy, Priya', 'Rogers, Kendall M', 'Rosenbloom, S Trent', 'Ryan, Angela', 'Saleh, Sameh', 'Sarabu, Chethan', 'Schreiber, Richard', 'Shaw, Kate A', 'Sim, Ida', 'Sirintrapun, S Joseph', 'Solomonides, Anthony', 'Spector, Jacob D', 'Starren, Justin B', 'Stoffel, Michelle', 'Subbian, Vignesh', 'Swanson, Karl', 'Tomes, Adrian', 'Trang, Karen', 'Unertl, Kim M', 'Weon, Jenny L', 'Whooley, Mary A', 'Wiley, Kevin', 'Williamson, Drew F K', 'Winkelstein, Peter', 'Wong, Jenson', 'Xie, James', 'Yarahuan, Julia K W', 'Yung, Nathan', 'Zera, Chloe', 'Ratanawongsa, Neda', 'Sadasivaiah, Shobha']","['humans', 'female', ' neurology', ""women's health""]",Paging the Clinical Informatics Community: Respond STAT to Dobbs v. Jackson's Women's Health Organization.,
2022 Sep 6,Circulation,Circulation. 2022 Sep 6;146(10):770-787. doi: 10.1161/CIRCULATIONAHA.121.057620. ,"['Zhu, Lili', 'Choudhary, Krishna', 'Gonzalez-Teran, Barbara', 'Ang, Yen-Sin', 'Thomas, Reuben', 'Stone, Nicole R', 'Liu, Lei', 'Zhou, Ping', 'Zhu, Chenchen', 'Ruan, Hongmei', 'Huang, Yu', 'Jin, Shibo', 'Pelonero, Angelo', 'Koback, Frances', 'Padmanabhan, Arun', 'Sadagopan, Nandhini', 'Hsu, Austin', 'Costa, Mauro W', 'Gifford, Casey A', 'van Bemmel, Joke G', 'Hüttenhain, Ruth', 'Vedantham, Vasanth', 'Conklin, Bruce R', 'Black, Brian L', 'Bruneau, Benoit G', 'Steinmetz, Lars', 'Krogan, Nevan J', 'Pollard, Katherine S', 'Srivastava, Deepak']","['alternative splicing', 'animals', ' gata4 transcription factor genetics metabolism', 'heart', 'humans', ' induced pluripotent stem cells metabolism', 'mice', 'myocytes, cardiac metabolism', 'rna genetics metabolism', 'gata4 transcription factor', 'rna splicing', 'rna-binding motifs', 'induced pluripotent stem cells', 'myocytes, cardiac']",Transcription Factor GATA4 Regulates Cell Type-Specific Splicing Through Direct Interaction With RNA in Human Induced Pluripotent Stem Cell-Derived Cardiac Progenitors.,
2022 May,"Arteriosclerosis, thrombosis, and vascular biology",Arterioscler Thromb Vasc Biol. 2022 May;42(5):659-676. doi: ,"['Rykaczewska, Urszula', 'Zhao, Quanyi', 'Saliba-Gustafsson, Peter', 'Lengquist, Mariette', 'Kronqvist, Malin', 'Bergman, Otto', 'Huang, Zhiqiang', 'Lund, Kent', 'Waden, Katarina', 'Pons Vila, Zara', 'Caidahl, Kenneth', 'Skogsberg, Josefin', 'Vukojevic, Vladana', 'Lindeman, Jan H N', 'Roy, Joy', 'Hansson, Göran K', 'Treuter, Eckardt', 'Leeper, Nicholas J', 'Eriksson, Per', 'Ehrenborg, Ewa', 'Razuvaev, Anton', 'Hedin, Ulf', 'Matic, Ljubica']","['animals', ' atherosclerosis diagnostic imaging genetics metabolism', 'cell transdifferentiation', 'humans', 'lipids', 'mice', 'myocytes, smooth muscle metabolism', ' plaque, atherosclerotic pathology', 'proto-oncogene proteins c-bcl-2 metabolism', 'repressor proteins genetics  metabolism', 'transcriptome', 'tumor suppressor proteins genetics', 'ultrasonography', 'atherosclerosis', 'endarterectomy, carotid', 'humans', 'mitogens', 'transcriptome']",Plaque Evaluation by Ultrasound and Transcriptomics Reveals BCLAF1 as a Regulator of Smooth Muscle Cell Lipid Transdifferentiation in Atherosclerosis.,"BACKGROUND: Understanding the processes behind carotid plaque instability is necessary to develop methods for identification of patients and lesions with stroke risk. Here, we investigated molecular signatures in human plaques stratified by echogenicity as assessed by duplex ultrasound. METHODS: Lesion echogenicity was correlated to microarray gene expression profiles from carotid endarterectomies (n=96). The findings were extended into studies of human and mouse atherosclerotic lesions in situ, followed by functional investigations in vitro in human carotid smooth muscle cells (SMCs). RESULTS: Pathway analyses highlighted muscle differentiation, iron homeostasis, calcification, matrix organization, cell survival balance, and BCLAF1 (BCL2 [B-cell lymphoma 2]-associated transcription factor 1) as the most significant signatures. BCLAF1 was downregulated in echolucent plaques, positively correlated to proliferation and negatively to apoptosis. By immunohistochemistry, BCLAF1 was found in normal medial SMCs. It was repressed early during atherogenesis but reappeared in CD68+ cells in advanced plaques and interacted with BCL2 by proximity ligation assay. In cultured SMCs, BCLAF1 was induced by differentiation factors and mitogens and suppressed by macrophage-conditioned medium. BCLAF1 silencing led to downregulation of BCL2 and SMC markers, reduced proliferation, and increased apoptosis. Transdifferentiation of SMCs by oxLDL (oxidized low-denisty lipoprotein) was accompanied by upregulation of BCLAF1, CD36, and CD68, while oxLDL exposure with BCLAF1 silencing preserved MYH (myosin heavy chain) 11 expression and prevented transdifferentiation. BCLAF1 was associated with expression of cell differentiation, contractility, viability, and inflammatory genes, as well as the scavenger receptors CD36 and CD68. BCLAF1 expression in CD68+/BCL2+ cells of SMC origin was verified in plaques from MYH11 lineage-tracing atherosclerotic mice. Moreover, BCLAF1 downregulation associated with vulnerability parameters and cardiovascular risk in patients with carotid atherosclerosis. CONCLUSIONS: Plaque echogenicity correlated with enrichment of distinct molecular pathways and identified BCLAF1, previously not described in atherosclerosis, as the most significant gene. Functionally, BCLAF1 seems necessary for survival and transdifferentiation of SMCs into a macrophage-like phenotype. The role of BCLAF1 in plaque vulnerability should be further evaluated."
2022 Mar 22,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2022 Mar 22;119(12):e2117401119. doi: ,"['Ren, Junming', 'Chu, Alexander E', 'Jude, Kevin M', 'Picton, Lora K', 'Kare, Aris J', 'Su, Leon', 'Montano Romero, Alejandra', 'Huang, Po-Ssu', 'Garcia, K Christopher']","['computational biology methods', ' interleukin-2 genetics', 'protein engineering methods', ' proteins metabolism', 'saccharomyces cerevisiae metabolism', 'immunology', 'in silico design', 'protein engineering', 'structural biology']",Interleukin-2 superkines by computational design.,"Affinity maturation of protein–protein interactions is an important approach in the development of therapeutic proteins such as cytokines. Typical experimental strategies involve targeting the cytokine-receptor interface with combinatorial libraries and then selecting for higher-affinity variants. Mutations to the binding scaffold are usually not considered main drivers for improved affinity. Here we demonstrate that computational design can provide affinity-enhanced variants of interleukin-2 (IL-2) “out of the box” without any requirement for interface engineering. Using a strategy of global IL-2 structural stabilization targeting metastable regions of the three-dimensional structure, rather than the receptor binding interfaces, we computationally designed thermostable IL-2 variants with up to 40-fold higher affinity for IL-2Rβ without any library-based optimization. These IL-2 analogs exhibited CD25-independent activities on T and natural killer (NK) cells both in vitro and in vivo, mimicking the properties of the IL-2 superkine “super-2” that was engineered through yeast surface display [A. M. Levin et al., Nature, 484, 529–533 (2012)]. Structure-guided stabilization of cytokines is a powerful approach to affinity maturation with applications to many cytokine and protein–protein interactions."
2022 May,The lancet. Gastroenterology & hepatology,Lancet Gastroenterol Hepatol. 2022 May;7(5):388-390. doi: ,"['Méndez-Sánchez, Nahum', 'Bugianesi, Elisabetta', 'Gish, Robert G', 'Lammert, Frank', 'Tilg, Herbert', 'Nguyen, Mindie H', 'Sarin, Shiv K', 'Fabrellas, Núria', 'Zelber-Sagi, Shira', 'Fan, Jian-Gao', 'Shiha, Gamal', 'Targher, Giovanni', 'Zheng, Ming-Hua', 'Chan, Wah-Kheong', 'Vinker, Shlomo', 'Kawaguchi, Takumi', 'Castera, Laurent', 'Yilmaz, Yusuf', 'Korenjak, Marko', 'Spearman, C Wendy', 'Ungan, Mehmet', 'Palmer, Melissa', 'El-Shabrawi, Mortada', 'Gruss, Hans-Juergen', 'Dufour, Jean-François', 'Dhawan, Anil', 'Wedemeyer, Heiner', 'George, Jacob', 'Valenti, Luca', 'Fouad, Yasser', 'Romero-Gomez, Manuel', 'Eslam, Mohammed']","['humans', ' non-alcoholic fatty liver disease']",Global multi-stakeholder endorsement of the MAFLD definition.,
2021 Nov 4,The New England journal of medicine,N Engl J Med. 2021 Nov 4;385(19):1774-1785. doi: 10.1056/NEJMoa2113017. Epub 2021 ,"['El Sahly, Hana M', 'Baden, Lindsey R', 'Essink, Brandon', 'Doblecki-Lewis, Susanne', 'Martin, Judith M', 'Anderson, Evan J', 'Campbell, Thomas B', 'Clark, Jesse', 'Jackson, Lisa A', 'Fichtenbaum, Carl J', 'Zervos, Marcus', 'Rankin, Bruce', 'Eder, Frank', 'Feldman, Gregory', 'Kennelly, Christina', 'Han-Conrad, Laurie', 'Levin, Michael', 'Neuzil, Kathleen M', 'Corey, Lawrence', 'Gilbert, Peter', 'Janes, Holly', 'Follmann, Dean', 'Marovich, Mary', 'Polakowski, Laura', 'Mascola, John R', 'Ledgerwood, Julie E', 'Graham, Barney S', 'August, Allison', 'Clouting, Heather', 'Deng, Weiping', 'Han, Shu', 'Leav, Brett', 'Manzo, Deb', 'Pajon, Rolando', 'Schödel, Florian', 'Tomassini, Joanne E', 'Zhou, Honghong', 'Miller, Jacqueline']","['2019-ncov vaccine mrna-1273', 'adolescent', 'adult', 'aged', 'covid-19 epidemiology  prevention & control', 'covid-19 vaccines adverse effects  immunology', 'follow-up studies', 'humans', 'immunization, secondary', ' immunogenicity, vaccine', 'incidence', 'intention to treat analysis', 'male', 'middle aged', 'patient acuity', 'single-blind method', 'treatment outcome', 'young adult']",Efficacy of the mRNA-1273 SARS-CoV-2 Vaccine at Completion of Blinded Phase.,"BACKGROUND: At interim analysis in a phase 3, observer-blinded, placebo-controlled clinical trial, the mRNA-1273 vaccine showed 94.1% efficacy in preventing coronavirus disease 2019 (Covid-19). After emergency use of the vaccine was authorized, the protocol was amended to include an open-label phase. Final analyses of efficacy and safety data from the blinded phase of the trial are reported. METHODS: We enrolled volunteers who were at high risk for Covid-19 or its complications; participants were randomly assigned in a 1:1 ratio to receive two intramuscular injections of mRNA-1273 (100 μg) or placebo, 28 days apart, at 99 centers across the United States. The primary end point was prevention of Covid-19 illness with onset at least 14 days after the second injection in participants who had not previously been infected with the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The data cutoff date was March 26, 2021. RESULTS: The trial enrolled 30,415 participants; 15,209 were assigned to receive the mRNA-1273 vaccine, and 15,206 to receive placebo. More than 96% of participants received both injections, 2.3% had evidence of SARS-CoV-2 infection at baseline, and the median follow-up was 5.3 months in the blinded phase. Vaccine efficacy in preventing Covid-19 illness was 93.2% (95% confidence interval ["
