time,journal,doi_info,authors,key words,title,abstract
2024 May 16,Medical physics,Med Phys. 2024 May 16. doi: 10.1002/mp.17122.,"['Grönberg, Fredrik', 'Yin, Zhye', 'Maltz, Jonathan S', 'Pelc, Norbert J', 'Persson, Mats']","['compton scatter', 'photon‐counting', 'photon‐counting ct', 'silicon detector', 'x‐ray detector']",The effects of intra-detector Compton scatter on low-frequency DQE for photon-counting CT using edge-on-irradiated silicon detectors.,"BACKGROUND: Edge-on-irradiated silicon detectors are currently being investigated for use in full-body photon-counting computed tomography (CT) applications. The low atomic number of silicon leads to a significant number of incident photons being Compton scattered in the detector, depositing a part of their energy and potentially being counted multiple times. Even though the physics of Compton scatter is well established, the effects of Compton interactions in the detector on image quality for an edge-on-irradiated silicon detector have still not been thoroughly investigated. PURPOSE: To investigate and explain effects of Compton scatter on low-frequency detective quantum efficiency (DQE) for photon-counting CT using edge-on-irradiated silicon detectors. METHODS: We extend an existing Monte Carlo model of an edge-on-irradiated silicon detector with 60 mm active absorption depth, previously used to evaluate spatial-frequency-based performance, to develop projection and image domain performance metrics for pure density and pure spectral imaging tasks with 30 and 40 cm water backgrounds. We show that the lowest energy threshold of the detector can be used as an effective discriminator of primary counts and cross-talk caused by Compton scatter. We study the developed metrics as functions of the lowest threshold energy for root-mean-square electronic noise levels of 0.8, 1.6, and 3.2 keV, where the intermediate level 1.6 keV corresponds to the noise level previously measured on a single sensor element in isolation. We also compare the performance of a modeled detector with 8, 4, and 2 optimized energy bins to a detector with 1-keV-wide bins. RESULTS: In terms of low-frequency DQE for density imaging, there is a tradeoff between using a threshold low enough to capture Compton interactions and avoiding electronic noise counts. For 30 cm water phantom, 4 energy bins, and a root-mean-square electronic noise of 0.8, 1.6, and 3.2 keV, it is optimal to put the lowest energy threshold at 3, 6, and 1 keV, which gives optimal projection-domain DQEs of 0.64, 0.59, and 0.52, respectively. Low-frequency DQE for spectral imaging also benefits from measuring Compton interactions with respective optimal thresholds of 12, 12, and 13 keV. No large dependence on background thickness was observed. For the intermediate noise level (1.6 keV), increasing the lowest threshold from 5 to 35 keV increases the variance in a iodine basis image by 60%-62% (30 cm phantom) and 67%-69% (40 cm phantom), with 8 bins. Both spectral and density DQE are adversely affected by increasing the electronic noise level. Image-domain DQE exhibits similar qualitative behavior as projection-domain DQE. CONCLUSIONS: Compton interactions contribute significantly to the density imaging performance of edge-on-irradiated silicon detectors. With the studied detector topology, the benefit of counting primary Compton interactions outweighs the penalty of multiple counting at all lowest threshold energies. Compton interactions also contribute significantly to the spectral imaging performance for measured energies above 10 keV."
2024 Jan,Medical physics,Med Phys. 2024 Jan;51(1):224-238. doi: 10.1002/mp.16590. Epub 2023 Jul 3.,"['Yang, Yirong', 'Wang, Sen', 'Pal, Debashish', 'Yin, Zhye', 'Pelc, Norbert J', 'Wang, Adam S']","['x-rays', ' cadmium compounds', 'silicon', 'tellurium', ' quantum dots', 'photons', 'phantoms, imaging', 'cramér-rao lower bound', 'bin compression', 'energy weighting', 'material decomposition', 'photon counting detector']",Empirical optimization of energy bin weights for compressing measurements with realistic photon counting x-ray detectors.,"BACKGROUND: Photon counting detectors (PCDs) provide higher spatial resolution, improved contrast-to-noise ratio (CNR), and energy discriminating capabilities. However, the greatly increased amount of projection data in photon counting computed tomography (PCCT) systems becomes challenging to transmit through the slip ring, process, and store. PURPOSE: This study proposes and evaluates an empirical optimization algorithm to obtain optimal energy weights for energy bin data compression. This algorithm is universally applicable to spectral imaging tasks including 2 and 3 material decomposition (MD) tasks and virtual monoenergetic images (VMIs). This method is simple to implement while preserving spectral information for the full range of object thicknesses and is applicable to different PCDs, for example, silicon detectors and CdTe detectors. METHODS: We used realistic detector energy response models to simulate the spectral response of different PCDs and an empirical calibration method to fit a semi-empirical forward model for each PCD. We numerically optimized the optimal energy weights by minimizing the average relative Cramér-Rao lower bound (CRLB) due to the energy-weighted bin compression, for MD and VMI tasks over a range of material area density ρA,m (0-40 g/cm(2) water, 0-2.16 g/cm(2) calcium). We used Monte Carlo simulation of a step wedge phantom and an anthropomorphic head phantom to evaluate the performance of this energy bin compression method in the projection domain and image domain, respectively. RESULTS: The results show that for 2 MD, the energy bin compression method can reduce PCCT data size by 75% and 60%, with an average variance penalty of less than 17% and 3% for silicon and CdTe detectors, respectively. For 3 MD tasks with a K-edge material (iodine), this method can reduce the data size by 62.5% and 40% with an average variance penalty of less than 12% and 13% for silicon and CdTe detectors, respectively. CONCLUSIONS: We proposed an energy bin compression method that is broadly applicable to different PCCT systems and object sizes, with high data compression ratio and little loss of spectral information."
2023 Jun,Medical physics,Med Phys. 2023 Jun;50 Suppl 1:85-90. doi: 10.1002/mp.16229. Epub 2023 Feb 8.,"['Pelc, Norbert J', 'Chesler, David A']","[' hospitals, general', 'massachusetts', ' physics', 'tomography, x-ray computed', 'computed tomography', 'history', 'image reconstruction']",Early CT physics research at Massachusetts General Hospital.,"Although CT imaging was introduced at Massachusetts General Hospital (MGH) quite early, with its first CT scanner installed in 1973, CT research at MGH started years earlier. The goal of this paper is to describe some of this innovative work and related accomplishments."
2021 Jul,IEEE transactions on radiation and plasma medical sciences,IEEE Trans Radiat Plasma Med Sci. 2021 Jul;5(4):453-464. doi: ,"['Wang, Adam S', 'Pelc, Norbert J']","['photon counting', 'cross talk', 'image noise', 'material decomposition', 'pulse pileup', 'spectral ct']",Spectral Photon Counting CT: Imaging Algorithms and Performance Assessment.,"Photon counting x-ray detectors (PCDs) with spectral capabilities have the potential to revolutionize computed tomography (CT) for medical imaging. The ideal PCD provides accurate energy information for each incident x-ray, and at high spatial resolution. This information enables material-specific imaging, enhanced radiation dose efficiency, and improved spatial resolution in CT images. In practice, PCDs are affected by non-idealities, including limited energy resolution, pulse pileup, and cross talk due to charge sharing, K-fluorescence, and Compton scattering. In order to maximize their performance, PCDs must be carefully designed to reduce these effects and then later account for them during correction and post-acquisition steps. This review article examines algorithms for using PCDs in spectral CT applications, including how non-idealities impact image quality. Performance assessment metrics that account for spatial resolution and noise such as the detective quantum efficiency (DQE) can be used to compare different PCD designs, as well as compare PCDs with conventional energy integrating detectors (EIDs). These methods play an important role in enhancing spectral CT images and assessing the overall performance of PCDs."
2021 Sep,"Journal of medical imaging (Bellingham, Wash.)",J Med Imaging (Bellingham). 2021 Sep;8(5):052101. doi: 10.1117/1.JMI.8.5.052101. ,"['La Rivière, Patrick J', 'Fahrig, Rebecca', 'Pelc, Norbert J']",[],Special Section Guest Editorial: Computed tomography (CT) at 50 years.,"Guest editors Patrick La Riviere, Rebecca Fahrig, and Norbert Pelc introduce the JMI Special Section Celebrating X-Ray Computed Tomography at 50."
2021 Sep,"Journal of medical imaging (Bellingham, Wash.)",J Med Imaging (Bellingham). 2021 Sep;8(5):052110. doi: 10.1117/1.JMI.8.5.052110. ,"['Schulz, Raymond A', 'Stein, Jay A', 'Pelc, Norbert J']","['computed tomography', 'early history', 'technical development']",How CT happened: the early development of medical computed tomography.,"As we arrive at the 50th anniversary of the first computed tomography (CT) scan of a live patient, we take this opportunity to revisit the history of early CT development. It is not an exaggeration to say that the invention of CT may represent the greatest revolution in medical imaging since the discovery of x-rays. We cover events over a period of about two decades that started with the realization that accurate cross-sectional soft-tissue detail is possible and could be a significant advance. We describe in some detail the development of the first CT system and then the rapid technical advances during the following years that included the entry of many companies into the field and the circumstances that led many of those entrants to exit the field. Rather than focusing on the specific technical details (which can be found elsewhere), we include stories and events in the hope that broader lessons can be learned. As the first x-ray-based digital imaging modality, CT brought into common use an exceptional tool that benefits countless patients every day. It also introduced dramatic changes to biomedical imaging as a field that continues to influence progress to this day."
2021 Aug,Medical physics,Med Phys. 2021 Aug;48(8):4523-4531. doi: 10.1002/mp.14996. Epub 2021 Jul 6.,"['McGee, Kiaran P', 'Tyagi, Neelam', 'Bayouth, John E', 'Cao, Minsong', 'Fallone, B Gino', 'Glide-Hurst, Carri K', 'Goerner, Frank L', 'Green, Olga L', 'Kim, Taeho', 'Paulson, Eric S', 'Yanasak, Nathan E', 'Jackson, Edward F', 'Goodwin, James H', 'Dieterich, Sonja', 'Jordan, David W', 'Hugo, Geoffrey D', 'Bernstein, Matt A', 'Balter, James M', 'Kanal, Kalpana M', 'Hazle, John D', 'Pelc, Norbert J']","['humans', ' magnetic resonance imaging', 'particle accelerators', 'radiotherapy dosage', 'radiotherapy planning, computer-assisted', ' radiotherapy, image-guided', 'united states', 'mrgrt', 'biomarker', 'magnetic resonance', 'radiation therapy', 'safety', 'simulation']","Findings of the AAPM Ad Hoc committee on magnetic resonance imaging in radiation therapy: Unmet needs, opportunities, and recommendations.","The past decade has seen the increasing integration of magnetic resonance (MR) imaging into radiation therapy (RT). This growth can be contributed to multiple factors, including hardware and software advances that have allowed the acquisition of high-resolution volumetric data of RT patients in their treatment position (also known as MR simulation) and the development of methods to image and quantify tissue function and response to therapy. More recently, the advent of MR-guided radiation therapy (MRgRT) - achieved through the integration of MR imaging systems and linear accelerators - has further accelerated this trend. As MR imaging in RT techniques and technologies, such as MRgRT, gain regulatory approval worldwide, these systems will begin to propagate beyond tertiary care academic medical centers and into more community-based health systems and hospitals, creating new opportunities to provide advanced treatment options to a broader patient population. Accompanying these opportunities are unique challenges related to their adaptation, adoption, and use including modification of hardware and software to meet the unique and distinct demands of MR imaging in RT, the need for standardization of imaging techniques and protocols, education of the broader RT community (particularly in regards to MR safety) as well as the need to continue and support research, and development in this space. In response to this, an ad hoc committee of the American Association of Physicists in Medicine (AAPM) was formed to identify the unmet needs, roadblocks, and opportunities within this space. The purpose of this document is to report on the major findings and recommendations identified. Importantly, the provided recommendations represent the consensus opinions of the committee's membership, which were submitted in the committee's report to the AAPM Board of Directors. In addition, AAPM ad hoc committee reports differ from AAPM task group reports in that ad hoc committee reports are neither reviewed nor ultimately approved by the committee's parent groups, including at the council and executive committee level. Thus, the recommendations given in this summary should not be construed as being endorsed by or official recommendations from the AAPM."
2021 Jul,Medical physics,Med Phys. 2021 Jul;48(7):3500-3510. doi: 10.1002/mp.14887. Epub 2021 May 9.,"['Divel, Sarah E', 'Christensen, Soren', 'Segars, William P', 'Lansberg, Maarten G', 'Pelc, Norbert J']","['cerebrovascular circulation', 'humans', 'perfusion', 'reproducibility of results', ' stroke diagnostic imaging', ' tomography, x-ray computed', 'computed tomography', 'digital brain phantom', 'perfusion imaging', 'simulation', 'stroke']",A dynamic simulation framework for CT perfusion in stroke assessment built from first principles.,"PURPOSE: Physicians utilize cerebral perfusion maps (e.g., cerebral blood flow, cerebral blood volume, transit time) to prescribe the plan of care for stroke patients. Variability in scanning techniques and post-processing software can result in differences between these perfusion maps. To determine which techniques are acceptable for clinical care, it is important to validate the accuracy and reproducibility of the perfusion maps. Validation using clinical data is challenging due to the lack of a gold standard to assess cerebral perfusion and the impracticality of scanning patients multiple times with different scanning techniques. In contrast, simulated data from a realistic digital phantom of the cerebral perfusion in acute stroke patients would enable studies to optimize and validate the scanning and post-processing techniques. METHODS: We describe a complete framework to simulate CT perfusion studies for stroke assessment. We begin by expanding the XCAT brain phantom to enable spatially varying contrast agent dynamics and incorporate a realistic model of the dynamics in the cerebral vasculature derived from first principles. A dynamic CT simulator utilizes the time-concentration curves to define the contrast agent concentration in the object at each time point and generates CT perfusion images compatible with commercially available post-processing software. We also generate ground truth perfusion maps to which the maps generated by post-processing software can be compared. RESULTS: We demonstrate a dynamic CT perfusion study of a simulated patient with an ischemic stroke and the resulting perfusion maps generated by post-processing software. We include a visual comparison between the computer-generated perfusion maps and the ground truth perfusion maps. The framework is highly tunable; users can modify the perfusion properties (e.g., occlusion location, CBF, CBV, and MTT), scanner specifications (e.g., focal spot size and detector configuration), scanning protocol (e.g., kVp and mAs), and reconstruction parameters (e.g., slice thickness and reconstruction filter). CONCLUSIONS: This framework provides realistic test data with the underlying ground truth that enables a robust assessment of CT perfusion techniques and post-processing methods for stroke assessment."
2020 Jul,"Journal of medical imaging (Bellingham, Wash.)",J Med Imaging (Bellingham). 2020 Jul;7(4):043501. doi: 10.1117/1.JMI.7.4.043501. ,"['Persson, Mats', 'Wang, Adam', 'Pelc, Norbert J']","['cadmium telluride detector', 'detective quantum efficiency', 'performance comparison', 'photon-counting', 'silicon detector', 'x-ray computed tomography']",Detective quantum efficiency of photon-counting CdTe and Si detectors for computed tomography: a simulation study.,"Purpose: Developing photon-counting CT detectors requires understanding the impact of parameters, such as converter material, thickness, and pixel size. We apply a linear-systems framework, incorporating spatial and energy resolution, to study realistic silicon (Si) and cadmium telluride (CdTe) detectors at a low count rate. Approach: We compared CdTe detector designs with 0.5 × 0.5 mm2 and 0.225 × 0.225 mm2 pixels and Si detector designs with 0.5 × 0.5 mm2 pixels of 30 and 60 mm active thickness, with and without tungsten scatter blockers. Monte-Carlo simulations of photon transport were used together with Gaussian charge sharing models fitted to published data. Results: For detection in a 300-mm-thick object at 120 kVp, the 0.5- and 0.225-mm pixel CdTe systems have 28% to 41% and 5% to 29% higher detective quantum efficiency (DQE), respectively, than the 60-mm Si system with tungsten, whereas the corresponding numbers for two-material decomposition are 2% lower to 11% higher DQE and 31% to 54% lower DQE compared to Si. We also show that combining these detectors with dual-spectrum acquisition is beneficial. Conclusions: In the low-count-rate regime, CdTe detector systems outperform the Si systems for detection tasks, whereas silicon outperforms one or both of the CdTe systems for material decomposition."
2020 Jul,Medical physics,Med Phys. 2020 Jul;47(7):e881-e912. doi: 10.1002/mp.14157. Epub 2020 May 28.,"['McCollough, Cynthia H', 'Boedeker, Kirsten', 'Cody, Dianna', 'Duan, Xinhui', 'Flohr, Thomas', 'Halliburton, Sandra S', 'Hsieh, Jiang', 'Layman, Rick R', 'Pelc, Norbert J']","['algorithms', 'humans', ' iodine', 'phantoms, imaging', 'photons', ' tomography, x-ray computed', 'x-rays', 'dual-energy ct', 'material decomposition', 'material selective', 'multienergy ct', 'virtual monoenergetic', 'virtual noncontrast']",Principles and applications of multienergy CT: Report of AAPM Task Group 291.,"In x-ray computed tomography (CT), materials with different elemental compositions can have identical CT number values, depending on the mass density of each material and the energy of the detected x-ray beam. Differentiating and classifying different tissue types and contrast agents can thus be extremely challenging. In multienergy CT, one or more additional attenuation measurements are obtained at a second, third or more energy. This allows the differentiation of at least two materials. Commercial dual-energy CT systems (only two energy measurements) are now available either using sequential acquisitions of low- and high-tube potential scans, fast tube-potential switching, beam filtration combined with spiral scanning, dual-source, or dual-layer detector approaches. The use of energy-resolving, photon-counting detectors is now being evaluated on research systems. Irrespective of the technological approach to data acquisition, all commercial multienergy CT systems circa 2020 provide dual-energy data. Material decomposition algorithms are then used to identify specific materials according to their effective atomic number and/or to quantitate mass density. These algorithms are applied to either projection or image data. Since 2006, a number of clinical applications have been developed for commercial release, including those that automatically (a) remove the calcium signal from bony anatomy and/or calcified plaque; (b) create iodine concentration maps from contrast-enhanced CT data and/or quantify absolute iodine concentration; (c) create virtual non-contrast-enhanced images from contrast-enhanced scans; (d) identify perfused blood volume in lung parenchyma or the myocardium; and (e) characterize materials according to their elemental compositions, which can allow in vivo differentiation between uric acid and non-uric acid urinary stones or uric acid (gout) or non-uric acid (calcium pyrophosphate) deposits in articulating joints and surrounding tissues. In this report, the underlying physical principles of multienergy CT are reviewed and each of the current technical approaches are described. In addition, current and evolving clinical applications are introduced. Finally, the impact of multienergy CT technology on patient radiation dose is summarized."
