time,journal,doi_info,authors,key words,title,abstract
2023 Apr 17,Biomedical engineering education,Biomed Eng Educ. 2023 Apr 17:1-6. doi: 10.1007/s43683-023-00110-w.,"['Herrmann, Jessica E', 'Spielman, Susie', 'Venook, Ross', 'Yock, Paul', 'Denend, Lyn']","['health technology innovation', 'need-driven innovation', 'online learning', 'teaching materials', 'web-based learning materials']",Lessons from Developing Multimedia Learning Materials for the Digital Generation.,"Recognizing that traditional textbooks on need-driven health technology innovation were increasingly misaligned with the needs of today's undergraduate biomedical engineering students and the faculty who teach them, we initiated an effort to develop new learning materials for this audience. To guide our efforts, we conducted literature searches on best practices in the development of online content and engaging digital learners (primarily Gen-Z). We further held a series of discussions with biomedical engineering students and instructors at universities across the United States. This input led us to the development of a set of modular, online, multimedia learning materials specifically designed for the new generation of undergraduate learners. In this article, we present the key decisions that helped shape the project. We also share the results of feedback surveys and focus groups that shed light on how the materials have been preliminarily received. Finally, we reflect on challenges, opportunities, and lessons from this project that may be helpful to other initiatives focused on the creation of multimedia content for the digital generation."
2023 May 15,International journal of cardiology,Int J Cardiol. 2023 May 15;379:24-32. doi: 10.1016/j.ijcard.2023.03.014. Epub ,"['Tanaka, Shigemitsu', 'Okada, Kozo', 'Kitahara, Hideki', 'Luikart, Helen', 'Yock, Paul G', 'Yeung, Alan C', 'Schnittger, Ingela', 'Tremmel, Jennifer A', 'Fitzgerald, Peter J', 'Khush, Kiran K', 'Fearon, William F', 'Honda, Yasuhiro']","['humans', 'coronary angiography', 'coronary vessels diagnostic imaging surgery', ' myocardial bridging', 'ultrasonography, interventional', ' coronary artery disease diagnostic imaging surgery complications', ' heart transplantation adverse effects', 'acute cellular rejection', 'heart transplantation', 'intravascular ultrasound', 'myocardial bridging']",Impact of myocardial bridging on coronary artery plaque formation and long-term mortality after heart transplantation.,"OBJECTIVES: This study aimed to explore the impact of myocardial bridging (MB) on early development of cardiac allograft vasculopathy and long-term graft survival after heart transplantation. BACKGROUND: MB has been reported to be associated with acceleration of proximal plaque development and endothelial dysfunction in native coronary atherosclerosis. However, its clinical significance in heart transplantation remains unclear. METHODS: In 103 heart-transplant recipients, serial (baseline and 1-year post-transplant) volumetric intravascular ultrasound (IVUS) analyses were performed in the first 50 mm of the left anterior descending (LAD) artery. Standard IVUS indices were evaluated in 3 equally divided LAD segments (proximal, middle, and distal segments). MB was defined by IVUS as an echolucent muscular band lying on top of the artery. The primary endpoint was death or re-transplantation, assessed for up to 12.2 years (median follow-up: 4.7 years). RESULTS: IVUS identified MB in 62% of the study population. At baseline, MB patients had smaller intimal volume in the distal LAD than non-MB patients (p = 0.002). During the first year, vessel volume decreased diffusely irrespective of the presence of MB. Intimal growth diffusely distributed in non-MB patients, whereas MB patients demonstrated significantly augmented intimal formation in the proximal LAD. Kaplan-Meier analysis revealed significantly lower event-free survival in patients with versus without MB (log-rank p = 0.02). In multivariate analysis, the presence of MB was independently associated with late adverse events [hazard ratio 5.1 (1.6-22.2)]. CONCLUSION: MB appears to relate to accelerated proximal intimal growth and reduced long-term survival in heart-transplant recipients."
2021 Oct,Circulation. Cardiovascular interventions,Circ Cardiovasc Interv. 2021 Oct;14(10):e011062. doi: ,"['Hashikata, Takehiro', 'Honda, Yasuhiro', 'Wang, Hanjay', 'Pargaonkar, Vedant S', 'Nishi, Takeshi', 'Hollak, M Brooke', 'Rogers, Ian S', 'Nieman, Koen', 'Yock, Paul G', 'Fitzgerald, Peter J', 'Schnittger, Ingela', 'Boyd, Jack H', 'Tremmel, Jennifer A']","['computed tomography angiography', 'coronary angiography', 'coronary vessels diagnostic imaging surgery', 'humans', ' myocardial bridging', ' quality of life', 'ultrasonography, interventional', 'angina', 'diastole', 'quality of life', 'questionnaire', 'systole']",Impact of Diastolic Vessel Restriction on Quality of Life in Symptomatic Myocardial Bridging Patients Treated With Surgical Unroofing: Preoperative Assessments With Intravascular Ultrasound and Coronary Computed Tomography Angiography.,[Figure: see text].
2021 Oct,International journal of cardiology. Heart & vasculature,Int J Cardiol Heart Vasc. 2021 Sep 1;36:100867. doi: 10.1016/j.ijcha.2021.100867. ,"['Nishi, Takeshi', 'Imura, Shinji', 'Kitahara, Hideki', 'Kobayashi, Yoshio', 'Yock, Paul G', 'Fitzgerald, Peter J', 'Honda, Yasuhiro']","['intravascular ultrasound', 'optical coherence tomography']",Head-to-head comparison of quantitative measurements between intravascular imaging systems: An in vitro phantom study.,"INTRODUCTION: The present study aimed to compare the accuracy of quantitative measurements by contemporary intravascular imaging systems including optical frequency domain imaging (OFDI), frequency domain optical coherence tomography (FD-OCT), and 6 intravascular ultrasound (IVUS) systems. METHODS: We imaged five cylindrical phantom models made from an acrylic resin with known lumen diameters (1.51, 2.03, 3.04, 4.04, and 5.04 mm, respectively) using OFDI (FastView and LUNAWAVE, Terumo), FD-OCT (Dragonfly JP and ILUMIEN OPTIS, Abbott Vascular), and 6 mechanically rotating IVUS systems including a system, two 40-MHz, one 45-MHz, two 60-Mhz and one broad-band frequency IVUS systems. The OFDI, FD-OCT, and IVUS images were obtained using automated motorized pullback in a tank filled with 37-degree Celsius saline and, in cases of OFDI and FD-OCT, contrast-saline mixture (1:1 ratio) and contrast under the system setting of the refractive index for the corresponding flush medium. RESULTS: All the imaging systems showed good accuracy and excellent precision of lumen measurement with the relative differences between the measured diameter and actual phantom diameter being ranging from -2.9% to 8.0% and minimum standard deviations of the measured diameters (≤0.02 mm). CONCLUSION: The present study demonstrated that contemporary intravascular imaging systems including OFDI, FD-OCT, and IVUS provided clinically acceptable accuracy and excellent precision of quantitative lumen measurement in phantom models in vitro across a wide range of dimensions. Future research to confirm these findings in vivo are warranted."
2021 Jul 6,Journal of the American College of Cardiology,J Am Coll Cardiol. 2021 Jul 6;78(1):86. doi: 10.1016/j.jacc.2021.03.345.,"['Yock, Paul']","[' career choice', ' career mobility', 'humans']",RESPONSE: Navigating a Career in Innovation.,
2021 Jul,Annals of biomedical engineering,Ann Biomed Eng. 2021 Jul;49(7):1587-1592. doi: 10.1007/s10439-021-02782-3. Epub ,"['Mokarram, Nassir', 'Denend, Lyn', 'Lyon, Johnathan', 'Rait, Douglas', 'Brinton, Todd', 'Makower, Josh', 'Yock, Paul']","['delivery of health care', 'diffusion of innovation', ' health services needs and demand', ' inventions']",Need Statements in Healthcare Innovation.,
2021 Sep,Journal of cardiology,J Cardiol. 2021 Sep;78(3):224-229. doi: 10.1016/j.jjcc.2021.03.005. Epub 2021 Apr ,"['Nishi, Takeshi', 'Okada, Kozo', 'Kitahara, Hideki', 'Kameda, Ryo', 'Ikutomi, Masayasu', 'Imura, Shinji', 'Hollak, M Brooke', 'Yock, Paul G', 'Popma, Jeffrey J', 'Kusano, Hajime', 'Cheong, Wai-Fung', 'Sudhir, Krishnankutty', 'Fitzgerald, Peter J', 'Ellis, Stephen G', 'Kereiakes, Dean J', 'Stone, Gregg W', 'Honda, Yasuhiro', 'Kimura, Takeshi']","['absorbable implants', ' coronary artery disease diagnostic imaging surgery', ' drug-eluting stents', 'humans', 'japan', ' percutaneous coronary intervention', 'prosthesis design', 'treatment outcome', 'ultrasonography, interventional', 'bioresorbable vascular scaffold', 'drug-eluting stent', 'intravascular ultrasound']",Intravascular ultrasound predictors of long-term outcomes following ABSORB bioresorbable scaffold implantation: A pooled analysis of the ABSORB III and ABSORB Japan trials.,"scaffold implantation: A pooled analysis of the ABSORB III and ABSORB Japan trials.PG - 224-229LID - S0914-5087(21)00061-7 [pii]LID - 10.1016/j.jjcc.2021.03.005 [doi]AB - BACKGROUND: The long-term prognostic impact of IVUS findings following Absorb BVS implantation remains uncertain. This study aimed to identify the IVUS predictors of long-term clinical outcomes following ABSORB bioresorbable vascular scaffold (BVS) implantation from the pooled IVUS substudy cohorts of the ABSORB III and Japan trials. METHODS: A total of 298 lesions in 286 patients were enrolled with 2:1 randomization to ABSORB BVS vs. cobalt-chromium everolimus-eluting stents. This sub-analysis included 168 lesions of 160 patients in the Absorb arm whose post-procedural quantitative IVUS were available. The primary endpoint of this analysis was device-oriented composite endpoint (DOCE) of target lesion failure, including cardiac death, target vessel-related myocardial infarction, or ischemia-driven target lesion revascularization. The median follow-up duration was 4.9 [3.1-5.0] years. RESULTS: During follow-up, DOCE occurred in 10.1% of lesions treated with Absorb BVS. Among several post-procedural IVUS indices associated with DOCE, non-uniform device expansion (defined as uniformity index = minimum / maximum device area) (hazard ratio 0.47 per 0.1 increase [95%"
2021 Jun 15,International journal of cardiology,Int J Cardiol. 2021 Jun 15;333:55-59. doi: 10.1016/j.ijcard.2021.03.020. Epub ,"['Nishi, Takeshi', 'Yamashita, Rikiya', 'Imura, Shinji', 'Tateishi, Kazuya', 'Kitahara, Hideki', 'Kobayashi, Yoshio', 'Yock, Paul G', 'Fitzgerald, Peter J', 'Honda, Yasuhiro']","['algorithms', 'artificial intelligence', ' coronary artery disease diagnostic imaging', 'coronary vessels diagnostic imaging', ' deep learning', 'humans', 'reproducibility of results', 'ultrasonography, interventional', 'artificial intelligence', 'deep learning', 'intravascular ultrasound']",Deep learning-based intravascular ultrasound segmentation for the assessment of coronary artery disease.,"BACKGROUND: Accurate segmentation of the coronary arteries with intravascular ultrasound (IVUS) is important to optimize coronary stent implantation. Recently, deep learning (DL) methods have been proposed to develop automatic IVUS segmentation. However, most of those have been limited to segmenting the lumen and vessel (i.e. lumen-intima and media-adventitia borders), not applied to segmenting stent dimension. Hence, this study aimed to develop a DL method for automatic IVUS segmentation of stent area in addition to lumen and vessel area. METHODS: This study included a total of 45,449 images from 1576 IVUS pullback runs. The datasets were randomly split into training, validation, and test datasets (0.7:0.15:0.15). After developing the DL-based system to segment IVUS images using the training and validation datasets, we evaluated the performance through the independent test dataset. RESULTS: The DL-based segmentation correlated well with the expert-analyzed segmentation with a mean intersection over union (± standard deviation) of 0.80 ± 0.20, correlation coefficient of 0.98 (95% confidence intervals: 0.98 to 0.98), 0.96 (0.95 to 0.96), and 0.96 (0.96 to 0.96) for lumen, vessel, and stent area, and the mean difference (± standard deviation) of 0.02 ± 0.57, -0.44 ± 1.56 and - 0.17 ± 0.74 mm(2) for lumen, vessel and stent area, respectively. CONCLUSION: This automated DL-based IVUS segmentation of lumen, vessel and stent area showed an excellent agreement with manual segmentation by experts, supporting the feasibility of artificial intelligence-assisted IVUS assessment in patients undergoing coronary stent implantation."
2020 Dec,International journal of cardiology. Heart & vasculature,Int J Cardiol Heart Vasc. 2020 Sep 4;31:100623. doi: 10.1016/j.ijcha.2020.100623. ,"['Okada, Kozo', 'Honda, Yasuhiro', 'Kitahara, Hideki', 'Ikutomi, Masayasu', 'Kameda, Ryo', 'Brooke Hollak, M', 'Yock, Paul G', 'Popma, Jeffrey J', 'Kusano, Hajime', 'Cheong, Wai-Fung', 'Sudhir, Krishnankutty', 'Fitzgerald, Peter J', 'Kimura, Takeshi']","['absorb bvs', 'bvs, bioresorbable vascular scaffolds', 'cv, coefficient of variation', 'cocr-ees, cobalt-chromium everolimus-eluting stents', 'ds, diameter stenosis', 'id-tlr, ischemic-driven target lesion revascularization', 'id-tvr, ischemic-driven target vessel revascularization', 'isa, incomplete strut apposition', 'ivus, intravascular ultrasound', 'lisa, late-acquired incomplete strut apposition', 'lll, late lumen loss', 'late acquired isa', 'late lumen loss', 'mi, myocardial infarction', 'mld, minimum lumen diameter', 'qca, quantitative coronary angiography', 'rld, reference lumen diameter', 'rvd, reference vessel diameter', 'st, stent thrombosis', 'sct, scaffold thrombosis', 'scaffold underexpansion', 'tlf, target lesion failure', 'tvf, target vessel failure']",Scaffold underexpansion and late lumen loss after bioresorbable scaffold implantation: Insights from ABSORB JAPAN trial.,"trial.PG - 100623LID - 10.1016/j.ijcha.2020.100623 [doi]LID - 100623AB - BACKGROUND: Device underexpansion is associated with late adverse outcomes after bioresorbable vascular scaffold (BVS) implantation. This study, representing official IVUS results of the ABSORB Japan trial, aimed to characterize IVUS findings, focusing specifically on acute device expansion, and to investigate its impact on late lumen loss (LLL) with Absorb-BVS compared with cobalt-chromium everolimus-eluting stents (CoCr-EES). METHODS: ABSORB Japan enrolled 148 patients (2:1 randomization) in the IVUS cohort. Serial IVUS was prescheduled at post-procedure and 3 years. Acute device expansion was evaluated with respect to the degree and uniformity of the implanted device. RESULTS: Overall, Absorb-BVS showed smaller and more nonuniform device expansion at post-procedure, compared with CoCr-EES, which was particularly prominent in small-vessel lesions. In serial analysis, Absorb-BVS showed unique associations of smaller device expansion (r = 0.40, p = 0.001) and more nonuniformity (r = 0.29, p = 0.007) at post-procedure with greater LLL at 3 years, primarily attributable to greater negative remodeling (r = 0.39, p = 0.006). In contrast, acute device expansion showed no relation with subsequent lumen change in CoCr-EES. In Absorb-BVS, ischemic-driven target lesion or vessel revascularization (ID-TLR or ID-TVR) at 3 years occurred more frequently in small- versus large-vessel lesions (12.5% vs. 0%, p = 0.04 for ID-TLR and 15.6% vs. 2.3%, p = 0.08 for ID-TVR). Conversely, Absorb BVS had no target lesion nor vessel failure, even in small-vessel lesions, when adequate device expansion was achieved at post-procedure. CONCLUSIONS: Unlike CoCr-EES, underexpansion was associated with greater negative remodeling and LLL in Absorb-BVS. This may in part account for the poorer outcomes of Absorb-BVS than CoCr-EES when under-expanded."
2020 May,Annals of biomedical engineering,Ann Biomed Eng. 2020 May;48(5):1573-1586. doi: 10.1007/s10439-020-02478-0. Epub ,"['Denend, Lyn', 'McCutcheon, Stacey', 'Regan, Mike', 'Sainz, Maria', 'Yock, Paul', 'Azagury, Dan']","['adult', ' biomedical technology', 'female', ' gender equity', 'humans', 'job satisfaction', 'leadership', 'male', 'perception', 'surveys and questionnaires', 'work-life balance', ' workplace', 'biomedical engineering', 'diversity', 'gender equality', 'innovation', 'job satisfaction', 'medical technology', 'medtech', 'stem', 'women']",Analysis of Gender Perceptions in Health Technology: A Call to Action.,"Gender diversity has been linked to positive business results. Yet limited data exist to characterize the gender landscape in health technology, a field that draws employees from both biomedical engineering and medicine. To better understand the state of gender diversity in this industry, we developed a survey to explore leadership representation and perceptions of workplace equality, job satisfaction, and work-life balance. Data from 400 + health technology professionals revealed that women are significantly underrepresented in senior leadership and that men and women experience the workplace differently. Men believe in greater numbers than females that senior leaders are focused on recruiting and promoting women, promotion criteria are equitable, and the major barrier to leadership roles for women is work/family balance. In contrast, women perceive a less meritocratic and inclusive workplace in which their ability to rise is hampered by exclusion from influential communication networks and stereotyping/bias. Perhaps as a result, more than one-third of female respondents are considering leaving their current jobs, citing dissatisfaction with management and a desire for greater advancement opportunities. This study highlights significant gender perception differences in health technology that require further study and proactive remediation for the field to fully realize the benefits of gender diversity."
