time,journal,doi_info,authors,key words,title,abstract
2024,Nature and science of sleep,Nat Sci Sleep. 2024 Jun 25;16:867-877. doi: 10.2147/NSS.S455784. eCollection ,"['Sjöland, Olivia', 'Svensson, Thomas', 'Madhawa, Kaushalya', 'Nt, Hoang', 'Chung, Ung-Il', 'Svensson, Akiko Kishi']","['nrems', 'rems', 'heart rate', 'sleep quality', 'sleep stages', 'wearable device']",Associations of Subjective Sleep Quality with Wearable Device-Derived Resting Heart Rate During REM Sleep and Non-REM Sleep in a Cohort of Japanese Office Workers.,"BACKGROUND: Associations between subjective sleep quality and stage-specific heart rate (HR) may have important clinical relevance when aiming to optimize sleep and overall health. The majority of previously studies have been performed during short periods under laboratory-based conditions. The aim of this study was to investigate the associations of subjective sleep quality with heart rate during REM sleep (HR REMS) and non-REM sleep (HR NREMS) using a wearable device (Fitbit Versa). METHODS: This is a secondary analysis of data from the intervention group of a randomized controlled trial (RCT) performed between December 3, 2018, and March 2, 2019, in Tokyo, Japan. The intervention group consisted of 179 Japanese office workers with metabolic syndrome (MetS), Pre-MetS or a high risk of developing MetS. HR was collected with a wearable device and sleep quality was assessed with a mobile application where participants answered The St. Mary's Hospital Sleep Questionnaire. Both HR and sleep quality was collected daily for a period of 90 days. Associations of between-individual and within-individual sleep quality with HR REMS and HR NREMS were analyzed with multi-level model regression in 3 multivariate models. RESULTS: The cohort consisted of 92.6% men (n=151) with a mean age (± standard deviation) of 44.1 (±7.5) years. A non-significant inverse between-individual association was observed for sleep quality with HR REMS (HR REMS -0.18; 95%"
2024 Apr 23,BMC medicine,BMC Med. 2024 Apr 23;22(1):173. doi: 10.1186/s12916-024-03392-1.,"['Svensson, Thomas', 'Svensson, Akiko Kishi', 'Kitlinski, Mariusz', 'Engström, Gunnar', 'Nilsson, Jan', 'Orho-Melander, Marju', 'Nilsson, Peter M', 'Melander, Olle']","['humans', 'middle aged', 'male', 'female', ' coronary disease epidemiology blood', 'aged', ' proteomics methods', ' sleep physiology', 'diabetes mellitus epidemiology blood', 'incidence', 'cohort studies', 'biomarkers blood', 'time factors', 'blood proteins analysis', 'sleep duration', 'incident coronary heart disease', 'incident diabetes', 'inflammation', 'lasso', 'machine learning', 'proteomic markers', 'sleep duration']",Very short sleep duration reveals a proteomic fingerprint that is selectively associated with incident diabetes mellitus but not with incident coronary heart disease: a cohort study.,"BACKGROUND: The molecular pathways linking short and long sleep duration with incident diabetes mellitus (iDM) and incident coronary heart disease (iCHD) are not known. We aimed to identify circulating protein patterns associated with sleep duration and test their impact on incident cardiometabolic disease. METHODS: We assessed sleep duration and measured 78 plasma proteins among 3336 participants aged 46-68 years, free from DM and CHD at baseline, and identified cases of iDM and iCHD using national registers. Incident events occurring in the first 3 years of follow-up were excluded from analyses. Tenfold cross-fit partialing-out lasso logistic regression adjusted for age and sex was used to identify proteins that significantly predicted sleep duration quintiles when compared with the referent quintile 3 (Q3). Predictive proteins were weighted and combined into proteomic scores (PS) for sleep duration Q1, Q2, Q4, and Q5. Combinations of PS were included in a linear regression model to identify the best predictors of habitual sleep duration. Cox proportional hazards regression models with sleep duration quintiles and sleep-predictive PS as the main exposures were related to iDM and iCHD after adjustment for known covariates. RESULTS: Sixteen unique proteomic markers, predominantly reflecting inflammation and apoptosis, predicted sleep duration quintiles. The combination of PSQ1 and PSQ5 best predicted sleep duration. Mean follow-up times for iDM (n = 522) and iCHD (n = 411) were 21.8 and 22.4 years, respectively. Compared with sleep duration Q3, all sleep duration quintiles were positively and significantly associated with iDM. Only sleep duration Q1 was positively and significantly associated with iCHD. Inclusion of PSQ1 and PSQ5 abrogated the association between sleep duration Q1 and iDM. Moreover, PSQ1 was significantly associated with iDM (HR = 1.27, 95%"
2024 May,Sleep medicine,Sleep Med. 2024 May;117:217-218. doi: 10.1016/j.sleep.2024.03.014. Epub 2024 Mar ,"['Svensson, Thomas', 'Madhawa, Kaushalya', 'Nt, Hoang', 'Chung, Ung-Il', 'Svensson, Akiko Kishi']","['humans', 'polysomnography', 'reproducibility of results', ' sleep physiology', ' algorithms']","Response to comment on ""Validity and reliability of the Oura Ring Generation 3 (Gen3) with Oura Sleep Staging Algorithm 2.0 (OSSA 2.0) when compared to multi-night ambulatory polysomnography: A validation study of 96 participants and 421,045 epochs"".",
2024 Mar,Sleep medicine,Sleep Med. 2024 Mar;115:251-263. doi: 10.1016/j.sleep.2024.01.020. Epub 2024 Jan ,"['Svensson, Thomas', 'Madhawa, Kaushalya', 'Nt, Hoang', 'Chung, Ung-Il', 'Svensson, Akiko Kishi']","['male', 'humans', 'female', 'young adult', 'adult', 'middle aged', 'aged', 'polysomnography', ' actigraphy', 'reproducibility of results', ' sleep', 'algorithms', 'oura ring', 'polysomnography', 'reliability', 'sleep', 'sleep staging', 'validity', 'wearable device']","Validity and reliability of the Oura Ring Generation 3 (Gen3) with Oura sleep staging algorithm 2.0 (OSSA 2.0) when compared to multi-night ambulatory polysomnography: A validation study of 96 participants and 421,045 epochs.",PURPOSE: To evaluate the validity and the reliability of the Oura Ring Generation 3 (Gen3) with Oura Sleep Staging Algorithm 2.0 (OSSA 2.0) through multi-night polysomnography (PSG). PARTI
2023 Jun 3,"Bioengineering (Basel, Switzerland)",Bioengineering (Basel). 2023 Jun 3;10(6):683. doi: ,"['Staffini, Alessio', 'Svensson, Thomas', 'Chung, Ung-Il', 'Svensson, Akiko Kishi']","['anomaly detection', 'deep learning', 'heart rate', 'variational autoencoder', 'wearable devices']",A Disentangled VAE-BiLSTM Model for Heart Rate Anomaly Detection.,"Cardiovascular diseases (CVDs) remain a leading cause of death globally. According to the American Heart Association, approximately 19.1 million deaths were attributed to CVDs in 2020, in particular, ischemic heart disease and stroke. Several known risk factors for CVDs include smoking, alcohol consumption, lack of regular physical activity, and diabetes. The last decade has been characterized by widespread diffusion in the use of wristband-style wearable devices which can monitor and collect heart rate data, among other information. Wearable devices allow the analysis and interpretation of physiological and activity data obtained from the wearer and can therefore be used to monitor and prevent potential CVDs. However, these data are often provided in a manner that does not allow the general user to immediately comprehend possible health risks, and often require further analytics to draw meaningful conclusions. In this paper, we propose a disentangled variational autoencoder (β-VAE) with a bidirectional long short-term memory network (BiLSTM) backend to detect in an unsupervised manner anomalies in heart rate data collected during sleep time with a wearable device from eight heterogeneous participants. Testing was performed on the mean heart rate sampled both at 30 s and 1 min intervals. We compared the performance of our model with other well-known anomaly detection algorithms, and we found that our model outperformed them in almost all considered scenarios and for all considered participants. We also suggest that wearable devices may benefit from the integration of anomaly detection algorithms, in an effort to provide users more processed and straightforward information."
2023 Feb 28,International journal of environmental research and public health,Int J Environ Res Public Health. 2023 Feb 28;20(5):4315. doi: ,"['Yamaga, Yukako', 'Svensson, Thomas', 'Chung, Ung-Il', 'Svensson, Akiko Kishi']","['humans', 'cross-sectional studies', 'east asian people', ' exercise', ' metabolic syndrome epidemiology', ' wearable electronic devices', 'active minutes', 'metabolic syndrome', 'physical activity', 'step count', 'wearable device']",Association between Metabolic Syndrome Status and Daily Physical Activity Measured by a Wearable Device in Japanese Office Workers.,"(1) Background: This study examined the cross-sectional association between metabolic syndrome (MetS) status classified into three groups and daily physical activity (PA; step count and active minutes) using a wearable device in Japanese office workers. (2) Methods: This secondary analysis used data from 179 participants in the intervention group of a randomized controlled trial for 3 months. Individuals who had received an annual health check-up and had MetS or were at a high risk of MetS based on Japanese guidelines were asked to use a wearable device and answer questionnaires regarding their daily life for the entire study period. Multilevel mixed-effects logistic regression models adjusted for covariates associated with MetS and PA were used to estimate associations. A sensitivity analysis investigated the associations between MetS status and PA level according to the day of the week. (3) Results: Compared to those with no MetS, those with MetS were not significantly associated with PA, while those with pre-MetS were inversely associated with PA [step count Model 3: OR = 0.60; 95%"
2023 Jun,British journal of clinical pharmacology,Br J Clin Pharmacol. 2023 Jun;89(6):1809-1819. doi: 10.1111/bcp.15651. Epub 2023 ,"['Moritoyo, Takashi', 'Nishimura, Naoko', 'Hasegawa, Keiko', 'Ishii, Shinya', 'Kirihara, Kenji', 'Takata, Munenori', 'Svensson, Akiko Kishi', 'Umeda-Kameyama, Yumi', 'Kawarasaki, Shuichi', 'Ihara, Ryoko', 'Sakanaka, Chie', 'Wakabayashi, Yurie', 'Niizuma, Kuniyasu', 'Tominaga, Teiji', 'Yamazaki, Tsutomu', 'Hasumi, Keiji']","['humans', 'male', ' fibrinolysin', ' antifibrinolytic agents', 'phenol', 'phenols pharmacology', 'plasminogen', 'hemorrhage drug therapy', 'anti-inflammatory agents pharmacology', 'double-blind method', 'dose-response relationship, drug', 'smtp', 'anti-inflammatory', 'ischaemic stroke', 'profibrinolytic', 'triprenyl phenol']","A first-in-human study of the anti-inflammatory profibrinolytic TMS-007, an SMTP family triprenyl phenol.","AIMS: TMS-007, an SMTP family member, modulates plasminogen conformation and enhances plasminogen-fibrin binding, leading to promotion of endogenous fibrinolysis. Its anti-inflammatory action, mediated by soluble epoxide hydrolase inhibition, may contribute to its efficacy. Evidence suggests that TMS-007 can effectively treat experimental thrombotic and embolic strokes with a wide time window, while reducing haemorrhagic transformation. We aim to evaluate the safety, pharmacokinetics and pharmacodynamics of TMS-007 in healthy volunteers. METHODS: This was a randomized, placebo-controlled, double blind, dose-escalation study, administered as a single intravenous infusion of TMS-007 in cohorts of healthy male Japanese subjects. Six cohorts were planned, but only five were completed. In each cohort (n = 8), individuals were randomized to receive one of five doses of TMS-007 (3, 15, 60, 180 or 360 mg; n = 6) or placebo (n = 2). RESULTS: TMS-007 was generally well tolerated, and no serious adverse events were attributed to the drug. A linear dose-dependency was observed for plasma TMS-007 levels. No symptoms of bleeding were observed on brain MRI analysis, and no bleeding-related responses were found on laboratory testing. The plasma levels of the coagulation factor fibrinogen and the anti-fibrinolysis factor α(2) -antiplasmin levels were unchanged after TMS-007 dosing. A slight increase in the plasma level of plasmin-α(2) -antiplasmin complex, an index of plasmin formation, was observed in the TMS-007 group in cohort 2. CONCLUSIONS: TMS-007 is generally well tolerated and exhibits favourable pharmacokinetic profiles that warrant further clinical development."
2022 Apr 22,International journal of environmental research and public health,Int J Environ Res Public Health. 2022 Apr 22;19(9):5095. doi: ,"['Pham, Helena', 'Svensson, Thomas', 'Chung, Ung-Il', 'Svensson, Akiko Kishi']","['body mass index', 'humans', 'japan epidemiology', ' metabolic syndrome epidemiology', ' occupational stress epidemiology', 'personal satisfaction', 'risk factors', 'sleep', 'metabolic syndrome', 'obesity', 'occupational cohort', 'occupational stress', 'psychological stress', 'risk factor', 'the brief job stress questionnaire']","Sleep Satisfaction May Modify the Association between Metabolic Syndrome and BMI, Respectively, and Occupational Stress in Japanese Office Workers.","The association between obesity and psychological stress is ambiguous. The aim is to investigate the association between metabolic syndrome (MetS) and body mass index (BMI), respectively, with occupational stress among Japanese office workers. The study is a secondary analysis of the intervention group from a randomized controlled trial. There are 167 participants included in the analysis. Occupational stress is self-reported using the Brief Job Stress Questionnaire (BJSQ). BMI and the classification of MetS/pre-MetS was based on the participants' annual health check-up data. The primary exposure is divided into three groups: no MetS, pre-MetS, and MetS in accordance with Japanese guidelines. The secondary exposure, BMI, remains as a continuous variable. Multiple linear regression is implemented. Sensitivity analyses are stratified by sleep satisfaction. Pre-MetS is significantly associated with occupational stress (7.84 points; 95%"
2022 Mar 18,Interactive journal of medical research,Interact J Med Res. 2022 Mar 18;11(1):e28692. doi: 10.2196/28692.,"['Staffini, Alessio', 'Fujita, Kento', 'Svensson, Akiko Kishi', 'Chung, Ung-Il', 'Svensson, Thomas']","['factor analysis', 'feedback measures', 'item reduction', 'mobile phone', 'questionnaire design', 'surveys and lifestyle questionnaires', 'variance inflation factor']",Statistical Methods for Item Reduction in a Representative Lifestyle Questionnaire: Pilot Questionnaire Study.,"BACKGROUND: Reducing the number of items in a questionnaire while maintaining relevant information is important as it is associated with advantages such as higher respondent engagement and reduced response error. However, in health care, after the original design, an a posteriori check of the included items in a questionnaire is often overlooked or considered to be of minor importance. When conducted, this is often based on a single selected method. We argue that before finalizing any lifestyle questionnaire, a posteriori validation should always be conducted using multiple approaches to ensure the robustness of the results. OBJECTIVE: The objectives of this study are to compare the results of two statistical methods for item reduction (variance inflation factor [VIF] and factor analysis [FA]) in a lifestyle questionnaire constructed by combining items from different sources and analyze the different results obtained from the 2 methods and the conclusions that can be made about the original items. METHODS: Data were collected from 79 participants (heterogeneous in age and sex) with a high risk of metabolic syndrome working in a financial company based in Tokyo. The lifestyle questionnaire was constructed by combining items (asked with daily, weekly, and monthly frequency) from multiple validated questionnaires and other selected questions. Item reduction was conducted using VIF and exploratory FA. Adequacy tests were used to check the data distribution and sampling adequacy. RESULTS: Among the daily and weekly questions, both VIF and FA identified redundancies in sleep-related items. Among the monthly questions, both approaches identified redundancies in stress-related items. However, the number of items suggested for reduction often differed: VIF suggested larger reductions than FA for daily questions but fewer reductions for weekly questions. Adequacy tests always confirmed that the structural detection was adequate for the considered items. CONCLUSIONS: As expected, our analyses showed that VIF and FA produced both similar and different findings, suggesting that questionnaire designers should consider using multiple methods for item reduction. Our findings using both methods indicate that many questions, especially those related to sleep, are redundant, indicating that the considered lifestyle questionnaire can be shortened."
2021 Dec 22,"Sensors (Basel, Switzerland)",Sensors (Basel). 2021 Dec 22;22(1):34. doi: 10.3390/s22010034.,"['Staffini, Alessio', 'Svensson, Thomas', 'Chung, Ung-Il', 'Svensson, Akiko Kishi']","[' deep learning', 'forecasting', 'heart rate', 'humans', 'neural networks, computer', 'time factors', 'autoregressive model', 'deep learning', 'forecasting', 'heart rate', 'modeling', 'prediction', 'time series analysis']",Heart Rate Modeling and Prediction Using Autoregressive Models and Deep Learning.,"Physiological time series are affected by many factors, making them highly nonlinear and nonstationary. As a consequence, heart rate time series are often considered difficult to predict and handle. However, heart rate behavior can indicate underlying cardiovascular and respiratory diseases as well as mood disorders. Given the importance of accurate modeling and reliable predictions of heart rate fluctuations for the prevention and control of certain diseases, it is paramount to identify models with the best performance in such tasks. The objectives of this study were to compare the results of three different forecasting models (Autoregressive Model, Long Short-Term Memory Network, and Convolutional Long Short-Term Memory Network) trained and tested on heart rate beats per minute data obtained from twelve heterogeneous participants and to identify the architecture with the best performance in terms of modeling and forecasting heart rate behavior. Heart rate beats per minute data were collected using a wearable device over a period of 10 days from twelve different participants who were heterogeneous in age, sex, medical history, and lifestyle behaviors. The goodness of the results produced by the models was measured using both the mean absolute error and the root mean square error as error metrics. Despite the three models showing similar performance, the Autoregressive Model gave the best results in all settings examined. For example, considering one of the participants, the Autoregressive Model gave a mean absolute error of 2.069 (compared to 2.173 of the Long Short-Term Memory Network and 2.138 of the Convolutional Long Short-Term Memory Network), achieving an improvement of 5.027% and 3.335%, respectively. Similar results can be observed for the other participants. The findings of the study suggest that regardless of an individual's age, sex, and lifestyle behaviors, their heart rate largely depends on the pattern observed in the previous few minutes, suggesting that heart rate can be reasonably regarded as an autoregressive process. The findings also suggest that minute-by-minute heart rate prediction can be accurately performed using a linear model, at least in individuals without pathologies that cause heartbeat irregularities. The findings also suggest many possible applications for the Autoregressive Model, in principle in any context where minute-by-minute heart rate prediction is required (arrhythmia detection and analysis of the response to training, among others)."
