time,journal,doi_info,authors,key words,title,abstract
2024 Mar 27,Journal of the American Chemical Society,J Am Chem Soc. 2024 Mar 27;146(12):8746-8756. doi: 10.1021/jacs.4c01589. Epub ,"['Watanabe, Ayumu', 'Nagatomo, Masanori', 'Hirose, Akira', 'Hikone, Yuto', 'Kishimoto, Naoki', 'Miura, Satoshi', 'Yasutake, Tae', 'Abe, Towa', 'Misumi, Shogo', 'Inoue, Masayuki']","['humans', 'virus latency', ' phorbols', ' diterpenes', ' hiv infections', 'oxygen']",Total Syntheses of Phorbol and 11 Tigliane Diterpenoids and Their Evaluation as HIV Latency-Reversing Agents.,"Tigliane diterpenoids possess exceptionally complex structures comprising common 5/7/6/3-membered ABCD-rings and disparate oxygen functionalities. While tiglianes display a wide range of biological activities, compounds with HIV latency-reversing activity can eliminate viral reservoirs, thereby serving as promising leads for new anti-HIV agents. Herein, we report collective total syntheses of phorbol (13) and 11 tiglianes 14-24 with various acylation patterns and oxidation states, and their evaluation as HIV latency-reversing agents. The syntheses were strategically divided into five stages to increase the structural complexity. First, our previously established sequence enabled the expeditious preparation of ABC-tricycle 9 in 15 steps. Second, hydroxylation of 9 and ring-contractive D-ring formation furnished phorbol (13). Third, site-selective attachment of two acyl groups to 13 produced four phorbol diesters 14-17. Fourth, the oxygen functionalities were regio- and stereoselectively installed to yield five tiglianes 18-22. Fifth, further oxidation to the most densely oxygenated acerifolin A (23) and tigilanol tiglate (24) was realized through organizing a 3D shape of the B-ring. Assessment of the HIV latency-reversing activities of the 12 tiglianes revealed seven tiglianes (14-17 and 22-24) with 20- to 300-fold improved efficacy compared with prostratin (12), a representative latency-reversing agent. Therefore, the robust synthetic routes to a variety of tiglianes with promising activities devised in this study provide opportunities for advancing HIV eradication strategies."
2023 Oct,Diabetology international,Diabetol Int. 2023 Aug 26;14(4):445. doi: 10.1007/s13340-023-00660-y. eCollection ,"['Hirose, Akira', 'Maeda, Yasutaka', 'Goto, Atsushi', 'Minami, Masae', 'Kitano, Shigehiko', 'Uchigata, Yasuko']",[],"Correction: ƩexcessA1C index, the sum of yearly excess HbA1c values during the total period of diabetes, may have the potential to predict retinopathy by a linear regression setting regardless of duration in type 1 diabetes: a subgroup analysis of DCCT/EDIC data.",[This corrects the article DOI: 10.1007/s13340-023-00654-w.].
2023 Oct,Diabetology international,Diabetol Int. 2023 Aug 10;14(4):440-444. doi: 10.1007/s13340-023-00654-w. ,"['Hirose, Akira', 'Maeda, Yasutaka', 'Goto, Atsushi', 'Minami, Masae', 'Kitano, Shigehiko', 'Uchigata, Yasuko']","['dcct edic', 'linear regression', 'retinopathy prediction', 'type 1 diabetes', 'ʃexcessa1c']","ƩexcessA1C index, the sum of yearly excess HbA1c values during the total period of diabetes, may have the potential to predict retinopathy by a linear regression setting regardless of duration in type 1 diabetes: a subgroup analysis of DCCT/EDIC data.","AIMS: To find an index of glycemic exposure that predicts retinopathy by a simple regression setting regardless of duration in type 1 diabetes which might be useful for the care of diabetes. MATERIALS AND METHODS: To exclude the possible disturbing effect of metabolic memory, we examined a subgroup of patients with glycohemoglobin A1c (A1C) data for the total period of type 1 diabetes selected from the Diabetes Control and Complications Trial/Epidemiology of Diabetes Interventions and Complications data. Three indices-(1) mean value of yearly A1C (mA1C), (2) sum of yearly A1C values (ƩA1C), and (3) sum of yearly A1C values above 6.5% (ƩexcessA1C)-were assessed as potential candidates. Development of retinopathy was defined by ≥ 3-steps' progression of retinopathy from baseline. RESULTS: The areas under the receiver operating characteristics curves of the indices for development of retinopathy at years 5, 9, and 13 after the onset of diabetes were the same: 0.8481, 0.8762, and 0.8213, respectively, indicating that each index was substantially capable of predicting development of retinopathy at each timepoint. Linear regression analyses showed that each index had significant and substantial linear relations to retinopathy at each timepoint: all P < 0.0001 for slopes; contribution rate R(2) = 0.21 (year 5), 0.46 (year 9), and 0.48 (year 13) for each index. But only ƩexcessA1C index appeared to have similar linear relations to retinopathy at all three timepoints (interactions by timepoint: for slopes: P = 0.1393; for intercepts: P = 0.9366). CONCLUSION: ƩexcessA1C may have the potential to predict retinopathy by just one linear regression setting regardless of duration in type 1 diabetes."
2023,Frontiers in neuroinformatics,Front Neuroinform. 2023 Jul 17;17:1238168. doi: 10.3389/fninf.2023.1238168. ,"['Yamane, Toshiyuki', 'Hirose, Akira', 'Offrein, Bert Jan']","['iot and edge computing', 'analog neuromorphic devices', 'electric neuromorphic computing', 'material neuromorphic computing', 'quantum neuromorphic computing']",Editorial: Physical neuromorphic computing and its industrial applications.,
2023 Jan,Current eye research,Curr Eye Res. 2023 Jan;48(1):80-85. doi: 10.1080/02713683.2022.2140438. Epub 2022 ,"['Tobimatsu, Yui', 'Ogihara, Rie', 'Endo, Naoko', 'Hirose, Akira', 'Takeda, Ryuji', 'Babazono, Tetsuya', 'Kitano, Shigehiko']","['humans', 'middle aged', 'aged', ' macular edema diagnosis drug therapy etiology', ' diabetic retinopathy diagnosis drug therapy', 'betamethasone therapeutic use', 'ophthalmic solutions', 'prospective studies', 'treatment outcome', 'intravitreal injections', 'tomography, optical coherence', ' diabetes mellitus', 'diabetic macular edema', 'betamethasone', 'bromfenac', 'central subfield thickness', 'intraocular pressure']",Comparison of the Effect of Bromfenac versus Betamethasone Ophthalmic Solutions in Patients with Diabetic Macular Edema.,"PURPOSE: To examine the effect of 0.1% bromfenac (BF) ophthalmic solution and 0.1% betamethasone (BM) ophthalmic solution on diabetic macular edema (DME). METHODS: This was a prospective trial. Nineteen patients (mean age of 66.6 ± 10.1 years) with DME and mean retinal thickness within a diameter of 1 mm from the fovea (central subfield thickness: CST) of 250-500 µm were randomized and instilled with BF or BM. CST, best-corrected visual acuity (BCVA), and intraocular pressure (IOP) were measured at 4, 8, and 12 weeks after administration. RESULTS: CST at baseline (p = .128) and that at 4, 8, and 12 weeks of administration was not significantly different between the BF (10 patients) and BM groups (9 patients). In patients with glycated hemoglobin (HbA1c) <8.0%, CST, compared with baseline, was significantly decreased in the BF group (seven patients) at 8 (p = .025) and 12 weeks (p = .043) of administration. When compared with the baseline, no significant changes in BCVA were observed at any point in time in either group. Baseline IOP was comparable between the groups. In the BM group, the values of change in IOP from baseline significantly increased at 8 (p = .025) and 12 weeks (p = .044) of administration, with no significant changes in IOP over the 12 weeks of administration in the BF group. CONCLUSIONS: BF did not affect IOP even after 12 weeks of administration, suggesting its effect in reducing CST in DME with good glycemic control. TRIAL REGISTRATION: University Hospital Medical Information Network (UMIN-CTR); UMIN000026201, February 18, 2017; Japan Registry of Clinical Trials; jRCTs031180308, March 15, 2019."
2021 Aug 11,Journal of the American Chemical Society,J Am Chem Soc. 2021 Aug 11;143(31):12387-12396. doi: 10.1021/jacs.1c06450. Epub ,"['Hirose, Akira', 'Watanabe, Ayumu', 'Ogino, Kohei', 'Nagatomo, Masanori', 'Inoue, Masayuki']",[],"Unified Total Syntheses of Rhamnofolane, Tigliane, and Daphnane Diterpenoids.","Rhamnofolane, tigliane, and daphnane diterpenoids are structurally complex natural products with multiple oxygen functionalities, making them synthetically challenging. While these diterpenoids share a 5/7/6-trans-fused ring system (ABC-ring), the three-carbon substitutions at the C13- and C14-positions on the C-ring and appending oxygen functional groups differ among them, accounting for the disparate biological activities of these natural products. Here, we developed a new, unified strategy for expeditious total syntheses of five representative members of these three families, crotophorbolone (1), langduin A (2), prostratin (3), resiniferatoxin (4), and tinyatoxin (5). Retrosynthetically, 1-5 were simplified into their common ABC-ring 6 by detaching the three-carbon units and the oxygen-appended groups. Intermediate 6 with six stereocenters was assembled from four achiral fragments in 12 steps by integrating three powerful transformations, as follows: (i) asymmetric Diels-Alder reaction to induce formation of the C-ring; (ii) π-allyl Stille coupling reaction to set the trisubstituted E-olefin of the B-ring; and (iii) Eu(fod)(3)-promoted 7-endo cyclization of the B-ring via the generation of a bridgehead radical. Then 6 was diversified into 1-5 by selective installation of the different functional groups. Attachment of the C14-β-isopropenyl and isopropyl groups led to 1 and 2, respectively, while oxidative acetoxylation and C13,14-β-dimethylcyclopropane formation gave rise to 3. Finally, formation of an α-oriented caged orthoester by C13-stereochemical inversion and esterification with two different homovanillic acids delivered 4 and 5 with a C13-β-isopropenyl group. This unified synthetic route to 1-5 required only 16-20 total steps, demonstrating the exceptional efficiency of the present strategy."
2019 Jul,Neural networks : the official journal of the International Neural Network ,Neural Netw. 2019 Jul;115:100-123. doi: 10.1016/j.neunet.2019.03.005. Epub 2019 ,"['Tanaka, Gouhei', 'Yamane, Toshiyuki', 'Héroux, Jean Benoit', 'Nakane, Ryosho', 'Kanazawa, Naoki', 'Takeda, Seiji', 'Numata, Hidetoshi', 'Nakano, Daiju', 'Hirose, Akira']","['algorithms', ' machine learning', ' neural networks, computer', 'machine learning', 'neural networks', 'neuromorphic device', 'nonlinear dynamical systems', 'reservoir computing']",Recent advances in physical reservoir computing: A review.,"Reservoir computing is a computational framework suited for temporal/sequential data processing. It is derived from several recurrent neural network models, including echo state networks and liquid state machines. A reservoir computing system consists of a reservoir for mapping inputs into a high-dimensional space and a readout for pattern analysis from the high-dimensional states in the reservoir. The reservoir is fixed and only the readout is trained with a simple method such as linear regression and classification. Thus, the major advantage of reservoir computing compared to other recurrent neural networks is fast learning, resulting in low training cost. Another advantage is that the reservoir without adaptive updating is amenable to hardware implementation using a variety of physical systems, substrates, and devices. In fact, such physical reservoir computing has attracted increasing attention in diverse fields of research. The purpose of this review is to provide an overview of recent advances in physical reservoir computing by classifying them according to the type of the reservoir. We discuss the current issues and perspectives related to physical reservoir computing, in order to further expand its practical applications and develop next-generation machine learning systems."
2017 Apr,American journal of ophthalmology case reports,Am J Ophthalmol Case Rep. 2016 Nov 14;5:44-47. doi: 10.1016/j.ajoc.2016.11.004. ,"['Kameda, Yusuke', 'Hirose, Akira', 'Iida, Tomohiro', 'Uchigata, Yasuko', 'Kitano, Shigehiko']","['diabetic macular edema', 'fluid overload', 'retinal pigment epithelial tear', 'serous retinal detachment']",Giant retinal pigment epithelial tear associated with fluid overload due to end-stage diabetic kidney disease.,"PURPOSE: To report a case of a giant retinal pigment epithelial (RPE) tear associated with fluid overload in a patient with diabetic macular edema (DME) and kidney disease. OBSERVATIONS: A 60-year-old man with type 2 diabetes mellitus and end-stage diabetic kidney disease who had gained weight because of fluid overload complained of a visual disturbance in the left eye that had started a few days earlier. The left fundus showed a RPE defect in two temporal quadrants under an extensive serous retinal detachment (SRD) with exacerbation of the original DME. Seven days later, he was admitted for severe edema and pleural effusion. No overt signs of congestive heart failure were noted. On admission, the RPE defect had markedly widened to involve the macula. Spectral-domain optical coherence tomography images showed substantial intraretinal fluid and an extensive SRD with rolled edges of the retinal pigment epithelium, which led to the diagnosis of a RPE tear. The fluid under the SRD was absorbed on the fourth hospital day and the substantial intraretinal fluid resolved on the eleventh day after systemic management of fluid overload only without ophthalmic treatment. The change in the appearance of the RPE area was minimal and the visual field defect remained even after 6 months. CONCLUSIONS AND IMPORTANCE: A RPE tear may develop in association with fluid overload in patients with diabetes."
2016 Nov 8,Scientific reports,Sci Rep. 2016 Nov 8;6:36591. doi: 10.1038/srep36591.,"['Fukuo, Motonobu', 'Kondo, Mineo', 'Hirose, Akira', 'Fukushima, Harumi', 'Ikesugi, Kengo', 'Sugimoto, Masahiko', 'Kato, Kumiko', 'Uchigata, Yasuko', 'Kitano, Shigehiko']","['adult', 'diabetic retinopathy  physiopathology', 'electroretinography  instrumentation  methods', 'female', 'humans', 'male', 'middle aged', 'prospective studies', 'retina  physiopathology']","Screening for diabetic retinopathy using new mydriasis-free, full-field flicker ERG recording device.","Diabetic retinopathy (DR) is a leading cause of blindness among working-age adults. Therefore, it is important to detect DR accurately during mass screening. The purpose of this study was to determine whether a small, hand-held, mydriasis-free, full-field flicker electroretinographic (ERGs) device called RETeval can be used to screen for DR. To accomplish this, we recorded full-field flicker ERGs with this device from 48 normal eyes and 118 eyes with different severities of DR in patients with diabetes mellitus (DM). This system delivered a constant flash retinal luminance by adjusting the flash luminance that compensated for changes in the pupil size. Our results showed that there were significant correlations between the severity of DR and the implicit times (P < 0.001; r = 0.55) and the amplitudes (P = 0.001; r = -0.29). When the implicit time was used for the index, the area under the receiver operating characteristic curve was 0.84 for the detection of DR, and was 0.89 for the detection of DR requiring ophthalmic treatments. These results suggest that the implicit times of the flicker ERGs recorded by the small, mydryasis-free ERG system can be used as an adjunctive tool to screen for DR."
2016 Aug,Diabetes research and clinical practice,Diabetes Res Clin Pract. 2016 Aug;118:154-5. doi: 10.1016/j.diabres.2016.06.016. ,"['Ohtomo, Kazuyoshi', 'Shigeeda, Takashi', 'Hirose, Akira', 'Ohno, Takayuki', 'Kinoshita, Osamu', 'Fujita, Hideo', 'Ando, Jiro', 'Nagai, Ryozo', 'Takamoto, Shinichi', 'Kadowaki, Takashi', 'Kato, Satoshi']","['coronary artery disease', 'diabetic retinopathy', 'non-mydriatic fundus camera']",Frequency of diabetic retinopathy and related factors in patients with diabetes having coronary artery disease.,
