time,journal,doi_info,authors,key words,title,abstract
2024 Jun 26,Journal of oral biosciences,J Oral Biosci. 2024 Jun 26:S1349-0079(24)00147-6. doi: 10.1016/j.job.2024.06.010.,"['Eldeeb, Dahlia', 'Okada, Hiroyuki', 'Suzuki, Yutaka', 'Seki, Masahide', 'Tanaka, Junichi', 'Mishima, Kenji', 'Chung, Ung-Il', 'Ohba, Shinsuke', 'Hojo, Hironori']","['dental mesenchymal cells (1)', 'dental papilla', 'dnmt1', 'tooth development', 'scrna-seq']",Exploring the Role of DNMT1 in Dental Papilla Cell Fate Specification during Mouse Tooth Germ Development through Integrated Single-Cell Transcriptomics and Bulk RNA Sequencing.,"OBJECTIVES: This study aimed to investigate the regulatory mechanisms governing dental mesenchymal cell commitment during tooth development, focusing on odontoblast differentiation and the role of epigenetic regulation in this process. METHODS: We performed single-cell RNA sequencing (scRNA-seq) of dental cells from embryonic day 14.5 (E14.5) mice to understand the heterogeneity of developing tooth germ cells. Computational analyses including gene regulatory network (GRN) assessment were conducted. We validated our findings using immunohistochemistry (IHC) and in vitro loss-of-function analyses using the DNA methyltransferase 1 (DNMT1) inhibitor Gsk-3484862 in primary dental mesenchymal cells (DMCs) isolated from E14.5 mouse tooth germs. Bulk RNA-seq of Gsk-3484862-treated DMCs was performed to identify potential downstream targets of DNMT1. RESULTS: scRNA-seq analysis revealed diverse cell populations within the tooth germs, including epithelial, mesenchymal, immune, and muscle cells. Using single-cell regulatory network inference and clustering (SCENIC), we identified Dnmt1 as a key regulator of early odontoblast development. IHC analysis showed the ubiquitous expression of DNMT1 in the dental papilla and epithelium. Bulk RNA-seq of cultured DMCs showed that Gsk-3484862 treatment upregulated odontoblast-related genes, whereas genes associated with cell division and the cell cycle were downregulated. Integrated analysis of bulk RNA-seq data with scRNA-seq SCENIC profiles was used to identify the potential Dnmt1 target genes. CONCLUSIONS: Dnmt1 may negatively affect odontoblast commitment and differentiation during tooth development. These findings contribute to a better understanding of the molecular mechanisms underlying tooth development and future development of hard-tissue regenerative therapies."
2024 Dec,Regenerative therapy,Regen Ther. 2024 Apr 2;27:218-229. doi: 10.1016/j.reth.2024.03.023. eCollection ,"['Eldeeb, Dahlia', 'Ikeda, Yuki', 'Hojo, Hironori', 'Ohba, Shinsuke']","['periodontal tissue', 'single-cell analysis', 'tooth']",Unraveling the hidden complexity: Exploring dental tissues through single-cell transcriptional profiling.,"Understanding the composition and function of cells constituting tissues and organs is vital for unraveling biological processes. Single-cell analysis has allowed us to move beyond traditional methods of categorizing cell types. This innovative technology allows the transcriptional and epigenetic profiling of numerous individual cells, leading to significant insights into the development, homeostasis, and pathology of various organs and tissues in both animal models and human samples. In this review, we delve into the outcomes of major investigations using single-cell transcriptomics to decipher the cellular composition of mammalian teeth and periodontal tissues. The recent single-cell transcriptome-based studies have traced in detail the dental epithelium-ameloblast lineage and dental mesenchyme lineages in the mouse incisors and the tooth germ of both mice and humans; unraveled the microenvironment, the identity of niche cells, and cellular intricacies in the dental pulp; shed light on the molecular mechanisms orchestrating root formation; and characterized cellular dynamics of the periodontal ligament. Additionally, cellular components in dental pulps were compared between healthy and carious teeth at a single-cell level. Each section of this review contributes to a comprehensive understanding of tooth biology, offering valuable insights into developmental processes, niche cell identification, and the molecular secrets of the dental environment."
2024 Feb 14,International journal of molecular sciences,Int J Mol Sci. 2024 Feb 14;25(4):2275. doi: 10.3390/ijms25042275.,"['Jiang, Qing', 'Qin, Xin', 'Moriishi, Takeshi', 'Fukuyama, Ryo', 'Katsumata, Shinichi', 'Matsuzaki, Hiroshi', 'Komori, Hisato', 'Matsuo, Yuki', 'Sakane, Chiharu', 'Ito, Kosei', 'Hojo, Hironori', 'Ohba, Shinsuke', 'Komori, Toshihisa']","['animals', 'female', 'male', 'mice', ' calcinosis metabolism', 'core binding factor alpha 1 subunit genetics', 'fibroblast growth factors metabolism', ' n-acetylgalactosaminyltransferases genetics metabolism', ' osteoblasts metabolism', 'phosphorus', 'polypeptide n-acetylgalactosaminyltransferase', ' calcification, physiologic', 'fgf23', 'galnt3', 'runx2', 'hyperphosphatemia', 'mineralization', 'osteocyte', 'osteoid', 'phosphorus']",Runx2 Regulates Galnt3 and Fgf23 Expressions and Galnt3 Decelerates Osteoid Mineralization by Stabilizing Fgf23.,"Runx2 (runt related transcription factor 2) is an essential transcription factor for osteoblast proliferation and differentiation. Uridine diphosphate (UDP)-N-acetylgalactosamine (GalNAc): polypeptide GalNAc-transferase 3 (Galnt3) prevents proteolytic processing of fibroblast growth factor 23 (Fgf23), which is a hormone that regulates the serum level of phosphorus. Runx2 and Galnt3 were expressed in osteoblasts and osteocytes, and Fgf23 expression was restricted to osteocytes in bone. Overexpression and knock-down of Runx2 upregulated and downregulated, respectively, the expressions of Galnt3 and Fgf23, and Runx2 directly regulated the transcriptional activity of Galnt3 in reporter assays. The expressions of Galnt3 and Fgf23 in osteoblast-specific Runx2 knockout (Runx2(fl/flCre)) mice were about half those in Runx2(fl/fl) mice. However, the serum levels of phosphorus and intact Fgf23 in Runx2(fl/flCre) mice were similar to those in Runx2(fl/fl) mice. The trabecular bone volume was increased during aging in both male and female Galnt3(-/-) mice, but the osteoid was reduced. The markers for bone formation and resorption in Galnt3(-/-) mice were similar to the control in both sexes. Galnt3(-/-) mice exhibited hyperphosphatemia and hypercalcemia, and the intact Fgf23 was about 40% that of wild-type mice. These findings indicated that Runx2 regulates the expressions of Galnt3 and Fgf23 and that Galnt3 decelerates the mineralization of osteoid by stabilizing Fgf23."
2024 Apr,Current osteoporosis reports,Curr Osteoporos Rep. 2024 Apr;22(2):299. doi: 10.1007/s11914-024-00861-7.,"['Okada, Hiroyuki', 'Chung, Ung-Il', 'Hojo, Hironori']",[],Correction: Practical Compass of Single-Cell RNA-Seq Analysis.,
2024 Mar,Regenerative therapy,Regen Ther. 2023 Nov 25;25:24-34. doi: 10.1016/j.reth.2023.11.008. eCollection ,"['Nepal, Shant', 'Si, Jinyan', 'Ishikawa, Shohei', 'Nishikawa, Masaki', 'Sakai, Yasuyuki', 'Akimoto, Aya M', 'Okada, Hiroyuki', 'Ohba, Shinsuke', 'Chung, Ung-Il', 'Sakai, Takamasa', 'Hojo, Hironori']","['bone regeneration', 'gel-gel phase separation', 'growth factors', 'injectable hydrogel', 'polyethylene glycol', 'sustained release']",Injectable phase-separated tetra-armed poly(ethylene glycol) hydrogel scaffold allows sustained release of growth factors to enhance the repair of critical bone defects.,"With the rising prevalence of bone-related injuries, it is crucial to improve treatments for fractures and defects. Tissue engineering offers a promising solution in the form of injectable hydrogel scaffolds that can sustain the release of growth factors like bone morphogenetic protein-2 (BMP-2) for bone repair. Recently, we discovered that tetra-PEG hydrogels (Tetra gels) undergo gel-gel phase separation (GGPS) at low polymer content, resulting in hydrophobicity and tissue affinity. In this work, we examined the potential of a newer class of gel, the oligo-tetra-PEG gel (Oligo gel), as a growth factor-releasing scaffold. We investigated the extent of GGPS occurring in the two gels and assessed their ability to sustain BMP-2 release and osteogenic potential in a mouse calvarial defect model. The Oligo gel underwent a greater degree of GGPS than the Tetra gel, exhibiting higher turbidity, hydrophobicity, and pore formation. The Oligo gel demonstrated sustained protein or growth factor release over a 21-day period from protein release kinetics and osteogenic cell differentiation studies. Finally, BMP-2-loaded Oligo gels achieved complete regeneration of critical-sized calvarial defects within 28 days, significantly outperforming Tetra gels. The easy formulation, injectability, and capacity for sustained release makes the Oligo gel a promising candidate therapeutic biomaterial."
2023 Nov 29,Current osteoporosis reports,Curr Osteoporos Rep. 2023 Nov 29. doi: 10.1007/s11914-023-00840-4.,"['Okada, Hiroyuki', 'Chung, Ung-Il', 'Hojo, Hironori']","['computational analysis', 'dry analysis', 'practical compass', 'single cell rna-seq', 'transcriptome']",Practical Compass of Single-Cell RNA-Seq Analysis.,"PURPOSE OF REVIEW: This review paper provides step-by-step instructions on the fundamental process, from handling fastq datasets to illustrating plots and drawing trajectories. RECENT FINDINGS: The number of studies using single-cell RNA-seq (scRNA-seq) is increasing. scRNA-seq revealed the heterogeneity or diversity of the cellular populations. scRNA-seq also provides insight into the interactions between different cell types. User-friendly scRNA-seq packages for ligand-receptor interactions and trajectory analyses are available. In skeletal biology, osteoclast differentiation, fracture healing, ectopic ossification, human bone development, and the bone marrow niche have been examined using scRNA-seq. scRNA-seq data analysis tools are still being developed, even at the fundamental step of dataset integration. However, updating the latest information is difficult for many researchers. Investigators and reviewers must share their knowledge of in silico scRNA-seq for better biological interpretation. This review article aims to provide a useful guide for complex analytical processes in single-cell RNA-seq data analysis."
2023 Dec,Nature materials,Nat Mater. 2023 Dec;22(12):1564-1570. doi: 10.1038/s41563-023-01712-z. Epub 2023 ,"['Ishikawa, Shohei', 'Iwanaga, Yasuhide', 'Uneyama, Takashi', 'Li, Xiang', 'Hojo, Hironori', 'Fujinaga, Ikuo', 'Katashima, Takuya', 'Saito, Taku', 'Okada, Yasushi', 'Chung, Ung-Il', 'Sakumichi, Naoyuki', 'Sakai, Takamasa']","['animals', 'gels chemistry', ' polymers chemistry', 'hydrophobic and hydrophilic interactions', 'water chemistry']",Percolation-induced gel-gel phase separation in a dilute polymer network.,"Cosmic large-scale structures, animal flocks and living tissues can be considered non-equilibrium organized systems created by dissipative processes. Replicating such properties in artificial systems is still difficult. Herein we report a dissipative network formation process in a dilute polymer-water mixture that leads to percolation-induced gel-gel phase separation. The dilute system, which forms a monophase structure at the percolation threshold, spontaneously separates into two co-continuous gel phases with a submillimetre scale (a dilute-percolated gel) during the deswelling process after the completion of the gelation reaction. The dilute-percolated gel, which contains 99% water, exhibits unexpected hydrophobicity and induces the development of adipose-like tissues in subcutaneous tissues. These findings support the development of dissipative structures with advanced functionalities for distinct applications, ranging from physical chemistry to tissue engineering."
2023 Dec,Regenerative therapy,Regen Ther. 2023 Oct 10;24:536-546. doi: 10.1016/j.reth.2023.09.017. eCollection ,"['Ikeda, Yuki', 'Tani, Shoichiro', 'Moriishi, Takeshi', 'Kuroda, Aiko', 'Matsuo, Yuki', 'Saeki, Naoya', 'Inui-Yamamoto, Chizuko', 'Abe, Makoto', 'Maeda, Takashi', 'Rowe, David W', 'Chung, Ung-Il', 'Hojo, Hironori', 'Matsushita, Yuki', 'Sawase, Takashi', 'Ohba, Shinsuke']","['endochondral ossification', 'human pluripotent stem cells', 'intramembranous ossification', 'osteoblast', 'osteocyte', 'paraxial mesoderm']",Modeling of intramembranous ossification using human pluripotent stem cell-derived paraxial mesoderm derivatives.,"Vertebrates form their skeletal tissues from three distinct origins (the neural crest, paraxial mesoderm, and lateral plate mesoderm) through two distinct modes of ossification (intramembranous and endochondral ossification). Since the paraxial mesoderm generates both intramembranous and endochondral bones, it is thought to give rise to both osteoprogenitors and osteo-chondroprogenitors. However, it remains unclear what directs the paraxial mesoderm-derived cells toward these different fates in distinct skeletal elements during human skeletal development. To answer this question, we need experimental systems that recapitulate paraxial mesoderm-mediated intramembranous and endochondral ossification processes. In this study, we aimed to develop a human pluripotent stem cell (hPSC)-based system that models the human intramembranous ossification process. We found that spheroid culture of the hPSC-derived paraxial mesoderm derivatives generates osteoprogenitors or osteo-chondroprogenitors depending on stimuli. The former induced intramembranous ossification, and the latter endochondral ossification, in mouse renal capsules. Transcriptional profiling supported the notion that bone signatures were enriched in the intramembranous bone-like tissues. Thus, we developed a system that recapitulates intramembranous ossification, and that enables the induction of two distinct modes of ossification by controlling the cell fate of the hPSC-derived paraxial mesoderm derivatives."
2023 Oct,Current osteoporosis reports,Curr Osteoporos Rep. 2023 Oct;21(5):485-492. doi: 10.1007/s11914-023-00808-4. ,"['Hojo, Hironori', 'Ohba, Shinsuke']","['animals', 'humans', ' core binding factor alpha 1 subunit genetics', ' gene expression regulation', 'lipids', 'mammals', 'chip-seq', 'gene regulatory mechanisms', 'runx', 'skeletal development', 'skeletal diseases']",Runt-related Transcription Factors and Gene Regulatory Mechanisms in Skeletal Development and Diseases.,"PURPOSE OF REVIEW: Runt-related transcription factors (RUNX) play critical roles in skeletal development, metabolism, and diseases. In mammals, three RUNX members, namely RUNX1, RUNX2, and RUNX3, play distinct and redundant roles, although RUNX2 is a dominant factor in skeletal development and several skeletal diseases. This review is to provide an overview of the current understanding of RUNX-mediated transcriptional regulation in different skeletal cell types. RECENT FINDINGS: Advances in chromatin immunoprecipitation and next-generation sequencing (ChIP-seq) have revealed genome-wide RUNX-mediated gene regulatory mechanisms, including their association with cis-regulatory elements and putative target genes. Further studies with genome-wide analysis and biochemical assays have shed light on RUNX-mediated pioneering action and involvements of RUNX2 in lipid-lipid phase separation. Emerging multi-layered mechanisms of RUNX-mediated gene regulations help us better understanding of skeletal development and diseases, which also provides clues to think how genome-wide studies can help develop therapeutic strategies for skeletal diseases."
2023 Apr 25,Cell reports,Cell Rep. 2023 Apr 25;42(4):112276. doi: 10.1016/j.celrep.2023.112276. Epub 2023 ,"['Tani, Shoichiro', 'Okada, Hiroyuki', 'Onodera, Shoko', 'Chijimatsu, Ryota', 'Seki, Masahide', 'Suzuki, Yutaka', 'Xin, Xiaonan', 'Rowe, David W', 'Saito, Taku', 'Tanaka, Sakae', 'Chung, Ung-Il', 'Ohba, Shinsuke', 'Hojo, Hironori']","['humans', 'mice', 'animals', 'cell differentiation', ' multiomics', 'transcription factors metabolism', 'gene expression regulation', ' pluripotent stem cells metabolism', 'cp: developmental biology', 'cp: stem cell biology', 'zeb2', 'gene regulatory networks', 'human pluripotent stem cells', 'single-cell multiome analysis', 'skeletal development', 'zinc finger e-box binding homeobox 2']",Stem cell-based modeling and single-cell multiomics reveal gene-regulatory mechanisms underlying human skeletal development.,"Although the skeleton is essential for locomotion, endocrine functions, and hematopoiesis, the molecular mechanisms of human skeletal development remain to be elucidated. Here, we introduce an integrative method to model human skeletal development by combining in vitro sclerotome induction from human pluripotent stem cells and in vivo endochondral bone formation by implanting the sclerotome beneath the renal capsules of immunodeficient mice. Histological and scRNA-seq analyses reveal that the induced bones recapitulate endochondral ossification and are composed of human skeletal cells and mouse circulatory cells. The skeletal cell types and their trajectories are similar to those of human embryos. Single-cell multiome analysis reveals dynamic changes in chromatin accessibility associated with multiple transcription factors constituting cell-type-specific gene-regulatory networks (GRNs). We further identify ZEB2, which may regulate the GRNs in human osteogenesis. Collectively, these results identify components of GRNs in human skeletal development and provide a valuable model for its investigation."
