time,journal,doi_info,authors,key words,title,abstract
2024 Apr 15,Heliyon,Heliyon. 2024 Mar 30;10(7):e28903. doi: 10.1016/j.heliyon.2024.e28903. ,"['Liao, Zhiqiang', 'Shi, Zhuozheng', 'Sarker, Md Shamim', 'Tabata, Hitoshi']","['convolutional neural network', 'degenerate optical parametric oscillator', 'electrocardiogram', 'qrs-wave detection', 'simulated degeneration unit']",Robust QRS detection based on simulated degenerate optical parametric oscillator-assisted neural network.,"Accurately detecting the depolarization QRS complex in the ventricles is a fundamental requirement for cardiovascular disease detection using electrocardiography (ECG). In contrast to traditional signal enhancement algorithms, emerging neural network approaches have shown promise for QRS detection because of their generalizability on complex data. However, the inevitable noise present during ECG recording leads to a decrease in the performance of neural networks. To enhance the robustness and performance of neural network-based QRS detectors, we propose a simulated degeneration unit (SDU)-assisted convolutional neural network (CNN). An SDU simulates the physical degeneration process of interfering optical pulses, which can effectively suppress in-band noise. Through comprehensive performance evaluations on three open-source databases, the SDU-enhanced CNN-based approach demonstrated better performance in detecting QRS complexes than other recently reported QRS detectors. Furthermore, real-world noise injection tests indicate that the optimal noise robustness boundary for the CNN equipped with SDU is 167-300% higher than that for the CNN without SDU."
2023 Dec 5,Nanoscale advances,Nanoscale Adv. 2023 Nov 17;5(24):6999-7008. doi: 10.1039/d3na00914a. eCollection ,"['Zhou, Haolong', 'Ramaraj, Sankar Ganesh', 'Ma, Kaijie', 'Sarker, Md Shamim', 'Liao, Zhiqiang', 'Tang, Siyi', 'Yamahara, Hiroyasu', 'Tabata, Hitoshi']",[],Real-time detection of acetone gas molecules at ppt levels in an air atmosphere using a partially suspended graphene surface acoustic wave skin gas sensor.,"To improve the quality of modern life in the current society, low-power, highly sensitive, and reliable healthcare technology is necessary to monitor human health in real-time. In this study, we fabricated partially suspended monolayer graphene surface acoustic wave gas sensors (G-SAWs) with a love-mode wave to effectively detect ppt-level acetone gas molecules at room temperature. The sputtered SiO(2) thin film on the surface of a black 36°YX-LiTaO(3) (B-LT) substrate acted as a guiding layer, effectively reducing the noise and insertion loss. The G-SAWs exhibited enhanced gas response towards acetone gas molecules (800 ppt) in a real-time atmosphere. The high sensitivity of the G-SAW sensor can be attributed to the elasticity and surface roughness of the SiO(2) film. In addition, the G-SAW sensor exhibited rapid response and recovery at room temperature. This study provides a potential strategy for diagnosing different stages of diabetes in the human body."
2024 Feb,Annals of biomedical engineering,Ann Biomed Eng. 2024 Feb;52(2):125-129. doi: 10.1007/s10439-023-03288-w. Epub ,"['Liao, Zhiqiang', 'Wang, Jian', 'Shi, Zhuozheng', 'Lu, Lintao', 'Tabata, Hitoshi']","['humans', ' decision support systems, clinical', 'software', 'algorithms', 'electric power supplies', 'machine learning', 'chatgpt', 'clinical decision support systems', 'large language model', 'machine learning']",Revolutionary Potential of ChatGPT in Constructing Intelligent Clinical Decision Support Systems.,"Recently, Chatbot Generative Pre-trained Transformer (ChatGPT) is recognized as a promising clinical decision support system (CDSS) in the medical field owing to its advanced text analysis capabilities and interactive design. However, ChatGPT primarily focuses on learning text semantics rather than learning complex data structures and conducting real-time data analysis, which typically necessitate the development of intelligent CDSS employing specialized machine learning algorithms. Although ChatGPT cannot directly execute specific algorithms, it aids in algorithm design for intelligent CDSS at the textual level. In this study, besides discussing the types of CDSS and their relationship with ChatGPT, we mainly investigate the benefits and drawbacks of employing ChatGPT as an auxiliary design tool for intelligent CDSS. Our findings indicate that by collaborating with human expertise, ChatGPT has the potential to revolutionize the development of robust and effective intelligent CDSS."
2023 Jul,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2023 Jul;35(28):e2300110. doi: 10.1002/adma.202300110. Epub 2023 May ,"['Endo, Tatsuro', 'Tsuruoka, Shun', 'Tadano, Yuriko', 'Kaneta-Takada, Shingo', 'Seki, Yuichi', 'Kobayashi, Masaki', 'Anh, Le Duc', 'Seki, Munetoshi', 'Tabata, Hitoshi', 'Tanaka, Masaaki', 'Ohya, Shinobu']","[' catheters', 'electric conductivity', 'electrodes', ' electronics', 'oxides', 'metal-insulator transition', 'molecular beam epitaxy', 'oxide electronics', 'perovskite manganite', 'spin-valve devices', 'spintronics']",Giant Spin-Valve Effect in Planar Spin Devices Using an Artificially Implemented Nanolength Mott-Insulator Region.,"Developing technology to realize oxide-based nanoscale planar integrated circuits is in high demand for next-generation multifunctional electronics. Oxide circuits can have a variety of unique functions, including ferromagnetism, ferroelectricity, multiferroicity, superconductivity, and mechanical flexibility. In particular, for spin-transistor applications, the wide tunability of the physical properties due to the presence of multiple oxide phases is valuable for precise conductivity matching between the channel and ferromagnetic electrodes. This feature is essential for realistic spin-transistor operations. Here, a substantially large magnetoresistance (MR) ratio of up to ≈140% is demonstrated for planar-type (La,Sr)MnO(3) (LSMO)-based spin-valve devices. This MR ratio is 10-100 times larger than the best values obtained for semiconductor-based planar devices, which have been studied over the past three decades. This structure is prepared by implementing an artificial nanolength Mott-insulator barrier region using the phase transition of metallic LSMO. The barrier height of the Mott-insulator region is only 55 meV, which enables the large MR ratio. Furthermore, a successful current modulation, which is a fundamental functionality for spin transistors, is shown. These results open up a new avenue for realizing oxide planar circuits with unique functionalities that conventional semiconductors cannot achieve."
2023 Mar 31,Scientific reports,Sci Rep. 2023 Mar 31;13(1):5260. doi: 10.1038/s41598-023-32084-8.,"['Liao, Zhiqiang', 'Yamahara, Hiroyasu', 'Terao, Kenyu', 'Ma, Kaijie', 'Seki, Munetoshi', 'Tabata, Hitoshi']",[],Short-term memory capacity analysis of Lu(3)Fe(4)Co(0.5)Si(0.5)O(12)-based spin cluster glass towards reservoir computing.,"Reservoir computing is a brain heuristic computing paradigm that can complete training at a high speed. The learning performance of a reservoir computing system relies on its nonlinearity and short-term memory ability. As physical implementation, spintronic reservoir computing has attracted considerable attention because of its low power consumption and small size. However, few studies have focused on developing the short-term memory ability of the material itself in spintronics reservoir computing. Among various magnetic materials, spin glass is known to exhibit slow magnetic relaxation that has the potential to offer the short-term memory capability. In this research, we have quantitatively investigated the short-term memory capability of spin cluster glass based on the prevalent benchmark. The results reveal that the magnetization relaxation of Co, Si-substituted Lu(3)Fe(5)O(12) with spin glass behavior can provide higher short-term memory capacity than ferrimagnetic material without substitution. Therefore, materials with spin glass behavior can be considered as potential candidates for constructing next-generation spintronic reservoir computing with better performance."
2023 Mar 24,Scientific reports,Sci Rep. 2023 Mar 24;13(1):4872. doi: 10.1038/s41598-023-31607-7.,"['Sarker, Md Shamim', 'Yao, Lihao', 'Yamahara, Hiroyasu', 'Ma, Kaijie', 'Liao, Zhiqiang', 'Terao, Kenyu', 'Tang, Siyi', 'Ramaraj, Sankar Ganesh', 'Seki, Munetoshi', 'Tabata, Hitoshi']",[],Reconfigurable magnon interference by on-chip dynamic wavelength conversion.,"Spin waves (SWs), an ultra-low power magnetic excitation in ferro or antiferromagnetic media, have tremendous potential as transport less data carriers for post-CMOS technology using their wave interference properties. The concept of magnon interference originates from optical interference, resulting in a historical taboo of maintaining an identical wavevector for magnon interference-based devices. This makes the attainment of on-chip design reconfigurability challenging owing to the difficulty in phase tuning via external fields. Breaking the taboo, this study explores a novel technique to systematically control magnon interference using asymmetric wavevectors from two different SW modes (magnetostatic surface SWs and backward volume magnetostatic SWs) in a microstructured yttrium iron garnet crossbar. Using this system, we demonstrate phase reconfigurability in the interference pattern by modulating the thermal landscape, modifying the dispersion of the interfering SW modes. Thus, we manifest that such a tunable interference can be used to implement reconfigurable logic gates operating between the XNOR and XOR modes by using symmetric and asymmetric interference, respectively."
2022 Sep 26,Nature communications,Nat Commun. 2022 Sep 26;13(1):5631. doi: 10.1038/s41467-022-33350-5.,"['Kaneta-Takada, Shingo', 'Kitamura, Miho', 'Arai, Shoma', 'Arai, Takuma', 'Okano, Ryo', 'Anh, Le Duc', 'Endo, Tatsuro', 'Horiba, Koji', 'Kumigashira, Hiroshi', 'Kobayashi, Masaki', 'Seki, Munetoshi', 'Tabata, Hitoshi', 'Tanaka, Masaaki', 'Ohya, Shinobu']",[],Giant spin-to-charge conversion at an all-epitaxial single-crystal-oxide Rashba interface with a strongly correlated metal interlayer.,"The two-dimensional electron gas (2DEG) formed at interfaces between SrTiO(3) (STO) and other oxide insulating layers is promising for use in efficient spin-charge conversion due to the large Rashba spin-orbit interaction (RSOI). However, these insulating layers on STO prevent the propagation of a spin current injected from an adjacent ferromagnetic layer. Moreover, the mechanism of the spin-current flow in these insulating layers is still unexplored. Here, using a strongly correlated polar-metal LaTiO(3+δ) (LTO) interlayer and the 2DEG formed at the LTO/STO interface in an all-epitaxial heterostructure, we demonstrate giant spin-to-charge current conversion efficiencies, up to ~190 nm, using spin-pumping ferromagnetic-resonance voltage measurements. This value is the highest among those reported for all materials, including spin Hall systems. Our results suggest that the strong on-site Coulomb repulsion in LTO and the giant RSOI of LTO/STO may be the key to efficient spin-charge conversion with suppressed spin-flip scattering. Our findings highlight the hidden inherent possibilities of oxide interfaces for spin-orbitronics applications."
2022 Jun 30,Scientific reports,Sci Rep. 2022 Jun 30;12(1):11105. doi: 10.1038/s41598-022-15317-0.,"['Sarker, Md Shamim', 'Yamahara, Hiroyasu', 'Yao, Lihao', 'Tang, Siyi', 'Liao, Zhiqiang', 'Seki, Munetoshi', 'Tabata, Hitoshi']",[],Sensitivity enhancement in magnetic sensor using CoFeB/Y(3)Fe(5)O(12) resonator.,"Magnonics, an emerging research field that uses the quanta of spin waves as data carriers, has a potential to dominate the post-CMOS era owing to its intrinsic property of ultra-low power operation. Spin waves can be manipulated by a wide range of parameters; thus, they are suitable for sensing applications in a wide range of physical fields. In this study, we designed a highly sensitive, simple structure, and ultra-low power magnetic sensor using a simple CoFeB/Y(3)Fe(5)O(12) bilayer structure. We demonstrated that the CoFeB/Y(3)Fe(5)O(12) bilayer structure can create a sharp rejection band in its spin-wave transmission spectra. The lowest point of this strong rejection band allows the detection of a small frequency shift owing to the external magnetic field variation. Experimental observations revealed that such a bilayer magnetic sensor exhibits 20 MHz frequency shifts upon the application of an external magnetic field of 0.5 mT. Considering the lowest full width half maximum, which is about 2 MHz, a sensitivity of 10(-2) mT order can be experimentally achieved. Furthermore, the higher sensitivity in the order of 10(-6) T (µT) has been demonstrated using the sharp edge of the rejection band of the CoFeB/Y(3)Fe(5)O(12) bilayer device. A Y-shaped spin waves interference device with two input arms consisting of CoFeB/Y(3)Fe(5)O(12) and Y(3)Fe(5)O(12) has been theoretically investigated. We proposed that such a structure can demonstrate a magnetic sensitivity in the range of [Formula: see text] T (nT) at room temperature. The sensitivity of the sensor can be further enhanced by tuning the width of the CoFeB metal stripe."
2022 Feb 22,ACS nano,ACS Nano. 2022 Feb 22;16(2):2224-2232. doi: 10.1021/acsnano.1c08318. Epub 2022 ,"['Deng, Chih-Zong', 'Ho, Ya-Lun', 'Yamahara, Hiroyasu', 'Tabata, Hitoshi', 'Delaunay, Jean-Jacques']","['bloch surface wave', 'all-dielectric', 'directional coupler', 'near-zero-index', 'optical logic gate']",Near-Zero-Index Slabs on Bloch Surface Wave Platform for Long-Range Directional Couplers and Optical Logic Gates.,"Near-zero-index materials and structures, with their extraordinary optical behaviors of phase-free propagation resulting in directional radiation, provide a possible approach for directional coupling and optical logic gates in photonic integrated circuits. However, the radiation from the near-zero-index structures is limited to a short range of a few hundreds of nanometers. A Bloch surface wave (BSW), an electromagnetic surface wave that can be excited at the interface between an all-dielectric multilayer and a dielectric medium with a low-loss optical mode, provides a solution to increase the propagation length. In this work, we present a nanostructured near-zero-index slab integrated on the all-dielectric metal-free BSW platform for long-range surface wave radiation. By employing the long-range directional surface-wave radiation, a directional coupler and optical logic gates based on the BSW near-zero-index slabs are realized. The proposed directional couplers achieve long coupling distances (the electric-field magnitude ratio between the input slab and output slab is 0.22 with a 50 μm coupling distance), which is 2 orders of magnitude longer than that of conventional directional couplers based on evanescent wave coupling. By controlling the interference pattern of the BSW between the slabs, the XOR logic gate is experimentally demonstrated with a significant extinction ratio of 27.9 dB at telecommunications wavelengths. The BSW near-zero-index logic gates and the directional coupler with long-range light propagation provide an approach to the development of photonic integrated circuits and metal-free surface wave-based applications."
2022 Jan 27,The journal of physical chemistry. B,J Phys Chem B. 2022 Jan 27;126(3):708-715. doi: 10.1021/acs.jpcb.1c09941. Epub ,"['Hu, Junru', 'Liao, Zhiqiang', 'Yano, Yasuo', 'Yamahara, Hiroyasu', 'Tabata, Hitoshi']","['hydrogen bonding', 'maltose chemistry', ' trehalose chemistry', ' water chemistry']",Broadband Dielectric Spectroscopic Analysis toward Characterization of the Hydration State and Bioprotective Superiority of Trehalose.,"Alteration of the hydrogen-bond (H-bond) network by trehalose is acknowledged as a bioprotective agent. However, most studies exploring the hydration superiority of the trehalose structure are limited structure are limited by the computational cost or a narrow-range spectrum. In the present study, the structural and dynamical behaviors of the H-bond network of trehalose and maltose solutions were observed and compared with a broadband dielectric spectrum (100 MHz-18 THz) to investigate the influence of the trehalose structure on the bioprotective function. From the relaxation time, the reorientation cooperativity, resonant frequency, and damping constant of water-water vibration, the symmetric structure of trehalose allowed a more significant H-bond strengthening effect and homogeneous aqueous environment. In contrast, the difference in the hydration number between trehalose and maltose was negligible. Thus, the enhanced H-bond strengthening effect and homogeneous aqueous environment owing to the symmetric structure are the essential factors that contribute to the remarkable bioprotective effect of trehalose."
