time,journal,doi_info,authors,key words,title,abstract
2024,PloS one,PLoS One. 2024 May 29;19(5):e0304381. doi: 10.1371/journal.pone.0304381. ,"['Minamitani, Masanari', 'Katano, Atsuto', 'Sasaki, Tsukasa', 'Yamaguchi, Satoshi', 'Nakagawa, Keiichi']","['humans', ' health literacy', 'male', 'pilot projects', 'adult', ' neoplasms prevention & control', ' health education', 'surveys and questionnaires', 'japan', 'schools', 'female', 'young adult', 'early detection of cancer psychology statistics & numerical data', 'health behavior']",Comparing health literacy and behavioral changes in adulthood: A pilot study on alumni of a single school cancer education program.,"Cancer education programs are regularly conducted in schools in Japan. Previous reports on their effectiveness were based on surveys conducted several months after the education. We aimed to evaluate whether cancer education for children influenced their behavioral changes in adulthood. We targeted schools where the Japan Cancer Society has conducted the programs since 2011 and the program participants are older than 21 years currently. Invitations were sent to the participants and controls who graduated one year before or after the participants, and answers were obtained using an online questionnaire. Data were collected on the willingness to undergo cancer screening, sociodemographic characteristics, healthy behaviors, and health literacy. We compared the data from the program participants with those from controls. We requested cooperation from 13 schools; however, only one agreed. The common reason for refusal was privacy concerns. In the all-boys participating school in Tokyo, there was no significant difference in background information between the cancer education (38 participants) and control (55 participants) groups. Multiple linear regression showed that healthcare or welfare education background (β = 0.25, p = 0.01) and health literacy (β = 0.24, p = 0.02) were significant predictors of cancer screening intention, while the presence of cancer education (p = 0.25) was not. Despite severe selection bias, this is the first study to examine the long-term impacts of cancer education. We found no significant impacts on the measured outcome. However, the educational content at that time differed from that of today, and the program's efficacy should not be negated."
2024 May 29,Journal of cancer education : the official journal of the American Association ,J Cancer Educ. 2024 May 29. doi: 10.1007/s13187-024-02432-x.,"['Minamitani, Masanari', 'Morishima, Kosuke', 'Katano, Atsuto', 'Ohira, Shingo', 'Nakagawa, Keiichi']","['cancer screening', 'cervical cancer', 'hpv vaccination', 'health literacy', 'raidotherapy']",Exploring the Correlation Between Health Literacy and Knowledge of Cervical Cancer and Radiotherapy Among Japanese Women: A Web-Based Survey.,"Health literacy (HL) plays a vital role in an individual's ability to make informed health decisions. Japan faces several challenges in cervical cancer control, including low human papillomavirus (HPV) vaccination and screening rates, underutilization of radiotherapy, and limited HL. This study explored the association between HL and knowledge of cervical cancer and radiotherapy, particularly among young Japanese women. We conducted a web-based survey among users of LunaLuna, a popular women's healthcare application, to assess their HL and knowledge about cervical cancer and radiotherapy through a 46-question survey. We compared three groups in terms of HL (inadequate, problematic, and sufficient & excellent). Multiple regression analysis was used to identify factors associated with knowledge. In total, 1468 respondents were included in this study. HL was positively correlated with knowledge scores (inadequate: 51.8%; problematic: 56.3%; sufficient & excellent: 60%). Participants displayed relatively low accuracy for treatment-related questions. Higher HL (β = 0.15, p < 0.01), education (β = - 0.11, p < 0.01), cervical cancer screening (β = - 0.11, p < 0.01), income (β = 0.09, p < 0.01), and employment (β = - 0.06, p = 0.04) were significant factors affecting knowledge of cervical cancer and radiotherapy. Our findings underscore the pivotal role of HL in promoting cervical cancer prevention and providing a better understanding of radiotherapy. Despite factors such as age, education, and history of cervical cancer screening, HL showed the strongest association with knowledge of cervical cancer and radiotherapy. The enhancement of HL and knowledge dissemination may be critical for promoting cervical cancer prevention and radiotherapy in Japan."
2024 May 29,Supportive care in cancer : official journal of the Multinational Association of ,Support Care Cancer. 2024 May 29;32(6):391. doi: 10.1007/s00520-024-08589-x.,"['Minamitani, Masanari', 'Katano, Atsuto', 'Mukai, Tomoya', 'Ohira, Shingo', 'Nakagawa, Keiichi']","['humans', 'male', ' prostatic neoplasms radiotherapy surgery', 'cross-sectional studies', 'middle aged', 'female', ' uterine cervical neoplasms radiotherapy surgery', 'aged', ' decision making', 'japan', 'adult', 'surveys and questionnaires', 'cervical cancer', 'information sources in healthcare', 'prostate cancer', 'psychosocial factors', 'surgery vs. radiotherapy', 'treatment decision-making']",Comparative analysis of treatment decision-making in patients with localized prostate and cervical cancer: what influences receiving surgery or radiotherapy?,"PURPOSE: This study focused on identifying the factors influencing the decision-making process in patients with localized prostate and cervical cancer in Japan and specifically examining the choice between surgery and radiotherapy. METHODS: Patients with specific cancer stages registered with a healthcare research company for whom radical surgery or radiotherapy was equally effective and recommended participated in this cross-sectional online survey. RESULTS: The responses of 206 and 231 patients with prostate and cervical cancer, respectively, revealed that both groups relied heavily on the physicians' recommendations (prostate: odds ratio (OR) = 40.3, p < 0.001; cervical: OR = 5.59, p < 0.001) and their impression of radiotherapy (prostate: OR = 9.22, p < 0.001; cervical: OR = 2.31, p < 0.001). Factors such as hypertension (OR = 6.48, p < 0.05), diabetes mellitus (OR = 9.68, p < 0.05), employment status (OR = 0.08, p < 0.01), and impressions of surgery (OR = 0.14, p < 0.01) also played a significant role in patients with prostate cancer. In contrast, the specialty of the physician (OR = 4.55, p < 0.05) proposing the treatment influenced the decision-making process of patients with cervical cancer. Information sources varied between the two groups: patients with prostate cancer were more inclined towards printed materials, whereas patients with cervical cancer were more inclined towards interpersonal relationships. CONCLUSION: Although several limitations, such as the sample and recall bias, were noted, this study emphasizes the role of psychosocial factors in the decision-making process and the requirement for tailored information sources."
2024 Jun,Radiological physics and technology,Radiol Phys Technol. 2024 Jun;17(2):458-466. doi: 10.1007/s12194-024-00802-0. ,"['Ohira, Shingo', 'Mochizuki, Junji', 'Niwa, Tatsunori', 'Endo, Kazuyuki', 'Minamitani, Masanari', 'Yamashita, Hideomi', 'Katano, Atsuto', 'Imae, Toshikazu', 'Nishio, Teiji', 'Koizumi, Masahiko', 'Nakagawa, Keiichi']","[' phantoms, imaging', ' tomography, x-ray computed methods', 'image processing, computer-assisted methods', 'radiation dosage', 'dlct', 'dsct', 'dual-energy ct', 'fksct', 'hu value']","Variation in Hounsfield unit calculated using dual-energy computed tomography: comparison of dual-layer, dual-source, and fast kilovoltage switching technique.","The purpose of the study is to investigate the variation in Hounsfield unit (HU) values calculated using dual-energy computed tomography (DECT) scanners. A tissue characterization phantom inserting 16 reference materials were scanned three times using DECT scanners [dual-layer CT (DLCT), dual-source CT (DSCT), and fast kilovoltage switching CT (FKSCT)] changing scanning conditions. The single-energy CT images (120 or 140 kVp), and virtual monochromatic images at 70 keV (VMI(70)) and 140 keV (VMI(140)) were reconstructed, and the HU values of each reference material were measured. The difference in HU values was larger when the phantom was scanned using the half dose with wrapping with rubber (strong beam-hardening effect) compared with the full dose without the rubber (reference condition), and the difference was larger as the electron density increased. For SECT, the difference in HU values against the reference condition measured by the DSCT (3.2 ± 5.0 HU) was significantly smaller (p < 0.05) than that using DLCT with 120 kVp (22.4 ± 23.8 HU), DLCT with 140 kVp (11.4 ± 12.8 HU), and FKSCT (13.4 ± 14.3 HU). The respective difference in HU values in the VMI(70) and VMI(140) measured using the DSCT (10.8 ± 17.1 and 3.5 ± 4.1 HU) and FKSCT (11.5 ± 21.8 and 5.5 ± 10.4 HU) were significantly smaller than those measured using the DLCT(120) (23.1 ± 27.5 and 12.4 ± 9.4 HU) and DLCT(140) (22.3 ± 28.6 and 13.1 ± 11.4 HU). The HU values and the susceptibility to beam-hardening effects varied widely depending on the DECT scanners."
2024,International journal of hyperthermia : the official journal of European Society ,Int J Hyperthermia. 2024;41(1):2335199. doi: 10.1080/02656736.2024.2335199. Epub ,"['Enomoto, Atsushi', 'Fukasawa, Takemichi', 'Terunuma, Hiroshi', 'Nakagawa, Keiichi', 'Yoshizaki, Ayumi', 'Sato, Shinichi', 'Hosoya, Noriko', 'Miyagawa, Kiyoshi']","['humans', ' map kinase signaling system', 'hela cells', 'mitogen-activated protein kinases metabolism', 'mitogen-activated protein kinase kinases metabolism', 'apoptosis physiology', ' hyperthermia, induced', 'dusp16', 'hyperthermia', 'jnk signaling', 'apoptosis', 'degradation', 'phosphorylation']",Deregulated JNK signaling enhances apoptosis during hyperthermia.,"PURPOSE: c-Jun N-terminal kinases (JNKs) comprise a subfamily of mitogen-activated protein kinases (MAPKs). The JNK group is known to be activated by a variety of stimuli. However, the molecular mechanism underlying heat-induced JNK activation is largely unknown. The aim of this study was to clarify how JNK activity is stimulated by heat. METHODS AND MATERIALS: The expression levels of various MAPK members in HeLa cells, with or without hyperthermia treatment, were evaluated via western blotting. The kinase activity of MAPK members was assessed through in vitro kinase assays. Cell death was assessed in the absence or presence of siRNAs targeting MAPK-related members. RESULTS: Hyperthermia decreased the levels of MAP3Ks, such as ASK1 and MLK3 which are JNK kinase kinase members, but not those of the downstream MAP2K/SEK1 and MAPK/JNK. Despite the reduced or transient phosphorylation of ASK1, MLK3, or SEK1, downstream JNK was phosphorylated in a temperature-dependent manner. In vitro kinase assays demonstrated that heat did not directly stimulate SEK1 or JNK. However, the expression levels of DUSP16, a JNK phosphatase, were decreased upon hyperthermia treatment. DUSP16 knockdown enhanced the heat-induced activation of ASK1-SEK1-JNK pathway and apoptosis. CONCLUSION: JNK was activated in a temperature-dependent manner despite reduced or transient phosphorylation of the upstream MAP3K and MAP2K. Hyperthermia-induced degradation of DUSP16 may induce activation of the ASK1-SEK1-JNK pathway and subsequent apoptosis."
2024 Jun,Radiological physics and technology,Radiol Phys Technol. 2024 Jun;17(2):389-395. doi: 10.1007/s12194-024-00788-9. ,"['Ohira, Shingo', 'Imae, Toshikazu', 'Minamitani, Masanari', 'Katano, Atsuto', 'Aoki, Atsushi', 'Ohta, Takeshi', 'Umekawa, Motoyuki', 'Shinya, Yuki', 'Hasegawa, Hirotaka', 'Nishio, Teiji', 'Koizumi, Masahiko', 'Yamashita, Hideomi', 'Saito, Nobuhito', 'Nakagawa, Keiichi']","[' radiosurgery instrumentation', ' cone-beam computed tomography', ' phantoms, imaging', 'quality assurance, health care', 'humans', 'quality control', 'time factors', 'accuracy', 'cbct', 'gamma knife', 'icon', 'radiation focal point']",Long-term geometric quality assurance of radiation focal point and cone-beam computed tomography for Gamma Knife radiosurgery system.,"To investigate the geometric accuracy of the radiation focal point (RFP) and cone-beam computed tomography (CBCT) over long-term periods for the ICON Leksell Gamma Knife radiosurgery system. This phantom study utilized the ICON quality assurance tool plus, and the phantom was manually set on the patient position system before the implementation of treatment for patients. The deviation of the RFP position from the unit center point (UCP) and the positions of the four ball bearings (BBs) in the CBCT from the reference position were automatically analyzed. During 544 days, a total of 269 analyses were performed on different days. The mean ± standard deviation (SD) of the deviation between measured RFP and UCP was 0.01 ± 0.03, 0.01 ± 0.03, and -0.01 ± 0.01 mm in the X, Y, and Z directions, respectively. The deviations with offset values after the cobalt-60 source replacement (0.00 ± 0.03, -0.01 ± 0.01, and -0.01 ± 0.01 mm in the X, Y, and Z directions, respectively) were significantly (p = 0.001) smaller than those before the replacement (0.02 ± 0.03, 0.02 ± 0.01, and -0.02 ± 0.01 mm in the X, Y, and Z directions, respectively). The overall mean ± SD of four BBs was -0.03 ± 0.03, -0.01 ± 0.05, and 0.01 ± 0.03 mm in the X, Y, and Z directions, respectively. Geometric positional accuracy was ensured to be within 0.1 mm on most days over a long-term period of more than 500 days."
2024 Apr,Medical physics,Med Phys. 2024 Apr;51(4):2378-2385. doi: 10.1002/mp.17008. Epub 2024 Feb 29.,"['Nozawa, Yuki', 'Ohta, Takeshi', 'Katano, Atsuto', 'Nawa, Kanabu', 'Ohira, Shingo', 'Yamashita, Hideomi', 'Nakagawa, Keiichi']","['humans', 'diaphragm diagnostic imaging', ' radiotherapy, intensity-modulated methods', ' lung neoplasms radiotherapy', ' abdominal neoplasms diagnostic imaging radiotherapy', 'breath holding', 'phantoms, imaging', 'radiotherapy planning, computer-assisted methods', 'breath‐hold', 'diaphragm', 'projection streaming']",Initial validation of a diaphragm tracking system for multiple breath-hold volumetric modulated arc therapy of abdominal tumors: A phantom study.,"BACKGROUND: The breath-hold radiotherapy has been increasingly used to mitigate interfractional and intrafractional breathing impact on treatment planning and beam delivery. Previous techniques include body surface measurements or radiopaque metal markers, each having known disadvantages. PURPOSE: We recently proposed a new markerless technique without the disadvantages, where diaphragm was registered between DRR and fluoroscopic x-ray projection images every 180 ms during VMAT delivery. An initial validation of the proposed diaphragm tracking system (DiaTrak) was performed using a chest phantom to evaluate its characteristics. METHODS: Diaphragm registration was performed between DRR and projection streaming kV x-ray images of a chest phantom during VMAT delivery. Streaming data including the projection images and the beam angles were transferred from a linac system to an external PC, where the diaphragm registration accuracy and beam-off latency were measured based on image cross correlation between the DRR and the projection images every 180 ms. RESULTS: It was shown that the average of the beam-off latency was 249.5 ms and the average of the diaphragm registration error was 0.84 mm CONCLUSIONS: Initial validation of the proposed DiaTrak system for multiple breath-hold VMAT of abdominal tumors has been successfully completed with a chest phantom. The resulting beam-off latency and the diaphragm registration error were regarded clinically acceptable."
2024 Jun,Journal of applied clinical medical physics,J Appl Clin Med Phys. 2024 Jun;25(6):e14294. doi: 10.1002/acm2.14294. Epub 2024 ,"['Ohira, Shingo', 'Yamashita, Hideomi', 'Minamitani, Masanari', 'Sawayanagi, Subaru', 'Ogita, Mami', 'Imae, Toshikazu', 'Katano, Atsuto', 'Nozawa, Yuki', 'Ohta, Takeshi', 'Nawa, Kanabu', 'Nishio, Teiji', 'Koizumi, Masahiko', 'Nakagawa, Keiichi']","['humans', ' prostatic neoplasms radiotherapy surgery', 'male', ' radiosurgery methods', ' radiotherapy dosage', ' radiotherapy planning, computer-assisted methods', ' radiotherapy, intensity-modulated methods', ' organs at risk radiation effects', 'aged', 'particle accelerators instrumentation', 'hydrogels chemistry', 'middle aged', 'prognosis', 'radiometry methods', 'aged, 80 and over', 'sbrt', 'dose', 'hydrogel spacer', 'prostate']",Relationship between hydrogel spacer distribution and dosimetric parameters in linear-accelerator-based stereotactic body radiotherapy for prostate cancer.,"PURPOSE: To explore the potential of quantitative parameters of the hydrogel spacer distribution as predictors for separating the rectum from the planning target volume (PTV) in linear-accelerator-based stereotactic body radiotherapy (SBRT) for prostate cancer. METHODS: Fifty-five patients underwent insertion of a hydrogel spacer and were divided into groups 1 and 2 of the PTV separated from and overlapping with the rectum, respectively. Prescribed doses of 36.25-45 Gy in five fractions were delivered to the PTV. The spacer cover ratio (SCR) and hydrogel-implant quality score (HIQS) were calculated. RESULTS: Dosimetric and quantitative parameters of the hydrogel spacer distribution were compared between the two groups. For PTV, D(99%) in group 1 (n = 29) was significantly higher than that in group 2 (n = 26), and D(max), D(0.03cc), D(1cc), and D(10%) for the rectum were significantly lower in group 1 than in group 2. The SCR for prostate (89.5 ± 12.2%) in group 1 was significantly higher (p < 0.05) than that in group 2 (74.7 ± 10.3%). In contrast, the HIQS values did not show a significant difference between the groups. An area under the curve of 0.822 (95% confidence interval, 0.708-0.936) for the SCR was obtained with a cutoff of 93.6%, sensitivity of 62.1%, and specificity of 100%. CONCLUSIONS: The SCR seems promising to predict the separation of the rectum from the PTV in linear-accelerator-based SBRT for prostate cancer."
2024 Jan 5,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et ,Strahlenther Onkol. 2024 Jan 5. doi: 10.1007/s00066-023-02192-5.,"['Noda, Michio', 'Taguchi, Satoru', 'Shiraishi, Kenshiro', 'Fujimura, Tetsuya', 'Naito, Akihiro', 'Kawai, Taketo', 'Kamei, Jun', 'Akiyama, Yoshiyuki', 'Yamada, Yuta', 'Sato, Yusuke', 'Yamada, Daisuke', 'Nakagawa, Tohru', 'Yamashita, Hideomi', 'Nakagawa, Keiichi', 'Abe, Osamu', 'Fukuhara, Hiroshi', 'Kume, Haruki']","['external beam radiotherapy', 'intensity-modulated radiotherapy', 'prostate cancer', 'robot-assisted radical prostatectomy', 'volumetric modulated arc therapy']",Six-year outcomes of robot-assisted radical prostatectomy versus volumetric modulated arc therapy for localized prostate cancer: A propensity score-matched analysis.,"BACKGROUND: Although robot-assisted radical prostatectomy (RARP) and intensity-modulated radiotherapy are the leading respective techniques of prostatectomy and radiotherapy for localized prostate cancer, almost no study has directly compared their outcomes; none have compared mortality outcomes. METHODS: We compared 6‑year outcomes of RARP (n = 500) and volumetric modulated arc therapy (VMAT, a rotational intensity-modulated radiotherapy, n = 360) in patients with cT1-4N0M0 prostate cancer. We assessed oncological outcomes, namely overall survival (OS), cancer-specific survival (CSS), radiological recurrence-free survival (rRFS), and biochemical recurrence-free survival (bRFS), using propensity score matching (PSM). We also assessed treatment-related complication outcomes of prostatectomy and radiotherapy. RESULTS: The median follow-up duration was 79 months (> 6 years). PSM generated a matched cohort of 260 patients (130 per treatment group). In the matched cohort, RARP and VMAT showed equivalent results for OS, CSS, and rRFS: both achieved excellent 6‑year outcomes for OS (> 96%), CSS (> 98%), and rRFS (> 91%). VMAT had significantly longer bRFS than RARP, albeit based on different definitions of biochemical recurrence. Regarding complication outcomes, patients who underwent RARP had minimal (2.6%) severe perioperative complications and achieved excellent continence recovery (91.6 and 68.8% of the patients achieved ≤ 1 pad/day and pad-free, respectively). Patients who underwent VMAT had an acceptable rate (20.0%) of grade ≥ 2 genitourinary complications and a very low rate (4.4%) of grade ≥ 2 gastrointestinal complications. CONCLUSION: On the basis of PSM after a 6-year follow-up, RARP and VMAT showed equivalent and excellent oncological outcomes, as well as acceptable complication profiles."
2023 Dec 22,Science advances,Sci Adv. 2023 Dec 22;9(51):eadj8608. doi: 10.1126/sciadv.adj8608. Epub 2023 Dec ,"['Saiki, Takao', 'Shimada, Keitaro', 'Ishijima, Ayumu', 'Song, Hang', 'Qi, Xinyi', 'Okamoto, Yuki', 'Mizushima, Ayako', 'Mita, Yoshio', 'Hosobata, Takuya', 'Takeda, Masahiro', 'Morita, Shinya', 'Kushibiki, Kosuke', 'Ozaki, Shinobu', 'Motohara, Kentaro', 'Yamagata, Yutaka', 'Tsukamoto, Akira', 'Kannari, Fumihiko', 'Sakuma, Ichiro', 'Inada, Yuki', 'Nakagawa, Keiichi']",[],Single-shot optical imaging with spectrum circuit bridging timescales in high-speed photography.,"Single-shot optical imaging based on ultrashort lasers has revealed nonrepetitive processes in subnanosecond timescales beyond the recording range of conventional high-speed cameras. However, nanosecond photography without sacrificing short exposure time and image quality is still missing because of the gap in recordable timescales between ultrafast optical imaging and high-speed electronic cameras. Here, we demonstrate nanosecond photography and ultrawide time-range high-speed photography using a spectrum circuit that produces interval-tunable pulse trains while keeping short pulse durations. We capture a shock wave propagating through a biological cell with a 1.5-ns frame interval and 44-ps exposure time while suppressing image blur. Furthermore, we observe femtosecond laser processing over multiple timescales (25-ps, 2.0-ns, and 1-ms frame intervals), showing that the plasma generated at the picosecond timescale affects subsequent shock wave formation at the nanosecond timescale. Our technique contributes to accumulating data of various fast processes for analysis and to analyzing multi-timescale phenomena as a series of physical processes."
