time,journal,doi_info,authors,key words,title,abstract
2024 Apr 1,Nuclear medicine communications,Nucl Med Commun. 2024 Apr 1;45(4):287-294. doi: 10.1097/MNM.0000000000001812. ,"['Lin, Hongchang', 'Kobayashi, Mariko', 'Kushiro, Keiichiro', 'Yanagie, Hironobu', 'Shimazoe, Kenji', 'Takahashi, Hiroyuki']","['humans', ' fluorodeoxyglucose f18', 'diagnostic imaging', 'radioisotopes', ' neoplasms diagnostic imaging', 'glucose metabolism', 'radiopharmaceuticals']",In-vivo correlations of fluorescent or radioisotope glucose-analogs in imaging cancer metabolism.,"OBJECTIVE: To investigate the impact of different tracer modifications on the imaging of cancer metabolism, focusing on the comparison of fluorescent glucose-analog tracers (2-NBDG and 2-DG-750) and the radiolabeled tracer 18F-FDG in both in-vitro and in-vivo settings. METHODS: We conducted an in-vitro comparative study using four cancer cell lines, each with unique glucose uptake characteristics. The study involved direct comparison of three tracers: 2-NBDG, 2-DG-750 and 18F-FDG, examining their internalization behaviors, metabolic functionality and localization effects in cancer metabolism imaging. RESULTS: The study revealed that each tracer exhibits distinct internalization behaviors correlated with imaging label size and type. 18F-FDG showed the highest uptake efficiency. Fluorescent molecules were found to accumulate in tumors primarily due to hydrophobic interactions and possible aggregation, indicating inefficiency in metabolism and suitability for imaging metabolic phenomena when compared to radiolabeled biomolecules. CONCLUSION: Our findings demonstrate that despite certain impracticalities, nuclear imaging, particularly using radiolabeled biomolecules like 18F-FDG, offers significant potential for accurately capturing biological phenomena. This is crucial for future advancements in both clinical and research settings. The study emphasizes the limitations of fluorescent molecules in imaging metabolic activities due to their inefficient metabolism and aggregation tendencies."
2022 Jun 7,"Sensors (Basel, Switzerland)",Sensors (Basel). 2022 Jun 7;22(12):4325. doi: 10.3390/s22124325.,"['Tomita, Hideki', 'Hara, Shintaro', 'Mukai, Atsushi', 'Yamagishi, Keita', 'Ebi, Hidetake', 'Shimazoe, Kenji', 'Tamura, Yusuke', 'Woo, Hanwool', 'Takahashi, Hiroyuki', 'Asama, Hajime', 'Ishida, Fumihiko', 'Takada, Eiji', 'Kawarabayashi, Jun', 'Tanabe, Kosuke', 'Kamada, Kei']","[' diagnostic imaging', 'radioisotopes', 'radiotherapy dosage', ' radiotherapy planning, computer-assisted methods', '4π gamma imaging', 'path planning', 'radioisotope identification', 'random forest']",Path-Planning System for Radioisotope Identification Devices Using 4π Gamma Imaging Based on Random Forest Analysis.,"We developed a path-planning system for radiation source identification devices using 4π gamma imaging. The estimated source location and activity were calculated by an integrated simulation model by using 4π gamma images at multiple measurement positions. Using these calculated values, a prediction model to estimate the probability of identification at the next measurement position was created by via random forest analysis. The path-planning system based on the prediction model was verified by integrated simulation and experiment for a (137)Cs point source. The results showed that (137)Cs point sources were identified using the few measurement positions suggested by the path-planning system."
2022 Apr 12,Scientific reports,Sci Rep. 2022 Apr 12;12(1):6097. doi: 10.1038/s41598-022-10078-2.,"['Tanaka, Hiroyuki K M', 'Aichi, Masaatsu', 'Balogh, Szabolcs József', 'Bozza, Cristiano', 'Coniglione, Rosa', 'Gluyas, Jon', 'Hayashi, Naoto', 'Holma, Marko', 'Joutsenvaara, Jari', 'Kamoshida, Osamu', 'Kato, Yasuhiro', 'Kin, Tadahiro', 'Kuusiniemi, Pasi', 'Leone, Giovanni', 'Lo Presti, Domenico', 'Matsushima, Jun', 'Miyamoto, Hideaki', 'Mori, Hirohisa', 'Nomura, Yukihiro', 'Okamoto, Naoya', 'Oláh, László', 'Steigerwald, Sara', 'Shimazoe, Kenji', 'Sumiya, Kenji', 'Takahashi, Hiroyuki', 'Thompson, Lee F', 'Tokunaga, Tomochika', 'Yokota, Yusuke', 'Paling, Sean', 'Varga, Dezső']","[' bays', 'environmental monitoring', 'tokyo', ' tsunamis']",Periodic sea-level oscillation in Tokyo Bay detected with the Tokyo-Bay seafloor hyper-kilometric submarine deep detector (TS-HKMSDD).,"Meteorological-tsunami-like (or meteotsunami-like) periodic oscillation was muographically detected with the Tokyo-Bay Seafloor Hyper-Kilometric Submarine Deep Detector (TS-HKMSDD) deployed in the underwater highway called the Trans-Tokyo Bay Expressway or Tokyo Bay Aqua-Line (TBAL). It was detected right after the arrival of the 2021 Typhoon-16 that passed through the region 400 km south of the bay. The measured oscillation period and decay time were respectively 3 h and 10 h. These measurements were found to be consistent with previous tide gauge measurements. Meteotsunamis are known to take place in bays and lakes, and the temporal and spatial characteristics of meteotsunamis are similar to seismic tsunamis. However, their generation and propagation mechanisms are not well understood. The current result indicates that a combination of muography and trans-bay or trans-lake underwater tunnels will offer an additional tool to measure meteotsunamis at locations where tide gauges are unavailable."
2021 Nov 11,Scientific reports,Sci Rep. 2021 Nov 11;11(1):22441. doi: 10.1038/s41598-021-01979-9.,"['Tanaka, Hiroyuki K M', 'Aichi, Masaatsu', 'Bozza, Cristiano', 'Coniglione, Rosa', 'Gluyas, Jon', 'Hayashi, Naoto', 'Holma, Marko', 'Kamoshida, Osamu', 'Kato, Yasuhiro', 'Kin, Tadahiro', 'Kuusiniemi, Pasi', 'Leone, Giovanni', 'Presti, Domenico Lo', 'Matsushima, Jun', 'Miyamoto, Hideaki', 'Mori, Hirohisa', 'Nomura, Yukihiro', 'Oláh, László', 'Steigerwald, Sara', 'Shimazoe, Kenji', 'Sumiya, Kenji', 'Takahashi, Hiroyuki', 'Thompson, Lee F', 'Yokota, Yusuke', 'Paling, Sean', 'Varga, Dezső']",[],Author Correction: First results of undersea muography with the Tokyo-Bay Seafloor Hyper-Kilometric Submarine Deep Detector.,
2021 Sep 30,Scientific reports,Sci Rep. 2021 Sep 30;11(1):19485. doi: 10.1038/s41598-021-98559-8.,"['Tanaka, Hiroyuki K M', 'Aichi, Masaatsu', 'Bozza, Cristiano', 'Coniglione, Rosa', 'Gluyas, Jon', 'Hayashi, Naoto', 'Holma, Marko', 'Kamoshida, Osamu', 'Kato, Yasuhiro', 'Kin, Tadahiro', 'Kuusiniemi, Pasi', 'Leone, Giovanni', 'Presti, Domenico Lo', 'Matsushima, Jun', 'Miyamoto, Hideaki', 'Mori, Hirohisa', 'Nomura, Yukihiro', 'Oláh, László', 'Steigerwald, Sara', 'Shimazoe, Kenji', 'Sumiya, Kenji', 'Takahashi, Hiroyuki', 'Thompson, Lee F', 'Yokota, Yusuke', 'Paling, Sean', 'Varga, Dezső']",[],First results of undersea muography with the Tokyo-Bay Seafloor Hyper-Kilometric Submarine Deep Detector.,"Tidal measurements are of great significance since they may provide us with essential data to apply towards protection of coastal communities and sea traffic. Currently, tide gauge stations and laser altimetry are commonly used for these measurements. On the other hand, muography sensors can be located underneath the seafloor inside an undersea tunnel where electric and telecommunication infrastructures are more readily available. In this work, the world's first under-seafloor particle detector array called the Tokyo-bay Seafloor Hyper-Kilometric Submarine Deep Detector (TS-HKMSDD) was deployed underneath the Tokyo-Bay seafloor for conducting submarine muography. The resultant 80-day consecutive time-sequential muographic data were converted to the tidal levels based on the parameters determined from the first-day astronomical tide height (ATH) data. The standard deviation between ATH and muographic results for the rest of a 79-day measurement period was 12.85 cm. We anticipate that if the length of the TS-HKMSDD is extended from 100 m to a full-scale as large as 9.6 km to provide continuous tidal information along the tunnel, this muography application will become an established standard, demonstrating its effectiveness as practical tide monitor for this heavy traffic waterway in Tokyo and in other important sea traffic areas worldwide."
2021 Sep 9,Scientific reports,Sci Rep. 2021 Sep 9;11(1):17933. doi: 10.1038/s41598-021-97302-7.,"['Uenomachi, Mizuki', 'Takahashi, Miwako', 'Shimazoe, Kenji', 'Takahashi, Hiroyuki', 'Kamada, Kei', 'Orita, Tadashi', 'Ogane, Kenichiro', 'Tsuji, Atsushi B']",[],Simultaneous in vivo imaging with PET and SPECT tracers using a Compton-PET hybrid camera.,"Positron-emission tomography (PET) and single-photon-emission computed tomography (SPECT) are well-established nuclear-medicine imaging methods used in modern medical diagnoses. Combining PET with (18)F-fluorodeoxyglucose (FDG) and SPECT with an (111)In-labelled ligand provides clinicians with information about the aggressiveness and specific types of tumors. However, it is difficult to integrate a SPECT system with a PET system because SPECT requires a collimator. Herein, we describe a novel method that provides simultaneous imaging with PET and SPECT nuclides by combining PET imaging and Compton imaging. The latter is an imaging method that utilizes Compton scattering to visualize gamma rays over a wide range of energies without requiring a collimator. Using Compton imaging with SPECT nuclides, instead of the conventional SPECT imaging method, enables PET imaging and Compton imaging to be performed with one system. In this research, we have demonstrated simultaneous in vivo imaging of a tumor-bearing mouse injected with (18)F-FDG and an (111)In-antibody by using a prototype Compton-PET hybrid camera. We have succeeded in visualizing accumulations of (18)F-FDG and (111)In-antibody by performing PET imaging and Compton imaging simultaneously. As simultaneous imaging utilizes the same coordinate axes, it is expected to improve the accuracy of diagnoses."
2021 Oct,"Applied radiation and isotopes : including data, instrumentation and methods for ",Appl Radiat Isot. 2021 Oct;176:109864. doi: 10.1016/j.apradiso.2021.109864. Epub ,"['Ogane, Kenichiro', 'Uenomachi, Mizuki', 'Shimazoe, Kenji', 'Takahashi, Miwako', 'Takahashi, Hiroyuki', 'Seto, Yasuyuki', 'Momose, Toshimitsu']","['fluorine radioisotopes  analysis', ' gamma rays', 'humans', 'iodine radioisotopes  analysis', 'scintillation counting methods', 'thyroid neoplasms radiotherapy', 'compton camera', 'positron emission tomography', 'radioactive iodine treatment', 'theranostics', 'thyroid cancer']",Simultaneous measurements of single gamma ray of (131)I and annihilation radiation of (18)F with Compton PET hybrid camera.,"In internal 131I therapy for thyroid cancer, a decision to continue treatment is made by comparing 131I scintigraphy and [18F]FDG-PET. However, with current SPECT and PET systems, simultaneous imaging of diagnostic PET nuclides and therapeutic 131I nuclides has not been achieved so far. Therefore, we demonstrated that the recently developed Compton PET hybrid camera with Ce:Gd3(Al,Ga)5O12 (GAGG)- Silicon Photomultiplier(SiPM) scintillation detectors can be used to simultaneously image 131I Compton image and 18F PET image."
2021 Jun 25,Scientific reports,Sci Rep. 2021 Jun 25;11(1):13330. doi: 10.1038/s41598-021-92583-4.,"['Uenomachi, Mizuki', 'Shimazoe, Kenji', 'Ogane, Kenichiro', 'Takahashi, Hiroyuki']",[],Simultaneous multi-nuclide imaging via double-photon coincidence method with parallel hole collimators.,"Multi-tracer imaging can provide useful information in the definitive diagnosis and research of medical, biological, and pharmaceutical sciences. Single-photon emission computed tomography (SPECT) is one of the nuclear medicine imaging modalities widely used for diagnosis or medical research and has a multi-tracer imaging capability. One of the drawbacks of multi-tracer imaging is crosstalk from other gamma rays, which affects the reconstructed image. Scattering correction methods, such as the dual- and triple-energy window methods, are used for conventional SPECT imaging to reduce the background caused by the crosstalk. This study proposes another crosstalk reduction method. Some nuclides emit two or more gamma rays through intermediate levels. Thus, detecting these gamma rays with the coincidence method allows us to distinguish a true gamma ray signal and a background signal. The nuclide position can be estimated at the intersection of two gamma rays using collimators. We demonstrate herein simultaneous (111)In and (177)Lu imaging via the double-photon coincidence method using GAGG detectors and parallel hole collimators. The double-photon coincidence method greatly reduces the background caused by other gamma rays and offers higher-quality images than does conventional imaging."
2021 Jul,Medical physics,Med Phys. 2021 Jul;48(7):3470-3478. doi: 10.1002/mp.14874. Epub 2021 May 28.,"['Choghadi, M Amin', 'Huang, Sheng C', 'Shimazoe, Kenji', 'Takahashi, Hiroyuki']","['animals', 'humans', ' photons', ' positron-emission tomography', 'gagg crystal', 'depth of interaction', 'dual-ended readout', 'parallax error', 'positron emission tomography', 'surface treatment']",Evaluation of dual-ended readout GAGG-based DOI-PET detectors with different surface treatments.,"PURPOSE: Parallax error is a major issue in small animal positron emission tomography (PET) scanners which are used in preclinical studies or detailed scanning of human organs. Several methods have been proposed and investigated to reduce this radial artifact in PET images by estimating the depth of interaction (DOI) of 511-keV photons in the crystal. Among all, the dual-ended readout method seems to be very simple and effective as it does not have any fabrication and readout complications. In the past, some studies suggested that increasing the roughness of crystal lateral surfaces improves DOI resolution. In this paper, this was experimentally examined for four Ce:GAGG crystals with different surface structures. METHODS: Four 1.2 × 1.2 × 20 mm(3) GAGG crystals with following surface treatment were examined: polished with optical finishing, fine grinding (using a fine surface grinding machine), fine cutting (no treatment), and coarse cutting (no treatment). These crystals were coupled individually to two SiPMs for dual-ended readout and placed in a coincidence detection circuit for electronic collimation of 511 keV incidents. The crystals were compared in terms of energy response and DOI estimation capability. RESULTS: DOI function for each crystal was extracted and FWHM DOI resolution was calculated. DOI resolution for the polished crystal varied in the range of 0.54-4.14 mm throughout the length of the crystal due to its nonlinear DOI function. The fine grinding crystal showed a linear DOI function within the dynamic range of (-0.75, 0.75), and its DOI resolution varied in the range of 1.24-1.50 mm (1.37 ± 0.13 mm DOI resolution). The fine-cut crystal had almost a linear DOI function and a wider dynamic range of (-0.85, 0.85) and therefore the best performance with 1.2 ± 0.08 mm DOI resolution. However, for the crystal with the roughest surface (coarse-cut crystal), even though the dynamic range expanded to (-0.95, 0.95), its DOI function became nonlinear resulting in 1.24 ± 0.28 mm DOI resolution. This means there is an optimum surface roughness to provide the crystal with the best DOI capability. The pulse-height spectrum measured at each depth was used as a measure to compare the energy performance of the four crystals. The photopeak of 511 keV was observed for all depths, all crystals. The photopeak position for the coarse-cut crystal had extensive depth dependency which results in poorer energy resolution unless the energy window is calibrated for each depth. This variation of photopeak for the fine-cut and fine grinding crystals was comparable with that of polished crystal. CONCLUSION: This paper reports 1.2 ± 0.08 mm FWHM DOI resolution for a fine-cut unpolished crystal. This resolution is as narrow as the crystal width, resulting in the complete elimination of parallax error in PET images. Results suggest that there is an optimum roughness for the best performance of the dual-ended method and further increase in the roughness, degrades DOI resolution. Thanks to the high light yield of GAGG, the energy performance of the fine-cut crystal is acceptable, and the depth dependency of the spectrum is negligible."
2021 Jan,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg. 2021 Jan;16(1):29-39. doi: ,"['Liyanaarachchi, Madhushanka R', 'Shimazoe, Kenji', 'Takahashi, Hiroyuki', 'Nakagawa, Keiichi', 'Kobayashi, Etsuko', 'Sakuma, Ichiro']","['computer simulation', 'humans', 'image processing, computer-assisted  methods', 'laparoscopy  methods', 'lymphatic metastasis  diagnosis pathology', 'positron-emission tomography  methods', 'stomach neoplasms pathology  surgery', 'image reconstruction', 'intraoperative imaging', 'lymph node metastases', 'positron emission tomography', 'stomach cancer']",Development and evaluation of a prototype detector for an intraoperative laparoscopic coincidence imaging system with PET tracers.,"PURPOSE: Conventional positron emission tomography can be used only preoperatively to identify lymph node metastases, and hence, these growths are difficult to locate intraoperatively. Previously, an intraoperative laparoscopic coincidence imaging system, with an external fixed detector array and a detector probe that can be moved and inserted into the stomach, was proposed to identify lymph node metastases during stomach cancer surgery. This paper proposes a prototype detector for this system. METHODS: GAGG:Ce (Gd(3)Al(2)Ga(3)O(12):Ce) scintillator crystals, one to one coupled with silicon photomultipliers (SiPMs), were used to identify 511 keV photons. An optical tracking system followed the position and orientation of the movable detector. SiPM outputs were read out by time-over-threshold (TOT)-based application-specific integrated circuits, which converted the electrical charges into digital pulses. To identify the arrival time, channel number, and pulse width, which indicate the energy information of each TOT output, a data acquisition system was developed based on a field-programmable gate array. RESULTS: The spatial resolution of the reconstructed images in lateral direction was better than 7 mm, but that of depth direction was limited, owing to inadequate projections. The prototype successfully reconstructed 44 kBq (18)F-fluorodeoxyglucose sources during a 2-min scan. CONCLUSION: We developed a prototype detector for an intraoperative laparoscopic coincidence imaging system. The prototype detector was evaluated successfully, and the produced images were similar to those obtained in the simulation results, thereby suggesting that this method offers a new possibility of imaging lymph node metastases intraoperatively."
