time,journal,doi_info,authors,key words,title,abstract
2023 Oct 20,iScience,iScience. 2023 Sep 6;26(10):107820. doi: 10.1016/j.isci.2023.107820. eCollection ,"['Wang, Yecan', 'Murakami, Hiroshi', 'Kasama, Toshihiro', 'Mitsuzawa, Shigenobu', 'Shinkawa, Satoru', 'Miyake, Ryo', 'Takai, Madoka']","['analytical chemistry applications', 'diagnostic technique in health technology']",An automatic immuno-microfluidic system integrating electrospun polystyrene microfibrous reactors for rapid detection of salivary cortisol.,"Conventional competitive enzyme-linked immunosorbent assay (ELISA) to measure the cortisol level in body fluid consumes a large amount of time, owing to complicated operations involved and requirement for precise control of reagent addition. We developed an automatic microfluidic system to detect salivary cortisol rapidly, and an electrospun polystyrene (PS) microfiber-based reactor providing considerable binding sites for antibody immobilization, thus resolving the time limitations of competitive ELISA. Cortisol sample, horseradish peroxidase (HRP)-conjugated cortisol, and 3,3',5,5'-tetramethylbenzidine (TMB) substrate were delivered to the PS reactor from containers in sequence by pumps automatically. The color variation due to oxidized TMB complex reflects the cortisol concentration level measured using an RGB phototransistor. In addition, the entire procedure from sample introduction to obtaining the photocurrent took only 15 min. This system can be implemented to quantify cortisol from 0.37 ng/mL to 30 ng/mL, and the limit of detection was estimated at 0.37 ng/mL."
2023 Aug,Analytical sciences : the international journal of the Japan Society for ,Anal Sci. 2023 Aug;39(8):1269-1277. doi: 10.1007/s44211-023-00335-3. Epub 2023 ,"['Tazawa, Hidekatsu', 'Sato, Tomomi', 'Sakuta, Yu', 'Miyake, Ryo']","['diamond-like carbon', 'glass molding', 'microfluidic devices', 'residual chlorine', 'water quality']",Development of microfluidic devices for on-site water quality testing using glass molding process.,"The demand for multi-point water quality monitoring is increasing to solve the global problem of safe drinking water supply and environmental water contamination by industries. Therefore, compact devices are needed for on-site water quality analysis. On-site devices require low cost and high durability because they are placed outdoors, exposing them to strong ultraviolet rays and a wide range of temperatures. Our previous study reported on a compact and low-cost water quality meter that uses microfluidic devices with resin to monitor chemicals. In this study, we extended the fabrication range of the glass molding method to fabricate a glass microfluidic device with a 300 µm deep channel on a 50 mm in diameter substrate for constructing a low-cost and high-durability device. Finally, we developed a low-cost, highly robust glass device with a diamond-like carbon-coated channel surface to measure residual chlorine. The experimental results indicated that this device can endure outdoor conditions and be attached to small internet of things devices for analyzing chemical substances, such as residual chlorine."
2022 Nov 9,Biosensors,Biosensors (Basel). 2022 Nov 9;12(11):995. doi: 10.3390/bios12110995.,"['Gao, Panpan', 'Kasama, Toshihiro', 'Shin, Jungchan', 'Huang, Yixuan', 'Miyake, Ryo']","[' graphite chemistry', 'glucose oxidase chemistry', ' biosensing techniques methods', 'glucose chemistry', 'lasers', 'electrochemical techniques methods', 'laser-induced graphene', 'paper-based sensor', 'second generation glucose biosensor', 'two-step laser engraving']",A Mediated Enzymatic Electrochemical Sensor Using Paper-Based Laser-Induced Graphene.,"Laser-induced graphene (LIG) has been applied in many different sensing devices, from mechanical sensors to biochemical sensors. In particular, LIG fabricated on paper (PaperLIG) shows great promise for preparing cheap, flexible, and disposable biosensors. Distinct from the fabrication of LIG on polyimide, a two-step process is used for the fabrication of PaperLIG. In this study, firstly, a highly conductive PaperLIG is fabricated. Further characterization of PaperLIG confirmed that it was suitable for developing biosensors. Subsequently, the PaperLIG was used to construct a biosensor by immobilizing glucose oxidase, aminoferrocene, and Nafion on the surface. The developed glucose biosensor could be operated at a low applied potential (-90 mV) for amperometric measurements. The as-prepared biosensor demonstrated a limit of detection of (50-75 µM) and a linear range from 100 µM to 3 mM. The influence of the concentration of the Nafion casting solution on the performance of the developed biosensor was also investigated. Potential interfering species in saliva did not have a noticeable effect on the detection of glucose. Based on the experimental results, the simple-to-prepare PaperLIG-based saliva glucose biosensor shows great promise for application in future diabetes management."
2022 Nov,Science signaling,Sci Signal. 2022 Nov;15(758):eabn8017. doi: 10.1126/scisignal.abn8017. Epub 2022 ,"['Abe, Ko', 'Ikeda, Masataka', 'Ide, Tomomi', 'Tadokoro, Tomonori', 'Miyamoto, Hiroko Deguchi', 'Furusawa, Shun', 'Tsutsui, Yoshitomo', 'Miyake, Ryo', 'Ishimaru, Kosei', 'Watanabe, Masatsugu', 'Matsushima, Shouji', 'Koumura, Tomoko', 'Yamada, Ken-Ichi', 'Imai, Hirotaka', 'Tsutsui, Hiroyuki']","['mice', 'animals', 'cardiotoxicity etiology metabolism', ' ferroptosis', 'dna, mitochondrial metabolism', 'aminolevulinic acid metabolism', 'doxorubicin pharmacology', 'mitochondria genetics', 'myocytes, cardiac metabolism', ' iron overload complications metabolism', 'iron metabolism', 'heme metabolism']",Doxorubicin causes ferroptosis and cardiotoxicity by intercalating into mitochondrial DNA and disrupting Alas1-dependent heme synthesis.,"Clinical use of doxorubicin (DOX) is limited because of its cardiotoxicity, referred to as DOX-induced cardiomyopathy (DIC). Mitochondria-dependent ferroptosis, which is triggered by iron overload and excessive lipid peroxidation, plays a pivotal role in the progression of DIC. Here, we showed that DOX accumulated in mitochondria by intercalating into mitochondrial DNA (mtDNA), inducing ferroptosis in an mtDNA content-dependent manner. In addition, DOX disrupted heme synthesis by decreasing the abundance of 5'-aminolevulinate synthase 1 (Alas1), the rate-limiting enzyme in this process, thereby impairing iron utilization, resulting in iron overload and ferroptosis in mitochondria in cultured cardiomyocytes. Alas1 overexpression prevented this outcome. Administration of 5-aminolevulinic acid (5-ALA), the product of Alas1, to cultured cardiomyocytes and mice suppressed iron overload and lipid peroxidation, thereby preventing DOX-induced ferroptosis and DIC. Our findings reveal that the accumulation of DOX and iron in mitochondria cooperatively induces ferroptosis in cardiomyocytes and suggest that 5-ALA can be used as a potential therapeutic agent for DIC."
2022 May,Analytical and bioanalytical chemistry,Anal Bioanal Chem. 2022 May;414(11):3419-3428. doi: 10.1007/s00216-022-03963-2. ,"['Shin, Jungchan', 'Kasama, Toshihiro', 'Miyake, Ryo']","['c-reactive protein analysis', 'enzyme-linked immunosorbent assay', 'fluorescent antibody technique', 'humans', 'immunoassay', ' lab-on-a-chip devices', ' microfluidic analytical techniques', 'fluorescence sandwich immunoassay', 'human inflammation biomarker detection', 'paper-based microchannel device']",Development of cellulosic material-based microchannel device capable of fluorescence immunoassay of microsamples.,"Microfluidic immunoassay devices are a promising technology that can quickly detect biomarkers with high sensitivity. Recently, many studies implementing this technology on paper substrates have been proposed for improving cost and user-friendliness. However, these studies have identified problems with the large volume of sample required, low sensitivity, and a lack of quantitative accuracy and precision. In this paper, we report a novel structure implemented as a cellulosic material-based microchannel device capable of quantitative immunoassay using small sample volumes. We fabricated microfluidic channels between a transparent cellophane film and water-resistant paper to facilitate loading of small-volume samples and reagents, with a 40-μm-wide immunoreaction matrix constructed in the center of the microchannel using highly precise photolithography. A fluorescence sandwich immunoassay for C-reactive protein (CRP) was successfully implemented that required only a 1-μL sample volume and a 20-min reaction time. We confirmed that the limit of detection of the device was 10-20 ng/mL with a coefficient of variation under 5.6%, which is a performance level comparable to conventional plastic-based human CRP enzyme-linked immunosorbent assay (ELISA) kits. We expect that such devices will lead to the elimination of large amounts of medical waste from the use of ubiquitous diagnostics, a result that is consistent with environmental sustainability goals."
2022 Jan 19,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2022 Jan 19;14(2):2605-2617. doi: ,"['Afzali, Zahra', 'Matsushita, Taishi', 'Kogure, Akinori', 'Masuda, Tsukuru', 'Azuma, Tomoyuki', 'Kushiro, Keiichiro', 'Kasama, Toshihiro', 'Miyake, Ryo', 'Takai, Madoka']","['animals', 'biocompatible materials chemistry  pharmacology', 'cell adhesion drug effects', 'cell line', 'cell movement drug effects', 'humans', 'lipid bilayers chemistry  pharmacology', 'materials testing', 'particle size', 'polymers chemistry  pharmacology', 'surface properties', 'cell adhesion', 'diblock copolymer brush', 'directional cell migration', 'non-contacting layer', 'thickness gradient']",Cell Adhesion and Migration on Thickness Gradient Bilayer Polymer Brush Surfaces: Effects of Properties of Polymeric Materials of the Underlayer.,"In the field of tissue engineering and biomaterials, controlling the surface properties and mechanical properties of scaffold materials is crucial and has attracted much attention. Here, two types of bilayer polymer brushes composed of a hydrophilic underlying layer and a cationic surface layer [made of poly(2-aminoethyl methacrylate)] with a thickness gradient were prepared by surface-initiated atom-transfer radical polymerization. To investigate the influence of the stiffness as a mechanical property of the polymer brush on cell behavior, the underlayer was prepared from either 2-methacryloyloxyethyl phosphorylcholine or oligo(ethylene glycol) methyl ether methacrylate, with the bilayers designated as gradient poly(2-methacryloyloxyethyl phosphorylcholine)-block-poly(2-aminoethyl methacrylate) [grad-pMbA] and gradient poly(oligo[ethylene glycol] methyl ether methacrylate)-block-poly(2-aminoethyl methacrylate) [grad-pEGbA], respectively. Characterization of these surfaces was performed by spectroscopic ellipsometry, X-ray reflectivity, and determination of the zeta potential, static contact angle, and force curve. These diblock copolymer brushes with a thickness gradient helped to distinguish the effects of the mechanical and surface properties of the brushes on cell behavior. The attachment and motility of L929 fibroblasts and epithelial MCF 10A cells on the fabricated brushes were then assessed. L929 cells had a round shape on the thin surface layer of grad-pMbA and spread well on thicker areas. In contrast, MCF 10A cells spread well in areas of any thickness of either grad-pMbA or grad-pEGbA. Single MCF 10A cells migrated randomly on grad-pMbA, whereas grouped cells started to climb up along the thickness gradient of grad-pMbA. In contrast, both single and grouped MCF 10A cells migrated randomly on grad-pEGbA. These thickness gradient diblock copolymer brushes are simple, reproducible, and reasonable platforms that can facilitate practical applications of biomaterials, for example, in tissue engineering and biomaterials."
2021 Jun 2,Journal of materials chemistry. B,J Mater Chem B. 2021 Jun 2;9(22):4480-4487. doi: 10.1039/d1tb00657f.,"['Kozuka, Yuta', 'Lu, Zhou', 'Masuda, Tsukuru', 'Hara, Shintaro', 'Kasama, Toshihiro', 'Miyake, Ryo', 'Isu, Norifumi', 'Takai, Madoka']","['anti-bacterial agents  pharmacology', ' bacterial adhesion', ' lab-on-a-chip devices', 'phospholipids  chemistry', 'polymers  chemistry', 'surface properties']",Evaluation of bacterial adhesion strength on phospholipid copolymer films with antibacterial ability using microfluidic shear devices.,"Biomimetic phospholipid copolymer films are known to possess antifouling properties against protein adsorption and biofilm formation. However, the interactions between bacterial cells and material surfaces are not fully understood. This work investigated the bacterial adhesion strength of phospholipid copolymer films using a shear stress-tunable microfluidic device. The copolymer, comprising 2-methacryloyloxyethyl phosphorylcholine (MPC), 3-methacryloxypropyl trimethoxysilane (MPTMSi), and 3-(methacryloyloxy) propyl-tris(trimethylsilyloxy) silane (MPTSSi), formed crosslinked films on glass substrates; the thickness of the coating film was controlled by the polymer concentration during dip-coating. Polymer films with two typical thicknesses, 20 and 40 nm (denoted as C-20 and C-40, respectively), were prepared on the bottom wall of the microfluidic device. After seeding S. aureus in the microfluidic device, several shear stresses were applied to evaluate the adhesion strength of the polymer films. S. aureus was found to have weaker adhesion strength on the C-40 surface than on the C-20 surface; numerous bacterial cells detached from the C-40 surface on application of identical shear stress. To mimic the presence of plasma protein, fibrinogen (Fg) was introduced into the device before performing the bacterial adhesion assay. The results showed that the adsorption of Fg promoted S. aureus adhesion and strong interactions under shear stress. However, the adhesion strength of S. aureus did not affect the Fg adsorption for both the C-20 and C-40 surfaces. Using the shear stress-tunable microfluidic device, we found that the adhesion of S. aureus on the thicker and softer phospholipid copolymer was weak, and the cells easily detached under high shear stress."
2021 May,Analytical and bioanalytical chemistry,Anal Bioanal Chem. 2021 May;413(11):3081-3091. doi: 10.1007/s00216-021-03246-2. ,"['Gao, Panpan', 'Kasama, Toshihiro', 'Godonoga, Maia', 'Ogawa, Atsushi', 'Sone, Chiharu', 'Komine, Masashi', 'Endo, Yoshishige', 'Koide, Tetsushi', 'Miyake, Ryo']","['mass spectrometry methods', ' needles', 'plants  chemistry', 'specimen handling  instrumentation', 'dynamic measurements', 'micro-needle device', 'minimum invasive collection', 'onsite sampling device', 'quantitative sample manipulation', 'sample injector']",A needle-type micro-sampling device for collecting nanoliter sap sample from plants.,"In plant research, measuring the physiological parameters of plants is vital for understanding the behavior and response of plants to changes in the external environment. Plant sap analysis provides an approach for elucidating the physiological condition of plants. However, to facilitate accurate sap analysis, a sampling device capable of collecting sap samples from plants is required. In this paper, a minimally invasive, needle-type micro-sampling device capable of collecting nanoliter (~ 91 nL) quantities of sap from plants is described. The developed micro-sampling system showed great reproducibility (3%) in experiments designed to assess sampling performance. As a proof of concept, sap samples were collected continuously from target plants with the micro-sampling system, and the dynamic changes in potassium ions, plant hormones and sugar levels inside plants were analyzed. The results demonstrated the feasibility of the micro-sampling device and its potential for developing a measurement system for plant research in the future."
2020 Dec 1,Analytical chemistry,Anal Chem. 2020 Dec 1;92(23):15534-15541. doi: 10.1021/acs.analchem.0c03466. Epub ,"['Ohashi, Tomoaki', 'Gerrett, Nicola', 'Shinkawa, Satoru', 'Sato, Tomomi', 'Miyake, Ryo', 'Kondo, Narihiko', 'Mitsuzawa, Shigenobu']","['clinical chemistry tests  instrumentation', 'humans', ' lab-on-a-chip devices', 'skin', 'sweat  chemistry']",Fluidic Patch Device to Sample Sweat for Accurate Measurement of Sweat Rate and Chemical Composition: A Proof-of-Concept Study.,"Sweat sensors that can continuously sample sweat are critical for determining the time-dependent physiological responses occurring in normal daily life. Here, a new device, termed fluidic patch, for collecting human sweat samples at defined time intervals is developed, and the proof-of-concept is demonstrated. The device comprises micropumps and a disposable microfluidic patch attached to the human skin. The fluidic patch continuously collects aliquots of freshly secreted sweat accumulated in the fluidic pathway at accurately defined time windows (typically 5 min). By measuring the weight of the collected samples, the local sweat rate is calculated. The sweat sample collected can be directly subjected to a wide range of chemical analyses. For the proof-of-concept, we compared the sweat rates during passive heating in human trials using the fluidic patch and the conventional ventilated sweat capsule system. Although the sweat rate obtained using the fluidic patch highly correlated with that of the ventilated sweat capsule (R(2) = 0.96, y = 1.4x - 0.05), the fluidic patch overestimated the sweat rate compared with the ventilated capsule system when the sweat rate exceeded 0.5 mg/(cm(2)·min). The sampled sweat was analyzed for sodium, potassium, chloride, lactate, pyruvate, and cortisol. The device could obtain the time courses of the concentrations of the abovementioned three ions; the concentrations of sodium and chloride increased linearly with the sweat rate during passive heating (R(2) = 0.76 and 0.66, respectively). The device can reliably measure the sweat rate and collect sweat samples for chemical analysis. It can be utilized for real-time physiological investigations toward wider applications."
2019,"Endocrine, metabolic & immune disorders drug targets",Endocr Metab Immune Disord Drug Targets. 2019;19(3):308-315. doi: ,"['Kawaguchi, Kiichiro', 'Kaneko, Masahiro', 'Miyake, Ryo', 'Takimoto, Hiroaki', 'Kumazawa, Yoshio']","['animals', 'antioxidants pharmacology  therapeutic use', 'arthritis, experimental  drug therapy  metabolism pathology', 'dose-response relationship, drug', 'female', 'inflammation mediators  antagonists & inhibitors  metabolism', 'male', 'mice', 'mice, inbred balb c', 'mice, inbred dba', 'quercetin pharmacology  therapeutic use', 'quercetin', 'inflammation', 'knee joints', 'lipopolysaccharide', 'rheumatoid arthritis', 'tumor necrosis factor-α.']",Potent Inhibitory Effects of Quercetin on Inflammatory Responses of Collagen-Induced Arthritis in Mice.,BACKGROUND: Production of tumor necrosis factor (TNF)-α by inflammatory cells in lesions is the hallmark of the pathogenesis of rheumatoid arthritis (RA). Regulation of inflammatory responses in knee joints of patients with RA is critical for improving severe symptoms. Flavonoids have inhibitory effects on the acute and chronic inflammatory responses caused by TNF-α. The flavonoid quercetin (QUER) is one of the most prominent dietary antioxidants. OBJECTIVE: The present study investigated the preventive and therapeutic effects of QUER on inflammatory responses in collagen-induced arthritis (
