time,journal,doi_info,authors,key words,title,abstract
2024 Oct,Biomaterials,Biomaterials. 2024 Oct;310:122621. doi: 10.1016/j.biomaterials.2024.122621. Epub ,"['Wang, Luyao', 'Koui, Yuta', 'Kanegae, Kazuko', 'Kido, Taketomo', 'Tamura-Nakano, Miwa', 'Yabe, Shigeharu', 'Tai, Kenpei', 'Nakajima, Yoshiko', 'Kusuhara, Hiroyuki', 'Sakai, Yasuyuki', 'Miyajima, Atsushi', 'Okochi, Hitoshi', 'Tanaka, Minoru']","['humans', ' induced pluripotent stem cells cytology drug effects', ' organoids drug effects cytology', ' bile ducts', ' hepatocytes cytology drug effects metabolism', 'liver cytology', 'cell differentiation drug effects', 'pharmaceutical research methods', 'bile flow', 'biliary epithelial cell', 'hepatobiliary organoid', 'hepatocyte', 'liver', 'ipsc']",Establishment of human induced pluripotent stem cell-derived hepatobiliary organoid with bile duct for pharmaceutical research use.,"In vitro models of the human liver are promising alternatives to animal tests for drug development. Currently, primary human hepatocytes (PHHs) are preferred for pharmacokinetic and cytotoxicity tests. However, they are unable to recapitulate the flow of bile in hepatobiliary clearance owing to the lack of bile ducts, leading to the limitation of bile analysis. To address the issue, a liver organoid culture system that has a functional bile duct network is desired. In this study, we aimed to generate human iPSC-derived hepatobiliary organoids (hHBOs) consisting of hepatocytes and bile ducts. The two-step differentiation process under 2D and semi-3D culture conditions promoted the maturation of hHBOs on culture plates, in which hepatocyte clusters were covered with monolayered biliary tubes. We demonstrated that the hHBOs reproduced the flow of bile containing a fluorescent bile acid analog or medicinal drugs from hepatocytes into bile ducts via bile canaliculi. Furthermore, the hHBOs exhibited pathophysiological responses to troglitazone, such as cholestasis and cytotoxicity. Because the hHBOs can recapitulate the function of bile ducts in hepatobiliary clearance, they are suitable as a liver disease model and would be a novel in vitro platform system for pharmaceutical research use."
2024 Jul 30,Gene,Gene. 2024 Jul 30;917:148441. doi: 10.1016/j.gene.2024.148441. Epub 2024 Apr 10.,"['Morisseau, Lisa', 'Tokito, Fumiya', 'Lucas, Mathilde', 'Poulain, Stéphane', 'Kim, Soo Hyeon', 'Plaisance, Valérie', 'Pawlowski, Valérie', 'Legallais, Cécile', 'Jellali, Rachid', 'Sakai, Yasuyuki', 'Abderrahmani, Amar', 'Leclerc, Eric']","['humans', ' insulin-secreting cells metabolism drug effects', ' spheroids, cellular drug effects metabolism', ' palmitic acid pharmacology', ' induced pluripotent stem cells metabolism drug effects cytology', ' gene expression profiling methods', 'transcriptome drug effects', 'signal transduction drug effects', 'diabetes mellitus, type 2 metabolism genetics', '3d spheroids', 'human induced pluripotent stem cells', 'palmitic acids', 'transcriptomics', 'β-like cells']",Transcriptomic profiling analysis of the effect of palmitic acid on 3D spheroids of β-like cells derived from induced pluripotent stem cells.,"Type 2 diabetes (T2D) is posing a serious public health concern with a considerable impact on human life and health expenditures worldwide. The disease develops when insulin plasma level is insufficient for coping insulin resistance, caused by the decline of pancreatic β-cell function and mass. In β-cells, the lipotoxicity exerted by saturated free fatty acids in particular palmitate (PA), which is chronically elevated in T2D, plays a major role in β-cell dysfunction and mass. However, there is a lack of human relevant in vitro model to identify the underlying mechanism through which palmitate induces β-cell failure. In this frame, we have previously developed a cutting-edge 3D spheroid model of β-like cells derived from human induced pluripotent stem cells. In the present work, we investigated the signaling pathways modified by palmitate in β-like cells derived spheroids. When compared to the 2D monolayer cultures, the transcriptome analysis (FDR set at 0.1) revealed that the 3D spheroids upregulated the pancreatic markers (such as GCG, IAPP genes), lipids metabolism and transporters (CD36, HMGSC2 genes), glucose transporter (SLC2A6). Then, the 3D spheroids are exposed to PA 0.5 mM for 72 h. The differential analysis demonstrated that 32 transcription factors and 135 target genes were mainly modulated (FDR set at 0.1) including the upregulation of lipid and carbohydrates metabolism (HMGSC2, LDHA, GLUT3), fibrin metabolism (FGG, FGB), apoptosis (CASP7). The pathway analysis using the 135 selected targets extracted the fibrin related biological process and wound healing in 3D PA treated conditions. An overall pathway gene set enrichment analysis, performed on the overall gene set (with pathway significance cutoff at 0.2), highlighted that PA perturbs the citrate cycle, FOXO signaling and Hippo signaling as observed in human islets studies. Additional RT-PCR confirmed induction of inflammatory (IGFBP1, IGFBP3) and cell growth (CCND1, Ki67) pathways by PA. All these changes were associated with unaffected glucose-stimulated insulin secretion (GSIS), suggesting that they precede the defect of insulin secretion and death induced by PA. Overall, we believe that our data demonstrate the potential of our spheroid 3D islet-like cells to investigate the pancreatic-like response to diabetogenic environment."
2024 Mar 25,Biofabrication,Biofabrication. 2024 Mar 25;16(2). doi: 10.1088/1758-5090/ad30c5.,"['Scheidecker, Benedikt', 'Poulain, Stéphane', 'Sugimoto, Masahiro', 'Kido, Taketomo', 'Kawanishi, Takumi', 'Miyajima, Atsushi', 'Kim, Soo Hyeon', 'Arakawa, Hiroshi', 'Kato, Yukio', 'Nishikawa, Masaki', 'Danoy, Mathieu', 'Sakai, Yasuyuki', 'Leclerc, Eric']","['animals', ' liver', ' hepatocytes', 'stem cells', 'cell differentiation', 'ipsc', 'hepatic tissue', 'organ-on-a-chip', 'perfusion', 'single cell rnaseq', 'stem cell']","Dynamic, IPSC-derived hepatic tissue tri-culture system for the evaluation of liver physiologyin vitro.","Availability of hepatic tissue for the investigation of metabolic processes is severely limited. While primary hepatocytes or animal models are widely used in pharmacological applications, a change in methodology towards more sustainable and ethical assays is highly desirable. Stem cell derived hepatic cells are generally regarded as a viable alternative for the above model systems, if current limitations in functionality and maturation can be overcome. By combining microfluidic organ-on-a-chip technology with individually differentiated, multicellular hepatic tissue fractions, we aim to improve overall functionality of hepatocyte-like cells, as well as evaluate cellular composition and interactions with non-parenchymal cell populations towards the formation of mature liver tissue. Utilizing a multi-omic approach, we show the improved maturation profiles of hepatocyte-like cells maintained in a dynamic microenvironment compared to standard tissue culture setups without continuous perfusion. In order to evaluate the resulting tissue, we employ single cell sequencing to distinguish formed subpopulations and spatial localization. While cellular input was strictly defined based on established differentiation protocols of parenchyma, endothelial and stellate cell fractions, resulting hepatic tissue was shown to comprise a complex mixture of epithelial and non-parenchymal fractions with specific local enrichment of phenotypes along the microchannel. Following this approach, we show the importance of passive, paracrine developmental processes in tissue formation. Using such complex tissue models is a crucial first step to develop stem cell-derivedin vitrosystems that can compare functionally with currently used pharmacological and toxicological applications."
2024 May,Journal of bioscience and bioengineering,J Biosci Bioeng. 2024 May;137(5):403-411. doi: 10.1016/j.jbiosc.2024.01.017. Epub ,"['Tokito, Fumiya', 'Kiyofuji, Mikito', 'Choi, Hyunjin', 'Nishikawa, Masaki', 'Takezawa, Toshiaki', 'Sakai, Yasuyuki']","['humans', ' bile metabolism', ' tight junctions metabolism pathology', 'coculture techniques', 'cells, cultured', 'hepatocytes', 'bile collection', 'cell-based assay', 'cholangiocytes', 'coculture', 'hepg2-nias', 'hepatocytes', 'non-destructive', 'sandwich-cultured hepatocyte', 'tfk-1']",Modulation of hepatic cellular tight junctions via coculture with cholangiocytes enables non-destructive bile recovery.,"Estimation of the biliary clearance of drugs and their metabolites in humans is crucial for characterizing hepatobiliary disposition and potential drug-drug interactions. Sandwich-cultured hepatocytes, while useful for in vitro bile analysis, require cell destruction for bile recovery, limiting long-term or repeated dose drug effect evaluations. To overcome this limitation, we investigated the feasibility of coculturing a human hepatic carcinoma cell line (HepG2-NIAS cells) and a human cholangiocarcinoma cell line (TFK-1 cells) using the collagen vitrigel membrane in a variety of coculture configurations. The coculture configuration with physiological bile flow increased the permeability of fluorescein-labeled bile acids (CLF) across the HepG2-NIAS cell layer by approximately 1.2-fold compared to the HepG2-NIAS monoculture. This enhancement was caused by paracellular leakage due to the loosened tight junctions of HepG2-NIAS, confirmed by the use of an inhibitor for bile acid transporters, the increase of permeability of dextran, and the decrease of the transepithelial electrical resistance (TEER) value. Based on the results of loosening hepatic tight junctions via coculture with TFK-1 in the CLF permeability assay, we next attempted to collect the CLF accumulated in the bile canaliculi of HepG2-NIAS. The recovery of the CLF accumulated in the bile canaliculi was increased 1.4 times without disrupting hepatic tight junctions by the coculture of HepG2-NIAS cells and TFK-1 cells compared to the monoculture of HepG2-NIAS cells. This non-destructive bile recovery has the potential as a tool for estimating the biliary metabolite and provides valuable insights to improve in vitro bile analysis."
2024 Feb,PNAS nexus,PNAS Nexus. 2024 Feb 9;3(2):pgae070. doi: 10.1093/pnasnexus/pgae070. eCollection ,"['Kurniawan, Dhimas Agung', 'Leo, Sylvia', 'Inamatsu, Mutsumi', 'Funaoka, Sohei', 'Aihara, Taichi', 'Aiko, Mizuno', 'Rei, Inoue', 'Sakura, Takeshi', 'Arakawa, Hiroshi', 'Kato, Yukio', 'Matsugi, Tomoaki', 'Esashika, Katsuhiro', 'Shiraki, Nobuaki', 'Kume, Shoen', 'Shinha, Kenta', 'Kimura, Hiroshi', 'Nishikawa, Masaki', 'Sakai, Yasuyuki']","['drug metabolism', 'liver', 'microphysiological system (mps)', 'organ crosstalk', 'small intestine']",Gut-liver microphysiological systems revealed potential crosstalk mechanism modulating drug metabolism.,"The small intestine and liver play important role in determining oral drug's fate. Both organs are also interconnected through enterohepatic circulation, which imply there are crosstalk through circulating factors such as signaling molecules or metabolites that may affect drug metabolism. Coculture of hepatocytes and intestinal cells have shown to increase hepatic drug metabolism, yet its crosstalk mechanism is still unclear. In this study, we aim to elucidate such crosstalk by coculturing primary human hepatocytes harvested from chimeric mouse (PXB-cells) and iPSc-derived intestinal cells in a microphysiological systems (MPS). Perfusion and direct oxygenation from the MPS were chosen and confirmed to be suitable features that enhanced PXB-cells albumin secretion, cytochrome P450 (CYP) enzymes activity while also maintaining barrier integrity of iPSc-derived intestine cells. Results from RNA-sequencing showed significant upregulation in gene ontology terms related to fatty acids metabolism in PXB-cells. One of such fatty acids, arachidonic acid, enhanced several CYP enzyme activity in similar manner as coculture. From the current evidences, it is speculated that the release of bile acids from PXB-cells acted as stimuli for iPSc-derived intestine cells to release lipoprotein which was ultimately taken by PXB-cells and enhanced CYP activity."
2024 Apr,Biotechnology and bioengineering,Biotechnol Bioeng. 2024 Apr;121(4):1178-1190. doi: 10.1002/bit.28640. Epub 2024 ,"['Utami, Tia', 'Danoy, Mathieu', 'Khadim, Rubina Rahaman', 'Tokito, Fumiya', 'Arakawa, Hiroshi', 'Kato, Yukio', 'Kido, Taketomo', 'Miyajima, Atsushi', 'Nishikawa, Masaki', 'Sakai, Yasuyuki']","['humans', ' induced pluripotent stem cells', 'oxygen metabolism', 'cell differentiation', 'liver metabolism', 'cell culture techniques methods', 'organoids metabolism', 'dimethylpolysiloxanes', ' metalloendopeptidases', 'gpi-linked proteins', 'pdms‐based membrane', 'hepatocytes', 'honeycomb microwell', 'human induced pluripotent stem cells', 'liver organoid', 'oxygen‐permeable culture plate']",A highly efficient cell culture method using oxygen-permeable PDMS-based honeycomb microwells produces functional liver organoids from human induced pluripotent stem cell-derived carboxypeptidase M liver progenitor cells.,"Recent advancements in bioengineering have introduced potential alternatives to liver transplantation via the development of self-assembled liver organoids, derived from human-induced pluripotent stem cells (hiPSCs). However, the limited maturity of the tissue makes it challenging to implement this technology on a large scale in clinical settings. In this study, we developed a highly efficient method for generating functional liver organoids from hiPSC-derived carboxypeptidase M liver progenitor cells (CPM+ LPCs), using a microwell structure, and enhanced maturation through direct oxygenation in oxygen-permeable culture plates. We compared the morphology, gene expression profile, and function of the liver organoid with those of cells cultured under conventional conditions using either monolayer or spheroid culture systems. Our results revealed that liver organoids generated using polydimethylsiloxane-based honeycomb microwells significantly exhibited enhanced albumin secretion, hepatic marker expression, and cytochrome P450-mediated metabolism. Additionally, the oxygenated organoids consisted of both hepatocytes and cholangiocytes, which showed increased expression of bile transporter-related genes as well as enhanced bile transport function. Oxygen-permeable polydimethylsiloxane membranes may offer an efficient approach to generating highly mature liver organoids consisting of diverse cell populations."
2024 Apr,Biotechnology and bioengineering,Biotechnol Bioeng. 2024 Apr;121(4):1435-1452. doi: 10.1002/bit.28653. Epub 2024 ,"['Scheidecker, Benedikt', 'Poulain, Stéphane', 'Sugimoto, Masahiro', 'Arakawa, Hiroshi', 'Kim, Soo H', 'Kawanishi, Takumi', 'Kato, Yukio', 'Danoy, Mathieu', 'Nishikawa, Masaki', 'Sakai, Yasuyuki']","[' microphysiological systems', ' liver metabolism', 'hepatocytes metabolism', 'gene expression profiling', 'oxygen metabolism', 'endothelial cell', 'hepatocyte', 'microenvironment', 'microphysiological system', 'oxygen', 'shear stress']",Mechanobiological stimulation in organ-on-a-chip systems reduces hepatic drug metabolic capacity in favor of regenerative specialization.,"Hepatic physiology depends on the liver's complex structural composition which among others, provides high oxygen supply rates, locally differential oxygen tension, endothelial paracrine signaling, as well as residual hemodynamic shear stress to resident hepatocytes. While functional improvements were shown by implementing these factors into hepatic culture systems, direct cause-effect relationships are often not well characterized-obfuscating their individual contribution in more complex microphysiological systems. By comparing increasingly complex hepatic in vitro culture systems that gradually implement these parameters, we investigate the influence of the cellular microenvironment to overall hepatic functionality in pharmacological applications. Here, hepatocytes were modulated in terms of oxygen tension and supplementation, endothelial coculture, and exposure to fluid shear stress delineated from oxygen influx. Results from transcriptomic and metabolomic evaluation indicate that particularly oxygen supply rates are critical to enhance cellular functionality-with cellular drug metabolism remaining comparable to physiological conditions after prolonged static culture. Endothelial signaling was found to be a major contributor to differential phenotype formation known as metabolic zonation, indicated by WNT pathway activity. Lastly, oxygen-delineated shear stress was identified to direct cellular fate towards increased hepatic plasticity and regenerative phenotypes at the cost of drug metabolic functionality - in line with regenerative effects observed in vivo. With these results, we provide a systematic evaluation of critical parameters and their impact in hepatic systems. Given their adherence to physiological effects in vivo, this highlights the importance of their implementation in biomimetic devices, such as organ-on-a-chip systems. Considering recent advances in basic liver biology, direct translation of physiological structures into in vitro models is a promising strategy to expand the capabilities of pharmacological models."
2024 Mar,Regenerative therapy,Regen Ther. 2023 Nov 25;25:24-34. doi: 10.1016/j.reth.2023.11.008. eCollection ,"['Nepal, Shant', 'Si, Jinyan', 'Ishikawa, Shohei', 'Nishikawa, Masaki', 'Sakai, Yasuyuki', 'Akimoto, Aya M', 'Okada, Hiroyuki', 'Ohba, Shinsuke', 'Chung, Ung-Il', 'Sakai, Takamasa', 'Hojo, Hironori']","['bone regeneration', 'gel-gel phase separation', 'growth factors', 'injectable hydrogel', 'polyethylene glycol', 'sustained release']",Injectable phase-separated tetra-armed poly(ethylene glycol) hydrogel scaffold allows sustained release of growth factors to enhance the repair of critical bone defects.,"With the rising prevalence of bone-related injuries, it is crucial to improve treatments for fractures and defects. Tissue engineering offers a promising solution in the form of injectable hydrogel scaffolds that can sustain the release of growth factors like bone morphogenetic protein-2 (BMP-2) for bone repair. Recently, we discovered that tetra-PEG hydrogels (Tetra gels) undergo gel-gel phase separation (GGPS) at low polymer content, resulting in hydrophobicity and tissue affinity. In this work, we examined the potential of a newer class of gel, the oligo-tetra-PEG gel (Oligo gel), as a growth factor-releasing scaffold. We investigated the extent of GGPS occurring in the two gels and assessed their ability to sustain BMP-2 release and osteogenic potential in a mouse calvarial defect model. The Oligo gel underwent a greater degree of GGPS than the Tetra gel, exhibiting higher turbidity, hydrophobicity, and pore formation. The Oligo gel demonstrated sustained protein or growth factor release over a 21-day period from protein release kinetics and osteogenic cell differentiation studies. Finally, BMP-2-loaded Oligo gels achieved complete regeneration of critical-sized calvarial defects within 28 days, significantly outperforming Tetra gels. The easy formulation, injectability, and capacity for sustained release makes the Oligo gel a promising candidate therapeutic biomaterial."
2023 Dec 4,Molecular omics,Mol Omics. 2023 Dec 4;19(10):823. doi: 10.1039/d3mo90033a.,"['Morisseau, Lisa', 'Tokito, Fumiya', 'Poulain, Stéphane', 'Plaisance, Valérie', 'Pawlowski, Valérie', 'Kim, Soo Hyeon', 'Legallais, Cécile', 'Jellali, Rachid', 'Sakai, Yasuyuki', 'Abderrahmani, Amar', 'Leclerc, Eric']",[],Correction: Generation of β-like cell subtypes from differentiated human induced pluripotent stem cells in 3D spheroids.,"Correction for 'Generation of β-like cell subtypes from differentiated human induced pluripotent stem cells in 3D spheroids' by Lisa Morisseau et al., Mol. Omics, 2023, https://doi.org/10.1039/d3mo00050h."
2023 Dec 4,Molecular omics,Mol Omics. 2023 Dec 4;19(10):810-822. doi: 10.1039/d3mo00050h.,"['Morisseau, Lisa', 'Tokito, Fumiya', 'Poulain, Stéphane', 'Plaisance, Valerie', 'Pawlowski, Valerie', 'Kim, Soo Hyeon', 'Legallais, Cécile', 'Jellali, Rachid', 'Sakai, Yasuyuki', 'Abderrahmani, Amar', 'Leclerc, Eric']","['humans', ' induced pluripotent stem cells', 'cell differentiation genetics', ' insulin-secreting cells metabolism', 'pancreas metabolism', 'insulin secretion']",Generation of β-like cell subtypes from differentiated human induced pluripotent stem cells in 3D spheroids.,"Since the identification of four different pancreatic β-cell subtypes and bi-hormomal cells playing a role in the diabetes pathogenesis, the search for in vitro models that mimics such cells heterogeneity became a key priority in experimental and clinical diabetology. We investigated the potential of human induced pluripotent stem cells to lead to the development of the different β-cells subtypes in honeycomb microwell-based 3D spheroids. The glucose-stimulated insulin secretion confirmed the spheroids functionality. Then, we performed a single cell RNA sequencing of the spheroids. Using a knowledge-based analysis with a stringency on the pancreatic markers, we extracted the β-cells INS+/UCN3+ subtype (11%; β1-like cells), the INS+/ST8SIA1+/CD9- subtype (3%, β3-like cells) and INS+/CD9+/ST8SIA1-subtype (1%; β2-like cells) consistently with literature findings. We did not detect the INS+/ST8SIA1+/CD9+ cells (β4-like cells). Then, we also identified four bi-hormonal cells subpopulations including δ-like cells (INS+/SST+, 6%), γ-like cells (INS+/PPY+, 3%), α-like-cells (INS+/GCG+, 6%) and ε-like-cells (INS+/GHRL+, 2%). Using data-driven clustering, we extracted four progenitors' subpopulations (with the lower level of INS gene) that included one population highly expressing inhibin genes (INHBA+/INHBB+), one population highly expressing KCNJ3+/TPH1+, one population expressing hepatocyte-like lineage markers (HNF1A+/AFP+), and one population expressing stem-like cell pancreatic progenitor markers (SOX2+/NEUROG3+). Furthermore, among the cycling population we found a large number of REST+ cells and CD9+ cells (CD9+/SPARC+/REST+). Our data confirm that our differentiation leads to large β-cell heterogeneity, which can be used for investigating β-cells plasticity under physiological and pathophysiological conditions."
