time,journal,doi_info,authors,key words,title,abstract
2024 Feb 13,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2024 Feb 13:2024.02.12.579972. doi: ,"['Hirabayashi, Yusuke', 'Lewis, Tommy L Jr', 'Du, Yudan', 'Virga, Daniel M', 'Decker, Aubrianna M', 'Coceano, Giovanna', 'Alvelid, Jonatan', 'Paul, Maëla A', 'Hamilton, Stevie', 'Kneis, Parker', 'Takahashi, Yasufumi', 'Gaublomme, Jellert T', 'Testa, Ilaria', 'Polleux, Franck']",[],Most axonal mitochondria in cortical pyramidal neurons lack mitochondrial DNA and consume ATP.,"In neurons of the mammalian central nervous system (CNS), axonal mitochondria are thought to be indispensable for supplying ATP during energy-consuming processes such as neurotransmitter release. Here, we demonstrate using multiple, independent, in vitro and in vivo approaches that the majority (~80-90%) of axonal mitochondria in cortical pyramidal neurons (CPNs), lack mitochondrial DNA (mtDNA). Using dynamic, optical imaging analysis of genetically encoded sensors for mitochondrial matrix ATP and pH, we demonstrate that in axons of CPNs, but not in their dendrites, mitochondrial complex V (ATP synthase) functions in a reverse way, consuming ATP and protruding H(+) out of the matrix to maintain mitochondrial membrane potential. Our results demonstrate that in mammalian CPNs, axonal mitochondria do not play a major role in ATP supply, despite playing other functions critical to regulating neurotransmission such as Ca(2+) buffering."
2023 Aug,PLoS biology,PLoS Biol. 2023 Aug 31;21(8):e3002246. doi: 10.1371/journal.pbio.3002246. ,"['Suga, Shogo', 'Nakamura, Koki', 'Nakanishi, Yu', 'Humbel, Bruno M', 'Kawai, Hiroki', 'Hirabayashi, Yusuke']","['humans', ' mitochondrial membranes', ' deep learning', 'mitochondria', 'acclimatization', 'algorithms']",An interactive deep learning-based approach reveals mitochondrial cristae topologies.,"The convolution of membranes called cristae is a critical structural and functional feature of mitochondria. Crista structure is highly diverse between different cell types, reflecting their role in metabolic adaptation. However, their precise three-dimensional (3D) arrangement requires volumetric analysis of serial electron microscopy and has therefore been limiting for unbiased quantitative assessment. Here, we developed a novel, publicly available, deep learning (DL)-based image analysis platform called Python-based human-in-the-loop workflow (PHILOW) implemented with a human-in-the-loop (HITL) algorithm. Analysis of dense, large, and isotropic volumes of focused ion beam-scanning electron microscopy (FIB-SEM) using PHILOW reveals the complex 3D nanostructure of both inner and outer mitochondrial membranes and provides deep, quantitative, structural features of cristae in a large number of individual mitochondria. This nanometer-scale analysis in micrometer-scale cellular contexts uncovers fundamental parameters of cristae, such as total surface area, orientation, tubular/lamellar cristae ratio, and crista junction density in individual mitochondria. Unbiased clustering analysis of our structural data unraveled a new function for the dynamin-related GTPase Optic Atrophy 1 (OPA1) in regulating the balance between lamellar versus tubular cristae subdomains."
2023 Jun 16,iScience,iScience. 2023 May 6;26(6):106826. doi: 10.1016/j.isci.2023.106826. eCollection ,"['Yoshida, Tomofumi', 'Takenaka, Koh-Ichiro', 'Sakamoto, Hirokazu', 'Kojima, Yusuke', 'Sakano, Takumi', 'Shibayama, Koyo', 'Nakamura, Koki', 'Hanawa-Suetsugu, Kyoko', 'Mori, Yasunori', 'Hirabayashi, Yusuke', 'Hirose, Kenzo', 'Takamori, Shigeo']","['biological sciences', 'cell biology', 'molecular biology']",Compartmentalization of soluble endocytic proteins in synaptic vesicle clusters by phase separation.,"Synaptic vesicle (SV) clusters, which reportedly result from synapsin's capacity to undergo liquid-liquid phase separation (LLPS), constitute the structural basis for neurotransmission. Although these clusters contain various endocytic accessory proteins, how endocytic proteins accumulate in SV clusters remains unknown. Here, we report that endophilin A1 (EndoA1), the endocytic scaffold protein, undergoes LLPS under physiologically relevant concentrations at presynaptic terminals. On heterologous expression, EndoA1 facilitates the formation of synapsin condensates and accumulates in SV-like vesicle clusters via synapsin. Moreover, EndoA1 condensates recruit endocytic proteins such as dynamin 1, amphiphysin, and intersectin 1, none of which are recruited in vesicle clusters by synapsin. In cultured neurons, like synapsin, EndoA1 is compartmentalized in SV clusters through LLPS, exhibiting activity-dependent dispersion/reassembly cycles. Thus, beyond its essential function in SV endocytosis, EndoA1 serves an additional structural function by undergoing LLPS, thereby accumulating various endocytic proteins in dynamic SV clusters in concert with synapsin."
2022 Mar 18,"Science (New York, N.Y.)",Science. 2022 Mar 18;375(6586):eabm1670. doi: 10.1126/science.abm1670. Epub 2022 ,"[""O'Hare, Justin K"", 'Gonzalez, Kevin C', 'Herrlinger, Stephanie A', 'Hirabayashi, Yusuke', 'Hewitt, Victoria L', 'Blockus, Heike', 'Szoboszlay, Miklos', 'Rolotti, Sebi V', 'Geiller, Tristan C', 'Negrean, Adrian', 'Chelur, Vikas', 'Polleux, Franck', 'Losonczy, Attila']","['action potentials', 'adaptor proteins, signal transducing genetics', 'animals', 'ca1 region, hippocampal  physiology', 'calcium  metabolism', 'calcium signaling', 'cytosol metabolism', 'dendrites  physiology', 'electroporation', 'endoplasmic reticulum  metabolism', 'female', 'male', 'mice', ' neuronal plasticity', 'optogenetics', 'place cells  physiology', 'single-cell analysis', 'spatial navigation']",Compartment-specific tuning of dendritic feature selectivity by intracellular Ca(2+) release.,"Dendritic calcium signaling is central to neural plasticity mechanisms that allow animals to adapt to the environment. Intracellular calcium release (ICR) from the endoplasmic reticulum has long been thought to shape these mechanisms. However, ICR has not been investigated in mammalian neurons in vivo. We combined electroporation of single CA1 pyramidal neurons, simultaneous imaging of dendritic and somatic activity during spatial navigation, optogenetic place field induction, and acute genetic augmentation of ICR cytosolic impact to reveal that ICR supports the establishment of dendritic feature selectivity and shapes integrative properties determining output-level receptive fields. This role for ICR was more prominent in apical than in basal dendrites. Thus, ICR cooperates with circuit-level architecture in vivo to promote the emergence of behaviorally relevant plasticity in a compartment-specific manner."
2021,"Proceedings of the Japan Academy. Series B, Physical and biological sciences",Proc Jpn Acad Ser B Phys Biol Sci. 2021;97(10):559-572. doi: 10.2183/pjab.97.028.,"['Tsuboi, Masafumi', 'Hirabayashi, Yusuke']","['animals', 'calcium metabolism', 'cell membrane', ' endoplasmic reticulum metabolism', 'mitochondria', 'mitochondrial membranes', ' neurons metabolism', ' synaptic transmission', 'er-mitochondria contact', 'endoplasmic reticulum', 'neurotransmission', 'serial scanning electron microscopy', 'synaptic plasticity']",New insights into the regulation of synaptic transmission and plasticity by the endoplasmic reticulum and its membrane contacts.,"Mammalian neurons are highly compartmentalized yet very large cells. To provide each compartment with its distinct properties, metabolic homeostasis and molecular composition need to be precisely coordinated in a compartment-specific manner. Despite the importance of the endoplasmic reticulum (ER) as a platform for various biochemical reactions, such as protein synthesis, protein trafficking, and intracellular calcium control, the contribution of the ER to neuronal compartment-specific functions and plasticity remains elusive. Recent advances in the development of live imaging and serial scanning electron microscopy (sSEM) analysis have revealed that the neuronal ER is a highly dynamic organelle with compartment-specific structures. sSEM studies also revealed that the ER forms contacts with other membranes, such as the mitochondria and plasma membrane, although little is known about the functions of these ER-membrane contacts. In this review, we discuss the mechanisms and physiological roles of the ER structure and ER-mitochondria contacts in synaptic transmission and plasticity, thereby highlighting a potential link between organelle ultrastructure and neuronal functions."
2021,Frontiers in cell and developmental biology,Front Cell Dev Biol. 2021 May 20;9:653828. doi: 10.3389/fcell.2021.653828. ,"['Aoyama-Ishiwatari, Saeko', 'Hirabayashi, Yusuke']","['er', 'mammalian protein', 'mitochondria', 'organelle contact sites', 'tether']",Endoplasmic Reticulum-Mitochondria Contact Sites-Emerging Intracellular Signaling Hubs.,"It has become apparent that our textbook illustration of singular isolated organelles is obsolete. In reality, organelles form complex cooperative networks involving various types of organelles. Light microscopic and ultrastructural studies have revealed that mitochondria-endoplasmic reticulum (ER) contact sites (MERCSs) are abundant in various tissues and cell types. Indeed, MERCSs have been proposed to play critical roles in various biochemical and signaling functions such as Ca(2+) homeostasis, lipid transfer, and regulation of organelle dynamics. While numerous proteins involved in these MERCS-dependent functions have been reported, how they coordinate and cooperate with each other has not yet been elucidated. In this review, we summarize the functions of mammalian proteins that localize at MERCSs and regulate their formation. We also discuss potential roles of the MERCS proteins in regulating multiple organelle contacts."
2019 Oct 16,The Journal of neuroscience : the official journal of the Society for ,J Neurosci. 2019 Oct 16;39(42):8200-8208. doi: 10.1523/JNEUROSCI.1157-19.2019.,"['Rangaraju, Vidhya', 'Lewis, Tommy L Jr', 'Hirabayashi, Yusuke', 'Bergami, Matteo', 'Motori, Elisa', 'Cartoni, Romain', 'Kwon, Seok-Kyu', 'Courchet, Julien']","['animals', 'humans', 'mitochondria  metabolism pathology', 'mitochondrial dynamics physiology', 'neurodegenerative diseases  metabolism pathology', 'neurogenesis physiology', 'neurons  metabolism pathology', 'energy', 'mitochondria', 'neurodegenerative disease', 'neuronal development', 'synaptic function']",Pleiotropic Mitochondria: The Influence of Mitochondria on Neuronal Development and Disease.,
2019 Dec,Current opinion in neurobiology,Curr Opin Neurobiol. 2019 Dec;59:164-173. doi: 10.1016/j.conb.2019.07.003. Epub ,"['Tsuboi, Masafumi', 'Hirabayashi, Yusuke', 'Gotoh, Yukiko']","['cell differentiation', ' gene expression regulation', ' neurogenesis', 'polycomb-group proteins']",Diverse gene regulatory mechanisms mediated by Polycomb group proteins during neural development.,"While all the developmental genes are temporarily repressed for future activation in the pluripotent stem cells, non-neural genes become persistently repressed in the course of commitment to the neuronal lineage. Although Polycomb group proteins (PcG) are key factors for both temporary and persistent repression of the developmental genes, how the same group of proteins can differentially repress target genes remains unclarified. The identification of a variety of PcG complexes and activities sheds light on these issues. In this review, based on the recent findings including those with the use of interactome and Chromosome Conformation Capture (3C)-type analyses, we summarize the molecular mechanisms of PcG-mediated gene regulation and discuss how PcG regulates cell fate specification during neural development."
2018 Dec 17,Developmental cell,Dev Cell. 2018 Dec 17;47(6):758-772.e5. doi: 10.1016/j.devcel.2018.11.018.,"['Tsuboi, Masafumi', 'Kishi, Yusuke', 'Yokozeki, Wakana', 'Koseki, Haruhiko', 'Hirabayashi, Yusuke', 'Gotoh, Yukiko']","['animals', 'cell differentiation physiology', 'cell lineage', 'dna-binding proteins metabolism', 'histones metabolism', 'mice', 'mice, inbred icr', 'neocortex cytology  embryology  metabolism', 'polycomb repressive complex 1  metabolism', 'polycomb-group proteins metabolism', 'stem cells cytology metabolism', 'ubiquitin-protein ligases metabolism', 'ubiquitination', 'mbd3 nurd', 'phc2–sam clustering', 'ring1b', 'epigenetics', 'histone deacetylation', 'monoubiquitination of histone h2a', 'neocortical neural stem or progenitor cells', 'neurogenic genes', 'polycomb group proteins', 'radial glial cells']",Ubiquitination-Independent Repression of PRC1 Targets during Neuronal Fate Restriction in the Developing Mouse Neocortex.,"Polycomb repressive complex (PRC) 1 maintains developmental genes in a poised state through monoubiquitination (Ub) of histone H2A. Although Ub-independent functions of PRC1 have also been suggested, it has remained unclear whether Ub-dependent and -independent functions of PRC1 operate differentially in a developmental context. Here, we show that the E3 ubiquitin ligase activity of Ring1B, a core component of PRC1, is necessary for the temporary repression of key neuronal genes in neurogenic (early-stage) neural stem or progenitor cells (NPCs) but is dispensable for the persistent repression of these genes associated with the loss of neurogenic potential in astrogliogenic (late-stage) NPCs. Our results also suggest that histone deacetylase (HDAC) activity of the NuRD/MBD3 complex and Phc2-dependent PRC1 clustering are necessary for the transition from the Ub-dependent to -independent function of PRC1. Together, these results indicate that Ub-independent mode of repression by PRC1 plays a key role in mammalian development during cell fate restriction."
2017 Nov 3,"Science (New York, N.Y.)",Science. 2017 Nov 3;358(6363):623-630. doi: 10.1126/science.aan6009.,"['Hirabayashi, Yusuke', 'Kwon, Seok-Kyu', 'Paek, Hunki', 'Pernice, Wolfgang M', 'Paul, Maëla A', 'Lee, Jinoh', 'Erfani, Parsa', 'Raczkowski, Ashleigh', 'Petrey, Donald S', 'Pon, Liza A', 'Polleux, Franck']","['adaptor proteins, signal transducing', 'animals', 'calcium  metabolism', ' calcium signaling', 'dendrites  metabolism', 'endoplasmic reticulum  metabolism', 'genetic complementation test', 'hek293 cells', 'humans', 'membrane proteins chemistry genetics  metabolism', 'mice', 'mitochondria  metabolism', 'neurons  metabolism', 'protein domains', 'receptors, metabotropic glutamate metabolism', 'receptors, n-methyl-d-aspartate metabolism', 'saccharomyces cerevisiae proteins chemistry genetics metabolism']",ER-mitochondria tethering by PDZD8 regulates Ca(2+) dynamics in mammalian neurons.,"Interfaces between organelles are emerging as critical platforms for many biological responses in eukaryotic cells. In yeast, the ERMES complex is an endoplasmic reticulum (ER)-mitochondria tether composed of four proteins, three of which contain a SMP (synaptotagmin-like mitochondrial-lipid binding protein) domain. No functional ortholog for any ERMES protein has been identified in metazoans. Here, we identified PDZD8 as an ER protein present at ER-mitochondria contacts. The SMP domain of PDZD8 is functionally orthologous to the SMP domain found in yeast Mmm1. PDZD8 was necessary for the formation of ER-mitochondria contacts in mammalian cells. In neurons, PDZD8 was required for calcium ion (Ca(2+)) uptake by mitochondria after synaptically induced Ca(2+)-release from ER and thereby regulated cytoplasmic Ca(2+) dynamics. Thus, PDZD8 represents a critical ER-mitochondria tethering protein in metazoans. We suggest that ER-mitochondria coupling is involved in the regulation of dendritic Ca(2+) dynamics in mammalian neurons."
2015 May,Nature neuroscience,Nat Neurosci. 2015 May;18(5):657-65. doi: 10.1038/nn.3989. Epub 2015 Mar 30.,"['Furutachi, Shohei', 'Miya, Hiroaki', 'Watanabe, Tomoyuki', 'Kawai, Hiroki', 'Yamasaki, Norihiko', 'Harada, Yujin', 'Imayoshi, Itaru', 'Nelson, Mark', 'Nakayama, Keiichi I', 'Hirabayashi, Yusuke', 'Gotoh, Yukiko']","['animals', 'cell cycle', 'cell division', 'cell lineage', 'cyclin-dependent kinase inhibitor p57 biosynthesis genetics  physiology', 'genes, reporter', 'histones biosynthesis genetics', 'mice', 'mice, inbred c57bl', 'mice, inbred icr', 'nerve tissue proteins biosynthesis genetics  physiology', 'neural stem cells  cytology', ' neurogenesis', 'recombinant fusion proteins metabolism', 'telencephalon  cytology embryology']",Slowly dividing neural progenitors are an embryonic origin of adult neural stem cells.,"The mechanism by which adult neural stem cells (NSCs) are established during development is unclear. In this study, analysis of cell cycle progression by examining retention of a histone 2B (H2B)-GFP fusion protein revealed that, in a subset of mouse embryonic neural progenitor cells (NPCs), the cell cycle slows between embryonic day (E) 13.5 and E15.5 while other embryonic NPCs continue to divide rapidly. By allowing H2B-GFP expressed at E9.5 to become diluted in dividing cells until the young adult stage, we determined that a majority of NSCs in the young adult subependymal zone (SEZ) originated from these slowly dividing embryonic NPCs. The cyclin-dependent kinase inhibitor p57 is highly expressed in this embryonic subpopulation, and the deletion of p57 impairs the emergence of adult NSCs. Our results suggest that a substantial fraction of adult SEZ NSCs is derived from a slowly dividing subpopulation of embryonic NPCs and identify p57 as a key factor in generating this embryonic origin of adult SEZ NSCs."
