time,journal,doi_info,authors,key words,title,abstract
2024 Jul 1,Hospital pediatrics,Hosp Pediatr. 2024 Jul 1;14(7):573-583. doi: 10.1542/hpeds.2024-007733.,"['Gaetani, Melany', 'Maratta, Christina', 'Akinkugbe, Olugbenga', 'Ginter, Dylan', 'Baleilevuka-Hart, Marica', 'Helmers, Andrew', 'Guerguerian, Anne-Marie', 'Mtaweh, Haifa']","['humans', ' streptococcal infections epidemiology therapy diagnosis', 'retrospective studies', 'child, preschool', 'child', 'male', 'infant', 'female', ' intensive care units, pediatric statistics & numerical data', ' streptococcus pyogenes', 'adolescent', 'critical care', 'ontario epidemiology', 'critical illness therapy', 'infant, newborn']",Invasive Group A Streptococcal Infections in Pediatric Critical Care: A Retrospective Cohort Study.,"BACKGROUND AND OBJECTIVE: The reported rising global rates of invasive group A Streptococcus (iGAS) infection raise concern for disease related increase in critical illness and fatalities. An enhanced understanding of various presentations to health care and clinical course could improve early recognition and therapy in children with iGAS. The objective of this study was to describe the epidemiology of iGAS infections among children admitted to critical care. METHODS: A retrospective cohort study of children admitted to the PICU at The Hospital for Sick Children, in Toronto, Canada, between March 2022 and June 2023. Eligible patients were 0 to 18 years, with a diagnosis of iGAS infection. We describe the proportion of children admitted to the PICU with iGAS over the study period, their clinical characteristics, the frequency and timing of therapies, discharge versus baseline function, and PICU mortality. RESULTS: Among the 1820 children admitted to the PICU, 29 (1.6%) patients had iGAS infection. Of these 29 patients, 80% (n = 23) survived to hospital discharge. Patients who survived generally had favorable functional outcomes. Despite the high severity of illness and mortality described in this cohort, 61% returned to their baseline functional status by hospital discharge. CONCLUSIONS: This is the first report of critically ill children with iGAS in Canada during the increased incidence reported worldwide. We describe the clinical course of iGAS infection in children admitted to PICU with access to advanced extracorporeal interventions. Though there is a high mortality rate in this cohort, those who survive have favorable outcomes."
2024,Frontiers in pediatrics,Front Pediatr. 2024 Mar 8;12:1282275. doi: 10.3389/fped.2024.1282275. eCollection ,"['Deng, Mimi Xiaoming', 'Haller, Christoph', 'Moss, Kasey', 'Saha, Sudipta', 'Runeckles, Kyle', 'Fan, Chun-Po Steve', 'Langanecha, Bhavikkumar', 'Floh, Alejandro', 'Guerguerian, Anne-Marie', 'Honjo, Osami']","['cardiac', 'congenital', 'extracorporeal circulatory membrane oxygenation', 'heart', 'intensive care', 'surgery']",Early outcomes of moderate-to-high-risk pediatric congenital cardiac surgery and predictors of extracorporeal circulatory life support requirement.,"BACKGROUND: Cardiopulmonary failure refractory to medical management after moderate-to-high-risk congenital cardiac surgery may necessitate mechanical support with veno-arterial extracorporeal membrane oxygenation (ECMO). On the extreme, ECMO can also be initiated in the setting of cardiac arrest (extracorporeal cardiopulmonary resuscitation, ECPR) unresponsive to conventional resuscitative measures. METHODS: This was a single-center retrospective cohort study of patients (n = 510) aged <3 years old who underwent cardiac surgery with cardiopulmonary bypass with a RACHS-1 score ≥3 between 2011 and 2014. Perioperative factors were reviewed to identify predictors of ECMO initiation and mortality in the operating room (OR) and the intensive care unit (ICU). RESULTS: A total of 510 patients with a mean surgical age of 10.0 ± 13.4 months were included. Among them, 21 (4%) patients received postoperative ECMO-12 were initiated in the OR and 9 in the ICU. ECMO cannulation was associated with cardiopulmonary bypass duration, aortopulmonary shunt, residual severe mitral regurgitation, vaso-inotropic score, and postprocedural lactate (p < 0.001). Of the 32 (6%) total deaths, 7 (22%) were ECMO patients-4 were elective OR cannulations and 3 were ICU ECPR. Prematurity [hazard ratio (HR): 2.61, p < 0.01), Norwood or Damus-Kaye-Stansel procedure (HR: 4.29, p < 0.001), postoperative left ventricular dysfunction (HR: 5.10, p = 0.01), residual severe tricuspid regurgitation (HR: 6.06, p < 0.001), and postoperative ECMO (ECPR: HR: 15.42, p < 0.001 vs. elective: HR: 5.26, p = 0.01) were associated with mortality. The two patients who were electively cannulated in the ICU survived. DISCUSSION: Although uncommon, postoperative ECMO in children after congenital cardiac surgery is associated with high mortality, especially in cases of ECPR. Patients with long cardiopulmonary bypass time, residual cardiac lesions, or increased vaso-inotropic requirement are at higher risk of receiving ECMO. Pre-emptive or early ECMO initiation before deterioration into cardiac arrest may improve survival."
2024,Frontiers in pediatrics,Front Pediatr. 2024 Feb 6;12:1310494. doi: 10.3389/fped.2024.1310494. eCollection ,"['Rodriguez Guerineau, Luciana', 'Vieira, Fernando', 'Rodrigues, Antenor', 'Reise, Katherine', 'Todd, Mark', 'Guerguerian, Anne-Marie', 'Brochard, Laurent']","['acute respiratory distress syndrome', 'airway closure', 'airway opening pressure maneuver', 'pediatrics', 'respiratory maneuvers']",Airway opening pressure maneuver to detect airway closure in mechanically ventilated pediatric patients.,"BACKGROUND: Airway closure, which refers to the complete collapse of the airway, has been described under mechanical ventilation during anesthesia and more recently in adult patients with acute respiratory distress syndrome (ARDS). A ventilator maneuver can be used to identify airway closure and measure the pressure required for the airway to reopen, known as the airway opening pressure (AOP). Without that maneuver, AOP is unknown to clinicians. OBJECTIVE: This study aims to demonstrate the technical adaptation of the adult maneuver for children and illustrate its application in two cases of pediatric ARDS (p-ARDS). METHODS: A bench study was performed to adapt the maneuver for 3-50 kg patients. Four maneuvers were performed for each simulated patient, with 1, 2, 3, and 4 s of insufflation time to deliver a tidal volume (Vt) of 6 ml/kg by a continuous flow. RESULTS: Airway closure was simulated, and AOP was visible at 15 cmH(2)O with a clear inflection point, except for the 3 kg simulated patient. Regarding insufflation time, a 4 s maneuver exhibited a better performance in 30 and 50 kg simulated patients since shorter insufflation times had excessive flowrates (>10 L/min). Below 20 kg, the difference in resistive pressure between a 3 s and a 4 sec maneuver was negligible; therefore, prolonging the maneuver beyond 3 s was not useful. Airway closure was identified in two p-ARDS patients, with the pediatric maneuver being employed in the 28 kg patient. CONCLUSIONS: We propose a pediatric AOP maneuver delivering 6 ml/kg of Vt at a continuous low-flow inflation for 3 s for patients weighing up to 20 kg and for 4 s for patients weighing beyond 20 kg."
2024 Mar,Molecular diagnosis & therapy,Mol Diagn Ther. 2024 Mar;28(2):169-187. doi: 10.1007/s40291-023-00685-8. Epub ,"['Malhotra, Armaan K', 'Ide, Kentaro', 'Salaheen, Zaid', 'Mahood, Quenby', 'Cunningham, Jessie', 'Hutchison, Jamie', 'Guerguerian, Anne-Marie']","['humans', 'child', ' brain concussion', 'glial fibrillary acidic protein', ' brain injuries, traumatic diagnosis', 'roc curve', 'biomarkers', 's100 calcium binding protein beta subunit']",Acute Fluid Biomarkers for Diagnosis and Prognosis in Children with Mild Traumatic Brain Injury: A Systematic Review.,"BACKGROUND AND OBJECTIVE: Fluid biomarkers have the potential to improve the accuracy of diagnosis and prognosis in children with mild traumatic brain injury. Our primary objective was to assess the diagnostic and prognostic utility of acute blood and fluid biomarkers in children with mild traumatic brain injury. METHODS: We performed a systematic review of the published literature in accordance with Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) methodology. Fluid biomarker studies assessing pediatric mild traumatic brain injury diagnosis or prognosis were included if blood or fluids were sampled within 24 h of injury. RESULTS: Thirty-two studies involving 4743 patients were included comprising 25 diagnostic studies and ten prognostic studies with three studies assessing both diagnosis and prognosis. Sixteen of the 25 diagnostic studies reported the area under the receiver operating characteristic curve (AUC) for predicting abnormal computed tomography scans of the head; S100 calcium binding protein B (S100B, N = 6 studies, AUC range 0.67-1.00), glial fibrillary acidic protein (N = 5, AUC range 0.41-0.85), ubiquitin C-terminal hydrolase (N = 3, AUC 0.59 and 0.83), neuron specific enolase (N = 1, AUC 0.99), total tau (N = 1, AUC 0.65), and interleukin-6 (N = 1, AUC 0.61). In four of the ten prognostic studies, increased acute serum S100B levels, tumor necrosis factor-α, or interleukin-8 were associated with post-concussive symptoms or fatigue from 3 to 12 months post-injury. CONCLUSIONS: The largest amount of evidence supported the potential use of S100B, glial fibrillary acidic protein, and UCH-L1, but there was mixed accuracy for diagnosis and prognostication for all biomarkers in pediatric mTBI."
2023 Dec 1,Pediatric critical care medicine : a journal of the Society of Critical Care ,Pediatr Crit Care Med. 2023 Dec 1;24(12):1094-1095. doi: ,"['Kazzaz, Yasser', 'Guerguerian, Anne Marie', 'Annich, Gail M']",[],"To Reconstruct or Ligate, That Is the Question!",
2023,Frontiers in pediatrics,Front Pediatr. 2023 Aug 15;11:1187769. doi: 10.3389/fped.2023.1187769. ,"['Deshpande, Poorva', 'Barbosa de Olivera, Caio', 'Jain, Amish', 'Hahn, Cecil', 'Shah, Prakesh S', 'Guerguerian, Anne-Marie', 'McNamara, Patrick J']","['cardiac output', 'cerebral oxygenation', 'extremely low gestational age', 'preterm', 'transition']","Relationship between cerebral oxygenation, cardiac output, and blood pressure during transitional period in extremely low gestational age neonates.","OBJECTIVE: To describe the relationship between cerebral oxygenation, cardiac output, arterial blood pressure (BP), and cerebral blood flow velocity in extremely low gestational age neonates (ELGANs) during transition. METHODS: This study comprises secondary analyses from a prospective observational study conducted at a tertiary Neonatal Intensive Care Unit. Recruited ELGANs underwent cerebral saturation (CrSO(2)) monitoring and serial echocardiography during 72 h from birth. Correlative analyses of CrSO(2) and cerebral fractional tissue oxygen extraction (CFTOE) with left (LVO) and right ventricular output (RVO), superior vena cava (SVC) flow, middle cerebral artery blood flow mean velocity (MCA.MV), systolic (SBP), diastolic (DBP), and mean (MBP) BP were conducted. RESULTS: Fifty ELGANs with median (range) gestational age of 25.9 (23.1-27.9) weeks were recruited. Echocardiography was performed sequentially at a median (range) age 5.0 (3.8-6.6), 17.3 (15.4-19.4), 31.0 (27.0-34.1), and 53.7 (49.3-58.3) hours. RVO, LVO, CrSO(2), and SBP increased over time but no changes in MBP, DBP, CFTOE, MCA.MV or SVC flow were noted. A weak correlation was identified between CrSO(2) and SBP (r(2 )= 0.11, p = 0.047) and MBP (r(2) = 0.12, p = 0.04) at 17.3 (15.4-19.4) hours. No correlation of either CrSO(2) or CFTOE with any measures of blood flow was identified. CONCLUSION: There is a weak correlation between measures of cardiac output, BP, and MCA.MV with both CrSO(2) and CFTOE in ELGANs during transition. Whether this finding suggests intact cerebral autoregulation requires prospective evaluation in a cohort of sick ELGANs."
2023 Oct,Canadian journal of anaesthesia = Journal canadien d'anesthesie,Can J Anaesth. 2023 Oct;70(10):1660-1668. doi: 10.1007/s12630-023-02535-x. Epub ,"['Akinkugbe, Olugbenga', 'Dhanani, Sonny', 'Watad, Salmas', 'Aravind, Prasant D', 'Pereira, Myra', 'Dryden-Palmer, Karen', 'Alnaji, Fuad', 'Bell, Chaim', 'Devine, Luke', 'Fan, Eddy', 'Guerguerian, Anne-Marie', 'Helmers, Andrew', 'Lavigne, Melanie', 'Lee, Christie', 'Maratta, Christina', 'McKinnon, Nicole K', 'Neilipovitz, David', 'Gilfoyle, Elaine']","['child', 'adolescent', 'humans', 'adult', ' covid-19', 'ontario', 'critical illness therapy', 'pandemics', 'intensive care units, pediatric', 'intensive care units', 'covid-19', 'icu', 'picu', 'critical care', 'pediatrics']",The care of critically ill adults with COVID-19 in Ontario pediatric intensive care units.,"PURPOSE: To describe and review the experience of two pediatric intensive care units (PICUs) in Ontario, Canada, adapting and providing care to critically ill adults during the COVID-19 pandemic. CLINICAL FEATURES: At a time of extreme pressure to adult intensive care unit (ICU) capacity, two PICUs provided care to critically ill adults with COVID-19 pneumonia. Substantial yet rapid planning was required to facilitate safe delivery of critical care to adult patients while maintaining PICU services, including thoughtful development of care pathways and patient selection. To prepare clinical staff, several communication strategies, knowledge translation, skill consolidation, and system-adaptation mechanisms were developed. There was iterative adaptation of operational processes, including staffing models, specialist consultation, and the pharmacy. Care provided by the interprofessional teams was reoriented as appropriate to the needs of critically ill adults in close collaboration with adult ICU teams. Forty-one adults were admitted to the two PICUs over a 12-week period. In total, 36 patients (88%) received invasive ventilation, eight patients (20%) were supported with venovenous extracorporeal membrane oxygenation, and six patients (15%) received continuous renal replacement therapy. Four died in the PICU during this period. Feedback from staff included anxiety around reorienting practice to the care of critically ill adults, physical exhaustion, and psychological distress. Importantly, staff also reported a renewed sense of purpose with participation in the program. CONCLUSION: Though challenging, the experience has provided opportunity to enhance collaboration with partner institutions and improve the care of older children and adolescents in the PICU."
2023 Nov 1,Pediatric critical care medicine : a journal of the Society of Critical Care ,Pediatr Crit Care Med. 2023 Nov 1;24(11):e531-e539. doi: ,"['Kucher, Nicholas M', 'Marquez, Alexandra M', 'Guerguerian, Anne-Marie', 'Moga, Michael-Alice', 'Vargas-Gutierrez, Mariella', 'Todd, Mark', 'Honjo, Osami', 'Haller, Christoph', 'Goco, Geraldine', 'Floh, Alejandro A']","['humans', 'child', 'infant, newborn', 'infant', 'child, preschool', 'adolescent', 'retrospective studies', 'epinephrine', ' heart arrest therapy', 'vasodilator agents', 'lactic acid', ' cardiopulmonary resuscitation', 'treatment outcome']",Epinephrine Dosing Use During Extracorporeal Cardiopulmonary Resuscitation: Single-Center Retrospective Cohort.,"OBJECTIVES: During pediatric cardiac arrest, contemporary guidelines recommend dosing epinephrine at regular intervals, including in patients requiring extracorporeal membrane oxygenation (ECMO). The impact of epinephrine-induced vasoconstriction on systemic afterload and venoarterial ECMO support is not well-defined. DESIGN: Nested retrospective observational study within a single center. The primary exposure was time from last dose of epinephrine to initiation of ECMO flow; secondary exposures included cumulative epinephrine dose and arrest time. Systemic afterload was assessed by mean arterial pressure and use of systemic vasodilator therapy; ECMO pump flow and Vasoactive-Inotrope Score (VIS) were used as measures of ECMO support. Clearance of lactate was followed post-cannulation as a marker of systemic perfusion. SETTING: PICU and cardiac ICU in a quaternary-care center. PATIENTS: Patients 0-18 years old who required ECMO cannulation during resuscitation over the 6 years, 2014-2020. Patients were excluded if ECMO was initiated before cardiac arrest or if the resuscitation record was incomplete. INTERVENTIONS: None. MEASUREMENTS AND MAIN RESULTS: A total of 92 events in 87 patients, with 69 events having complete data for analysis. The median (interquartile range) of total epinephrine dosing was 65 mcg/kg (37-101 mcg/kg), with the last dose given 6 minutes (2-16 min) before the initiation of ECMO flows. Shorter interval between last epinephrine dose and ECMO initiation was associated with increased use of vasodilators within 6 hours of ECMO ( p = 0.05), but not with mean arterial pressure after 1 hour of support (estimate, -0.34; p = 0.06). No other associations were identified between epinephrine delivery and mean arterial blood pressure, vasodilator use, pump speed, VIS, or lactate clearance. CONCLUSIONS: There is limited evidence to support the idea that regular dosing of epinephrine during cardiac arrest is associated with increased in afterload after ECMO cannulation. Additional studies are needed to validate findings against ECMO flows and clinically relevant outcomes."
2023 Jul 1,Pediatric critical care medicine : a journal of the Society of Critical Care ,Pediatr Crit Care Med. 2023 Jul 1;24(7):614-617. doi: ,"['Marchetto, Luca', 'Alshammari, Hadeel', 'Todd, Mark', 'Guerguerian, Anne-Marie']","['humans', 'child', 'hypocapnia etiology', ' extracorporeal membrane oxygenation adverse effects', ' hypertension', 'homeostasis', 'cerebrovascular circulation']",It All Circles Back to Cerebral Autoregulation: Understanding the Risk of Hypocapnia and Arterial Hypertension When Initialing Pediatric Extracorporeal Membrane Oxygenation.,
2023 Sep,Pediatric neurology,Pediatr Neurol. 2023 Sep;146:1-7. doi: 10.1016/j.pediatrneurol.2023.05.015. Epub ,"['Hong, Sue J', 'Wainwright, Mark S', 'Abend, Nicholas S', 'Appavu, Brian L', 'Francoeur, Conall', 'Erklauer, Jennifer C', 'Guerguerian, Anne-Marie', 'Guerriero, Réjean M', 'Guilliams, Kristin P', 'Lee-Eng, Jacqueline', 'Loeb, Joshua', 'Lovett, Marlina E', 'Murphy, Sarah A', 'Pardo, Andrea C', 'Pineda, Jose A', 'Ruzas, Christopher M', 'Topjian, Alexis A']","['child', 'humans', 'united states', ' fellowships and scholarships', ' critical care', 'surveys and questionnaires', 'north america', 'curriculum', 'education, medical, graduate', 'critical illness', 'graduate medical education', 'intensive care units', 'neurological disorder', 'neurology', 'pediatric']",A Survey of Pediatric Neurocritical Care Fellowship Training in North America.,"BACKGROUND: Pediatric neurocritical care (PNCC) has emerged as a field to care for children at the intersection of critical illness and neurological dysfunction. PNCC fellowship programs evolved over the past decade to train physicians to fill this clinical need. We aimed to characterize PNCC fellowship training infrastructure and curriculum in the United States and Canada. METHODS: Web-based survey of PNCC fellowship program leaders during November 2019 to January 2020. RESULTS: There were 14 self-identified PNCC fellowship programs. The programs were supported by Child Neurology and/or Pediatric Critical Care Medicine divisions at tertiary/quaternary care institutions. Most programs accepted trainees who were board-eligible or board-certified in child neurology or pediatric critical care medicine. Clinical training consisted mostly of rotations providing PNCC consultation (n = 13) or as a provider on the pediatric intensive care unit-based neurointensive care team (n = 2). PNCC-specific didactics were delivered at most institutions (n = 13). All institutions provided training in electroencephalography use in the intensive care unit and declaration of death by neurological criteria (n = 14). Scholarly activity was supported by most programs, including protected time for research (n = 10). CONCLUSIONS: We characterized PNCC fellowship training in the United States and Canada, which in this continuously evolving field, lays the foundation for exploring standardization of training going forward."
