time,journal,doi_info,authors,key words,title,abstract
2024 Feb,Transplantation and cellular therapy,Transplant Cell Ther. 2024 Feb;30(2):123-125. doi: 10.1016/j.jtct.2024.01.057.,"['Keating, Armand']",[],The Arc of Connectedness.,
2023 Apr,Heliyon,Heliyon. 2023 Mar 31;9(4):e14924. doi: 10.1016/j.heliyon.2023.e14924. eCollection ,"['Ai, Huisheng', 'Chao, Nelson J', 'Rizzieri, David A', 'Huang, Xiaojun', 'Spitzer, Thomas R', 'Wang, Jianxiang', 'Guo, Mei', 'Keating, Armand', 'Krakow, Elizabeth F', 'Blaise, Didier', 'Ma, Jun', 'Wu, Depei', 'Reagan, John', 'Gergis, Usama', 'Duarte, Rafael F', 'Chaudhary, Preet M', 'Hu, Kaixun', 'Yu, Changlin', 'Sun, Qiyun', 'Fuchs, Ephraim', 'Cai, Bo', 'Huang, Yajing', 'Qiao, Jianhui', 'Gottlieb, David', 'Schultz, Kirk R', 'Liu, Mingyao', 'Chen, Xiequn', 'Chen, Wenming', 'Wang, Jianmin', 'Zhang, Xiaohui', 'Li, Jianyong', 'Huang, He', 'Sun, Zimin', 'Li, Fei', 'Yang, Linhua', 'Zhang, Liansheng', 'Li, Lijuan', 'Liu, Kaiyan', 'Jin, Jie', 'Liu, Qifa', 'Liu, Daihong', 'Gao, Chunji', 'Fan, Chuanbo', 'Wei, Li', 'Zhang, Xi', 'Hu, Liangding', 'Zhang, Weijing', 'Tian, Yuyang', 'Han, Weidong', 'Zhu, Jun', 'Xiao, Zhijian', 'Zhou, Daobin', 'Zhang, Bolong', 'Jia, Yongqian', 'Zhang, Yongqing', 'Wu, Xiaoxiong', 'Shen, Xuliang', 'Lu, Xuzhang', 'Zhan, Xinrong', 'Sun, Xiuli', 'Xiao, Yi', 'Wang, Jingbo', 'Shi, Xiaodong', 'Zheng, Bo', 'Chen, Jieping', 'Ding, Banghe', 'Wang, Zhao', 'Zhou, Fan', 'Zhang, Mei', 'Zhang, Yizhuo', 'Sun, Jie', 'Xia, Bing', 'Chen, Baoan', 'Ma, Liangming']","['acute myeloid leukemia', 'elderly', 'microtransplant', 'recommendations and considerations']",Expert consensus on microtransplant for acute myeloid leukemia in elderly patients -report from the international microtransplant interest group.,"Recent studies have shown that microtransplant (MST) could improve outcome of patients with elderly acute myeloid leukemia (EAML). To further standardize the MST therapy and improve outcomes in EAML patients, based on analysis of the literature on MST, especially MST with EAML from January 1st, 2011 to November 30th, 2022, the International Microtransplant Interest Group provides recommendations and considerations for MST in the treatment of EAML. Four major issues related to MST for treating EAML were addressed: therapeutic principle of MST (1), candidates for MST (2), induction chemotherapy regimens (3), and post-remission therapy based on MST (4). Others included donor screening, infusion of donor cells, laboratory examinations, and complications of treatment."
2023,PloS one,PLoS One. 2023 Mar 9;18(3):e0282753. doi: 10.1371/journal.pone.0282753. ,"['Novitzky-Basso, Igor', 'Schain, Frida', 'Batyrbekova, Nurgul', 'Webb, Thomas', 'Remberger, Mats', 'Keating, Armand', 'Mattsson, Jonas']","['humans', ' bronchiolitis obliterans syndrome', 'retrospective studies', ' graft vs host disease etiology', ' hematopoietic stem cell transplantation adverse effects', ' hematologic neoplasms pathology', 'chronic disease']",Population-based real-world registry study to evaluate clinical outcomes of chronic graft-versus-host disease.,"INTRODUCTION: Chronic graft-versus-host disease (cGVHD) is a serious immune-mediated complication after allogeneic haematopoietic stem cell transplantation (HSCT), but in patients with malignancy, cGVHD development is associated with superior survival. Lack of reliable biomarkers and clinical underreporting means there is insufficient understanding of cGVHD clinical outcomes and balance between cGVHD treatment and maintaining beneficial graft-versus-tumour effects. METHODS: We performed a Swedish population-wide registry study following patients who underwent allogeneic HSCT 2006-2015. cGVHD status was retrospectively classified using a real-world method based on the timing and extent of systemic immunosuppressive treatment. RESULTS: cGVHD incidence among patients surviving ≥6 months post-HSCT (n = 1246) was 71.9%, significantly higher than previously reported. 5-year overall survival in patients surviving ≥6 months post-HSCT was 67.7%, 63.3%, and 65.3%, in non-, mild, and moderate-severe cGVHD, respectively. Non-cGVHD patients had a mortality risk almost five-fold higher compared to moderate-severe cGVHD patients 12-months post-HSCT. Moderate-severe cGVHD patients had greater healthcare utilization compared with mild and non cGVHD patients. CONCLUSION: cGVHD incidence was high among HSCT survivors. Non-cGVHD patients had higher mortality during the first 6 months of follow-up; however, moderate-severe cGVHD patients had more comorbidities and healthcare utilization. This study highlights the urgent need for new treatments and real-time methods to monitor effective immunosuppression after HSCT."
2023 Mar 9,Molecular therapy. Methods & clinical development,Mol Ther Methods Clin Dev. 2023 Jan 18;28:262-271. doi: ,"['Saleh, Amr H', 'Rothe, Michael', 'Barber, Dwayne L', 'McKillop, William M', 'Fraser, Graeme', 'Morel, Chantal F', 'Schambach, Axel', 'Auray-Blais, Christiane', 'West, Michael L', 'Khan, Aneal', 'Fowler, Daniel H', 'Rupar, C Anthony', 'Foley, Ronan', 'Medin, Jeffrey A', 'Keating, Armand']","['fabry disease', 'clinical trial', 'gene therapy', 'lentiviral integration', 'lentiviral safety']",Persistent hematopoietic polyclonality after lentivirus-mediated gene therapy for Fabry disease.,"The safety and efficacy of lentivirus-mediated gene therapy was recently demonstrated in five male patients with Fabry disease-a rare X-linked lysosomal storage disorder caused by GLA gene mutations that result in multiple end-organ complications. To evaluate the risks of clonal dominance and leukemogenesis, which have been reported in multiple gene therapy trials, we conducted a comprehensive DNA insertion site analysis of peripheral blood samples from the five patients in our gene therapy trial. We found that patients had a polyclonal integration site spectrum and did not find evidence of a dominant clone in any patient. Although we identified vector integrations near proto-oncogenes, these had low percentages of contributions to the overall pool of integrations and did not persist over time. Overall, we show that our trial of lentivirus-mediated gene therapy for Fabry disease did not lead to hematopoietic clonal dominance and likely did not elevate the risk of leukemogenic transformation."
2023 Jan,British journal of haematology,Br J Haematol. 2023 Jan;200(2):170-174. doi: 10.1111/bjh.18510. Epub 2022 Oct 20.,"['Pereira-Martins, Diego A', 'Coelho-Silva, Juan L', 'Weinhäuser, Isabel', 'Franca-Neto, Pedro L', 'Silveira, Douglas R', 'Ortiz, César', 'Moreira-Aguiar, Amanda', 'Lima, Marinus M', 'Koury, Luisa C', 'de Melo, Raul A', 'Glória, Ana B', 'Fagundes, Evandro M', 'Lino, Bruno K', 'Pagnano, Katia', 'Bittencourt, Rosane', 'Nunes, Elenaide', 'Traina, Fabiola', 'Figueiredo-Pontes, Lorena', 'Keating, Armand', 'Tallman, Martin S', 'Ribeiro, Raul C', 'Dilon, Richard', 'Ganser, Arnold', 'Sanz, Miguel A', 'Berliner, Nancy', 'Valk, Peter', 'Löwenberg, Bob', 'Ottone, Tiziana', 'Noguera, Nelida I', 'Voso, Maria T', 'Paoloni, Francesca', 'Fazi, Paola', 'Ammatuna, Emanuele', 'Huls, Gerwin', 'Schuringa, Jan Jacob', 'Rego, Eduardo M', 'Lucena-Araujo, Antonio R']","['humans', ' leukemia, promyelocytic, acute drug therapy genetics', 'tretinoin therapeutic use', 'dna, mitochondrial genetics', 'clinical relevance', 'neoplasm recurrence, local drug therapy', 'antineoplastic combined chemotherapy protocols therapeutic use', 'treatment outcome', 'atra', 'anthracycline-based chemotherapy', 'mtdna content', 'oxidative phosphorylation']",Clinical significance of mitochondrial DNA content in acute promyelocytic leukaemia.,"Although a growing body of evidence demonstrates that altered mtDNA content (mtDNAc) has clinical implications in several types of solid tumours, its prognostic relevance in acute promyelocytic leukaemia (APL) patients remains largely unknown. Here, we show that patients with higher-than-normal mtDNAc had better outcomes regardless of tumour burden. These results were more evident in patients with low-risk of relapse. The multivariate Cox proportional hazard model demonstrated that high mtDNAc was independently associated with a decreased cumulative incidence of relapse. Altogether, our data highlights the possible role of mitochondrial metabolism in APL patients treated with ATRA."
2022 Aug 25,Journal of visualized experiments : JoVE,J Vis Exp. 2022 Aug 25;(186). doi: 10.3791/63296.,"['de Korte, Marieke', 'Keating, Armand', 'Wang, Chen']","['cell culture techniques', 'immunologic tests', 'lymphocytes', ' weightlessness', 'weightlessness simulation']",Culturing Lymphocytes in Simulated Microgravity using a Rotary Cell Culture System.,"Given the current limitations of conducting biological research in space, a few options exist for subjecting cell culture to simulated microgravity (SMG) on Earth. These options vary in their methods, principles, and suitability for use with suspension cell culture. Here, a cell culture method is described for subjecting lymphocytes to simulated microgravity using a commercially available rotary cell culture system, also known as a 2D clinostat or a rotating wall vessel (RWV) device. This cell culture method utilizes the principle of time-averaged gravity vector nullification to simulate microgravity by rotating the cells on a horizontal axis. The cells cultured in this system can be harvested and utilized in many different experimental assays to assess the effects of simulated microgravity on cellular function and physiology. The culturing technique may vary slightly depending on the cell type or line that is used, but the method described here may be applied to any suspension-type cell culture."
2022 Dec,American journal of hematology,Am J Hematol. 2022 Dec;97(12):1538-1547. doi: 10.1002/ajh.26726. Epub 2022 Sep ,"['Lackraj, Tracy', 'Ben Barouch, Sharon', 'Medeiros, Jessie J F', 'Pedersen, Stephanie', 'Danesh, Arnavaz', 'Bakhtiari, Mehran', 'Hong, Michael', 'Tong, Kit', 'Joynt, Jesse', 'Arruda, Andrea', 'Minden, Mark D', 'Kuruvilla, John', 'Bhella, Sita', 'Kukreti, Vishal', 'Crump, Michael', 'Prica, Anca', 'Chen, Christine', 'Deng, Yangqing', 'Xu, Wei', 'Pugh, Trevor J', 'Keating, Armand', 'Dick, John E', 'Abelson, Sagi', 'Kridel, Robert']","['humans', 'transplantation, autologous adverse effects', ' hematopoietic stem cell transplantation adverse effects', 'clonal hematopoiesis', ' lymphoma therapy complications', ' hodgkin disease complications', ' neoplasms, second primary therapy genetics', 'stem cell transplantation adverse effects', 'retrospective studies']",Clinical significance of clonal hematopoiesis in the setting of autologous stem cell transplantation for lymphoma.,"Autologous stem cell transplantation (ASCT) remains a key therapeutic strategy for treating patients with relapsed or refractory non-Hodgkin and Hodgkin lymphoma. Clonal hematopoiesis (CH) has been proposed as a major contributor not only to the development of therapy-related myeloid neoplasms but also to inferior overall survival (OS) in patients who had undergone ASCT. Herein, we aimed to investigate the prognostic implications of CH after ASCT in a cohort of 420 lymphoma patients using ultra-deep, highly sensitive error-correction sequencing. CH was identified in the stem cell product samples of 181 patients (43.1%) and was most common in those with T-cell lymphoma (72.2%). The presence of CH was associated with a longer time to neutrophil and platelet recovery. Moreover, patients with evidence of CH had inferior 5-year OS from the time of first relapse (39.4% vs. 45.8%, p = .043) and from the time of ASCT (51.8% vs. 59.3%, p = .018). The adverse prognostic impact of CH was not due to therapy-related myeloid neoplasms, the incidence of which was low in our cohort (10-year cumulative incidence of 3.3% vs. 3.0% in those with and without CH, p = .445). In terms of specific-gene mutations, adverse OS was mostly associated with PPM1D mutations (hazard ratio (HR) 1.74, 95% confidence interval ("
2022 May,The Lancet. Haematology,Lancet Haematol. 2022 May;9(5):e374-e384. doi: 10.1016/S2352-3026(22)00045-X.,"['Thanarajasingam, Gita', 'Minasian, Lori M', 'Bhatnagar, Vishal', 'Cavalli, Franco', 'De Claro, R Angelo', 'Dueck, Amylou C', 'El-Galaly, Tarec C', 'Everest, Neil', 'Geissler, Jan', 'Gisselbrecht, Christian', 'Gormley, Nicole', 'Gribben, John', 'Horowitz, Mary', 'Ivy, S Percy', 'Jacobson, Caron A', 'Keating, Armand', 'Kluetz, Paul G', 'Kwong, Yok Lam', 'Little, Richard F', 'Matasar, Matthew J', 'Mateos, Maria-Victoria', 'McCullough, Kristen', 'Miller, Robert S', 'Mohty, Mohamad', 'Moreau, Philippe', 'Morton, Lindsay M', 'Nagai, Sumimasa', 'Nair, Abhilasha', 'Nastoupil, Loretta', 'Robertson, Kaye', 'Sidana, Surbhi', 'Smedby, Karin E', 'Sonneveld, Pieter', 'Tzogani, Kyriaki', 'van Leeuwen, Flora E', 'Velikova, Galina', 'Villa, Diego', 'Wingard, John R', 'Seymour, John F', 'Habermann, Thomas M']","[' antineoplastic agents', ' hematologic neoplasms complications drug therapy', 'humans', ' neoplasms']",Reaching beyond maximum grade: progress and future directions for modernising the assessment and reporting of adverse events in haematological malignancies.,"Remarkable improvements in outcomes for many haematological malignancies have been driven primarily by a proliferation of novel therapeutics over the past two decades. Targeted agents, immune and cellular therapies, and combination regimens have adverse event profiles distinct from conventional finite cytotoxic chemotherapies. In 2018, a Commission comprising patient advocates, clinicians, clinical investigators, regulators, biostatisticians, and pharmacists representing a broad range of academic and clinical cancer expertise examined issues of adverse event evaluation in the context of both newer and existing therapies for haematological cancers. The Commission proposed immediate actions and long-term solutions in the current processes in adverse event assessment, patient-reported outcomes in haematological malignancies, toxicities in cellular therapies, long-term toxicity and survivorship in haematological malignancies, issues in regulatory approval from an international perspective, and toxicity reporting in haematological malignancies and the real-world setting. In this follow-up report, the Commission describes progress that has been made in these areas since the initial report."
2022 Jul,Cytotherapy,Cytotherapy. 2022 Jul;24(7):699-710. doi: 10.1016/j.jcyt.2021.12.005. Epub 2022 ,"['Antoon, Roula', 'Wang, Xing-Hua', 'Saleh, Amr H', 'Warrington, Jenny', 'Hedley, David W', 'Keating, Armand']","['animals', 'bone marrow metabolism', 'cell line, tumor', 'humans', 'interleukin-6  metabolism', ' mesenchymal stem cells', 'mice', ' pancreatic neoplasms genetics therapy', 'tumor microenvironment', 'vascular endothelial growth factor a metabolism', 'msc', 'stat3', 'interleukin-6', 'mesenchymal stromal cells', 'pancreatic cancer', 'tumor stroma']",Pancreatic cancer growth promoted by bone marrow mesenchymal stromal cell-derived IL-6 is reversed predominantly by IL-6 blockade.,"Pancreatic cancer is a highly lethal cancer characterized by local invasiveness, early metastasis, recurrence and high resistance to current therapies. Extensive stroma or desmoplasia is a key histological feature of the disease, and interactions between cancer and stromal cells are critical for pancreatic cancer development and progression. Mesenchymal stromal cells [MSCs] exhibit preferential tropism to primary and metastatic tumor sites and may either suppress or support tumor growth. Although MSCs represent a potential source of pancreatic cancer stroma, their contribution to pancreatic tumor growth remains poorly known. Here, we show that bone marrow MSCs significantly contribute to pancreatic cancer growth in vitro and in vivo. Furthermore, MSCs create a pro-carcinogenic microenvironment through the release of key factors mediating growth and angiogenesis, including interleukin (IL)-6, IL-8, vascular endothelial growth factor and activation of STAT3 signaling in tumor cells. IL-6 released by MSCs was largely responsible for the pro-tumorigenic effects of MSCs. Knockdown of IL-6 expression in MSCs by small interfering RNA (siRNA) abolished the MSC growth-promoting effect in vitro, reducing tumor cell proliferation and clonogenic potential. In addition, in a heterotopic nude mouse model of human pancreatic tumor xenografts, blockade of IL-6 with the anti-IL-6 receptor antibody, tocilizumab, or of its downstream effector STAT3 with the small molecule STAT3 inhibitor S3I-201, abrogated MSC-mediated tumor promotion and delayed tumor formation significantly. Our data demonstrate that MSCs promote pancreatic cancer growth, with IL-6 produced by MSCs playing a pivotal role."
2022 Apr,Science China. Life sciences,Sci China Life Sci. 2022 Apr;65(4):849-850. doi: 10.1007/s11427-021-2022-5. Epub ,"['Keating, Armand']","[' covid-19', 'humans', ' mesenchymal stem cell transplantation', ' mesenchymal stem cells']",Treatment of COVID-19 with MSCs: how does it work?,
