time,journal,doi_info,authors,key words,title,abstract
2024 Apr 3,Translational psychiatry,Transl Psychiatry. 2024 Apr 3;14(1):173. doi: 10.1038/s41398-024-02857-4.,"['Morgado, Felipe', 'Vandewouw, Marlee M', 'Hammill, Christopher', 'Kelley, Elizabeth', 'Crosbie, Jennifer', 'Schachar, Russell', 'Ayub, Muhammad', 'Nicolson, Robert', 'Georgiades, Stelios', 'Arnold, Paul', 'Iaboni, Alana', 'Kushki, Azadeh', 'Taylor, Margot J', 'Anagnostou, Evdokia', 'Lerch, Jason P']","['child', 'humans', ' autism spectrum disorder', 'brain mapping', 'magnetic resonance imaging methods', 'cerebellum', 'brain diagnostic imaging']",Behaviour-correlated profiles of cerebellar-cerebral functional connectivity observed in independent neurodevelopmental disorder cohorts.,"The cerebellum, through its connectivity with the cerebral cortex, plays an integral role in regulating cognitive and affective processes, and its dysregulation can result in neurodevelopmental disorder (NDD)-related behavioural deficits. Identifying cerebellar-cerebral functional connectivity (FC) profiles in children with NDDs can provide insight into common connectivity profiles and their correlation to NDD-related behaviours. 479 participants from the Province of Ontario Neurodevelopmental Disorders (POND) network (typically developing = 93, Autism Spectrum Disorder = 172, Attention Deficit/Hyperactivity Disorder = 161, Obsessive-Compulsive Disorder = 53, mean age = 12.2) underwent resting-state functional magnetic resonance imaging and behaviour testing (Social Communication Questionnaire, Toronto Obsessive-Compulsive Scale, and Child Behaviour Checklist - Attentional Problems Subscale). FC components maximally correlated to behaviour were identified using canonical correlation analysis. Results were then validated by repeating the investigation in 556 participants from an independent NDD cohort provided from a separate consortium (Healthy Brain Network (HBN)). Replication of canonical components was quantified by correlating the feature vectors between the two cohorts. The two cerebellar-cerebral FC components that replicated to the greatest extent were correlated to, respectively, obsessive-compulsive behaviour (behaviour feature vectors, r(POND-HBN) = -0.97; FC feature vectors, r(POND-HBN) = -0.68) and social communication deficit contrasted against attention deficit behaviour (behaviour feature vectors, r(POND-HBN) = -0.99; FC feature vectors, r(POND-HBN) = -0.78). The statistically stable (|z| > 1.96) features of the FC feature vectors, measured via bootstrap re-sampling, predominantly comprised of correlations between cerebellar attentional and control network regions and cerebral attentional, default mode, and control network regions. In both cohorts, spectral clustering on FC loading values resulted in subject clusters mixed across diagnostic categories, but no cluster was significantly enriched for any given diagnosis as measured via chi-squared test (p > 0.05). Overall, two behaviour-correlated components of cerebellar-cerebral functional connectivity were observed in two independent cohorts. This suggests the existence of generalizable cerebellar network differences that span across NDD diagnostic boundaries."
2024 Mar 16,Scientific reports,Sci Rep. 2024 Mar 16;14(1):6377. doi: 10.1038/s41598-024-56821-9.,"['Mahjoob, Maryam', 'Cardy, Robyn', 'Penner, Melanie', 'Anagnostou, Evdokia', 'Andrade, Brendan F', 'Crosbie, Jennifer', 'Kelley, Elizabeth', 'Ayub, Muhammad', 'Ayub, Muhammad', 'Brian, Jessica', 'Iaboni, Alana', 'Schachar, Russell', 'Georgiades, Stelios', 'Nicolson, Rob', 'Jones, Jessica', 'Kushki, Azadeh']","['child', 'adolescent', 'humans', 'male', 'female', 'quality of life', 'cross-sectional studies', ' attention deficit disorder with hyperactivity epidemiology diagnosis', ' obsessive-compulsive disorder epidemiology diagnosis', 'adaptation, psychological', 'neurodevelopmental disorders', 'quality of life', 'structural equation modelling']",Predictors of health-related quality of life for children with neurodevelopmental conditions.,"Neurodevelopmental conditions can be associated with decreased health-related quality of life; however, the predictors of these outcomes remain largely unknown. We characterized the predictors of health-related quality of life (HRQoL) in a sample of neurodiverse children and youth. We used a cross-sectional subsample from the Province of Ontario Neurodevelopmental Disorders Network (POND) consisting of those children and young people in the POND dataset with complete study data (total n = 615; 31% female; age: 11.28 years ± 2.84 years). Using a structural equation model, we investigated the effects of demographics (age, sex, socioeconomic status), core features (Social Communication Questionnaire, Toronto Obsessive Compulsive Scale, Strengths and Weaknesses of attention deficit/hyperactivity disorder (ADHD)-symptoms and Normal Behavior), co-occurring symptoms (Child Behaviour Checklist), and adaptive functioning (Adaptive Behaviour Assessment System) on HRQoL (KINDL). A total of 615 participants had complete data for this study (autism = 135, ADHD = 273, subthreshold ADHD = 7, obsessive-compulsive disorder (OCD) = 38, sub-threshold OCD = 1, neurotypical = 161). Of these participants, 190 (31%) identified as female, and 425 (69%) identified as male. The mean age was 11.28 years ± 2.84 years. Health-related quality of life was negatively associated with co-occurring symptoms (B = - 0.6, SE = 0.20,"
2024 Mar,Clinical child and family psychology review,Clin Child Fam Psychol Rev. 2024 Mar;27(1):91-129. doi: ,"['Mahjoob, Maryam', 'Paul, Tithi', 'Carbone, Julia', 'Bokadia, Harshit', 'Cardy, Robyn E', 'Kassam, Souraiya', 'Anagnostou, Evdokia', 'Andrade, Brendan F', 'Penner, Melanie', 'Kushki, Azadeh']","['child', 'humans', 'male', ' quality of life psychology', 'health-related quality of life', 'neurodevelopmental conditions']",Predictors of Health-Related Quality of Life in Neurodivergent Children: A Systematic Review.,"Health-related Quality of Life (HRQoL) is a multi-faceted construct influenced by a myriad of environmental, demographic, and individual characteristics. Our understanding of these influencers remains highly limited in neurodevelopmental conditions. Existing research in this area is sparse, highly siloed by diagnosis labels, and focused on symptoms. This review synthesized the evidence in this area using a multi-dimensional model of HRQoL and trans-diagnostically across neurodevelopmental conditions. The systematic review, conducted in accordance with the Preferred Reporting Items for Systematic Reviews and Meta-Analysis Checklist, was completed in June 2023 using Medline, PsycInfo, Embase, PubMed, and Cochrane Library. Our search revealed 78 studies that examined predictors of HRQoL in neurodevelopmental conditions. The majority of these studies focused on autism and ADHD with a paucity of literature in other conditions. Cross-diagnosis investigations were limited despite the fact that many of the examined predictors transcend diagnostic boundaries. Significant gaps were revealed in domains of biology/physiology, functioning, health perceptions, and environmental factors. Very preliminary evidence suggested potentially shared predictors of HRQoL across conditions including positive associations between HRQoL and adaptive functioning, male sex/gender, positive self-perception, physical activity, resources, and positive family context, and negative associations with diagnostic features and mental health symptoms. Studies of transdiagnostic predictors across neurodevelopmental conditions are critically needed to enable care models that address shared needs of neurodivergent individuals beyond diagnostic boundaries. Further understanding of HRQoL from the perspective of neurodivergent communities is a critical area of future work."
2023 Aug,Infant behavior & development,Infant Behav Dev. 2023 Aug;72:101848. doi: 10.1016/j.infbeh.2023.101848. Epub ,"['Susko, Melissa', 'Armstrong, Vickie L', 'Brian, Jessica A', 'Bryson, Susan E', 'Kushki, Azadeh', 'Sacrey, Lori-Ann R', 'Zwaigenbaum, Lonnie', 'Smith, Isabel M']","['humans', 'infant', 'child', ' autism spectrum disorder psychology', 'prospective studies', 'emotions', 'crying', 'smiling', 'siblings psychology', 'autism spectrum disorder', 'emotion', 'infant siblings', 'prospective study']",Behavioural reactions to an emotion evoking task in infants at increased likelihood for autism spectrum disorder.,"Infants at increased likelihood for autism spectrum disorder (ASD) exhibit more negative affect and avoidance behaviour than typically developing infants, and children with ASD express fear differently than typically developing peers. We examined behavioural reactions to emotion-evoking stimuli in infants at increased familial likelihood for ASD. Participants included 55 increased likelihood (IL) infants (i.e., siblings of children diagnosed with ASD) and 27 typical likelihood (TL) infants (i.e., no family history of ASD). At 18 months, we showed infants two masks that commonly elicit fearful responses in older children and examined potential behavioural differences in approach, avoidance, 'freezing', crying, gaze aversion, and smiling. At 24 months, infants were assessed with the Toddler Module of the Autism Diagnostic Observation Schedule, 2nd edition (ADOS-2). Results of video-based coding showed that (1) IL infants exhibited more intense avoidance behaviour than TL infants in response to masks, and (2) intensity of avoidance and duration of freezing were positively correlated with ADOS-2 symptom severity scores. Findings suggest that differences in response to emotion-eliciting stimuli may predict later ASD symptoms. Such behavioural differences may inform early detection and intervention in ASD."
2023 Mar 1,JAMA network open,JAMA Netw Open. 2023 Mar 1;6(3):e232066. doi: 10.1001/jamanetworkopen.2023.2066.,"['Vandewouw, Marlee M', 'Brian, Jessica', 'Crosbie, Jennifer', 'Schachar, Russell J', 'Iaboni, Alana', 'Georgiades, Stelios', 'Nicolson, Robert', 'Kelley, Elizabeth', 'Ayub, Muhammad', 'Jones, Jessica', 'Taylor, Margot J', 'Lerch, Jason P', 'Anagnostou, Evdokia', 'Kushki, Azadeh']","['humans', ' autism spectrum disorder diagnostic imaging', 'case-control studies', 'brain pathology', 'neuroimaging', 'magnetic resonance imaging']",Identifying Replicable Subgroups in Neurodevelopmental Conditions Using Resting-State Functional Magnetic Resonance Imaging Data.,"IMPORTANCE: Neurodevelopmental conditions, such as autism spectrum disorder (ASD), attention-deficit/hyperactivity disorder (ADHD), and obsessive-compulsive disorder (OCD), have highly heterogeneous and overlapping phenotypes and neurobiology. Data-driven approaches are beginning to identify homogeneous transdiagnostic subgroups of children; however, findings have yet to be replicated in independently collected data sets, a necessity for translation into clinical settings. OBJECTIVE: To identify subgroups of children with and without neurodevelopmental conditions with shared functional brain characteristics using data from 2 large, independent data sets. DESIGN, SETTING, AND PARTI"
2022 Nov 10,Cell,Cell. 2022 Nov 10;185(23):4409-4427.e18. doi: 10.1016/j.cell.2022.10.009.,"['Trost, Brett', 'Thiruvahindrapuram, Bhooma', 'Chan, Ada J S', 'Engchuan, Worrawat', 'Higginbotham, Edward J', 'Howe, Jennifer L', 'Loureiro, Livia O', 'Reuter, Miriam S', 'Roshandel, Delnaz', 'Whitney, Joe', 'Zarrei, Mehdi', 'Bookman, Matthew', 'Somerville, Cherith', 'Shaath, Rulan', 'Abdi, Mona', 'Aliyev, Elbay', 'Patel, Rohan V', 'Nalpathamkalam, Thomas', 'Pellecchia, Giovanna', 'Hamdan, Omar', 'Kaur, Gaganjot', 'Wang, Zhuozhi', 'MacDonald, Jeffrey R', 'Wei, John', 'Sung, Wilson W L', 'Lamoureux, Sylvia', 'Hoang, Ny', 'Selvanayagam, Thanuja', 'Deflaux, Nicole', 'Geng, Melissa', 'Ghaffari, Siavash', 'Bates, John', 'Young, Edwin J', 'Ding, Qiliang', 'Shum, Carole', ""D'Abate, Lia"", 'Bradley, Clarrisa A', 'Rutherford, Annabel', 'Aguda, Vernie', 'Apresto, Beverly', 'Chen, Nan', 'Desai, Sachin', 'Du, Xiaoyan', 'Fong, Matthew L Y', 'Pullenayegum, Sanjeev', 'Samler, Kozue', 'Wang, Ting', 'Ho, Karen', 'Paton, Tara', 'Pereira, Sergio L', 'Herbrick, Jo-Anne', 'Wintle, Richard F', 'Fuerth, Jonathan', 'Noppornpitak, Juti', 'Ward, Heather', 'Magee, Patrick', 'Al Baz, Ayman', 'Kajendirarajah, Usanthan', 'Kapadia, Sharvari', 'Vlasblom, Jim', 'Valluri, Monica', 'Green, Joseph', 'Seifer, Vicki', 'Quirbach, Morgan', 'Rennie, Olivia', 'Kelley, Elizabeth', 'Masjedi, Nina', 'Lord, Catherine', 'Szego, Michael J', ""Zawati, Ma'n H"", 'Lang, Michael', 'Strug, Lisa J', 'Marshall, Christian R', 'Costain, Gregory', 'Calli, Kristina', 'Iaboni, Alana', 'Yusuf, Afiqah', 'Ambrozewicz, Patricia', 'Gallagher, Louise', 'Amaral, David G', 'Brian, Jessica', 'Elsabbagh, Mayada', 'Georgiades, Stelios', 'Messinger, Daniel S', 'Ozonoff, Sally', 'Sebat, Jonathan', 'Sjaarda, Calvin', 'Smith, Isabel M', 'Szatmari, Peter', 'Zwaigenbaum, Lonnie', 'Kushki, Azadeh', 'Frazier, Thomas W', 'Vorstman, Jacob A S', 'Fakhro, Khalid A', 'Fernandez, Bridget A', 'Lewis, M E Suzanne', 'Weksberg, Rosanna', 'Fiume, Marc', 'Yuen, Ryan K C', 'Anagnostou, Evdokia', 'Sondheimer, Neal', 'Glazer, David', 'Hartley, Dean M', 'Scherer, Stephen W']","['humans', ' autism spectrum disorder genetics', ' autistic disorder', 'genetic predisposition to disease', 'dna copy number variations genetics', 'genomics', 'autism spectrum disorder', 'copy-number variation', 'neurodevelopmental disorders', 'phenotype measures', 'polygenic risk scores', 'rare variants', 'structural variation', 'whole-genome sequencing']",Genomic architecture of autism from comprehensive whole-genome sequence annotation.,"Fully understanding autism spectrum disorder (ASD) genetics requires whole-genome sequencing (WGS). We present the latest release of the Autism Speaks MSSNG resource, which includes WGS data from 5,100 individuals with ASD and 6,212 non-ASD parents and siblings (total n = 11,312). Examining a wide variety of genetic variants in MSSNG and the Simons Simplex Collection (SSC; n = 9,205), we identified ASD-associated rare variants in 718/5,100 individuals with ASD from MSSNG (14.1%) and 350/2,419 from SSC (14.5%). Considering genomic architecture, 52% were nuclear sequence-level variants, 46% were nuclear structural variants (including copy-number variants, inversions, large insertions, uniparental isodisomies, and tandem repeat expansions), and 2% were mitochondrial variants. Our study provides a guidebook for exploring genotype-phenotype correlations in families who carry ASD-associated rare variants and serves as an entry point to the expanded studies required to dissect the etiology in the ∼85% of the ASD population that remain idiopathic."
2021 Nov 14,Molecular autism,Mol Autism. 2021 Nov 14;12(1):72. doi: 10.1186/s13229-021-00477-z.,"['Nguyen, Jenny', 'Cardy, Robyn E', 'Anagnostou, Evdokia', 'Brian, Jessica', 'Kushki, Azadeh']","['anxiety diagnosis', ' autism spectrum disorder psychology', 'child', 'humans', 'pilot projects', 'technology', 'treatment outcome', ' wearable electronic devices', 'asd', 'anxiety', 'autism', 'intervention', 'wearables']","Examining the effect of a wearable, anxiety detection technology on improving the awareness of anxiety signs in autism spectrum disorder: a pilot randomized controlled trial.","BACKGROUND: Anxiety is prevalent in autism spectrum disorder (ASD) and can negatively impact physical and mental health. Self-awareness of anxiety signs is a key barrier to success of anxiety interventions for many children. METHODS: To address this, we conducted a randomized controlled trial to assess whether the Anxiety Meter, a wearable, real-time anxiety detection technology, can improve awareness of anxiety symptoms and the initiation of relaxation techniques in children with ASD. Twenty-eight children with ASD were trained on the use of the Anxiety Meter and taught a diaphragmatic breathing relaxation technique over three visits. On the fourth visit, participants were randomized to either receive feedback of their anxiety level or no feedback from the Anxiety Meter while completing a stress-eliciting task (public speaking) and asked to engage in deep breathing if anxious. RESULTS: Feedback from the Anxiety Meter was associated with increased likelihood of initiating deep breathing in response to anxiety. LIMITATIONS: Limitations include the small sample size, imbalanced group matching for IQ and sex, and the controlled-laboratory settings which limit the statistical power and generalizability of the results to real-world settings. CONCLUSIONS: Although these results are limited by the relatively small sample size, they support the feasibility of using a wearable device and real-time feedback to improve anxiety symptom awareness. Trial Registration ClinicalTrials.gov Identifier: NCT02160691, registration date: 06/05/2014."
2021,Frontiers in psychiatry,Front Psychiatry. 2021 Aug 18;12:702774. doi: 10.3389/fpsyt.2021.702774. ,"['Cardy, Robyn E', 'Dupuis, Annie', 'Anagnostou, Evdokia', 'Ziolkowski, Justine', 'Biddiss, Elaine A', 'Monga, Suneeta', 'Brian, Jessica', 'Penner, Melanie', 'Kushki, Azadeh']","['covid-19', 'autism spectrum disorder', 'children', 'pandemic', 'screen time']",Characterizing Changes in Screen Time During the COVID-19 Pandemic School Closures in Canada and Its Perceived Impact on Children With Autism Spectrum Disorder.,"The COVID-19 pandemic has led to an increase in screen time for children and families. Traditionally, screen time has been associated with negative physical and mental health outcomes, and children with autism spectrum disorder (ASD) are at increased risk of these outcomes. The primary objectives of this study were to (1) characterize the change in screen time during COVID-19 school closures for children with ASD, and (2) examine the parent perceived impact of screen time on mental health and quality of life of children and their families. Canadian parents and caregivers of children 19 years of age and younger were eligible to participate in an anonymous, online survey study. This survey was available in English, consisted of 28 questions, took ~10-min to complete, and was available for 6 weeks (May 22 through July 6, 2020). The total sample consisted of 414 responses (ASD: n = 127, mean age = 11.7 ± 4.06 years; community sample: n = 287, mean age = 9.4 ± 4.26 years). Seventy-one respondents were missing responses to our primary question and removed from the analyses (final sample n = 344). Compared to the community sample, the ASD group had a significantly higher screen time use before and during the COVID-19 pandemic school closures [weekdays: difference = 1.14 (SE = 0.18), t = 6.56, p < 0.0001; weekends: difference = 1.41 (SE = 0.20), t = 6.93, p < 0.0001]. Mean total screen time during the pandemic was 6.9 h (95%"
2021 Oct 1,"Cerebral cortex (New York, N.Y. : 1991)",Cereb Cortex. 2021 Oct 1;31(11):5067-5076. doi: 10.1093/cercor/bhab142.,"['Kushki, Azadeh', 'Cardy, Robyn E', 'Panahandeh, Sina', 'Malihi, Mahan', 'Hammill, Christopher', 'Brian, Jessica', 'Iaboni, Alana', 'Taylor, Margot J', 'Schachar, Russell', 'Crosbie, Jennifer', 'Arnold, Paul', 'Kelley, Elizabeth', 'Ayub, Muhammad', 'Nicolson, Robert', 'Georgiades, Stelios', 'Lerch, Jason P', 'Anagnostou, Evdokia']","[' attention deficit disorder with hyperactivity complications', ' autism spectrum disorder complications', ' autistic disorder complications', 'child', 'female', 'humans', 'language', 'male', ' obsessive-compulsive disorder diagnostic imaging', 'attention-deficit hyperactivity disorder', 'autism spectrum disorder', 'obsessive–compulsive disorder']",Cross-Diagnosis Structural Correlates of Autistic-Like Social Communication Differences.,"Social communication differences are seen in autism spectrum disorder (ASD), attention-deficit/hyperactivity disorder (ADHD), and obsessive-compulsive disorder (OCD), but the brain mechanisms contributing to these differences remain largely unknown. To address this gap, we used a data-driven and diagnosis-agnostic approach to discover brain correlates of social communication differences in ASD, ADHD, and OCD, and subgroups of individuals who share similar patterns of brain-behavior associations. A machine learning pipeline (regression clustering) was used to discover the pattern of association between structural brain measures (volume, surface area, and cortical thickness) and social communication abilities. Participants (n = 416) included children with a diagnosis of ASD (n = 192, age = 12.0[5.6], 19% female), ADHD (n = 109, age = 11.1[4.1], 18% female), or OCD (n = 50, age = 12.3[4.2], 42% female), and typically developing controls (n = 65, age = 11.6[7.1], 48% female). The analyses revealed (1) associations with social communication abilities in distributed cortical and subcortical networks implicated in social behaviors, language, attention, memory, and executive functions, and (2) three data-driven, diagnosis-agnostic subgroups based on the patterns of association in the above networks. Our results suggest that different brain networks may contribute to social communication differences in subgroups that are not diagnosis-specific."
2021 Feb,Brain and behavior,Brain Behav. 2021 Feb;11(2):e01989. doi: 10.1002/brb3.1989. Epub 2020 Dec 17.,"['Sacrey, Lori-Ann R', 'Raza, Sarah', 'Armstrong, Vickie', 'Brian, Jessica A', 'Kushki, Azadeh', 'Smith, Isabel M', 'Zwaigenbaum, Lonnie']","['child', 'child, preschool', ' emotional regulation', 'emotions', 'heart rate', 'humans', 'infant', ' respiratory sinus arrhythmia', 'social skills', 'rsa', 'behavioral regulation', 'early development', 'emotion', 'emotion regulation', 'heart rate', 'meta-analysis', 'meta-regression', 'physiology']",Physiological measurement of emotion from infancy to preschool: A systematic review and meta-analysis.,"INTRODUCTION: Emotion regulation, the ability to regulate emotional responses to environmental stimuli, develops in the first years of life and plays an important role in the development of personality, social competence, and behavior. Substantial literature suggests a relationship between emotion regulation and cardiac physiology; specifically, heart rate changes in response to positive or negative emotion-eliciting stimuli. METHOD: This systematic review and meta-analysis provide an in-depth examination of research that has measured physiological responding during emotional-evoking tasks in children from birth to 4 years of age. RESULTS: The review had three main findings. First, meta-regressions resulted in an age-related decrease in baseline and task-related heart rate (HR) and increases in baseline and task-related respiratory sinus arrhythmia (RSA). Second, meta-analyses suggest task-related increases in HR and decreases in RSA and heart rate variability (HRV), regardless of emotional valence of the task. Third, associations between physiological responding and observed behavioral regulation are not consistently present in children aged 4 and younger. The review also provides a summary of the various methodology used to measure physiological reactions to emotional-evoking tasks, including number of sensors used and placement, various baseline and emotional-evoking tasks used, methods for extracting RSA, as well as percentage of loss and reasons for loss for each study. CONCLUSION: Characterizing the physiological reactivity of typically developing children is important to understanding the role emotional regulation plays in typical and atypical development."
