time,journal,doi_info,authors,key words,title,abstract
2024 Jun 14,International journal of molecular sciences,Int J Mol Sci. 2024 Jun 14;25(12):6549. doi: 10.3390/ijms25126549.,"['Islam, Rehnuma', 'Noman, Humna', 'Azimi, Ashkan', 'Siu, Ricky', 'Chinchalongporn, Vorapin', 'Schuurmans, Carol', 'Morshead, Cindi M']","['humans', ' neural stem cells metabolism cytology drug effects', ' organoids metabolism cytology drug effects', 'animals', 'mice', 'cell differentiation', 'metformin pharmacology', 'cells, cultured', 'brain metabolism cytology', 'caspase inhibitor', 'cerebral organoids', 'human neural stem cells', 'metformin', 'neurospheres']",Primitive and Definitive Neural Precursor Cells Are Present in Human Cerebral Organoids.,"Activation of neural stem cells (NSCs) correlates with improved functional outcomes in mouse models of injury. In the murine brain, NSCs have been extensively characterized and comprise (1) primitive NSCs (pNSCs) and (2) definitive NSCs (dNSCs). pNSCs are the earliest cells in the NSC lineage giving rise to dNSCs in the embryonic and adult mouse brain. pNSCs are quiescent under baseline conditions and can be activated upon injury. Herein, we asked whether human pNSCs and dNSCs can be isolated during the maturation of human cerebral organoids (COs) and activated by drugs known to regulate mouse NSC behavior. We demonstrate that self-renewing, multipotent pNSC and dNSC populations are present in human COs and express genes previously characterized in mouse NSCs. The drug NWL283, an inhibitor of apoptosis, reduced cell death in COs but did not improve NSC survival. Metformin, a drug used to treat type II diabetes that is known to promote NSC activation in mice, was found to expand human NSC pools. Together, these findings are the first to identify and characterize human pNSCs, advancing our understanding of the human NSC lineage and highlighting drugs that enhance their activity."
2024 Mar 15,Biomedicines,Biomedicines. 2024 Mar 15;12(3):663. doi: 10.3390/biomedicines12030663.,"['Livingston, Jessica M', 'Lee, Tina T', 'Enbar, Tom', 'Daniele, Emerson', 'Phillips, Clara M', 'Krassikova, Alexandra', 'Bang, K W Annie', 'Kortebi, Ines', 'Donville, Brennan W', 'Ibragimov, Omadyor S', 'Sachewsky, Nadia', 'Lozano Casasbuenas, Daniela', 'Olfat, Arman', 'Morshead, Cindi M']","['neurod1', 'adeno-associated virus', 'astrocyte-to-neuron conversion', 'brain repair', 'direct lineage conversion', 'ectopic transcription factor expression', 'functional recovery', 'gait analysis', 'neuroregeneration', 'stroke']",Ectopic Expression of Neurod1 Is Sufficient for Functional Recovery following a Sensory-Motor Cortical Stroke.,"Stroke is the leading cause of adult disability worldwide. The majority of stroke survivors are left with devastating functional impairments for which few treatment options exist. Recently, a number of studies have used ectopic expression of transcription factors that direct neuronal cell fate with the intention of converting astrocytes to neurons in various models of brain injury and disease. While there have been reports that question whether astrocyte-to-neuron conversion occurs in vivo, here, we have asked if ectopic expression of the transcription factor Neurod1 is sufficient to promote improved functional outcomes when delivered in the subacute phase following endothelin-1-induced sensory-motor cortex stroke. We used an adeno-associated virus to deliver Neurod1 from the short GFAP promoter and demonstrated improved functional outcomes as early as 28 days post-stroke and persisting to at least 63 days post-stroke. Using Cre-based cell fate tracking, we showed that functional recovery correlated with the expression of neuronal markers in transduced cells by 28 days post-stroke. By 63 days post-stroke, the reporter-expressing cells comprised ~20% of all the neurons in the perilesional cortex and expressed markers of cortical neuron subtypes. Overall, our findings indicate that ectopic expression of Neurod1 in the stroke-injured brain is sufficient to enhance neural repair."
2024 Feb 1,International journal of molecular sciences,Int J Mol Sci. 2024 Feb 1;25(3):1786. doi: 10.3390/ijms25031786.,"['Islam, Rehnuma', 'Ahlfors, Jan-Eric', 'Siu, Ricky', 'Noman, Humna', 'Akbary, Roya', 'Morshead, Cindi M']","['animals', 'mice', ' neural stem cells', ' ischemic stroke', 'cell survival', 'caspase 3', ' stroke drug therapy', 'apoptosis', 'neurogenesis physiology', 'mice, inbred c57bl', ' brain ischemia drug therapy', 'neural precursor cells', 'neural stem cells', 'neurogenesis', 'neuronal survival', 'stroke']","Inhibition of Apoptosis in a Model of Ischemic Stroke Leads to Enhanced Cell Survival, Endogenous Neural Precursor Cell Activation and Improved Functional Outcomes.","Stroke results in neuronal cell death, which causes long-term disabilities in adults. Treatment options are limited and rely on a narrow window of opportunity. Apoptosis inhibitors demonstrate efficacy in improving neuronal cell survival in animal models of stroke. However, many inhibitors non-specifically target apoptosis pathways and high doses are needed for treatment. We explored the use of a novel caspase-3/7 inhibitor, New World Laboratories (NWL) 283, with a lower IC50 than current caspase-3/7 inhibitors. We performed in vitro and in vivo assays to determine the efficacy of NWL283 in modulating cell death in a preclinical model of stroke. In vitro and in vivo assays show that NWL283 enhances cell survival of neural precursor cells. Delivery of NWL283 following stroke enhances endogenous NPC migration and leads to increased neurogenesis in the stroke-injured cortex. Furthermore, acute NWL283 administration is neuroprotective at the stroke injury site, decreasing neuronal cell death and reducing microglia activation. Coincident with NWL283 delivery for 8 days, stroke-injured mice exhibited improved functional outcomes that persisted following cessation of the drug. Therefore, we propose that NWL283 is a promising therapeutic warranting further investigation to enhance stroke recovery."
2024 Jan 1,Brain research,Brain Res. 2024 Jan 1;1822:148648. doi: 10.1016/j.brainres.2023.148648. Epub 2023 ,"['Gilbert, Emily A B', 'Livingston, Jessica', 'Flores, Emilio Garcia', 'Khan, Monoleena', 'Kandavel, Harini', 'Morshead, Cindi M']","['humans', 'mice', 'female', 'male', 'animals', ' encephalomyelitis, autoimmune, experimental drug therapy', ' multiple sclerosis', ' metformin pharmacology', ' diabetes mellitus, type 2', 'inflammation drug therapy', 'patient acuity', 'mice, inbred c57bl', 'dysmyelination', 'eae', 'metformin', 'microglia', 'motor behaviour', 'oligodendrocyte precursor cells']","Metformin treatment reduces inflammation, dysmyelination and disease severity in a mouse model of multiple sclerosis, experimental autoimmune encephalomyelitis.","Multiple sclerosis (MS) is an autoimmune disease characterized by inflammation, death or damage of oligodendrocytes, and axonal degeneration. Current MS treatments are non-curative, associated with undesired side-effects, and expensive, highlighting the need for expanded therapeutic options for patients. There is great interest in developing interventions using drugs or therapeutics to reduce symptom onset and protect pre-existing myelin. Metformin is a well-tolerated drug used to treat Type 2 diabetes that has pleiotropic effects in the central nervous system (CNS), including reducing inflammation, enhancing oligodendrogenesis, increasing the survival/proliferation of neural stem cells (NSCs), and increasing myelination. Here, we investigated whether metformin administration could improve functional outcomes, modulate oligodendrocyte precursor cells (OPCs), and reduce inflammation in a well-established mouse model of MS- experimental autoimmune encephalomyelitis (EAE). Male and female mice received metformin treatment at the time of EAE induction (""acute"") or upon presentation of disease symptoms (""delayed""). We found that acute metformin treatment improved functional outcomes, concomitant with reduced microglia numbers and decreased dysmyelination. Conversely, delayed metformin treatment did not improve functional outcomes. Our findings reveal that metformin administration can improve EAE outcomes when administered before symptom onset in both sexes."
2023 Nov,Acta biomaterialia,Acta Biomater. 2023 Nov;171:392-405. doi: 10.1016/j.actbio.2023.08.056. Epub 2023 ,"['Chen, Tianhao', 'Lau, Kylie Sin Ki', 'Hong, Sung Hwa', 'Shi, Hao Tian Harvey', 'Iwasa, Stephanie N', 'Chen, Jia Xi Mary', 'Li, Terek', 'Morrison, Taylor', 'Kalia, Suneil K', 'Popovic, Milos R', 'Morshead, Cindi M', 'Naguib, Hani E']","[' cryogels', ' neural stem cells', 'electrodes', 'neurons physiology', 'electric conductivity', 'electric stimulation', 'electrodes, implanted', 'brain stimulation', 'conductive polymers', 'cryogel', 'neural precursor cells', 'neuromodulation']",Cryogel-based neurostimulation electrodes to activate endogenous neural precursor cells.,"The delivery of electrical pulses to the brain via penetrating electrodes, known as brain stimulation, has been recognized as an effective clinical approach for treating neurological disorders. Resident brain neural precursor cells (NPCs) are electrosensitive cells that respond to electrical stimulation by expanding in number, migrating and differentiating which are important characteristics that support neural repair. Here, we report the design of a conductive cryogel brain stimulation electrode specifically developed for NPC activation. The cryogel electrode has a modulus switching mechanism permitting facile penetration and reducing the mechanical mismatch between brain tissue and the penetrating electrode. The cryogel demonstrated good in vivo biocompatibility and reduced the interfacial impedance to deliver the stimulating electric field with lower voltage under charge-balanced current controlled stimulation. An ex vivo assay reveals that electrical stimulation using the cryogel electrodes results in significant expansion in the size of NPC pool. Hence, the cryogel electrodes have the potential to be used for NPC activation to support endogenous neural repair. STATEMENT OF SIGNIFICANCE: The objective of this study is to develop a cryogel-based stimulation electrode as an alternative to traditional electrode materials to be used in regenerative medicine applications for enhancing neural regeneration in brain. The electrode offers benefits such as adaptive modulus for implantation, high charge storage and injection capacities, and modulus matching with brain tissue, allowing for stable delivery of electric field for long-term neuromodulation. The electrochemical properties of cryogel electrodes were characterized in living tissue with an ex vivo set-up, providing a deeper understanding of stimulation capacity in brain environments. The cryogel electrode is biocompatible and enables low voltage, current-controlled stimulation for effective activation of endogenous neural precursor cells, revealing their potential utility in neural stem cell-mediated brain repair."
2023 Oct,Stem cells and development,Stem Cells Dev. 2023 Oct;32(19-20):606-621. doi: 10.1089/scd.2023.0038. Epub 2023 ,"['Yammine, Samantha Z', 'Burns, Ian', 'Gosio, Jessica', 'Peluso, Andrew', 'Merritt, Daniel M', 'Innes, Brendan', 'Coles, Brenda L K', 'Yan, Wen Rui', 'Bader, Gary D', 'Morshead, Cindi M', 'van der Kooy, Derek']","['mice', 'animals', 'glial fibrillary acidic protein genetics metabolism', ' neural stem cells metabolism', 'neurons metabolism', 'brain metabolism', 'astrocytes metabolism', 'cell differentiation genetics', 'lineage analyses', 'neural progenitors', 'primitive and definitive neural stem cells']",Fate Specification of GFAP-Negative Primitive Neural Stem Cells and Their Progeny at Clonal Resolution.,"The mature brain contains an incredible number and diversity of cells that are produced and maintained by heterogeneous pools of neural stem cells (NSCs). Two distinct types of NSCs exist in the developing and adult mouse brain: Glial Fibrillary Acidic Protein (GFAP)-negative primitive (p)NSCs and downstream GFAP-positive definitive (d)NSCs. To better understand the embryonic functions of NSCs, we performed clonal lineage tracing within neurospheres grown from either pNSCs or dNSCs to enrich for their most immediate downstream neural progenitor cells (NPCs). These clonal progenitor lineage tracing data allowed us to construct a hierarchy of progenitor subtypes downstream of pNSCs and dNSCs that were then validated using single-cell transcriptomics. Further, we identify Nexn as required for neuronal specification from neuron/astrocyte progenitor cells downstream of rare pNSCs. Combined, these data provide single-cell resolution of NPC lineages downstream of rare pNSCs that likely would be missed from population-level analyses in vivo."
2023 Jun 15,Stem cells translational medicine,Stem Cells Transl Med. 2023 Jun 15;12(6):415-428. doi: 10.1093/stcltm/szad030.,"['Gilbert, Emily A B', 'Livingston, Jessica', 'Garcia-Flores, Emilio', 'Kehtari, Tarlan', 'Morshead, Cindi M']","['male', 'female', 'humans', ' neural stem cells', 'microglia', ' spinal cord injuries drug therapy', 'neurons', 'spinal cord', 'metformin', 'microglia', 'neural stem cells', 'oligodendrocyte precursor cells', 'sex characteristics', 'spinal cord injury']","Metformin Improves Functional Outcomes, Activates Neural Precursor Cells, and Modulates Microglia in a Sex-Dependent Manner After Spinal Cord Injury.",Spinal cord injury (S
2023 Apr 1,Brain research,Brain Res. 2023 Apr 1;1804:148263. doi: 10.1016/j.brainres.2023.148263. Epub 2023 ,"['Lau, Kylie S K', 'Chen, Tianhao', 'Iwasa, Stephanie N', 'Volpatti, Matthew', 'Popovic, Milos R', 'Morshead, Cindi M']","['mice', 'animals', ' neural stem cells physiology', 'neurons', 'electric stimulation methods', 'biphasic stimulation', 'electric field', 'ex vivo stimulation chamber', 'neural precursor cell activation', 'stimulation parameter']",A novel ex vivo assay to define charge-balanced electrical stimulation parameters for neural precursor cell activation in vivo.,"Endogenous neural stem cells and their progeny (together termed neural precursor cells (NPCs)) are promising candidates to facilitate neuroregeneration. Charge-balanced biphasic monopolar stimulation (BPMP) is a clinically relevant approach that can activate NPCs both in vitro and in vivo. Herein, we established a novel ex vivo stimulation system to optimize the efficacy of BPMP electric field (EF) application in activating endogenous NPCs. Using the ex vivo system, we discerned that cathodal amplitude of 200 μA resulted in the greatest NPC pool expansion and enhanced cathodal migration. Application of the same stimulation parameters in vivo resulted in the same NPC activation in the mouse brain. The design and implementation of the novel ex vivo model bridges the gap between in vitro and in vivo systems, enabling a moderate throughput stimulation system to explore and optimize EF parameters that can be applied to clinically relevant brain injury/disease models."
2022 Dec 15,"Biomedical materials (Bristol, England)",Biomed Mater. 2022 Dec 15;18(1). doi: 10.1088/1748-605X/aca578.,"['Perkucin, Ivana', 'Lau, Kylie S K', 'Morshead, Cindi M', 'Naguib, Hani E']","['animals', 'hydrogels chemistry', 'adhesives chemistry', ' neural stem cells', 'proteins chemistry', 'polymers chemistry', ' bivalvia', 'dihydroxyphenylalanine chemistry', 'dopa', 'adhesive', 'alginate', 'biomaterial']",Bio-inspired conductive adhesive based on calcium-free alginate hydrogels for bioelectronic interfaces.,"Electrode impedance is one of the greatest challenges facing neural interfacing medical devices and the use of electrical stimulation-based therapies in the fields of neurology and regenerative medicine. Maximizing contact between electronics and tissue would allow for more accurate recordings of neural activity and to stimulate with less power in implantable devices as electric signals could be more precisely transferred by a stable interfacial area. Neural environments, inherently wet and ion-rich, present a unique challenge for traditional conductive adhesives. As such, we look to marine mussels that use a 3,4-dihydroxyphenyl-L-analine (DOPA)-containing proteinaceous excretion to adhere to a variety of substrates for inspiration. By functionalizing alginate, which is an abundantly available natural polymer, with the catechol residues DOPA contains, we developed a hydrogel-based matrix to which carbon-based nanofiller was added to render it conductive. The synthesized product had adhesive energy within the range of previously reported mussel-based polymers, good electrical properties and was not cytotoxic to brain derived neural precursor cells."
2023 Jan 11,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2023 Jan 11;15(1):91-105. doi: 10.1021/acsami.2c17631. ,"['Ho, Eric', 'Deng, Yaoqi', 'Akbar, Dania', 'Da, Kevin', 'Létourneau, Myriam', 'Morshead, Cindi M', 'Chatenet, David', 'Shoichet, Molly S']","['mice', 'animals', ' pituitary adenylate cyclase-activating polypeptide', ' hydrogels', 'nanoparticle drug delivery system', 'delayed-action preparations', 'adsorption', 'static electricity', 'plga', 'affinity controlled release', 'central nervous system', 'electrostatic', 'hydrogel', 'nanoparticle', 'peptide']",Tunable Surface Charge Enables the Electrostatic Adsorption-Controlled Release of Neuroprotective Peptides from a Hydrogel-Nanoparticle Drug Delivery System.,"We exploit the electrostatic interactions between the positively charged neuroprotective peptide, pituitary adenylate cyclase-activating polypeptide (PACAP), and negatively charged poly(lactic-co-glycolic acid) (PLGA) nanoparticles to control PACAP release from the surface of nanoparticles dispersed in a hyaluronan-methylcellulose (HAMC) hydrogel composite. PACAP is a promising therapeutic for the treatment of neurological disorders, yet it has been difficult to deliver in vivo. Herein, the PACAP release rate was tuned by manipulating peptide adsorption onto the surface of blank nanoparticles by modifying either nanoparticle loading in the hydrogel or nanoparticle surface charge. This peptide-nanoparticle interaction was controlled by the pH-responsive carboxylic acid end terminal groups of PLGA. We further validated this system with the controlled release of a novel stabilized PACAP analog: Ac-[Ala(15), Ala(20)]PACAP-propylamide, which masks its recognition to peptidases in circulation. Both wild-type and stabilized PACAP released from the vehicle increased the production of neuroprotective Interleukin-6 from cultured primary astrocytes. Using computational fluid dynamics methods, PACAP release from the composite was predicted based on experimentally derived adsorption isotherms, which exhibited similar release profiles to experimental data. This versatile adsorption-based system was used to deliver PACAP locally to the brains of stroke-injured mice over a 10 day period in vivo, highlighting its effectiveness for the controlled release of PACAP to the central nervous system."
