time,journal,doi_info,authors,key words,title,abstract
2024,PloS one,PLoS One. 2024 May 22;19(5):e0303448. doi: 10.1371/journal.pone.0303448. ,"['Rebalka, Irena A', 'Noguchi, Kenneth S', 'Bulyovsky, Kayla R', 'Badour, Matthew I', 'Juracic, Emma S', 'Barrett, Khandra', 'Brahmbhatt, Aditya', 'Al-Khazraji, Baraa', 'Punthakee, Zubin', 'Perry, Christopher G R', 'Kumbhare, Dinesh A', 'MacDonald, Maureen J', 'Hawke, Thomas J']","['humans', ' diabetes mellitus, type 1 therapy physiopathology', 'male', 'female', ' muscle, skeletal physiopathology', 'adult', 'middle aged', 'prospective studies', 'adolescent', 'aged', ' exercise physiology', 'young adult', 'exercise therapy methods']","Targeting skeletal muscle health with exercise in people with type 1 diabetes: A protocol for HOMET1D, a prospective observational trial with matched controls.","INTRODUCTION: Individuals with type 1 diabetes (T1D) experience a complex set of alterations to skeletal muscle metabolic, neuromuscular, and vascular health; collectively referred to as diabetic myopathy. While the full scope of diabetic myopathy is still being elucidated, evidence suggests that even when individuals with T1D are physically active, indices of myopathy still exist. As such, there is a question if adherence to current physical activity guidelines elicits improvements in skeletal muscle health indices similarly between individuals with and without T1D. The objectives of this trial are to: 1) compare baseline differences in skeletal muscle health between adults with and without T1D, 2) examine the association between participation in a home-based exercise program, detraining, and retraining, with changes in skeletal muscle health, and 3) examine the roles of age and sex on these associations. METHODS AND ANALYSIS: This will be a prospective interventional trial. Younger (18-30 years) and older (45-65 years) males and females with T1D and matched individuals without T1D will engage in a four-phase, 18-week study sequentially consisting of a one-week lead-in period, 12-week exercise training program, one-week detraining period, and four-week retraining period. The exercise program will consist of aerobic and resistance exercise based on current guidelines set by Diabetes Canada. Metabolic, neuromuscular, and vascular outcome measures will be assessed four times: at baseline, post-exercise program, post-detraining, and post-retraining. Differences in baseline metrics between those with and without T1D will be examined with independent sample t-tests, and with two-way analyses of variance for age- and sex-stratified analyses. Changes across the duration of the study will be examined using mixed-model analyses. DISSEMINATION: Findings from this research will be shared locally and internationally with research participants, clinicians, diabetes educators, and patient advocacy organizations via in-person presentations, social media, and scientific fora. TRIAL REGISTRATION NUMBER: NCT05740514."
2024 Sep,Magnetic resonance imaging,Magn Reson Imaging. 2024 Sep;111:179-185. doi: 10.1016/j.mri.2024.05.004. Epub ,"['Amador-Tejada, Alejandro', 'McGillivray, Joshua E', 'Kumbhare, Dinesh A', 'Noseworthy, Michael D']","['humans', ' electromyography methods', ' artifacts', 'male', 'adult', 'female', ' magnetic resonance imaging methods', ' muscle, skeletal diagnostic imaging physiology', 'oxygen blood', 'signal-to-noise ratio', 'algorithms', 'image processing, computer-assisted methods', 'signal processing, computer-assisted', 'average artifact subtraction', 'bold', 'denoising methods', 'emg', 'gradient artifact', 'simultaneous bold emg']",Denoising of the gradient artifact present in simultaneous studies of muscle blood oxygen level dependent (BOLD) signal and electromyography (EMG).,"The MR-induced gradient artifact affects EMG recordings during simultaneous muscle BOLD/EMG acquisitions. However, no dedicated hardware can remove the gradient artifact easily, and alternative methods are expensive and time-consuming. This study aimed to develop three denoising methods requiring different processing levels and MR-compatible hardware. At two time points, surface EMG was recorded from the lower leg of 6 participants (50:50 sex ratio, age = 26.24.6 yrs., height = 173.59.2 cm, weight = 71.511.4 kg) using a plantar flexion-based block design consisting of 30s of rest followed by 30s of flexion for 5 min, under three conditions: inside the MRI bore, with and without a BOLD sequence (3 T, BOLD sequence, GRE EPI, 10 slices, 64×64 matrix, 2 mm thickness, and TE/TR/flip = 35/3000 ms/70), and outside the MRI environment. Simultaneous BOLD/EMG recordings were denoised using average artifact subtraction with three methods of artifact template creation, each having varying timing and hardware requirements. Method M1 builds the artifact template by recording the scanner triggers coming from the MRI; M2 creates the artifact template with a constant artifact period computed as TR/[number of slices]; M3 estimates the artifact template by looking at the periodicity of the gradient artifact located in the EMG recordings. Following postprocessing, SNR analysis was performed, comparing rest-to-flexion periods, to assess the efficacy of denoising methods and to compare differences between conditions. Linear mixed-effects models showed no significant differences in the mean SNR between denoising methods (p = 0.656). Furthermore, EMG SNR measurements were significantly affected by the magnetic environment (p < 0.05) but not by muscle fatigue over time (p = 0.975). EMG recordings contaminated with gradient artifacts during simultaneous BOLD/EMG can be efficiently denoised using all proposed methods, with two methods requiring no extra hardware. With minimal post-processing, EMG can easily be performed during muscle BOLD MRI studies."
2024 May,Artificial intelligence in medicine,Artif Intell Med. 2024 May;151:102849. doi: 10.1016/j.artmed.2024.102849. Epub ,"['Khan, Md Asif', 'Koh, Ryan G L', 'Rashidiani, Sajjad', 'Liu, Theodore', 'Tucci, Victoria', 'Kumbhare, Dinesh', 'Doyle, Thomas E']","['humans', ' artificial intelligence', ' chronic pain diagnosis', 'algorithms', 'support vector machine', 'pain management methods', 'ai in chronic pain', 'chronic pain', 'chronic pain review', 'machine learning', 'machine learning in chronic pain']",Cracking the Chronic Pain code: A scoping review of Artificial Intelligence in Chronic Pain research.,"OBJECTIVE: The aim of this review is to identify gaps and provide a direction for future research in the utilization of Artificial Intelligence (AI) in chronic pain (CP) management. METHODS: A comprehensive literature search was conducted using various databases, including Ovid MEDLINE, Web of Science Core Collection, IEEE Xplore, and ACM Digital Library. The search was limited to studies on AI in CP research, focusing on diagnosis, prognosis, clinical decision support, self-management, and rehabilitation. The studies were evaluated based on predefined inclusion criteria, including the reporting quality of AI algorithms used. RESULTS: After the screening process, 60 studies were reviewed, highlighting AI's effectiveness in diagnosing and classifying CP while revealing gaps in the attention given to treatment and rehabilitation. It was found that the most commonly used algorithms in CP research were support vector machines, logistic regression and random forest classifiers. The review also pointed out that attention to CP mechanisms is negligible despite being the most effective way to treat CP. CONCLUSION: The review concludes that to achieve more effective outcomes in CP management, future research should prioritize identifying CP mechanisms, CP management, and rehabilitation while leveraging a wider range of algorithms and architectures. SIGNIFICANCE: This review highlights the potential of AI in improving the management of CP, which is a significant personal and economic burden affecting more than 30% of the world's population. The identified gaps and future research directions provide valuable insights to researchers and practitioners in the field, with the potential to improve healthcare utilization."
2024,Canadian journal of pain = Revue canadienne de la douleur,Can J Pain. 2024 Jan 12;8(1):2297561. doi: 10.1080/24740527.2023.2297561. ,"['Di Renna, Tania', 'Burke, Emeralda', 'Bhatia, Anuj', 'Clarke, Hance', 'Flamer, David', 'Flannery, John', 'Furlan, Andrea', 'Kumbhare, Dinesh', 'Khan, James', 'Ladha, Karim', 'Meng, Howard', 'Smith, Andrew', 'Sussman, David', 'Bosma, Rachael']","['single-site entry', 'chronic pain', 'intake', 'triage']",Improving access to chronic pain care with central referral and triage: The 6-year findings from a single-entry model.,"BACKGROUND: Despite the established efficacy of multidisciplinary chronic pain care, barriers such as inflated referral wait times and uncoordinated care further hinder patient health care access. AIMS: Here we describe the evolution of a single-entry model (SEM) for coordinating access to chronic pain care across seven hospitals in Toronto and explore the impact on patient care 6 years after implementation. METHODS: In 2017, an innovative SEM was implemented for chronic pain referrals in Toronto and surrounding areas. Referrals are received centrally, triaged by a clinical team, and assigned an appointment according to the level of urgency and the most appropriate care setting/provider. To evaluate the impact of the SEM, a retrospective analysis was undertaken to determine referral patterns, patient characteristics, and referral wait times over the past 6 years. RESULTS: Implementation of an SEM streamlined the number of steps in the referral process and led to a standardized referral form with common inclusion and exclusion criteria across sites. Over the 6-year period, referrals increased by 93% and the number of unique providers increased by 91%. Chronic pain service wait times were reduced from 299 (±158) days to 176 (±103) days. However, certain pain diagnoses such as chronic pelvic pain and fibromyalgia far exceed the average. CONCLUSIONS: The results indicate that the SEM helped reduce wait times for pain conditions and standardized the referral pathway. Continued data capture efforts can help identify gaps in care to enable further health care refinement and improvement."
2024 Feb 6,American journal of physical medicine & rehabilitation,Am J Phys Med Rehabil. 2024 Feb 6. doi: 10.1097/PHM.0000000000002444.,"['Armijo-Olivo, Susan', 'Barbosa-Silva, Jordana', 'de Castro-Carletti, Ester Moreira', 'de Oliveira-Souza, Ana Izabela Sobral', 'Pelai, Elisa Bizetti', 'Mohamad, Norazlin', 'Baghbaninaghadehi, Fatemeh', 'Dennett, Liz', 'Steen, Jeremy P', 'Kumbhare, Dinesh', 'Ballenberger, Nikolaus']",[],INTENTION TO TREAT ANALYSIS IN CLINICAL RESEARCH: BASIC CONCEPTS FOR CLINICIANS.,
2024 Apr,Journal of cellular physiology,J Cell Physiol. 2024 Apr;239(4):e31182. doi: 10.1002/jcp.31182. Epub 2024 Jan 12.,"['Brown, Alex', 'Parise, Gianni', 'Thomas, Aaron C Q', 'Ng, Sean Y', 'McGlory, Chris', 'Phillips, Stuart M', 'Kumbhare, Dinesh', 'Joanisse, Sophie']","['female', 'humans', 'male', 'gene expression regulation', 'hypertrophy genetics metabolism', ' muscle, skeletal metabolism', 'protein biosynthesis genetics', ' resistance training', ' ribosomes genetics', 'young adult', 'aerobic conditioning', 'resistance training', 'ribosome', 'skeletal muscle']",Low baseline ribosome-related gene expression and resistance training-induced declines in ribosome-related gene expression are associated with skeletal muscle hypertrophy in young men and women.,"Ribosomes are essential cellular machinery for protein synthesis. It is hypothesised that ribosome content supports muscle growth and that individuals with more ribosomes have greater increases in muscle size following resistance training (RT). Aerobic conditioning (AC) also elicits distinct physiological adaptations; however, no measures of ribosome content following AC have been conducted. We used ribosome-related gene expression as a proxy measure for ribosome content and hypothesised that AC and RT would increase ribosome-related gene expression. Fourteen young men and women performed 6 weeks of single-legged AC followed by 10 weeks of double-legged RT. Muscle biopsies were taken following AC and following RT in the aerobically conditioned (AC+RT) and unconditioned (RT) legs. No differences in regulatory genes (Ubf, Cyclin D1, Tif-1a and Polr-1b) involved in ribosomal biogenesis or ribosomal RNA (45S, 5.8S, 18S and 28S rRNAs) expression were observed following AC and RT, except for c-Myc (RT > AC+RT) and 5S rRNA (RT < AC+RT at pre-RT) with 18S external transcribed spacer and 5.8S internal transcribed spacer expression decreasing from pre-RT to post-RT in the RT leg only. When divided for change in leg-lean soft tissue mass (ΔLLSTM) following RT, legs with the greatest ΔLLSTM had lower expression in 11/13 measured ribosome-related genes before RT and decreased expression in 9/13 genes following RT. These results indicate that AC and RT did not increase ribosome-related gene expression. Contrary to previous research, the greatest increase in muscle mass was associated with lower changes in ribosome-related gene expression over the course of the 10-week training programme. This may point to the importance of translational efficiency rather than translational capacity (i.e. ribosome content) in mediating long-term exercise-induced adaptations in skeletal muscle."
2024 Jan 31,FASEB journal : official publication of the Federation of American Societies for ,FASEB J. 2024 Jan 31;38(2):e23403. doi: 10.1096/fj.202301291RR.,"['Hatt, Aidan A', 'Kamal, Michael', 'Mikhail, Andrew I', 'Fortino, Stephen A', 'Wageh, Mai', 'Kumbhare, Dinesh', 'Parise, Gianni']","['female', 'humans', 'male', ' receptors, androgen genetics', 'androgens', ' resistance training', 'hypertrophy', 'rna, messenger genetics', 'androgen receptor', 'eccentric damage', 'resistance exercise training', 'responder', 'satellite cell', 'sex-based differences', 'skeletal muscle hypertrophy']",Nuclear-localized androgen receptor content following resistance exercise training is associated with hypertrophy in males but not females.,"Androgen receptor (AR) content has been implicated in the differential response between high and low responders following resistance exercise training (RET). However, the influence of AR expression on acute skeletal muscle damage and whether it may influence the adaptive response to RET in females is poorly understood. Thus, the purpose of this exploratory examination was to 1) investigate changes in AR content during skeletal muscle repair and 2) characterize AR-mediated sex-based differences following RET. A skeletal muscle biopsy from the vastus lateralis was obtained from 26 healthy young men (n = 13) and women (n = 13) at baseline and following 300 eccentric kicks. Subsequently, participants performed 10 weeks of full-body RET and a final muscle biopsy was collected. In the untrained state, AR mRNA expression was associated with paired box protein-7 (PAX7) mRNA in males. For the first time in human skeletal muscle, we quantified AR content in the myofiber and localized to the nucleus where AR has been shown to trigger cellular outcomes related to growth. Upon eccentric damage, nuclear-associated AR (nAR) content increased (p < .05) in males and not females. Males with the greatest increase in cross-sectional area (CSA) post-RET had more (p < .05) nAR content than females with the greatest gain CSA. Collectively, skeletal muscle damage and RET increased AR protein, and both gene and hypertrophy measures revealed sex differences in relation to AR. These findings suggest that AR content but more importantly, nuclear localization, is a factor that differentiates RET-induced hypertrophy between males and females."
2023 Dec 16,"Sensors (Basel, Switzerland)",Sensors (Basel). 2023 Dec 16;23(24):9873. doi: 10.3390/s23249873.,"['Shomal Zadeh, Fatemeh', 'Koh, Ryan G L', 'Dilek, Banu', 'Masani, Kei', 'Kumbhare, Dinesh']","['humans', 'trigger points diagnostic imaging', 'ultrasonography methods', ' myofascial pain syndromes diagnostic imaging', ' chronic pain', ' superficial back muscles diagnostic imaging', 'machine learning', 'myofascial trigger point', 'texture features', 'ultrasound']",Identification of Myofascial Trigger Point Using the Combination of Texture Analysis in B-Mode Ultrasound with Machine Learning Classifiers.,"Myofascial pain syndrome is a chronic pain disorder characterized by myofascial trigger points (MTrPs). Quantitative ultrasound (US) techniques can be used to discriminate MTrPs from healthy muscle. In this study, 90 B-mode US images of upper trapezius muscles were collected from 63 participants (left and/or right side(s)). Four texture feature approaches (individually and a combination of them) were employed that focused on identifying spots, and edges were used to explore the discrimination between the three groups: active MTrPs (n = 30), latent MTrPs (n = 30), and healthy muscle (n = 30). Machine learning (ML) and one-way analysis of variance were used to investigate the discrimination ability of the different approaches. Statistically significant results were seen in almost all examined features for each texture feature approach, but, in contrast, ML techniques struggled to produce robust discrimination. The ML techniques showed that two texture features (i.e., correlation and mean) within the combination of texture features were most important in classifying the three groups. This discrepancy between traditional statistical analysis and ML techniques prompts the need for further investigation of texture-based approaches in US for the discrimination of MTrPs."
2023,Frontiers in neurology,Front Neurol. 2023 Aug 3;14:1136367. doi: 10.3389/fneur.2023.1136367. eCollection ,"['Danielli, Ethan', 'Simard, Nicholas', 'DeMatteo, Carol A', 'Kumbhare, Dinesh', 'Ulmer, Stephan', 'Noseworthy, Michael D']","['brain anatomy', 'cerebellum', 'concussion', 'gray matter', 'insula', 'post-concussion symptoms', 'superior longitudinal fasciculus', 'white matter']",A review of brain regions and associated post-concussion symptoms.,"The human brain is an exceptionally complex organ that is comprised of billions of neurons. Therefore, when a traumatic event such as a concussion occurs, somatic, cognitive, behavioral, and sleep impairments are the common outcome. Each concussion is unique in the sense that the magnitude of biomechanical forces and the direction, rotation, and source of those forces are different for each concussive event. This helps to explain the unpredictable nature of post-concussion symptoms that can arise and resolve. The purpose of this narrative review is to connect the anatomical location, healthy function, and associated post-concussion symptoms of some major cerebral gray and white matter brain regions and the cerebellum. As a non-exhaustive description of post-concussion symptoms nor comprehensive inclusion of all brain regions, we have aimed to amalgamate the research performed for specific brain regions into a single article to clarify and enhance clinical and research concussion assessment. The current status of concussion diagnosis is highly subjective and primarily based on self-report of symptoms, so this review may be able to provide a connection between brain anatomy and the clinical presentation of concussions to enhance medical imaging assessments. By explaining anatomical relevance in terms of clinical concussion symptom presentation, an increased understanding of concussions may also be achieved to improve concussion recognition and diagnosis."
2023 Aug 1,BMC musculoskeletal disorders,BMC Musculoskelet Disord. 2023 Aug 1;24(1):624. doi: 10.1186/s12891-023-06744-9.,"['Pradeep, Aishwarya', 'Birerdinc, Aybike', 'Branigan, Travis', 'Phan, Vy', 'Morris, Hailey', 'Shah, Jay', 'DeStefano, Secili', 'Sikdar, Siddhartha', 'Srbely, John', 'Kumbhare, Dinesh', 'Stecco, Antonio', 'Paik, James', 'Gerber, Lynn H']","['humans', 'female', 'young adult', 'adult', 'middle aged', 'granulocyte-macrophage colony-stimulating factor therapeutic use', 'prospective studies', 'acetylcholine therapeutic use', 'brain-derived neurotrophic factor', 'kynurenine therapeutic use', ' myofascial pain syndromes diagnosis therapy', ' fibromyalgia', 'cytokines', 'pain', 'dehydroepiandrosterone', 'cytokines', 'myofascial pain syndrome', 'serum microanalytes']",Evidence for an association of serum microanalytes and myofascial pain syndrome.,"BACKGROUND: Myofascial Pain Syndrome (MPS) is a common pain disorder. Diagnostic criteria include physical findings which are often unreliable or not universally accepted. A precise biosignature may improve diagnosis and treatment effectiveness. The purpose of this study was to assess whether microanalytic assays significantly correlate with characteristic clinical findings in people with MPS. METHODS: This descriptive, prospective study included 38 participants (25 women) with greater than 3 months of myofascial pain in the upper trapezius. Assessments were performed at a university laboratory. The main outcome measures were the Beighton Index, shoulder range of motion, strength asymmetries and microanalytes: DHEA, Kynurenine, VEGF, interleukins (IL-1b, IL-2, IL-4, IL-5, IL-7, IL-8, IL-13), growth factors (IGF-1, IGF2, G-CSF, GM-CSF), MCP-1, MIP-1b, BDNF, Dopamine, Noradrenaline, NPY, and Acetylcholine. Mann-Whitney test and Spearman's multivariate correlation were applied for all variables. The Spearman's analysis results were used to generate a standard correlation matrix and heat map matrix. RESULTS: Mean age of participants was 32 years (20-61). Eight (21%) had widespread pain (Widespread Pain Index ≥ 7). Thirteen (34%) had MPS for 1-3 years, 14 (37%) 3-10 years, and 11 (29%) for > 10 years. The following showed strong correlations: IL1b,2,4,5,7,8; GM-CSF and IL 2,4,5,7; between DHEA and BDNF and between BDNF and Kynurenine, NPY and acetylcholine. The heat map analysis demonstrated strong correlations between the Beighton Index and IL 5,7, GM-CSF, DHEA. Asymmetries of shoulder and cervical spine motion and strength associated with select microanalytes. CONCLUSION: Cytokine levels significantly correlate with selected clinical assessments. This indirectly suggests possible biological relevance for understanding MPS. Correlations among some cytokine clusters; and DHEA, BDNF kynurenine, NPY, and acetylcholine may act together in MPS. These findings should be further investigated for confirmation that link these microanalytes with select clinical findings in people with MPS."
