time,journal,doi_info,authors,key words,title,abstract
2024 Jun 7,Neurobiology of disease,Neurobiol Dis. 2024 Jun 7;199:106557. doi: 10.1016/j.nbd.2024.106557.,"['Baarbé, Julianne', 'Brown, Matt J N', 'Saha, Utpal', 'Tran, Stephanie', 'Weissbach, Anne', 'Saravanamuttu, James', 'Cheyne, Douglas', 'Hutchison, William D', 'Chen, Robert']","['alpha', 'angular gyrus', 'beta', 'freezing of gait', 'lateral premotor cortex', 'motor block', 'parietal', 'parkinson’s disease', 'right inferior frontal gyrus', 'supplementary motor area']",Cortical modulations before lower limb motor blocks are associated with freezing of gait in Parkinson's disease: an EEG source localization study.,"BACKGROUND: Freezing of gait (FOG) is a debilitating symptom of Parkinson's disease (PD) characterized by paroxysmal episodes in which patients are unable to step forward. A research priority is identifying cortical changes before freezing in PD-FOG. METHODS: We tested 19 patients with PD who had been assessed for FOG (n=14 with FOG and 5 without FOG). While seated, patients stepped bilaterally on pedals to progress forward through a virtual hallway while 64-channel EEG was recorded. We assessed cortical activities before and during lower limb motor blocks (LLMB), defined as a break in rhythmic pedaling, and stops, defined as movement cessation following an auditory stop cue. This task was selected because LLMB correlates with FOG severity in PD and allows recording of high-quality EEG. Patients were tested after overnight withdrawal from dopaminergic medications (""off"" state) and in the ""on"" medications state. EEG source activities were evaluated using individual MRI and standardized low resolution brain electromagnetic tomography (sLORETA). Functional connectivity was evaluated by phase lag index between seeds and pre-defined cortical regions of interest. RESULTS: EEG source activities for LLMB vs. cued stops localized to right posterior parietal area (Brodmann area 39), lateral premotor area (Brodmann area 6), and inferior frontal gyrus (Brodmann area 47). In these areas, PD-FOG (n=14) increased alpha rhythms (8-12 Hz) before LLMB vs. typical stepping, whereas PD without FOG (n=5) decreased alpha power. Alpha rhythms were linearly correlated with LLMB severity, and the relationship became an inverted U-shape when assessing alpha rhythms as a function of percent time in LLMB in the ""off"" medication state. Right inferior frontal gyrus and supplementary motor area connectivity was observed before LLMB in the beta band (13-30 Hz). This same pattern of connectivity was seen before stops. Dopaminergic medication improved FOG and led to less alpha synchronization and increased functional connections between frontal and parietal areas. CONCLUSIONS: Right inferior parietofrontal structures are implicated in PD-FOG. The predominant changes were in the alpha rhythm, which increased before LLMB and with LLMB severity. Similar connectivity was observed for LLMB and stops between the right inferior frontal gyrus and supplementary motor area, suggesting that FOG may be a form of ""unintended stopping."" These findings may inform approaches to neurorehabilitation of PD-FOG."
2024,Frontiers in human neuroscience,Front Hum Neurosci. 2024 Apr 5;18:1305058. doi: 10.3389/fnhum.2024.1305058. ,"['Anastasopoulou, Ioanna', 'Cheyne, Douglas Owen', 'van Lieshout, Pascal', 'Johnson, Blake Warren']","['decoding', 'magnetoencephalography', 'speech motor control', 'speech movement tracking', 'speech production']",Decoding kinematic information from beta-band motor rhythms of speech motor cortex: a methodological/analytic approach using concurrent speech movement tracking and magnetoencephalography.,"INTRODUCTION: Articulography and functional neuroimaging are two major tools for studying the neurobiology of speech production. Until now, however, it has generally not been feasible to use both in the same experimental setup because of technical incompatibilities between the two methodologies. METHODS: Here we describe results from a novel articulography system dubbed Magneto-articulography for the Assessment of Speech Kinematics (MASK), which is technically compatible with magnetoencephalography (MEG) brain scanning systems. In the present paper we describe our methodological and analytic approach for extracting brain motor activities related to key kinematic and coordination event parameters derived from time-registered MASK tracking measurements. Data were collected from 10 healthy adults with tracking coils on the tongue, lips, and jaw. Analyses targeted the gestural landmarks of reiterated utterances/ipa/ and /api/, produced at normal and faster rates. RESULTS: The results show that (1) Speech sensorimotor cortex can be reliably located in peri-rolandic regions of the left hemisphere; (2) mu (8-12 Hz) and beta band (13-30 Hz) neuromotor oscillations are present in the speech signals and contain information structures that are independent of those present in higher-frequency bands; and (3) hypotheses concerning the information content of speech motor rhythms can be systematically evaluated with multivariate pattern analytic techniques. DISCUSSION: These results show that MASK provides the capability, for deriving subject-specific articulatory parameters, based on well-established and robust motor control parameters, in the same experimental setup as the MEG brain recordings and in temporal and spatial co-register with the brain data. The analytic approach described here provides new capabilities for testing hypotheses concerning the types of kinematic information that are encoded and processed within specific components of the speech neuromotor system."
2022 Dec 1,Journal of neurophysiology,J Neurophysiol. 2022 Dec 1;128(6):1518-1533. doi: 10.1152/jn.00240.2022. Epub ,"['Blohm, Gunnar', 'Cheyne, Douglas O', 'Crawford, J Douglas']","[' psychomotor performance physiology', 'movement physiology', 'hand physiology', ' motor cortex physiology', 'parietal lobe physiology', 'brain mapping', 'arm movements', 'magnetoencephalography', 'movement planning', 'pointing', 'sensorimotor transformation']",Parietofrontal oscillations show hand-specific interactions with top-down movement plans.,"To generate a hand-specific reach plan, the brain must integrate hand-specific signals with the desired movement strategy. Although various neurophysiology/imaging studies have investigated hand-target interactions in simple reach-to-target tasks, the whole brain timing and distribution of this process remain unclear, especially for more complex, instruction-dependent motor strategies. Previously, we showed that a pro/anti pointing instruction influences magnetoencephalographic (MEG) signals in frontal cortex that then propagate recurrently through parietal cortex (Blohm G, Alikhanian H, Gaetz W, Goltz HC, DeSouza JF, Cheyne DO, Crawford JD. NeuroImage 197: 306-319, 2019). Here, we contrasted left versus right hand pointing in the same task to investigate 1) which cortical regions of interest show hand specificity and 2) which of those areas interact with the instructed motor plan. Eight bilateral areas, the parietooccipital junction (POJ), superior parietooccipital cortex (SPOC), supramarginal gyrus (SMG), medial/anterior interparietal sulcus (mIPS/aIPS), primary somatosensory/motor cortex (S1/M1), and dorsal premotor cortex (PMd), showed hand-specific changes in beta band power, with four of these (M1, S1, SMG, aIPS) showing robust activation before movement onset. M1, SMG, SPOC, and aIPS showed significant interactions between contralateral hand specificity and the instructed motor plan but not with bottom-up target signals. Separate hand/motor signals emerged relatively early and lasted through execution, whereas hand-motor interactions only occurred close to movement onset. Taken together with our previous results, these findings show that instruction-dependent motor plans emerge in frontal cortex and interact recurrently with hand-specific parietofrontal signals before movement onset to produce hand-specific motor behaviors.NEW & NOTEWORTHY The brain must generate different motor signals depending on which hand is used. The distribution and timing of hand use/instructed motor plan integration are not understood at the whole brain level. Using MEG we show that different action planning subnetworks code for hand usage and integrating hand use into a hand-specific motor plan. The timing indicates that frontal cortex first creates a general motor plan and then integrates hand specificity to produce a hand-specific motor plan."
2022,Frontiers in neurology,Front Neurol. 2022 Jun 28;13:828237. doi: 10.3389/fneur.2022.828237. eCollection ,"['Anastasopoulou, Ioanna', 'van Lieshout, Pascal', 'Cheyne, Douglas O', 'Johnson, Blake W']","['articulatory phonology', 'magnetoencephalography', 'speech coordination', 'speech disorders', 'speech kinematics', 'speech motor control']",Speech Kinematics and Coordination Measured With an MEG-Compatible Speech Tracking System.,"Articulography and functional neuroimaging are two major tools for studying the neurobiology of speech production. Until recently, however, it has generally not been possible to use both in the same experimental setup because of technical incompatibilities between the two methodologies. Here we describe results from a novel articulography system dubbed Magneto-articulography for the Assessment of Speech Kinematics (MASK), which we used to derive kinematic profiles of oro-facial movements during speech. MASK was used to characterize speech kinematics in two healthy adults, and the results were compared to measurements from a separate participant with a conventional Electromagnetic Articulography (EMA) system. Analyses targeted the gestural landmarks of reiterated utterances /ipa/, /api/ and /pataka/. The results demonstrate that MASK reliably characterizes key kinematic and movement coordination parameters of speech motor control. Since these parameters are intrinsically registered in time with concurrent magnetoencephalographic (MEG) measurements of neuromotor brain activity, this methodology paves the way for innovative cross-disciplinary studies of the neuromotor control of human speech production, speech development, and speech motor disorders."
2021,Frontiers in human neuroscience,Front Hum Neurosci. 2021 Dec 22;15:786035. doi: 10.3389/fnhum.2021.786035. ,"['Isabella, Silvia L', 'Cheyne, J Allan', 'Cheyne, Douglas']","['cognitive control', 'frontal theta', 'implicit learning', 'magnetoencephalography', 'oscillations', 'phase coherence', 'pupillometry', 'sensorimotor gamma']",Inhibitory Control in the Absence of Awareness: Interactions Between Frontal and Motor Cortex Oscillations Mediate Implicitly Learned Responses.,"Cognitive control of action is associated with conscious effort and is hypothesised to be reflected by increased frontal theta activity. However, the functional role of these increases in theta power, and how they contribute to cognitive control remains unknown. We conducted an MEG study to test the hypothesis that frontal theta oscillations interact with sensorimotor signals in order to produce controlled behaviour, and that the strength of these interactions will vary with the amount of control required. We measured neuromagnetic activity in 16 healthy adults performing a response inhibition (Go/Switch) task, known from previous work to modulate cognitive control requirements using hidden patterns of Go and Switch cues. Learning was confirmed by reduced reaction times (RT) to patterned compared to random Switch cues. Concurrent measures of pupil diameter revealed changes in subjective cognitive effort with stimulus probability, even in the absence of measurable behavioural differences, revealing instances of covert variations in cognitive effort. Significant theta oscillations were found in five frontal brain regions, with theta power in the right middle frontal and right premotor cortices parametrically increasing with cognitive effort. Similar increases in oscillatory power were also observed in motor cortical gamma, suggesting an interaction. Right middle frontal and right precentral theta activity predicted changes in pupil diameter across all experimental conditions, demonstrating a close relationship between frontal theta increases and cognitive control. Although no theta-gamma cross-frequency coupling was found, long-range theta phase coherence among the five significant sources between bilateral middle frontal, right inferior frontal, and bilateral premotor areas was found, thus providing a mechanism for the relay of cognitive control between frontal and motor areas via theta signalling. Furthermore, this provides the first evidence for the sensitivity of frontal theta oscillations to implicit motor learning and its effects on cognitive load. More generally these results present a possible a mechanism for this frontal theta network to coordinate response preparation, inhibition and execution."
2022 Jan,Pediatric neurology,Pediatr Neurol. 2022 Jan;126:80-88. doi: 10.1016/j.pediatrneurol.2021.09.019. ,"['Jobst, Cecilia', ""D'Souza, Samantha J"", 'Causton, Natasha', 'Master, Sabah', 'Switzer, Lauren', 'Cheyne, Douglas', 'Fehlings, Darcy']","['cerebral palsy  rehabilitation', 'child', 'child, preschool', 'evoked potentials, somatosensory  physiology', 'female', 'hemiplegia physiopathology  rehabilitation', 'humans', 'magnetoencephalography', 'male', ' neurological rehabilitation', 'neuronal plasticity  physiology', 'outcome assessment, health care', 'physical therapy modalities', 'proprioception  physiology', 'touch perception  physiology', 'upper extremity  physiopathology', 'constraint-induced movement therapy', 'hemiplegic cerebral palsy', 'magnetoencephalography', 'sensory function', 'somatosensory evoked field']",Somatosensory Plasticity in Hemiplegic Cerebral Palsy Following Constraint Induced Movement Therapy.,BACKGROUND: Children with hemiplegic cerebral palsy (HCP) experience upper limb somatosensory and motor deficits. Although constraint-induced movement therapy (
2021 Jun 18,"Journal of speech, language, and hearing research : JSLHR",J Speech Lang Hear Res. 2021 Jun 18;64(6S):2248-2260. doi: ,"['De Nil, Luc', 'Isabella, Silvia', 'Jobst, Cecilia', 'Kwon, Soonji', 'Mollaei, Fatemeh', 'Cheyne, Douglas']","['adult', 'brain', 'brain mapping', 'electroencephalography', 'female', 'hand', 'humans', 'male', ' motor cortex', ' movement']",Complexity-Dependent Modulations of Beta Oscillations for Verbal and Nonverbal Movements.,"Purpose The planning and execution of motor behaviors require coordination of neurons that are established through synchronization of neural activity. Movements are typically preceded by event-related desynchronization (ERD) in the beta range (15-30 Hz) primarily localized in the motor cortex, while movement onset is associated with event-related synchronization (ERS). It is hypothesized that ERD is important for movement preparation and execution, and ERS serves to inhibit movement and update the motor plan. The primary objective of this study was to determine to what extent movement-related oscillatory brain patterns (ERD and ERS) during verbal and nonverbal tasks may be affected differentially by variations in task complexity. Method Seventeen right-handed adult participants (nine women, eight men; M (age) = 25.8 years, SD = 5.13) completed a sequential button press and verbal task. The final analyses included data for 15 participants for the nonverbal task and 13 for the verbal task. Both tasks consisted of two complexity levels: simple and complex sequences. Magnetoencephalography was used to record modulations in beta band brain oscillations during task performance. Results Both the verbal and button press tasks were characterized by significant premovement ERD and postmovement ERS. However, only simple sequences showed a distinct transient synchronization during the premovement phase of the task. Differences between the two tasks were reflected in both latency and peak amplitude of ERD and ERS, as well as in lateralization of oscillations. Conclusions Both verbal and nonverbal movements showed a significant desynchronization of beta oscillations during the movement preparation and holding phase and a resynchronization upon movement termination. Importantly, the premovement phase for simple but not complex tasks was characterized by a transient partial synchronization. In addition, the data revealed significant differences between the two tasks in terms of lateralization of oscillatory modulations. Our findings suggest that, while data from the general motor control research can inform our understanding of speech motor control, significant differences exist between the two motor systems that caution against overgeneralization of underlying neural control processes."
2021 Apr,Brain and language,Brain Lang. 2021 Apr;215:104921. doi: 10.1016/j.bandl.2021.104921. Epub 2021 Feb ,"['Mollaei, Fatemeh', 'Mersov, Anna', 'Woodbury, Merron', 'Jobst, Cecilia', 'Cheyne, Douglas', 'De Nil, Luc']","['adult', 'anisotropy', 'diffusion tensor imaging', 'humans', 'speech', ' stuttering diagnostic imaging', ' white matter diagnostic imaging', 'developmental stuttering', 'diffusion tensor imaging', 'magnetoencephalography', 'probabilistic tractography', 'speech production', 'white matter']",White matter microstructural differences underlying beta oscillations during speech in adults who stutter.,"The basal ganglia-thalamocortical (BGTC) loop may underlie speech deficits in developmental stuttering. In this study, we investigated the relationship between abnormal cortical neural oscillations and structural integrity alterations in adults who stutter (AWS) using a novel magnetoencephalography (MEG) guided tractography approach. Beta oscillations were analyzed using sensorimotor speech MEG, and white matter pathways were examined using tract-based spatial statistics (TBSS) and probabilistic tractography in 11 AWS and 11 fluent speakers. TBSS analysis revealed overlap between cortical regions of increased beta suppression localized to the mouth motor area and a reduced fractional anisotropy (FA) in the AWS group. MEG-guided tractography showed reduced FA within the BGTC loop from left putamen to subject-specific MEG peak. This is the first study to provide evidence that structural abnormalities may be associated with functional deficits in stuttering and reflect a network deficit within the BGTC loop that includes areas of the left ventral premotor cortex and putamen."
2020 Aug 5,Behavioural brain research,Behav Brain Res. 2020 Aug 5;391:112664. doi: 10.1016/j.bbr.2020.112664. Epub 2020 ,"['Pu, Yi', 'Cornwell, Brian R', 'Cheyne, Douglas', 'Johnson, Blake W']","['adult', 'brain physiology', 'female', 'gamma rhythm  physiology', 'hippocampus physiology', 'humans', 'magnetoencephalography methods', 'male', 'parahippocampal gyrus physiology', 'sex characteristics', 'sex factors', 'spatial navigation  physiology', 'theta rhythm  physiology', 'encoding and consolidation', 'gender difference', 'high-gamma activities', 'spatial navigation', 'theta oscillations']",Gender differences in navigation performance are associated with differential theta and high-gamma activities in the hippocampus and parahippocampus.,"Hippocampal rhythms are important for spatial navigation. This study examined whether gender differences in human navigation performance are associated with differences in hippocampal rhythms. We measured brain activities in males and females with whole-head magnetoencephalography (MEG), while they performed a virtual Morris water maze task. Behavioural results showed clear gender differences: males were significantly faster than females; unlike males, females did not show improved navigation performance in a familiar vs. new environment. MEG results showed that the magnitudes of right hippocampal/parahippocampal theta rhythm were similar between the two groups during navigation in a new environment; however, unlike males who exhibited a significant decrease in right hippocampal/parahippocampal theta power in the familiar environment shown before, females showed no change. This result may suggest faster environmental learning in males vs. females. After navigating in the new environment during the inter-trial (ITI) rest periods, males showed significantly higher right hippocampal/parahippocampal high-gamma power than females, suggesting greater consolidation in males. Moreover, right hippocampal/parahippocampal theta power during navigation correlated with navigation performance in both genders; high-gamma power during the ITI was correlated with navigation performance only in males. These associations may provide further support for the functional importance of theta and high-gamma rhythms in navigation. Overall, this study provides new insights into the neurophysiological mechanisms underlying gender differences in spatial navigation."
2020 Jul 15,NeuroImage,Neuroimage. 2020 Jul 15;215:116782. doi: 10.1016/j.neuroimage.2020.116782. Epub ,"['Pu, Yi', 'Cheyne, Douglas', 'Sun, Yanan', 'Johnson, Blake W']","['adolescent', 'adult', 'brain mapping', 'female', 'hippocampus  physiology', 'humans', ' language', 'magnetoencephalography', 'male', 'memory  physiology', 'reading', 'semantics', ' theta rhythm', 'young adult', 'hippocampus', 'magnetoencephalography (meg)', 'online sentence reading', 'theta oscillations']",Theta oscillations support the interface between language and memory.,"Recent evidence shows that hippocampal theta oscillations, usually linked to memory and navigation, are also observed during online language processing, suggesting a shared neurophysiological mechanism between language and memory. However, it remains to be established what specific roles hippocampal theta oscillations may play in language, and whether and how theta mediates the communication between the hippocampus and the perisylvian cortical areas, generally thought to support language processing. With whole-head magnetoencephalographic (MEG) recordings, the present study investigated these questions with two experiments. Using a violation paradigm, extensively used for studying neural underpinnings of different aspects of linguistic processing, we found increased theta power (4-8 ​Hz) in the hippocampal formation, when participants read a semantically incorrect vs. correct sentence ending. Such a pattern of results was replicated using different sentence stimuli in another cohort of participants. Importantly, no significant hippocampal theta power increase was found when participants read a semantically correct but syntactically incorrect sentence ending vs. a correct sentence ending. These findings may suggest that hippocampal theta oscillations are specifically linked to lexical-semantic related processing, and not general information processing in sentence reading. Furthermore, we found significantly transient theta phase coupling between the hippocampus and the left superior temporal gyrus, a hub area of the cortical network for language comprehension. This transient theta phase coupling may provide an important channel that links the memory and language systems for the generation of sentence meaning. Overall, these findings help specify the role of hippocampal theta in language, and provide a novel neurophysiological mechanism at the network level that may support the interface between memory and language."
2020 May,Human brain mapping,Hum Brain Mapp. 2020 May;41(7):1934-1949. doi: 10.1002/hbm.24922. Epub 2020 Jan ,"['Bells, Sonya', 'Isabella, Silvia L', 'Brien, Donald C', 'Coe, Brian C', 'Munoz, Douglas P', 'Mabbott, Donald J', 'Cheyne, Douglas O']","['adult', 'brain mapping', 'evoked potentials physiology', 'eye movements physiology', 'female', 'frontal lobe physiology', 'functional laterality physiology', 'humans', 'inhibition, psychological', 'magnetic resonance imaging', 'magnetoencephalography', 'male', ' nervous system physiological phenomena', 'psychomotor performance  physiology', 'reaction time  physiology', ' saccades', 'visual fields', 'young adult', 'antisaccade', 'frontal cortex', 'inhibition', 'magnetoencephalography', 'parietal cortex']",Mapping neural dynamics underlying saccade preparation and execution and their relation to reaction time and direction errors.,"Our ability to control and inhibit automatic behaviors is crucial for negotiating complex environments, all of which require rapid communication between sensory, motor, and cognitive networks. Here, we measured neuromagnetic brain activity to investigate the neural timing of cortical areas needed for inhibitory control, while 14 healthy young adults performed an interleaved prosaccade (look at a peripheral visual stimulus) and antisaccade (look away from stimulus) task. Analysis of how neural activity relates to saccade reaction time (SRT) and occurrence of direction errors (look at stimulus on antisaccade trials) provides insight into inhibitory control. Neuromagnetic source activity was used to extract stimulus-aligned and saccade-aligned activity to examine temporal differences between prosaccade and antisaccade trials in brain regions associated with saccade control. For stimulus-aligned antisaccade trials, a longer SRT was associated with delayed onset of neural activity within the ipsilateral parietal eye field (PEF) and bilateral frontal eye field (FEF). Saccade-aligned activity demonstrated peak activation 10ms before saccade-onset within the contralateral PEF for prosaccade trials and within the bilateral FEF for antisaccade trials. In addition, failure to inhibit prosaccades on anti-saccade trials was associated with increased activity prior to saccade onset within the FEF contralateral to the peripheral stimulus. This work on dynamic activity adds to our knowledge that direction errors were due, at least in part, to a failure to inhibit automatic prosaccades. These findings provide novel evidence in humans regarding the temporal dynamics within oculomotor areas needed for saccade programming and the role frontal brain regions have on top-down inhibitory control."
2020 Sep,Developmental science,Dev Sci. 2020 Sep;23(5):e12935. doi: 10.1111/desc.12935. Epub 2020 Jan 9.,"['Johnson, Blake', 'Jobst, Cecilia', 'Al-Loos, Rita', 'He, Wei', 'Cheyne, Douglas']","['adult', 'age factors', 'child', 'child development', 'child, preschool', 'female', 'humans', ' individuality', 'magnetoencephalography  methods', 'male', 'motor activity physiology', 'motor cortex  growth & development physiology', 'motor skills physiology', 'movement  physiology', 'development', 'magnetoencephalography', 'motor cortex', 'mu rhythm', 'readiness potential', 'sensorimotor oscillations']",Individual differences in motor development during early childhood: An MEG study.,"In a previous study, we reported the first measurements of pre-movement and sensorimotor cortex activity in preschool age children (ages 3-5 years) using a customized pediatric magnetoencephalographic system. Movement-related activity in the sensorimotor cortex differed from that typically observed in adults, suggesting that maturation of cortical motor networks was still incomplete by late preschool age. Here we compare these earlier results to a group of school age children (ages 6-8 years) including seven children from the original study measured again two years later, and a group of adults (mean age 31.1 years) performing the same task. Differences in movement-related brain activity were observed both longitudinally within children in which repeated measurements were made, and cross-sectionally between preschool age children, school age children, and adults. Movement-related mu (8-12 Hz) and beta (15-30 Hz) oscillations demonstrated linear increases in amplitude and mean frequency with age. In contrast, movement-evoked gamma synchronization demonstrated a step-like transition from low (30-50 Hz) to high (70-90 Hz) narrow-band oscillations, and this occurred at different ages in different children. Notably, pre-movement activity ('readiness fields') observed in adults was absent in even the oldest children. These are the first direct observations of brain activity accompanying motor responses throughout early childhood, confirming that maturation of this activity is still incomplete by mid-childhood. In addition, individual children demonstrated markedly different developmental trajectories in movement-related brain activity, suggesting that individual differences need to be taken into account when studying motor development across age groups."
