time,journal,doi_info,authors,key words,title,abstract
2024 May 9,The Journal of bone and joint surgery. American volume,J Bone Joint Surg Am. 2024 May 9. doi: 10.2106/JBJS.23.01160.,"['Mundi, Raman', 'Pincus, Daniel', 'Schemitsch, Emil', 'Ekhtiari, Seper', 'Paterson, J Michael', 'Chaudhry, Harman', 'Leis, Jerome A', 'Redelmeier, Donald A', 'Ravi, Bheeshma']",[],Association Between Periprosthetic Joint Infection and Mortality Following Primary Total Hip Arthroplasty.,"BACKGROUND: Periprosthetic joint infection (PJI) remains a dreaded and unpredictable complication after total hip arthroplasty (THA). In addition to causing substantial morbidity, PJI may contribute to long-term mortality risk. Our objective was to determine the long-term mortality risk associated with PJI following THA. METHODS: This population-based, retrospective cohort study included adult patients (≥18 years old) in Ontario, Canada, who underwent their first primary elective THA for arthritis between April 1, 2002, and March 31, 2021. The primary outcome was death within 10 years after the index THA. Mortality was compared between propensity-score-matched groups (PJI within 1 year after surgery versus no PJI within 1 year after surgery) with use of survival analyses. Patients who died within 1 year after surgery were excluded to avoid immortal time bias. RESULTS: A total of 175,432 patients (95,883 [54.7%] women) with a mean age (and standard deviation) of 67 ± 11.4 years underwent primary THA during the study period. Of these, 868 patients (0.49%) underwent surgery for a PJI of the replaced joint within 1 year after the index procedure. After matching, patients with a PJI within the first year had a significantly higher 10-year mortality rate than their counterparts (11.4% [94 of 827 patients] versus 2.2% [18 of 827 patients]; absolute risk difference, 9.19% [95% confidence interval ("
2024 May 10,"Biomedical materials (Bristol, England)",Biomed Mater. 2024 May 10;19(4). doi: 10.1088/1748-605X/ad45d6.,"['Bihari, Aurelia', 'Gee, Aaron', 'Bougherara, Habiba', 'Brzozowski, Pawel', 'Lawendy, Abdel-Rahman', 'Schemitsch, Emil H', 'Zdero, Radovan']","['animals', 'rats', ' bone plates', ' materials testing', ' cell survival drug effects', ' glass chemistry', ' carbon fiber chemistry', ' fractures, bone', 'biocompatible materials chemistry', 'carbon chemistry', 'fracture healing', 'epoxy resins chemistry', 'stress, mechanical', 'titanium chemistry', 'bone fracture', 'composites', 'cytotoxicity', 'hybrid', 'plates']",Cytotoxicity of novel hybrid composite materials for making bone fracture plates.,"Bone fracture plates are usually made from steel or titanium, which are much stiffer than cortical bone. This may cause bone 'stress shielding' (i.e. bone resorption leading to plate loosening) and delayed fracture healing (i.e. fracture motion is less than needed to stimulate callus formation at the fracture). Thus, the authors previously designed, fabricated, and mechanically tested novel 'hybrid' composites made from inorganic and organic materials as potential bone fracture plates that are more flexible to reduce these negative effects. This is the first study to measure the cytotoxicity of these composites via the survival of rat cells. Cubes of carbon fiber/flax fiber/epoxy and glass fiber/flax fiber/epoxy had better cell survival vs. Kevlar fiber/flax fiber/epoxy (57% and 58% vs. 50%). Layers and powders made of carbon fiber/epoxy and glass fiber/epoxy had higher cell survival than Kevlar fiber/epoxy (96%-100% and 100% vs. 39%-90%). The presence of flax fibers usually decreased cell survival. Thus, carbon and glass fiber composites (with or without flax fibers), but not Kevlar fiber composites (with or without flax fibers), may potentially be used for bone fracture plates."
2024 Jan-Feb,Canadian journal of surgery. Journal canadien de chirurgie,Can J Surg. 2024 Apr 26;67(2):E165-E171. doi: 10.1503/cjs.002623. Print 2024 ,"['Ndoja, Silvio', 'Vivekanandan, Amirti', 'Frost, Sophia', 'Schemitsch, Emil', 'Sibley, Lyn M', 'Papp, Steve', 'Lanting, Brent']","['ontario', 'humans', ' orthopedic surgeons statistics & numerical data', 'cross-sectional studies', 'orthopedics statistics & numerical data', ""practice patterns, physicians' statistics & numerical data trends economics""]",Orthopedic surgeons' transition into full-time practice over the last 20 years: an analysis using Ministry of Health billing data.,"BACKGROUND: Underemployment is a reality for many new graduates, who accept locum or part-time work as an alternative to unemployment because of lack of opportunities. We sought to analyze orthopedic surgeons' Ontario Health Insurance Program (OHIP) billing data over a 20-year period as a proxy of practice patterns and hypothesized that billing in the first 6 years of practice would be affected by underemployment and locum. METHODS: We analyzed the annual average billing totals of orthopedic surgeons, broken down by year of graduation, year of billings, and number of surgeons billing in that year. We analyzed public census data of the Ontario population size as a proxy of orthopedic demand. RESULTS: A 2019 cross-sectional analysis showed that around 15 surgeons per graduating year were billing in Ontario from the 1995 to 2016 cohorts, while 2017 and 2018 saw an increase to 30 and 36 actively billing surgeons, respectively. The number returned to more historical numbers in 2019, with 20 actively billing surgeons. For those surgeons billing in Ontario, billing trends have been roughly stable, with average billings increasing each year for the first 6 years in practice (p < 0.001). Year of graduation did not have an effect on the first 6 years of billings (p > 0.5). Billings were stable after 6 years in practice (p > 0.09). CONCLUSION: The Ontario health care system has not expanded to support more orthopedic surgeons despite the aging and growing population; despite our growing population, the number of surgeons being trained and retained has not matched this growth. Further research needs to be done to guide optimal health human resource decision-making."
2024 Jan-Feb,Canadian journal of surgery. Journal canadien de chirurgie,Can J Surg. 2024 Mar 19;67(2):E112-E117. doi: 10.1503/cjs.007822. Print 2024 ,"['Lapner, Peter', 'Sheth, Ujash', 'Nam, Diane', 'Schemitsch, Emil', 'Guy, Pierre', 'Richards, Robin']","['male', 'humans', 'female', ' humeral fractures']",Position statement: management of proximal humerus fractures.,"We sought to compare outcomes and reoperation rates for the surgical treatment of proximal humerus fractures (excluding head-splitting fractures, fracture-dislocations, and isolated greater-tuberosity fractures) in men and women older than 60 years. We searched MEDLINE, Embase, and Cochrane through to Feb. 1, 2022, and included all English-language randomized trials comparing operative versus nonoperative treatment; open reduction and internal fixation (ORIF) with locking plate versus intramedullary nail; arthroplasty versus ORIF; and reverse shoulder arthroplasty versus hemiarthroplasty. Outcomes of interest were functional outcomes (e.g., Constant score), pain outcomes (visual analogue scale scores), and reoperation rates for the interventions of interest when available. We rated the quality of the evidence and strength of recommendations using the Grading of Recommendations, Assessment, Development and Evaluation (GRADE) approach. This guideline will benefit patients considering surgical intervention for fractures of the proximal humerus by improving counselling on surgical treatment options and possible outcomes. It will also benefit surgical providers by improving their knowledge of various surgical approaches. Data presented could be used to develop frameworks and tools for shared decision-making.Nous avons cherché à comparer les résultats et les taux de réintervention à la suite d'un traitement chirurgical pour une fracture de l'humérus proximal (excluant les fractures de la tête humérale, les fractures-luxations et les fractures isolées de la grande tubérosité) chez les hommes et les femmes âgés de plus de 60 ans. Nous avons effectué des recherches dans les bases de données MEDLINE, Embase, et Cochrane jusqu'au 1(er) février 2022 et avons inclus tous les essais randomisés publiés en anglais comparant différents duos d'interventions : traitements chirurgicaux ou non chirurgicaux; réductions ouvertes avec fixation interne (ROFI) réalisées à l'aide d'une plaque verrouillée ou enclouages centromédullaires; arthroplasties ou ROFI; et arthroplasties inversées de l'épaule ou hémiarthroplasties. Les paramètres d'intérêt étaient la capacité fonctionnelle (p. ex., score de Constant), la douleur (p. ex., échelle analogique visuelle) et le taux de réintervention pour les interventions d'intérêt, selon les données disponibles. Nous avons évalué la qualité des données probantes et la solidité des recommandations à l'aide de l'approche GRADE (Grading of Recommendations, Assessment, Development and Evaluation). Cette ligne directrice profitera aux patients qui envisagent une intervention chirurgicale après une fracture de l'humérus proximal en améliorant les consultations sur les options de traitement chirurgical et les résultats escomptés. Elle aidera aussi les chirurgiens en améliorant leurs connaissances sur différentes approches chirurgicales. Les données présentées pourraient servir à mettre au point des cadres et des outils pour une prise de décision partagée."
2023 Dec 27,Computer methods in biomechanics and biomedical engineering,Comput Methods Biomech Biomed Engin. 2023 Dec 27:1-13. doi: ,"['Islam, Sabrina', 'Gide, Kunal', 'Schemitsch, Emil H', 'Bougherara, Habiba', 'Zdero, Radovan', 'Bagheri, Z Shaghayegh']","['biomechanics', 'boundary conditions', 'constraints', 'finite element', 'humerus']",Biomechanical effects of different loads and constraints on finite element modeling of the humerus.,"Currently, there is no established finite element (FE) method to apply physiologically realistic loads and constraints to the humerus. This FE study showed that 2 'simple' methods involving direct head loads, no head constraints, and rigid elbow or mid-length constraints created excessive stresses and bending. However, 2 'intermediate' methods involving direct head loads, but flexible head and elbow constraints, produced lower stresses and bending. Also, 2 'complex' methods involving muscles to generate head loads, plus flexible head and elbow constraints, generated the lowest stresses and moderate bending. This has implications for FE modeling research on intact and implanted humeri."
2023 Jun,OTA international : the open access journal of orthopaedic trauma,OTA Int. 2023 Jun 16;6(3 Suppl):e240. doi: 10.1097/OI9.0000000000000240. ,"['Minehara, Hiroaki', 'Maruo, Akihiro', 'Amadei, Rafael', 'Contini, Achille', 'Braile, Adriano', 'Kelly, Michael', 'Jenner, Lydia', 'Schemitsch, Geoffrey W', 'Schemitsch, Emil H', 'Miclau, Theodore 3rd']","['antibiotic administration', 'bone defect', 'open fractures', 'surgical timing', 'wound coverage']",Open fractures: Current treatment perspective.,"Severe open fractures present challenges to orthopaedic surgeons worldwide, with increased risks of significant complications. Although different global regions have different resources and systems, there continue to be many consistent approaches to open fracture care. Management of these complex injures continues to evolve in areas ranging from timing of initial operative debridement to the management of critical-sized bone defects. This review, compiled by representative members of the International Orthopaedic Trauma Association, focuses on several critical areas of open fracture management, including antibiotic administration, timing of debridement, bone loss, soft tissue management, and areas of need for future investigation."
2023 Jul-Aug,Canadian journal of surgery. Journal canadien de chirurgie,Can J Surg. 2023 Jul 13;66(4):E384-E389. doi: 10.1503/cjs.012222. Print 2023 ,"['Schemitsch, Emil H', 'Kumar, Ashesh', 'Heels-Ansdell, Diane', 'Sprague, Sheila', 'Bhandari, Mohit', 'Guyatt, Gordon', 'Sanders, David W', 'Swiontkowski, Marc', 'Tornetta, Paul 3rd', 'Walter, Stephen']","['humans', 'bone nails', ' fracture fixation, intramedullary adverse effects methods', 'fracture healing physiology', 'postoperative complications epidemiology etiology surgery', 'reoperation', 'tibia', ' tibial fractures surgery']",Reamed compared with unreamed nailing of tibial shaft fractures: Does the initial method of nail insertion influence outcome in patients requiring reoperations?,"BACKGROUND: Patients with a tibial shaft fracture experiencing their first postoperative complication following treatment with intramedullary nails may be at greater risk of subsequent complications than the whole population. We aimed to determine whether the initial method of nail insertion influences outcome in patients with a tibial shaft fracture requiring multiple reoperations. METHODS: Using the Study to Prospectively Evaluate Reamed Intramedullary Nails in Tibial Shaft Fractures trial data, we categorized patients as those not requiring reoperation, those requiring a single reoperation and those requiring multiple reoperations, and we compared them by nail insertion technique (reamed v. unreamed) and fracture type (open v. closed). We then determined the number of patients whose first reoperation was in response to infection, and we compared other clinical outcomes between the reamed and unreamed groups. RESULTS: Among 1226 patients included in this analysis, 175 (14.27%) experienced a single reoperation and 44 patients (3.59%) underwent multiple reoperations. Nail insertion techniques (reamed v. unreamed) did not play a role in the need to perform multiple reoperations. Seventy-five percent of patients requiring multiple reoperations had open tibial shaft fractures. An equal number of these were reamed and unreamed insertions. The majority of patients had their course complicated by infection and almost 50% of patients whose first reoperation was for infection required more than 2 reoperations for management. The rest required multiple procedures for nonunion or bone loss. CONCLUSION: Our findings corroborate those of other studies, in which open fracture type rather than nail insertion technique was found to be the cause of morbidity following intramedullary nailing of tibial fractures. CLINICAL TRIAL REGISTRATION: www. CLINICALTRIALS: gov, no. NCT00038129."
2024 Jan,Journal of orthopaedic research : official publication of the Orthopaedic ,J Orthop Res. 2024 Jan;42(1):193-201. doi: 10.1002/jor.25658. Epub 2023 Jul 12.,"['Godbout, Charles', 'Ryan, Gareth', 'Ramnaraign, David J', 'Hegner, Christian', 'Desjardins, Sarah', 'Gagnon, Stéphane', 'Bates, Brent D', 'Whatley, Ian', 'Schemitsch, Emil H', 'Nauth, Aaron']","['humans', 'rats', 'animals', ' endothelial progenitor cells', 'x-ray microtomography', 'femur', 'cell- and tissue-based therapy', ' platelet-rich plasma', 'cell therapy', 'endothelial progenitor cells', 'fracture', 'nonunion', 'platelet-rich plasma']",Optimal delivery of endothelial progenitor cells in a rat model of critical-size bone defects.,"Nonunion and segmental bone defects are complex issues in orthopedic trauma. The use of endothelial progenitor cells (EPCs), as part of a cell-based therapy for bone healing is a promising approach. In preclinical studies, culture medium (CM) is commonly used to deliver EPCs to the defect site, which has the potential for immunogenicity in humans. The goal of this study was to find an effective and clinically translatable delivery medium for EPCs. Accordingly, this study compared EPCs delivered in CM, phosphate-buffered saline (PBS), platelet-poor plasma (PPP), and platelet-rich plasma (PRP) in a rat model of femoral critical-size defects. Fischer 344 rats (n = 35) were divided into six groups: EPC+CM, EPC+PBS, EPC+PPP, EPC+PRP, PPP alone, and PRP alone. A 5 mm mid-diaphyseal defect was created in the right femur and stabilized with a miniplate. The defect was filled with a gelatin scaffold impregnated with the corresponding treatment. Radiographic, microcomputed tomography and biomechanical analyses were performed. Overall, regardless of the delivery medium, groups that received EPCs had higher radiographic scores and union rates, higher bone volume, and superior biomechanical properties compared to groups treated with PPP or PRP alone. There were no significant differences in any outcomes between EPC subgroups or between PPP and PRP alone. These results suggest that EPCs are effective in treating segmental defects in a rat model of critical-size defects regardless of the delivery medium used. Consequently, PBS could be the optimal medium for delivering EPCs, given its low cost, ease of preparation, accessibility, noninvasiveness, and nonimmunogenic properties."
2023 Jul,"Proceedings of the Institution of Mechanical Engineers. Part H, Journal of ",Proc Inst Mech Eng H. 2023 Jul;237(7):791-805. doi: 10.1177/09544119231181487. ,"['Zdero, Radovan', 'Gide, Kunal', 'Brzozowski, Pawel', 'Schemitsch, Emil H', 'Bagheri, Z Shaghayegh']","['humans', 'biomechanical phenomena', ' femur', ' bone plates', 'bone screws', 'fracture fixation', 'biomechanics', 'distal femur', 'locked plates', 'optimization', 'review']",Biomechanical design optimization of distal femur locked plates: A review.,"Clinical findings, manufacturer instructions, and surgeon's preferences often dictate the implantation of distal femur locked plates (DFLPs), but healing problems and implant failures still persist. Also, most biomechanical researchers compare a particular DFLP configuration to implants like plates and nails. However, this begs the question: Is this specific DFLP configuration biomechanically optimal to encourage early callus formation, reduce bone and implant failure, and minimize bone ""stress shielding""? Consequently, it is crucial to optimize, or characterize, the biomechanical performance (stiffness, strength, fracture micro-motion, bone stress, plate stress) of DFLPs influenced by plate variables (geometry, position, material) and screw variables (distribution, size, number, angle, material). Thus, this article reviews 20 years of biomechanical design optimization studies on DFLPs. As such, Google Scholar and PubMed websites were searched for articles in English published since 2000 using the terms ""distal femur plates"" or ""supracondylar femur plates"" plus ""biomechanics/biomechanical"" and ""locked/locking,"" followed by searching article reference lists. Key numerical outcomes and common trends were identified, such as: (a) plate cross-sectional area moment of inertia can be enlarged to lower plate stress at the fracture; (b) plate material has a larger influence on plate stress than plate thickness, buttress screws, and inserts for empty plate holes; (c) screw distribution has a major influence on fracture micro-motion, etc. Recommendations for future work and clinical implications are then provided, such as: (a) simultaneously optimizing fracture micro-motion for early healing, reducing bone and implant stresses to prevent re-injury, lowering ""stress shielding"" to avoid bone resorption, and ensuring adequate fatigue life; (b) examining alternate non-metallic materials for plates and screws; (c) assessing the influence of condylar screw number, distribution, and angulation, etc. This information can benefit biomedical engineers in designing or evaluating DFLPs, as well as orthopedic surgeons in choosing the best DFLPs for their patients."
2023 May,OTA international : the open access journal of orthopaedic trauma,OTA Int. 2023 May 4;6(2 Suppl):e249. doi: 10.1097/OI9.0000000000000249. ,"['Glatt, Vaida', ""O'Toole, Robert"", 'Mehta, Samir', 'Ricci, William', 'Nauth, Aaron', 'Schemitsch, Emil', 'Hast, Michael W']","['biomechanics', 'debate', 'discussion', 'trauma']",Great debates in trauma biomechanics.,"At the 2021 annual meeting of the Orthopaedic Trauma Association, the Basic Science Focus Forum hosted its first ever debate-style symposium focused on biomechanics and fracture repair. The 3 subjects of debate were ""Mechanics versus Biology-Which is 'More Important' to Consider?"" ""Locked Plate versus Forward Dynamization versus Reverse Dynamization-Which Way Should I Go?"" and ""Sawbones versus Cadaver Models-What Should I Believe Most?"" These debates were held because fracture healing is a highly organized synergistic response between biological factors and the local mechanical environment. Multiple studies have demonstrated that both factors play roles in governing bone healing responses, and the causal relationships between the 2 remain unclear. The lack of clarity in this space has led to a spectrum of research with the common goal of helping surgeons make good decisions. Before reading further, the reader should understand that the questions posed in the debate titles are unanswerable and might represent a false choice. Instead, the reader should appreciate that the debates were held to gain a more thorough understanding of these topics based on the current state of the art of experimental and clinical studies, by using an engaging and thought-provoking format."
