time,journal,doi_info,authors,key words,title,abstract
2024 Jun 4,"Cerebral cortex (New York, N.Y. : 1991)",Cereb Cortex. 2024 Jun 4;34(6):bhae220. doi: 10.1093/cercor/bhae220.,"['Tsai, Pascale', 'Latypov, Timur H', 'Hung, Peter Shih-Ping', 'Halawani, Aisha', 'Srisaikaew, Patcharaporn', 'Walker, Matthew R', 'Zhang, Ashley B', 'Wang, Wanzhang', 'Hassannia, Fatemeh', 'Barake, Rana', 'Gordon, Karen A', 'Ibrahim, George M', 'Rutka, John', 'Hodaie, Mojgan']","['humans', 'female', 'male', ' hearing loss, unilateral diagnostic imaging physiopathology', 'middle aged', 'adult', ' connectome', 'brain diagnostic imaging physiopathology pathology', 'neuroma, acoustic diagnostic imaging physiopathology pathology', 'neural pathways physiopathology diagnostic imaging', 'magnetic resonance imaging methods', 'aged', 'diffusion tensor imaging', 'functional laterality physiology', 'nerve net diagnostic imaging physiopathology pathology', 'auditory', 'connectome', 'graph theory', 'imaging', 'network']",Structural connectivity changes in unilateral hearing loss.,"Network connectivity, as mapped by the whole brain connectome, plays a crucial role in regulating auditory function. Auditory deprivation such as unilateral hearing loss might alter structural network connectivity; however, these potential alterations are poorly understood. Thirty-seven acoustic neuroma patients with unilateral hearing loss (19 left-sided and 18 right-sided) and 19 healthy controls underwent diffusion-weighted and T1-weighted imaging to assess edge strength, node strength, and global efficiency of the structural connectome. Edge strength was estimated by pair-wise normalized streamline density from tractography and connectomics. Node strength and global efficiency were calculated through graph theory analysis of the connectome. Pure-tone audiometry and word recognition scores were used to correlate the degree and duration of unilateral hearing loss with node strength and global efficiency. We demonstrate significantly stronger edge strength and node strength through the visual network, weaker edge strength and node strength in the somatomotor network, and stronger global efficiency in the unilateral hearing loss patients. No discernible correlations were observed between the degree and duration of unilateral hearing loss and the measures of node strength or global efficiency. These findings contribute to our understanding of the role of structural connectivity in hearing by facilitating visual network upregulation and somatomotor network downregulation after unilateral hearing loss."
2024,Frontiers in neurology,Front Neurol. 2024 May 28;15:1403266. doi: 10.3389/fneur.2024.1403266. ,"['Niazi, Farbod', 'Han, Aline', 'Stamm, Lauren', 'Shlobin, Nathan A', 'Korman, Catherine', 'Hoang, Thien S', 'Kielian, Agnieszka', 'Du Pont-Thibodeau, Genevieve', 'Ducharme Crevier, Laurence', 'Major, Philippe', 'Nguyen, Dang K', 'Bouthillier, Alain', 'Ibrahim, George M', 'Fallah, Aria', 'Hadjinicolaou, Aristides', 'Weil, Alexander G']","['epilepsy surgery', 'neuromodulation', 'refractory status epilepctius (rse)', 'status epilepticus', 'super refractory status epilepticus (srse)']",Outcome of emergency neurosurgery in patients with refractory and super-refractory status epilepticus: a systematic review and individual participant data meta-analysis.,"BACKGROUND: Refractory (RSE) and super-refractory status epilepticus (SRSE) are serious neurological conditions requiring aggressive management. Beyond anesthetic agents, there is a lack of evidence guiding management in these patients. This systematic review and individual participant data meta-analysis (IPDMA) seeks to evaluate and compare the currently available surgical techniques for the acute treatment of RSE and SRSE. METHODS: A systematic review was performed according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses for Individual Participant Data (PRISMA-IPD). Only patients who underwent surgery while in RSE and SRSE were included. Descriptive statistics were used to compare various subgroups. Multivariable logistic regression models were constructed to identify predictors of status epilepticus (SE) cessation, long-term overall seizure freedom, and favorable functional outcome (i.e., modified Rankin score of 0-2) at last follow-up. RESULTS: A total of 87 studies including 161 participants were included. Resective surgery tended to achieve better SE cessation rate (93.9%) compared to non-resective techniques (83.9%), but this did not reach significance (p = 0.071). Resective techniques were also more likely to achieve seizure freedom (69.1% vs. 34.4%, p = <0.0001). Older age at SE (OR = 1.384[1.046-1.832], p = 0.023) was associated with increased likelihood of SE cessation, while longer duration of SE (OR = 0.603[0.362-1.003], p = 0.051) and new-onset seizures (OR = 0.244[0.069-0.860], p = 0.028) were associated with lower likelihood of SE cessation, but this did not reach significance for SE duration. Only shorter duration of SE prior to surgery (OR = 1.675[1.168-2.404], p = 0.0060) and immediate termination of SE (OR = 3.736 [1.323-10.548], p = 0.014) were independently associated with long-term seizure status. Rates of favorable functional outcomes (mRS of 0-2) were comparable between resective (44.4%) and non-resective (44.1%) techniques, and no independent predictors of outcome were identified. CONCLUSION: Our findings suggest that emergency neurosurgery may be a safe and effective alternative in patients with RSE/SRSE and may be considered earlier during the disease course. However, the current literature is limited exclusively to small case series and case reports with high risk of publication bias. Larger clinical trials assessing long-term seizure and functional outcomes are warranted to establish robust management guidelines."
2024 Jun,Neurosurgical focus,Neurosurg Focus. 2024 Jun;56(6):E17. doi: 10.3171/2024.3.FOCUS2462.,"['Zhang, Frederick', 'Mithani, Karim', 'Breitbart, Sara', 'Yan, Han', 'Fasano, Alfonso', 'Ibrahim, George M', 'Gorodetsky, Carolina']","['humans', ' deep brain stimulation methods', 'male', 'female', 'child', ' dystonia therapy', 'adolescent', ' actigraphy methods', ' sleep physiology', 'quality of life', 'dystonic disorders therapy', 'sleep wake disorders therapy etiology diagnosis', 'severity of illness index', 'treatment outcome', 'actigraphy', 'deep brain stimulation', 'pediatric dystonia', 'sleep']",Actigraph-based quantification of sleep in children with dystonia undergoing deep brain stimulation.,"OBJECTIVE: Dystonia is among the most common pediatric movement disorders and can manifest with a range of debilitating symptoms, including sleep disruptions. The duration and quality of sleep are strongly associated with quality of life in these individuals and could serve as biomarkers of dystonia severity and the efficacy of interventions such as deep brain stimulation (DBS). Thus, this study investigated sleep duration and its relationship to disease severity and DBS response in pediatric dystonia. METHODS: Actigraphs (wearable three-axis accelerometers) were used to record multiday sleep data in 22 children with dystonia, including 6 patients before and after DBS implantation, and age- and sex- matched healthy controls. Data were preprocessed, and metrics of sleep duration and quality were extracted. Repeated-measures statistical analyses were used. RESULTS: Children with dystonia slept less than typically developing children (p = 0.009), and shorter sleep duration showed trending correlation with worse dystonia severity (r = -0.421, p = 0.073). Of 4 patients who underwent DBS and had good-quality data, 1 demonstrated significantly improved sleep (p < 0.001) postoperatively. Reduction in dystonia severity strongly correlated with increased sleep duration after DBS implantation (r = -0.965, p = 0.035). CONCLUSIONS: Sleep disturbances are an underrecognized marker of pediatric dystonia severity, as well as the effectiveness of interventions such as DBS. They can serve as objective biomarkers of disease burden and symptom progression after treatment."
2024 Jun 1,Annals of neurology,Ann Neurol. 2024 Jun 1. doi: 10.1002/ana.26956.,"['Suresh, Hrishikesh', 'Mithani, Karim', 'Warsi, Nebras', 'Ochi, Ayako', 'Otsubo, Hiroshi', 'Drake, James M', 'Rutka, James T', 'Kerr, Elizabeth', 'Smith, Mary Lou', 'Breitbart, Sara', 'Yau, Ivanna', 'McRae, Lyndsey', 'Chau, Vann', 'Weiss, Shelly', 'Jain, Puneet', 'Donner, Elizabeth', 'Fasano, Alfonso', 'Gorodetsky, Carolina', 'Ibrahim, George M']",[],Add-On Deep Brain Stimulation versus Continued Vagus Nerve Stimulation for Childhood Epilepsy (ADVANCE): A Partially Randomized Patient Preference Trial.,"Outcomes following vagus nerve stimulation (VNS) improve over years after implantation in children with drug-resistant epilepsy. The added value of deep brain stimulation (DBS) instead of continued VNS optimization is unknown. In a prospective, non-blinded, randomized patient preference trial of 18 children (aged 8-17 years) who did not respond to VNS after at least 1 year, add-on DBS resulted in greater seizure reduction compared with an additional year of VNS optimization (51.9% vs. 12.3%, p = 0.047). Add-on DBS also resulted in less bothersome seizures (p = 0.03), but no change in quality of life. DBS may be considered earlier for childhood epilepsy after non-response to VNS. ANN NEUROL 2024."
2024 May 7,Stereotactic and functional neurosurgery,Stereotact Funct Neurosurg. 2024 May 7:1-8. doi: 10.1159/000538418.,"['Alamri, Abdullah', 'Breitbart, Sara', 'Warsi, Nebras', 'Rayco, Eriberto', 'Ibrahim, George', 'Fasano, Alfonso', 'Gorodetsky, Carolina']","['deep brain stimulation', 'l2-hydroxyglutaric aciduria', 'pediatric dystonia']",Deep Brain Stimulation of the Globus Pallidus Internus in a Child with Refractory Dystonia due to L2-Hydroxyglutaric Aciduria.,"INTRODUCTION: L-2-hydroxyglutaric aciduria (L2HGA) is a rare neurometabolic disorder marked by progressive and debilitating psychomotor deficits. Here, we report the first patient with L2HGA-related refractory dystonia that was managed with deep brain stimulation to the bilateral globus pallidus internus (GPi-DBS). CASE PRESENTATION: We present a 17-year-old female with progressive decline in cognitive function, motor skills, and language ability which significantly impaired activities of daily living. Neurological exam revealed generalized dystonia, significant choreic movements in the upper extremities, slurred speech, bilateral dysmetria, and a wide-based gait. Brisk deep tendon reflexes, clonus, and bilateral Babinski signs were present. Urine 2-OH-glutaric acid level was significantly elevated. Brain MRI showed extensive supratentorial subcortical white matter signal abnormalities predominantly involving the U fibers and bilateral basal ganglia. Genetic testing identified a homozygous pathogenic mutation in the L-2-hydroxyglutarate dehydrogenase gene c. 164G&gt;A (p. Gly55Asp). Following minimal response to pharmacotherapy, GPi-DBS was performed. Significant increases in mobility and decrease in dystonia were observed at 3 weeks, 6 months, and 12 months postoperatively. CONCLUSION: This is the first utilization of DBS as treatment for L2HGA-related dystonia. The resulting significant improvements indicate that pallidal neuromodulation may be a viable option for pharmaco-resistant cases, and possibly in other secondary metabolic dystonias."
2024,NeuroImage. Clinical,Neuroimage Clin. 2024;42:103613. doi: 10.1016/j.nicl.2024.103613. Epub 2024 May ,"['Mithani, Karim', 'Richards, Oliver L', 'Ebden, Mark', 'Malik, Noor', 'Greuter, Ladina', 'Suresh, Hrishikesh', 'Niazi, Farbod', 'Gouveia, Flavia Venetucci', 'Widjaja, Elysa', 'Weiss, Shelly', 'Donner, Elizabeth', 'Otsubo, Hiroshi', 'Ochi, Ayako', 'Jain, Puneet', 'Yau, Ivanna', 'Kerr, Elizabeth N', 'Rutka, James T', 'Drake, James M', 'Weil, Alexander G', 'Ibrahim, George M']","['humans', ' hamartoma surgery physiopathology diagnostic imaging complications', 'male', 'female', ' hypothalamic diseases surgery physiopathology diagnostic imaging', ' laser therapy methods', 'child', 'child, preschool', ' magnetic resonance imaging methods', ' thalamus diagnostic imaging physiopathology surgery', 'infant', 'adolescent', 'epilepsies, partial surgery physiopathology diagnostic imaging', 'nerve net diagnostic imaging physiopathology', 'treatment outcome', 'connectomics', 'epilepsy surgery', 'gelastic epilepsy', 'hypothalamic hamartoma', 'laser interstitial thermal therapy', 'pathologic laughter']",Intraoperative changes in large-scale thalamic circuitry following laser ablation of hypothalamic hamartomas.,"BACKGROUND AND OBJECTIVES: Gelastic seizures due to hypothalamic hamartomas (HH) are challenging to treat, in part due to an incomplete understanding of seizure propagation pathways. Although magnetic resonance imaging-guided laser interstitial thermal therapy (MRgLITT) is a promising intervention to disconnect HH from ictal propagation networks, the optimal site of ablation to achieve seizure freedom is not known. In this study, we investigated intraoperative post-ablation changes in resting-state functional connectivity to identify large-scale networks associated with successful disconnection of HH. METHODS: Children who underwent MRgLITT for HH at two institutions were consecutively recruited and followed for a minimum of one year. Seizure freedom was defined as Engel score of 1A at the last available follow-up. Immediate pre- and post- ablation resting-state functional MRI scans were acquired while maintaining a constant depth of general anesthetic. Multivariable generalized linear models were used to identify intraoperative changes in large-scale connectivity associated with seizure outcomes. RESULTS: Twelve patients underwent MRgLITT for HH, five of whom were seizure-free at their last follow-up. Intraprocedural changes in thalamocortical circuitry involving the anterior cingulate cortex were associated with seizure-freedom. Children who were seizure-free demonstrated an increase and decrease in connectivity to the pregenual and dorsal anterior cingulate cortices, respectively. In addition, children who became seizure-free demonstrated increased thalamic connectivity to the periaqueductal gray immediately following MRgLITT. DISCUSSION: Successful disconnection of HH is associated with intraoperative, large-scale changes in thalamocortical connectivity. These changes provide novel insights into the large-scale basis of gelastic seizures and may represent intraoperative biomarkers of treatment success."
2024 Jul,Epilepsy research,Epilepsy Res. 2024 Jul;203:107367. doi: 10.1016/j.eplepsyres.2024.107367. Epub ,"['Alashjaie, Ream', 'Kerr, Elizabeth N', 'AlShoumer, Azhar', 'Hawkins, Cynthia', 'Yau, Ivanna', 'Weiss, Shelly', 'Ochi, Ayako', 'Otsubo, Hiroshi', 'Krishnan, Pradeep', 'Widjaja, Elysa', 'Ibrahim, George M', 'Donner, Elizabeth J', 'Jain, Puneet']","['humans', ' hippocampus pathology surgery', ' sclerosis surgery', 'male', 'female', 'child', ' drug resistant epilepsy surgery pathology', 'adolescent', 'retrospective studies', 'treatment outcome', 'child, preschool', 'magnetic resonance imaging', 'electroencephalography methods', 'neuropsychological tests', 'anterior temporal lobectomy methods', 'hippocampal sclerosis', 'amygdalo-hippocampectomy', 'anterior temporal lobectomy', 'epilepsy surgery', 'focal cortical dysplasia', 'mesial temporal lobe sclerosis', 'outcomes', 'pediatric']",Surgical outcomes in children with drug-resistant epilepsy and hippocampal sclerosis.,"BACKGROUND: Hippocampal sclerosis (HS) is a common surgical substrate in adult epilepsy surgery cohorts but variably reported in various pediatric cohorts. OBJECTIVE: We aimed to study the epilepsy phenotype, radiological and pathological variability, seizure and neurocognitive outcomes in children with drug-resistant epilepsy and hippocampal sclerosis (HS) with or without additional subtle signal changes in anterior temporal lobe who underwent surgery. METHODS: This retrospective study enrolled children with drug-resistant focal epilepsy and hippocampal sclerosis with or without additional subtle T2-Fluid Attenuated Inversion Recovery (FLAR)/Proton Density (PD) signal changes in anterior temporal lobe who underwent anterior temporal lobectomy with amygdalohippocampectomy. Their clinical, EEG, neuropsychological, radiological and pathological data were reviewed and summarized. RESULTS: Thirty-six eligible patients were identified. The mean age at seizure onset was 3.7 years; 25% had daily seizures at time of surgery. Isolated HS was noted in 22 (61.1%) cases and additional subtle signal changes in ipsilateral temporal lobe in 14 (38.9%) cases. Compared to the normative population, the group mean performance in intellectual functioning and most auditory and visual memory tasks were significantly lower than the normative sample. The mean age at surgery was 12.3 years; 22 patients (61.1%) had left hemispheric surgeries. ILAE class 1 outcomes was seen in 28 (77.8%) patients after a mean follow up duration of 2.3 years. Hippocampal sclerosis was noted pathologically in 32 (88.9%) cases; type 2 (54.5%) was predominant subtype where further classification was possible. Additional pathological abnormalities were seen in 11 cases (30.6%); these had had similar rates of seizure freedom as compared to children with isolated hippocampal sclerosis/gliosis (63.6% vs 84%, p=0.21). Significant reliable changes were observed across auditory and visual memory tasks at an individual level post surgery. CONCLUSIONS: Favourable seizure outcomes were seen in most children with isolated radiological hippocampal sclerosis. Patients with additional pathological abnormalities had similar rates of seizure freedom as compared to children with isolated hippocampal sclerosis/gliosis."
2024 Apr,Seizure,Seizure. 2024 Apr;117:293-297. doi: 10.1016/j.seizure.2024.04.002. Epub 2024 Apr ,"['Wong, Simeon M', 'Arski, Olivia N', 'Ibrahim, George M']","['humans', ' algorithms', ' electrodes, implanted', ' electroencephalography methods', ' magnetic resonance imaging methods', ' stereotaxic techniques', 'male', 'female', 'brain diagnostic imaging', 'adult', 'tomography, x-ray computed', 'drug resistant epilepsy surgery diagnostic imaging physiopathology', 'brain mapping methods', 'ct', 'mri', 'registration', 'stereoelectroencephalography']",An automated algorithm for stereoelectroencephalography electrode localization and labelling.,"PURPOSE: Stereoelectroencephalography (sEEG) is increasingly utilized for localization of seizure foci, functional mapping, and neurocognitive research due to its ability to target deep and difficult to reach anatomical locations and to study in vivo brain function with a high signal-to-noise ratio. The research potential of sEEG is constrained by the need for accurate localization of the implanted electrodes in a common template space for group analyses. METHODS: We present an algorithm to automate the grouping of sEEG electrodes by trajectories, labelled by target and insertion point. This algorithm forms the core of a pipeline that fully automates the entire process of electrode localization in standard space, using raw CT and MRI images to produce atlas labelled MNI coordinates. RESULTS: Across 196 trajectories from 20 patients, the pipeline successfully processed 190 trajectories with localizations within 0.25±0.55 mm of the manual annotation by two reviewers. Six electrode trajectories were not directly identified due to metal artifacts and locations were interpolated based on the first and last contact location and the number of contacts in that electrode as listed in the surgical record. CONCLUSION: We introduce our algorithm and pipeline for automatically localizing, grouping, and classifying sEEG electrodes from raw CT and MRI. Our algorithm adds to existing pipelines and toolboxes for electrode localization by automating the manual step of marking and grouping electrodes, thereby expedites the analyses of sEEG data, particularly in large datasets."
2024 Apr 11,Translational psychiatry,Transl Psychiatry. 2024 Apr 11;14(1):186. doi: 10.1038/s41398-023-02727-5.,"['Zhang, Kristina K', 'Matin, Rafi', 'Gorodetsky, Carolina', 'Ibrahim, George M', 'Gouveia, Flavia Venetucci']","['mice', 'humans', 'rats', 'animals', ' deep brain stimulation methods', 'rodentia', 'brain', ' epilepsy', 'hippocampus']","Systematic review of rodent studies of deep brain stimulation for the treatment of neurological, developmental and neuropsychiatric disorders.","Deep brain stimulation (DBS) modulates local and widespread connectivity in dysfunctional networks. Positive results are observed in several patient populations; however, the precise mechanisms underlying treatment remain unknown. Translational DBS studies aim to answer these questions and provide knowledge for advancing the field. Here, we systematically review the literature on DBS studies involving models of neurological, developmental and neuropsychiatric disorders to provide a synthesis of the current scientific landscape surrounding this topic. A systematic analysis of the literature was performed following PRISMA guidelines. 407 original articles were included. Data extraction focused on study characteristics, including stimulation protocol, behavioural outcomes, and mechanisms of action. The number of articles published increased over the years, including 16 rat models and 13 mouse models of transgenic or healthy animals exposed to external factors to induce symptoms. Most studies targeted telencephalic structures with varying stimulation settings. Positive behavioural outcomes were reported in 85.8% of the included studies. In models of psychiatric and neurodevelopmental disorders, DBS-induced effects were associated with changes in monoamines and neuronal activity along the mesocorticolimbic circuit. For movement disorders, DBS improves symptoms via modulation of the striatal dopaminergic system. In dementia and epilepsy models, changes to cellular and molecular aspects of the hippocampus were shown to underlie symptom improvement. Despite limitations in translating findings from preclinical to clinical settings, rodent studies have contributed substantially to our current knowledge of the pathophysiology of disease and DBS mechanisms. Direct inhibition/excitation of neural activity, whereby DBS modulates pathological oscillatory activity within brain networks, is among the major theories of its mechanism. However, there remain fundamental questions on mechanisms, optimal targets and parameters that need to be better understood to improve this therapy and provide more individualized treatment according to the patient's predominant symptoms."
2024 Mar 4,JAMA network open,JAMA Netw Open. 2024 Mar 4;7(3):e242551. doi: 10.1001/jamanetworkopen.2024.2551.,"['Selvanathan, Thiviya', 'Ufkes, Steven', 'Guo, Ting', 'Chau, Vann', 'Branson, Helen M', 'Ibrahim, George M', 'Ly, Linh G', 'Kelly, Edmond N', 'Grunau, Ruth E', 'Miller, Steven P']","['infant', 'infant, newborn', 'male', 'humans', 'female', ' infant, premature', 'cohort studies', ' diffusion tensor imaging', 'prospective studies', 'brain pathology', 'fetal growth retardation', 'pain']",Pain Exposure and Brain Connectivity in Preterm Infants.,"IMPORTANCE: Early-life exposure to painful procedures has been associated with altered brain maturation and neurodevelopmental outcomes in preterm infants, although sex-specific differences are largely unknown. OBJECTIVE: To examine sex-specific associations among early-life pain exposure, alterations in neonatal structural connectivity, and 18-month neurodevelopment in preterm infants. DESIGN, SETTING, AND PARTI"
