time,journal,doi_info,authors,key words,title,abstract
2024 Jun 25,Biomacromolecules,Biomacromolecules. 2024 Jun 25. doi: 10.1021/acs.biomac.4c00457.,"['Mototsune, Owen M', 'Hong, Sung Hwa', 'Naguib, Hani E', 'Master, Emma R']",[],Enzymatically Oxidized Carbohydrates As Dicarbonyl Biobased Cross-Linkers for Polyamines.,"Carbonyl cross-linkers are used to modify textiles and form resins, and are produced annually in megatonne volumes. Due to their toxicity toward the environment and human health, however, less harmful biobased alternatives are needed. This study introduces carbonyl groups to lactose and galactose using galactose oxidase from Fusarium graminearum (FgrGalOx) and pyranose dehydrogenase from Agaricus bisporus (AbPDH1) to produce four cross-linkers. Differential scanning calorimetry was used to compare cross-linker reactivity, most notably resulting in a 34 °C decrease in reaction peak temperature (72 °C) for FgrGalOx-oxidized galactose compared to unmodified galactose. Attenuated total reflectance Fourier-transform infrared (ATR-FTIR) spectroscopy, X-ray photoelectron spectroscopy (XPS), and proton nuclear magnetic resonance ((1)H NMR) spectroscopy were used to verify imine formation and amine and aldehyde depletion. Cross-linkers were shown to form gels when mixed with polyallylamine, with FgrGalOx-oxidized lactose forming gels more effectively than all other cross-linkers, including glutaraldehyde. Further development of carbohydrate cross-linker technologies could lead to their adoption in various applications, including in adhesives, resins, and textiles."
2024 Jun 4,Biomedical engineering online,Biomed Eng Online. 2024 Jun 4;23(1):51. doi: 10.1186/s12938-024-01246-8.,"['Garnier, Baptiste', 'Marquez-Chin, Melissa', 'DiNunzio, Stephanie', 'Iwasa, Stephanie N', 'Saadatnia, Zia', 'Naguib, Hani E', 'Popovic, Milos R']","[' textiles', ' electrodes', 'humans', 'electric stimulation instrumentation', 'equipment design', 'male', 'adult', 'electric conductivity', 'carbon chemistry', 'torque', 'dry electrodes', 'functional electrical stimulation', 'rehabilitation', 'sleeve', 'smart textile']",A novel functional electrical stimulation sleeve based on textile-embedded dry electrodes.,"BACKGROUND: Functional electrical stimulation (FES) is a rehabilitation technique that enables functional improvements in patients with motor control impairments. This study presents an original design and prototyping method for a smart sleeve for FES applications. The article explains how to integrate a carbon-based dry electrode into a textile structure and ensure an electrical connection between the electrodes and the stimulator for effective delivery of the FES. It also describes the materials and the step-by-step manufacturing processes. RESULTS: The carbon-based dry electrode is integrated into the textile substrate by a thermal compression molding process on an embroidered conductive matrix. This matrix is composed of textile silver-plated conductive yarns and is linked to the stimulator. Besides ensuring the electrical connection, the matrix improves the fixation between the textile substrate and the electrode. The stimulation intensity, the perceived comfort and the muscle torque generated by the smart FES sleeve were compared to hydrogel electrodes. The results show a better average comfort and a higher average stimulation intensity with the smart FES sleeve, while there were no significant differences for the muscle torque generated. CONCLUSIONS: The integration of the proposed dry electrodes into a textile is a viable solution. The wearable FES system does not negatively impact the electrodes' performance, and tends to improve it. Additionally, the proposed prototyping method is applicable to an entire garment in order to target all muscles. Moreover, the process is feasible for industrial production and commercialization since all materials and processes used are already available on the market."
2024 Jun 5,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2024 Jun 5;16(22):29291-29304. doi: ,"['Kheradmandkeysomi, Mohamad', 'Salehi, Amirmehdi', 'Jalali, Amirjalal', 'Omranpour, Hosseinali', 'Tafreshi, Omid Aghababaei', 'Naguib, Hani E', 'Park, Chul B']","['compatibilizer', 'interface', 'nanofibrillar composites', 'supertough polymer', 'thermoplastic polyester ether elastomer (tpee)']",Enhancing Mechanical Performance of High-Density Polyethylene at Different Environmental Conditions with Outstanding Foamability through In-Situ Rubber Nanofibrillation: Exploring the Impact of Interface Modification.,"In this study, we utilized in situ nanofibrillation of thermoplastic polyester ether elastomer (TPEE) within a high-density polyethylene (HDPE) matrix to enhance the rheological properties, foamability, and mechanical characteristics of the HDPE nanocomposite at both room and subzero temperatures. Due to the inherent polarity differences between these two components, TPEE is thermodynamically incompatible with the nonpolar HDPE. To address this compatibility issue, we employed a compatibilizer, styrene/ethylene-butylene/styrene copolymer-grafted maleic anhydride (SEBS-g-MA), to reduce the interfacial tension between the two blend components. In the initial step, we prepared a 10% masterbatch of HDPE/TPEE with and without the compatibilizer using a twin-screw extruder. Subsequently, we processed the 10% masterbatch further through spun bonding to create fiber-in-fiber composites. Scanning electron microscopy (SEM) analysis revealed a significant reduction in the spherical size of HDPE/TPEE particles following the inclusion of SEBS-g-MA, as well as a much smaller TPEE nanofiber size (approximately 60-70 nm for 5% TPEE). Moreover, extensional rheological testing revealed a notable enhancement in extensional rheological properties, with strain-hardening behavior being more pronounced in the compatibilized nanofibrillar composites compared to the noncompatibilized ones. SEM images of the foam structures depicted substantial improvement in the foamability of HDPE in terms of the cell size and density following the nanofibrillation process and the use of the compatibilizer. Ultimately, the in situ rubber fibrillation and enhancement of HDPE and TPEE interface using a compatibilizer led to increasing the HDPE ductility at room and subzero temperatures while maintaining its stiffness."
2024 Apr 29,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2024 Apr 29. doi: 10.1021/acsami.4c00415.,"['Fashandi, Maryam', 'Rejeb, Zeineb Ben', 'Naguib, Hani E', 'Park, Chul B']","['cnt', 'gnp', 'pvtms', 'voc adsorption', 'melamine foam', 'silica aerogel']","Melamine Network as a Solution for Significant Enhancement of the Mechanical, Adsorptive, and Surface Properties in a Novel Carbon Nanomaterial-Silica Aerogel Composite.","Silica aerogels exhibit exceptional characteristics such as mesoporosity, light weight, high surface area, and pore volume. Nevertheless, their utilization in industrial settings remains constrained due to their brittleness, moisture sensitivity, and costly synthesis procedure. Several studies have proved that adding nanofillers, such as carbon nanotubes (CNT) or graphene nanoplatelets (GNP), can improve the mechanical strength of the aerogels. The incorporation of nanofillers is often accompanied by agglomeration and pore blockage, which, in turn, deteriorates the surface area, pore volume, and low density. Including flexible melamine foam (MF) as a scaffold for the silica aerogel and nanofiller composite can prevent the restacking of the nanofillers through π-π interaction, hence maintaining the incredible properties of aerogels and improving their mechanical properties. CNT, GNP, and the polymeric silica precursor, polyvinyltrimethoxysilane (PVTMS), were added to a MF, at varying concentrations, to fabricate the MF-aerogel nanocomposites. Surfactant and sonication were utilized to ensure a homogeneous dispersion of the nanofillers in the system. The presence of MF prevented the agglomeration of nanofillers, resulting in lower density and relatively higher surface properties (S(BET) up to 929 m(2)·g(-1) and pore volume up to 4.34 cc·g(-1)). Moreover, the MF-supported samples could endure 80% strain without breakage and showed an outstanding compressive strength of up to ∼20 MPa. These aerogel nanocomposites also demonstrated an excellent volatile organic compound (∼2680 mg·g(-1)) and cationic dye adsorption (∼10 mg·g(-1))."
2024 Jan 26,Biomedical engineering online,Biomed Eng Online. 2024 Jan 26;23(1):10. doi: 10.1186/s12938-024-01200-8.,"['Marquez-Chin, Melissa', 'Saadatnia, Zia', 'Sun, Yu-Chen', 'Naguib, Hani E', 'Popovic, Milos R']","['humans', ' resin cements', ' rubber', 'electric stimulation', 'hydrogels', 'electrodes', 'carbon', 'comfort', 'dry electrode', 'functional electrical stimulation', 'torque']",A dry polymer nanocomposite transcutaneous electrode for functional electrical stimulation.,"BACKGROUND: Functional electrical stimulation (FES) can be used in rehabilitation to aid or improve function in people with paralysis. In clinical settings, it is common practice to use transcutaneous electrodes to apply the electrical stimulation, since they are non-invasive, and can be easily applied and repositioned as necessary. However, the current electrode options available for transcutaneous FES are limited and can have practical disadvantages, such as the need for a wet interface with the skin for better comfort and performance. Hence, we were motivated to develop a dry stimulation electrode which could perform equivalently or better than existing commercially available options. METHODS: We manufactured a thin-film dry polymer nanocomposite electrode, characterized it, and tested its performance for stimulation purposes with thirteen healthy individuals. We compared its functionality in terms of stimulation-induced muscle torque and comfort level against two other types of transcutaneous electrodes: self-adhesive hydrogel and carbon rubber. Each electrode type was also tested using three different stimulators and different intensity levels of stimulation. RESULTS: We found the proposed dry polymer nanocomposite electrode to be functional for stimulation, as there was no statistically significant difference between its performance to the other standard electrodes. Namely, the proposed dry electrode had comparable muscle torque generated and comfort level as the self-adhesive hydrogel and carbon rubber electrodes. From all combinations of electrode type and stimulators tested, the dry polymer nanocomposite electrode with the MyndSearch stimulator had the most comfortable average rating. CONCLUSIONS: The dry polymer nanocomposite electrode is a durable and flexible alternative to existing self-adhesive hydrogel and carbon rubber electrodes, which can be used without the addition of a wet interfacing agent (i.e., water or gel) to perform as well as the current electrodes used for stimulation purposes."
2023 Dec,Journal of intelligent material systems and structures,J Intell Mater Syst Struct. 2023 Dec;34(20):2379-2392. doi: ,"['Wickeler, Anastasia L', 'McLellan, Kyra', 'Sun, Yu-Chen', 'Naguib, Hani E']","['4d printing', 'kresling pattern', 'yoshimura pattern', 'accordion pattern', 'origami structure']","4D printed origami-inspired accordion, Kresling and Yoshimura tubes.","Applying tessellated origami patterns to the design of mechanical materials can enhance properties such as strength-to-weight ratio and impact absorption ability. Another advantage is the predictability of the deformation mechanics since origami materials typically deform through the folding and unfolding of their creases. This work focuses on creating 4D printed flexible tubular origami based on three different origami patterns: the accordion, the Kresling and the Yoshimura origami patterns, fabricated with a flexible polylactic acid (PLA) filament with heat-activated shape memory effect. The shape memory characteristics of the self-unfolding structures were then harnessed at 60°C, 75°C and 90°C. Due to differences in the folding patterns of each origami design, significant differences in behaviour were observed during shape programming and actuation. Among the three patterns, the accordion proved to be the most effective for actuation as the overall structure can be compressed following the folding crease lines. In comparison, the Kresling pattern exhibited cracking at crease locations during deformation, while the Yoshimura pattern buckled and did not fold as expected at the crease lines. To demonstrate a potential application, an accordion-patterned origami 4D printed tube for use in hand rehabilitation devices was designed and tested as a proof-of-concept prototype incorporating self-unfolding origami."
2023 Nov 1,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2023 Nov 1;15(43):50360-50377. doi: ,"['Aghababaei Tafreshi, Omid', 'Saadatnia, Zia', 'Ghaffari-Mosanenzadeh, Shahriar', 'Kumar, Ambrish', 'Salari, Meysam', 'Mohseni Taromsari, Sara', 'Rastegardoost, Mohammad Mahdi', 'Park, Chul B', 'Naguib, Hani E']","['aerogel composites', 'carbon nanotubes', 'electrical conductivity', 'supercapacitor', 'surface area']","Flexible, Thermally Stable, and Ultralightweight Polyimide-CNT Aerogel Composite Films for Energy Storage Applications.","Polyimide (PI) aerogels are promising in various fields of application, ranging from thermal insulators to aerospace. However, they are typically in the form of a bulk monolith, which suffers from a lack of conformability and drapability. Moreover, their electrical conductivity is limited, and they mainly display an insulative behavior. These shortcomings can limit the applications of PI aerogels in energy storage systems, which require ultralightweight flexible conductive films, which at the same time offer high thermal stability, ultralow density, and high surface area. To overcome these obstacles, the present study reports the fabrication of PI-carbon nanotube (PI-CNT) aerogel composite films with varying CNT content prepared through a sol-gel preparation method, followed by a supercritical drying procedure. Compared to pristine PI aerogels, which displayed a large shrinkage and density of 18.3% and 0.12 g cm(-3), respectively, the incorporation of only 5 wt % CNTs resulted in a significant reduction of both shrinkage and density to only 11.5% and 0.10 g cm(-3), respectively. This suggests the importance of CNTs in improving the dimensional stability of aerogels and creating a robust network. Further characterizations showed that incorporation of 5 wt % CNTs also resulted in the highest pore volume (1.25 cm(3) g(-1)), highest surface area (324 m(2) g(-1)), highest real permittivity (80), highest electrical conductivity (3 × 10(-1) S m(-1)), and ultrahigh service temperature (575 °C). It was also shown that the aerogel films can withstand a large degree of bending, can be twisted, and can be fully rolled with no obvious cracks propagated in the structure. The combined outstanding properties of the developed aerogel composite films make them promising potential candidates for supercapacitor electrodes. Therefore, the electrochemical performance of the devices based on aerogel electrodes was further studied. The device demonstrated a high energy density of 2.6 Wh kg(-1) at a power density of 303.8 W kg(-1). The total capacitance after 5000 cycles was 91.8% of the initial capacitance, which indicated excellent stability and durability of the device. Overall, this work provides a facile yet effective methodology for the development of high-performance aerogel materials for energy storage applications."
2023 Nov,Acta biomaterialia,Acta Biomater. 2023 Nov;171:392-405. doi: 10.1016/j.actbio.2023.08.056. Epub 2023 ,"['Chen, Tianhao', 'Lau, Kylie Sin Ki', 'Hong, Sung Hwa', 'Shi, Hao Tian Harvey', 'Iwasa, Stephanie N', 'Chen, Jia Xi Mary', 'Li, Terek', 'Morrison, Taylor', 'Kalia, Suneil K', 'Popovic, Milos R', 'Morshead, Cindi M', 'Naguib, Hani E']","[' cryogels', ' neural stem cells', 'electrodes', 'neurons physiology', 'electric conductivity', 'electric stimulation', 'electrodes, implanted', 'brain stimulation', 'conductive polymers', 'cryogel', 'neural precursor cells', 'neuromodulation']",Cryogel-based neurostimulation electrodes to activate endogenous neural precursor cells.,"The delivery of electrical pulses to the brain via penetrating electrodes, known as brain stimulation, has been recognized as an effective clinical approach for treating neurological disorders. Resident brain neural precursor cells (NPCs) are electrosensitive cells that respond to electrical stimulation by expanding in number, migrating and differentiating which are important characteristics that support neural repair. Here, we report the design of a conductive cryogel brain stimulation electrode specifically developed for NPC activation. The cryogel electrode has a modulus switching mechanism permitting facile penetration and reducing the mechanical mismatch between brain tissue and the penetrating electrode. The cryogel demonstrated good in vivo biocompatibility and reduced the interfacial impedance to deliver the stimulating electric field with lower voltage under charge-balanced current controlled stimulation. An ex vivo assay reveals that electrical stimulation using the cryogel electrodes results in significant expansion in the size of NPC pool. Hence, the cryogel electrodes have the potential to be used for NPC activation to support endogenous neural repair. STATEMENT OF SIGNIFICANCE: The objective of this study is to develop a cryogel-based stimulation electrode as an alternative to traditional electrode materials to be used in regenerative medicine applications for enhancing neural regeneration in brain. The electrode offers benefits such as adaptive modulus for implantation, high charge storage and injection capacities, and modulus matching with brain tissue, allowing for stable delivery of electric field for long-term neuromodulation. The electrochemical properties of cryogel electrodes were characterized in living tissue with an ex vivo set-up, providing a deeper understanding of stimulation capacity in brain environments. The cryogel electrode is biocompatible and enables low voltage, current-controlled stimulation for effective activation of endogenous neural precursor cells, revealing their potential utility in neural stem cell-mediated brain repair."
2023 Sep 14,Nanoscale,Nanoscale. 2023 Sep 14;15(35):14531-14542. doi: 10.1039/d3nr03231k.,"['Huang, Yuhang', 'Li, Shangyu', 'Zettle, Logan W C', 'Ma, Yingshan', 'Naguib, Hani E', 'Kumacheva, Eugenia']","['nanogels', ' cell-free nucleic acids', ' chitosan', ' nanoparticles']",Nanogels designed for cell-free nucleic acid sequestration.,"Chronic wounds exhibit over-expression of cell-free deoxyribonucleic acid (cfDNA), leading to a prolonged inflammation and non-healing wounds. Scavenging excessive cfDNA molecules is a promising strategy for chronic wound treatment. Nanoscopic particles act as efficient cfDNA scavengers due to their large surface area, however their efficiency in cfDNA uptake was limited by adsorption solely on the nanoparticle surface. In contrast, nanogels may provide multiple cfDNA binding sites in the nanoparticle interior, however their use for cfDNA scavenging is yet to be explored. Herein, we report cationic nanogels derived from a copolymer of chitosan and poly{2-[(acryloyloxy)ethyl]trimethylammonium chloride} end-grafted to the chitosan backbone as side chains. The nanogels retain their positive charge at the pH and ionic strength of chronic wound exudate, enabling electrostatically driven cfDNA scavenging. The network structure of the nanogels leads to the cfDNA sequestration in the nanogel interior, in addition to surface attachment. A key factor in cfDNA sequestration is the ratio of the pore size of the nanogel-to-cfDNA molecular dimensions. The enhanced cfDNA scavenging efficiency, along with biocompatibility of the nanogels, makes them a promising component of dressings for chronic wound treatment."
2023 Jul 19,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2023 Jul 19;15(28):34008-34022. doi: ,"['Aubeeluck, D Anastasia', 'Forbrigger, Cameron', 'Taromsari, Sara Mohseni', 'Chen, Tianhao', 'Diller, Eric', 'Naguib, Hani E']","[' nanotubes, carbon', 'touch', 'mechanical phenomena', ' wearable electronic devices', 'magnetic phenomena', 'flexible electronic devices', 'multi-walled carbon nanotubes', 'piezoresistive', 'pressure sensors', 'robot-assisted minimally invasive surgery', 'screen printing', 'thermoplastic polyurethane']",Screen-Printed Resistive Tactile Sensor for Monitoring Tissue Interaction Forces on a Surgical Magnetic Microgripper.,"With the recent development of novel miniaturized magnetically controlled microgripper surgical tools (of diameter 4 mm) for robot-assisted minimally invasive endoscopic intraventricular surgery, the surgeon loses feedback from direct physical contact with the tissue. In this case, surgeons will have to rely on tactile haptic feedback technologies to retain their ability to limit tissue trauma and its associated complications during operations. Current tactile sensors for haptic feedback cannot be integrated to the novel tools primarily due to size limitations and low force range requirements of these highly dextrous surgical operations. This study introduces the design and fabrication of a novel 9 mm(2), ultra-thin and flexible resistive tactile sensor whose operation is based on variation of resistivity due to changes in contact area and piezoresistive (PZT) effect of the sensor's materials and sub-components. Structural optimization was performed on the sub-components of the sensor design, including microstructures, interdigitated electrodes, and conductive materials in order to improve minimum detection force while maintaining low hysteresis and unwanted sensor actuation. To achieve a low-cost design suitable for disposable tools, multiple layers of the sensor sub-component were screen-printed to produce thin flexible films. Multi-walled carbon nanotubes and thermoplastic polyurethane composites were fabricated, optimized, and processed into suitable inks to produce conductive films to be assembled with printed interdigitated electrodes and microstructures. The assembled sensor's electromechanical performance indicated three distinct linear sensitivity modes within the sensing range of 0.04-1.3 N. Results also indicated repeatable and low-time responses while maintaining the flexibility and robustness of the overall sensor. This novel ultra-thin screen-printed tactile sensor of 110 μm thickness is comparable to more expensive tactile sensors in terms of performance and can be mounted onto the magnetically controlled micro-scale surgical tools to increase the safety and quality of endoscopic intraventricular surgeries."
