time,journal,doi_info,authors,key words,title,abstract
2024,PloS one,PLoS One. 2024 May 10;19(5):e0303302. doi: 10.1371/journal.pone.0303302. ,"['Carrera, Alessandro', 'Lettieri, Emanuele', 'Lietti, Gaia', 'Martignoni, Sara', 'Sgarbossa, Chiara', 'Cafazzo, Joseph']","['humans', ' physicians psychology', ' attitude of health personnel', 'surveys and questionnaires', 'male', 'female', 'adult', 'middle aged', 'delivery of health care', 'digital technology']",Therapies go digital. What drives physicians' acceptance?,"National healthcare systems face multiple challenges, including the increasing demand for care and decreasing availability of healthcare professionals. Digital health technologies represent opportunities that offer improved efficiency, accessibility, and patient care. In this scenario, Digital Therapeutics are technological advancements to treat or alleviate a disease and deliver a medical intervention with evidence-based therapeutic impacts and regulatory approval. Digital Therapeutics are a paradigm shift for physicians, who exercise caution in terms of trust and wide usage. Digital Therapeutics represents an opportunity and a challenge in healthcare system integration. The research investigates the factors explaining physicians' acceptance of Digital Therapeutics. A research model that combines organizational mechanisms derived from Institutional Theory and rational factors derived from the Technology Acceptance model was developed. The model was tested through 107 responses from a survey distributed to the members of the leading Italian scientific society in Diabetology. Literature-based hypotheses were empirically tested through Structural Equation Modelling. The analysis confirmed the influence of Perceived Ease of Use on Perceived Usefulness and Perceived Usefulness on the Intention To Use Digital Therapeutics. Rules and norms impact Perceived Usefulness when considering the influence of the scientific society. Culture and mindset towards innovation within the hospital positively affect Perceived Ease of Use. The readiness of hospital facilities enhances the extent to which physicians perceive the ease of employing Digital Therapeutics in their daily practice. Instead, esteemed colleagues' opinions and guidelines from the scientific society reveal to physicians the value of Digital Therapeutics in patients' care pathways. Institutions should prioritize cultural, normative, and regulative aspects to accelerate physicians' endorsement of Digital Therapeutics. Findings advance the theoretical knowledge around clinicians' adoption of innovative digital health technologies, unveiling the interaction between rational and institutional factors. The results highlight practical implications for healthcare institutions and Digital Therapeutics manufacturers willing to promote their adoption."
2024 Apr,Canadian journal of diabetes,Can J Diabetes. 2024 Apr;48(3):179-187.e3. doi: 10.1016/j.jcjd.2023.12.008. Epub ,"['Housni, Asmaa', 'Cianci, Rosemarie', 'Shulman, Rayzel', 'Nakhla, Meranda', 'Cafazzo, Joseph A', 'Corathers, Sarah D', 'Yi-Frazier, Joyce P', 'Kichler, Jessica C', 'Brazeau, Anne-Sophie']","['humans', ' diabetes mellitus, type 1 therapy', ' transition to adult care', 'canada', 'adolescent', 'adult', ' patient education as topic methods', 'young adult', 'male', 'female', 'internet', 'health knowledge, attitudes, practice', 'diabète de type 1', 'jeunes', 'online education', 'transition dans les soins', 'transition in care', 'type 1 diabetes', 'youth', 'éducation en ligne']",Online Educational Resources for Youth Living With Type 1 Diabetes Transitioning to Adult Care: An Environmental Scan of Canadian Content.,"OBJECTIVES: There are many educational resources for adolescents and young adults living with type 1 diabetes; however, it is unknown whether they address the breadth of topics related to transition to adult care. Our aim in this study was to collect educational resources relevant to Canadian youth and assess their quality and comprehensiveness in addressing the knowledge necessary for youth to prepare for interdependent management of their diabetes. METHODS: We conducted an environmental scan, a systematic assessment and analysis, of online education resources in English and French relevant to Canadian youth living with type 1 diabetes. Resources were screened using an open education resource evaluation grid and relevant resources were mapped to the Readiness for Emerging Adults with Diabetes Diagnosed in Youth, a validated diabetes transition readiness assessment tool. RESULTS: From 44 different sources, 1,245 resources were identified and, of these, 760 were retained for analysis. The majority were webpages (50.1%) and downloadable PDFs (42.4%), and 12.1% were interactive. Most resources covered Diabetes Knowledge (46.0%), Health Behaviour (23.8%), Insulin and Insulin Pump Management (11.8% and 8.6%, respectively), and Health-care System Navigation (9.7%). Topic areas with the fewest resources were disability accommodations (n=5), sexual health/function (n=4), and locating trustworthy diabetes resources (n=3). CONCLUSIONS: There are many resources available for those living with type 1 diabetes preparing to transition to adult care, with the majority pertaining to diabetes knowledge and the least for navigation of the health system. Few resources were available on the topics of substance use, sexual health, and reproductive health. An interactive presentation of these resources, as well as a central repository to house these resources, would improve access for youth and diabetes care providers during transition preparation."
2023 Dec,PLOS digital health,PLOS Digit Health. 2023 Dec 11;2(12):e0000371. doi: 10.1371/journal.pdig.0000371. ,"['Wali, Sahr', 'Remtulla Tharani, Alliya', 'Balmer-Minnes, Diana', 'Cafazzo, Joseph A', 'Laks, Jessica', 'Jeewa, Aamir']",[],Exploring the use of a digital therapeutic intervention to support the pediatric cardiac care journey: Qualitative study on clinician perspectives.,"Pediatric heart disease currently effects over one million infants, children, and adolescents in the United States alone. Unlike the adult population, pediatric patients face a more uncertain path with factors relating to their growth and maturation creating levels of complexity to their care management. With mobile phones increasingly being utilized amongst adolescents, digital therapeutics tools could provide a platform to help patients and families manage their condition. This study explored clinicians' views on the use of a digital therapeutic program to support pediatric heart disease management. Using the principles from user-centered design, semi-structured interviews were conducted with 4 cardiologists, 3 nurse practitioners and 1 cardiology fellow at the Hospital for Sick Children. All interview transcripts underwent inductive thematic analysis using Braun and Clarke's iterative six-phase approach. To further contextualize the analytic interpretation of the study findings, Eakin and Gladstone's value-adding approach was used. Five themes were identified: (i) multidisciplinary model of care; (ii) patient care needs change over time; (iii) treatment burden and difficulties in care management; (iv) transition to adulthood; and (v) filling care gaps with digital health. Clinicians valued the opportunity to monitor a patient's health status in real-time, as it allowed them to modify care regimens on a more preventive basis. However, with adolescent care often varying according to the patient's age and disease severity, a digital therapeutic program would only be valuable if it was customizable to the patients changing care journey. Digital therapeutic programs can ease the process of self-care for adolescents with heart disease throughout the growth and maturation of their care journey. However, to ensure the sustained use of a program, there is a need to work collaboratively with patients, caregivers, and clinicians to ensure their lived experiences guide the design and delivery of the overall program."
2023 Nov 2,Communications medicine,Commun Med (Lond). 2023 Nov 2;3(1):159. doi: 10.1038/s43856-023-00387-6.,"['Young, Karen', 'Xiong, Ting', 'Pfisterer, Kaylen J', 'Ng, Denise', 'Jiao, Tina', 'Lohani, Raima', 'Nunn, Caitlin', 'Bryant-Lukosius, Denise', 'Rendon, Ricardo', 'Berlin, Alejandro', 'Bender, Jacqueline', 'Brown, Ian', 'Feifer, Andrew', 'Gotto, Geoffrey', 'Cafazzo, Joseph A', 'Pham, Quynh']",[],A qualitative study on healthcare professional and patient perspectives on nurse-led virtual prostate cancer survivorship care.,"BACKGROUND: Virtual nurse-led care models designed with health care professionals (HCPs) and patients may support addressing unmet prostate cancer (PCa) survivor needs. Within this context, we aimed to better understand the optimal design of a service model for a proposed nurse-led PCa follow-up care platform (Ned Nurse). METHODS: A qualitative descriptive study exploring follow-up and virtual care experiences to inform a nurse-led virtual clinic (Ned Nurse) with an a priori convenience sample of 10 HCPs and 10 patients. We provide a health ecosystem readiness checklist mapping facilitators onto CFIR and Proctor's implementation outcomes. RESULTS: We show that barriers within the current standard of care include: fragmented follow-up, patient uncertainty, and long, persisting wait times despite telemedicine modalities. Participants indicate that a nurse-led clinic should be scoped to coordinate care and support patient self-management, with digital literacy considerations. CONCLUSION: A nurse-led follow-up care model for PCa is seen by HCPs as acceptable, feasible, and appropriate for care delivery. Patients value its potential to provide role clarity, reinforce continuity of care, enhance mental health support, and increase access to timely and targeted care. These findings inform design, development, and implementation strategies for digital health interventions within complex settings, revealing opportunities to optimally situate these interventions to improve care."
2023 Oct 4,JMIR cancer,JMIR Cancer. 2023 Oct 4;9:e44332. doi: 10.2196/44332.,"['Pfisterer, Kaylen J', 'Lohani, Raima', 'Janes, Elizabeth', 'Ng, Denise', 'Wang, Dan', 'Bryant-Lukosius, Denise', 'Rendon, Ricardo', 'Berlin, Alejandro', 'Bender, Jacqueline', 'Brown, Ian', 'Feifer, Andrew', 'Gotto, Geoffrey', 'Saha, Shumit', 'Cafazzo, Joseph A', 'Pham, Quynh']","['ai', 'algorithm development', 'artificial intelligence–powered decision support', 'cancer', 'cancer treatment', 'digital health', 'expert system', 'nurse-led model of care', 'nursing', 'patient-reported outcomes', 'prostate cancer', 'survivorship']",An Actionable Expert-System Algorithm to Support Nurse-Led Cancer Survivorship Care: Algorithm Development Study.,"BACKGROUND: Comprehensive models of survivorship care are necessary to improve access to and coordination of care. New models of care provide the opportunity to address the complexity of physical and psychosocial problems and long-term health needs experienced by patients following cancer treatment. OBJECTIVE: This paper presents our expert-informed, rules-based survivorship algorithm to build a nurse-led model of survivorship care to support men living with prostate cancer (PCa). The algorithm is called No Evidence of Disease (Ned) and supports timelier decision-making, enhanced safety, and continuity of care. METHODS: An initial rule set was developed and refined through working groups with clinical experts across Canada (eg, nurse experts, physician experts, and scientists; n=20), and patient partners (n=3). Algorithm priorities were defined through a multidisciplinary consensus meeting with clinical nurse specialists, nurse scientists, nurse practitioners, urologic oncologists, urologists, and radiation oncologists (n=17). The system was refined and validated using the nominal group technique. RESULTS: Four levels of alert classification were established, initiated by responses on the Expanded Prostate Cancer Index Composite for Clinical Practice survey, and mediated by changes in minimal clinically important different alert thresholds, alert history, and clinical urgency with patient autonomy influencing clinical acuity. Patient autonomy was supported through tailored education as a first line of response, and alert escalation depending on a patient-initiated request for a nurse consultation. CONCLUSIONS: The Ned algorithm is positioned to facilitate PCa nurse-led care models with a high nurse-to-patient ratio. This novel expert-informed PCa survivorship care algorithm contains a defined escalation pathway for clinically urgent symptoms while honoring patient preference. Though further validation is required through a pragmatic trial, we anticipate the Ned algorithm will support timelier decision-making and enhance continuity of care through the automation of more frequent automated checkpoints, while empowering patients to self-manage their symptoms more effectively than standard care. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): RR2-10.1136/bmjopen-2020-045806."
2023 Sep,CJC open,CJC Open. 2023 Jul 1;5(9):661-670. doi: 10.1016/j.cjco.2023.06.006. eCollection ,"['Wali, Sahr', 'Seidel, Justice', 'Spence, Greg', 'Innes, Lynne', 'Innes, Elaine', 'Simard, Anne', 'Mashford-Pringle, Angela', 'Ssinabulya, Isaac', 'Cafazzo, Joseph A', 'Ross, Heather']",[],Heart Health Begins With Community: Community-Based Research Exploring Innovative Strategies to Support First Nations Heart Health.,"BACKGROUND: Indigenous people have displayed their strength through their holistic practices and spiritual connection to the land. Despite overcoming the impact of discriminatory and disempowering policies within Western institutions, Indigenous people continue to experience a higher risk of cardiovascular disease, compared to the general population. To move toward improving Indigenous health outcomes, researchers need to work in partnership with communities to develop heart health strategies centred on their experienced barriers and sources of healing. We conducted a community-based explorative study in Moosonee, Ontario to explore the local community's needs and priorities regarding heart health and wellness. METHODS: A convenience sample of community members and healthcare professionals were invited to participate in a sharing circle. Qualitative data were analyzed using conventional content analysis and the Indigenous method of two-eyed seeing. RESULTS: Eight community members and 5 healthcare professionals participated in the sharing circle. Four dominant themes were identified: (1) heart health is more than metrics; (2) honouring our traumas; (3) destigmatizing care through relationship building; and (4) innovative solutions start with community. With the history of mistreatment among Indigenous people, strength-based solutions involved rebuilding clinical relationships. To bring care closer to home, digital health tools were widely accepted, but the design of these tools needs to integrate both Western and Indigenous approaches to healing. CONCLUSIONS: Indigenous health upholds the physical, emotional, psychological, and spiritual needs of an individual as being of equal importance. To improve community heart health, strategies should start by strengthening broken bonds and bridging multiple worldviews of healing."
2023 Sep 13,JMIR research protocols,JMIR Res Protoc. 2023 Sep 13;12:e46115. doi: 10.2196/46115.,"['Wang, Ruoxi', 'Rouleau, Geneviève', 'Booth, Gillian Lynn', 'Brazeau, Anne-Sophie', 'El-Dassouki, Noor', 'Taylor, Madison', 'Cafazzo, Joseph A', 'Greenberg, Marley', 'Nakhla, Meranda', 'Shulman, Rayzel', 'Desveaux, Laura']","['digital health', 'emerging adults', 'realist evaluation', 'self-management', 'transition to adult care', 'type 1 diabetes']",Understanding Whether and How a Digital Health Intervention Improves Transition Care for Emerging Adults Living With Type 1 Diabetes: Protocol for a Mixed Methods Realist Evaluation.,"BACKGROUND: Emerging adults living with type 1 diabetes (T1D) face a series of challenges with self-management and decreased health system engagement, leading to an increased risk of acute complications and hospital admissions. Effective and scalable strategies are needed to support this population to transfer seamlessly from pediatric to adult care with sufficient self-management capability. While digital health interventions for T1D self-management are a promising strategy, it remains unclear which elements work, how, and for which groups of individuals. OBJECTIVE: This study aims to evaluate the design and implementation of a multicomponent SMS text message-based digital health intervention to support emerging adults living with T1D in real-world settings. The objectives are to identify the intervention components and associated mechanisms that support user engagement and T1D health care transition experiences and determine the individual characteristics that influence the implementation process. METHODS: We used a realist evaluation embedded alongside a randomized controlled trial, which uses a sequential mixed methods design to analyze data from multiple sources, including intervention usage data, patient-reported outcomes, and realist interviews. In step 1, we conducted a document analysis to develop a program theory that outlines the hypothesized relationships among ""individual-level contextual factors, intervention components and features, mechanisms, and outcomes,"" with special attention paid to user engagement. Among them, intervention components and features depict 10 core characteristics such as transition support information, problem-solving information, and real-time interactivity. The proximal outcomes of interest include user engagement, self-efficacy, and negative emotions, whereas the distal outcomes of interest include transition readiness, self-blood glucose monitoring behaviors, and blood glucose. In step 2, we plan to conduct semistructured realist interviews with the randomized controlled trial's intervention-arm participants to test the hypothesized ""context-intervention-mechanism-outcome"" configurations. In step 3, we plan to triangulate all sources of data using a coincidence analysis to identify the necessary combinations of factors that determine whether and how the desired outcomes are achieved and use these insights to consolidate the program theory. RESULTS: For step 1 analysis, we have developed the initial program theory and the corresponding data collection plan. For step 2 analysis, participant enrollment for the randomized controlled trial started in January 2023. Participant enrollment for this realist evaluation was anticipated to start in July 2023 and continue until we reached thematic saturation or achieved informational power. CONCLUSIONS: Beyond contributing to knowledge on the multiple pathways that lead to successful engagement with a digital health intervention as well as target outcomes in T1D care transitions, embedding the realist evaluation alongside the trial may inform real-time intervention refinement to improve user engagement and transition experiences. The knowledge gained from this study may inform the design, implementation, and evaluation of future digital health interventions that aim to improve transition experiences. INTERNATIONAL REGISTERED REPORT IDENTIFIER (IRRID): PRR1-10.2196/46115."
2023 Aug 1,Journal of medical Internet research,J Med Internet Res. 2023 Aug 1;25:e46873. doi: 10.2196/46873.,"['Pham, Quynh', 'Wong, David', 'Pfisterer, Kaylen J', 'Aleman, Dionne', 'Bansback, Nick', 'Cafazzo, Joseph A', 'Casson, Alexander J', 'Chan, Brian', 'Dixon, William', 'Kakaroumpas, Gerasimos', 'Lindner, Claudia', 'Peek, Niels', 'Potts, Henry Ww', 'Ribeiro, Barbara', 'Seto, Emily', 'Stockton-Powdrell, Charlotte', 'Thompson, Alexander', 'van der Veer, Sabine']","['humans', 'checklist', ' delivery of health care', 'technology', 'united kingdom', ' telemedicine', 'digital health innovation', 'digital health intervention', 'digital health landscape', 'digital health solution', 'health care system', 'regulatory pathway', 'remote monitoring', 'technology transfer', 'virtual care']",The Complexity of Transferring Remote Monitoring and Virtual Care Technology Between Countries: Lessons From an International Workshop.,"International deployment of remote monitoring and virtual care (RMVC) technologies would efficiently harness their positive impact on outcomes. Since Canada and the United Kingdom have similar populations, health care systems, and digital health landscapes, transferring digital health innovations between them should be relatively straightforward. Yet examples of successful attempts are scarce. In a workshop, we identified 6 differences that may complicate RMVC transfer between Canada and the United Kingdom and provided recommendations for addressing them. These key differences include (1) minority groups, (2) physical geography, (3) clinical pathways, (4) value propositions, (5) governmental priorities and support for digital innovation, and (6) regulatory pathways. We detail 4 broad recommendations to plan for sustainability, including the need to formally consider how highlighted country-specific recommendations may impact RMVC and contingency planning to overcome challenges; the need to map which pathways are available as an innovator to support cross-country transfer; the need to report on and apply learnings from regulatory barriers and facilitators so that everyone may benefit; and the need to explore existing guidance to successfully transfer digital health solutions while developing further guidance (eg, extending the nonadoption, abandonment, scale-up, spread, sustainability framework for cross-country transfer). Finally, we present an ecosystem readiness checklist. Considering these recommendations will contribute to successful international deployment and an increased positive impact of RMVC technologies. Future directions should consider characterizing additional complexities associated with global transfer."
2023 May 9,JMIR diabetes,JMIR Diabetes. 2023 May 9;8:e44652. doi: 10.2196/44652.,"['Racey, Megan', 'Whitmore, Carly', 'Alliston, Paige', 'Cafazzo, Joseph A', 'Crawford, Allison', 'Castle, David', 'Dragonetti, Rosa', 'Fitzpatrick-Lewis, Donna', 'Jovkovic, Milos', 'Melamed, Osnat C', 'Naeem, Farooq', 'Senior, Peter', 'Strudwick, Gillian', 'Ramdass, Seeta', 'Vien, Victor', 'Selby, Peter', 'Sherifali, Diana']","['application', 'clinical integration', 'digital health', 'distress', 'education', 'health information technology', 'integrated care', 'intervention', 'mental health', 'psychosocial', 'scoping review', 'support', 'technology', 'type 1 diabetes', 'type 2 diabetes', 'virtual care']",Technology-Supported Integrated Care Innovations to Support Diabetes and Mental Health Care: Scoping Review.,"BACKGROUND: For individuals living with diabetes and its psychosocial comorbidities (eg, depression, anxiety, and distress), there remains limited access to interprofessional, integrated care that includes mental health support, education, and follow-up. Health technology, broadly defined as the application of organized knowledge or skill as software, devices, and systems to solve health problems and improve quality of life, is emerging as a means of addressing these gaps. There is thus a need to understand how such technologies are being used to support, educate, and help individuals living with co-occurring diabetes and mental health distress or disorder. OBJECTIVE: The purpose of this scoping review was to (1) describe the literature on technology-enabled integrated interventions for diabetes and mental health; (2) apply frameworks from the Mental Health Commission of Canada and World Health Organization to elucidate the components, type, processes, and users of technology-enabled integrated interventions for diabetes and mental health; and (3) map the level of integration of interventions for diabetes and mental health. METHODS: We searched 6 databases from inception to February 2022 for English-language, peer-reviewed studies of any design or type that used technology to actively support both diabetes and any mental health distress or disorder in succession or concurrently among people with diabetes (type 1 diabetes, type 2 diabetes, and gestational diabetes). Reviewers screened citations and extracted data including study characteristics and details about the technology and integration used. RESULTS: We included 24 studies described in 38 publications. These studies were conducted in a range of settings and sites of care including both web-based and in-person settings. Studies were mostly website-based (n=13) and used technology for wellness and prevention (n=16) and intervention and treatment (n=15). The primary users of these technologies were clients and health care providers. All the included intervention studies (n=20) used technology for clinical integration, but only 7 studies also used the technology for professional integration. CONCLUSIONS: The findings of this scoping review suggest that there is a growing body of literature on integrated care for diabetes and mental health enabled by technology. However, gaps still exist with how to best equip health care professionals with the knowledge and skills to offer integrated care. Future research is needed to continue to explore the purpose, level, and breadth of technology-enabled integration to facilitate an approach to overcome or address care fragmentation for diabetes and mental health and to understand how health technology can further drive the scale-up of innovative integrated interventions."
2023 May 8,BMJ open,BMJ Open. 2023 May 8;13(5):e071396. doi: 10.1136/bmjopen-2022-071396.,"['Sanmugalingham, Geetha', 'Mok, Elise', 'Cafazzo, Joseph A', 'Desveaux, Laura', 'Brazeau, Anne-Sophie', 'Booth, Gillian L', 'Greenberg, Marley', 'Kichler, Jessica', 'Rac, Valeria E', 'Austin, Peter', 'Goldbloom, Ellen', 'Henderson, Mélanie', 'Landry, Alanna', 'Zenlea, Ian', 'Taylor, Madison', 'Nakhla, Meranda', 'Shulman, Rayzel']","['adult', 'humans', 'adolescent', 'child', ' diabetes mellitus, type 1 therapy', ' text messaging', ' transition to adult care', 'self care', 'blood glucose', 'randomized controlled trials as topic', 'adolescent', 'clinical trials', 'diabetes & endocrinology', 'paediatric endocrinology', 'patient participation', 'telemedicine']","Text message-based intervention, Keeping in Touch (KiT), to support youth as they transition to adult type 1 diabetes care: a protocol for a multisite randomised controlled superiority trial.","INTRODUCTION: Transition from paediatric to adult care can be challenging for youth living with type 1 diabetes (T1D), as many youth feel unprepared to transfer to adult care and are at high risk for deterioration of glycaemic management and acute complications. Existing strategies to improve transition experience and outcomes are limited by cost, scalability, generalisability and youth engagement. Text messaging is an acceptable, accessible and cost-effective way of engaging youth. Together with adolescents and emerging adults and paediatric and adult T1D providers, we co-designed a text message-based intervention, Keeping in Touch (KiT), to deliver tailored transition support. Our primary objective is to test the effectiveness of KiT on diabetes self-efficacy in a randomised controlled trial. METHODS AND ANALYSIS: We will randomise 183 adolescents with T1D aged 17-18 years within 4 months of their final paediatric diabetes visit to the intervention or usual care. KiT will deliver tailored T1D transition support via text messages over 12 months based on a transition readiness assessment. The primary outcome, self-efficacy for diabetes self-management, will be measured 12 months after enrolment. Secondary outcomes, measured at 6 and 12 months, include transition readiness, perceived T1D-related stigma, time between final paediatric and first adult diabetes visits, haemoglobin A1c, and other glycaemia measures (for continuous glucose monitor users), diabetes-related hospitalisations and emergency department visits and the cost of implementing the intervention. The analysis will be intention-to-treat comparing diabetes self-efficacy at 12 months between groups. A process evaluation will be conducted to identify elements of the intervention and individual-level factors influencing implementation and outcomes. ETHICS AND DISSEMINATION: The study protocol version 7 July 2022 and accompanying documents were approved by Clinical Trials Ontario (Project ID: 3986) and the McGill University Health Centre (MP-37-2023-8823). Study findings will be presented at scientific conferences and in peer-reviewed publications. TRIAL REGISTRATION NUMBER: NCT05434754."
