time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in neuroscience,Front Neurosci. 2024 Mar 25;18:1372222. doi: 10.3389/fnins.2024.1372222. ,"['Tajali, Shirin', 'Balbinot, Gustavo', 'Pakosh, Maureen', 'Sayenko, Dimitry G', 'Zariffa, Jose', 'Masani, Kei']","['neuroplasticity', 'spinal cord injury', 'spinal excitability', 'supraspinal excitability', 'transcutaneous spinal cord stimulation']",Modulations in neural pathways excitability post transcutaneous spinal cord stimulation among individuals with spinal cord injury: a systematic review.,"INTRODUCTION: Transcutaneous spinal cord stimulation (TSCS), a non-invasive form of spinal cord stimulation, has been shown to improve motor function in individuals living with spinal cord injury (S"
2024 Apr 3,The journal of spinal cord medicine,J Spinal Cord Med. 2024 Apr 3:1-11. doi: 10.1080/10790268.2024.2334104.,"['Kaiser, Anita', 'Chan, Katherine', 'Jaglal, Susan', 'Zariffa, José', 'Musselman, Kristin E']","['activity-based therapy', 'delphi method', 'spinal cord injury', 'tracking tool']",Development of an activity-based therapy tracking tool: Item generation and reduction using the Delphi method.,CONTEXT/OBJECTIVE: Activity-based therapies (ABT) are increasingly used in rehabilitation after spinal cord injury or disease (S
2024,PloS one,PLoS One. 2024 Mar 12;19(3):e0299271. doi: 10.1371/journal.pone.0299271. ,"['Gill, Aseem Partap Singh', 'Zariffa, Jose']","['rats', 'animals', 'rats, long-evans', ' deep learning', 'time factors', 'sciatic nerve physiology', 'electrodes', 'electrodes, implanted']",Time series classification of multi-channel nerve cuff recordings using deep learning.,"Neurostimulation and neural recording are crucial to develop neuroprostheses that can restore function to individuals living with disabilities. While neurostimulation has been successfully translated into clinical use for several applications, it remains challenging to robustly collect and interpret neural recordings, especially for chronic applications. Nerve cuff electrodes offer a viable option for recording nerve signals, with long-term implantation success. However, nerve cuff electrodes' signals have low signal-to-noise ratios, resulting in reduced selectivity between neural pathways. The objective of this study was to determine whether deep learning techniques, specifically networks tailored for time series applications, can increase the recording selectivity achievable using multi-contact nerve cuff electrodes. We compared several neural network architectures, the impact and trade-off of window length on classification performance, and the benefit of data augmentation. Evaluation was carried out using a previously collected dataset of 56-channel nerve cuff recordings from the sciatic nerve of Long-Evans rats, which included afferent signals evoked using three types of mechanical stimuli. Through this study, the best model achieved an accuracy of 0.936 ± 0.084 and an F1-score of 0.917 ± 0.103, using 50 ms windows of data and an augmented training set. These results demonstrate the effectiveness of applying CNNs designed for time-series data to peripheral nerve recordings, and provide insights into the relationship between window duration and classification performance in this application."
2024 Mar 2,Developmental medicine and child neurology,Dev Med Child Neurol. 2024 Mar 2. doi: 10.1111/dmcn.15895.,"['Mathew, Sunaal P', 'Dawe, Jaclyn', 'Musselman, Kristin E', 'Petrevska, Marina', 'Zariffa, José', 'Andrysek, Jan', 'Biddiss, Elaine']",[],Measuring functional hand use in children with unilateral cerebral palsy using accelerometry and machine learning.,"AIM: To investigate wearable sensors for measuring functional hand use in children with unilateral cerebral palsy (CP). METHOD: Dual wrist-worn accelerometry data were collected from three females and seven males with unilateral CP (mean age = 10 years 2 months [SD 3 years]) while performing hand tasks during video-recorded play sessions. Video observers labelled instances of functional and non-functional hand use. Machine learning was compared to the conventional activity count approach for identifying unilateral hand movements as functional or non-functional. Correlation and agreement analyses compared the functional usage metrics derived from each method. RESULTS: The best-performing machine learning approach had high precision and recall when trained on an individual basis (F(1) = 0.896 [SD 0.043]). On an individual basis, the best-performing classifier showed a significant correlation (r = 0.990, p < 0.001) and strong agreement (bias = 0.57%, 95% confidence interval = -4.98 to 6.13) with video observations. When validated in a leave-one-subject-out scenario, performance decreased significantly (F(1) = 0.584 [SD 0.076]). The activity count approach failed to detect significant differences in non-functional or functional hand activity and showed no significant correlation or agreement with the video observations. INTERPRETATION: With further development, wearable accelerometry combined with machine learning may enable quantitative monitoring of everyday functional hand use in children with unilateral CP."
2023 Fall,Topics in spinal cord injury rehabilitation,Top Spinal Cord Inj Rehabil. 2023 Fall;29(Suppl):75-87. doi: ,"['Kadambi, Adesh', 'Bandini, Andrea', 'Ramkalawan, Ryan D', 'Hitzig, Sander L', 'Zariffa, José']","['humans', 'outpatients', ' cervical cord', ' spinal cord injuries rehabilitation', 'hand', 'upper extremity', ' soft tissue injuries', 'egocentric vision', 'hand function', 'home monitoring', 'spinal cord injury', 'upper limb rehabilitation', 'user stories', 'user-centred design']",Designing an Egocentric Video-Based Dashboard to Report Hand Performance Measures for Outpatient Rehabilitation of Cervical Spinal Cord Injury.,BACKGROUND: Functional use of the upper extremities (UEs) is a top recovery priority for individuals with cervical spinal cord injury (cS
2023 Fall,Topics in spinal cord injury rehabilitation,Top Spinal Cord Inj Rehabil. 2023 Fall;29(Suppl):53-74. doi: ,"['Kaiser, Anita', 'Chan, Katherine', 'Sessford, James', 'McCullum, Shane', 'Athanasopoulos, Peter', 'Rice, Chris', 'Leo, Jennifer', 'MacRitchie, Iona', 'Zariffa, José', 'Musselman, Kristin E']","['humans', 'focus groups', ' public opinion', ' spinal cord injuries complications', 'canada', 'exercise therapy', 'focus groups', 'qualitative research', 'spinal cord injury']",Providing Insights into the Challenges of Implementing Activity-Based Therapy in Canada: A Comparative Analysis Using Focus Group Interviews with Key Interest Groups.,BACKGROUND: Activity-based therapy (ABT) has emerged as a therapeutic approach that may promote neurorecovery and reduce secondary complications in people living with spinal cord injury or disease (S
2023 Dec 7,Biomedical engineering online,Biomed Eng Online. 2023 Dec 7;22(1):118. doi: 10.1186/s12938-023-01181-0.,"['Jawad, Taseen', 'Koh, Ryan G L', 'Zariffa, José']","['humans', 'rats', 'animals', ' median nerve', 'cross-sectional studies', ' neural networks, computer', 'sciatic nerve physiology', 'evoked potentials']",Selective peripheral nerve recording using simulated human median nerve activity and convolutional neural networks.,"BACKGROUND: It is difficult to create intuitive methods of controlling prosthetic limbs, often resulting in abandonment. Peripheral nerve interfaces can be used to convert motor intent into commands to a prosthesis. The Extraneural Spatiotemporal Compound Action Potentials Extraction Network (ESCAPE-NET) is a convolutional neural network (CNN) that has previously been demonstrated to be effective at discriminating neural sources in rat sciatic nerves. ESCAPE-NET was designed to operate using data from multi-channel nerve cuff arrays, and use the resulting spatiotemporal signatures to classify individual naturally evoked compound action potentials (nCAPs) based on differing source fascicles. The applicability of this approach to larger and more complex nerves is not well understood. To support future translation to humans, the objective of this study was to characterize the performance of this approach in a computational model of the human median nerve. METHODS: Using a cross-sectional immunohistochemistry image of a human median nerve, a finite-element model was generated and used to simulate extraneural recordings. ESCAPE-NET was used to classify nCAPs based on source location, for varying numbers of sources and noise levels. The performance of ESCAPE-NET was also compared to ResNet-50 and MobileNet-V2 in the context of classifying human nerve cuff data. RESULTS: Classification accuracy was found to be inversely related to the number of nCAP sources in ESCAPE-NET (3-class: 97.8% ± 0.1%; 10-class: 89.3% ± 5.4% in low-noise conditions, 3-class: 70.3% ± 0.1%; 10-class: 52.5% ± 0.3% in high-noise conditions). ESCAPE-NET overall outperformed both MobileNet-V2 (3-class: 96.5% ± 1.1%; 10-class: 84.9% ± 1.7% in low-noise conditions, 3-class: 86.0% ± 0.6%; 10-class: 41.4% ± 0.9% in high-noise conditions) and ResNet-50 (3-class: 71.2% ± 18.6%; 10-class: 40.1% ± 22.5% in low-noise conditions, 3-class: 81.3% ± 4.4%; 10-class: 31.9% ± 4.4% in high-noise conditions). CONCLUSION: All three networks were found to learn to differentiate nCAPs from different sources, as evidenced by performance levels well above chance in all cases. ESCAPE-NET was found to have the most robust performance, despite decreasing performance as the number of classes increased, and as noise was varied. These results provide valuable translational guidelines for designing neural interfaces for human use."
2023 Nov 29,Journal of neural engineering,J Neural Eng. 2023 Nov 29;20(6). doi: 10.1088/1741-2552/ad0b8e.,"['Li, Guijin', 'Balbinot, Gustavo', 'Furlan, Julio C', 'Kalsi-Ryan, Sukhvinder', 'Zariffa, José']","['humans', 'electromyography methods', ' muscle, skeletal physiology', 'quality of life', ' spinal cord injuries', 'computer simulation', 'computational modeling', 'spinal cord injury', 'surface electromyography']",A computational model of surface electromyography signal alterations after spinal cord injury.,Objective. Spinal cord injury (S
2023 Oct,PLOS digital health,PLOS Digit Health. 2023 Oct 11;2(10):e0000361. doi: 10.1371/journal.pdig.0000361. ,"['Tsai, Meng-Fen', 'Wang, Rosalie H', 'Zariffa, José']",[],Recognizing hand use and hand role at home after stroke from egocentric video.,"Hand function is a central determinant of independence after stroke. Measuring hand use in the home environment is necessary to evaluate the impact of new interventions, and calls for novel wearable technologies. Egocentric video can capture hand-object interactions in context, as well as show how more-affected hands are used during bilateral tasks (for stabilization or manipulation). Automated methods are required to extract this information. The objective of this study was to use artificial intelligence-based computer vision to classify hand use and hand role from egocentric videos recorded at home after stroke. Twenty-one stroke survivors participated in the study. A random forest classifier, a SlowFast neural network, and the Hand Object Detector neural network were applied to identify hand use and hand role at home. Leave-One-Subject-Out-Cross-Validation (LOSOCV) was used to evaluate the performance of the three models. Between-group differences of the models were calculated based on the Mathews correlation coefficient (MCC). For hand use detection, the Hand Object Detector had significantly higher performance than the other models. The macro average MCCs using this model in the LOSOCV were 0.50 ± 0.23 for the more-affected hands and 0.58 ± 0.18 for the less-affected hands. Hand role classification had macro average MCCs in the LOSOCV that were close to zero for all models. Using egocentric video to capture the hand use of stroke survivors at home is technically feasible. Pose estimation to track finger movements may be beneficial to classifying hand roles in the future."
2023 Jul,Neurorehabilitation and neural repair,Neurorehabil Neural Repair. 2023 Jul;37(7):466-474. doi: ,"['Dousty, Mehdy', 'Bandini, Andrea', 'Eftekhar, Parvin', 'Fleet, David J', 'Zariffa, José']","['humans', 'quadriplegia rehabilitation', 'activities of daily living', ' cervical cord', 'home environment', ' spinal cord injuries', 'hand strength', 'upper extremity', 'grassp', 'scim', 'uems', 'cervical spinal cord injury', 'egocentric video', 'hand grasp']",Grasp Analysis in the Home Environment as a Measure of Hand Function After Cervical Spinal Cord Injury.,"BACKGROUND: Following a spinal cord injury, regaining hand function is a top priority. Current hand assessments are conducted in clinics, which may not fully represent real-world hand function. Grasp strategies used in the home environment are an important consideration when examining the impact of rehabilitation interventions. OBJECTIVE: The main objective of this study is to investigate the relationship between grasp use at home and clinical scores. METHOD: We used a previously collected dataset in which 21 individuals with spinal cord injuries (S"
