time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in neuroscience,Front Neurosci. 2024 Mar 25;18:1372222. doi: 10.3389/fnins.2024.1372222. ,"['Tajali, Shirin', 'Balbinot, Gustavo', 'Pakosh, Maureen', 'Sayenko, Dimitry G', 'Zariffa, Jose', 'Masani, Kei']","['neuroplasticity', 'spinal cord injury', 'spinal excitability', 'supraspinal excitability', 'transcutaneous spinal cord stimulation']",Modulations in neural pathways excitability post transcutaneous spinal cord stimulation among individuals with spinal cord injury: a systematic review.,"INTRODUCTION: Transcutaneous spinal cord stimulation (TSCS), a non-invasive form of spinal cord stimulation, has been shown to improve motor function in individuals living with spinal cord injury (S"
2024 Feb 12,Biomedical engineering online,Biomed Eng Online. 2024 Feb 12;23(1):19. doi: 10.1186/s12938-023-01191-y.,"['Lim, Derrick', 'Pei, William', 'Lee, Jae W', 'Musselman, Kristin E', 'Masani, Kei']","['male', 'female', 'humans', 'feasibility studies', 'feedback, sensory', ' spinal cord injuries', 'postural balance physiology', ' electric stimulation therapy', 'electric stimulation', 'depth camera', 'functional electrical stimulation', 'standing balance', 'visual feedback training']",Feasibility of using a depth camera or pressure mat for visual feedback balance training with functional electrical stimulation.,"Individuals with incomplete spinal-cord injury/disease are at an increased risk of falling due to their impaired ability to maintain balance. Our research group has developed a closed-loop visual-feedback balance training (VFBT) system coupled with functional electrical stimulation (FES) for rehabilitation of standing balance (FES + VFBT system); however, clinical usage of this system is limited by the use of force plates, which are expensive and not easily accessible. This study aimed to investigate the feasibility of a more affordable and accessible sensor such as a depth camera or pressure mat in place of the force plate. Ten able-bodied participants (7 males, 3 females) performed three sets of four different standing balance exercises using the FES + VFBT system with the force plate. A depth camera and pressure mat collected centre of mass and centre of pressure data passively, respectively. The depth camera showed higher Pearson's correlation (r > 98) and lower root mean squared error (RMSE < 10 mm) than the pressure mat (r > 0.82; RMSE < 4.5 mm) when compared with the force plate overall. Stimulation based on the depth camera showed lower RMSE than that based on the pressure mat relative to the FES + VFBT system. The depth camera shows potential as a replacement sensor to the force plate for providing feedback to the FES + VFBT system."
2024 Jan,Royal Society open science,R Soc Open Sci. 2024 Jan 31;11(1):230883. doi: 10.1098/rsos.230883. eCollection ,"['Yamagata, Shunsuke', 'Yamaguchi, Takeshi', 'Shinya, Masahiro', 'Milosevic, Matija', 'Masani, Kei']","['lyapunov exponent', 'desired centre of pressure', 'dynamic balance', 'gait variability', 'margin of stability', 'whole-body angular momentum']",Comparison of sensitivity among dynamic balance measures during walking with different tasks.,"Although various measures have been proposed to evaluate dynamic balance during walking, it is currently unclear which measures are most sensitive to dynamic balance. We aimed to investigate which dynamic balance measure is most sensitive to detecting differences in dynamic balance during walking across various gait parameters, including short- and long-term Lyapunov exponents (λ(s) and λ(l)), margin of stability (MOS), distance between the desired and measured centre of pressure (dCOP-mCOP) and whole-body angular momentum (WBAM). A total of 10 healthy young adults were asked to walk on a treadmill under three different conditions (normal walking, dual-task walking with a Stroop task as an unstable walking condition, and arm-restricted walking with arms restricted in front of the chest as another unstable walking condition) that were expected to have different dynamic balance properties. Overall, we found that λ(s) of the centre of mass velocity, λ(s) of the trunk velocity, λ(s) of the hip joint angle, and the magnitude of the mediolateral dCOP-mCOP at heel contact can identify differences between tasks with a high sensitivity. Our findings provide new insights into the selection of sensitive dynamic balance measures during human walking."
2023 Dec 23,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Dec 23:2023.12.22.573119. doi: ,"['Steele, Alexander G', 'Vette, Albert H', 'Martin, Catherine', 'Masani, Kei', 'Sayenko, Dimitry G']",[],Combining transcutaneous spinal stimulation and functional electrical stimulation increases force generated by lower limbs: When more is more.,"BACKGROUND: Transcutaneous Spinal Stimulation (TSS) has been shown to promote activation of the lower limb and trunk muscles and is being actively explored for improving the motor outcomes of people with neurological conditions. However, individual responses to TSS vary, and often the muscle responses are insufficient to produce enough force for self-supported standing. Functional electrical stimulation (FES) can activate individual muscles and assist in closing this functional gap, but it introduces questions regarding timing between modalities. METHODS: To assess the effects of TSS and FES on force generation, ten neurologically intact participants underwent (1) TSS only, (2) FES only, and (3) TSS + FES. TSS was delivered using four electrodes placed at T10-T11 through the L1-L2 intervertebral spaces simultaneously, while FES was delivered to the skin over the right knee extensors and plantarflexors. For all conditions, TSS and FES were delivered using three 0.5 ms biphasic square-wave pulses at 15 Hz. During the TSS + FES condition, timing between the two modalities was adjusted in increments of ¼ time between pulses (16.5 ms). RESULTS: When TSS preceded FES, a larger force production was observed. We also determined several changes in muscle activation amplitude at different relative stimulus intervals, which help characterize our finding and indicate the facilitating and inhibitory effects of the modalities. CONCLUSIONS: Utilizing a delay ranging from 15 to 30 ms between stimuli resulted in higher mean force generation in both the knee and ankle joints, regardless of the selected FES location (Average; knee: 112.0%, ankle: 103.1%)."
2023 Fall,Topics in spinal cord injury rehabilitation,Top Spinal Cord Inj Rehabil. 2023 Fall;29(Suppl):142-152. doi: ,"['Tajali, Shirin', 'Iwasa, Stephanie N', 'Sin, Vivian', 'Atputharaj, Sharmini', 'Desai Kapadia, Naaz', 'Musselman, Kristin E', 'Popovic, Milos R', 'Masani, Kei']","['adult', 'humans', ' spinal cord injuries', 'walking physiology', 'gait physiology', 'electric stimulation', 'muscle, skeletal physiology', ' electric stimulation therapy methods', 'functional electrical stimulation', 'orthotic effect', 'spinal cord injury', 'walking']",The Orthotic Effects of Different Functional Electrical Stimulation Protocols on Walking Performance in Individuals with Incomplete Spinal Cord Injury: A Case Series.,BACKGROUND: Functional electrical stimulation (FES) of paralyzed muscles can facilitate walking after spinal cord injury (S
2023 Dec 16,"Sensors (Basel, Switzerland)",Sensors (Basel). 2023 Dec 16;23(24):9873. doi: 10.3390/s23249873.,"['Shomal Zadeh, Fatemeh', 'Koh, Ryan G L', 'Dilek, Banu', 'Masani, Kei', 'Kumbhare, Dinesh']","['humans', 'trigger points diagnostic imaging', 'ultrasonography methods', ' myofascial pain syndromes diagnostic imaging', ' chronic pain', ' superficial back muscles diagnostic imaging', 'machine learning', 'myofascial trigger point', 'texture features', 'ultrasound']",Identification of Myofascial Trigger Point Using the Combination of Texture Analysis in B-Mode Ultrasound with Machine Learning Classifiers.,"Myofascial pain syndrome is a chronic pain disorder characterized by myofascial trigger points (MTrPs). Quantitative ultrasound (US) techniques can be used to discriminate MTrPs from healthy muscle. In this study, 90 B-mode US images of upper trapezius muscles were collected from 63 participants (left and/or right side(s)). Four texture feature approaches (individually and a combination of them) were employed that focused on identifying spots, and edges were used to explore the discrimination between the three groups: active MTrPs (n = 30), latent MTrPs (n = 30), and healthy muscle (n = 30). Machine learning (ML) and one-way analysis of variance were used to investigate the discrimination ability of the different approaches. Statistically significant results were seen in almost all examined features for each texture feature approach, but, in contrast, ML techniques struggled to produce robust discrimination. The ML techniques showed that two texture features (i.e., correlation and mean) within the combination of texture features were most important in classifying the three groups. This discrepancy between traditional statistical analysis and ML techniques prompts the need for further investigation of texture-based approaches in US for the discrimination of MTrPs."
2023 Jul 13,BMC neurology,BMC Neurol. 2023 Jul 13;23(1):266. doi: 10.1186/s12883-023-03312-5.,"['Benn, Natasha L', 'Jervis-Rademeyer, Hope', 'Benson, Kayla', 'Chan, Katherine', 'Lee, Jae W', 'Inness, Elizabeth L', 'Wolfe, Dalton L', 'Alizadeh-Meghrazi, Milad', 'Masani, Kei', 'Musselman, Kristin E']","['humans', ' electric stimulation therapy', ' spinal cord injuries rehabilitation', 'exercise therapy', ' stroke therapy', 'electric stimulation', 'balance control', 'functional electrical stimulation', 'healthcare professionals', 'participatory research', 'qualitative research', 'rehabilitation', 'spinal cord injury', 'stroke']",Identifying priorities for balance interventions through a participatory co-design approach with end-users.,BACKGROUND: Most individuals living with spinal cord injuries/diseases (S
2023 Sep,The journal of spinal cord medicine,J Spinal Cord Med. 2023 Sep;46(5):769-777. doi: 10.1080/10790268.2023.2175575. ,"['Heffernan, Matthew G', 'Lee, Jae Woung', 'Chan, Katherine', 'Unger, Janelle', 'Marzolini, Susan', 'Welsh, Timothy N', 'Masani, Kei', 'Musselman, Kristin E']","['male', 'humans', 'adult', 'middle aged', 'aged', 'cross-sectional studies', ' spinal cord injuries', 'lower extremity', 'biomechanical phenomena', 'postural balance physiology', 'walking physiology', 'balance', 'postural control', 'reactive', 'spinal cord injury', 'stepping']",Spatial characteristics of reactive stepping among people living with chronic incomplete spinal cord injury.,Objective: Compare the spatial characteristics of reactive stepping between individuals with chronic motor incomplete spinal cord injuries (iS
2023 Apr,Journal of biomechanics,J Biomech. 2023 Apr;151:111519. doi: 10.1016/j.jbiomech.2023.111519. Epub 2023 ,"['Lee, Jae W', 'Mauceri, Shauna', 'Chan, Katherine', 'Unger, Janelle', 'Musselman, Kristin E', 'Masani, Kei']","['humans', 'adult', 'middle aged', 'aged', ' postural balance physiology', 'walking speed', ' spinal cord injuries', 'lower extremity', 'foot', 'walking physiology', 'balance recovery', 'falls', 'incomplete spinal cord injury', 'margin of stability', 'reactive balance']",Stepping responses for reactive balance for individuals with incomplete spinal cord injury.,Incomplete spinal cord injury (iS
2023 Feb 16,Neuroscience letters,Neurosci Lett. 2023 Feb 16;797:137070. doi: 10.1016/j.neulet.2023.137070. Epub ,"['Fok, Kai Lon', 'Kaneko, Naotsugu', 'Tajali, Shirin', 'Masani, Kei']","['humans', ' h-reflex physiology', 'muscle, skeletal physiology', 'motor neurons physiology', ' transcutaneous electric nerve stimulation', 'peripheral nerves', 'electric stimulation methods', 'electromyography methods', 'h-reflex', 'motor point stimulation', 'paired associative stimulation', 'peripheral nerve stimulation']",Paired associative stimulation on the soleus H-Reflex using motor point and peripheral nerve stimulation.,"Paired associative stimulation (PAS) has been shown to modulate the corticospinal excitability via spike timing dependent plasticity (STDP). In this study, we aimed to suppress the spinal H-Reflex using PAS. We paired two stimulation modalities, i.e., peripheral nerve stimulation (PNS) and motor point stimulation (MPS). We used PNS to dominantly activate the Ia sensory axon, and we used MPS to dominantly activate the α-motoneuron cell body antidromically. Thus, we applied both PNS and MPS such that the α-motoneuron cell body was activated 5 ms before the activation of the Ia sensory axon ending at the Ia-α motoneuron synapse. If the spinal reflexes can be modulated by STDP, and a combination of MPS and PNS is timed appropriately, then the H-Reflex amplitude will decrease while no change in H-Reflex amplitude is expected for MPS or PNS only. To test this hypothesis, six young healthy participants (5M/1F: 26.8 ± 4.1 yrs) received one of the three following conditions on days separated by at least 24 hr: 1) PAS, 2) MPS only or 3) PNS only. The H-Reflex and M-wave recruitment curves of the soleus were measured immediately prior to, immediately after, 30 min and 60 min after the intervention. The normalized H-Reflex amplitudes were then compared across conditions and times using a two-way ANOVA (3 conditions × 4 times). No main effects of condition or time, or interaction effect were found. These results suggest that relying solely on STDP may be insufficient to inhibit the soleus H-Reflex."
