time,journal,doi_info,authors,key words,title,abstract
2024 May 20,Cell reports methods,Cell Rep Methods. 2024 May 20;4(5):100782. doi: 10.1016/j.crmeth.2024.100782.,"['Tseng, Chung Yi', 'Murtada, Farshad', 'Chou, Leo Y T']","[' immunotherapy methods', 'humans', ' neoplasms immunology therapy', 'ligands', 'toll-like receptors agonists immunology', 'nanoparticles chemistry therapeutic use', 'animals', 'cancer vaccines immunology', 'adjuvants, immunologic pharmacology']",Precision nanoscale patterning of TLR ligands for improved cancer immunotherapy.,"In a recent issue of Nature Nanotechnology, Zeng et al. report that arraying immuno-stimulatory CpG molecules with specific nanoscale spacing on DNA origami nanoparticles enhanced Th1-polarized immune responses. These results highlight spatial presentation of adjuvants as a design strategy to optimize cancer vaccine efficacy, safety, and tolerability."
2024 Apr 30,"Small (Weinheim an der Bergstrasse, Germany)",Small. 2024 Apr 30:e2400236. doi: 10.1002/smll.202400236.,"['Alexander, Shana', 'Wang, Wendy Xueyi', 'Tseng, Chung-Yi', 'Douglas, Travis R', 'Chou, Leo Y T']","['dna origami', 'delivery', 'flow cytometry', 'in situ hybridization', 'nanomaterials']","High-Throughput, Label-Free Detection of DNA Origami in Single-Cell Suspensions Using origamiFISH-Flow.","Structural DNA nanotechnology enables custom fabrication of nanoscale devices and promises diverse biological applications. However, the effects of design on DNA nanostructure (DN)-cell interactions in vitro and in vivo are not yet well-characterized. origamiFISH is a recently developed technique for imaging DNs in cells and tissues. Compared to the use of fluorescent tags, origamiFISH offers label-free and structure-agnostic detection of DNs with significantly improved sensitivity. Here, the origamiFISH technique is extended to quantify DNs in single-cell suspensions, including in nonadherent cells such as subsets of immune cells, via readout by flow cytometry. This method, referred to as origamiFISH-Flow, is high-throughput (e.g., 10 000 cells per second) and compatible with immunostaining for concurrent cell-type and cell-state characterization. It is shown that origamiFISH-Flow provides 20-fold higher signal-to-noise ratio for DN detection compared to dye labeling approaches, leading to the capture of >25-fold more DN(+) cells under single-picomolar DN uptake concentrations. Additionally, the use of origamiFISH-Flow is validated to profile the uptake of various DN shapes across multiple cell lines and splenocytes, as well as to quantify in vivo DN accumulation in lymphoid organs. Together, origamiFISH-Flow offers a new tool to interrogate DN interactions with cells and tissues, while providing insights for tailoring their designs in bio-applications."
2024 Jan,Nature nanotechnology,Nat Nanotechnol. 2024 Jan;19(1):58-69. doi: 10.1038/s41565-023-01449-5. Epub 2023 ,"['Wang, Wendy Xueyi', 'Douglas, Travis R', 'Zhang, Haiwang', 'Bhattacharya, Afrin', 'Rothenbroker, Meghan', 'Tang, Wentian', 'Sun, Yu', 'Jia, Zhengping', 'Muffat, Julien', 'Li, Yun', 'Chou, Leo Y T']","['tissue distribution', ' nanotechnology', 'dna chemistry', ' nanostructures chemistry', 'nucleic acid hybridization', 'nucleic acid conformation']","Universal, label-free, single-molecule visualization of DNA origami nanodevices across biological samples using origamiFISH.","Structural DNA nanotechnology enables the fabrication of user-defined DNA origami nanostructures (DNs) for biological applications. However, the role of DN design during cellular interactions and subsequent biodistribution remain poorly understood. Current methods for tracking DN fates in situ, including fluorescent-dye labelling, suffer from low sensitivity and dye-induced artifacts. Here we present origamiFISH, a label-free and universal method for the single-molecule fluorescence detection of DNA origami nanostructures in cells and tissues. origamiFISH targets pan-DN scaffold sequences with hybridization chain reaction probes to achieve 1,000-fold signal amplification. We identify cell-type- and DN shape-specific spatiotemporal distribution patterns within a minute of uptake and at picomolar DN concentrations, 10,000× lower than field standards. We additionally optimize compatibility with immunofluorescence and tissue clearing to visualize DN distribution within tissue cryo-/vibratome sections, slice cultures and whole-mount organoids. Together, origamiFISH enables the accurate mapping of DN distribution across subcellular and tissue barriers for guiding the development of DN-based therapeutics."
2021 Dec 29,Journal of visualized experiments : JoVE,J Vis Exp. 2021 Dec 29;(178). doi: 10.3791/62073.,"['Lee, Ryan C', 'Douglas, Travis R', 'Chou, Leo Y T']","[' computers, molecular', 'dna genetics', 'dna-directed rna polymerases genetics metabolism', 'promoter regions, genetic', ' rna metabolism', 'transcription, genetic']",DNA-Tethered RNA Polymerase for Programmable In vitro Transcription and Molecular Computation.,"DNA nanotechnology enables programmable self-assembly of nucleic acids into user-prescribed shapes and dynamics for diverse applications. This work demonstrates that concepts from DNA nanotechnology can be used to program the enzymatic activity of the phage-derived T7 RNA polymerase (RNAP) and build scalable synthetic gene regulatory networks. First, an oligonucleotide-tethered T7 RNAP is engineered via expression of an N-terminally SNAP-tagged RNAP and subsequent chemical coupling of the SNAP-tag with a benzylguanine (BG)-modified oligonucleotide. Next, nucleic-acid strand displacement is used to program polymerase transcription on-demand. In addition, auxiliary nucleic acid assemblies can be used as ""artificial transcription factors"" to regulate the interactions between the DNA-programmed T7 RNAP with its DNA templates. This in vitro transcription regulatory mechanism can implement a variety of circuit behaviors such as digital logic, feedback, cascading, and multiplexing. The composability of this gene regulatory architecture facilitates design abstraction, standardization, and scaling. These features will enable the rapid prototyping of in vitro genetic devices for applications such as bio-sensing, disease detection, and data storage."
2022 Jan 12,ACS applied materials & interfaces,ACS Appl Mater Interfaces. 2022 Jan 12;14(1):1692-1698. doi: ,"['Danesi, Alexander L', 'Athanasiadou, Dimitra', 'Aderinto, Abdulmateen O', 'Rasie, Prakash', 'Chou, Leo Y T', 'Carneiro, Karina M M']","['biocompatible materials', 'calcium phosphates chemical synthesis chemistry', 'dna', 'durapatite  chemical synthesis chemistry', 'materials testing', 'nanostructures  chemistry', 'particle size', 'peptides', 'dna nanotechnology', 'dna nanotube', 'dna origami', 'biomineralization', 'hydroxyapatite', 'peptide functionalization', 'site-specific modification']",Peptide-Decorated DNA Nanostructures Promote Site-Specific Hydroxyapatite Growth.,"The guiding principle for mineralized tissue formation is that mineral growth occurs through the interaction of Ca(2+) and phosphate ions with extracellular matrix (ECM) proteins. Recently, nanoengineered DNA structures have been proposed as mimics to ECM scaffolds. However, these principles have not been applied to mineralized tissues. Here, we describe DNA nanostructures, namely, a DNA nanotube and a DNA origami rectangle that are site specifically functionalized with a mineral-promoting ""SSEE"" peptide derived from ECM proteins present in mineralized tissues. In the presence of Ca(2+) and phosphate ions (mineralizing conditions), site-specific calcium phosphate formation occurred on the DNA nanostructures. Amorphous calcium phosphate or hydroxyapatite was formed depending on the incubation time, shape of the DNA nanostructure, and amount of Ca(2+) and phosphate ions present. The ability to design and control the growth of hydroxyapatite through nanoengineered scaffolds provides insights into the mechanisms that may occur during crystal nucleation and growth of mineralized tissues and can inspire mineralized tissue regeneration strategies."
2022 Feb,Advanced healthcare materials,Adv Healthc Mater. 2022 Feb;11(4):e2101844. doi: 10.1002/adhm.202101844. Epub ,"['Tseng, Chung Yi', 'Wang, Wendy Xueyi', 'Douglas, Travis Robert', 'Chou, Leo Y T']","['dna chemistry', 'engineering', ' nanostructures chemistry', 'nanotechnology', 'signal transduction', 'dna nanotechnology', 'dna origami', 'drug delivery', 'immune modulation', 'immune receptors', 'immunological synapses', 'immunotherapy']",Engineering DNA Nanostructures to Manipulate Immune Receptor Signaling and Immune Cell Fates.,"Immune cells sense, communicate, and logically integrate a multitude of environmental signals to make important cell-fate decisions and fulfill their effector functions. These processes are initiated and regulated by a diverse array of immune receptors and via their dynamic spatiotemporal organization upon ligand binding. Given the widespread relevance of the immune system to health and disease, there have been significant efforts toward understanding the biophysical principles governing immune receptor signaling and activation, as well as the development of biomaterials which exploit these principles for therapeutic immune engineering. Here, how advances in the field of DNA nanotechnology constitute a growing toolbox for further pursuit of these endeavors is discussed. Key cellular players involved in the induction of immunity against pathogens or diseased cells are first summarized. How the ability to design DNA nanostructures with custom shapes, dynamics, and with site-specific incorporation of diverse guests can be leveraged to manipulate the signaling pathways that regulate these processes is then presented. It is followed by highlighting emerging applications of DNA nanotechnology at the crossroads of immune engineering, such as in vitro reconstitution platforms, vaccines, and adjuvant delivery systems. Finally, outstanding questions that remain for further advancing immune-modulatory DNA nanodevices are outlined."
2021 Jun 22,ACS nano,ACS Nano. 2021 Jun 22;15(6):9222-9228. doi: 10.1021/acsnano.1c04304. Epub 2021 ,"['Chou, Leo Y T']",[],Design Verification as Foundation for Advancing DNA Nanotechnology Applications.,"Advances in the field of structural DNA nanotechnology have produced a growing number of nanostructures that are now being developed for diverse applications. Often, these nanostructures contain not only nucleic acids but also a myriad of other classes of molecules and materials such as proteins, lipids, sugars, and synthetic polymers. Increasing structural and compositional complexity promises new functional capabilities, but also demands new tools for design verification. Systematically verifying the design of DNA-scaffolded nanomaterials is necessary to identify and to refine their design rules, and to enable the field to progress toward ""real world"" applications. In this issue of ACS Nano, Bertosin et al. used single-particle cryo-electron microscopy to characterize the structure of multilayer DNA origamis following coating with oligolysine-based polymers, a class of material which has previously been shown to stabilize DNA nanostructures in physiological environments for use in biological applications. This Perspective summarizes their findings, discusses the broader challenges of verifying the design of DNA nanotechnologies incorporating complex materials, and highlights future directions for advancing their applications."
2016 Nov 29,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2016 Nov 29;113(48):13600-13605. doi: ,"['Zagorovsky, Kyryl', 'Chou, Leo Y T', 'Chan, Warren C W']","['dna chemistry', 'dna cleavage', 'deoxyribonuclease i analysis blood', 'drug delivery systems  methods', 'humans', 'nanoparticles  chemistry statistics & numerical data', 'nanostructures analysis therapeutic use', 'oligonucleotides blood  therapeutic use', 'polyethylene glycols chemistry', 'serum', 'dna nanostructures', 'controlled cargo release', 'nanoparticle assembly', 'serum resistance', 'serum stability']",Controlling DNA-nanoparticle serum interactions.,"Understanding the interaction of molecularly assembled nanoparticles with physiological fluids is critical to their use for in vivo delivery of drugs and contrast agents. Here, we systematically investigated the factors and mechanisms that govern the degradation of DNA on the nanoparticle surface in serum. We discovered that a higher DNA density, shorter oligonucleotides, and thicker PEG layer increased protection of DNA against serum degradation. Oligonucleotides on the surface of nanoparticles were highly resistant to DNase I endonucleases, and degradation was carried out exclusively by protein-mediated exonuclease cleavage and full-strand desorption. These results enabled the programming of the degradation rates of the DNA-assembled nanoparticle system from 0.1 to 0.7 h(-1) and the engineering of superstructures that can release two different preloaded dye molecules with distinct kinetics and half-lives ranging from 3.3 to 9.8 h. This study provides a general framework for investigating the serum stability of DNA-containing nanostructures. The results advance our understanding of engineering principles for designing nanoparticle assemblies with controlled in vivo behavior and present a strategy for storage and multistage release of drugs and contrast agents that can facilitate the diagnosis and treatment of cancer and other diseases."
2016 Oct,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2016 Oct;28(38):8511-8518. doi: 10.1002/adma.201600773. Epub 2016 Aug ,"['Raeesi, Vahid', 'Chou, Leo Y T', 'Chan, Warren C W']","['dna', 'drug delivery systems', 'gold', 'hela cells', 'humans', 'nanoparticles', ' nanotubes', 'dna assembly', 'cancer', 'controlled drug release', 'core-satellite', 'gold nanorods', 'nanomedicine', 'nanotechnology']",Tuning the Drug Loading and Release of DNA-Assembled Gold-Nanorod Superstructures.,"The use of DNA to assemble inorganic nanoparticles into superstructures is an emerging strategy to build non-toxic delivery vehicles for targeting diseases in the body. The impact of the core-satellite nanosystem design in mediating drug storage, drug release (via heat), and killing of HeLa cells in culture is investigated."
2016 Apr 6,Journal of the American Chemical Society,J Am Chem Soc. 2016 Apr 6;138(13):4565-72. doi: 10.1021/jacs.6b00751. Epub 2016 ,"['Chou, Leo Y T', 'Song, Fayi', 'Chan, Warren C W']","['dna  chemistry', 'deoxyribonuclease i metabolism', 'engineering', 'gold chemistry', 'metal nanoparticles  chemistry', 'nanostructures', 'oligonucleotides chemistry', 'polyamines  chemistry', 'polymers  chemistry', 'trypsin metabolism']",Engineering the Structure and Properties of DNA-Nanoparticle Superstructures Using Polyvalent Counterions.,"DNA assembly of nanoparticles is a powerful approach to control their properties and prototype new materials. However, the structure and properties of DNA-assembled nanoparticles are labile and sensitive to interactions with counterions, which vary with processing and application environment. Here we show that substituting polyamines in place of elemental counterions significantly enhanced the structural rigidity and plasmonic properties of DNA-assembled metal nanoparticles. These effects arose from the ability of polyamines to condense DNA and cross-link DNA-coated nanoparticles. We further used polyamine wrapped DNA nanostructures as structural templates to seed the growth of polymer multilayers via layer-by-layer assembly, and controlled the degree of DNA condensation, plasmon coupling efficiency, and material responsiveness to environmental stimuli by varying polyelectrolyte composition. These results highlight counterion engineering as a versatile strategy to tailor the properties of DNA-nanoparticle assemblies for various applications, and should be applicable to other classes of DNA nanostructures."
2014 Feb,Nature nanotechnology,Nat Nanotechnol. 2014 Feb;9(2):148-55. doi: 10.1038/nnano.2013.309. Epub 2014 Jan ,"['Chou, Leo Y T', 'Zagorovsky, Kyryl', 'Chan, Warren C W']","['animals', 'dna  chemistry metabolism therapeutic use', 'drug delivery systems', 'exocytosis physiology', 'macrophages metabolism', 'mice', 'mice, nude', 'nanomedicine  methods', 'nanoparticles  chemistry therapeutic use', 'nanostructures  chemistry therapeutic use', 'neoplasms chemistry drug therapy metabolism']",DNA assembly of nanoparticle superstructures for controlled biological delivery and elimination.,"The assembly of nanomaterials using DNA can produce complex nanostructures, but the biological applications of these structures remain unexplored. Here, we describe the use of DNA to control the biological delivery and elimination of inorganic nanoparticles by organizing them into colloidal superstructures. The individual nanoparticles serve as building blocks, whose size, surface chemistry and assembly architecture dictate the overall superstructure design. These superstructures interact with cells and tissues as a function of their design, but subsequently degrade into building blocks that can escape biological sequestration. We demonstrate that this strategy reduces nanoparticle retention by macrophages and improves their in vivo tumour accumulation and whole-body elimination. Superstructures can be further functionalized to carry and protect imaging or therapeutic agents against enzymatic degradation. These results suggest a different strategy to engineer nanostructure interactions with biological systems and highlight new directions in the design of biodegradable and multifunctional nanomedicine."
