time,journal,doi_info,authors,key words,title,abstract
2024 May 31,European urology oncology,Eur Urol Oncol. 2024 May 31:S2588-9311(24)00137-8. doi: ,"['Mourato, Felipe A', 'Schmitt, Luiza G', 'Mariussi, Miriana', 'Torri, Giovanni', 'Altmayer, Stephan', 'Giganti, Francesco', 'Abreu-Gomez, Jorge', 'Perlis, Nathan', 'Berlin, Alejandro', 'Ghai, Sangeet', 'Haider, Masoom A', 'Dias, Adriano B']","['magnetic resonance imaging', 'prostate imaging for recurrence reporting (pi-rr)', 'prostate cancer', 'reporting system']",Prostate Magnetic Resonance Imaging Using the Prostate Imaging for Recurrence Reporting (PI-RR) Scoring System to Detect Recurrent Prostate Cancer: A Systematic Review and Meta-analysis.,"BACKGROUND AND OBJECTIVE: Prostate Imaging for Recurrence Reporting (PI-RR) was introduced in 2021 to standardize the interpretation and reporting of multiparametric magnetic resonance imaging (MRI) for prostate cancer following whole-gland treatment. The system scores image on a scale from 1 to 5 and has shown promising results in single-center studies. The aim of our systematic review and meta-analysis was to assess the diagnostic performance of the PI-RR system in predicting the likelihood of local recurrence after whole-gland treatment. METHODS: The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines for diagnostic test accuracy were followed. Relevant databases were searched up to December 2023. Primary studies met the eligibility criteria if they reported MRI diagnostic performance in prostate cancer recurrence using PI-RR. Diagnostic performance for MRI was assessed using two different cutoff points (≥3 or ≥4 for positivity according to the PI-RR system). A meta-analysis with a random-effects model was used to estimate pooled sensitivity and specificity values. KEY FINDINGS AND LIMITATIONS: Sixteen articles were identified for full-text reading, of which six were considered eligible, involving a total of 467 patients. Using a cutoff of PI-RR ≥3 (4 studies) for recurrent disease, the sensitivity was 77.8% (95% confidence interval ["
2024 May 24,European radiology,Eur Radiol. 2024 May 24. doi: 10.1007/s00330-024-10795-4.,"['de Rooij, Maarten', 'Allen, Clare', 'Twilt, Jasper J', 'Thijssen, Linda C P', 'Asbach, Patrick', 'Barrett, Tristan', 'Brembilla, Giorgio', 'Emberton, Mark', 'Gupta, Rajan T', 'Haider, Masoom A', 'Kasivisvanathan, Veeru', 'Løgager, Vibeke', 'Moore, Caroline M', 'Padhani, Anwar R', 'Panebianco, Valeria', 'Puech, Philippe', 'Purysko, Andrei S', 'Renard-Penna, Raphaële', 'Richenberg, Jonathan', 'Salomon, Georg', 'Sanguedolce, Francesco', 'Schoots, Ivo G', 'Thöny, Harriet C', 'Turkbey, Baris', 'Villeirs, Geert', 'Walz, Jochen', 'Barentsz, Jelle', 'Giganti, Francesco']","['magnetic resonance imaging', 'prostatic neoplasms', 'quality control']",PI-QUAL version 2: an update of a standardised scoring system for the assessment of image quality of prostate MRI.,"Multiparametric MRI is the optimal primary investigation when prostate cancer is suspected, and its ability to rule in and rule out clinically significant disease relies on high-quality anatomical and functional images. Avenues for achieving consistent high-quality acquisitions include meticulous patient preparation, scanner setup, optimised pulse sequences, personnel training, and artificial intelligence systems. The impact of these interventions on the final images needs to be quantified. The prostate imaging quality (PI-QUAL) scoring system was the first standardised quantification method that demonstrated the potential for clinical benefit by relating image quality to cancer detection ability by MRI. We present the updated version of PI-QUAL (PI-QUAL v2) which applies to prostate MRI performed with or without intravenous contrast medium using a simplified 3-point scale focused on critical technical and qualitative image parameters. CLINICAL RELEVANCE STATEMENT: High image quality is crucial for prostate MRI, and the updated version of the PI-QUAL score (PI-QUAL v2) aims to address the limitations of version 1. It is now applicable to both multiparametric MRI and MRI without intravenous contrast medium. KEY POINTS: High-quality images are essential for prostate cancer diagnosis and management using MRI. PI-QUAL v2 simplifies image assessment and expands its applicability to prostate MRI without contrast medium. PI-QUAL v2 focuses on critical technical and qualitative image parameters and emphasises T2-WI and DWI."
2024 Mar 30,European urology,Eur Urol. 2024 Mar 30:S0302-2838(24)02232-2. doi: 10.1016/j.eururo.2024.03.014.,"['Englman, Cameron', 'Maffei, Davide', 'Allen, Clare', 'Kirkham, Alex', 'Albertsen, Peter', 'Kasivisvanathan, Veeru', 'Baroni, Ronaldo Hueb', 'Briganti, Alberto', 'De Visschere, Pieter', 'Dickinson, Louise', 'Gómez Rivas, Juan', 'Haider, Masoom A', 'Kesch, Claudia', 'Loeb, Stacy', 'Macura, Katarzyna J', 'Margolis, Daniel', 'Mitra, Anita M', 'Padhani, Anwar R', 'Panebianco, Valeria', 'Pinto, Peter A', 'Ploussard, Guillaume', 'Puech, Philippe', 'Purysko, Andrei S', 'Radtke, Jan Philipp', 'Rannikko, Antti', 'Rastinehad, Art', 'Renard-Penna, Raphaele', 'Sanguedolce, Francesco', 'Schimmöller, Lars', 'Schoots, Ivo G', 'Shariat, Shahrokh F', 'Schieda, Nicola', 'Tempany, Clare M', 'Turkbey, Baris', 'Valerio, Massimo', 'Villers, Arnauld', 'Walz, Jochen', 'Barrett, Tristan', 'Giganti, Francesco', 'Moore, Caroline M']","['active surveillance', 'consensus', 'prostate cancer', 'prostate magnetic resonance imaging']",PRECISE Version 2: Updated Recommendations for Reporting Prostate Magnetic Resonance Imaging in Patients on Active Surveillance for Prostate Cancer.,
2023 Dec,Radiology,Radiology. 2023 Dec;309(3):e230431. doi: 10.1148/radiol.230431.,"['Alabousi, Mostafa', 'Ghai, Sangeet', 'Haider, Masoom A']","['male', 'humans', ' prostatic neoplasms diagnostic imaging surgery', 'magnetic resonance imaging methods', ' ablation techniques methods']",MRI-guided Minimally Invasive Focal Therapies for Prostate Cancer.,"Two cases involving patients diagnosed with localized prostate cancer and treated with MRI-guided focal therapies are presented. Patient selection procedures, techniques, outcomes, challenges, and future directions of MRI-guided focal therapies, as well as their role in the treatment of low- to intermediate-risk localized prostate cancer, are summarized."
2024 Jan,Radiologic clinics of North America,Radiol Clin North Am. 2024 Jan;62(1):37-51. doi: 10.1016/j.rcl.2023.06.008. Epub ,"['Abreu-Gomez, Jorge', 'Lim, Christopher', 'Haider, Masoom A']","['male', 'humans', ' prostate diagnostic imaging pathology', ' prostatic neoplasms diagnostic imaging pathology', 'magnetic resonance imaging methods', 'research design', 'artificial intelligence', 'image-guided biopsy methods', 'mr guided biopsy', 'pi-rads 3', 'psad', 'prostate cancer', 'mpmri']",Contemporary Approach to Prostate Imaging and Data Reporting System Score 3 Lesions.,"The aim of this article is to review the technical and clinical considerations encountered with PI-RADS 3 lesions, which are equivocal for clinically significant Prostate Cancer (csPCa) with detection rates ranging between 10% and 35%. The number of PI-RADS 3 lesions reported vary according to several factors including MRI quality and radiologist training/expertise among the most influential. PI-RADS v.2.1 updated definitions for scores 2 and 3 in the PZ and scores 1 and 2 in the TZ is reviewed. The role of DWI role is highlighted in the assessment of the TZ with the possibility of upgrading score 2 lesions to score 3 based on DWI score. Given the increased utilization for prostate MRI, biparametric MRI can be considered as an alternative for low-risk patients where there is a need to rule out csPCa acknowledging this technique may increase the number of indeterminate cases going for biopsies. Management of patients with equivocal lesions at mpMRI and factors influencing biopsy decision process remain as an unmet need and additional studies using molecular/imaging markers as well as artificial intelligence tools are needed to further address their role in proper patient selection for biopsy."
2023 Nov,Radiology. Imaging cancer,Radiol Imaging Cancer. 2023 Nov;5(6):e220153. doi: 10.1148/rycan.220153.,"['Mendes Serrão, Eva', 'Klug, Maximiliano', 'Moloney, Brian M', 'Jhaveri, Aaditeya', 'Lo Gullo, Roberto', 'Pinker, Katja', 'Luker, Gary', 'Haider, Masoom A', 'Shinagare, Atul B', 'Liu, Xiaoyang']","['humans', ' neoplasms diagnostic imaging genetics therapy', 'genomics methods', 'phenotype', 'radiologists', 'biomarkers', 'cancer genomics', 'epignomics', 'imaging markers', 'oncology', 'radiogenomics']",Current Status of Cancer Genomics and Imaging Phenotypes: What Radiologists Need to Know.,"Ongoing discoveries in cancer genomics and epigenomics have revolutionized clinical oncology and precision health care. This knowledge provides unprecedented insights into tumor biology and heterogeneity within a single tumor, among primary and metastatic lesions, and among patients with the same histologic type of cancer. Large-scale genomic sequencing studies also sparked the development of new tumor classifications, biomarkers, and targeted therapies. Because of the central role of imaging in cancer diagnosis and therapy, radiologists need to be familiar with the basic concepts of genomics, which are now becoming the new norm in oncologic clinical practice. By incorporating these concepts into clinical practice, radiologists can make their imaging interpretations more meaningful and specific, facilitate multidisciplinary clinical dialogue and interventions, and provide better patient-centric care. This review article highlights basic concepts of genomics and epigenomics, reviews the most common genetic alterations in cancer, and discusses the implications of these concepts on imaging by organ system in a case-based manner. This information will help stimulate new innovations in imaging research, accelerate the development and validation of new imaging biomarkers, and motivate efforts to bring new molecular and functional imaging methods to clinical radiology. Keywords: Oncology, Cancer Genomics, Epignomics, Radiogenomics, Imaging Markers Supplemental material is available for this article. © RSNA, 2023."
2024 Jun,European urology oncology,Eur Urol Oncol. 2024 Jun;7(3):456-461. doi: 10.1016/j.euo.2023.09.013. Epub 2023 ,"['Klotz, Laurence', 'Chin, Joseph', 'Black, Peter C', 'Finelli, Antonio', 'Anidjar, Maurice', 'Machado, Ashley', 'Levental, Mark', 'Ghai, Sangeet', 'Chang, Silvia D', 'Patel, Chirag', 'Kassam, Zahra', 'Loblaw, Andrew', 'Kebabdjian, Marlene', 'Pond, Greg', 'Haider, Masoom A']","['humans', 'male', ' prostatic neoplasms pathology diagnostic imaging', 'prospective studies', ' image-guided biopsy methods', 'aged', 'middle aged', ' magnetic resonance imaging methods', 'follow-up studies', 'prostate pathology diagnostic imaging', 'magnetic resonance imaging', 'prostate cancer diagnosis', 'randomized trial', 'targeted biopsy']",Magnetic Resonance Imaging-Targeted Versus Systematic Prostate Biopsies: 2-year Follow-up of a Prospective Randomized Trial (PRECISE).,
2023,Transplant international : official journal of the European Society for Organ ,Transpl Int. 2023 Sep 1;36:11149. doi: 10.3389/ti.2023.11149. eCollection 2023.,"['Qazi Arisar, Fakhar Ali', 'Salinas-Miranda, Emmanuel', 'Ale Ali, Hamideh', 'Lajkosz, Katherine', 'Chen, Catherine', 'Azhie, Amirhossein', 'Healy, Gerard M', 'Deniffel, Dominik', 'Haider, Masoom A', 'Bhat, Mamatha']","['humans', 'infant', 'pilot projects', ' artificial intelligence', ' liver transplantation', 'retrospective studies', 'fibrosis', 'ct scan', 'artificial intelligence', 'imaging biomarkers', 'machine learning', 'prognostic model']",Development of a Radiomics-Based Model to Predict Graft Fibrosis in Liver Transplant Recipients: A Pilot Study.,"Liver Transplantation is complicated by recurrent fibrosis in 40% of recipients. We evaluated the ability of clinical and radiomic features to flag patients at risk of developing future graft fibrosis. CT scans of 254 patients at 3-6 months post-liver transplant were retrospectively analyzed. Volumetric radiomic features were extracted from the portal phase using an Artificial Intelligence-based tool (PyRadiomics). The primary endpoint was clinically significant (≥F2) graft fibrosis. A 10-fold cross-validated LASSO model using clinical and radiomic features was developed. In total, 75 patients (29.5%) developed ≥F2 fibrosis by a median of 19 (4.3-121.8) months. The maximum liver attenuation at the venous phase (a radiomic feature reflecting venous perfusion), primary etiology, donor/recipient age, recurrence of disease, brain-dead donor, tacrolimus use at 3 months, and APRI score at 3 months were predictive of ≥F2 fibrosis. The combination of radiomics and the clinical features increased the AUC to 0.811 from 0.793 for the clinical-only model (p = 0.008) and from 0.664 for the radiomics-only model (p < 0.001) to predict future ≥F2 fibrosis. This pilot study exploring the role of radiomics demonstrates that the addition of radiomic features in a clinical model increased the model's performance. Further studies are required to investigate the generalizability of this experimental tool."
2023 Nov,European journal of radiology,Eur J Radiol. 2023 Nov;168:111091. doi: 10.1016/j.ejrad.2023.111091. Epub 2023 ,"['Fleming, Hannah', 'Dias, Adriano Basso', 'Talbot, Nancy', 'Li, Xuan', 'Corr, Kateri', 'Haider, Masoom A', 'Ghai, Sangeet']","['male', 'humans', ' prostate', 'reproducibility of results', 'retrospective studies', 'magnetic resonance imaging methods', ' prostatic neoplasms diagnostic imaging', 'image quality', 'prostate mri', 'prostate imaging']",Inter-reader variability and reproducibility of the PI-QUAL score in a multicentre setting.,"PURPOSE: To assess the inter-reader reproducibility of the Prostate Imaging Quality (PI-QUAL) score between readers with varying clinical experience and its reproducibility at assessing imaging quality between different institutions. METHODS: Following IRB approval, we assessed 60 consecutive prostate MRI scans performed at different academic teaching and non-academic hospitals uploaded to our institutes' PACS for second opinion or discussion in case conferences. Anonymized scans were independently reviewed using the PI-QUAL scoring sheet by three readers - two radiologists (with 1 and 12 years Prostate MRI reporting experience), and an experienced MRI technician with interest in image acquisition and quality. All readers were blinded to the site where scans were acquired. RESULTS: Agreement coefficients between the 3 readers in paired comparison for each individual PI-QUAL score was moderate. When the scans were clustered into 2 groups according to their ability to rule in or rule out clinically significant prostate cancer [i.e., PI-QUAL score 1-3 vs PI-QUAL score 4-5], the Gwet AC1 coefficients between the three readers in paired comparison was good to very good [Gwet AC 1:0.77, 0.67, 0.836 respectively] with agreement percentage of 88.3%, 83.3% and 91.7% respectively. Agreement coefficient was higher between the experienced radiologist and the experienced MRI technician than between the less experienced trainee radiologist and the other two readers. The mean PI-QUAL score provided by each reader for the scans was significantly higher in the academic hospitals (n = 32) compared to the community hospital (n = 28) [experienced radiologist 4.6 vs 2.9; trainee radiologist 4.5 vs 2.4; experienced technologist 4.4 vs 2.4; p value < 0.001]. CONCLUSION: We observed good to very good reproducibility in the assessment of each MRI sequence and when scans were clustered into two groups [PI-QUAL 1-3 vs PI-QUAL 4-5] between readers with varying clinical experience. However, the reproducibility for each single PI-QUAL score between readers was moderate. Better definitions for each PI-QUAL score criteria may further improve reproducibility between readers. Additionally, the mean PI-QUAL score provided by all three readers was significantly higher for scans performed at academic teaching hospitals compared to community hospital."
2024 Feb,European urology oncology,Eur Urol Oncol. 2024 Feb;7(1):169-170. doi: 10.1016/j.euo.2023.07.015. Epub 2023 ,"['Abreu-Gomez, Jorge', 'Haider, Masoom', 'Ghai, Sangeet']","['male', 'humans', 'prostate diagnostic imaging surgery', ' multiparametric magnetic resonance imaging', ' prostatic neoplasms diagnostic imaging surgery', 'diagnostic imaging']","Re: Francesco Giganti, Louise Dickinson, Clement Orczyk, et al. Prostate Imaging After Focal Ablation (PI-FAB): A Proposal for a Scoring System for Multiparametric MRI of the Prostate After Focal Therapy. Eur Urol Oncol. 2023;6:629-634.",Proposal for a Scoring System for Multiparametric MRI of the Prostate After Focal Therapy. Eur Urol Oncol. 2023;6:629-634.PG - 169-170LID - S2588-9311(23)00159-1 [pii]LID - 10.1016/j.euo.2023.07.015 [doi]
