time,journal,doi_info,authors,key words,title,abstract
2023 Oct 5,American journal of human genetics,Am J Hum Genet. 2023 Oct 5;110(10):1769-1786. doi: 10.1016/j.ajhg.2023.08.012. ,"['van Loggerenberg, Warren', 'Sowlati-Hashjin, Shahin', 'Weile, Jochen', 'Hamilton, Rayna', 'Chawla, Aditya', 'Sheykhkarimli, Dayag', 'Gebbia, Marinella', 'Kishore, Nishka', 'Frésard, Laure', 'Mustajoki, Sami', 'Pischik, Elena', 'Di Pierro, Elena', 'Barbaro, Michela', 'Floderus, Ylva', 'Schmitt, Caroline', 'Gouya, Laurent', 'Colavin, Alexandre', 'Nussbaum, Robert', 'Friesema, Edith C H', 'Kauppinen, Raili', 'To-Figueras, Jordi', 'Aarsand, Aasne K', 'Desnick, Robert J', 'Garton, Michael', 'Roth, Frederick P']","['humans', ' hydroxymethylbilane synthase chemistry genetics metabolism', 'mutation, missense genetics', ' porphyria, acute intermittent diagnosis genetics', 'amino acid substitution', 'molecular dynamics simulation', 'aip', 'hmbs,', 'acute hepatic porphryia', 'acute intermittent porphryia', 'clinical variant interpretation', 'deep mutational scanning', 'heme biosynthesis', 'hydroxymethylbilane synthase', 'molecular dynamics', 'variant effect mapping']",Systematically testing human HMBS missense variants to reveal mechanism and pathogenic variation.,"Defects in hydroxymethylbilane synthase (HMBS) can cause acute intermittent porphyria (AIP), an acute neurological disease. Although sequencing-based diagnosis can be definitive, ∼⅓ of clinical HMBS variants are missense variants, and most clinically reported HMBS missense variants are designated as ""variants of uncertain significance"" (VUSs). Using saturation mutagenesis, en masse selection, and sequencing, we applied a multiplexed validated assay to both the erythroid-specific and ubiquitous isoforms of HMBS, obtaining confident functional impact scores for >84% of all possible amino acid substitutions. The resulting variant effect maps generally agreed with biochemical expectations and provide further evidence that HMBS can function as a monomer. Additionally, the maps implicated specific residues as having roles in active site dynamics, which was further supported by molecular dynamics simulations. Most importantly, these maps can help discriminate pathogenic from benign HMBS variants, proactively providing evidence even for yet-to-be-observed clinical missense variants."
2023 Feb 6,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Feb 6:2023.02.06.527353. doi: 10.1101/2023.02.06.527353.,"['van Loggerenberg, Warren', 'Sowlati-Hashjin, Shahin', 'Weile, Jochen', 'Hamilton, Rayna', 'Chawla, Aditya', 'Gebbia, Marinella', 'Kishore, Nishka', 'Frésard, Laure', 'Mustajoki, Sami', 'Pischik, Elena', 'Di Pierro, Elena', 'Barbaro, Michela', 'Floderus, Ylva', 'Schmitt, Caroline', 'Gouya, Laurent', 'Colavin, Alexandre', 'Nussbaum, Robert', 'Friesema, Edith C H', 'Kauppinen, Raili', 'To-Figueras, Jordi', 'Aarsand, Aasne K', 'Desnick, Robert J', 'Garton, Michael', 'Roth, Frederick P']",[],Systematically testing human HMBS missense variants to reveal mechanism and pathogenic variation.,"Defects in hydroxymethylbilane synthase (HMBS) can cause Acute Intermittent Porphyria (AIP), an acute neurological disease. Although sequencing-based diagnosis can be definitive, ~⅓ of clinical HMBS variants are missense variants, and most clinically-reported HMBS missense variants are designated as ""variants of uncertain significance"" (VUS). Using saturation mutagenesis, en masse selection, and sequencing, we applied a multiplexed validated assay to both the erythroid-specific and ubiquitous isoforms of HMBS, obtaining confident functional impact scores for >84% of all possible amino-acid substitutions. The resulting variant effect maps generally agreed with biochemical expectation. However, the maps showed variants at the dimerization interface to be unexpectedly well tolerated, and suggested residue roles in active site dynamics that were supported by molecular dynamics simulations. Most importantly, these HMBS variant effect maps can help discriminate pathogenic from benign variants, proactively providing evidence even for yet-to-be-observed clinical missense variants."
2022,Biodesign research,Biodes Res. 2022 Apr 15;2022:9791435. doi: 10.34133/2022/9791435. eCollection ,"['Sowlati-Hashjin, Shahin', 'Gandhi, Aanshi', 'Garton, Michael']",[],Dawn of a New Era for Membrane Protein Design.,"A major advancement has recently occurred in the ability to predict protein secondary structure from sequence using artificial neural networks. This new accessibility to high-quality predicted structures provides a big opportunity for the protein design community. It is particularly welcome for membrane protein design, where the scarcity of solved structures has been a major limitation of the field for decades. Here, we review the work done to date on the membrane protein design and set out established and emerging tools that can be used to most effectively exploit this new access to structures."
2021 Jul 1,American journal of human genetics,Am J Hum Genet. 2021 Jul 1;108(7):1283-1300. doi: 10.1016/j.ajhg.2021.05.009.,"['Weile, Jochen', 'Kishore, Nishka', 'Sun, Song', 'Maaieh, Ranim', 'Verby, Marta', 'Li, Roujia', 'Fotiadou, Iosifina', 'Kitaygorodsky, Julia', 'Wu, Yingzhou', 'Holenstein, Alexander', 'Bürer, Céline', 'Blomgren, Linnea', 'Yang, Shan', 'Nussbaum, Robert', 'Rozen, Rima', 'Watkins, David', 'Gebbia, Marinella', 'Kozich, Viktor', 'Garton, Michael', 'Froese, D Sean', 'Roth, Frederick P']","['amino acid substitution', 'dna mutational analysis', 'diploidy', 'gene library', 'genotype', 'humans', 'methylenetetrahydrofolate reductase (nadph2) deficiency  genetics physiology', ' mutation, missense', 'saccharomyces cerevisiae genetics', 'clinical variant interpretation', 'cystathionine beta synthase', 'deep mutational scanning', 'folate', 'gene- environment interaction', 'homocystinuria', 'methylenetetrahydrofolate reductase', 'molecular dynamics', 'mthfr', 'variant effect mapping']",Shifting landscapes of human MTHFR missense-variant effects.,"Most rare clinical missense variants cannot currently be classified as pathogenic or benign. Deficiency in human 5,10-methylenetetrahydrofolate reductase (MTHFR), the most common inherited disorder of folate metabolism, is caused primarily by rare missense variants. Further complicating variant interpretation, variant impacts often depend on environment. An important example of this phenomenon is the MTHFR variant p.Ala222Val (c.665C>T), which is carried by half of all humans and has a phenotypic impact that depends on dietary folate. Here we describe the results of 98,336 variant functional-impact assays, covering nearly all possible MTHFR amino acid substitutions in four folinate environments, each in the presence and absence of p.Ala222Val. The resulting atlas of MTHFR variant effects reveals many complex dependencies on both folinate and p.Ala222Val. MTHFR atlas scores can distinguish pathogenic from benign variants and, among individuals with severe MTHFR deficiency, correlate with age of disease onset. Providing a powerful tool for understanding structure-function relationships, the atlas suggests a role for a disordered loop in retaining cofactor at the active site and identifies variants that enable escape of inhibition by S-adenosylmethionine. Thus, a model based on eight MTHFR variant effect maps illustrates how shifting landscapes of environment- and genetic-background-dependent missense variation can inform our clinical, structural, and functional understanding of MTHFR deficiency."
2020 Jun 19,Nucleic acids research,Nucleic Acids Res. 2020 Jun 19;48(11):6382-6402. doi: 10.1093/nar/gkaa291.,"['Mueller, April L', 'Corbi-Verge, Carles', 'Giganti, David O', 'Ichikawa, David M', 'Spencer, Jeffrey M', 'MacRae, Mark', 'Garton, Michael', 'Kim, Philip M', 'Noyes, Marcus B']","['amino acid sequence', 'animals', 'base sequence', 'dna chemical synthesis genetics metabolism', 'deep learning', 'humans', 'hydrogen bonding', ' models, molecular', 'protein domains genetics  physiology', 'reproducibility of results', 'substrate specificity genetics', 'transcription factors chemistry genetics metabolism', 'zinc fingers genetics  physiology']",The geometric influence on the Cys2His2 zinc finger domain and functional plasticity.,"The Cys2His2 zinc finger is the most common DNA-binding domain expanding in metazoans since the fungi human split. A proposed catalyst for this expansion is an arms race to silence transposable elements yet it remains poorly understood how this domain is able to evolve the required specificities. Likewise, models of its DNA binding specificity remain error prone due to a lack of understanding of how adjacent fingers influence each other's binding specificity. Here, we use a synthetic approach to exhaustively investigate binding geometry, one of the dominant influences on adjacent finger function. By screening over 28 billion protein-DNA interactions in various geometric contexts we find the plasticity of the most common natural geometry enables more functional amino acid combinations across all targets. Further, residues that define this geometry are enriched in genomes where zinc fingers are prevalent and specificity transitions would be limited in alternative geometries. Finally, these results demonstrate an exhaustive synthetic screen can produce an accurate model of domain function while providing mechanistic insight that may have assisted in the domains expansion."
2019 Mar,Proteins,Proteins. 2019 Mar;87(3):236-244. doi: 10.1002/prot.25644. Epub 2019 Jan 4.,"['Garton, Michael', 'Corbi-Verge, Carles', 'Hu, Yuan', 'Nim, Satra', 'Tarasova, Nadya', 'Sherborne, Brad', 'Kim, Philip M']","['amino acids chemistry', 'cell survival drug effects', 'endodeoxyribonucleases antagonists & inhibitors  chemistry genetics', 'humans', 'molecular dynamics simulation', 'mutation genetics', 'pancreatic neoplasms  drug therapy genetics', 'peptides  chemistry genetics pharmacology', 'protein binding', ' thermodynamics', 'eme1', 'gpu', 'mus81', 'cancer', 'free energy calculation', 'peptide therapeutics', 'thermodynamic integration']",Rapid and accurate structure-based therapeutic peptide design using GPU accelerated thermodynamic integration.,"Peptide-based therapeutics are an alternative to small molecule drugs as they offer superior specificity, lower toxicity, and easy synthesis. Here we present an approach that leverages the dramatic performance increase afforded by the recent arrival of GPU accelerated thermodynamic integration (TI). GPU TI facilitates very fast, highly accurate binding affinity optimization of peptides against therapeutic targets. We benchmarked TI predictions using published peptide binding optimization studies. Prediction of mutations involving charged side-chains was found to be less accurate than for non-charged, and use of a more complex 3-step TI protocol was found to boost accuracy in these cases. Using the 3-step protocol for non-charged side-chains either had no effect or was detrimental. We use the benchmarked pipeline to optimize a peptide binding to our recently discovered cancer target: EME1. TI calculations predict beneficial mutations using both canonical and non-canonical amino acids. We validate these predictions using fluorescence polarization and confirm that binding affinity is increased. We further demonstrate that this increase translates to a significant reduction in pancreatic cancer cell viability."
2018 Jun 19,"Philosophical transactions of the Royal Society of London. Series B, Biological ",Philos Trans R Soc Lond B Biol Sci. 2018 Jun 19;373(1749):20170190. doi: ,"['Garton, Michael', 'MacKinnon, Stephen S', 'Malevanets, Anatoly', 'Wodak, Shoshana J']","[' allosteric regulation', 'bacterial proteins  chemistry', 'models, molecular', 'protein binding', ' protein conformation', 'allostery', 'backbone mobility', 'binding epitope', 'homodimer', 'protein function', 'regulation']",Interplay of self-association and conformational flexibility in regulating protein function.,"Many functional roles have been attributed to homodimers, the most common mode of protein self-association, notably in the regulation of enzymes, ion channels, transporters and transcription factors. Here we review findings that offer new insights into the different roles conformational flexibility plays in regulating homodimer function. Intertwined homodimers of two-domain proteins and their related family members display significant conformational flexibility, which translates into concerted motion between structural domains. This flexibility enables the corresponding proteins to regulate function across family members by modulating the spatial positions of key recognition surfaces of individual domains, to either maintain subunit interfaces, alter them or break them altogether, leading to a variety of functional consequences. Many proteins may exist as monomers but carry out their biological function as homodimers or higher-order oligomers. We present early evidence that in such systems homodimer formation primes the protein for its functional role. It does so by inducing elevated mobility in protein regions corresponding to the binding epitopes of functionally important ligands. In some systems this process acts as an allosteric response elicited by the self-association reaction itself. Our analysis furthermore suggests that the induced extra mobility likely facilitates ligand binding through the mechanism of conformational selection.This article is part of a discussion meeting issue 'Allostery and molecular machines'."
2018 Feb 13,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2018 Feb 13;115(7):1505-1510. doi: ,"['Garton, Michael', 'Nim, Satra', 'Stone, Tracy A', 'Wang, Kyle Ethan', 'Deber, Charles M', 'Kim, Philip M']","['algorithms', 'amino acids  chemistry', ' databases, protein', 'glucagon-like peptide 1 agonists chemistry metabolism', 'glucagon-like peptide-1 receptor metabolism', 'hek293 cells', 'half-life', 'humans', 'parathyroid hormone agonists chemistry metabolism', 'peptides  chemistry metabolism pharmacokinetics', 'protein conformation', 'protein engineering  methods', 'receptor, parathyroid hormone, type 1 metabolism', 'reproducibility of results', 'd-amino acid', 'd-analog', 'biologics', 'peptide', 'peptidomimetics']",Method to generate highly stable D-amino acid analogs of bioactive helical peptides using a mirror image of the entire PDB.,"Biologics are a rapidly growing class of therapeutics with many advantages over traditional small molecule drugs. A major obstacle to their development is that proteins and peptides are easily destroyed by proteases and, thus, typically have prohibitively short half-lives in human gut, plasma, and cells. One of the most effective ways to prevent degradation is to engineer analogs from dextrorotary (D)-amino acids, with up to 10(5)-fold improvements in potency reported. We here propose a general peptide-engineering platform that overcomes limitations of previous methods. By creating a mirror image of every structure in the Protein Data Bank (PDB), we generate a database of ∼2.8 million D-peptides. To obtain a D-analog of a given peptide, we search the (D)-PDB for similar configurations of its critical-""hotspot""-residues. As a proof of concept, we apply our method to two peptides that are Food and Drug Administration approved as therapeutics for diabetes and osteoporosis, respectively. We obtain D-analogs that activate the GLP1 and PTH1 receptors with the same efficacy as their natural counterparts and show greatly increased half-life."
2017,PloS one,PLoS One. 2017 Nov 6;12(11):e0187524. doi: 10.1371/journal.pone.0187524. ,"['Garton, Michael', 'Sayadi, Maryam', 'Kim, Philip M']","['amino acid sequence', 'amino acids  chemistry', 'proteins  chemistry metabolism', 'vascular endothelial growth factor a antagonists & inhibitors']",A computational approach for designing D-proteins with non-canonical amino acid optimised binding affinity.,"Redesigning protein surface topology to improve target binding holds great promise in the search for highly selective therapeutics. While significant binding improvements can be achieved using natural amino acids, the introduction of non-canonical residues vastly increases sequence space and thus the chance to significantly out-compete native partners. The potency of protein inhibitors can be further enhanced by synthesising mirror image, D-amino versions. This renders them non-immunogenic and makes them highly resistant to proteolytic degradation. Current experimental design methods often preclude the use of D-amino acids and non-canonical amino acids for a variety of reasons. To address this, we build an in silico pipeline for D-protein designs featuring non-canonical amino acids. For a test scaffold we use an existing D-protein inhibitor of VEGF: D-RFX001. We benchmark the approach by recapitulating previous experimental optimisation with canonical amino acids. Subsequent incorporation of non-canonical amino acids allows designs that are predicted to improve binding affinity by up to -7.18 kcal/mol."
2017 Sep 6,Genome biology,Genome Biol. 2017 Sep 6;18(1):167. doi: 10.1186/s13059-017-1287-y.,"['Najafabadi, Hamed S', 'Garton, Michael', 'Weirauch, Matthew T', 'Mnaimneh, Sanie', 'Yang, Ally', 'Kim, Philip M', 'Hughes, Timothy R']","['animals', ' cys2-his2 zinc fingers', 'dna  metabolism', ' evolution, molecular', 'humans', 'pedigree', 'protein binding']",Non-base-contacting residues enable kaleidoscopic evolution of metazoan C2H2 zinc finger DNA binding.,"BACKGROUND: The C2H2 zinc finger (C2H2-ZF) is the most numerous protein domain in many metazoans, but is not as frequent or diverse in other eukaryotes. The biochemical and evolutionary mechanisms that underlie the diversity of this DNA-binding domain exclusively in metazoans are, however, mostly unknown. RESULTS: Here, we show that the C2H2-ZF expansion in metazoans is facilitated by contribution of non-base-contacting residues to DNA binding energy, allowing base-contacting specificity residues to mutate without catastrophic loss of DNA binding. In contrast, C2H2-ZF DNA binding in fungi, plants, and other lineages is constrained by reliance on base-contacting residues for DNA-binding functionality. Reconstructions indicate that virtually every DNA triplet was recognized by at least one C2H2-ZF domain in the common progenitor of placental mammals, but that extant C2H2-ZF domains typically bind different sequences from these ancestral domains, with changes facilitated by non-base-contacting residues. CONCLUSIONS: Our results suggest that the evolution of C2H2-ZFs in metazoans was expedited by the interaction of non-base-contacting residues with the DNA backbone. We term this phenomenon ""kaleidoscopic evolution,"" to reflect the diversity of both binding motifs and binding motif transitions and the facilitation of their diversification."
