time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in rehabilitation sciences,Front Rehabil Sci. 2024 Apr 29;5:1322191. doi: 10.3389/fresc.2024.1322191. ,"['Shikako, Keiko', 'Lai, Jonathan', 'Yoo, Paul Y', 'Teachman, Gail', 'Majnemer, Annette']","['childhood disability', 'disability rights', 'health', 'human rights', 'knowledge translation', 'participatory research', 'policy']",Evidence-informed stakeholder consultations to promote rights-based approaches for children with disabilities.,"PURPOSE: To strengthen the translation of evidence to actionable policy, stakeholder engagement is necessary to synthesize, prioritize and contextualize the academic research content into accessible language. In this manuscript we describe a multi-level evidence-based stakeholder consultation process and related outcomes proposed to promote awareness of and foster cross-sectorial collaborations towards human rights-based approaches for children with disabilities. METHODS: Mixed-methods participatory action research done in three steps: (1) A literature review of peer-reviewed evidence on rights-based approaches in childhood disabilities; (2) Consultation with researchers in diverse fields, grassroot organizations, caregivers, and youth with disabilities; (3) A constructive dialogue with decision makers at federal and provincial levels in Canada to discuss consultations results. RESULTS: Stakeholders value human rights approaches that can have a direct impact on practical aspects of their daily living. Organizations give high importance to adopting rights-based approaches to measure policy outcomes, while parents value service provision and youth emphasize accessibility. CONCLUSION: The implementation of rights-based approaches in childhood disabilities can support policy, services, and daily lives of children with disabilities and the ecosystems around them. It can also guide research priorities, and create a common language to foster collaborations across sectors and interested parties."
2024,PloS one,PLoS One. 2024 Feb 14;19(2):e0297162. doi: 10.1371/journal.pone.0297162. ,"['Singh, Hardeep', 'Benn, Natasha', 'Fung, Agnes', 'Kokorelias, Kristina M', 'Martyniuk, Julia', 'Nelson, Michelle L A', 'Colquhoun, Heather', 'Cameron, Jill I', 'Munce, Sarah', 'Saragosa, Marianne', 'Godhwani, Kian', 'Khan, Aleena', 'Yoo, Paul Yejong', 'Kuluski, Kerry']","['humans', ' research design', 'focus groups', 'data management', ' stroke therapy']",Co-design for stroke intervention development: Results of a scoping review.,"BACKGROUND: Co-design methodology seeks to actively engage end-users in developing interventions. It is increasingly used to design stroke interventions; however, limited guidance exists, particularly with/for individuals with stroke who have diverse cognitive, physical and functional abilities. Thus, we describe 1) the extent of existing research that has used co-design for stroke intervention development and 2) how co-design has been used to develop stroke interventions among studies that explicitly used co-design, including the rationale, types of co-designed stroke interventions, participants involved, research methodologies/approaches, methods of incorporating end-users in the research, co-design limitations, challenges and potential strategies reported by researchers. MATERIALS AND METHODS: A scoping review informed by Joanna Briggs Institute and Arksey & O'Malley methodology was conducted by searching nine databases on December 21, 2022, to locate English-language literature that used co-design to develop a stroke intervention. Additional data sources were identified through a hand search. Data sources were de-duplicated, and two research team members reviewed their titles, abstracts and full text to ensure they met the inclusion criteria. Data relating to the research objectives were extracted, analyzed, and reported numerically and descriptively. RESULTS: Data sources used co-design for stroke intervention development with (n = 89) and without (n = 139) explicitly using the term 'co-design.' Among studies explicitly using co-design, it was commonly used to understand end-user needs and generate new ideas. Many co-designed interventions were technology-based (65%), and 48% were for physical rehabilitation or activity-based. Co-design was commonly conducted with multiple participants (82%; e.g., individuals with stroke, family members/caregivers and clinicians) and used various methods to engage end-users, including focus groups and workshops. Limitations, challenges and potential strategies for recruitment, participant-engagement, contextual and logistical and ethics of co-designed interventions were described. CONCLUSIONS: Given the increasing popularity of co-design as a methodology for developing stroke interventions internationally, these findings can inform future co-designed studies."
2024,PloS one,PLoS One. 2024 Feb 8;19(2):e0297680. doi: 10.1371/journal.pone.0297680. ,"['Peng, Michael', 'Yoo, Paul B', 'Agur, Anne M R']","['humans', ' lower extremity', ' tibia', 'ankle joint', 'femoral vein', 'saphenous vein diagnostic imaging', 'cadaver']","Distribution, course, and spatial relationships of the saphenous nerve: A 3D neuroanatomical map for nerve stimulation.","The overall objective of this study was to construct a 3D neuroanatomical map of the saphenous nerve based on cartesian coordinate data to define its course in 3D space relative to bony and soft tissue landmarks. Ten lower limb embalmed specimens were meticulously dissected, digitized, laser scanned, and modelled in 3D. The course of the main branches, number of collateral branches, and relationship of saphenous nerve to the great saphenous vein were defined and quantified using the high-fidelity 3D models. In 60% of specimens, the saphenous nerve was found to have three branches in the leg, infrapatellar, anterior, and posterior. In 40% of specimens, the posterior branch was absent. Three landmarks were found to consistently localize the anterior branch: the medial border of tibia at the level of the tibial tuberosity, the medial border of tibia at the level of the mid-point of leg, and the mid-point of the anterior border of the medial malleolus. The posterior branch, when present, had variable branching patterns but did not extend as far distally as the medial malleolus in any specimen. Anatomically, the anterior and posterior branches at the level of the tibial tuberosity could be most advantageous for nerve stimulation due to their close proximity to the bifurcation of the saphenous nerve where the branches are larger and more readily localizable than distally. Additionally, the tibial tuberosity is a prominent landmark that can be easily identified in most individuals and could be used to localize the anterior and posterior branch using ultrasound or other imaging modalities. These findings will enable implementation of highly realistic computational models that can be used to simulate saphenous nerve stimulation using percutaneous and implanted devices."
2023 Nov 22,Journal of neural engineering,J Neural Eng. 2023 Nov 22;20(6). doi: 10.1088/1741-2552/ad0c60.,"['Tovbis, Daniel', 'Lee, Eugene', 'Koh, Ryan G L', 'Jeong, Rania', 'Agur, Anne', 'Yoo, Paul B']","['rats', 'humans', 'animals', ' nerve fibers', 'electrodes', ' nerve tissue', 'vagus nerve physiology', 'computer simulation', 'tens', 'computational modeling', 'etens', 'nerve cuff electrode', 'neural interfaces', 'vagus nerve stimulation']",Enhancing the selective electrical activation of human vagal nerve fibers: a comparative computational modeling study with validation in a rat sciatic model.,"Objective.Vagus nerve stimulation (VNS) is an emerging treatment option for a myriad of medical disorders, where the method of delivering electrical pulses can vary depending on the clinical indication. In this study, we investigated the relative effectiveness of electrically activating the cervical vagus nerve among three different approaches: nerve cuff electrode stimulation (NCES), transcutaneous electrical nerve stimulation (TENS), and enhanced TENS (eTENS). The objectives were to characterize factors that influenced nerve activation and to compare the nerve recruitment properties as a function of nerve fiber diameter.Methods.The Finite Element Model, based on data from the Visible Human Project, was implemented in COMSOL. The three simulation types were compared under a range of vertical and horizontal displacements relative to the location of the vagus nerve. Monopolar anodic stimulation was examined, along with latency and activation of different fiber sizes. Nerve activation was determined via the activating function and McIntyre-Richardson-Grill models, and activation thresholds were validated in anin-vivorodent model.Results.While NCES produced the lowest activation thresholds, eTENS generally performed superior to TENS under the range of conditions and fiber diameters, producing activation thresholds up to three times lower than TENS. eTENS also preserved its enhancement when surface electrodes were displaced away from the nerve. Anodic stimulation revealed an inhibitory region that removed eTENS benefits. eTENS also outperformed TENS by up to four times when targeting smaller diameter nerve fibers, scaling similar to a cuff electrode. In latency and activation of smaller diameter nerve fibers, eTENS results resembled those of NCES more than a TENS electrode. Activation threshold ratios were consistent inin-vivovalidation.Significance.Our findings expand upon previously identified mechanisms for eTENS and further demonstrate how eTENS emulates a nerve cuff electrode to achieve lower activation thresholds. This work further characterizes considerations required for VNS under the three stimulation methods."
2023 Nov,Multiple sclerosis and related disorders,Mult Scler Relat Disord. 2023 Nov;79:105046. doi: 10.1016/j.msard.2023.105046. ,"['Yoo, Paul Yejong', 'Kumari, Sonika', 'Stephens, Samantha', 'Yeh, E Ann']","['child', 'humans', 'female', 'adolescent', ' quality of life', 'neuroinflammatory diseases', ' stress disorders, post-traumatic psychology', 'anxiety', 'outcome assessment, health care', 'depression', 'mental health', 'multiple sclerosis', 'neuroinflammatory disorders', 'pediatrics', 'social networks']",Social network size and mental health outcomes in youth with neuroinflammatory disorders.,"BACKGROUND: 75 % of youth with MS report symptoms of fatigue, depression, and anxiety. Social network size (number of people in an individual's network) is known to have positive impacts on health and health behavior in pediatric populations and in individuals with multiple sclerosis. OBJECTIVES: To estimate associations between social network size (SNS) and depression, anxiety, symptoms of post-traumatic stress disorder (PTSD), and quality of life among youth with recurrent neuroinflammatory disorders (RNI) in comparison to that of youth with monophasic acquired demyelinating syndrome (mono-ADS). METHODS: Youth with RNI and mono-ADS were recruited from the Pediatric Neuroinflammatory Disorders Clinic at the Hospital for Sick Children between September 2020 and August 2022. After consent, participants completed the questionnaires on social network composition, depression, anxiety, PTSD, and quality of life. Descriptive and inferential analyses were conducted for differences between cohorts and correlations. RESULTS: Youth with RNI (n = 37, Female= 22, Median age= 15, IQR= 3) and mono-ADS (n = 23, Female= 12, Median age= 14, IQR= 4.5) did not differ in: SNS, depression, anxiety, PTSD, and quality of life. Larger SNS was associated with lower anxiety (rs= -0.350, p<0.05) in youth with RNI and youth with RNI who presented anxiety disorder had significantly lower number of social contacts than those who did not (t = 2.23, p = 0.033, ES= 0.90) but not in mono-ADS. When analyzing the two cohorts grouped together, all youth who screened for anxiety had significantly smaller network size than those who did not (t = 2.06, p = 0.045, ES= 0.66). This was similar with those who screened for depression (t = 2.05, p = 0.046, ES= 0.58). CONCLUSIONS: In youth with RNI, SNS was associated with anxiety. SNS is one important aspect of social networks that have the potential to shape mental health in youth with neuroinflammatory disorders. Future studies should focus on social network composition, strength of ties, and types of support in shaping health outcomes."
2022 Nov,Physiological reports,Physiol Rep. 2022 Nov;10(22):e15517. doi: 10.14814/phy2.15517.,"['Moazzam, Zainab', 'Yoo, Paul B']","['rats', 'animals', ' urethane pharmacology', ' urinary bladder physiology', 'tibial nerve physiology', 'spinal nerves', 'electric stimulation', 'anesthetics, intravenous pharmacology', 'acetic acid', 'bladder neuromodulation', 'electrical stimulation', 'overactive bladder', 'overflow incontinence', 'saphenous nerve']",Prolonged inhibition of bladder function is evoked by low-amplitude electrical stimulation of the saphenous nerve in urethane-anesthetized rats.,"To better understand the effects of saphenous nerve (SN) stimulation on bladder function, we investigated the duration of electrical stimulation as a key variable in eliciting urodynamic changes. SN stimulation is a novel approach to electrically modulating bladder function. In previous animal studies, bladder-inhibitory responses were evoked by low-amplitude (25 μA) stimulus pulses applied in short-duration (10 min) trials and at frequencies between 10 and 20 Hz. Experiments were performed in urethane-anesthetized rats that were separated into three groups: intravesical saline infusion + SN stimulation (group A), intravesical 0.1% acetic acid infusion + SN stimulation (group B), and intravesical saline infusion + no SN stimulation (group C). Changes in bladder function- basal bladder pressure (P (base) ), contraction amplitude (ΔP), and inter-contraction interval (T (I"
2021 May 21,Scientific reports,Sci Rep. 2021 May 21;11(1):10682. doi: 10.1038/s41598-021-89624-3.,"['Sabetian, P', 'Sadat-Nejad, Y', 'Yoo, Paul B']","['airway obstruction  etiology  physiopathology', 'algorithms', 'anesthesia', 'animals', 'disease models, animal', 'disease susceptibility', 'electrophysiological phenomena', 'humans', 'machine learning', 'male', 'models, biological', 'roc curve', 'rats', 'rodentia', 'signal transduction', 'vagus nerve  physiology']",Classification of directionally specific vagus nerve activity using an upper airway obstruction model in anesthetized rodents.,"Electrical signals from the peripheral nervous system have the potential to provide the necessary motor, sensory or autonomic information for implementing closed-loop control of neuroprosthetic or neuromodulatory systems. However, developing methods to recover information encoded in these signals is a significant challenge. Our goal was to test the feasibility of measuring physiologically generated nerve action potentials that can be classified as sensory or motor signals. A tetrapolar recording nerve cuff electrode was used to measure vagal nerve (VN) activity in a rodent model of upper airway obstruction. The effect of upper airway occlusions on VN activity related to respiration (RnP) was calculated and compared for 4 different cases: (1) intact VN, (2) VN transection only proximal to recording electrode, (3) VN transection only distal to the recording electrode, and (4) transection of VN proximal and distal to electrode. We employed a Support Vector Machine (SVM) model with Gaussian Kernel to learn a model capable of classifying efferent and afferent waveforms obtained from the tetrapolar electrode. In vivo results showed that the RnP values decreased significantly during obstruction by 91.7% ± 3.1%, and 78.2% ± 3.4% for cases of intact VN or proximal transection, respectively. In contrast, there were no significant changes for cases of VN transection at the distal end or both ends of the electrode. The SVM model yielded an 85.8% accuracy in distinguishing motor and sensory signals. The feasibility of measuring low-noise directionally-sensitive neural activity using a tetrapolar nerve cuff electrode along with the use of an SVM classifier was shown. Future experimental work in chronic implant studies is needed to support clinical translatability."
2020 Jul,Physiological reports,Physiol Rep. 2020 Jul;8(13):e14445. doi: 10.14814/phy2.14445.,"['Sabetian, Parisa', 'Yadollahi, Azadeh', 'Yoo, Paul B']","['animals', 'blood pressure', 'cranial nerves  physiopathology', 'male', ' organism hydration status', 'rats', 'rats, sprague-dawley', 'respiration', 'respiratory rate', 'sleep apnea, obstructive  physiopathology', 'tongue innervation  physiopathology', 'blood pressure', 'fluid overload', 'heart rate', 'obstructive sleep apnea', 'upper airway muscle activity']",Reduced genioglossus muscle activity caused by fluid overload in anesthetized rats.,"INTRODUCTION: Although the precise cause of obstructive sleep apnea (OSA) remains unknown, various anatomical or structural factors are thought to influence upper airway patency. Recent clinical studies show that OSA is frequently observed among patients with fluid-retaining states, such as heart/renal failure and postsurgery. It is important to note that a cause-effect relationship is not yet established, and our understanding of the effects of fluid overload is limited. The goal of this study was to investigate an animal model that can characterize the physiological changes that occur in response to fluid overload. METHOD: Acute nonsurvival experiments were conducted in 16 Sprague-Dawley rats. Rats were initially anesthetized by inhaled isoflurane, while the femoral vein was cannulated and urethane (1.2-1.5 g/Kg body weight) was gradually delivered intravenously to induce anesthesia. Additional doses of urethane were delivered as necessary to maintain a surgical plane of anesthesia. A surgical incision was made on the cervical area to catheterize carotid artery to measure blood pressure. A pair of stainless-steel wires was injected into the tongue to measure genioglossus muscle activity (GGEMG). All physiological measurements were recorded as intravenous infusion of saline was provided to the rat (infusion rate = 22 ml/kg over 30 min). RESULTS: Acute saline overloading resulted in a 33% decrease in GGEMG, when compared to baseline. There was also a gradual drop in the respiratory rate (13% decrease) that reached statistical significance at 10 min after infusion was stopped. The blood pressure exhibited a 14% increase which subsequently returned to baseline within 40 min stopping infusion. There were no significant changes in the heart rate. CONCLUSION: The results of this study indicate that systemic fluid overload can affect significant changes in different physiological systems including reduction in genioglossus muscle activity, increase in blood pressure, and change autonomic nervous system function."
2020 Jul,Autonomic neuroscience : basic & clinical,Auton Neurosci. 2020 Jul;226:102672. doi: 10.1016/j.autneu.2020.102672. Epub 2020 ,"['Franz, Karly S', 'Yoo, Paul B']","['anesthesia', 'anesthetics, intravenous', 'animals', 'electric stimulation', 'female', 'femoral nerve  physiology', 'hypogastric plexus  physiology surgery', 'rats', 'rats, sprague-dawley', 'urinary bladder innervation  physiology', 'urodynamics  physiology', 'bladder physiology', 'electrical nerve stimulation', 'hypogastric nerve', 'intravesical acetic acid', 'rat', 'saphenous nerve']",Transecting the hypogastric nerve to uncover the bladder-inhibitory pathways involved with saphenous nerve stimulation in anesthetized rats.,"Saphenous (SAFN) nerve stimulation was recently shown in anesthetized rats to elicit bladder-inhibitory responses in a frequency-dependent manner; however, the mechanism of action is unknown. The goal of this study was to investigate the potential role of the hypogastric nerve (HGN) in this inhibitory pathway by examining stimulation-evoked changes in bladder function under four different experimental conditions: (1) HGN intact, saline infusion (HGNi-s), (2) HGN transected, saline infusion (HGNt-s), (3) HGN intact, acetic acid (AA) infusion (HGNi-a), and (4) HGN transected, AA infusion (HGNt-a). Experiments were conducted in 33 urethane-anesthetized female rats, where continuous bladder infusion was provided through a suprapubic catheter. The experimental protocol involved two, 40-min stimulation trials in which electrical pulses were applied to the SAFN at a set frequency (10 Hz) and two different amplitudes (50 μA and 100 μA). In all experimental groups, SAFN stimulation resulted in complete suppression of bladder activity with an incidence rate of 25% to 50%. However, significant changes in the measured urodynamic changes (e.g., basal pressure, contraction amplitude, and inter-contraction interval) were found only in the HGNt-a animals. Our findings suggest that the HGN does not mediate the inhibitory effects of SAFN stimulation and that bladder inhibition is achieved through a different mechanism of action."
2020 May 4,Journal of neural engineering,J Neural Eng. 2020 May 4;17(2):026041. doi: 10.1088/1741-2552/ab85d3.,"['Roointan, Sohrab', 'Tovbis, Daniel', 'Elder, Chris', 'Yoo, Paul B']","['action potentials', 'electric stimulation', ' electric stimulation therapy', 'humans', 'neural conduction', 'tibial nerve', ' transcutaneous electric nerve stimulation']",Enhanced transcutaneous electrical nerve stimulation achieved by a localized virtual bipole: a computational study of human tibial nerve stimulation.,"OBJECTIVE: Electrical neuromodulation is a clinically effective therapeutic instrument, currently expanding into newer indications and larger patient populations. Neuromodulation technologies are also moving towards less invasive approaches to nerve stimulation. In this study, we investigated an enhanced transcutaneous electrical nerve stimulation (eTENS) system that electrically couples a conductive nerve cuff with a conventional TENS electrode. The objectives were to better understand how eTENS achieves lower nerve activation thresholds, and to test the feasibility of applying eTENS in a human model of peripheral nerve stimulation. APPROACH: A finite element model (FEM) of the human lower leg was constructed to simulate electrical stimulation of the tibial nerve, comparing TENS and eTENS. Key variables included surface electrode diameter, nerve cuff properties (conductivity, length, thickness), and cuff location. Enhanced neural excitability was predicted by relative excitability (RE > 1), derived using either the activating function (AF) or the nerve activation threshold (MRG model). MAIN RESULTS: Simulations revealed that a localized 'virtual bipole' was created on the target nerve, where the isopotential surface of the cuff resulted in large potential differences with the surrounding tissue. The cathodic part (nerve depolarization) of the bipole enhanced neural excitability, predicted by RE values of up to 2.2 (MRG) and 5.5 (AF) when compared to TENS. The MRG model confirmed that action potentials were initiated at the cathodic edge of the nerve cuff. Factors contributing to eTENS were larger surface electrodes, longer cuffs, cuff conductivity (>1×10(3) S m(-1)), and cuff position relative to the cathodic surface electrode. SIGNIFICANCE: This study provides a theoretical basis for designing and testing eTENS applied to various neural targets and data suggesting function of eTENS in large models of nerve stimulation. Although eTENS carries key advantages over existing technologies, further work is needed to translate this approach into effective clinical applications."
