time,journal,doi_info,authors,key words,title,abstract
2024 May 1,Genome,Genome. 2024 May 1;67(5):125-138. doi: 10.1139/gen-2023-0091. Epub 2024 Jan 10.,"['Scepanovic, Gordana', 'Fernandez-Gonzalez, Rodrigo']","[' morphogenesis', ' cell size', 'animals', 'humans', 'cell mass', 'cell volume', 'tissue morphogenesis']",Should I shrink or should I grow: cell size changes in tissue morphogenesis.,"Cells change shape, move, divide, and die to sculpt tissues. Common to all these cell behaviours are cell size changes, which have recently emerged as key contributors to tissue morphogenesis. Cells can change their mass-the number of macromolecules they contain-or their volume-the space they encompass. Changes in cell mass and volume occur through different molecular mechanisms and at different timescales, slow for changes in mass and rapid for changes in volume. Therefore, changes in cell mass and cell volume, which are often linked, contribute to the development and shaping of tissues in different ways. Here, we review the molecular mechanisms by which cells can control and alter their size, and we discuss how changes in cell mass and volume contribute to tissue morphogenesis. The role that cell size control plays in developing embryos is only starting to be elucidated. Research on the signals that control cell size will illuminate our understanding of the cellular and molecular mechanisms that drive tissue morphogenesis."
2024 Mar 1,Journal of cell science,J Cell Sci. 2024 Mar 1;137(5):jcs261138. doi: 10.1242/jcs.261138. Epub 2023 Dec ,"['Ly, Michelle', 'Schimmer, Clara', 'Hawkins, Raymond', 'E Rothenberg, Katheryn', 'Fernandez-Gonzalez, Rodrigo']","['animals', ' actins metabolism', ' integrins metabolism', 'cadherins metabolism', 'cell movement physiology', 'intercellular junctions metabolism', 'drosophila metabolism', 'wound healing physiology', 'cell adhesion', 'drosophila embryo', 'cell adhesion', 'collective cell migration', 'cytoskeletal polarity', 'epithelial morphogenesis', 'quantitative microscopy']",Integrin-based adhesions promote cell-cell junction and cytoskeletal remodelling to drive embryonic wound healing.,"Embryos repair wounds rapidly, with no inflammation or scarring. Embryonic wound healing is driven by the collective movement of the cells around the lesion. The cells adjacent to the wound polarize the cytoskeletal protein actin and the molecular motor non-muscle myosin II, which accumulate at the wound edge forming a supracellular cable around the wound. Adherens junction proteins, including E-cadherin, are internalized from the wound edge and localize to former tricellular junctions at the wound margin, in a process necessary for cytoskeletal polarity. We found that the cells adjacent to wounds in the Drosophila embryonic epidermis polarized Talin, a core component of cell-extracellular matrix (ECM) adhesions, which preferentially accumulated at the wound edge. Integrin knockdown and inhibition of integrin binding delayed wound closure and reduced actin polarization and dynamics around the wound. Additionally, disrupting integrins caused a defect in E-cadherin reinforcement at tricellular junctions along the wound edge, suggesting crosstalk between integrin-based and cadherin-based adhesions. Our results show that cell-ECM adhesion contributes to embryonic wound repair and reveal an interplay between cell-cell and cell-ECM adhesion in the collective cell movements that drive rapid wound healing."
2024 Jan 1,Molecular biology of the cell,Mol Biol Cell. 2024 Jan 1;35(1):ar2. doi: 10.1091/mbc.E23-06-0246. Epub 2023 Oct ,"['Tokamov, Sherzod A', 'Buiter, Stephan', 'Ullyot, Anne', 'Scepanovic, Gordana', 'Williams, Audrey Miller', 'Fernandez-Gonzalez, Rodrigo', 'Horne-Badovinac, Sally', 'Fehon, Richard G']","[' hippo signaling pathway', 'ubiquitin', 'animals', 'drosophila melanogaster', ' tumor suppressor proteins metabolism', ' drosophila proteins metabolism', ' glycogen synthase kinase 3', ' proteolysis', 'stress, mechanical']",Cortical tension promotes Kibra degradation via Par-1.,"The Hippo pathway is an evolutionarily conserved regulator of tissue growth. Multiple Hippo signaling components are regulated via proteolytic degradation. However, how these degradation mechanisms are themselves modulated remains unexplored. Kibra is a key upstream pathway activator that promotes its own ubiquitin-mediated degradation upon assembling a Hippo signaling complex. Here, we demonstrate that Hippo complex-dependent Kibra degradation is modulated by cortical tension. Using classical genetic, osmotic, and pharmacological manipulations of myosin activity and cortical tension, we show that increasing cortical tension leads to Kibra degradation, whereas decreasing cortical tension increases Kibra abundance. Our study also implicates Par-1 in regulating Kib abundance downstream of cortical tension. We demonstrate that Par-1 promotes ubiquitin-mediated Kib degradation in a Hippo complex-dependent manner and is required for tension-induced Kib degradation. Collectively, our results reveal a previously unknown molecular mechanism by which cortical tension affects Hippo signaling and provide novel insights into the role of mechanical forces in growth control."
2023 Jul 24,Developmental cell,Dev Cell. 2023 Jul 24;58(14):1299-1313.e5. doi: 10.1016/j.devcel.2023.05.005. ,"['Balaghi, Negar', 'Erdemci-Tandogan, Gonca', 'McFaul, Christopher', 'Fernandez-Gonzalez, Rodrigo']","['animals', ' drosophila', ' drosophila proteins physiology', 'actins', 'heart', 'myosins', 'morphogenesis', 'drosophila melanogaster', 'drosophila embryo', 'cardiac morphogenesis', 'cell migration', 'fluctuations', 'image analysis', 'myosin waves', 'quantitative microscopy', 'rectification', 'supracellular actin cable', 'vertex model']",Myosin waves and a mechanical asymmetry guide the oscillatory migration of Drosophila cardiac progenitors.,"Heart development begins with the formation of a tube as cardiac progenitors migrate from opposite sides of the embryo. Abnormal cardiac progenitor movements cause congenital heart defects. However, the mechanisms of cell migration during early heart development remain poorly understood. Using quantitative microscopy, we found that in Drosophila embryos, cardiac progenitors (cardioblasts) migrated through a sequence of forward and backward steps. Cardioblast steps were associated with oscillatory non-muscle myosin II waves that induced periodic shape changes and were necessary for timely heart tube formation. Mathematical modeling predicted that forward cardioblast migration required a stiff boundary at the trailing edge. Consistent with this, we found a supracellular actin cable at the trailing edge of the cardioblasts that limited the amplitude of the backward steps, thus biasing the direction of cell movement. Our results indicate that periodic shape changes coupled with a polarized actin cable produce asymmetrical forces that promote cardioblast migration."
2023 Jul 10,Current biology : CB,Curr Biol. 2023 Jul 10;33(13):2587-2601.e5. doi: 10.1016/j.cub.2023.05.009. Epub ,"['Rothenberg, Katheryn E', 'Chen, Yujun', 'McDonald, Jocelyn A', 'Fernandez-Gonzalez, Rodrigo']","['animals', ' actomyosin metabolism', 'cell adhesion', 'drosophila melanogaster metabolism', ' drosophila proteins genetics metabolism', 'cell movement physiology', 'myosins metabolism', 'adherens junctions metabolism', 'cadherins genetics metabolism', 'drosophila embryo', 'adherens junctions', 'cell polarity', 'epithelial morphogenesis', 'quantitative image analysis', 'supracellular actomyosin cable', 'tricellular junctions', 'wound healing']",Rap1 coordinates cell-cell adhesion and cytoskeletal reorganization to drive collective cell migration in vivo.,"Collective cell movements contribute to tissue development and repair and spread metastatic disease. In epithelia, cohesive cell movements require reorganization of adherens junctions and the actomyosin cytoskeleton. However, the mechanisms that coordinate cell-cell adhesion and cytoskeletal remodeling during collective cell migration in vivo are unclear. We investigated the mechanisms of collective cell migration during epidermal wound healing in Drosophila embryos. Upon wounding, the cells adjacent to the wound internalize cell-cell adhesion molecules and polarize actin and the motor protein non-muscle myosin II to form a supracellular cable around the wound that coordinates cell movements. The cable anchors at former tricellular junctions (TCJs) along the wound edge, and TCJs are reinforced during wound closure. We found that the small GTPase Rap1 was necessary and sufficient for rapid wound repair. Rap1 promoted myosin polarization to the wound edge and E-cadherin accumulation at TCJs. Using embryos expressing a mutant form of the Rap1 effector Canoe/Afadin that cannot bind Rap1, we found that Rap1 signals through Canoe for adherens junction remodeling, but not for actomyosin cable assembly. Instead, Rap1 was necessary and sufficient for RhoA/Rho1 activation at the wound edge. The RhoGEF Ephexin localized to the wound edge in a Rap1-dependent manner, and Ephexin was necessary for myosin polarization and rapid wound repair, but not for E-cadherin redistribution. Together, our data show that Rap1 coordinates the molecular rearrangements that drive embryonic wound healing, promoting actomyosin cable assembly through Ephexin-Rho1, and E-cadherin redistribution through Canoe, thus enabling rapid collective cell migration in vivo."
2023,Current topics in developmental biology,Curr Top Dev Biol. 2023;154:99-129. doi: 10.1016/bs.ctdb.2023.02.005. Epub 2023 ,"['Fernandez-Gonzalez, Rodrigo', 'Harris, Tony J C']","['animals', ' actins metabolism', 'drosophila', 'actomyosin metabolism', ' drosophila proteins genetics metabolism', 'muscle contraction', 'drosophila melanogaster', 'actin', 'arp2 3', 'cell fusion', 'cell migration', 'drosophila', 'epithelia', 'morphogenesis', 'myosin', 'syncytium', 'wound healing']",Contractile and expansive actin networks in Drosophila: Developmental cell biology controlled by network polarization and higher-order interactions.,"Actin networks are central to shaping and moving cells during animal development. Various spatial cues activate conserved signal transduction pathways to polarize actin network assembly at sub-cellular locations and to elicit specific physical changes. Actomyosin networks contract and Arp2/3 networks expand, and to affect whole cells and tissues they do so within higher-order systems. At the scale of tissues, actomyosin networks of epithelial cells can be coupled via adherens junctions to form supracellular networks. Arp2/3 networks typically integrate with distinct actin assemblies, forming expansive composites which act in conjunction with contractile actomyosin networks for whole-cell effects. This review explores these concepts using examples from Drosophila development. First, we discuss the polarized assembly of supracellular actomyosin cables which constrict and reshape epithelial tissues during embryonic wound healing, germ band extension, and mesoderm invagination, but which also form physical borders between tissue compartments at parasegment boundaries and during dorsal closure. Second, we review how locally induced Arp2/3 networks act in opposition to actomyosin structures during myoblast cell-cell fusion and cortical compartmentalization of the syncytial embryo, and how Arp2/3 and actomyosin networks also cooperate for the single cell migration of hemocytes and the collective migration of border cells. Overall, these examples show how the polarized deployment and higher-order interactions of actin networks organize developmental cell biology."
2023 Feb 6,The Journal of cell biology,J Cell Biol. 2023 Feb 6;222(2):e202108091. doi: 10.1083/jcb.202108091. Epub 2022 ,"['Sheppard, Luka', 'Green, David G', 'Lerchbaumer, Gerald', 'Rothenberg, Katheryn E', 'Fernandez-Gonzalez, Rodrigo', 'Tepass, Ulrich']","['actin cytoskeleton metabolism', 'actins metabolism', 'adherens junctions metabolism', ' alpha catenin genetics metabolism', 'cadherins genetics metabolism', ' cell adhesion', 'morphogenesis', 'vinculin genetics metabolism', 'drosophila', 'animals', ' drosophila proteins genetics metabolism']",The α-Catenin mechanosensing M region is required for cell adhesion during tissue morphogenesis.,"α-Catenin couples the cadherin-catenin complex to the actin cytoskeleton. The mechanosensitive α-Catenin M region undergoes conformational changes upon application of force to recruit interaction partners. Here, we took advantage of the tension landscape in the Drosophila embryo to define three different states of α-Catenin mechanosensing in support of cell adhesion. Low-, medium-, and high-tension contacts showed a corresponding recruitment of Vinculin and Ajuba, which was dependent on the α-Catenin M region. In contrast, the Afadin homolog Canoe acts in parallel to α-Catenin at bicellular low- and medium-tension junctions but requires an interaction with α-Catenin for its tension-sensitive enrichment at high-tension tricellular junctions. Individual M region domains make complex contributions to cell adhesion through their impact on interaction partner recruitment, and redundancies with the function of Canoe. Our data argue that α-Catenin and its interaction partners are part of a cooperative and partially redundant mechanoresponsive network that supports AJs remodeling during morphogenesis."
2022,Frontiers in cell and developmental biology,Front Cell Dev Biol. 2022 Sep 27;10:947444. doi: 10.3389/fcell.2022.947444. ,"['De, Oindrila', 'Rice, Clinton', 'Zulueta-Coarasa, Teresa', 'Fernandez-Gonzalez, Rodrigo', 'Ward, Robert E 4th']","['actomyosin', 'adhesion', 'cell shape change', 'dorsal closure', 'septate junction']","Septate junction proteins are required for cell shape changes, actomyosin reorganization and cell adhesion during dorsal closure in Drosophila.","Septate junctions (SJs) serve as occluding barriers in invertebrate epithelia. In Drosophila, at least 30 genes are required for the formation or maintenance of SJs. Interestingly, loss-of-function mutations in core SJ components are embryonic lethal, with defects in developmental events such as head involution and dorsal closure (DC) that occur prior to the formation of a mature SJ, indicating a role for these proteins in mid-embryogenesis independent of their occluding function. To understand this novel function in development, we examined loss-of-function mutations in three core SJ proteins during the process of DC. DC occurs during mid-embryogenesis to seal a dorsal gap in the epidermis following germ band retraction. Closure is driven by contraction of the extraembryonic amnioserosa cells that temporarily cover the dorsal surface and by cell shape changes (elongation) of lateral epidermal cells that bring the contralateral sheets together at the dorsal midline. Using live imaging and examination of fixed tissues, we show that early events in DC occur normally in SJ mutant embryos, but during later closure, coracle, Macroglobulin complement-related and Neurexin-IV mutant embryos exhibit slower rates of closure and display aberrant cells shapes in the dorsolateral epidermis, including dorsoventral length and apical surface area. SJ mutant embryos also show mild defects in actomyosin structures along the leading edge, but laser cutting experiments suggest similar tension and viscoelastic properties in SJ mutant versus wild type epidermis. In a high percentage of SJ mutant embryos, the epidermis tears free from the amnioserosa near the end of DC and live imaging and immunostaining reveal reduced levels of E-cadherin, suggesting that defective adhesion may be responsible for these tears. Supporting this notion, reducing E-cadherin by half significantly enhances the penetrance of DC defects in coracle mutant embryos."
2022 Jul 1,Molecular biology of the cell,Mol Biol Cell. 2022 Jul 1;33(8):pe4. doi: 10.1091/mbc.E21-09-0452.,"['Fernandez-Gonzalez, Rodrigo', 'Peifer, Mark']","['actomyosin metabolism', ' adherens junctions metabolism', 'animals', 'cadherins metabolism', 'cell adhesion', ' cytoskeleton metabolism', 'morphogenesis']",Powering morphogenesis: multiscale challenges at the interface of cell adhesion and the cytoskeleton.,"Among the defining features of the animal kingdom is the ability of cells to change shape and move. This underlies embryonic and postembryonic development, tissue homeostasis, regeneration, and wound healing. Cell shape change and motility require linkage of the cell's force-generating machinery to the plasma membrane at cell-cell and cell-extracellular matrix junctions. Connections of the actomyosin cytoskeleton to cell-cell adherens junctions need to be both resilient and dynamic, preventing tissue disruption during the dramatic events of embryonic morphogenesis. In the past decade, new insights radically altered the earlier simple paradigm that suggested simple linear linkage via the cadherin-catenin complex as the molecular mechanism of junction-cytoskeleton interaction. In this Perspective we provide a brief overview of our current state of knowledge and then focus on selected examples highlighting what we view as the major unanswered questions in our field and the approaches that offer exciting new insights at multiple scales from atomic structure to tissue mechanics."
2022 Jul 4,The Journal of cell biology,J Cell Biol. 2022 Jul 4;221(7):e202108076. doi: 10.1083/jcb.202108076. Epub 2022 ,"['Simões, Sérgio', 'Lerchbaumer, Gerald', 'Pellikka, Milena', 'Giannatou, Paraskevi', 'Lam, Thomas', 'Kim, Dohyun', 'Yu, Jessica', 'Ter Stal, David', 'Al Kakouni, Kenana', 'Fernandez-Gonzalez, Rodrigo', 'Tepass, Ulrich']","['adherens junctions metabolism', 'animals', ' cell membrane metabolism', 'cell polarity', ' drosophila proteins metabolism', 'drosophila melanogaster', ' epithelial cells cytology', ' membrane proteins metabolism', 'morphogenesis physiology', ' neural stem cells cytology', 'ubiquitin-protein ligases metabolism']",Crumbs complex-directed apical membrane dynamics in epithelial cell ingression.,"Epithelial cells often leave their tissue context and ingress to form new cell types or acquire migratory ability to move to distant sites during development and tumor progression. Cells lose their apical membrane and epithelial adherens junctions during ingression. However, how factors that organize apical-basal polarity contribute to ingression is unknown. Here, we show that the dynamic regulation of the apical Crumbs polarity complex is crucial for normal neural stem cell ingression. Crumbs endocytosis and recycling allow ingression to occur in a normal timeframe. During early ingression, Crumbs and its complex partner the RhoGEF Cysts support myosin and apical constriction to ensure robust ingression dynamics. During late ingression, the E3-ubiquitin ligase Neuralized facilitates the disassembly of the Crumbs complex and the rapid endocytic removal of the apical cell domain. Our findings reveal a mechanism integrating cell fate, apical polarity, endocytosis, vesicle trafficking, and actomyosin contractility to promote cell ingression, a fundamental morphogenetic process observed in animal development and cancer."
