time,journal,doi_info,authors,key words,title,abstract
2024 Jun,Journal of healthcare informatics research,J Healthc Inform Res. 2024 Feb 16;8(2):286-312. doi: 10.1007/s41666-024-00160-x. ,"['Georgis-Yap, Zakary', 'Popovic, Milos R', 'Khan, Shehroz S']","['deep learning', 'intracranial eeg', 'seizure prediction', 'signal processing']",Supervised and Unsupervised Deep Learning Approaches for EEG Seizure Prediction.,"Epilepsy affects more than 50 million people worldwide, making it one of the world's most prevalent neurological diseases. The main symptom of epilepsy is seizures, which occur abruptly and can cause serious injury or death. The ability to predict the occurrence of an epileptic seizure could alleviate many risks and stresses people with epilepsy face. We formulate the problem of detecting preictal (or pre-seizure) with reference to normal EEG as a precursor to incoming seizure. To this end, we developed several supervised deep learning approaches model to identify preictal EEG from normal EEG. We further develop novel unsupervised deep learning approaches to train the models on only normal EEG, and detecting pre-seizure EEG as an anomalous event. These deep learning models were trained and evaluated on two large EEG seizure datasets in a person-specific manner. We found that both supervised and unsupervised approaches are feasible; however, their performance varies depending on the patient, approach and architecture. This new line of research has the potential to develop therapeutic interventions and save human lives."
2024 Mar 22,JMIR aging,JMIR Aging. 2024 Mar 22;7:e53564. doi: 10.2196/53564.,"['Chu, Charlene', 'Donato-Woodger, Simon', 'Khan, Shehroz S', 'Shi, Tianyu', 'Leslie, Kathleen', 'Abbasgholizadeh-Rahimi, Samira', 'Nyrup, Rune', 'Grenier, Amanda']","['humans', 'aged', ' ageism', 'algorithms', 'bias', 'databases, factual', 'machine learning', 'age', 'ageing', 'ageism', 'aging', 'algorithm', 'algorithmic bias', 'artificial intelligence', 'bias', 'digital ageism', 'elder', 'elderly', 'geriatric', 'gerontology', 'machine learning', 'older adult', 'older people', 'older person', 'review methodology', 'review methods', 'scoping', 'search', 'searching', 'synthesis']",Strategies to Mitigate Age-Related Bias in Machine Learning: Scoping Review.,"BACKGROUND: Research suggests that digital ageism, that is, age-related bias, is present in the development and deployment of machine learning (ML) models. Despite the recognition of the importance of this problem, there is a lack of research that specifically examines the strategies used to mitigate age-related bias in ML models and the effectiveness of these strategies. OBJECTIVE: To address this gap, we conducted a scoping review of mitigation strategies to reduce age-related bias in ML. METHODS: We followed a scoping review methodology framework developed by Arksey and O'Malley. The search was developed in conjunction with an information specialist and conducted in 6 electronic databases (IEEE Xplore, Scopus, Web of Science,"
2024 Feb 9,JMIR mHealth and uHealth,JMIR Mhealth Uhealth. 2024 Feb 9;12:e48526. doi: 10.2196/48526.,"['Percy Campbell, Jessica', 'Buchan, Jacob', 'Chu, Charlene H', 'Bianchi, Andria', 'Hoey, Jesse', 'Khan, Shehroz S']","['aged', 'humans', 'middle aged', ' independent living', 'perception', ' privacy', 'technology', 'internet of things', 'ageing', 'ageing-in-place', 'ambient assisted living', 'elderly', 'home monitoring', 'integrative review', 'integrative reviews', 'older adult', 'older adults', 'perception', 'perceptions', 'privacy', 'review methodology', 'review methods', 'safety', 'security', 'sensor', 'sensors', 'smart home', 'smart homes', 'smart speakers', 'surveillance']",User Perception of Smart Home Surveillance Among Adults Aged 50 Years and Older: Scoping Review.,"BACKGROUND: Smart home technology (SHT) can be useful for aging in place or health-related purposes. However, surveillance studies have highlighted ethical issues with SHTs, including user privacy, security, and autonomy. OBJECTIVE: As digital technology is most often designed for younger adults, this review summarizes perceptions of SHTs among users aged 50 years and older to explore their understanding of privacy, the purpose of data collection, risks and benefits, and safety. METHODS: Through an integrative review, we explored community-dwelling adults' (aged 50 years and older) perceptions of SHTs based on research questions under 4 nonmutually exclusive themes: privacy, the purpose of data collection, risk and benefits, and safety. We searched 1860 titles and abstracts from Ovid MEDLINE, Ovid Embase, Cochrane Database of Systematic Reviews, and Cochrane Central Register of Controlled Trials, Scopus, Web of Science Core Collection, and IEEE Xplore or IET Electronic Library, resulting in 15 included studies. RESULTS: The 15 studies explored user perception of smart speakers, motion sensors, or home monitoring systems. A total of 13 (87%) studies discussed user privacy concerns regarding data collection and access. A total of 4 (27%) studies explored user knowledge of data collection purposes, 7 (47%) studies featured risk-related concerns such as data breaches and third-party misuse alongside benefits such as convenience, and 9 (60%) studies reported user enthusiasm about the potential for home safety. CONCLUSIONS: Due to the growing size of aging populations and advances in technological capabilities, regulators and designers should focus on user concerns by supporting higher levels of agency regarding data collection, use, and disclosure and by bolstering organizational accountability. This way, relevant privacy regulation and SHT design can better support user safety while diminishing potential risks to privacy, security, autonomy, or discriminatory outcomes."
2024 Feb 3,NPJ digital medicine,NPJ Digit Med. 2024 Feb 3;7(1):25. doi: 10.1038/s41746-024-00998-w.,"['Abedi, Ali', 'Colella, Tracey J F', 'Pakosh, Maureen', 'Khan, Shehroz S']",[],Artificial intelligence-driven virtual rehabilitation for people living in the community: A scoping review.,"Virtual Rehabilitation (VRehab) is a promising approach to improving the physical and mental functioning of patients living in the community. The use of VRehab technology results in the generation of multi-modal datasets collected through various devices. This presents opportunities for the development of Artificial Intelligence (AI) techniques in VRehab, namely the measurement, detection, and prediction of various patients' health outcomes. The objective of this scoping review was to explore the applications and effectiveness of incorporating AI into home-based VRehab programs. PubMed/MEDLINE, Embase, IEEE Xplore, Web of Science databases, and Google Scholar were searched from inception until June 2023 for studies that applied AI for the delivery of VRehab programs to the homes of adult patients. After screening 2172 unique titles and abstracts and 51 full-text studies, 13 studies were included in the review. A variety of AI algorithms were applied to analyze data collected from various sensors and make inferences about patients' health outcomes, most involving evaluating patients' exercise quality and providing feedback to patients. The AI algorithms used in the studies were mostly fuzzy rule-based methods, template matching, and deep neural networks. Despite the growing body of literature on the use of AI in VRehab, very few studies have examined its use in patients' homes. Current research suggests that integrating AI with home-based VRehab can lead to improved rehabilitation outcomes for patients. However, further research is required to fully assess the effectiveness of various forms of AI-driven home-based VRehab, taking into account its unique challenges and using standardized metrics."
2024 Jan 29,Biomedical engineering online,Biomed Eng Online. 2024 Jan 29;23(1):12. doi: 10.1186/s12938-024-01210-6.,"['Basiri, Reza', 'Manji, Karim', 'LeLievre, Philip M', 'Toole, John', 'Kim, Faith', 'Khan, Shehroz S', 'Popovic, Milos R']","['humans', ' diabetic foot diagnosis', 'artificial intelligence', 'metadata', ' deep learning', 'quality of life', ' diabetes mellitus', 'case report form', 'deep learning', 'depth', 'diabetic foot ulcer', 'rgb', 'thermal']",Protocol for metadata and image collection at diabetic foot ulcer clinics: enabling research in wound analytics and deep learning.,"BACKGROUND: The escalating impact of diabetes and its complications, including diabetic foot ulcers (DFUs), presents global challenges in quality of life, economics, and resources, affecting around half a billion people. DFU healing is hindered by hyperglycemia-related issues and diverse diabetes-related physiological changes, necessitating ongoing personalized care. Artificial intelligence and clinical research strive to address these challenges by facilitating early detection and efficient treatments despite resource constraints. This study establishes a standardized framework for DFU data collection, introducing a dedicated case report form, a comprehensive dataset named Zivot with patient population clinical feature breakdowns and a baseline for DFU detection using this dataset and a UNet architecture. RESULTS: Following this protocol, we created the Zivot dataset consisting of 269 patients with active DFUs, and about 3700 RGB images and corresponding thermal and depth maps for the DFUs. The effectiveness of collecting a consistent and clean dataset was demonstrated using a bounding box prediction deep learning network that was constructed with EfficientNet as the feature extractor and UNet architecture. The network was trained on the Zivot dataset, and the evaluation metrics showed promising values of 0.79 and 0.86 for F1-score and mAP segmentation metrics. CONCLUSIONS: This work and the Zivot database offer a foundation for further exploration of holistic and multimodal approaches to DFU research."
2024 Jan,Biomedical engineering letters,Biomed Eng Lett. 2023 Aug 28;14(1):69-78. doi: 10.1007/s13534-023-00313-8. ,"['Meng, Zhidong', 'Iaboni, Andrea', 'Ye, Bing', 'Newman, Kristine', 'Mihailidis, Alex', 'Deng, Zhihong', 'Khan, Shehroz S']","['agitation detection', 'decision-making', 'imbalance', 'machine learning', 'postprocessing', 'undersampling']",Undersampling and cumulative class re-decision methods to improve detection of agitation in people with dementia.,"Agitation is one of the most prevalent symptoms in people with dementia (PwD) that can place themselves and the caregiver's safety at risk. Developing objective agitation detection approaches is important to support health and safety of PwD living in a residential setting. In a previous study, we collected multimodal wearable sensor data from 17 participants for 600 days and developed machine learning models for detecting agitation in 1-min windows. However, there are significant limitations in the dataset, such as imbalance problem and potential imprecise labels as the occurrence of agitation is much rarer in comparison to the normal behaviours. In this paper, we first implemented different undersampling methods to eliminate the imbalance problem, and came to the conclusion that only 20% of normal behaviour data were adequate to train a competitive agitation detection model. Then, we designed a weighted undersampling method to evaluate the manual labeling mechanism given the ambiguous time interval assumption. After that, the postprocessing method of cumulative class re-decision (CCR) was proposed based on the historical sequential information and continuity characteristic of agitation, improving the decision-making performance for the potential application of agitation detection system. The results showed that a combination of undersampling and CCR improved F1-score and other metrics to varying degrees with less training time and data. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s13534-023-00313-8."
2023 Oct,Artificial intelligence in medicine,Artif Intell Med. 2023 Oct;144:102657. doi: 10.1016/j.artmed.2023.102657. Epub ,"['Faruk, Tamim', 'Shum, Leia C', 'Iaboni, Andrea', 'Khan, Shehroz S']","['humans', ' cognitive dysfunction diagnostic imaging psychology', 'neural networks, computer', 'walking', 'artificial intelligence', 'classification activation maps', 'deep learning', 'dementia classification', 'health monitoring technology', 'real-time location systems', 'walking patterns']",Walking path images from real-time location data predict degree of cognitive impairment.,BACKGROUND: We propose a novel approach that uses spatial walking patterns produced by real-time location systems to classify the severity of cognitive impairment (
2023 Feb 27,Biomedical engineering online,Biomed Eng Online. 2023 Feb 27;22(1):18. doi: 10.1186/s12938-023-01080-4.,"['Khan, Shehroz S', 'Gu, Tiancheng', 'Spinelli, Lauren', 'Wang, Rosalie H']","['humans', 'aged', ' independent living', 'retrospective studies', ' social isolation', 'motion', 'ambient sensors', 'assessment', 'older adults', 'sensors', 'social isolation', 'wearable sensors']",Sensor-based assessment of social isolation in community-dwelling older adults: a scoping review.,"Social isolation (SI) is a state of low social interaction with peers associated with various adverse health consequences in older adults living in the community. SI is most often assessed through retrospective self-reports, which can be prone to recall or self-report biases and influenced by stigma. Ambient and wearable sensors have been explored to objectively assess SI based on interactions of a person within the environment and physiological data. However, because this field is in its infancy, there is a lack of clarity regarding the application of sensors and their data in assessing SI and the methods to develop these assessments. To understand the current state of research in sensor-based assessment of SI in older adults living in the community and to make recommendations for the field moving forward, we conducted a scoping review. The aims of the scoping review were to (i) map the types of sensors (and their associated data) that have been used for objective SI assessment, and (ii) identify the methodological approaches used to develop the SI assessment. Using an established scoping review methodology, we identified eight relevant articles. Data from motion sensors and actigraph were commonly applied and compared and correlated with self-report measures in developing objective SI assessments. Variability exists in defining SI, feature extraction and the use of sensors and self-report assessments. Inconsistent definitions and use of various self-report scales for measuring SI create barriers to studying the concept and extracting features to build predictive models. Recommendations include establishing a consistent definition of SI for sensor-based assessment research and development and consider capturing its complexity through innovative domain-specific features."
2023 Jan 21,Biomedical engineering online,Biomed Eng Online. 2023 Jan 21;22(1):4. doi: 10.1186/s12938-023-01065-3.,"['Mishra, Pratik K', 'Iaboni, Andrea', 'Ye, Bing', 'Newman, Kristine', 'Mihailidis, Alex', 'Khan, Shehroz S']","['humans', ' privacy', 'quality of life', ' dementia diagnosis psychology', 'anomaly detection', 'behaviours of risk', 'convolutional autoencoder', 'people with dementia', 'semantic segmentation', 'skeleton', 'video']",Privacy-protecting behaviours of risk detection in people with dementia using videos.,"BACKGROUND: People living with dementia often exhibit behavioural and psychological symptoms of dementia that can put their and others' safety at risk. Existing video surveillance systems in long-term care facilities can be used to monitor such behaviours of risk to alert the staff to prevent potential injuries or death in some cases. However, these behaviours of risk events are heterogeneous and infrequent in comparison to normal events. Moreover, analysing raw videos can also raise privacy concerns. PURPOSE: In this paper, we present two novel privacy-protecting video-based anomaly detection approaches to detect behaviours of risks in people with dementia. METHODS: We either extracted body pose information as skeletons or used semantic segmentation masks to replace multiple humans in the scene with their semantic boundaries. Our work differs from most existing approaches for video anomaly detection that focus on appearance-based features, which can put the privacy of a person at risk and is also susceptible to pixel-based noise, including illumination and viewing direction. We used anonymized videos of normal activities to train customized spatio-temporal convolutional autoencoders and identify behaviours of risk as anomalies. RESULTS: We showed our results on a real-world study conducted in a dementia care unit with patients with dementia, containing approximately 21 h of normal activities data for training and 9 h of data containing normal and behaviours of risk events for testing. We compared our approaches with the original RGB videos and obtained a similar area under the receiver operating characteristic curve performance of 0.807 for the skeleton-based approach and 0.823 for the segmentation mask-based approach. CONCLUSIONS: This is one of the first studies to incorporate privacy for the detection of behaviours of risks in people with dementia. Our research opens up new avenues to reduce injuries in long-term care homes, improve the quality of life of residents, and design privacy-aware approaches for people living in the community."
2022,Frontiers in psychiatry,Front Psychiatry. 2022 Nov 10;13:1038008. doi: 10.3389/fpsyt.2022.1038008. ,"['Haslam-Larmer, Lynn', 'Shum, Leia', 'Chu, Charlene H', 'McGilton, Kathy', 'McArthur, Caitlin', 'Flint, Alastair J', 'Khan, Shehroz', 'Iaboni, Andrea']","['rtls (real-time location system)', 'cognitive impairment', 'dementia', 'long-term care', 'older adults', 'remote monitoring', 'residential care', 'wearable technological device']",Real-time location systems technology in the care of older adults with cognitive impairment living in residential care: A scoping review.,"INTRODUCTION: There has been growing interest in using real-time location systems (RTLS) in residential care settings. This technology has clinical applications for locating residents within a care unit and as a nurse call system, and can also be used to gather information about movement, location, and activity over time. RTLS thus provides health data to track markers of health and wellbeing and augment healthcare decisions. To date, no reviews have examined the potential use of RTLS data in caring for older adults with cognitive impairment living in a residential care setting. OBJECTIVE: This scoping review aims to explore the use of data from real-time locating systems (RTLS) technology to inform clinical measures and augment healthcare decision-making in the care of older adults with cognitive impairment who live in residential care settings. METHODS: Embase (Ovid),"
