time,journal,doi_info,authors,key words,title,abstract
2023 Dec 29,Journal of neural engineering,J Neural Eng. 2023 Dec 29;20(6). doi: 10.1088/1741-2552/ad17f2.,"['Ivanov, Nicolas', 'Lio, Aaron', 'Chau, Tom']","['adolescent', 'humans', ' brain-computer interfaces', 'markov chains', 'electroencephalography methods', 'imagery, psychotherapy', 'movement', 'brain', 'eeg', 'markov chain', 'brain–computer interface', 'mental imagery', 'unsupervised learning', 'user assessment']",Towards user-centric BCI design: Markov chain-based user assessment for mental imagery EEG-BCIs.,
2023,Frontiers in computational neuroscience,Front Comput Neurosci. 2023 Nov 17;17:1286681. doi: 10.3389/fncom.2023.1286681. ,"['Ivanov, Nicolas', 'Chau, Tom']","['riemannian geometry', 'brain-computer interface (bci)', 'electroencephalography (eeg)', 'simulation', 'user evaluation', 'user training']",Corrigendum: Riemannian geometry-based metrics to measure and reinforce user performance changes during brain-computer interface user training.,[This corrects the article DOI: 10.3389/fncom.2023.1108889.].
2023 Sep,International journal of neural systems,Int J Neural Syst. 2023 Sep;33(9):2350048. doi: 10.1142/S012906572350048X. Epub ,"['Moon, Jae', 'Chau, Tom']","['humans', 'speech', 'electroencephalography methods', 'vocabulary', 'auditory perception', ' speech perception', ' brain-computer interfaces', 'brain–computer interface', 'covert speech', 'machine learning', 'neural oscillations', 'speech perception']",Online Ternary Classification of Covert Speech by Leveraging the Passive Perception of Speech.,Brain-computer interfaces (B
2023,Frontiers in human neuroscience,Front Hum Neurosci. 2023 May 16;17:1201623. doi: 10.3389/fnhum.2023.1201623. ,"['Kirton, Adam', 'Kinney-Lang, Eli', 'Norton, James', 'Chau, Tom']","['assistive technological devices', 'brain-computer interface', 'communication', 'pediatrics', 'severe disabilities']",Editorial: BCIs: research and development in children.,
2023 Jul,The European journal of neuroscience,Eur J Neurosci. 2023 Jul;58(1):2367-2383. doi: 10.1111/ejn.16036. Epub 2023 May ,"['Kang, Kyurim', 'Orlandi, Silvia', 'Leung, Jason', 'Akter, Masuma', 'Lorenzen, Nicole', 'Chau, Tom', 'Thaut, Michael H']","['humans', ' music', ' autism spectrum disorder therapy', ' disabled children', ' cerebral palsy', 'diencephalon', 'parents psychology', 'children with disabilities', 'electroencephalography (eeg)', 'hyperscanning', 'interbrain synchronization', 'music therapy']","Electroencephalographic interbrain synchronization in children with disabilities, their parents, and neurologic music therapists.","As with typically developing children, children with cerebral palsy and autism spectrum disorder develop important socio-emotional rapport with their parents and healthcare providers. However, the neural mechanisms underlying these relationships have been less studied. By simultaneously measuring the brain activity of multiple individuals, interbrain synchronization could serve as a neurophysiological marker of social-emotional responses. Music evokes emotional and physiological responses and enhances social cohesion. These characteristics of music have fostered its deployment as a therapeutic medium in clinical settings. Therefore, this study investigated two aspects of interbrain synchronization, namely, its phase and directionality, in child-parent (CP) and child-therapist (CT) dyads during music and storytelling sessions (as a comparison). A total of 17 participants (seven cerebral palsy or autism spectrum disorder children [aged 12-18 years], their parents, and three neurologic music therapists) completed this study, comprising seven CP and seven CT dyads. Each music therapist worked with two or three children. We found that session type, dyadic relationship, frequency band, and brain region were significantly related to the degree of interbrain synchronization and its directionality. Particularly, music sessions and CP dyads were associated with higher interbrain synchronization and stronger directionality. Delta (.5-4 Hz) range showed the highest phase locking value in both CP and CT dyads in frontal brain regions. It appears that synchronization is directed predominantly from parent to child, that is, parents and music therapists' brain activity tended to influence a child's. Our findings encourage further research into neural synchrony in children with disabilities, especially in musical contexts, and its implications for social and emotional development."
2023,Frontiers in computational neuroscience,Front Comput Neurosci. 2023 Feb 13;17:1108889. doi: 10.3389/fncom.2023.1108889. ,"['Ivanov, Nicolas', 'Chau, Tom']","['riemannian geometry', 'brain-computer interface (bci)', 'electroencephalography (eeg)', 'simulation', 'user evaluation', 'user training']",Riemannian geometry-based metrics to measure and reinforce user performance changes during brain-computer interface user training.,Despite growing interest and research into brain-computer interfaces (B
2022,Frontiers in human neuroscience,Front Hum Neurosci. 2022 Sep 23;16:938708. doi: 10.3389/fnhum.2022.938708. ,"['Floreani, Erica D', 'Orlandi, Silvia', 'Chau, Tom']","['affective state', 'alternative and augmentative communication', 'brain-computer interface', 'functional near-infrared spectroscopy', 'neurofeedback', 'pediatric']",A pediatric near-infrared spectroscopy brain-computer interface based on the detection of emotional valence.,Brain-computer interfaces (B
2022,Frontiers in computational neuroscience,Front Comput Neurosci. 2022 Jun 16;16:875282. doi: 10.3389/fncom.2022.875282. ,"['Nazneen, Tahnia', 'Islam, Iffath Binta', 'Sajal, Md Sakibur Rahman', 'Jamal, Wasifa', 'Amin, M Ashraful', 'Vaidyanathan, Ravi', 'Chau, Tom', 'Mamun, Khondaker A']","['behavioral cognition', 'brain dynamics', 'brain-to-brain synchrony', 'interbrain synchrony', 'neuroscience', 'psychology', 'synchrony measure']",Recent Trends in Non-invasive Neural Recording Based Brain-to-Brain Synchrony Analysis on Multidisciplinary Human Interactions for Understanding Brain Dynamics: A Systematic Review.,The study of brain-to-brain synchrony has a burgeoning application in the brain-computer interface (B
2022 Aug,Developmental neurorehabilitation,Dev Neurorehabil. 2022 Aug;25(6):426-432. doi: 10.1080/17518423.2022.2051628. ,"['Kang, Kyurim', 'Orlandi, Silvia', 'Lorenzen, Nicole', 'Chau, Tom', 'Thaut, Michael H']","['adolescent', 'brain', ' cerebral palsy', 'diencephalon', 'electroencephalography', 'female', 'humans', ' music', 'parents', 'music', 'electroencephalography (eeg)', 'empathy and social interaction', 'hyperscanning', 'interbrain synchronization', 'non-speaking cerebral palsy (cp)']","Does music induce interbrain synchronization between a non-speaking youth with cerebral palsy (CP), a parent, and a neurologic music therapist? A brief report.","Shared emotional experiences during musical activities among musicians can be coupled with brainwave synchronization. For non-speaking individuals with CP, verbal communication may be limited in expressing mutual empathy. Therefore, this case study explored interbrain synchronization among a non-speaking CP (female, 18 yrs), her parent, and a music therapist by measuring their brainwaves simultaneously during four music and four storytelling sessions. In only the youth-parent dyad, we observed a significantly higher level of interbrain synchronization during music rather than story-telling condition. However, in both the youth-parent and youth-therapist dyad, regardless of condition type, significant interbrain synchronization emerged in frontal and temporal lobes in the low-frequency bands, which are associated with socio-emotional responses. Although interbrain synchronization may have been induced by multiple factors (e.g., external stimuli, shared empathetic experiences, and internal physiological rhythms), the music activity setting deserves further study as a potential facilitator of neurophysiological synchrony between youth with CP and caregivers/healthcare providers."
2022 Apr 15,Brain research,Brain Res. 2022 Apr 15;1781:147778. doi: 10.1016/j.brainres.2022.147778. Epub ,"['Moon, Jae', 'Orlandi, Silvia', 'Chau, Tom']","[' brain-computer interfaces', 'electroencephalography', 'humans', 'speech', ' speech perception', 'wavelet analysis', 'brain-computer interface', 'covert speech', 'eeg', 'neural oscillation', 'phase-amplitude coupling', 'speech perception']",A comparison and classification of oscillatory characteristics in speech perception and covert speech.,"Covert speech, the mental imagery of speaking, has been studied increasingly to understand and decode thoughts in the context of brain-computer interfaces. In studies of speech comprehension, neural oscillations are thought to play a key role in the temporal encoding of speech. However, little is known about the role of oscillations in covert speech. In this study, we investigated the oscillatory involvements in covert speech and speech perception. Data were collected from 10 participants with 64 channel EEG. Participants heard the words, 'blue' and 'orange', and subsequently mentally rehearsed them. First, continuous wavelet transform was performed on epoched signals and subsequently two-tailed t-tests between two classes (tasks) were conducted to determine statistical differences in frequency and time (t-CWT). In the current experiment, a task comprised speech perception or covert rehearsal of a word while a condition was the discrimination between tasks. Features were extracted using t-CWT and subsequently classified using a support vector machine. θ and γ phase amplitude coupling (PAC) was also assessed within tasks and across conditions between perception and covert activities (i.e. cross-task). All binary classifications accuracies (80-90%) significantly exceeded chance level, supporting the use of t-CWT in determining relative oscillatory involvements. While the perception condition dynamically invoked all frequencies with more prominent θ and α activity, the covert condition favoured higher frequencies with significantly higher γ activity than perception. Moreover, the perception condition produced significant θ-γ PAC, possibly corroborating a reported linkage between syllabic and phonemic sampling. Although this coupling was found to be suppressed in the covert condition, we found significant cross-task coupling between perception θ and covert speech γ. Covert speech processing appears to be largely associated with higher frequencies of EEG. Importantly, the significant cross-task coupling between speech perception and covert speech, in the absence of within-task covert speech PAC, seems to support the notion that the γ- and θ-bands reflect, respectively, shared and unique encoding processes across tasks."
