time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,Analytical chemistry,Anal Chem. 2024 Jun 11;96(23):9729-9736. doi: 10.1021/acs.analchem.4c02124. Epub ,"['Malekjahani, Ayden', 'Lekuti, Ayokunle A', 'Valiente, Pedro A', 'Osborne, Matthew', 'Li, Vanessa Y C', 'Kim, Philip M', 'Chan, Warren C W']","[' dna chemistry', ' nucleic acid hybridization', ' limit of detection', 'humans', 'nucleic acid conformation']",Engineering a Rigid Nucleic Acid Structure to Improve the Limit of Detection for Genetic Assays.,"Detecting nucleic acids at ultralow concentrations is critical for research and clinical applications. Particle-based assays are commonly used to detect nucleic acids. However, DNA hybridization on particle surfaces is inefficient due to the instability of tethered sequences, which negatively influences the assay's detection sensitivity. Here, we report a method to stabilize sequences on particle surfaces using a double-stranded linker at the 5' end of the tethered sequence. We termed this method Rigid Double Stranded Genomic Linkers for Improved DNA Analysis (RIGID-DNA). Our method led to a 3- and 100-fold improvement of the assays' clinical and analytical sensitivity, respectively. Our approach can enhance the hybridization efficiency of particle-based assays without altering existing assay workflows. This approach can be adapted to other platforms and surfaces to enhance the detection sensitivity."
2024 Jun 4,ACS nano,ACS Nano. 2024 Jun 4;18(22):13983-13999. doi: 10.1021/acsnano.4c00182. Epub 2024 ,"['Anchordoquy, Thomas', 'Artzi, Natalie', 'Balyasnikova, Irina V', 'Barenholz, Yechezkel', 'La-Beck, Ninh M', 'Brenner, Jacob S', 'Chan, Warren C W', 'Decuzzi, Paolo', 'Exner, Agata A', 'Gabizon, Alberto', 'Godin, Biana', 'Lai, Samuel K', 'Lammers, Twan', 'Mitchell, Michael J', 'Moghimi, S Moein', 'Muzykantov, Vladimir R', 'Peer, Dan', 'Nguyen, Juliane', 'Popovtzer, Rachela', 'Ricco, Madison', 'Serkova, Natalie J', 'Singh, Ravi', 'Schroeder, Avi', 'Schwendeman, Anna A', 'Straehla, Joelle P', 'Teesalu, Tambet', 'Tilden, Scott', 'Simberg, Dmitri']","['humans', 'drug carriers chemistry', 'liposomes chemistry', ' nanomedicine', 'nanoparticles chemistry', 'united states', 'barriers', 'complement', 'delivery', 'formulation', 'inflammation', 'mrna', 'nanomedicine', 'translation', 'tumor']",Mechanisms and Barriers in Nanomedicine: Progress in the Field and Future Directions.,"In recent years, steady progress has been made in synthesizing and characterizing engineered nanoparticles, resulting in several approved drugs and multiple promising candidates in clinical trials. Regulatory agencies such as the Food and Drug Administration and the European Medicines Agency released important guidance documents facilitating nanoparticle-based drug product development, particularly in the context of liposomes and lipid-based carriers. Even with the progress achieved, it is clear that many barriers must still be overcome to accelerate translation into the clinic. At the recent conference workshop ""Mechanisms and Barriers in Nanomedicine"" in May 2023 in Colorado, U.S.A., leading experts discussed the formulation, physiological, immunological, regulatory, clinical, and educational barriers. This position paper invites open, unrestricted, nonproprietary discussion among senior faculty, young investigators, and students to trigger ideas and concepts to move the field forward."
2023 Dec 13,Nano letters,Nano Lett. 2023 Dec 13;23(23):10748-10757. doi: 10.1021/acs.nanolett.3c02780. ,"['Ling, Bill', 'Ko, Jeong Hoon', 'Stordy, Benjamin', 'Zhang, Yuwei', 'Didden, Tighe F', 'Malounda, Dina', 'Swift, Margaret B', 'Chan, Warren C W', 'Shapiro, Mikhail G']","['ultrasonography methods', ' proteins chemistry', 'contrast media', ' nanostructures chemistry', 'magnetic resonance imaging methods', 'blood', 'gas vesicles', 'protein corona', 'surface engineering', 'ultrasound imaging']",Gas Vesicle-Blood Interactions Enhance Ultrasound Imaging Contrast.,"Gas vesicles (GVs) are genetically encoded, air-filled protein nanostructures of broad interest for biomedical research and clinical applications, acting as imaging and therapeutic agents for ultrasound, magnetic resonance, and optical techniques. However, the biomedical applications of GVs as systemically injectable nanomaterials have been hindered by a lack of understanding of GVs' interactions with blood components, which can significantly impact in vivo behavior. Here, we investigate the dynamics of GVs in the bloodstream using a combination of ultrasound and optical imaging, surface functionalization, flow cytometry, and mass spectrometry. We find that erythrocytes and serum proteins bind to GVs and shape their acoustic response, circulation time, and immunogenicity. We show that by modifying the GV surface we can alter these interactions and thereby modify GVs' in vivo performance. These results provide critical insights for the development of GVs as agents for nanomedicine."
2023,BME frontiers,BME Front. 2023 Mar 31;4:0016. doi: 10.34133/bmef.0016. eCollection 2023.,"['Chan, Warren C W']",[],Principles of Nanoparticle Delivery to Solid Tumors.,"The effective treatment of patients with cancer hinges on the delivery of therapeutics to a tumor site. Nanoparticles provide an essential transport system. We present 5 principles to consider when designing nanoparticles for cancer targeting: (a) Nanoparticles acquire biological identity in vivo, (b) organs compete for nanoparticles in circulation, (c) nanoparticles must enter solid tumors to target tumor components, (d) nanoparticles must navigate the tumor microenvironment for cellular or organelle targeting, and (e) size, shape, surface chemistry, and other physicochemical properties of nanoparticles influence their transport process to the target. This review article describes these principles and their application for engineering nanoparticle delivery systems to carry therapeutics to tumors or other disease targets."
2023 Oct,Nature materials,Nat Mater. 2023 Oct;22(10):1261-1272. doi: 10.1038/s41563-023-01630-0. Epub 2023 ,"['Nguyen, Luan N M', 'Lin, Zachary P', 'Sindhwani, Shrey', 'MacMillan, Presley', 'Mladjenovic, Stefan M', 'Stordy, Benjamin', 'Ngo, Wayne', 'Chan, Warren C W']","['humans', 'endothelial cells', ' neoplasms drug therapy', ' nanoparticles', ' lymphatic vessels', 'drug delivery systems']",The exit of nanoparticles from solid tumours.,"Nanoparticles enter tumours through endothelial cells, gaps or other mechanisms, but how they exit is unclear. The current paradigm states that collapsed tumour lymphatic vessels impair the exit of nanoparticles and lead to enhanced retention. Here we show that nanoparticles exit the tumour through the lymphatic vessels within or surrounding the tumour. The dominant lymphatic exit mechanism depends on the nanoparticle size. Nanoparticles that exit the tumour through the lymphatics are returned to the blood system, allowing them to recirculate and interact with the tumour in another pass. Our results enable us to define a mechanism of nanoparticle delivery to solid tumours alternative to the enhanced permeability and retention effect. We call this mechanism the active transport and retention principle. This delivery principle provides a new framework to engineer nanomedicines for cancer treatment and detection."
2023 Jul 25,bioRxiv : the preprint server for biology,bioRxiv [Preprint]. 2023 Jul 25:2023.07.24.550434. doi: ,"['Ling, Bill', 'Ko, Jeong Hoon', 'Stordy, Benjamin', 'Zhang, Yuwei', 'Didden, Tighe F', 'Malounda, Dina', 'Swift, Margaret B', 'Chan, Warren C W', 'Shapiro, Mikhail G']",[],Gas vesicle-blood interactions enhance ultrasound imaging contrast.,"Gas vesicles (GVs) are genetically encoded, air-filled protein nanostructures of broad interest for biomedical research and clinical applications, acting as imaging and therapeutic agents for ultrasound, magnetic resonance, and optical techniques. However, the biomedical applications of GVs as a systemically injectable nanomaterial have been hindered by a lack of understanding of GVs' interactions with blood components, which can significantly impact in vivo performance. Here, we investigate the dynamics of GVs in the bloodstream using a combination of ultrasound and optical imaging, surface functionalization, flow cytometry, and mass spectrometry. We find that erythrocytes and serum proteins bind to GVs and shape their acoustic response, circulation time, and immunogenicity. We show that by modifying the GV surface, we can alter these interactions and thereby modify GVs' in vivo performance. These results provide critical insights for the development of GVs as agents for nanomedicine."
2023 Aug 9,Nano letters,Nano Lett. 2023 Aug 9;23(15):7197-7205. doi: 10.1021/acs.nanolett.3c02186. Epub ,"['MacMillan, Presley', 'Syed, Abdullah M', 'Kingston, Benjamin R', 'Ngai, Jessica', 'Sindhwani, Shrey', 'Lin, Zachary P', 'Nguyen, Luan N M', 'Ngo, Wayne', 'Mladjenovic, Stefan M', 'Ji, Qin', 'Blackadar, Colin', 'Chan, Warren C W']","['humans', ' neoplasms', ' nanoparticles chemistry', 'cancer', 'drug delivery', 'heterogeneity', 'image analysis', 'machine learning', 'nanoparticles']",Toward Predicting Nanoparticle Distribution in Heterogeneous Tumor Tissues.,"Nanobio interaction studies have generated a significant amount of data. An important next step is to organize the data and design computational techniques to analyze the nanobio interactions. Here we developed a computational technique to correlate the nanoparticle spatial distribution within heterogeneous solid tumors. This approach led to greater than 88% predictive accuracy of nanoparticle location within a tumor tissue. This proof-of-concept study shows that tumor heterogeneity might be defined computationally by the patterns of biological structures within the tissue, enabling the identification of tumor patterns for nanoparticle accumulation."
2023 Apr 11,Analytical chemistry,Anal Chem. 2023 Apr 11;95(14):5877-5885. doi: 10.1021/acs.analchem.2c04630. Epub ,"['Kozlowski, Hannah N', 'Malekjahani, Ayden', 'Li, Vanessa Y C', 'Lekuti, Ayokunle A', 'Perusini, Stephen', 'Bell, Natalie G', 'Voisin, Veronique', 'Pouyabahar, Delaram', 'Pai, Shraddha', 'Bader, Gary D', 'Mubareka, Samira', 'Gubbay, Jonathan B', 'Chan, Warren C W']","['humans', ' nucleic acids', 'sars-cov-2 genetics', ' covid-19 diagnosis', 'genotype', 'nucleotides', 'mutation']",Genotyping SARS-CoV-2 Variants Using Ratiometric Nucleic Acid Barcode Panels.,"Designing diagnostic assays to genotype rapidly mutating viruses remains a challenge despite the overall improvements in nucleic acid detection technologies. RT-PCR and next-generation sequencing are unsuitable for genotyping during outbreaks or in point-of-care detection due to their infrastructure requirements and longer turnaround times. We developed a quantum dot barcode multiplexing system to genotype mutated viruses. We designed multiple quantum dot barcodes to target conserved, wildtype, and mutated regions of SARS-CoV-2. We calculated ratios of the signal output from different barcodes that enabled SARS-CoV-2 detection and identified SARS-CoV-2 variant strains from a sample. We detected different sequence types, including conserved genes, nucleotide deletions, and single nucleotide substitutions. Our system detected SARS-CoV-2 patient specimens with 98% sensitivity and 94% specificity across 91 patient samples. Further, we leveraged our barcoding and ratio system to track the emergence of the N501Y SARS-CoV-2 mutation from December 2020 to May 2021 and demonstrated that the more transmissible N501Y mutation started to dominate infections by April 2021. Our barcoding and signal ratio approach can genotype viruses and track the emergence of viral mutations in a single diagnostic test. This technology can be extended to tracking other viruses. Combined with smartphone detection technologies, this assay can be adapted for point-of-care tracking of viral mutations in real time."
2023 Feb 8,Nano letters,Nano Lett. 2023 Feb 8;23(3):1003-1009. doi: 10.1021/acs.nanolett.2c04501. Epub ,"['Lin, Zachary P', 'Ngo, Wayne', 'Mladjenovic, Stefan M', 'Wu, Jamie L Y', 'Chan, Warren C W']","['endothelial cells metabolism', 'platelet factor 4 metabolism', ' protein corona metabolism', 'blood platelets metabolism', ' nanoparticles', 'delivery', 'endothelial cells', 'nanoparticles', 'platelet factor 4', 'protein corona', 'vessels']",Nanoparticles Bind to Endothelial Cells in Injured Blood Vessels via a Transient Protein Corona.,"Nanoparticles travel through blood vessels to reach disease sites, but the local environment they encounter may affect their surface chemistry and cellular interactions. Here, we found that as nanoparticles transit through injured blood vessels they may interact with a highly localized concentration of platelet factor 4 proteins released from activated platelets. The platelet factor 4 binds to the nanoparticle surface and interacts with heparan sulfate proteoglycans on endothelial cells, and induces uptake. Understanding nanoparticle interactions with blood proteins and endothelial cells during circulation is critical to optimizing their design for diseased tissue targeting and delivery."
2023 Jan,Journal of controlled release : official journal of the Controlled Release ,J Control Release. 2023 Jan;353:988-1001. doi: 10.1016/j.jconrel.2022.12.021. ,"['Ngai, Jessica', 'MacMillan, Presley', 'Kingston, Benjamin R', 'Lin, Zachary P', 'Ouyang, Ben', 'Chan, Warren C W']","['animals', 'liposomes therapeutic use', 'tumor microenvironment', 'doxorubicin therapeutic use', ' neoplasms drug therapy', ' nanoparticles', 'polyethylene glycols', 'cancer', 'cytodistribution', 'doxil', 'doxorubicin', 'flow cytometry', 'liposomes']",Delineating the tumour microenvironment response to a lipid nanoparticle formulation.,"Nanoparticles can reduce cytotoxicity, increase circulation time and increase accumulation in tumours compared to free drug. However, the value of using nanoparticles for carrying small molecules to treat tumours at the cellular level has been poorly established. Here we conducted a cytodistribution analysis on Doxorubicin-treated and Doxil-treated tumours to delineate the differences between the small molecule therapeutic Doxorubicin and its packaged liposomal formulation Doxil. We found that Doxil kills more cancer cells, macrophages and neutrophils in the 4T1 breast cancer tumour model, but there is delayed killing compared to its small molecule counterpart Doxorubicin. The cellular interaction with Doxil has slower uptake kinetics and the particles must be degraded to release the drug and kill the cells. We also found that macrophages and neutrophils in Doxil-treated tumours repopulated faster than cancer cells during the relapse phase. While researchers conventionally use tumour volume and animal survival to determine a therapeutic effect, our results show diverse cell killing and a greater amount of cell death in vivo after Doxil liposomes are administered. We conclude that the fate and behaviour of the nanocarrier influences its effectiveness as a cancer therapy. Further investigations on the interactions between different nanoparticle designs and the tumour microenvironment components will lead to more precise engineering of nanocarriers to selectively kill tumour cells and prolong the therapeutic effect."
