time,journal,doi_info,authors,key words,title,abstract
2024 Jul 2,Analytical chemistry,Anal Chem. 2024 Jul 2;96(26):10620-10629. doi: 10.1021/acs.analchem.4c01212. Epub ,"['Peng, Ran', 'Zhang, Tingting', 'Wang, Shiyao', 'Liu, Zhijian', 'Pan, Peng', 'Xu, Xiaotong', 'Song, Yongxin', 'Liu, Xinyu', 'Yan, Sheng', 'Wang, Junsheng']",[],Self-Assembly of Strain-Adaptable Surface-Enhanced Raman Scattering Substrate on Polydimethylsiloxane Nanowrinkles.,"Flexible surface-enhanced Raman scattering (SERS) substrates adaptable to strains enable effective sampling from irregular surfaces, but the preparation of highly stable and sensitive flexible SERS substrates is still challenging. This paper reports a method to fabricate a high-performance strain-adaptable SERS substrate by self-assembly of Au nanoparticles (AuNPs) on polydimethylsiloxane (PDMS) nanowrinkles. Nanowrinkles are created on prestrained PDMS slabs by plasma-induced oxidation followed by the release of the prestrain, and self-assembled AuNPs are transferred onto the nanowrinkles to construct the high-performance SERS substrate. The results show that the nanowrinkled structure can improve the surface roughness and enhance the SERS signals by ∼4 times compared to that of the SERS substrate prepared on flat PDMS substrates. The proposed SERS substrate also shows good adaptability to dynamic bending up to ∼|0.4| 1/cm with excellent testing reproducibility. Phenolic pollutants, including aniline and catechol, were quantitatively tested by the SERS substrate. The self-assembled flexible SERS substrate proposed here provides a powerful tool for chemical analysis in the fields of environmental monitoring and food safety inspection."
2024 May,PLoS neglected tropical diseases,PLoS Negl Trop Dis. 2024 May 13;18(5):e0012136. doi: ,"['Wang, Quan', 'Cao, Yanmin', 'Liu, Xinyu', 'Fu, Yaqun', 'Zhang, Jiawei', 'Zhang, Yeqing', 'Zhang, Lanyue', 'Wei, Xiaolin', 'Yang, Li']","['humans', ' covid-19 mortality epidemiology complications', ' coinfection epidemiology mortality', ' tuberculosis mortality epidemiology complications', 'prevalence', ' sars-cov-2']","Systematic review and meta-analysis of Tuberculosis and COVID-19 Co-infection: Prevalence, fatality, and treatment considerations.","BACKGROUND: Tuberculosis (TB) and COVID-19 co-infection poses a significant global health challenge with increased fatality rates and adverse outcomes. However, the existing evidence on the epidemiology and treatment of TB-COVID co-infection remains limited. METHODS: This updated systematic review aimed to investigate the prevalence, fatality rates, and treatment outcomes of TB-COVID co-infection. A comprehensive search across six electronic databases spanning November 1, 2019, to January 24, 2023, was conducted. The Joanna Briggs Institute Critical Appraisal Checklist assessed risk of bias of included studies, and meta-analysis estimated co-infection fatality rates and relative risk. RESULTS: From 5,095 studies screened, 17 were included. TB-COVID co-infection prevalence was reported in 38 countries or regions, spanning both high and low TB prevalence areas. Prevalence estimates were approximately 0.06% in West Cape Province, South Africa, and 0.02% in California, USA. Treatment approaches for TB-COVID co-infection displayed minimal evolution since 2021. Converging findings from diverse studies underscored increased hospitalization risks, extended recovery periods, and accelerated mortality compared to single COVID-19 cases. The pooled fatality rate among co-infected patients was 7.1% (95%"
2024 May 20,Materials horizons,Mater Horiz. 2024 May 20;11(10):2528. doi: 10.1039/d4mh90042a.,"['Chen, Junyu', 'Shi, Yichao', 'Ying, Binbin', 'Hu, Yajie', 'Gao, Yan', 'Luo, Sida', 'Liu, Xinyu']",[],Correction: Kirigami-enabled stretchable laser-induced graphene heaters for wearable thermotherapy.,"Correction for 'Kirigami-enabled stretchable laser-induced graphene heaters for wearable thermotherapy' by Junyu Chen et al., Mater. Horiz., 2024, 11, 2010-2020, https://doi.org/10.1039/D3MH01884A."
2024 Apr 22,Materials horizons,Mater Horiz. 2024 Apr 22;11(8):2010-2020. doi: 10.1039/d3mh01884a.,"['Chen, Junyu', 'Shi, Yichao', 'Ying, Binbin', 'Hu, Yajie', 'Gao, Yan', 'Luo, Sida', 'Liu, Xinyu']","[' graphite', ' wearable electronic devices', 'humans', ' lasers', ' hyperthermia, induced methods instrumentation', 'equipment design', 'finite element analysis', 'electric conductivity']",Kirigami-enabled stretchable laser-induced graphene heaters for wearable thermotherapy.,"Flexible and stretchable heaters are increasingly recognized for their great potential in wearable thermotherapy to treat muscle spasms, joint injuries and arthritis. However, issues like lengthy processing, high fabrication cost, and toxic chemical involvement are obstacles on the way to popularize stretchable heaters for medical use. Herein, using a single-step customizable laser fabrication method, we put forward the design of cost-effective wearable laser-induced graphene (LIG) heaters with kirigami patterns, which offer multimodal stretchability and conformal fit to the skin around the human body. First, we develop the manufacturing process of the LIG heaters with three different kirigami patterns enabling reliable stretchability by out-of-plane buckling. Then, by adjusting the laser parameters, we confirm that the LIG produced by medium laser power could maintain a balance between mechanical strength and electrical conductivity. By optimizing cutting-spacing ratios through experimental measurements of stress, resistance and temperature profiles, as well as finite element analysis (FEA), we determine that a larger cutting-spacing ratio within the machining precision will lead to better mechanical, electrical and heating performance. The optimized stretchable heater in this paper could bear significant unidirectional strain over 100% or multidirectional strain over 20% without major loss in conductivity and heating performance. On-body tests and fatigue tests also proved great robustness in practical scenarios. With the advantage of safe usage, simple and customizable fabrication, easy bonding with skin, and multidirectional stretchability, the on-skin heaters are promising to substitute the traditional heating packs/wraps for thermotherapy."
2024 Mar 1,"International journal of surgery (London, England)",Int J Surg. 2024 Mar 1;110(3):1411-1419. doi: 10.1097/JS9.0000000000000951.,"['Chen, Lingxiao', 'Sun, Qingyu', 'Chou, Roger', 'Anderson, David B', 'Shi, Baoyi', 'Chen, Yujie', 'Liu, Xinyu', 'Feng, Shiqing', 'Zhou, Hengxing', 'Ferreira, Manuela L']","['humans', 'united states epidemiology', 'cross-sectional studies', ' low back pain epidemiology', ' fractures, compression', 'constriction, pathologic', 'inpatients', ' spinal fractures', ' spinal stenosis']",Low back pain-driven inpatient stays in the United States: a nationwide repeated cross-sectional analysis.,"BACKGROUND: Low back pain (LBP)-driven inpatient stays are resource-intensive and costly, yet data on contemporary national trends are limited. MATERIALS AND METHODS: This study used repeated cross-sectional analyses through a nationally representative sample (US National Inpatient Sample, 2016-2019). Outcomes included the rate of LBP-driven inpatient stays; the resource utilization (the proportion of receiving surgical treatments and hospital costs) and prognosis (hospital length of stay and the proportion of nonroutine discharge) among LBP-driven inpatient stays. LBP was classified as overall, nonspecific, and specific (i.e. cancer, cauda equina syndrome, vertebral infection, vertebral compression fracture, axial spondyloarthritis, radicular pain, and spinal canal stenosis). Analyses were further stratified by age, sex, and race/ethnicity. RESULTS: 292 987 LBP-driven inpatient stays (weighted number: 1 464 690) were included, with 269 080 (91.8%) of these for specific LBP and 23 907 (8.2%) for nonspecific LBP. The rate of LBP-driven inpatient stays varied a lot across demographic groups and LBP subtypes (e.g. for overall LBP, highest for non-Hispanic White 180.4 vs. lowest for non-Hispanic Asian/Pacific Islander 42.0 per 100 000 population). Between 2016 and 2019, the rate of nonspecific LBP-driven inpatient stays significantly decreased (relative change: 46.9%); however, substantial variations were found within subcategories of specific LBP-significant increases were found for vertebral infection (relative change: 17.2%), vertebral compression fracture (relative change: 13.4%), and spinal canal stenosis (relative change: 19.9%), while a significant decrease was found for radicular pain (relative change: 12.6%). The proportion of receiving surgical treatments also varied a lot (e.g. for overall LBP, highest for non-Hispanic White 74.4% vs. lowest for non-Hispanic Asian/Pacific Islander 62.8%), and significantly decreased between 2016 and 2019 (e.g. for nonspecific LBP, relative change: 28.6%). Variations were also observed for other outcomes. CONCLUSIONS: In the US, the burden of LBP-driven inpatient stays (i.e. rates of LBP-driven inpatient stays, resource utilization, and prognosis among LBP-driven inpatient stays) is enormous. More research is needed to understand why the burden varies considerably according to the LBP subtype (i.e. nonspecific and specific LBP as well as subcategories of specific LBP) and the subpopulation concerned (i.e. stratified by age, sex, and race/ethnicity)."
2023,Microsystems & nanoengineering,Microsyst Nanoeng. 2023 Nov 24;9:147. doi: 10.1038/s41378-023-00626-9. ,"['Pan, Peng', 'Qin, Zhen', 'Sun, William', 'Zhou, Yuxiao', 'Wang, Shaojia', 'Song, Pengfei', 'Wang, Yong', 'Ru, Changhai', 'Wang, Xin', 'Calarco, John', 'Liu, Xinyu']","['engineering', 'materials science']","Correction: A spiral microfluidic device for rapid sorting, trapping, and long-term live imaging of Caenorhabditis elegans embryos.",[This corrects the article DOI: 10.1038/s41378-023-00485-4.].
2023 Nov 17,"Nanomaterials (Basel, Switzerland)",Nanomaterials (Basel). 2023 Nov 17;13(22):2968. doi: 10.3390/nano13222968.,"['Peng, Ran', 'Zhang, Tingting', 'Yan, Sheng', 'Song, Yongxin', 'Liu, Xinyu', 'Wang, Junsheng']","['flexible sers substrate', 'stretchable sers substrate', 'surface-enhanced raman scattering (sers)']",Recent Development and Applications of Stretchable SERS Substrates.,"Surface-enhanced Raman scattering (SERS) is a cutting-edge technique for highly sensitive analysis of chemicals and molecules. Traditional SERS-active nanostructures are constructed on rigid substrates where the nanogaps providing hot-spots of Raman signals are fixed, and sample loading is unsatisfactory due to the unconformable attachment of substrates on irregular sample surfaces. A flexible SERS substrate enables conformable sample loading and, thus, highly sensitive Raman detection but still with limited detection capabilities. Stretchable SERS substrates with flexible sample loading structures and controllable hot-spot size provide a new strategy for improving the sample loading efficiency and SERS detection sensitivity. This review summarizes and discusses recent development and applications of the newly conceptual stretchable SERS substrates. A roadmap of the development of SERS substrates is reviewed, and fabrication techniques of stretchable SERS substrates are summarized, followed by an exhibition of the applications of these stretchable SERS substrates. Finally, challenges and perspectives of the stretchable SERS substrates are presented. This review provides an overview of the development of SERS substrates and sheds light on the design, fabrication, and application of stretchable SERS systems."
2023 Sep 22,ACS sensors,ACS Sens. 2023 Sep 22;8(9):3574-3584. doi: 10.1021/acssensors.3c01221. Epub 2023 ,"['Fu, Hao', 'Qin, Zhen', 'Li, Xiao', 'Pan, Yueyue', 'Xu, Haitong', 'Pan, Peng', 'Song, Pengfei', 'Liu, Xinyu']","['humans', ' point-of-care systems', ' point-of-care testing', 'troponin i', 'carbon', 'cell membrane', 'cardiac biomarker', 'cardiovascular disease', 'electrochemical impedance spectroscopy', 'paper-based microfluidics', 'zinc oxide nanowire']",Paper-Based All-in-One Origami Nanobiosensor for Point-of-Care Detection of Cardiac Protein Markers in Whole Blood.,"Rapid and accurate diagnosis of cardiovascular diseases (CVDs) at the earliest stage is of paramount importance to improve the treatment outcomes and avoid irreversible damage to a patient's cardiovascular system. Microfluidic paper-based devices (μPADs) represent a promising platform for rapid CVD diagnosis at the point of care (POC). This paper presents an electrochemical μPAD (E-μPAD) with an all-in-one origami design for rapid and POC testing of cardiac protein markers in whole blood. Based on the label-free, electrochemical impedance spectroscopy (EIS) immunoassay, the E-μPAD integrates all essential components on a single chip, including three electrochemical cells, a plasma separation membrane, and a buffer absorption pad, enabling easy and streamlined operations for multiplexed detection of three cardiac protein markers [cardiac troponin I (cTnI), brain natriuretic peptide (BNP)-32, and D-Dimer] on a finger-prick whole blood sample within 46 min. Superior analytical performance is achieved through sensitive EIS measurement on carbon electrodes decorated with semiconductor zinc oxide nanowires (ZnO NWs). Using spiked human plasma samples, ultralow limits of detection (LODs) of E-μPAD are achieved at 4.6 pg/mL (190 fM) for cTnI, 1.2 pg/mL (40 fM) for BNP-32, and 146 pg/mL (730 fM) for D-Dimer. Real human blood samples spiked with purified proteins are also tested, and the device's analytical performance was proven to be comparable to commercial ELISA kits. The all-in-one E-μPAD will allow rapid and sensitive testing of cardiac protein markers through easy operations, which holds great potential for on-site screening of acute CVDs in nonlaboratory settings such as emergency rooms, doctor's offices, or patient homes."
2024 May,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 May;36(18):e2305268. doi: 10.1002/adma.202305268. Epub 2024 Feb ,"['Li, Xiao', 'Zhu, Hui', 'Gu, Bingsong', 'Yao, Cong', 'Gu, Yuyang', 'Xu, Wangkai', 'Zhang, Jia', 'He, Jiankang', 'Liu, Xinyu', 'Li, Dichen']","[' lab-on-a-chip devices', 'humans', 'animals', 'microphysiological systems', 'data processing', 'dynamic modulation', 'in situ sensing', 'in vitro models', 'organ‐on‐a‐chip']",Advancing Intelligent Organ-on-a-Chip Systems with Comprehensive In Situ Bioanalysis.,"In vitro models are essential to a broad range of biomedical research, such as pathological studies, drug development, and personalized medicine. As a potentially transformative paradigm for 3D in vitro models, organ-on-a-chip (OOC) technology has been extensively developed to recapitulate sophisticated architectures and dynamic microenvironments of human organs by applying the principles of life sciences and leveraging micro- and nanoscale engineering capabilities. A pivotal function of OOC devices is to support multifaceted and timely characterization of cultured cells and their microenvironments. However, in-depth analysis of OOC models typically requires biomedical assay procedures that are labor-intensive and interruptive. Herein, the latest advances toward intelligent OOC (iOOC) systems, where sensors integrated with OOC devices continuously report cellular and microenvironmental information for comprehensive in situ bioanalysis, are examined. It is proposed that the multimodal data in iOOC systems can support closed-loop control of the in vitro models and offer holistic biomedical insights for diverse applications. Essential techniques for establishing iOOC systems are surveyed, encompassing in situ sensing, data processing, and dynamic modulation. Eventually, the future development of iOOC systems featuring cross-disciplinary strategies is discussed."
2023,"Cyborg and bionic systems (Washington, D.C.)",Cyborg Bionic Syst. 2023 Apr 14;4:0011. doi: 10.34133/cbsystems.0011. eCollection ,"['Yuan, Hang', 'Yuan, Wenwen', 'Duan, Sixuan', 'Jiao, Keran', 'Zhang, Quan', 'Lim, Eng Gee', 'Chen, Min', 'Zhao, Chun', 'Pan, Peng', 'Liu, Xinyu', 'Song, Pengfei']",[],Microfluidic-Assisted Caenorhabditis elegans Sorting: Current Status and Future Prospects.,"Caenorhabditis elegans (C. elegans) has been a popular model organism for several decades since its first discovery of the huge research potential for modeling human diseases and genetics. Sorting is an important means of providing stage- or age-synchronized worm populations for many worm-based bioassays. However, conventional manual techniques for C. elegans sorting are tedious and inefficient, and commercial complex object parametric analyzer and sorter is too expensive and bulky for most laboratories. Recently, the development of lab-on-a-chip (microfluidics) technology has greatly facilitated C. elegans studies where large numbers of synchronized worm populations are required and advances of new designs, mechanisms, and automation algorithms. Most previous reviews have focused on the development of microfluidic devices but lacked the summaries and discussion of the biological research demands of C. elegans, and are hard to read for worm researchers. We aim to comprehensively review the up-to-date microfluidic-assisted C. elegans sorting developments from several angles to suit different background researchers, i.e., biologists and engineers. First, we highlighted the microfluidic C. elegans sorting devices' advantages and limitations compared to the conventional commercialized worm sorting tools. Second, to benefit the engineers, we reviewed the current devices from the perspectives of active or passive sorting, sorting strategies, target populations, and sorting criteria. Third, to benefit the biologists, we reviewed the contributions of sorting to biological research. We expect, by providing this comprehensive review, that each researcher from this multidisciplinary community can effectively find the needed information and, in turn, facilitate future research."
