time,journal,doi_info,authors,key words,title,abstract
2022 Dec 19,Nature communications,Nat Commun. 2022 Dec 19;13(1):7815. doi: 10.1038/s41467-022-35565-y.,"['Wang, Zhikai', 'Sun, Yang', 'Lou, Fangzhou', 'Bai, Jing', 'Zhou, Hong', 'Cai, Xiaojie', 'Sun, Libo', 'Yin, Qianqian', 'Tang, Sibei', 'Wu, Yue', 'Fan, Li', 'Xu, Zhenyao', 'Wang, Hong', 'Hu, Xiaoyu', 'Wang, Honglin']","['animals', 'mice', ' menthol', ' psoriasis metabolism', 'keratinocytes metabolism', 'transcription factors metabolism', 'immunoglobulins metabolism', 'disease models, animal', 'transcription factor hes-1 metabolism']",Targeting the transcription factor HES1 by L-menthol restores protein phosphatase 6 in keratinocytes in models of psoriasis.,"Protein Phosphatase 6 down-regulation in keratinocytes is a pivotal event that amplifies the inflammatory circuits in psoriasis, indicating that restoration of protein phosphatase 6 can be a rational strategy for psoriasis treatment. Through the phenotypic screen, we here identify L-menthol that ameliorates psoriasis-like skin inflammation by increasing protein phosphatase 6 in keratinocytes. Target identification approaches reveal an indispensable role for the transcription factor hairy and enhancer of split 1 in governing the protein phosphatase 6-upregulating function of L-menthol in keratinocytes. The transcription factor hairy and enhancer of split 1 is diminished in the epidermis of psoriasis patients and imiquimod-induced mouse model, while L-menthol upregulates the transcription factor hairy and enhancer of split 1 by preventing its proteasomal degradation. Mechanistically, the transcription factor hairy and enhancer of split 1 transcriptionally activates the expression of immunoglobulin-binding protein 1 which promotes protein phosphatase 6 expression and inhibits its ubiquitination. Collectively, we discover a therapeutic compound, L-menthol, for psoriasis, and uncover the dysfunctional the transcription factor hairy and enhancer of split 1- immunoglobulin-binding protein 1- protein phosphatase 6 axis that contributes to psoriasis pathology by using L-menthol as a probe."
2022 Dec,British journal of cancer,Br J Cancer. 2022 Dec;127(12):2154-2165. doi: 10.1038/s41416-022-01969-2. Epub ,"['Zhang, Xinyu', 'Yu, Zhuo', 'Xu, Yaping', 'Chao, Yencheng', 'Hu, Qin', 'Li, Chun', 'Ye, Maosong', 'Zhu, Xiuli', 'Cui, Liang', 'Bai, Jing', 'Gong, Yuhua', 'Guan, Yanfang', 'Zhou, Min', ""Huang, Jian'an"", 'Zhang, Hua', 'Ren, Tao', 'Shen, Qian', 'Wang, Kai', 'Hou, Yingyong', 'Xia, Xuefeng', 'Pu, Xingxiang', 'Carbone, David P', 'Zhang, Xin']","['humans', ' cell-free nucleic acids genetics', 'prospective studies', 'genomics', ' lung neoplasms diagnosis genetics']",Utility of cell-free DNA from bronchial washing fluid in diagnosis and genomic determination for radiology-suspected pulmonary nodules.,"BACKGROUND: Bronchial washing fluid (BWF) is a less-invasive specimen. Due to the limited sensitivity of BWF cellular component diagnosis, the aim of this study was to explore the potential role of BWF supernatant as a source of liquid biopsy of lung cancer. METHODS: This prospective study enrolled 76 suspected and 5 progressed lung cancer patients. Transbronchial biopsy tissues, BWF supernatant (BWF_Sup) and BWF precipitant (BWF_Pre) were tested by a targeted panel of 1021 genes. RESULTS: BWF_Sup cell-free DNA (cfDNA) was superior to tissue biopsy and BWF_Pre in determining mutational allele frequency, tumour mutational burden, and chromosomal instability. Moreover, BWF_Sup and BWF_Pre achieved comparable efficacy to tissue samples in differentiating malignant and benign patients, but only BWF_Sup persisted differentiated performance after excluding 55 malignancies pathologically diagnosed by bronchoscopic biopsy. Among 67 malignant patients, 82.1% and 71.6% of tumour-derived mutations (TDMs) were detected in BWF_Sup and BWF_Pre, respectively, and the detectability of TDMs in BWF_Sup was independent of the cytological examination of BWF. BWF_Sup outperformed BWF_Pre in providing more subclonal information and thus might yield advantage in tracking drug-resistant markers. CONCLUSIONS: BWF_Sup cfDNA is a reliable medium for lung cancer diagnosis and genomic profiles and may provide important information for subsequent therapeutic regimens."
2022 Jun 28,Journal of geriatric cardiology : JGC,J Geriatr Cardiol. 2022 Jun 28;19(6):473-480. doi: ,"['Bai, Jing', 'Xiang, Wei', 'Kong, Ling-Yun', 'Zhao, Lan-Ting', 'Liu, Fang', 'Liu, Li-Feng', 'Tang, Zhe', 'Zhang, Ping']",[],Acute myocardial infarction complicated with takotsubo syndrome in an elderly patient: case report and literature review.,
2022 Dec,IEEE transactions on cybernetics,IEEE Trans Cybern. 2022 Dec;52(12):13821-13833. doi: 10.1109/TCYB.2021.3110813. ,"['Bai, Jing', 'Yu, Wentao', 'Xiao, Zhu', 'Havyarimana, Vincent', 'Regan, Amelia C', 'Jiang, Hongbo', 'Jiao, Licheng']","['humans', ' rivers', ' wakefulness', 'neural networks, computer']",Two-Stream Spatial-Temporal Graph Convolutional Networks for Driver Drowsiness Detection.,"Convolutional neural networks (CNNs) have achieved remarkable performance in driver drowsiness detection based on the extraction of deep features of drivers' faces. However, the performance of driver drowsiness detection methods decreases sharply when complications, such as illumination changes in the cab, occlusions and shadows on the driver's face, and variations in the driver's head pose, occur. In addition, current driver drowsiness detection methods are not capable of distinguishing between driver states, such as talking versus yawning or blinking versus closing eyes. Therefore, technical challenges remain in driver drowsiness detection. In this article, we propose a novel and robust two-stream spatial-temporal graph convolutional network (2s-STGCN) for driver drowsiness detection to solve the above-mentioned challenges. To take advantage of the spatial and temporal features of the input data, we use a facial landmark detection method to extract the driver's facial landmarks from real-time videos and then obtain the driver drowsiness detection result by 2s-STGCN. Unlike existing methods, our proposed method uses videos rather than consecutive video frames as processing units. This is the first effort to exploit these processing units in the field of driver drowsiness detection. Moreover, the two-stream framework not only models both the spatial and temporal features but also models both the first-order and second-order information simultaneously, thereby notably improving driver drowsiness detection. Extensive experiments have been performed on the yawn detection dataset (YawDD) and the National TsingHua University drowsy driver detection (NTHU-DDD) dataset. The experimental results validate the feasibility of the proposed method. This method achieves an average accuracy of 93.4% on the YawDD dataset and an average accuracy of 92.7% on the evaluation set of the NTHU-DDD dataset."
2021 Aug 28,Journal of geriatric cardiology : JGC,J Geriatr Cardiol. 2021 Aug 28;18(8):692-696. doi: ,"['Xiang, Wei', 'Kong, Ling-Yun', 'Bai, Jing', 'Xie, Jun-Jie', 'Liu, Fang']",[],Short-term observation of direct oral anticoagulant use in an atrial fibrillation patient with high bleeding risk and kidney transplant: a case report.,
2021 Sep,Biomaterials,Biomaterials. 2021 Sep;276:121032. doi: 10.1016/j.biomaterials.2021.121032. Epub ,"['Wan, Zhengpeng', 'Zhang, Shun', 'Zhong, Amy X', 'Shelton, Sarah E', 'Campisi, Marco', 'Sundararaman, Shriram K', 'Offeddu, Giovanni S', 'Ko, Eunkyung', 'Ibrahim, Lina', 'Coughlin, Mark F', 'Liu, Tiankun', 'Bai, Jing', 'Barbie, David A', 'Kamm, Roger D']","['cell differentiation', 'cells, cultured', 'fibroblasts metabolism', 'human umbilical vein endothelial cells metabolism', 'humans', ' microfluidics', 'reproducibility of results', ' telomerase', 'fibroblasts', 'huvecs', 'immortalization', 'microfluidic', 'thy1', 'vasculogenesis']",A robust vasculogenic microfluidic model using human immortalized endothelial cells and Thy1 positive fibroblasts.,"Human umbilical vein endothelial cells (HUVECs) and stromal cells, such as human lung fibroblasts (FBs), have been widely used to generate functional microvascular networks (μVNs) in vitro. However, primary cells derived from different donors have batch-to-batch variations and limited lifespans when cultured in vitro, which hampers the reproducibility of μVN formation. Here, we immortalize HUVECs and FBs by exogenously expressing human telomerase reverse transcriptase (hTERT) to obtain stable endothelial cell and FB sources for μVN formation in vitro. Interestingly, we find that immortalized HUVECs can only form functional μVNs with immortalized FBs from earlier passages but not from later passages. Mechanistically, we show that Thy1 expression decreases in FBs from later passages. Compared to Thy1 negative FBs, Thy1 positive FBs express higher IGFBP2, IGFBP7, and SPARC, which are important for angiogenesis and lumen formation during vasculogenesis in 3D. Moreover, Thy1 negative FBs physically block microvessel openings, reducing the perfusability of μVNs. Finally, by culturing immortalized FBs on gelatin-coated surfaces in serum-free medium, we are able to maintain the majority of Thy1 positive immortalized FBs to support perfusable μVN formation. Overall, we establish stable cell sources for μVN formation and characterize the functions of Thy1 positive and negative FBs in vasculogenesis in vitro."
2018 Jul,Journal of environmental sciences (China),J Environ Sci (China). 2018 Jul;69:183-191. doi: 10.1016/j.jes.2017.10.007. Epub ,"['Wei, Zhimou', 'Xiong, Ya', 'Chen, Jian', 'Bai, Jing', 'Wu, Jing', 'Zuo, Jiane', 'Wang, Kaijun']","['copper  chemistry', 'crystallization', ' models, chemical', 'water pollutants, chemical  chemistry', 'water purification  methods', 'copper removal', 'fluidized bed reactor', 'induced crystallization', 'long-term operation', 'supersaturation']",Recovery of Cu(II) from aqueous solution by induced crystallization in a long-term operation.,"The feasibility of copper recovery by induced crystallization in a long period (174days) was investigated in a seeded fluidized bed reactor (FBR). The process was divided into 3 periods according to different influent conditions, and the period III was separated into III-a and III-b due to the adjustment of the molar ratio of CO(3)(2-) concentration to copper concentration ([C(T)]/[Cu(2+)]). The removal efficiency could exceed 95% and the average effluent copper concentration decreased to 3.0mg/L. The mean particle size of seed grains with copper crystals coating on, raised to 0.36mm from initial 0.18mm. During period III-a, the supersaturation exceeded 2.88×10(4), the removal efficiency decreased to 60%-80% and the particle size dropped to 0.30mm, due to the generation of fines by homogeneous crystallization and seeds breaking. And the morphology of the crystals on the seed grains changed from rod-like to spherical which lead to the particle size decreasing. In period III-b, the supersaturation was modified by adjusting the molar ratio of [C(T)]/[Cu(2+)] to 1.2 from 2. The efficiency was back to 95% and the mean particle size grew to 0.36mm at the end of III-b, the crystals coating on the seeds turned back to rod-like products of good stability. This study illustrated that the copper salt crystal could keep on growing on the seed grains for over 150days, the feasibility and controllability of copper recovery by induced crystallization process in FBR were satisfactory, even under the dramatic changes in influent conditions."
2017,Applied bionics and biomechanics,Appl Bionics Biomech. 2017;2017:5932545. doi: 10.1155/2017/5932545. Epub 2017 Dec ,"['Luo, Shitong', 'Shen, Xingquan', 'Bai, Xin', 'Bai, Jing', 'Han, Jianning', 'Shang, Yu']",[],Validation of Material Algorithms for Femur Remodelling Using Medical Image Data.,"The aim of this study is the utilization of human medical CT images to quantitatively evaluate two sorts of ""error-driven"" material algorithms, that is, the isotropic and orthotropic algorithms, for bone remodelling. The bone remodelling simulations were implemented by a combination of the finite element (FE) method and the material algorithms, in which the bone material properties and element axes are determined by both loading amplitudes and daily cycles with different weight factor. The simulation results showed that both algorithms produced realistic distribution in bone amount, when compared with the standard from CT data. Moreover, the simulated L-T ratios (the ratio of longitude modulus to transverse modulus) by the orthotropic algorithm were close to the reported results. This study suggests a role for ""error-driven"" algorithm in bone material prediction in abnormal mechanical environment and holds promise for optimizing implant design as well as developing countermeasures against bone loss due to weightlessness. Furthermore, the quantified methods used in this study can enhance bone remodelling model by optimizing model parameters to gap the discrepancy between the simulation and real data."
2016 Feb 28,Nanoscale,Nanoscale. 2016 Feb 28;8(8):4452-7. doi: 10.1039/c6nr00056h.,"['Sun, Mengmeng', 'Liu, Fei', 'Zhu, Yukun', 'Wang, Wansheng', 'Hu, Jin', 'Liu, Jing', 'Dai, Zhifei', 'Wang, Kun', 'Wei, Yen', 'Bai, Jing', 'Gao, Weiping']","['animals', 'cell line, tumor', 'cell survival drug effects radiation effects', 'dynamic light scattering', 'gold  chemistry', 'humans', 'infrared rays', 'metal nanoparticles  chemistry therapeutic use toxicity', 'mice', 'mice, nude', 'microscopy, electron, transmission', 'neoplasms diagnostic imaging mortality therapy', 'photoacoustic techniques', 'phototherapy', 'polyethylene glycols chemistry', 'sodium chloride  chemistry', 'survival rate', 'transplantation, heterologous']",Salt-induced aggregation of gold nanoparticles for photoacoustic imaging and photothermal therapy of cancer.,"The challenge in photothermal therapy (PTT) is to develop biocompatible photothermal transducers that can absorb and convert near-infrared (NIR) light into heat with high efficiency. Herein, we report salt-induced aggregation of gold nanoparticles (GNPs) in biological media to form highly efficient and biocompatible NIR photothermal transducers for PTT and photothermal/photoacoustic (PT/PA) imaging of cancer. The GNP depots in situ formed by salt-induced aggregation of GNPs show strong NIR absorption induced by plasmonic coupling between adjacent GNPs and very high photothermal conversion efficiency (52%), enabling photothermal destruction of tumor cells. More interestingly, GNPs in situ aggregate in tumors to form GNP depots, enabling simultaneous PT/PA imaging and PTT of the tumors. These findings may provide a simple and effective way to develop a new class of intelligent and biocompatible NIR photothermal transducers with high efficiency for PT/PA imaging and PTT."
2016 Jan 14,Biomedical engineering online,Biomed Eng Online. 2016 Jan 14;15:6. doi: 10.1186/s12938-016-0124-y.,"['Zhang, Xuanxuan', 'Zhang, Jiulou', 'Bai, Jing', 'Luo, Jianwen']","['image processing, computer-assisted  methods', ' optical imaging', ' tomography']",Shape-based reconstruction of dynamic fluorescent yield with a level set method.,"BACKGROUND: Fluorescence molecular tomography (FMT) is an optical imaging technique that reveals biological processes within small animals through non-invasively reconstructing the distributions of fluorescent agents. The primary problem in FMT with non-stationary fluorescent yield is the increase of the unknown parameters to be reconstructed. In this paper, a method is proposed to reconstruct dynamic fluorescent yield. METHODS: A shape-based reconstruction method that recovers dynamic fluorescent yield with a level set method is proposed for FMT. To reduce the number of unknown parameters, a level set function is introduced to describe the shape of target and a small number of parameters are used to describe the fluorescent yields at different time points. RESULTS: Results of simulations and phantom experiments demonstrate that the proposed method can recover well the dynamic fluorescent yields, shapes and locations of the target. CONCLUSIONS: The proposed method can handle the cases with non-stationary fluorescent yields and recover the fluorescent yields at each projection angle."
