time,journal,doi_info,authors,key words,title,abstract
2024 May 8,Small methods,Small Methods. 2024 May 8:e2400030. doi: 10.1002/smtd.202400030.,"['Liu, Jiajia', 'Li, Nan', 'Zhang, Li', 'Lu, Ying', 'Shen, Minjie', 'Zhang, Yuanyue', 'Feng, Li', 'Jing, Juhui', 'Cheng, Jing', 'Xu, Youchun']","['multiplex diagnosis', 'one‐pot detection', 'point‐of‐care testing', 'respiratory disease']",A Wax Interface-Enabled One-Pot Multiplexed Nucleic Acid Testing Platform for Rapid and Sensitive Detection of Viruses and Variants.,"High-quality, low-cost, and rapid detection is essential for the society to reopen the economy during the critical period of transition from Coronavirus Disease 2019 (COVID-19) pandemic response to pandemic control. In addition to performing sustainable and target-driven tracking of SARS-CoV-2, conducting comprehensive surveillance of variants and multiple respiratory pathogens is also critical due to the frequency of reinfections, mutation immune escape, and the growing prevalence of the cocirculation of multiple viruses. By utilizing a 0.05 cents wax interface, a Stable Interface assisted Multiplex Pathogenesis Locating Estimation in Onepot (SIMPLEone) using nested RPA and CRISPR/Cas12a enzymatic reporting system is successfully developed. This smartphone-based SIMPLEone system achieves highly sensitive one-pot detection of SARS-CoV-2 and its variants, or multiple respiratory viruses, in 40 min. A total of 89 clinical samples, 14 environmental samples, and 20 cat swab samples are analyzed by SIMPLEone, demonstrating its excellent sensitivity (3-6 copies/reaction for non-extraction detection of swab and 100-150 copies/mL for RNA extraction-based assay), accuracy (>97.7%), and specificity (100%). Furthermore, a high percentage (44.2%) of co-infection cases are detected in SARS-CoV-2-infected patients using SIMPLEone's multiplex detection capability."
2024 Apr 23,Nature communications,Nat Commun. 2024 Apr 23;15(1):3423. doi: 10.1038/s41467-024-47528-6.,"['Cheng, Jing', 'Liu, Tong', 'You, Xin', 'Zhang, Fa', 'Sui, Sen-Fang', 'Wan, Xiaohua', 'Zhang, Xinzheng']",[],Author Correction: Determining protein structures in cellular lamella at pseudo-atomic resolution by GisSPA.,
2024 Mar 15,"One earth (Cambridge, Mass.)",One Earth. 2024 Mar 15;7(3):497-505. doi: 10.1016/j.oneear.2024.01.006.,"['Ban, Jie', 'Cheng, Jing', 'Zhang, Can', 'Lu, Kailai', 'Zhou, Zhen', 'Liu, Zhao', 'Chen, Yidan', 'Wang, Can', 'Cai, Wenjia', 'Gong, Peng', 'Luo, Yong', 'Tong, Dan', 'Hu, Jianlin', 'Guo, Xinbiao', 'Hao, Junwei', 'Li, Tiantian']","['ambient pm2.5', 'carbon neutral', 'cardiovascular disease', 'health benefit', 'incidence', 'projection', 'short-term exposure']",China's carbon-neutral policies will reduce short-term PM(2.5)-associated excess incidence of cardiovascular diseases.,"China's carbon-neutral target could have benefits for ambient fine particulate matter (PM(2.5))-associated mortality. Although previous studies have researched such benefits, the potential impact on cardiovascular disease incidence burden is yet to be investigated thoroughly. Here, we first estimate the association between short-term PM(2.5) exposure and the incidence of stroke and coronary heart disease (CHD) via a case-crossover study before projecting future changes in short-term PM(2.5)-associated excess incidence across China from 2025 to 2060 under three different emission scenarios. We find that, compared to the 2015-2020 baseline, average PM(2.5) concentrations nationwide in 2060 under SSP119 (an approximation of a carbon-neutral scenario) are projected to decrease by 81.07%. The short-term PM(2.5)-related excess incidence of stroke and CHD is projected to be reduced to 3,352 cases (95% confidence interval: 939, 5,738)-compared with 34,485 cases under a medium-emissions scenario (SSP245)-and is expected to be accompanied by a 95% reduction in the related economic burden. China's carbon-neutral policies are likely to bring health benefits for cardiovascular disease by reducing short-term PM(2.5)-related incidence burden."
2024 Mar 13,Nature communications,Nat Commun. 2024 Mar 13;15(1):2272. doi: 10.1038/s41467-024-46549-5.,"['Yan, Xizhe', 'Tong, Dan', 'Zheng, Yixuan', 'Liu, Yang', 'Chen, Shaoqing', 'Qin, Xinying', 'Chen, Chuchu', 'Xu, Ruochong', 'Cheng, Jing', 'Shi, Qinren', 'Zheng, Dongsheng', 'He, Kebin', 'Zhang, Qiang', 'Lei, Yu']",[],Cost-effectiveness uncertainty may bias the decision of coal power transitions in China.,"A transition away from coal power always maintains a high level of complexity as there are several overlapping considerations such as technical feasibility, economic costs, and environmental and health impacts. Here, we explore the cost-effectiveness uncertainty brought by policy implementation disturbances of different coal power phaseout and new-built strategies (i.e., the disruption of phaseout priority) in China based on a developed unit-level uncertainty assessment framework. We reveal the opportunity and risk of coal transition decisions by employing preference analysis. We find that, the uncertainty of a policy implementation might lead to potential delays in yielding the initial positive annual net benefits. For example, a delay of six years might occur when implementing the prior phaseout practice. A certain level of risk remains in the implementation of the phaseout policy, as not all strategies can guarantee the cumulative positive net benefits from 2018-2060. Since the unit-level heterogeneities shape diverse orientation of the phaseout, the decision-making preferences would remarkably alter the selection of a coal power transition strategy. More strikingly, the cost-effectiveness uncertainty might lead to missed opportunities in identifying an optimal strategy. Our results highlight the importance of minimizing the policy implementation disturbance, which helps mitigate the risk of negative benefits and strengthen the practicality of phaseout decisions."
2024 May,Environmental science and ecotechnology,Environ Sci Ecotechnol. 2023 Oct 23;19:100335. doi: 10.1016/j.ese.2023.100335. ,"['Lei, Yu', 'Yin, Zhicong', 'Lu, Xi', 'Zhang, Qiang', 'Gong, Jicheng', 'Cai, Bofeng', 'Cai, Cilan', 'Chai, Qimin', 'Chen, Huopo', 'Chen, Renjie', 'Chen, Shi', 'Chen, Wenhui', 'Cheng, Jing', 'Chi, Xiyuan', 'Dai, Hancheng', 'Feng, Xiangzhao', 'Geng, Guannan', 'Hu, Jianlin', 'Hu, Shan', 'Huang, Cunrui', 'Li, Tiantian', 'Li, Wei', 'Li, Xiaomei', 'Liu, Jun', 'Liu, Xin', 'Liu, Zhu', 'Ma, Jinghui', 'Qin, Yue', 'Tong, Dan', 'Wang, Xuhui', 'Wang, Xuying', 'Wu, Rui', 'Xiao, Qingyang', 'Xie, Yang', 'Xu, Xiaolong', 'Xue, Tao', 'Yu, Haipeng', 'Zhang, Da', 'Zhang, Ning', 'Zhang, Shaohui', 'Zhang, Shaojun', 'Zhang, Xian', 'Zhang, Xin', 'Zhang, Zengkai', 'Zheng, Bo', 'Zheng, Yixuan', 'Zhou, Jian', 'Zhu, Tong', 'Wang, Jinnan', 'He, Kebin']","['carbon neutrality', 'clean air', 'synergetic roadmap']",The 2022 report of synergetic roadmap on carbon neutrality and clean air for China: Accelerating transition in key sectors.,"China is now confronting the intertwined challenges of air pollution and climate change. Given the high synergies between air pollution abatement and climate change mitigation, the Chinese government is actively promoting synergetic control of these two issues. The Synergetic Roadmap project was launched in 2021 to track and analyze the progress of synergetic control in China by developing and monitoring key indicators. The Synergetic Roadmap 2022 report is the first annual update, featuring 20 indicators across five aspects: synergetic governance system and practices, progress in structural transition, air pollution and associated weather-climate interactions, sources, sinks, and mitigation pathway of atmospheric composition, and health impacts and benefits of coordinated control. Compared to the comprehensive review presented in the 2021 report, the Synergetic Roadmap 2022 report places particular emphasis on progress in 2021 with highlights on actions in key sectors and the relevant milestones. These milestones include the proportion of non-fossil power generation capacity surpassing coal-fired capacity for the first time, a decline in the production of crude steel and cement after years of growth, and the surging penetration of electric vehicles. Additionally, in 2022, China issued the first national policy that synergizes abatements of pollution and carbon emissions, marking a new era for China's pollution-carbon co-control. These changes highlight China's efforts to reshape its energy, economic, and transportation structures to meet the demand for synergetic control and sustainable development. Consequently, the country has witnessed a slowdown in carbon emission growth, improved air quality, and increased health benefits in recent years."
2023 Sep 25,Cell reports methods,Cell Rep Methods. 2023 Sep 25;3(9):100579. doi: 10.1016/j.crmeth.2023.100579. ,"['Yang, Muqun', 'Wang, Han', 'Cheng, Jing']","['animals', 'humans', ' wearable electronic devices', ' animal experimentation', 'biomarkers', 'lactic acid', ' biosensing techniques', '3d-structured nickel foam', 'cp: biotechnology', 'cp: metabolism', 'metabolite monitoring', 'multitarget sensing', 'wearable biosensor']",Continuous monitoring of multiple biomarkers with an ultrasensitive 3D-structured wearable biosensor.,"Chronic diseases call for routine management of frequent monitoring of specific biomarkers. Traditional in vitro diagnostics technologies suffer from complex sampling processes and long detection intervals, which cannot meet the need of continuous monitoring. Wearable devices taking advantage of compact size, rapid detection process, and small sample consumption are promising to take the place of endpoint detection, providing more comprehensive information about human health. Here, we proposed a fully integrated wearable system with an ultrasensitive 3D-structured biosensor for real-time monitoring of multiple metabolites. The 3D-structured biosensor shows wide linear ranges of 400-1,400 μM and 0.1-8 mM and high sensitivities of 460.5 and 283.09 μA/(mM·cm(2)) for lactate and glucose detection, respectively. We have conducted in vivo animal experiments, and the proposed wearable biosensor demonstrated high consistency with established methods. We envision that this system could provide a real-time wearable detection platform for multiple biomarker detection."
2023 Sep 12,Analytical chemistry,Anal Chem. 2023 Sep 12;95(36):13605-13613. doi: 10.1021/acs.analchem.3c02299. ,"['Sun, Kai', 'Wang, Xueqi', 'Qu, Yuxin', 'Wang, Han', 'Cheng, Jing']","['humans', ' covid-19 diagnosis', 'sars-cov-2 genetics', 'branched dna signal amplification assay', 'rna', 'dna']",Amplification-Free Nucleic Acid Testing with a Fluorescence One-Step-Branched DNA-Based Lateral Flow Assay (FOB-LFA).,"The emergence of the global pandemic and the discovery of nucleic acid biomarkers in cancer diagnosis have fostered the development of more accurate and adaptive molecular diagnosis technologies. Current nucleic acid testing (NAT) methods either lack sensitivity or require tedious amplification operations, which could not meet the need for point-of-care (POC) NAT for on-site and community-based diagnosis. Here, we present a fluorescence one-step-bDNA-based lateral flow assay (FOB-LFA) method for amplification-free NAT to realize point-of-care pathogen detection and disease diagnosis. Take COVID-19 as an example, the developed FOB-LFA demonstrated a high sensitivity of 300 copies/mL for the RNA of the SARS-CoV-2 pseudovirus and exhibited high specificity among various homologous pseudoviruses. Further, the result of oropharyngeal swab sample detection suggested the great potential of FOB-LFA in clinical examination. The outstanding performance of FOB-LFA, including high sensitivity, high specificity, low cost, excellent portability, and minimized risk of nucleic acid leakage and contamination, can meet the POC testing demand for the diagnosis of various infectious and genetic diseases."
2023 Jun 20,Environmental science & technology,Environ Sci Technol. 2023 Jun 20;57(24):8954-8964. doi: 10.1021/acs.est.3c00054. ,"['Liu, Yuxi', 'Geng, Guannan', 'Cheng, Jing', 'Liu, Yang', 'Xiao, Qingyang', 'Liu, Liangke', 'Shi, Qinren', 'Tong, Dan', 'He, Kebin', 'Zhang, Qiang']","[' ozone analysis', ' air pollutants analysis', ' volatile organic compounds analysis', ' air pollution analysis', 'china', 'particulate matter analysis', 'environmental monitoring methods', 'air pollution', 'anthropogenic emission abatements', 'clean air actions', 'meteorology', 'surface ozone']",Drivers of Increasing Ozone during the Two Phases of Clean Air Actions in China 2013-2020.,"In response to the severe air pollution issue, the Chinese government implemented two phases (Phase I, 2013-2017; Phase II, 2018-2020) of clean air actions since 2013, resulting in a significant decline in fine particles (PM(2.5)) during 2013-2020, while the warm-season (April-September) mean maximum daily 8 h average ozone (MDA8 O(3)) increased by 2.6 μg m(-3) yr(-1) in China during the same period. Here, we derived the drivers behind the rising O(3) concentrations during the two phases of clean air actions by using a bottom-up emission inventory, a regional chemical transport model, and a multiple linear regression model. We found that both meteorological variations (3.6 μg m(-3)) and anthropogenic emissions (6.7 μg m(-3)) contributed to the growth of MDA8 O(3) from 2013 to 2020, with the changes in anthropogenic emissions playing a more important role. The anthropogenic contributions to the O(3) rise during 2017-2020 (1.2 μg m(-3)) were much lower than that in 2013-2017 (5.2 μg m(-3)). The lack of volatile organic compound (VOC) control and the decline in nitrogen oxides (NO(x)) emissions were responsible for the O(3) increase in 2013-2017 due to VOC-limited regimes in most urban areas, while the synergistic control of VOC and NO(x) in Phase II initially worked to mitigate O(3) pollution during 2018-2020, although its effectiveness was offset by the penalty of PM(2.5) decline. Future mitigation efforts should pay more attention to the simultaneous control of VOC and NO(x) to improve O(3) air quality."
2023 Mar 31,Journal of thoracic disease,J Thorac Dis. 2023 Mar 31;15(3):1503-1505. doi: 10.21037/jtd-23-141. Epub 2023 ,"['Xu, Tao', 'Cheng, Jing', 'Yang, Zifeng', 'Guan, Wenda', 'Zeng, Zhiqi']","['diagnosis', 'control', 'coronavirus disease 2019 (covid-19)', 'forecast']",COVID-19 focused series: diagnosis and forecast of COVID-19.,
2023 Oct,Environmental science and ecotechnology,Environ Sci Ecotechnol. 2023 Mar 20;16:100264. doi: 10.1016/j.ese.2023.100264. ,"['Zhao, Hongyan', 'Wu, Ruili', 'Liu, Yang', 'Cheng, Jing', 'Geng, Guannan', 'Zheng, Yixuan', 'Tian, Hezhong', 'He, Kebin', 'Zhang, Qiang']","['air pollution', 'china', 'mortality', 'supply chain', 'trade']",Air pollution health burden embodied in China's supply chains.,"Product trade plays an increasing role in relocating production and the associated air pollution impact among sectors and regions. While a comprehensive depiction of atmospheric pollution redistribution through trade chains is missing, which may hinder targeted clean air cooperation among sectors and regions. Here, we combined five state-of-the-art models from physics, economy, and epidemiology to track the anthropogenic fine particle matters (PM(2.5)) related premature mortality along the supply chains within China in 2017. Our results highlight the key sectors that affect PM(2.5)-related mortality from both production and consumption perspectives. The consumption-based effects from food, light industry, equipment, construction, and services sectors, caused 2-22 times higher deaths than those from a production perspective and totally contributed 63% of the national total. From a cross-boundary perspective, 25.7% of China's PM(2.5)-related deaths were caused by interprovincial trade, with the largest transfer occurring from the central and northern regions to well-developed east coast provinces. Capital investment dominated the cross-boundary effect (56% of the total) by involving substantial equipment and construction products, which greatly rely on product exports from regions with specific resources. This supply chain-based analysis provides a comprehensive quantification and may inform more effective joint-control efforts among associated regions and sectors from a health risk perspective."
