time,journal,doi_info,authors,key words,title,abstract
2024 Jun 8,Advanced healthcare materials,Adv Healthc Mater. 2024 Jun 8:e2400780. doi: 10.1002/adhm.202400780.,"['Fan, Zejun', 'Chen, Yihan', 'Yang, Zhen', 'Niu, Yudi', 'Liang, Kaini', 'Zhang, Yan', 'Zeng, Jianan', 'Feng, Yiting', 'Zhang, Yuying', 'Liu, Ye', 'Lv, Cheng', 'Zhao, Peng', 'Zhou, Lv', 'Kong, Wenyu', 'Li, Wenjing', 'Chen, Haoke', 'Han, Dongbo', 'Du, Yanan']","['cell encapsulation', 'electrospray', 'ipsc capsule', 'microtissue engineering']",Superimposed Electric Field Enhanced Electrospray for High-Throughput and Consistent Cell Encapsulation.,"Cell encapsulation technology, crucial for advanced biomedical applications, faces challenges in existing microfluidic and electrospray methods. Microfluidic techniques, while precise, can damage vulnerable cells, and conventional electrospray methods often encounter instability and capsule breakage during high-throughput encapsulation. Inspired by the transformation of the working state from unstable dripping to stable jetting triggered by local electric potential, this study introduces a superimposed electric field (SEF)-enhanced electrospray method for cell encapsulation, with improved stability and biocompatibility. Utilizing stiffness theory, we quantitatively analyze the stability of the electrospray, whose stiffness is five times stronger under conical confinement. The SEF technique enabled rapid, continuous production of ∼300 core-shell capsules per second in an aqueous environment, significantly improving cell encapsulation efficiency. Our method demonstrated remarkable potential as exemplified in two key applications: 1) a 92-fold increase in human-derived induced pluripotent stem cells (iPSCs) expansion over 10 days, outperforming traditional 2D cultures in both growth rate and pluripotency maintenance, and 2) the development of liver capsules for steatosis modeling, exhibiting normal function and biomimetic lipid accumulation. The SEF-enhanced electrospray method presents a significant advancement in cell encapsulation technology. It offers a more efficient, stable, and biocompatible approach, opening new possibilities in clinical transplantation, drug screening, and cell therapy. This article is protected by copyright. All rights reserved."
2024 Jun 6,"Advanced materials (Deerfield Beach, Fla.)",Adv Mater. 2024 Jun 6:e2405109. doi: 10.1002/adma.202405109.,"['Chen, Michael W', 'Fan, Dongdong', 'Liu, Xiangjian', 'Han, Dongbo', 'Jin, Yuhong', 'Ao, Yanxiao', 'Chen, Yuyang', 'Liu, Zhiqiang', 'Feng, Yiting', 'Ling, Sida', 'Liang, Kaini', 'Kong, Wenyu', 'Xu, Jianhong', 'Du, Yanan']","['liquid‐liquid phase separation', 'microgels', 'physical crosslink', 'water transport']",Water Transport-Induced Liquid-Liquid Phase Separation Facilitates Gelation for Controllable and Facile Fabrication of Physically Crosslinked Microgels.,"Physically crosslinked microgels (PCMs) offer a biocompatible platform for various biomedical applications. However, current PCM fabrication methods suffer from their complexity and poor controllability, due to their reliance on altering physical conditions to initiate gelation and their dependence on specific materials. To address this issue, a novel PCM fabrication method was devised, which employs water transport-induced liquid-liquid phase separation (LLPS) to trigger the intermolecular interaction-supported sol-gel transition within aqueous emulsion droplets. This method enables the controllable and facile generation of PCMs through a single emulsification step, allowing for the facile production of PCMs with various materials and sizes, as well as controllable structures and mechanical properties. Moreover, this PCM fabrication method holds great promise for diverse biomedical applications. The interior of the PCM not only supports the encapsulation and proliferation of bacteria but also facilitates the encapsulation of eukaryotic cells after transforming the system into an all-aqueous emulsion. Furthermore, through appropriate surface functionalization, the PCMs effectively activate T cells in vitro upon co-culturing. This work represents an advancement in PCM fabrication and offers new insights and perspectives for microgel engineering. This article is protected by copyright. All rights reserved."
2024 Jun,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2024 Jun;11(23):e2401611. doi: 10.1002/advs.202401611. Epub 2024 ,"['Liu, Yangyi', 'Li, Jingjing', 'Zhang, Yi', 'Wang, Fan', 'Su, Juanjuan', 'Ma, Chao', 'Zhang, Shuyi', 'Du, Yanan', 'Fan, Chunhai', 'Zhang, Hongjie', 'Liu, Kai']","['animals', 'mice', ' mechanotransduction, cellular genetics', ' robotics methods', ' neoplasms therapy genetics metabolism', 'cell line, tumor', 'humans', 'disease models, animal', 'apoptosis genetics', 'biomedical engineering', 'chemical biology', 'mechanogenetics', 'precise treatment', 'tumor therapy']",Robotic Actuation-Mediated Quantitative Mechanogenetics for Noninvasive and On-Demand Cancer Therapy.,"Cell mechanotransduction signals are important targets for physical therapy. However, current physiotherapy heavily relies on ultrasound, which is generated by high-power equipment or amplified by auxiliary drugs, potentially causing undesired side effects. To address current limitations, a robotic actuation-mediated therapy is developed that utilizes gentle mechanical loads to activate mechanosensitive ion channels. The resulting calcium influx precisely regulated the expression of recombinant tumor suppressor protein and death-associated protein kinase, leading to programmed apoptosis of cancer cell line through caspase-dependent pathway. In stark contrast to traditional gene therapy, the complete elimination of early- and middle-stage tumors (volume ≤ 100 mm(3)) and significant growth inhibition of late-stage tumor (500 mm(3)) are realized in tumor-bearing mice by transfecting mechanogenetic circuits and treating daily with quantitative robotic actuation in a form of 5 min treatment over the course of 14 days. Thus, this massage-derived therapy represents a quantitative strategy for cancer treatment."
2024 Apr,Bioactive materials,Bioact Mater. 2023 Dec 19;34:98-111. doi: 10.1016/j.bioactmat.2023.12.007. ,"['He, Zihao', 'Li, Hui', 'Zhang, Yuanyuan', 'Gao, Shuang', 'Liang, Kaini', 'Su, Yiqi', 'Du, Yanan', 'Wang, Du', 'Xing, Dan', 'Yang, Zhen', 'Lin, Jianhao']","['bone tissue engenieering', 'endochondral ossification', 'exendin-4', 'genetic engineering', 'mesenchymal stem cells', 'nonunion', 'regenerative medicine']",Enhanced bone regeneration via endochondral ossification using Exendin-4-modified mesenchymal stem cells.,"Nonunions and delayed unions pose significant challenges in orthopedic treatment, with current therapies often proving inadequate. Bone tissue engineering (BTE), particularly through endochondral ossification (ECO), emerges as a promising strategy for addressing critical bone defects. This study introduces mesenchymal stem cells overexpressing Exendin-4 (MSC-E4), designed to modulate bone remodeling via their autocrine and paracrine functions. We established a type I collagen (Col-I) sponge-based in vitro model that effectively recapitulates the ECO pathway. MSC-E4 demonstrated superior chondrogenic and hypertrophic differentiation and enhanced the ECO cell fate in single-cell sequencing analysis. Furthermore, MSC-E4 encapsulated in microscaffold, effectively facilitated bone regeneration in a rat calvarial defect model, underscoring its potential as a therapeutic agent for bone regeneration. Our findings advocate for MSC-E4 within a BTE framework as a novel and potent approach for treating significant bone defects, leveraging the intrinsic ECO process."
2023 Nov,Biomaterials,Biomaterials. 2023 Nov;302:122323. doi: 10.1016/j.biomaterials.2023.122323. Epub ,"['Wu, Yenan', 'Liang, Haiwei', 'Luo, Aiping', 'Li, Yong', 'Liu, Zhiqiang', 'Li, Xin', 'Li, Wenxin', 'Liang, Kaini', 'Li, Junyang', 'Liu, Zhihua', 'Du, Yanan']","['humans', ' esophageal squamous cell carcinoma metabolism pathology therapy', 'gelatin pharmacology', ' esophageal neoplasms metabolism pathology', 'biomimetics', 'cell line, tumor', 'neoplastic stem cells pathology', 'tumor microenvironment', 'biomimetic scaffolds', 'cscs', 'escc', 'stemness', 'viscoelasticity']",Gelatin-based 3D biomimetic scaffolds platform potentiates culture of cancer stem cells in esophageal squamous cell carcinoma.,"Cancer stem cells (CSCs) are crucial for tumorigenesis, metastasis, and therapy resistance in esophageal squamous cell carcinoma (ESCC). To further elucidate the mechanism underlying characteristics of CSCs and develop CSCs-targeted therapy, an efficient culture system that could expand and maintain CSCs is needed. CSCs reside in a complex tumor microenvironment, and three-dimensional (3D) culture systems of biomimetic scaffolds are expected to better support the growth of CSCs by recapitulating the biophysical properties of the extracellular matrix (ECM). Here, we established gelatin-based 3D biomimetic scaffolds mimicking the stiffness and collagen content of ESCC, which could enrich ESCC CSCs efficiently. Biological changes of ESCC cells laden in scaffolds with three different viscoelasticity emulating physiological stiffness of esophageal tissues were thoroughly investigated in varied aspects such as cell morphology, viability, cell phenotype markers, and transcriptomic profiling. The results demonstrated the priming effects of viscoelasticity on the stemness of ESCC. The highly viscous scaffolds (G': 6-403 Pa; G'': 2-75 Pa) better supported the enrichment of ESCC CSCs, and the TGF-beta signaling pathway might be involved in regulating the stemness of ESCC cells. Compared to two-dimensional (2D) cultures, highly viscous scaffolds significantly promoted the clonal expansion of ESCC cells in vitro and tumor formation ability in vivo. Our findings highlight the crucial role of biomaterials' viscoelasticity for the 3D culture of ESCC CSCs in vitro, and this newly-established culture system represents a valuable platform to support their growth, which could facilitate the CSCs-targeted therapy in the future."
2023 Sep 1,"Cell regeneration (London, England)",Cell Regen. 2023 Sep 1;12(1):29. doi: 10.1186/s13619-023-00172-9.,"['Zhao, Peng', 'Sun, Tian', 'Lyu, Cheng', 'Liang, Kaini', 'Du, Yanan']","['degradation', 'extracellular matrix', 'fibrosis', 'matrix metalloproteinases']",Cell mediated ECM-degradation as an emerging tool for anti-fibrotic strategy.,"Investigation into the role of cells with respect to extracellular matrix (ECM) remodeling is still in its infancy. Particularly, ECM degradation is an indispensable process during the recovery from fibrosis. Cells with ECM degradation ability due to the secretion of various matrix metalloproteinases (MMPs) have emerged as novel contributors to the treatment of fibrotic diseases. In this review, we focus on the ECM degradation ability of cells associated with the repertoire of MMPs that facilitate the attenuation of fibrosis through the inhibition of ECM deposition. Besides, innovative approaches to engineering and characterizing cells with degradation ability, as well as elucidating the mechanism of the ECM degradation, are also illustrated. Studies conducted to date on the use of cell-based degradation for therapeutic purposes to combat fibrosis are summarized. Finally, we discuss the therapeutic potential of cells with high degradation ability, hoping to bridge the gap between benchside research and bedside applications in treating fibrotic diseases."
2023 Jul 7,Journal of visualized experiments : JoVE,J Vis Exp. 2023 Jul 7;(197). doi: 10.3791/65469.,"['Chen, Yuyang', 'Xu, Huanye', 'Zhang, Yuanyuan', 'Guo, Leilei', 'Lan, Miaomiao', 'Yang, Yanping', 'Liu, Wei', 'Yan, Xiaojun', 'Du, Yanan']","['animals', 'chlorocebus aethiops', 'humans', ' cell culture techniques methods', ' mesenchymal stem cells', 'hek293 cells', 'porosity', 'vero cells', 'bioreactors', 'cell proliferation', 'cell differentiation']",Large-Scale Cell Production Based on GMP-Grade Dissolvable Porous Microcarriers.,"Researchers in the cell and gene therapy (CGT) industry have long faced a formidable challenge in the efficient and large-scale expansion of cells. To address the primary shortcomings of the two-dimensional (2D) planar culturing system, we innovatively developed an automated closed industrial scale cell production (A"
2023 Jul,Biomaterials,Biomaterials. 2023 Jul;298:122111. doi: 10.1016/j.biomaterials.2023.122111. Epub ,"['Li, Wenjing', 'Liang, Haiwei', 'Ao, Yanxiao', 'Tang, Baixue', 'Li, Junyang', 'Li, Ning', 'Wang, Jianwei', 'Du, Yanan']","[' cues', ' hematopoietic stem cells', 'bone marrow', 'hematopoiesis', 'cell differentiation', 'stem cell niche', 'biophysics', 'hematopoietic function', 'hematopoietic stem and progenitor cells']",Biophysical cues of bone marrow-inspired scaffolds regulate hematopoiesis of hematopoietic stem and progenitor cells.,"Hematopoietic stem cells (HSCs) are adult multipotential stem cells with the capacity to differentiate into all blood cells and immune cells, which are essential for maintaining hematopoietic homeostasis throughout the lifespan and reconstituting damaged hematopoietic system after myeloablation. However, the clinical application of HSCs is hindered by the imbalance of its self-renewal and differentiation during in vitro culture. Considering the fact that HSC fate is uniquely determined by natural bone marrow microenvironment, various elaborate cues in this hematopoietic micro-niche provide an excellent reference for the regulation of HSCs. Inspired by the bone marrow extracellular matrix (ECM) network, we designed degradable scaffolds by orchestrating the physical parameters to investigate the decoupling effects of Young's modulus and pore size of three-dimensional (3D) matrix materials on the fate of hematopoietic stem and progenitor cells (HSPCs). We ascertained that the scaffold with larger pore size (80 μm) and higher Young's modulus (70 kPa) was more favorable for HSPCs proliferation and the maintenance of stemness related phenotypes. Through in vivo transplantation, we further validated that scaffolds with higher Young's modulus were more propitious in maintaining the hematopoietic function of HSPCs. We systematically screened an optimized scaffold for HSPC culture which could significantly improve the cell function and self-renewal ability compared with traditional two-dimensional (2D) culture. Together, these results indicate the important role of biophysical cues in regulating HSC fate and pave the way for the parameter design of 3D HSC culture system."
2023 Jun,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2023 Jun;10(17):e2301330. doi: 10.1002/advs.202301330. Epub 2023 ,"['Zhao, Peng', 'Sun, Tian', 'Lyu, Cheng', 'Du, Yanan']","['humans', ' cicatrix', ' endothelial cells', 'liver cirrhosis therapy']","Response to a Comment on ""Scar-Degrading Endothelial Cells as a Treatment for Advanced Liver Fibrosis"".",
2023 Sep,Bioactive materials,Bioact Mater. 2023 Apr 10;27:200-215. doi: 10.1016/j.bioactmat.2023.04.002. ,"['Yang, Zhen', 'Wang, Bin', 'Liu, Wei', 'Li, Xiaoke', 'Liang, Kaini', 'Fan, Zejun', 'Li, Jiao Jiao', 'Niu, Yudi', 'He, Zihao', 'Li, Hui', 'Wang, Du', 'Lin, Jianjing', 'Du, Yanan', 'Lin, Jianhao', 'Xing, Dan']","['mesenchymal stem cells', 'microcryogels', 'organoid', 'osteochondral regeneration', 'self-assembly']",In situ self-assembled organoid for osteochondral tissue regeneration with dual functional units.,"The regeneration of hierarchical osteochondral units is challenging due to difficulties in inducing spatial, directional and controllable differentiation of mesenchymal stem cells (MSCs) into cartilage and bone compartments. Emerging organoid technology offers new opportunities for osteochondral regeneration. In this study, we developed gelatin-based microcryogels customized using hyaluronic acid (HA) and hydroxyapatite (HYP), respectively for inducing cartilage and bone regeneration (denoted as CH-Microcryogels and OS-Microcryogels) through in vivo self-assembly into osteochondral organoids. The customized microcryogels showed good cytocompatibility and induced chondrogenic and osteogenic differentiation of MSCs, while also demonstrating the ability to self-assemble into osteochondral organoids with no delamination in the biphasic cartilage-bone structure. Analysis by mRNA-seq showed that CH-Microcryogels promoted chondrogenic differentiation and inhibited inflammation, while OS-Microcryogels facilitated osteogenic differentiation and suppressed the immune response, by regulating specific signaling pathways. Finally, the in vivo engraftment of pre-differentiated customized microcryogels into canine osteochondral defects resulted in the spontaneous assembly of an osteochondral unit, inducing simultaneous regeneration of both articular cartilage and subchondral bone. In conclusion, this novel approach for generating self-assembling osteochondral organoids utilizing tailor-made microcryogels presents a highly promising avenue for advancing the field of tissue engineering."
