time,journal,doi_info,authors,key words,title,abstract
2024,Frontiers in neuroscience,Front Neurosci. 2024 Apr 12;18:1369080. doi: 10.3389/fnins.2024.1369080. ,"['Zhu, Min', 'Gong, Qin']","['eeg', 'microstate', 'residual inhibition', 'spectral analysis', 'tailor-made notched music training', 'tinnitus']",Corrigendum: EEG spectral and microstate analysis originating residual inhibition of tinnitus induced by tailor-made notched music training.,[This corrects the article DOI: 10.3389/fnins.2023.1254423.].
2023,Frontiers in neuroscience,Front Neurosci. 2024 Jan 8;17:1355150. doi: 10.3389/fnins.2023.1355150. ,"['Zhu, Min', 'Gong, Qin']","['eeg', 'microstate', 'residual inhibition', 'spectral analysis', 'tailor-made notched music training', 'tinnitus']",Corrigendum: EEG spectral and microstate analysis originating residual inhibition of tinnitus induced by tailor-made notched music training.,[This corrects the article DOI: 10.3389/fnins.2023.1254423.].
2023,Frontiers in neuroscience,Front Neurosci. 2023 Dec 11;17:1254423. doi: 10.3389/fnins.2023.1254423. ,"['Zhu, Min', 'Gong, Qin']","['eeg', 'microstate', 'residual inhibition', 'spectral analysis', 'tailor-made notched music training', 'tinnitus']",EEG spectral and microstate analysis originating residual inhibition of tinnitus induced by tailor-made notched music training.,"Tailor-made notched music training (TMNMT) is a promising therapy for tinnitus. Residual inhibition (RI) is one of the few interventions that can temporarily inhibit tinnitus, which is a useful technique that can be applied to tinnitus research and explore tinnitus mechanisms. In this study, RI effect of TMNMT in tinnitus was investigated mainly using behavioral tests, EEG spectral and microstate analysis. To our knowledge, this study is the first to investigate RI effect of TMNMT. A total of 44 participants with tinnitus were divided into TMNMT group (22 participants; ECnm, NMnm, RInm represent that EEG recordings with eyes closed stimuli-pre, stimuli-ing, stimuli-post by TMNMT music, respectively) and Placebo control group (22 participants; ECpb, PBpb, RIpb represent that EEG recordings with eyes closed stimuli-pre, stimuli-ing, stimuli-post by Placebo music, respectively) in a single-blind manner. Behavioral tests, EEG spectral analysis (covering delta, theta, alpha, beta, gamma frequency bands) and microstate analysis (involving four microstate classes, A to D) were employed to evaluate RI effect of TMNMT. The results of the study showed that TMNMT had a stronger inhibition ability and longer inhibition time according to the behavioral tests compared to Placebo. Spectral analysis showed that RI effect of TMNMT increased significantly the power spectral density (PSD) of delta, theta bands and decreased significantly the PSD of alpha2 band, and microstate analysis showed that RI effect of TMNMT had shorter duration (microstate B, microstate C), higher Occurrence (microstate A, microstate C, microstate D), Coverage (microstate A) and transition probabilities (microstate A to microstate B, microstate A to microstate D and microstate D to microstate A). Meanwhile, RI effect of Placebo decreased significantly the PSD of alpha2 band, and microstate analysis showed that RI effect of Placebo had shorter duration (microstate C, microstate D), higher occurrence (microstate B, microstate C), lower coverage (microstate C, microstate D), higher transition probabilities (microstate A to microstate B, microstate B to microstate A). It was also found that the intensity of tinnitus symptoms was significant positively correlated with the duration of microstate B in five subgroups (ECnm, NMnm, RInm, ECpb, PBpb). Our study provided valuable experimental evidence and practical applications for the effectiveness of TMNMT as a novel music therapy for tinnitus. The observed stronger residual inhibition (RI) ability of TMNMT supported its potential applications in tinnitus treatment. Furthermore, the temporal dynamics of EEG microstates serve as novel functional and trait markers of synchronous brain activity that contribute to a deep understanding of the neural mechanism underlying TMNMT treatment for tinnitus."
2024 Mar-Apr 01,Ear and hearing,Ear Hear. 2024 Mar-Apr 01;45(2):465-475. doi: 10.1097/AUD.0000000000001443. Epub ,"['Liu, Yin', 'Gong, Qin']","['humans', ' deep learning', 'hearing', 'otoacoustic emissions, spontaneous physiology', ' hearing loss, sensorineural diagnosis', 'hearing tests methods', 'auditory threshold physiology', 'acoustic stimulation methods', 'cochlea physiology']",Deep Learning Models for Predicting Hearing Thresholds Based on Swept-Tone Stimulus-Frequency Otoacoustic Emissions.,"OBJECTIVES: This study aims to develop deep learning (DL) models for the quantitative prediction of hearing thresholds based on stimulus-frequency otoacoustic emissions (SFOAEs) evoked by swept tones. DESIGN: A total of 174 ears with normal hearing and 388 ears with sensorineural hearing loss were studied. SFOAEs in the 0.3 to 4.3 kHz frequency range were recorded using linearly swept tones at a rate of 2 Hz/msec, with stimulus level changing from 40 to 60 dB SPL in 10 dB steps. Four DL models were used to predict hearing thresholds at octave frequencies from 0.5 to 4 kHz. The models-a conventional convolutional neural network (CNN), a hybrid CNN-k-nearest neighbor (KNN), a hybrid CNN-support vector machine (SVM), and a hybrid CNN-random forest (RF)-were individually built for each frequency. The input to the DL models was the measured raw SFOAE amplitude spectra and their corresponding signal to noise ratio spectra. All DL models shared a CNN-based feature self-extractor. They differed in that the conventional CNN utilized a fully connected layer to make the final regression decision, whereas the hybrid CNN-KNN, CNN-SVM, and CNN-RF models were designed by replacing the last fully connected layer of CNN model with a traditional machine learning (ML) regressor, that is, KNN, SVM, and RF, respectively. The model performance was evaluated using mean absolute error and SE averaged over 20 repetitions of 5 × 5 fold nested cross-validation. The performance of the proposed DL models was compared with two types of traditional ML models. RESULTS: The proposed SFOAE-based DL models resulted in an optimal mean absolute error of 5.98, 5.22, 5.51, and 6.06 dB at 0.5, 1, 2, and 4 kHz, respectively, superior to that obtained by the traditional ML models. The produced SEs were 8.55, 7.27, 7.58, and 7.95 dB at 0.5, 1, 2, and 4 kHz, respectively. All the DL models outperformed any of the traditional ML models. CONCLUSIONS: The proposed swept-tone SFOAE-based DL models were capable of quantitatively predicting hearing thresholds with satisfactory performance. With DL techniques, the underlying relationship between SFOAEs and hearing thresholds at disparate frequencies was explored and captured, potentially improving the diagnostic value of SFOAEs."
2023 Jan 18,"Molecules (Basel, Switzerland)",Molecules. 2023 Jan 18;28(3):968. doi: 10.3390/molecules28030968.,"['Gong, Qin', 'Yin, Jilei', 'Wang, Mulan', 'Zha, Chengliang', 'Yu, Dong', 'Yang, Shilin', 'Feng, Yulin', 'Li, Jun', 'Du, Lijun']","['rats', 'animals', 'proto-oncogene proteins c-akt metabolism', 'hypoglycemic agents pharmacology', 'blood glucose', 'streptozocin', 'phosphatidylinositol 3-kinases metabolism', 'diet, high-fat adverse effects', ' saponins pharmacology', 'phosphatidylinositol 3-kinase metabolism', ' hyperglycemia', 'glucose transporter type 4 genetics', 'glut4', 'pi3k akt', 'anemoside b4', 'diabetes', 'hyperglycemia']",Anemoside B4 Exerts Hypoglycemic Effect by Regulating the Expression of GLUT4 in HFD/STZ Rats.,"Anemoside B4 (B4) is a saponin that is extracted from Pulsatilla chinensis (Bge.), and Regel exhibited anti-inflammatory, antioxidant, antiviral, and immunomodulatory activities. However, its hypoglycemic activity in diabetes mellitus has not been evaluated. Here, we explored the effect of B4 on hyperglycemia and studied its underlying mechanism of lowering blood glucose based on hyperglycemic rats in vivo and L6 skeletal muscle cells (L6) in vitro. The rats were fed a high-fat diet (HFD) for one month, combined with an intraperitoneal injection of 60 mg/kg streptozotocin (STZ) to construct the animal model, and the drug was administrated for two weeks. Blood glucose was detected and the proteins and mRNA were expressed. Our study showed that B4 significantly diminished fasting blood glucose (FBG) and improved glucose metabolism. In addition, B4 facilitated glucose utilization in L6 cells. B4 could enhance the expression of glucose transporter 4 (GLUT4) in rat skeletal muscle and L6 cells. Mechanistically, B4 elevated the inhibition of the phosphatidylinositol 3-kinase (PI3K)/protein kinase B (AKT) signaling pathways. Furthermore, we confirmed the effect of B4 on glucose uptake involved in the enhancement of GLUT4 expression in part due to PI3K/AKT signaling by using a small molecule inhibitor assay and constructing a GLUT4 promoter plasmid. Taken together, our study found that B4 ameliorates hyperglycemia through the PI3K/AKT pathway and promotes GLUT4 initiation, showing a new perspective of B4 as a potential agent against diabetes."
2021 Dec,Pharmacology research & perspectives,Pharmacol Res Perspect. 2021 Dec;9(6):e00895. doi: 10.1002/prp2.895.,"['Gong, Qin', 'Wang, Mulan', 'Jiang, Ya', 'Zha, Chengliang', 'Yu, Dong', 'Lei, Fan', 'Luo, Yingying', 'Feng, Yulin', 'Yang, Shilin', 'Li, Jun', 'Du, Lijun']","['acute kidney injury  chemically induced genetics prevention & control', 'animals', 'antineoplastic agents administration & dosage toxicity', 'blood urea nitrogen', 'cisplatin administration & dosage  toxicity', 'creatinine blood', 'dexamethasone administration & dosage  pharmacology', 'dose-response relationship, drug', 'humans', 'male', 'rats', 'rats, sprague-dawley', 'saponins administration & dosage  pharmacology', 'serum albumin metabolism', 'time factors', 'up-regulation', 'acute kidney injury', 'anemoside b4', 'apoptosis', 'cisplatin', 'inflammation', 'therapy']",The abrupt pathological deterioration of cisplatin-induced acute kidney injury: Emerging of a critical time point.,"Cisplatin (CP), an anticancer drug, often causes kidney damage. However, the mechanism of CP-induced acute kidney injury (AKI) is not completely understood. AKI was induced by intravenous injection (i.v.) of cisplatin at doses of 5, 8, and 10 mg/kg. Anemoside B4 (B4) (20 mg/kg, i.m.) and dexamethasone (DXM) (0.5 mg/kg, i.v.) were used for AKI treatment. Biochemical indicators were assessed using an automatic biochemical analyzer, protein expression was analyzed by western blotting, and morphological changes in the kidney were examined by PAS staining. The serum creatinine (Cre) and blood urea nitrogen (BUN) levels did not change significantly in the first 2 days but abruptly increased on the third day after CP injection. The serum albumin (ALB) and total protein (TP) levels decreased in both a time- and dose-dependent manner. The urine protein level increased, the clearing rate of Cre decreased distinctly, and morphologic changes appeared in a dose-dependent manner. The protein expression of p53/caspase-3, NLRP3, IL-6, and TNF-α was obviously upregulated on day 3; concurrently, nephrin and podocin were downregulated. The expression of LC3II and p62 was upregulated significantly as the CP dose increased. B4 and DXM obviously decreased the BUN and Cre levels after 3 or 5 days of treatment. AKI appeared distinctly in a time-dependent manner at 2 to 5 days after the administration of 5 mg/kg CP and in a dose-dependent manner upon the administration of 5, 8, and 10 mg/kg CP. The third day was a significant time point for renal deterioration, and treatment with B4 and DXM within the first 3 days provided significant protection against AKI."
2021 Sep 15,Neuroscience,Neuroscience. 2021 Sep 15;472:68-89. doi: 10.1016/j.neuroscience.2021.07.032. ,"['Zhang, Xiaochen', 'Gong, Qin']","['acoustic stimulation', 'auditory perception', ' music', ' pitch discrimination', 'pitch perception', 'sound', 'frequency-following response', 'inter-trial phase-locking', 'music', 'pitch perception', 'plasticity', 'subcortical encoding']",Context-dependent Plasticity and Strength of Subcortical Encoding of Musical Sounds Independently Underlie Pitch Discrimination for Music Melodies.,"Subcortical auditory nuclei contribute to pitch perception, but how subcortical sound encoding is related to pitch processing for music perception remains unclear. Conventionally, enhanced subcortical sound encoding is considered underlying superior pitch discrimination. However, associations between superior auditory perception and the context-dependent plasticity of subcortical sound encoding are also documented. Here, we explored the subcortical neural correlates to music pitch perception by analyzing frequency-following responses (FFRs) to musical sounds presented in a predictable context and a random context. We found that the FFR inter-trial phase-locking (ITPL) was negatively correlated with behavioral performances of discrimination of pitches in music melodies. It was also negatively correlated with the plasticity indices measuring the variability of FFRs to physically identical sounds between the two contexts. The plasticity indices were consistently positively correlated with pitch discrimination performances, suggesting the subcortical context-dependent plasticity underlying music pitch perception. Moreover, the raw FFR spectral strength was not significantly correlated with pitch discrimination performances. However, it was positively correlated with behavioral performances when the FFR ITPL was controlled by partial correlations, suggesting that the strength of subcortical sound encoding underlies music pitch perception. When the spectral strength was controlled by partial correlations, the negative ITPL-behavioral correlations were maintained. Furthermore, the FFR ITPL, the plasticity indices, and the FFR spectral strength were more correlated with pitch than with rhythm discrimination performances. These findings suggest that the context-dependent plasticity and the strength of subcortical encoding of musical sounds are independently and perhaps specifically associated with pitch perception for music melodies."
2021 Apr,Nature,Nature. 2021 Apr;592(7856):773-777. doi: 10.1038/s41586-021-03320-w. Epub 2021 ,"['Huang, Menghang', 'Zhang, Xiaoxiao', 'Toh, Gee Ann', 'Gong, Qin', 'Wang, Jia', 'Han, Zhifu', 'Wu, Bin', 'Zhong, Franklin', 'Chai, Jijie']","['animals', 'card signaling adaptor proteins', 'dipeptidyl-peptidases and tripeptidyl-peptidases  chemistry', 'hek293 cells', 'humans', 'intracellular signaling peptides and proteins', 'nlr proteins  chemistry', 'nerve tissue proteins', 'protein binding', 'protein domains', 'protein structure, secondary', 'rats']",Structural and biochemical mechanisms of NLRP1 inhibition by DPP9.,"Nucleotide-binding domain, leucine-rich repeat receptors (NLRs) mediate innate immunity by forming inflammasomes. Activation of the NLR protein NLRP1 requires autocleavage within its function-to-find domain (FIIND)(1-7). In resting cells, the dipeptidyl peptidases DPP8 and DPP9 interact with the FIIND of NLRP1 and suppress spontaneous NLRP1 activation(8,9); however, the mechanisms through which this occurs remain unknown. Here we present structural and biochemical evidence that full-length rat NLRP1 (rNLRP1) and rat DPP9 (rDPP9) form a 2:1 complex that contains an autoinhibited rNLRP1 molecule and an active UPA-CARD fragment of rNLRP1. The ZU5 domain is required not only for autoinhibition of rNLRP1 but also for assembly of the 2:1 complex. Formation of the complex prevents UPA-mediated higher-order oligomerization of UPA-CARD fragments and strengthens ZU5-mediated NLRP1 autoinhibition. Structure-guided biochemical and functional assays show that both NLRP1 binding and enzymatic activity are required for DPP9 to suppress NLRP1 in human cells. Together, our data reveal the mechanism of DPP9-mediated inhibition of NLRP1 and shed light on the activation of the NLRP1 inflammasome."
2020 Dec,Pharmaceutical biology,Pharm Biol. 2020 Dec;58(1):1252-1262. doi: 10.1080/13880209.2020.1855214.,"['Gong, Qin', 'Yin, Jilei', 'Wang, Mulan', 'He, Luling', 'Lei, Fan', 'Luo, Yingying', 'Yang, Shilin', 'Feng, Yulin', 'Li, Jun', 'Du, Lijun']","['acute kidney injury  metabolism', 'animals', 'blood proteins analysis', 'cisplatin toxicity', 'dexamethasone  pharmacology', 'dose-response relationship, drug', 'enhancer elements, genetic physiology', 'kidney drug effects', 'male', 'rats', 'rats, wistar', 'serum albumin  biosynthesis', 'cisplatin', 'acute kidney injury', 'gene transcription start site', 'proteinuria']",Comprehensive study of dexamethasone on albumin biogenesis during normal and pathological renal conditions.,"CONTEXT: Dexamethasone (DXM) has an anti-immunoinflammatory effect, and is often used in acute kidney injury (AKI). However, the effects of DXM on albumin (ALB) have not been fully studied. OBJECTIVE: To investigate the effects of DXM on ALB production and renal function. MATERIALS AND METHODS: Male Wistar rats were divided into normal and DXM groups (0.25, 0.5, 1 mg/kg for 5 days) (n = 15) for a dose-dependent study. Rats were divided into normal group and DXM groups (0.5 mg/kg for 3, 5, 7 days) (n = 9) for a time-dependent study. In AKI experiment, rats were divided into normal (saline), cisplatin (CP, 5 mg/kg, i.v.), CP + DXM groups (0.25, 0.5 and 1 mg/kg, i.m.) (n = 16). The blood and the organs were isolated for analysis. RESULTS: In normal, serum ALB (sALB) and serum total protein (sTP) increased in DXM group with sALB increased 19.8-32.2% (from small to large dosages); and 30.2-32.5.6% (from 3 to 7 days of DXM); sTP 15.7-22.6% and 14.2-24.3%; urine ALB (uALB) 31.5-392.3%, and 1047.2-1390.8%; urine TP (uTP) 0.68-173.1% and 98.0-504.9%, compared with normal groups. DXM increased the mRNA expression of Cebp and Hnf, suppressing podocin. In AKI, DXM decreased serum BUN (53.7%), serum Cre (73.4%), sALB (30.0%), sTP (18.7%), uALB (74.5%), uTP (449.3%), rescuing the suppressed podocin in kidney. CONCLUSIONS: DXM acts on Cebp and Hnf and promotes ALB production. This finding helps to evaluate the rationale of DXM for kidney injury."
2020 Dec 14,"Journal of speech, language, and hearing research : JSLHR",J Speech Lang Hear Res. 2020 Dec 14;63(12):4277-4288. doi: ,"['Liu, Yin', 'Xu, Runyi', 'Gong, Qin']","['cochlea', 'humans', ' language', ' otoacoustic emissions, spontaneous', 'sound']",Human Auditory-Frequency Tuning Is Sensitive to Tonal Language Experience.,"Purpose The aim of this study is to investigate whether human auditory frequency tuning can be influenced by tonal language experience. Method Perceptual tuning measured via psychophysical tuning curves and cochlear tuning derived via stimulus-frequency otoacoustic emission suppression tuning curves in 14 native speakers of a tonal language (Mandarin) were compared to those of 14 native speakers of a nontonal language (English) at 1 and 4 kHz. Results Group comparisons of both psychophysical tuning curves (p = .046) and stimulus-frequency otoacoustic emission suppression tuning curves (p = .007) in the 4-kHz region indicated sharper frequency tuning in the Mandarin-speaking group relative to the English-speaking group. The auditory tuning was better at the higher (4 kHz) than the lower (1 kHz) probe frequencies (p < .001). Conclusions The sharper auditory tuning in the 4-kHz cochlear region is associated with long-term tonal language (i.e., Mandarin) experience. Experience-dependent plasticity of tonal language may occur before the sound signal reaches central neural stages, as peripheral as the cochlea."
