time,journal,doi_info,authors,key words,title,abstract
2024 Jun 11,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg. 2024 Jun 11. doi: 10.1007/s11548-024-03209-9.,"['Liu, Jiayuan', 'Ma, Longfei', 'Hu, Chengquan', 'Kang, Jingyi', 'Zhang, Boyu', 'Li, Ruiyang', 'Liao, Hongen']","['hydraulic actuation', 'robot-assisted', 'soft actuator', 'tracheal intubation']",A robot-assisted tracheal intubation system based on a soft actuator?,"PURPOSE: Tracheal intubation is the gold standard of airway protection and constitutes a pivotal life-saving technique frequently employed in emergency medical interventions. Hence, in this paper, a system is designed to execute tracheal intubation tasks automatically, offering a safer and more efficient solution, thereby alleviating the burden on physicians. METHODS: The system comprises a tracheal tube with a bendable front end, a drive system, and a tip endoscope. The soft actuator provides two degrees of freedom for precise orientation. It is fabricated with varying-hardness silicone and reinforced with fibers and spiral steel wire for flexibility and safety. The hydraulic actuation system and tube feeding mechanism enable controlled bending and delivery. Object detection of key anatomical features guides the robotic arm and soft actuator. The control strategy involves visual servo control for coordinated robotic arm and soft actuator movements, ensuring accurate and safe tracheal intubation. RESULTS: The kinematics of the soft actuator were established using a constant curvature model, allowing simulation of its workspace. Through experiments, the actuator is capable of 90° bending as well as 20° deflection on the left and right sides. The maximum insertion force of the tube is 2 N. Autonomous tracheal intubation experiments on a training manikin were successful in all 10 trials, with an average insertion time of 45.6 s. CONCLUSION: Experimental validation on the manikin demonstrated that the robot tracheal intubation system based on a soft actuator was able to perform safe, stable, and automated tracheal intubation. In summary, this paper proposed a safe and automated robot-assisted tracheal intubation system based on a soft actuator, showing considerable potential for clinical applications."
2024 Jul,Medical image analysis,Med Image Anal. 2024 Jul;95:103182. doi: 10.1016/j.media.2024.103182. Epub 2024 ,"['Zhang, Liutong', 'Ning, Guochen', 'Liang, Hanying', 'Han, Boxuan', 'Liao, Hongen']","['humans', ' magnetic resonance imaging methods', 'deep learning', 'brain diagnostic imaging', 'image processing, computer-assisted methods', 'algorithms', 'neuroanatomy', 'data augmentation', 'deformation modeling', 'neuroanatomy segmentation', 'one-shot learning']",One-shot neuroanatomy segmentation through online data augmentation and confidence aware pseudo label.,"Recently, deep learning-based brain segmentation methods have achieved great success. However, most approaches focus on supervised segmentation, which requires many high-quality labeled images. In this paper, we pay attention to one-shot segmentation, aiming to learn from one labeled image and a few unlabeled images. We propose an end-to-end unified network that joints deformation modeling and segmentation tasks. Our network consists of a shared encoder, a deformation modeling head, and a segmentation head. In the training phase, the atlas and unlabeled images are input to the encoder to get multi-scale features. The features are then fed to the multi-scale deformation modeling module to estimate the atlas-to-image deformation field. The deformation modeling module implements the estimation at the feature level in a coarse-to-fine manner. Then, we employ the field to generate the augmented image pair through online data augmentation. We do not apply any appearance transformations cause the shared encoder could capture appearance variations. Finally, we adopt supervised segmentation loss for the augmented image. Considering that the unlabeled images still contain rich information, we introduce confidence aware pseudo label for them to further boost the segmentation performance. We validate our network on three benchmark datasets. Experimental results demonstrate that our network significantly outperforms other deep single-atlas-based and traditional multi-atlas-based segmentation methods. Notably, the second dataset is collected from multi-center, and our network still achieves promising segmentation performance on both the seen and unseen test sets, revealing its robustness. The source code will be available at https://github.com/zhangliutong/brainseg."
2024 Jun,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",Adv Sci (Weinh). 2024 Jun;11(24):e2307965. doi: 10.1002/advs.202307965. Epub 2024 ,"['Li, Zihan', 'Li, Ziyu', 'Bilgic, Berkin', 'Lee, Hong-Hsi', 'Ying, Kui', 'Huang, Susie Y', 'Liao, Hongen', 'Tian, Qiyuan']","[' deep learning', 'humans', ' brain diagnostic imaging', 'diffusion tensor imaging methods', 'diffusion magnetic resonance imaging methods', 'image processing, computer-assisted methods', 'diffusion mri', 'microstructure imaging', 'non‐linear optimization', 'self‐supervised learning']",DIMOND: DIffusion Model OptimizatioN with Deep Learning.,"Diffusion magnetic resonance imaging is an important tool for mapping tissue microstructure and structural connectivity non-invasively in the in vivo human brain. Numerous diffusion signal models are proposed to quantify microstructural properties. Nonetheless, accurate estimation of model parameters is computationally expensive and impeded by image noise. Supervised deep learning-based estimation approaches exhibit efficiency and superior performance but require additional training data and may be not generalizable. A new DIffusion Model OptimizatioN framework using physics-informed and self-supervised Deep learning entitled ""DIMOND"" is proposed to address this problem. DIMOND employs a neural network to map input image data to model parameters and optimizes the network by minimizing the difference between the input acquired data and synthetic data generated via the diffusion model parametrized by network outputs. DIMOND produces accurate diffusion tensor imaging results and is generalizable across subjects and datasets. Moreover, DIMOND outperforms conventional methods for fitting sophisticated microstructural models including the kurtosis and NODDI model. Importantly, DIMOND reduces NODDI model fitting time from hours to minutes, or seconds by leveraging transfer learning. In summary, the self-supervised manner, high efficacy, and efficiency of DIMOND increase the practical feasibility and adoption of microstructure and connectivity mapping in clinical and neuroscientific applications."
2024 Apr,EClinicalMedicine,EClinicalMedicine. 2024 Mar 10;70:102518. doi: 10.1016/j.eclinm.2024.102518. ,"['Jiang, Weipeng', 'Jin, Xiaoyan', 'Du, Chunling', 'Gu, Wenchao', 'Gao, Xiwen', 'Zhou, Chenjun', 'Tu, Chunlin', 'Chen, Hongqun', 'Li, Hong', 'Shen, Yao', 'Zhang, Yunfeng', 'Ge, Xiahui', 'Sun, Yingxin', 'Zhou, Lei', 'Yu, Suyun', 'Zhao, Kaishun', 'Cheng, Qing', 'Zhu, Xiaodan', 'Liao, Hongen', 'Bai, Chunxue', 'Song, Yuanlin']","['chronic obstructive pulmonary disease', 'hypercapnia respiratory failure', 'internet of things', 'noninvasive positive pressure ventilation', 'telemedicine']",Internet of things-based management versus standard management of home noninvasive ventilation in COPD patients with hypercapnic chronic respiratory failure: a multicentre randomized controlled non-inferiority trial.,"BACKGROUND: Effective monitoring and management are crucial during long-term home noninvasive positive pressure ventilation (NPPV) in patients with hypercapnic chronic obstructive pulmonary disease (COPD). This study investigated the benefit of Internet of Things (IOT)-based management of home NPPV. METHODS: This multicenter, prospective, parallel-group, randomized controlled non-inferiority trial enrolled patients requiring long-term home NPPV for hypercapnic COPD. Patients were randomly assigned (1:1), via a computer-generated randomization sequence, to standard home management or IOT management based on telemonitoring of clinical and ventilator parameters over 12 months. The intervention was unblinded, but outcome assessment was blinded to management assignment. The primary outcome was the between-group comparison of the change in health-related quality of life, based on severe respiratory insufficiency questionnaire scores with a non-inferiority margin of -5. This study is registered with Chinese Clinical Trials Registry (No. ChiCTR1800019536). FINDINGS: Overall, 148 patients (age: 72.7 ± 6.8 years; male: 85.8%; forced expiratory volume in 1 s: 0.7 ± 0.3 L; PaCO(2): 66.4 ± 12.0 mmHg), recruited from 11 Chinese hospitals between January 24, 2019, and June 28, 2021, were randomly allocated to the intervention group (n = 73) or the control group (n = 75). At 12 months, the mean severe respiratory insufficiency questionnaire score was 56.5 in the intervention group and 50.0 in the control group (adjusted between-group difference: 6.26 [95%"
2024 Feb 1,Biomedical optics express,Biomed Opt Express. 2024 Jan 2;15(2):506-523. doi: 10.1364/BOE.506134. ,"['Fu, Ye', 'Zhang, Shipeng', 'Ma, Longfei', 'Zhao, Zhe', 'Liao, Hongen', 'Xie, Tianyu']",[],"Comprehensive advancement in endoscopy: optical design, algorithm enhancement, and clinical validation for merged WLI and CBI imaging.","As endoscopic imaging technology advances, there is a growing clinical demand for enhanced imaging capabilities. Although conventional white light imaging (WLI) endoscopy offers realistic images, it often cannot reveal detailed characteristics of the mucosa. On the other hand, optical staining endoscopy, such as Compound Band Imaging (CBI), can discern subtle structures, serving to some extent as an optical biopsy. However, its image brightness is low, and the colors can be abrupt. These two techniques, commonly used in clinical settings, have complementary advantages. Nonetheless, they require different lighting conditions, which makes it challenging to combine their imaging strengths on living tissues. In this study, we introduce a novel endoscopic imaging technique that effectively combines the advantages of both WLI and CBI. Doctors don't need to manually switch between these two observation modes, as they can obtain the image information of both modes in one image. We calibrated an appropriate proportion for simultaneous illumination with the light required for WLI and CBI. We designed a new illumination spectrum tailored for gastrointestinal examination, achieving their fusion at the optical level. Using a new algorithm that focuses on enhancing specific hemoglobin tissue features, we restored narrow-band image characteristics lost due to the introduction of white light. Our hardware and software innovations not only boost the illumination brightness of the endoscope but also ensure the narrow-band feature details of the image. To evaluate the reliability and safety of the new endoscopic system, we conducted a series of tests in line with relevant international standards and validated the design parameters. For clinical trials, we collected a total of 256 sets of images, each set comprising images of the same lesion location captured using WLI, CBI, and our proposed method. We recruited four experienced clinicians to conduct subjective evaluations of the collected images. The results affirmed the significant advantages of our method. We believe that the novel endoscopic system we introduced has vast potential for clinical application in the future."
2024,Theranostics,Theranostics. 2024 Jan 1;14(1):341-362. doi: 10.7150/thno.87783. eCollection ,"['Fan, Yingwei', 'Liu, Shuai', 'Gao, Enze', 'Guo, Rui', 'Dong, Guozhao', 'Li, Yangxi', 'Gao, Tianxin', 'Tang, Xiaoying', 'Liao, Hongen']","['humans', ' precision medicine', 'quality of life', ' neoplasms diagnosis therapy', 'theranostic nanomedicine methods', 'neurosurgical procedures methods', 'image-guided surgery', 'intelligent theranostics', 'intraoperative imaging', 'minimally-invasive diagnosis and therapy', 'optical diagnosis and therapy']",The LMIT: Light-mediated minimally-invasive theranostics in oncology.,"Minimally-invasive diagnosis and therapy have gradually become the trend and research hotspot of current medical applications. The integration of intraoperative diagnosis and treatment is a development important direction for real-time detection, minimally-invasive diagnosis and therapy to reduce mortality and improve the quality of life of patients, so called minimally-invasive theranostics (MIT). Light is an important theranostic tool for the treatment of cancerous tissues. Light-mediated minimally-invasive theranostics (LMIT) is a novel evolutionary technology that integrates diagnosis and therapeutics for the less invasive treatment of diseased tissues. Intelligent theranostics would promote precision surgery based on the optical characterization of cancerous tissues. Furthermore, MIT also requires the assistance of smart medical devices or robots. And, optical multimodality lay a solid foundation for intelligent MIT. In this review, we summarize the important state-of-the-arts of optical MIT or LMIT in oncology. Multimodal optical image-guided intelligent treatment is another focus. Intraoperative imaging and real-time analysis-guided optical treatment are also systemically discussed. Finally, the potential challenges and future perspectives of intelligent optical MIT are discussed."
2024 May,European radiology,Eur Radiol. 2024 May;34(5):2921-2933. doi: 10.1007/s00330-023-10377-w. Epub 2023 ,"['Xiao, Xiong', 'Yang, Ne', 'Gu, Guocan', 'Wang, Xianyu', 'Jiang, Zhuang', 'Li, Tian', 'Zhang, Xinran', 'Ma, Longfei', 'Zhang, Peng', 'Liao, Hongen', 'Zhang, Liwei']","['humans', ' glioma diagnostic imaging genetics pathology', 'female', 'male', ' brain stem neoplasms genetics diagnostic imaging', ' diffusion magnetic resonance imaging methods', 'adult', ' genotype', 'middle aged', ' white matter diagnostic imaging pathology', 'mutation', 'young adult', 'aged', 'diffusion tensor imaging methods', 'adolescent', 'retrospective studies', 'brain stem neoplasms', 'diffusion magnetic resonance imaging', 'glioma', 'mutation', 'white matter']",Diffusion MRI is valuable in brainstem glioma genotyping with quantitative measurements of white matter tracts.,"OBJECTIVES: To investigate the value of diffusion MRI (dMRI) in H3K27M genotyping of brainstem glioma (BSG). METHODS: A primary cohort of BSG patients with dMRI data (b = 0, 1000 and 2000 s/mm(2)) and H3K27M mutation information were included. A total of 13 diffusion tensor and kurtosis imaging (DTI; DKI) metrics were calculated, then 17 whole-tumor histogram features and 29 along-tract white matter (WM) microstructural measurements were extracted from each metric and assessed within genotypes. After feature selection through univariate analysis and the least absolute shrinkage and selection operator method, multivariate logistic regression was used to build dMRI-derived genotyping models based on retained tumor and WM features separately and jointly. Model performances were tested using ROC curves and compared by the DeLong approach. A nomogram incorporating the best-performing dMRI model and clinical variables was generated by multivariate logistic regression and validated in an independent cohort of 27 BSG patients. RESULTS: At total of 117 patients (80 H3K27M-mutant) were included in the primary cohort. In total, 29 tumor histogram features and 41 WM tract measurements were selected for subsequent genotyping model construction. Incorporating WM tract measurements significantly improved diagnostic performances (p < 0.05). The model incorporating tumor and WM features from both DKI and DTI metrics showed the best performance (AUC = 0.9311). The nomogram combining this dMRI model and clinical variables achieved AUCs of 0.9321 and 0.8951 in the primary and validation cohort respectively. CONCLUSIONS: dMRI is valuable in BSG genotyping. Tumor diffusion histogram features are useful in genotyping, and WM tract measurements are more valuable in improving genotyping performance. CLINICAL RELEVANCE STATEMENT: This study found that diffusion MRI is valuable in predicting H3K27M mutation in brainstem gliomas, which is helpful to realize the noninvasive detection of brainstem glioma genotypes and improve the diagnosis of brainstem glioma. KEY POINTS: • Diffusion MRI has significant value in brainstem glioma H3K27M genotyping, and models with satisfactory performances were built. • Whole-tumor diffusion histogram features are useful in H3K27M genotyping, and quantitative measurements of white matter tracts are valuable as they have the potential to improve model performance. • The model combining the most discriminative diffusion MRI model and clinical variables can help make clinical decision."
2024 Mar,European radiology,Eur Radiol. 2024 Mar;34(3):1434-1443. doi: 10.1007/s00330-023-10177-2. Epub 2023 ,"['Liu, Shuai', 'Wang, Xianyu', 'Liu, Xing', 'Li, Shaowu', 'Liao, Hongen', 'Qiu, Xiaoguang']","['humans', 'retrospective studies', 'fractals', 'diagnosis, differential', 'radiomics', ' neoplasms, germ cell and embryonal diagnostic imaging', ' teratoma diagnostic imaging', 'magnetic resonance imaging methods', 'fractal analysis', 'intracranial germ cell tumours', 'machine learning', 'radiomics', 'teratoma']",Non-invasive differential diagnosis of teratomas from other intracranial germ cell tumours using MRI-based fractal and radiomic analyses.,"OBJECTIVES: The histologic subtype of intracranial germ cell tumours (IGCTs) is an important factor in deciding the treatment strategy, especially for teratomas. In this study, we aimed to non-invasively diagnose teratomas based on fractal and radiomic features. MATERIALS AND METHODS: This retrospective study included 330 IGCT patients, including a discovery set (n = 296) and an independent validation set (n = 34). Fractal and radiomic features were extracted from T1-weighted, T2-weighted, and post-contrast T1-weighted images. Five classifiers, including logistic regression, random forests, support vector machines, K-nearest neighbours, and XGBoost, were compared for our task. Based on the optimal classifier, we compared the performance of clinical, fractal, and radiomic models and the model combining these features in predicting teratomas. RESULTS: Among the diagnostic models, the fractal and radiomic models performed better than the clinical model. The final model that combined all the features showed the best performance, with an area under the curve, precision, sensitivity, and specificity of 0.946 [95% confidence interval ("
2024 Feb,International journal of computer assisted radiology and surgery,Int J Comput Assist Radiol Surg. 2024 Feb;19(2):331-344. doi: ,"['Zhang, Shipeng', 'Fu, Ye', 'Zhang, Xinran', 'Xie, Tianyu', 'Zhao, Zhe', 'Liao, Hongen']","['humans', 'animals', 'swine', ' endoscopy', ' endoscopy, gastrointestinal', 'light', 'narrow band imaging methods', 'cbi', 'csr', 'endoscopy system', 'image fusion', 'lp', 'wli']",A novel endoscopy image fusion system: combine white light imaging and compound band imaging.,"PURPOSE: White light imaging (WLI) is a commonly seen examination mode in endoscopy. The particular light in compound band imaging (CBI) can highlight delicate structures, such as capillaries and tiny structures on the mucosal surface. These two modes complement each other, and doctors switch between them manually to complete the examination. This paper proposes an endoscopy image fusion system to combine WLI and CBI. METHODS: We add a real-time rotatable color wheel in the light source device of the AQ-200 endoscopy system to achieve rapid imaging of two modes at the same position of living tissue. The two images corresponding to the pixel level can avoid registration and lay the foundation for image fusion. We propose a multi-scale image fusion framework, which involves Laplacian pyramid (LP) and convolutional sparse representation (CSR) and strengthens the details in the fusion rule. RESULTS: Volunteer experiments and ex vivo pig stomach trials are conducted to verify the feasibility of our proposed system. We also conduct comparative experiments with other image fusion methods, evaluate the quality of the fused images, and verify the effectiveness of our fusion framework. The results show that our fused image has rich details, high color contrast, apparent structures, and clear lesion boundaries. CONCLUSION: An endoscopy image fusion system is proposed, which does not change the doctor's operation and makes the fusion of WLI and CBI optical staining technology a reality. We change the light source device of the endoscope, propose an image fusion framework, and verify the feasibility and effectiveness of our scheme. Our method fully integrates the advantages of WLI and CBI, which can help doctors make more accurate judgments than before. The endoscopy image fusion system is of great significance for improving the detection rate of early lesions and has broad application prospects."
2023 Sep,Computers in biology and medicine,Comput Biol Med. 2023 Sep;164:107248. doi: 10.1016/j.compbiomed.2023.107248. Epub ,"['Chen, Fang', 'Wang, Jian', 'Liu, Han', 'Kong, Wentao', 'Zhao, Zhe', 'Ma, Longfei', 'Liao, Hongen', 'Zhang, Daoqiang']","[' neural networks, computer', ' semantics', 'thorax', 'adversarial attack', 'frequency constraint', 'medical diagnosis', 'perturbation']",Frequency constraint-based adversarial attack on deep neural networks for medical image classification.,"The security of AI systems has gained significant attention in recent years, particularly in the medical diagnosis field. To develop a secure medical image classification system based on deep neural networks, it is crucial to design effective adversarial attacks that can embed hidden, malicious behaviors into the system. However, designing a unified attack method that can generate imperceptible attack samples with high content similarity and be applied to diverse medical image classification systems is challenging due to the diversity of medical imaging modalities and dimensionalities. Most existing attack methods are designed to attack natural image classification models, which inevitably corrupt the semantics of pixels by applying spatial perturbations. To address this issue, we propose a novel frequency constraint-based adversarial attack method capable of delivering attacks in various medical image classification tasks. Specially, our method introduces a frequency constraint to inject perturbation into high-frequency information while preserving low-frequency information to ensure content similarity. Our experiments include four public medical image datasets, including a 3D CT dataset, a 2D chest X-Ray image dataset, a 2D breast ultrasound dataset, and a 2D thyroid ultrasound dataset, which contain different imaging modalities and dimensionalities. The results demonstrate the superior performance of our model over other state-of-the-art adversarial attack methods for attacking medical image classification tasks on different imaging modalities and dimensionalities."
