time,journal,doi_info,authors,key words,title,abstract
2024 Apr 25,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = ,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi. 2024 Apr 25;41(2):262-271. doi: ,"['Zhang, Xiao', 'Peng, Bo', 'Wang, Rui', 'Wei, Xingyue', 'Luo, Jianwen']","[' elasticity imaging techniques methods', ' neural networks, computer', ' phantoms, imaging', ' elastic modulus', ' image processing, computer-assisted methods', 'humans', 'algorithms', 'deep learning', 'deep learning', 'inverse problem', 'reconstruction of elasticity modulus distribution', 'semi-supervise']",[Reconstruction of elasticity modulus distribution base on semi-supervised neural network].,"Accurate reconstruction of tissue elasticity modulus distribution has always been an important challenge in ultrasound elastography. Considering that existing deep learning-based supervised reconstruction methods only use simulated displacement data with random noise in training, which cannot fully provide the complexity and diversity brought by in-vivo ultrasound data, this study introduces the use of displacement data obtained by tracking in-vivo ultrasound radio frequency signals (i.e., real displacement data) during training, employing a semi-supervised approach to enhance the prediction accuracy of the model. Experimental results indicate that in phantom experiments, the semi-supervised model augmented with real displacement data provides more accurate predictions, with mean absolute errors and mean relative errors both around 3%, while the corresponding data for the fully supervised model are around 5%. When processing real displacement data, the area of prediction error of semi-supervised model was less than that of fully supervised model. The findings of this study confirm the effectiveness and practicality of the proposed approach, providing new insights for the application of deep learning methods in the reconstruction of elastic distribution from in-vivo ultrasound data."
2023 Nov 6,World journal of clinical cases,World J Clin Cases. 2023 Nov 6;11(31):7640-7646. doi: 10.12998/wjcc.v11.i31.7640.,"['Huang, Li-Jie', 'Jiao, Jian-Feng', 'He, Qiong', 'Luo, Jian-Wen', 'Guo, Yi']","['case report', 'cortical layer necrosis', 'decompression craniectomy', 'luxury perfusion', 'ultrafast power doppler imaging']",Ultrafast power Doppler imaging for ischemic encephalopathy: A case report.,"BACKGROUND: Severely elevated intracranial pressure due to various reasons, such as decreased cerebral perfusion, can lead to devastating neurological outcomes, such as brain herniation. Decompression craniectomy is a life-saving procedure that is commonly performed for such a critical situation, but the changes in cerebral microvessels after brain herniation and decompression are unclear. Ultrafast power Doppler imaging (uPDI) is a new microvascular imaging technology that utilizes high frame rate plane/diverging wave transmission and advanced clutter filters. uPDI significantly improves Doppler sensitivity and can detect microvessels, which are usually invisible using traditional ultrasound Doppler imaging. CASE SUMMARY: In this report, uPDI was used for the first time to observe the brain blood flow of a hypoperfusion area in a 4-year-old girl who underwent decompression craniectomy due to refractory intracranial hypertension (ICP) after malignant brain tumor surgery. B-mode imaging was used to verify the increased densities of the cerebral cortex and basal ganglia that were observed by computed tomography. CONCLUSION: uPDI showed the local blood supplies and anatomical structures of the patient after decompressive craniectomy. uPDI is potentially a more intuitive and noninvasive method for evaluating the effects of severe ICP on cerebral microvessels."
2023 Sep,Ultrasonics,Ultrasonics. 2023 Sep;134:107058. doi: 10.1016/j.ultras.2023.107058. Epub 2023 ,"['Li, Yongshuai', 'Li, He', 'Wu, Fanggang', 'Luo, Jianwen']","['humans', ' echocardiography methods', 'systole', 'neural networks, computer', 'supervised machine learning', ' cardiovascular diseases', 'cardiac events', 'deep learning', 'detection', 'echocardiography', 'semi-supervised learning']",Semi-supervised learning improves the performance of cardiac event detection in echocardiography.,"Detection of end-diastole (ED) and end-systole (ES) frames in echocardiography video is a critical step for assessment of cardiac function. A recently released large public dataset, i.e., EchoNet-Dynamic, could be used as a benchmark for cardiac event detection. However, only a pair of ED and ES frames are annotated in each echocardiography video and the annotated ED comes before ES in most cases. This means that only a few frames during systole in each video are utilizable for training, which makes it challenging to train a cardiac event detection model using the dataset. Semi-supervised learning (SSL) could alleviate the problems. An architecture combining convolutional neural network (CNN), recurrent neural network (RNN) and fully-connected layers (FC) is adopted. Experimental results indicate that SSL brings at least three benefits: faster convergence rate, performance improvement and more reasonable volume curves. The best mean absolute errors (MAEs) for ED and ES detection are 40.2 ms (2.1 frames) and 32.6 ms (1.7 frames), respectively. In addition, the results show that models trained on apical four-chamber (A4C) view could work well on other standard views, such as other apical views and parasternal short axis (PSAX) views."
2023 Oct,Journal of ultrasound in medicine : official journal of the American Institute of ,J Ultrasound Med. 2023 Oct;42(10):2277-2292. doi: 10.1002/jum.16249. Epub 2023 ,"['Zhang, Hong', 'Huang, Lijie', 'Yang, Yi', 'Qiu, Lanyan', 'He, Qiong', 'Liu, Jinping', 'Qian, Linxue', 'Luo, Jianwen']","['rats', 'animals', ' diabetic nephropathies diagnostic imaging', 'feasibility studies', 'microscopy', 'kidney', 'ultrasonography', ' diabetes mellitus', 'contrast-enhanced ultrasound', 'diabetic kidney disease', 'microvessel imaging', 'ultrasound localization microscopy']",Evaluation of Early Diabetic Kidney Disease Using Ultrasound Localization Microscopy: A Feasibility Study.,"OBJECTIVE: The purpose of this study is to detect the hemodynamic changes of microvessels in the early stage of diabetic kidney disease (DKD) and to test the feasibility of ultrasound localization microscopy (ULM) in early diagnosis of DKD. METHODS: In this study, streptozotocin (STZ) induced DKD rat model was used. Normal rats served as the control group. Conventional ultrasound, contrast-enhanced ultrasound (CEUS), and ULM data were collected and analyzed. The kidney cortex was divided into four segments, which are 0.25-0.5 mm (Segment 1), 0.5-0.75 mm (Segment 2), 0.75-1 mm (Segment 3), and 1-1.25 mm (Segment 4) away from the renal capsule, respectively. The mean blood flow velocities of arteries and veins in each segment were separately calculated, and also the velocity gradients and overall mean velocities of arteries and veins. Mann-Whitney U test was used for comparison of the data. RESULTS: Quantitative results of microvessel velocity obtained by ULM show that the arterial velocity of Segments 2, 3, and 4, and the overall mean arterial velocity of the four segments in the DKD group are significantly lower than those in the normal group. The venous velocity of Segment 3 and the overall mean venous velocity of the four segments in the DKD group are higher than those in the normal group. The arterial velocity gradient in the DKD group is lower than that in the normal group. CONCLUSION: ULM can visualize and quantify the blood flow and may be used for early diagnosis of DKD."
2023 Aug 1,Anesthesiology,Anesthesiology. 2023 Aug 1;139(2):173-185. doi: 10.1097/ALN.0000000000004592.,"['Zhang, Dong', 'Wang, Wei', 'Zhu, Xiaoyi', 'Li, Ran', 'Liu, Wei', 'Chen, Maomao', 'Vu, Tri', 'Jiang, Laiming', 'Zhou, Qifa', 'Evans, Cody L', 'Turner, Dennis A', 'Sheng, Huaxin', 'Levy, Jerrold H', 'Luo, Jianwen', 'Yang, Wei', 'Yao, Junjie', 'Hoffmann, Ulrike']","['mice', 'animals', 'microcirculation', ' oxyhemoglobins pharmacology', ' microscopy', 'epinephrine pharmacology', 'oxygen', 'cerebrovascular circulation']",Epinephrine-induced Effects on Cerebral Microcirculation and Oxygenation Dynamics Using Multimodal Monitoring and Functional Photoacoustic Microscopy.,"BACKGROUND: The administration of epinephrine after severe refractory hypotension, shock, or cardiac arrest restores systemic blood flow and major vessel perfusion but may worsen cerebral microvascular perfusion and oxygen delivery through vasoconstriction. The authors hypothesized that epinephrine induces significant microvascular constriction in the brain, with increased severity after repetitive dosing and in the aged brain, eventually leading to tissue hypoxia. METHODS: The authors investigated the effects of intravenous epinephrine administration in healthy young and aged C57Bl/6 mice on cerebral microvascular blood flow and oxygen delivery using multimodal in vivo imaging, including functional photoacoustic microscopy, brain tissue oxygen sensing, and follow-up histologic assessment. RESULTS: The authors report three main findings. First, after epinephrine administration, microvessels exhibited severe immediate vasoconstriction (57 ± 6% of baseline at 6 min, P < 0.0001, n = 6) that outlasted the concurrent increase in arterial blood pressure, while larger vessels demonstrated an initial increase in flow (108 ± 6% of baseline at 6 min, P = 0.02, n = 6). Second, oxyhemoglobin decreased significantly within cerebral vessels with a more pronounced effect in smaller vessels (microvessels to 69 ± 8% of baseline at 6 min, P < 0.0001, n = 6). Third, oxyhemoglobin desaturation did not indicate brain hypoxia; on the contrary, brain tissue oxygen increased after epinephrine application (from 31 ± 11 mmHg at baseline to 56 ± 12 mmHg, 80% increase, P = 0.01, n = 12). In the aged brains, microvascular constriction was less prominent yet slower to recover compared to young brains, but tissue oxygenation was increased, confirming relative hyperoxia. CONCLUSIONS: Intravenous application of epinephrine induced marked cerebral microvascular constriction, intravascular hemoglobin desaturation, and paradoxically, an increase in brain tissue oxygen levels, likely due to reduced transit time heterogeneity."
2022 Oct 25,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = ,Sheng Wu Yi Xue Gong Cheng Xue Za Zhi. 2022 Oct 25;39(5):1015-1021. doi: ,"['Huang, Lijie', 'He, Qiong', 'Wang, Rui', 'Wei, Xingyue', 'Xie, Gangqiao', 'Luo, Jianwen']","['animals', 'mice', 'ultrasonography methods', ' brain diagnostic imaging physiology', ' magnetic resonance imaging', 'optogenetics', 'hemodynamics', 'brain activation map', 'central nervous system', 'functional connectivity', 'functional ultrasound imaging', 'ultrafast power doppler imaging']",[The developments and applications of functional ultrasound imaging].,"In recent years, due to the emergence of ultrafast ultrasound imaging technology, the sensitivity of detecting slow and micro blood flow with ultrasound has been dramatically improved, and functional ultrasound imaging (fUSI) has been developed. fUSI is a novel technology for neurological imaging that utilizes neurovascular coupling to detect the functional activity of the central nervous system (CNS) with high spatiotemporal resolution and high sensitivity, which is dynamic, non-invasive or minimally invasive. fUSI fills the gap between functional magnetic resonance imaging (fMRI) and optical imaging with its high accessibility and portability. Moreover, it is compatible with electrophysiological recording and optogenetics. In this paper, we review the developments of fUSI and its applications in neuroimaging. To date, fUSI has been used in various animals ranging from mice to non-human primates, as well as in clinical surgeries and bedside functional brain imaging of neonates. In conclusion, fUSI has great potential in neuroscience research and is expected to become an important tool for neuroscientists, pathologists and pharmacologists."
2022 Sep 1,Biomedical optics express,Biomed Opt Express. 2022 Aug 11;13(9):4693-4705. doi: 10.1364/BOE.466349. ,"['Cheng, Jiaju', 'Zhang, Peng', 'Liu, Fei', 'Liu, Jie', 'Hui, Hui', 'Tian, Jie', 'Luo, Jianwen']",[],Encoder-decoder deep learning network for simultaneous reconstruction of fluorescence yield and lifetime distributions.,"A time-domain fluorescence molecular tomography in reflective geometry (TD-rFMT) has been proposed to circumvent the penetration limit and reconstruct fluorescence distribution within a 2.5-cm depth regardless of the object size. In this paper, an end-to-end encoder-decoder network is proposed to further enhance the reconstruction performance of TD-rFMT. The network reconstructs both the fluorescence yield and lifetime distributions directly from the time-resolved fluorescent signals. According to the properties of TD-rFMT, proper noise was added to the simulation training data and a customized loss function was adopted for self-supervised and supervised joint training. Simulations and phantom experiments demonstrate that the proposed network can significantly improve the spatial resolution, positioning accuracy, and accuracy of lifetime values."
2022 Sep 1,Biomedical optics express,Biomed Opt Express. 2022 Aug 9;13(9):4606-4620. doi: 10.1364/BOE.468685. ,"['Zhang, Dong', 'Li, Ran', 'Lou, Xin', 'Luo, Jianwen']",[],Hessian filter-assisted full diameter at half maximum (FDHM) segmentation and quantification method for optical-resolution photoacoustic microscopy.,"Optical-resolution photoacoustic microscopy has been validated as an ideal tool for angiographic studies. Quantitative vascular analysis reveals critical information where vessel segmentation plays the key step. The comm-only used Hessian filter method suffers from varying accuracy due to the multi-kernel strategy. In this work, we developed a Hessian filter-assisted, adaptive thresholding vessel segmentation algorithm. Its performance is validated by a digital phantom and in vivo images which demonstrates a superior and consistent accuracy of 0.987 regardless of kernel selection. Subtle vessel change detection is further tested in two longitudinal studies on blood pressure agents. In the antihypotensive case, the proposed method detected a twice larger vasoconstriction over the Hessian filter method. In the antihypertensive case, the proposed method detected a vasodilation of 21.2%, while the Hessian filter method failed in change detection. The proposed algorithm may further push the limit of quantitative imaging on angiographic applications."
2022 Sep 1,Journal of neuroscience methods,J Neurosci Methods. 2022 Sep 1;379:109673. doi: 10.1016/j.jneumeth.2022.109673. ,"['Ma, Huide', 'Yang, Yi', 'Gao, Mengze', 'He, Qiong', 'Zhao, Duo', 'Luo, Jianwen', 'Wang, Shumin']","['animals', ' cerebral small vessel diseases diagnostic imaging pathology', 'disease models, animal', 'magnetic resonance imaging', 'microvessels', 'rats', ' stroke', 'ultrasonography', 'cerebral small vessel disease', 'microbubbles', 'super-resolution ultrasound imaging', 'ultrasound']",A novel rat model of cerebral small vessel disease and evaluation by super-resolution ultrasound imaging.,"Cerebral small vessel disease (CSVD), which causes cognitive, functional and emotional decline, is related to stroke events, and it is a major cause of Alzheimer's disease. In the social context of an aging population, the incidence of CSVD is on the rise yearly, and the exact pathogenesis is still controversial and remains unclear. Exploring the pathological mechanism of CSVD on the histological level using animal models is important for the investigation of new clinical diagnostic methods and treatment options. The existing surgical CSVD model preparation methods are difficult to operate and cannot control the injury location or degree. This study used ultrasound combined with microbubbles (MBs) to induce an easy-to-operate and non-invasive animal model of CSVD with controllable location and degree. The rat model was evaluated from the perspective of histology, ethology, and imageology, respectively. In addition, we utilized super-resolution ultrasound imaging (SR-US) technology to directly observe the microvessels of the model. The histological results showed that the modeling was successful in the preset position, and neurology deficits were observed in 62.5% of 8 rats. The SR-US results of one rat showed that compared with the non-sonication region, the number of cerebral small blood vessels discovered in the sonication area was reduced (43 vs 11), the blood flow speed decreased significantly (p 0.001), and blood flow volume decreased (144.7 vs 11.7 μL/s) because of vasoconstriction. This study provides a new modeling method with controllable damage location and degree for the study of CSVD, and SR-US is found to be an effective evaluation method, which can directly assess the hemodynamic changes of CSVD in vivo."
2022 Sep,Ultrasonics,Ultrasonics. 2022 Sep;125:106799. doi: 10.1016/j.ultras.2022.106799. Epub 2022 ,"['Wang, Yuanyuan', 'Wei, Xingyue', 'Pan, Zonghui', 'Huang, Lijie', 'He, Qiong', 'Luo, Jianwen']","[' algorithms', ' artifacts', 'motion', 'phantoms, imaging', 'ultrasonography methods', 'motion artifacts', 'parameter optimization', 'spatial angular compounding', 'strain estimation']",Influence of key parameters on motion artifacts in lateral strain estimation with spatial angular compounding.,"Strain imaging can reveal the changes in tissue mechanical properties related to pathological alterations by estimating tissue strains in the lateral and axial directions of ultrasound imaging. The estimation performance in the lateral direction is usually worse than that in the axial direction. Spatial angular compounding (SAC) has been demonstrated to improve the quality of lateral estimation by deriving the lateral displacements using axial displacements obtained from multi-angle transmissions. However, motion and deformation of tissues during multiple transmissions may cause motion artifacts, and thus deteriorate the quality of strain estimation. These artifacts can be reduced by choosing appropriate imaging parameters. However, few studies have been conducted to evaluate the influences of key parameters in strain estimation, such as the pulse repetition frequency (PRF), the number of steering angles (NSA), and the maximum steering angles (MSA), in terms of performance optimization. Therefore, this study aims to investigate the effects of these parameters through simulations and phantom experiments. The performance of strain estimation is evaluated by measuring the root-mean-square error (RMSE) and the standard deviation (SD) in the simulations and phantom experiments, respectively. The contrast-to-noise ratio (CNR) of strain images is calculated in both the simulations and phantom experiments. The results show that motion artifacts in strain estimation can be reduced by increasing the PRF to 1 kHz. When the PRF reaches 1 kHz, further increase of the PRF shows little obvious improvement in strain estimation. An increase in the NSA can cause larger motion artifacts and deteriorate the quality of strain images, and the improvement of strain estimation is limited when the NSA is increased from 3 to 7. An NSA of 3 is thus recommended to balance the influences of motion artifacts and the improvement for strain estimation. The MSA has little influence on the motion artifacts, while increased MSA can achieve improved lateral estimation performance at the cost of a smaller imaging region. In light of the lateral strain estimation performance and imaging region, an MSA of 15° is recommended. The influences of these key parameters obtained from this study may provide insights for parameter optimization in strain estimation with SAC to minimize the effects of motion artifacts."
