time,journal,doi_info,authors,key words,title,abstract
2024 Aug,Magnetic resonance in medicine,Magn Reson Med. 2024 Aug;92(2):688-701. doi: 10.1002/mrm.30089. Epub 2024 Apr 16.,"['Liu, Chuyu', 'Li, Zhongsen', 'Chen, Zhensen', 'Zhao, Benqi', 'Zheng, Zhuozhao', 'Song, Xiaolei']","['humans', ' deep learning', ' magnetic resonance imaging methods', ' brain neoplasms diagnostic imaging', ' image processing, computer-assisted methods', ' brain diagnostic imaging', 'retrospective studies', 'adult', 'algorithms', 'male', 'female', 'prospective studies', 'chemical exchange saturation transfer (cest)', 'deep learning', 'fast imaging', 'magnetic resonance imaging (mri)', 'partially separable function']",Highly-accelerated CEST MRI using frequency-offset-dependent k-space sampling and deep-learning reconstruction.,"PURPOSE: To develop a highly accelerated CEST Z-spectral acquisition method using a specifically-designed k-space sampling pattern and corresponding deep-learning-based reconstruction. METHODS: For k-space down-sampling, a customized pattern was proposed for CEST, with the randomized probability following a frequency-offset-dependent (FOD) function in the direction of saturation offset. For reconstruction, the convolution network (CNN) was enhanced with a Partially Separable (PS) function to optimize the spatial domain and frequency domain separately. Retrospective experiments on a self-acquired human brain dataset (13 healthy adults and 15 brain tumor patients) were conducted using k-space resampling. The prospective performance was also assessed on six healthy subjects. RESULTS: In retrospective experiments, the combination of FOD sampling and PS network (FOD + PSN) showed the best quantitative metrics for reconstruction, outperforming three other combinations of conventional sampling with varying density and a regular CNN (nMSE and SSIM, p < 0.001 for healthy subjects). Across all acceleration factors from 4 to 14, the FOD + PSN approach consistently outperformed the comparative methods in four contrast maps including MTR(asym), MTR(rex), as well as the Lorentzian Difference maps of amide and nuclear Overhauser effect (NOE). In the subspace replacement experiment, the error distribution demonstrated the denoising benefits achieved in the spatial subspace. Finally, our prospective results obtained from healthy adults and brain tumor patients (14×) exhibited the initial feasibility of our method, albeit with less accurate reconstruction than retrospective ones. CONCLUSION: The combination of FOD sampling and PSN reconstruction enabled highly accelerated CEST MRI acquisition, which may facilitate CEST metabolic MRI for brain tumor patients."
2024 Mar 8,NMR in biomedicine,NMR Biomed. 2024 Mar 8:e5134. doi: 10.1002/nbm.5134.,"['Chen, Zhensen', 'Liu, Chuyu', 'Wang, Yishi', 'Guo, Rui', 'Chen, Weibo', 'Wang, He', 'Song, Xiaolei']","['abdominal', 'chemical exchange saturation transfer', 'free-breathing', 'respiratory gating', 'water presaturation']",Free-breathing abdominal chemical exchange saturation transfer imaging using water presaturation and respiratory gating at 3.0 T.,"Free-breathing abdominal chemical exchange saturation transfer (CEST) has great potential for clinical application, but its technical implementation remains challenging. This study aimed to propose and evaluate a free-breathing abdominal CEST sequence. The proposed sequence employed respiratory gating (ResGat) to synchronize the data acquisition with respiratory motion and performed a water presaturation module before the CEST saturation to abolish the influence of respiration-induced repetition time variation. In vivo experiments were performed to compare different respiratory motion-control strategies and B0 offset correction methods, and to evaluate the effectiveness and necessity of the quasi-steady-state (QUASS) approach for correcting the influence of the water presaturation module on CEST signal. ResGat with a target expiratory phase of 0.5 resulted in a higher structural similarity index and a lower coefficient of variation on consecutively acquired CEST S0 images than breath-holding (BH) and respiratory triggering (all p < 0.05). B0 maps derived from the abdominal CEST dataset itself were more stable for B0 correction, compared with the separately acquired B0 maps by a dual-echo time scan and B0 maps derived from the water saturation shift referencing approach. Compared with BH, ResGat yielded more homogeneous magnetization transfer ratio asymmetry maps at 3.5 ppm (standard deviation: 3.96% vs. 3.19%, p = 0.036) and a lower mean squared difference between scan and rescan (27.52‱ vs. 16.82‱, p = 0.004). The QUASS approach could correct the water presaturation-induced CEST signal change, but its necessity for in vivo scanning needs further verification. The proposed free-breathing abdominal CEST sequence using ResGat had an acquisition efficiency of approximately four times that using BH. In conclusion, the proposed free-breathing abdominal CEST sequence using ResGat and water presaturation has a higher acquisition efficiency and image quality than abdominal CEST using BH."
2023 Nov,Brain research bulletin,Brain Res Bull. 2023 Nov;204:110807. doi: 10.1016/j.brainresbull.2023.110807. ,"['Li, Zhen', 'Gong, Ping', 'Zhang, Mengbei', 'Li, Chen', 'Xiao, Peilun', 'Yu, Miao', 'Wang, Xizhen', 'An, Lin', 'Bi, Fangfang', 'Song, Xiaolei', 'Wang, Xiaoli']","['rats', 'animals', 'rats, sprague-dawley', ' melatonin pharmacology therapeutic use', 'protons', 'microglia metabolism', ' brain ischemia diagnostic imaging drug therapy metabolism', 'magnetic resonance imaging methods', 'cerebral infarction', ' reperfusion injury diagnostic imaging drug therapy metabolism', 'amides', 'acute ischemic stroke', 'cerebral ischemia reperfusion injury', 'chemical exchange saturation transfer', 'magnetic resonance imaging', 'microglial polarization', 'neuroprotection']",Multi-parametric MRI assessment of melatonin regulating the polarization of microglia in rats after cerebral ischemia/reperfusion injury.,"OBJECTIVES: Multi-parametric magnetic resonance imaging (MRI) can provide comprehensive and valuable information for precise diagnosis and treatment evaluation of a number of diseases. In this study, the neuroprotective effects of melatonin (Mel) on a rat model of cerebral ischemia/reperfusion injury ("
2023 Nov,Magnetic resonance imaging,Magn Reson Imaging. 2023 Nov;103:216-223. doi: 10.1016/j.mri.2023.07.014. Epub ,"['Yu, Yibei', 'Song, Xiaolei', 'Zeng, Zhen', 'Wang, Lixue', 'Zhang, Lei', 'Zhao, Hongliang', 'Zheng, Zhuozhao']","['humans', 'female', ' protons', 'amides', 'diagnosis, differential', 'reproducibility of results', 'magnetic resonance imaging methods', ' ovarian neoplasms diagnostic imaging', 'amide proton transfer', 'female pelvic imaging', 'magnetic resonance imaging', 'o-rads', 'ovarian masses']",Amide proton transfer weighted MRI in differential diagnosis of ovarian masses with cystic components: A preliminary study.,"RATIONALE AND OBJECTIVES: To evaluate the performance of three-dimensional (3D) amide proton transfer-weighted (APTw) MRI in the differentiation between benign and malignant ovarian masses based on single-slice and all-slice analysis of cystic regions. MATERIALS AND METHODS: Patients were consecutively recruited and underwent conventional pelvic MRI and APTw MRI. Two radiologists independently assessed ovarian masses blinded to the histopathological results. Three APTw SI values were generated from the cystic regions of the masses: (1) APTw SI of a single representative slice (RS); (2) average (AVE) of APTw SIs of all slices of the mass; (3) area-weighted (AW) average of APTw SIs of all slices of the mass. O-RADS MRI score of each mass was reported. Independent sample t-test and receiver operating characteristic (ROC) curve analysis were performed for comparison. Inter- and intra-observer reliability were assessed by the intraclass correlation coefficient (ICC) and quadratic kappa coefficient. RESULTS: 46 ovarian masses were included for final analysis. The three APTw SI values were higher in cystic regions of malignant ovarian masses compared with benign lesions (p<0.0001). ROC curve analysis showed no significant difference in diagnostic performance among three APTw SI values and the O-RADS MRI score (AUC: RS-APTw SI, 0.930; AVE-APTw SI, 0.927; AW-APTw SI, 0.935; O-RADS score, 0.937). CONCLUSIONS: APTw MRI may be used as a noninvasive tool for the differentiation of benign and malignant ovarian masses based on the analysis of the cystic regions."
2023 Jul 1,Quantitative imaging in medicine and surgery,Quant Imaging Med Surg. 2023 Jul 1;13(7):4350-4364. doi: 10.21037/qims-22-1379. ,"['Chen, Yanrong', 'Sun, Yaozong', 'Bie, Chongxue', 'Wang, Xiaoli', 'He, Xiaowei', 'Song, Xiaolei']","['chemical exchange saturation transfer (cest)', 'k-means', 'lorentzian fitting (lf)', 'amide', 'nuclear overhauser effects (noes)']",Hierarchical K-means clustering method for accelerated Lorentzian estimation (KALE) in chemical exchange saturation transfer-magnetic resonance imaging quantification.,"BACKGROUND: Quantification of in vivo chemical exchange saturation transfer (CEST) magnetic resonance signals is challenging due to contamination from coexisting effects, including the direct water effect and asymmetric magnetization transfer. Fitting-based analysis allows the calculation of multiple types of signals from the line shape of Z-spectra. However, the conventional voxelwise method has several drawbacks, including its long computation time and its susceptibility to image noise and Z-spectra oscillations, and it is difficult to determine the initial fitting parameters. METHODS: Herein, we propose a K-means clustering method for accelerated Lorentzian estimation (KALE) in CEST quantification. Briefly, voxels in CEST images are clustered into K groups according to their Z-spectra characteristics. A 'groupwise' fitting process is then performed with preset initial values, yielding a set of fitted spectra and fitted parameters for each group. With the updated initial values, each group is further clustered into subgroups, and groupwise fitting is performed again. This hierarchical K-means clustering and parameter updating process continues until the pixel number or intensity error meets the termination criteria. Voxelwise fitting could be further conducted to improve the quantification images (termed voxel-K) by utilizing the previous groupwise KALE results as the initial values (termed group-K). RESULTS: Incorporated with Lorentzian difference (LD) quantification, KALE was first optimized and evaluated on 5 healthy human brain datasets at 3 Tesla. Compared with traditional voxel-by-voxel LD quantification, the computation times of group-K and voxel-K were significantly reduced by ~85% and ~70%, respectively (P<0.001). Furthermore, the group-K images exhibited better denoising performance than traditional LD and voxel-K. KALE was further validated on six ischemic rat brains acquired at 7 Tesla, with both LD_group-K and LD_voxel-K displaying almost identical contrast maps with traditional voxelwise maps. When incorporated with the five-pool Lorentzian fitting (LF), KALE exhibited an improved contrast-to-noise ratio (CNR) for amplitude maps of each pool [P=0.003, 0.015, 0.047, and 0.047 for amide, nuclear Overhauser effect (NOE), magnetic transfer (MT) and guanidine amine, respectively] and improved fitting goodness (P=0.033). CONCLUSIONS: KALE quantification provides comparable or even superior contrast maps to traditional voxelwise fitting, with significantly reduced computation time. The 'smart' and hierarchical voxel-clustering and parameter updating process of KALE may facilitate more preclinical and clinical CEST applications."
2023 Nov,Magnetic resonance imaging,Magn Reson Imaging. 2023 Nov;103:54-60. doi: 10.1016/j.mri.2023.07.003. Epub 2023 ,"['Chen, Yibing', 'Zhao, Benqi', 'Zhu, Changhao', 'Bie, Chongxue', 'He, Xiaowei', 'Zheng, Zhuozhao', 'Song, Xiaolei']","['humans', ' brain neoplasms pathology', 'protons', ' glioma diagnostic imaging pathology', 'magnetic resonance imaging', 'amides', 'chemical exchange saturation transfer', 'diffuse gliomas', 'frequency importance analysis', 'lys-27-met mutations in histone 3 genes', 'magnetic resonance imaging']",Assessing the predictability of the H3K27M status in diffuse glioma patients using frequency importance analysis on chemical exchange saturation transfer MRI.,"BACKGROUND AND OBJECTIVES: In diffuse glioma patients, Lys-27-Met mutations in histone 3 genes (H3K27M) are associated with an aggravated prognosis and further decreased overall survival. By using frequency importance analysis on chemical exchange saturation transfer (CEST) MRI, this study aimed to assess the predictability of the H3K27M status in diffuse glioma patients. METHODS: Twenty-two patients diagnosed with diffuse glioma, with a known H3K27M status, were included in the present study. All patients underwent CEST MRI scans. The previously proposed frequency importance analysis was performed to determine the relative contribution of the amide and aliphatic protons for the differentiation between normal tissues and tumors. For this comparison, the conventional MTR(asym) analysis of amide protons at 3.5 ppm, i.e., the amide proton transfer-weighted (APTw) signal, was employed. Statistical analysis was performed using the Mann-Whitney U test, and the receiver operating characteristic (ROC) and area under the curve (AUC) analyses. RESULTS: The mean and 90th percentile of the ΔAPTw intensities, amide and aliphatic frequency importance values revealed statistically significant differences between the wildtype and the H3K27M-altered patient groups (p < 0.05). For the prediction of the H3K27M status, amide frequency importance achieved highest AUCs of 0.97, with a specificity of 0.93. In contrast, the ΔAPTw intensities and aliphatic frequency importance showed relatively lower AUCs (<0.35) in predicting the H3K27M status. CONCLUSIONS: Amide frequency importance exhibited satisfactory performance in the prediction of the H3K27M status. As such, it may be considered as a non-invasive MRI biomarker for the diagnosis of diffuse gliomas."
2023 Jun,NMR in biomedicine,NMR Biomed. 2023 Jun;36(6):e4944. doi: 10.1002/nbm.4944. Epub 2023 Apr 27.,"['Bie, Chongxue', 'van Zijl, Peter', 'Xu, Jiadi', 'Song, Xiaolei', 'Yadav, Nirbhay N']","[' image interpretation, computer-assisted methods', ' magnetic resonance imaging methods', 'protons', 'hydrogen-ion concentration', 'radio waves', 'algorithms', 'cest mri', 'rf irradiation pulses', 'rf labeling', 'excitation-based labeling', 'saturation-based labeling', 'spectral editing']",Radiofrequency labeling strategies in chemical exchange saturation transfer MRI.,"Chemical exchange saturation transfer (CEST) MRI has generated great interest for molecular imaging applications because it can image low-concentration solute molecules in vivo with enhanced sensitivity. CEST effects are detected indirectly through a reduction in the bulk water signal after repeated perturbation of the solute proton magnetization using one or more radiofrequency (RF) irradiation pulses. The parameters used for these RF pulses-frequency offset, duration, shape, strength, phase, and interpulse spacing-determine molecular specificity and detection sensitivity, thus their judicious selection is critical for successful CEST MRI scans. This review article describes the effects of applying RF pulses on spin systems and compares conventional saturation-based RF labeling with more recent excitation-based approaches that provide spectral editing capabilities for selectively detecting molecules of interest and obtaining maximal contrast."
2023 Feb,Magnetic resonance in medicine,Magn Reson Med. 2023 Feb;89(2):620-635. doi: 10.1002/mrm.29471. Epub 2022 Oct 17.,"['Chen, Yanrong', 'Dang, Xujian', 'Hu, Wanting', 'Sun, Yaozong', 'Bai, Yan', 'Wang, Xiaoli', 'He, Xiaowei', 'Wang, Meiyun', 'Song, Xiaolei']","['animals', 'humans', 'rats', ' magnetic resonance imaging methods', ' amides', 'retrospective studies', 'sensitivity and specificity', 'brain diagnostic imaging', 'water', 'apt', 'cest', 'lorentzian difference', 'mtrrex', 'noe']",Reassembled saturation transfer (REST) MR images at 2 B(1) values for in vivo exchange-dependent imaging of amide and nuclear Overhauser enhancement.,"PURPOSE: Design an efficient CEST scheme for exchange-dependent images with high contrast-to-noise ratio. THEORY: Reassembled saturation transfer (REST) signals were defined as Δ r.Z = r.Z(ref) - r.Z(CEST) and the reassembled exchange-dependen magnetization transfer ratio r.MTR(Rex) = r.1/Z(ref) - r.1/Z(CEST) , utilizing the averages over loosely sampled reference frequency offsets as Z(ref) and over densely sampled target offsets as Z(CEST) . Using r.MTR(Rex) measured under 2 B(1,sat) values, exchange rate could be estimated. METHODS: The REST approach was optimized and assessed quantitatively by simulations for various exchange rates, pool concentration, and water T(1) . In vivo evaluation was performed on ischemic rat brains at 7 Tesla and human brains at 3 Tesla, in comparison with conventional asymmetrical analysis, Lorentzian difference (LD), an MTR(Rex_) LD. RESULTS: For a broad choice of Δωref ranges and numbers, Δr.Z and r.MTR(Rex) exhibited comparable quantification features with conventional LD and MTR(Rex) _LD, respectively, when B(1,sat) ≤ 1 μT. The subtraction of 2 REST values under distinct B(1,sat) values showed linear relationships with exchange rate and obtained immunity to field inhomogeneity and variation in MT and water T(1) . For both rat and human studies, REST images exhibited similar contrast distribution to MTR(Rex) _LD, with superiority in contrast-to-noise ratio and acquisition efficiency. Compared with MTR(Rex) _LD, 2-B(1,sat) subtraction REST images displayed better resistance to B(1) inhomogeneity, with more specific enhanced regions. They also showed higher signals for amide than for nuclear Overhauser enhancement effect in human brain, presumably reflecting the higher increment from faster-exchanging species as B(1,sat) increased. CONCLUSION: Featuring high contrast-to-noise ratio efficiency, REST could be a practical exchange-dependent approach readily applicable to either retrospective Z-spectra analysis or perspective 6-offset acquisition."
2022 Aug 1,"Tomography (Ann Arbor, Mich.)",Tomography. 2022 Aug 1;8(4):1974-1986. doi: 10.3390/tomography8040165.,"['Chen, Yibing', 'Dang, Xujian', 'Zhao, Benqi', 'Zheng, Zhuozhao', 'He, Xiaowei', 'Song, Xiaolei']","['amides', ' brain neoplasms diagnostic imaging pathology', 'dimaprit analogs & derivatives', 'humans', 'magnetic resonance imaging methods', ' protons', 'water', 'b0 inhomogeneity correction', 'lorentzian fitting', 'amide proton transfer (apt) mri', 'brain tumors', 'chemical exchange saturation transfer (cest) mri']",B(0) Correction for 3T Amide Proton Transfer (APT) MRI Using a Simplified Two-Pool Lorentzian Model of Symmetric Water and Asymmetric Solutes.,"Amide proton transfer (APT)-weighted MRI is a promising molecular imaging technique that has been employed in clinic for detection and grading of brain tumors. MTRasym, the quantification method of APT, is easily influenced by B0 inhomogeneity and causes artifacts. Current model-free interpolation methods have enabled moderate B0 correction for middle offsets, but have performed poorly at limbic offsets. To address this shortcoming, we proposed a practical B0 correction approach that is suitable under time-limited sparse acquisition scenarios and for B1 ≥ 1 μT under 3T. In this study, this approach employed a simplified Lorentzian model containing only two pools of symmetric water and asymmetric solutes, to describe the Z-spectral shape with wide and ‘invisible’ CEST peaks. The B0 correction was then performed on the basis of the fitted two-pool Lorentzian lines, instead of using conventional model-free interpolation. The approach was firstly evaluated on densely sampled Z-spectra data by using the spline interpolation of all acquired 16 offsets as the gold standard. When only six offsets were available for B0 correction, our method outperformed conventional methods. In particular, the errors at limbic offsets were significantly reduced (n = 8, p < 0.01). Secondly, our method was assessed on the six-offset APT data of nine brain tumor patients. Our MTRasym (3.5 ppm), using the two-pool model, displayed a similar contrast to the vendor-provided B0-orrected MTRasym (3.5 ppm). While the vendor failed in correcting B0 at 4.3 and 2.7 ppm for a large portion of voxels, our method enabled well differentiation of B0 artifacts from tumors. In conclusion, the proposed approach could alleviate analysis errors caused by B0 inhomogeneity, which is useful for facilitating the comprehensive metabolic analysis of brain tumors."
2022 Jul 30,International journal of molecular sciences,Int J Mol Sci. 2022 Jul 30;23(15):8443. doi: 10.3390/ijms23158443.,"['Gao, Tianxin', 'Wang, Pei', 'Gong, Teng', 'Zhou, Ying', 'Wang, Ancong', 'Tang, Xiaoying', 'Song, Xiaolei', 'Fan, Yingwei']","['brain diagnostic imaging', 'genes, reporter', 'magnetic resonance imaging', 'neuroimaging', ' positron-emission tomography methods', 'tomography, emission-computed, single-photon methods', ' tomography, x-ray computed', 'mri', 'brain imaging', 'radionuclide imaging', 'reporter gene']","Reporter Genes for Brain Imaging Using MRI, SPECT and PET.","The use of molecular imaging technologies for brain imaging can not only play an important supporting role in disease diagnosis and treatment but can also be used to deeply study brain functions. Recently, with the support of reporter gene technology, optical imaging has achieved a breakthrough in brain function studies at the molecular level. Reporter gene technology based on traditional clinical imaging modalities is also expanding. By benefiting from the deeper imaging depths and wider imaging ranges now possible, these methods have led to breakthroughs in preclinical and clinical research. This article focuses on the applications of magnetic resonance imaging (MRI), single-photon emission computed tomography (SPECT), and positron emission tomography (PET) reporter gene technologies for use in brain imaging. The tracking of cell therapies and gene therapies is the most successful and widely used application of these techniques. Meanwhile, breakthroughs have been achieved in the research and development of reporter genes and their imaging probe pairs with respect to brain function research. This paper introduces the imaging principles and classifications of the reporter gene technologies of these imaging modalities, lists the relevant brain imaging applications, reviews their characteristics, and discusses the opportunities and challenges faced by clinical imaging modalities based on reporter gene technology. The conclusion is provided in the last section."
