time,journal,doi_info,authors,key words,title,abstract
2024 May 8,Physics in medicine and biology,Phys Med Biol. 2024 May 8;69(10). doi: 10.1088/1361-6560/ad4194.,"['Gao, Tingting', 'Liang, Libin', 'Ding, Hui', 'Wang, Guangzhi']","['humans', ' laser therapy methods', ' temperature', 'brain neoplasms radiotherapy diagnostic imaging', 'magnetic resonance imaging', 'brain diagnostic imaging radiation effects', 'hyperthermia, induced methods', 'litt', 'mrti', 'brain', 'temperature prediction', 'tissue property']",Patient-specific temperature distribution prediction in laser interstitial thermal therapy: single-irradiation data-driven method.,"Laser interstitial thermal therapy (LITT) is popular for treating brain tumours and epilepsy. The strict control of tissue thermal damage extent is crucial for LITT. Temperature prediction is useful for predicting thermal damage extent. Accurately predictingin vivobrain tissue temperature is challenging due to the temperature dependence and the individual variations in tissue properties. Considering these factors is essential for improving the temperature prediction accuracy.Objective. To present a method for predicting patient-specific tissue temperature distribution within a target lesion area in the brain during LITT.Approach. A magnetic resonance temperature imaging (MRTI) data-driven estimation model was constructed and combined with a modified Pennes bioheat transfer equation (PBHE) to predict patient-specific temperature distribution. In the PBHE for temperature prediction, the individual specificity and temperature dependence of thermal tissue properties and blood perfusion, as well as the individual specificity of optical tissue properties were considered. Only MRTI data during one laser irradiation were required in the method. This enables the prediction of patient-specific temperature distribution and the resulting thermal damage region for subsequent ablations.Main results. Patient-specific temperature prediction was evaluated based on clinical data acquired during LITT in the brain, using intraoperative MRTI data as the reference standard. Our method significantly improved the prediction performance of temperature distribution and thermal damage region. The average root mean square error was decreased by 69.54%, the average intraclass correlation coefficient was increased by 37.5%, the average Dice similarity coefficient was increased by 43.14% for thermal damage region prediction.Significance. The proposed method can predict temperature distribution and thermal damage region at an individual patient level during LITT, providing a promising approach to assist in patient-specific treatment planning for LITT in the brain."
2024 May,Computers in biology and medicine,Comput Biol Med. 2024 May;174:108453. doi: 10.1016/j.compbiomed.2024.108453. Epub ,"['Li, Haowei', 'Yan, Wenqing', 'Zhao, Jiasheng', 'Ji, Yuqi', 'Qian, Long', 'Ding, Hui', 'Zhao, Zhe', 'Wang, Guangzhi']","['humans', ' augmented reality', 'ultrasonography methods instrumentation', 'image-guided biopsy instrumentation methods', 'augmented reality', 'locatable ultrasound', 'surgical navigation', 'tumor biopsy']",Navigate biopsy with ultrasound under augmented reality device: Towards higher system performance.,"PURPOSE: Biopsies play a crucial role in determining the classification and staging of tumors. Ultrasound is frequently used in this procedure to provide real-time anatomical information. Using augmented reality (AR), surgeons can visualize ultrasound data and spatial navigation information seamlessly integrated with real tissues. This innovation facilitates faster and more precise biopsy operations. METHODS: We have developed an augmented reality biopsy navigation system characterized by low display latency and high accuracy. Ultrasound data is initially read by an image capture card and streamed to Unity via net communication. In Unity, navigation information is rendered and transmitted to the HoloLens 2 device using holographic remoting. Concurrently, a retro-reflective tool tracking method is implemented on the HoloLens 2, enabling the simultaneous tracking of the ultrasound probe and biopsy needle. Distinct navigation information is provided during in-plane and out-of-plane punctuation. To evaluate the effectiveness of our system, we conducted a study involving ten participants, assessing puncture accuracy and biopsy time in comparison to traditional methods. RESULTS: Ultrasound image was streamed from the ultrasound device to augmented reality headset with 122.49±11.61ms latency, while only 16.22±11.25ms was taken after data acquisition from image capture card. Navigation accuracy reached 1.23±0.68mm in the image plane and 0.95±0.70mm outside the image plane, within a depth range of 200 millimeters. Remarkably, the utilization of our system led to 98% and 95% success rate in out-of-plane and in-plane biopsy, among ten participants with little ultrasound experience. CONCLUSION: To sum up, this paper introduces an AR-based ultrasound biopsy navigation system characterized by high navigation accuracy and minimal latency. The system provides distinct visualization contents during in-plane and out-of-plane operations according to their different characteristics. Use case study in this paper proved that our system can help young surgeons perform biopsy faster and more accurately."
2023,Respiration; international review of thoracic diseases,Respiration. 2023;102(11):961-968. doi: 10.1159/000534352. Epub 2023 Oct 20.,"['Zhong, Changhao', 'Li, Hongjia', 'Huang, Junfeng', 'Li, Shuben', 'Ma, Jiajun', 'Lin, Jinsheng', 'Wang, Guangzhi', 'Li, Shiyue']","['female', 'humans', 'middle aged', 'trachea surgery pathology', 'bronchoscopy methods', ' carcinoma, adenoid cystic diagnosis drug therapy', ' robotic surgical procedures', 'neoplasm recurrence, local pathology', ' tracheal neoplasms diagnosis drug therapy', ' lung diseases pathology', ' photochemotherapy', 'adenoid cystic carcinoma', 'photodynamic therapy', 'robotic bronchoscopy']",The Novel Application of Robotic-Assisted Bronchoscopy Combined with Photodynamic Therapy for Adenoid Cystic Carcinoma of the Trachea.,"Robotic platforms have been widely used in the various fields of clinical diagnosis and therapy of diseases in the past decade. Robotic-assisted bronchoscopy (RAB) demonstrates its advantages of visibility, flexibility, and stability in comparison to conventional bronchoscopic techniques. Improving diagnostic yield and navigation yield for peripheral pulmonary lesions has been defined; however, RAB platform of treatment was not reported. In this article, we report a case of a 52-year-old woman who was diagnosed with the tracheal adenoid cystic carcinoma and recurred in the second postoperative year, leading to the involvement of the entire tracheal wall and lumen obstruction. Since the lesion was inoperable, we combined RAB and photodynamic therapy (PDT) for the patient. The potential advantages of using RAB for PDT delivery include precise light irradiation of target lesions and stable intra-operative control over the long term. This is a novel application of RAB combined with PDT for airway diseases. The case report may provide a new insight into the diagnosis and treatment of pulmonary diseases. In addition to improving the diagnostic rates, the RAB platform may also play an important role in the treatment of airway and lung disease in the future."
2023 May,Indian journal of orthopaedics,Indian J Orthop. 2023 Mar 17;57(5):776-781. doi: 10.1007/s43465-023-00859-w. ,"['Li, Haowei', 'Zhang, Peihai', 'Wang, Guangzhi', 'Liu, Huiting', 'Yang, Xuejun', 'Wang, Guihuai', 'Sun, Zhenxing']","['augmented reality', 'guide template', 'head-mounted device', 'navigation', 'spine']",Real-Time Navigation with Guide Template for Pedicle Screw Placement Using an Augmented Reality Head-Mounted Device: A Proof-of-Concept Study.,"OBJECTIVE: This study aims to explore the real-time navigation with guide template using an augmented reality head-mounted device (ARHMD) for pedicle screw placement. METHODS: The spatial coordinate relationships between augmented reality images and real objects were established through the custom-made guide template, and the registration and tracking were completed using an ARHMD. The feasibility and accuracy of this method were verified by pedicle screw placement in 2 lumbar models. According to the Gertzbein-Robbins grading scale, the accuracy of pedicle screw placement was assessed. The navigation errors were estimated by measuring the deviation values of entry point and trajectory angle. RESULTS: A total of 20 pedicle K-wires were placed into L1-L5 in 2 lumbar models, which were successfully completed, with an average time of 11.5 min per model and 69 s per screw. The overall K-wires placement accuracy was 100% (20 screws). The navigation error was 2.77 ± 0.82 mm for the deviation value of entry point, and 3.03° ± 0.94° for the deviation value of trajectory angle. CONCLUSIONS: The application of an ARHMD combined with guide template for pedicle screw placement is a promising navigation approach."
2023 Jul,Computerized medical imaging and graphics : the official journal of the ,Comput Med Imaging Graph. 2023 Jul;107:102228. doi: ,"['Weng, Wenhai', 'Ding, Hui', 'Bai, Jianjun', 'Zhou, Wenjing', 'Wang, Guangzhi']","['humans', ' magnetic resonance angiography methods', ' algorithms', 'imaging, three-dimensional methods', 'tomography, x-ray computed', 'cerebrovascular circulation', 'image processing, computer-assisted methods', 'cerebrovascular segmentation', 'intracranial hemorrhage', 'phase-contrast magnetic resonance angiography', 'radon transform', 'stereotactic neurosurgery']",Cerebrovascular segmentation in phase-contrast magnetic resonance angiography by a Radon projection composition network.,"Cerebrovascular segmentation based on phase-contrast magnetic resonance angiography (PC-MRA) provides patient-specific intracranial vascular structures for neurosurgery planning. However, the vascular complex topology and spatial sparsity make the task challenging. Inspired by the computed tomography reconstruction, this paper proposes a Radon Projection Composition Network (RPC-Net) for cerebrovascular segmentation in PC-MRA, aiming to enhance distribution probability of vessels and fully obtain the vascular topological information. Multi-directional Radon projections of the images are introduced and a two-stream network is used to learn the features of the 3D images and projections. The projection domain features are remapped to the 3D image domain by filtered back-projection transform to obtain the image-projection joint features for predicting vessel voxels. A four-fold cross-validation experiment was performed on a local dataset containing 128 PC-MRA scans. The average Dice similarity coefficient, precision and recall of the RPC-Net achieved 86.12%, 85.91% and 86.50%, respectively, while the average completeness and validity of the vessel structure were 85.50% and 92.38%, respectively. The proposed method outperformed the existing methods, especially with significant improvement on the extraction of small and low-intensity vessels. Moreover, the applicability of the segmentation for electrode trajectory planning was also validated. The results demonstrate that the RPC-Net realizes an accurate and complete cerebrovascular segmentation and has potential applications in assisting neurosurgery preoperative planning."
2023 May,Medical image analysis,Med Image Anal. 2023 May;86:102744. doi: 10.1016/j.media.2023.102744. Epub 2023 ,"['Li, Ziyu', 'Fan, Qiuyun', 'Bilgic, Berkin', 'Wang, Guangzhi', 'Wu, Wenchuan', 'Polimeni, Jonathan R', 'Miller, Karla L', 'Huang, Susie Y', 'Tian, Qiyuan']","['humans', 'aged', ' deep learning', 'image processing, computer-assisted methods', 'diffusion magnetic resonance imaging methods', 'magnetic resonance imaging methods', 'data analysis', 'brain segmentation', 'convolutional neural network', 'cortical surface reconstruction', 'diffusion tractography', 'generative adversarial network', 'image co-registration']",Diffusion MRI data analysis assisted by deep learning synthesized anatomical images (DeepAnat).,"Diffusion MRI is a useful neuroimaging tool for non-invasive mapping of human brain microstructure and structural connections. The analysis of diffusion MRI data often requires brain segmentation, including volumetric segmentation and cerebral cortical surfaces, from additional high-resolution T(1)-weighted (T1w) anatomical MRI data, which may be unacquired, corrupted by subject motion or hardware failure, or cannot be accurately co-registered to the diffusion data that are not corrected for susceptibility-induced geometric distortion. To address these challenges, this study proposes to synthesize high-quality T1w anatomical images directly from diffusion data using convolutional neural networks (CNNs) (entitled ""DeepAnat""), including a U-Net and a hybrid generative adversarial network (GAN), and perform brain segmentation on synthesized T1w images or assist the co-registration using synthesized T1w images. The quantitative and systematic evaluations using data of 60 young subjects provided by the Human Connectome Project (HCP) show that the synthesized T1w images and results for brain segmentation and comprehensive diffusion analysis tasks are highly similar to those from native T1w data. The brain segmentation accuracy is slightly higher for the U-Net than the GAN. The efficacy of DeepAnat is further validated on a larger dataset of 300 more elderly subjects provided by the UK Biobank. Moreover, the U-Nets trained and validated on the HCP and UK Biobank data are shown to be highly generalizable to the diffusion data from Massachusetts General Hospital Connectome Diffusion Microstructure Dataset (MGH CDMD) acquired with different hardware systems and imaging protocols and therefore can be used directly without retraining or with fine-tuning for further improved performance. Finally, it is quantitatively demonstrated that the alignment between native T1w images and diffusion images uncorrected for geometric distortion assisted by synthesized T1w images substantially improves upon that by directly co-registering the diffusion and T1w images using the data of 20 subjects from MGH CDMD. In summary, our study demonstrates the benefits and practical feasibility of DeepAnat for assisting various diffusion MRI data analyses and supports its use in neuroscientific applications."
2023 Apr,International orthopaedics,Int Orthop. 2023 Apr;47(4):1061-1069. doi: 10.1007/s00264-022-05664-y. Epub 2022 ,"['Wang, Tianyi', 'Wang, Lei', 'Zang, Lei', 'Wang, Guangzhi', 'Peng, Wuke', 'Ding, Hui', 'Fan, Ning', 'Yuan, Shuo', 'Du, Peng', 'Si, Fangda']","['humans', ' foraminotomy adverse effects methods', 'decompression, surgical adverse effects methods', ' spinal stenosis diagnostic imaging surgery', 'retrospective studies', 'lumbar vertebrae diagnostic imaging surgery', 'treatment outcome', 'foramen measurement', 'foraminotomy', 'lumbar foraminal stenosis', 'three-dimensional']",Morphometric change in intervertebral foramen after percutaneous endoscopic lumbar foraminotomy: an in vivo radiographic study based on three-dimensional foramen reconstruction.,"PURPOSE: This study aimed to perform in vivo three-dimensional (3D) quantitative measurements of morphometric changes in the foramen in patients with lumbar foraminal stenosis (LFS) undergoing percutaneous endoscopic lumbar foraminotomy (PELF) and investigate the relationship between anatomical changes in the foramen and clinical outcomes. METHODS: We retrospectively reviewed consecutive patients with LFS treated with PELF between January 2016 and September 2020 at our centre. Clinical outcomes were evaluated. Foraminal volume (FV) and foraminal minimal area (FMA) were calculated using a novel vertebral and foramen segmentation method. A comparison of the anatomical parameters of the foramen were conducted between the satisfied and unsatisfied groups divided based on the modified MacNab criteria. RESULTS: A total of 26 eligible patients with a mean follow-up of 3.6 years were enrolled. A significant increase was found in overall FV (71.5%) from 1.436 ± 0.396 to 2.464 ± 0.719 cm(3) (P < 0.001) and FMA (109.5%) from 0.849 ± 0.207 to 1.780 ± 0.524 cm(2). All clinical outcomes were significantly improved (P < 0.001) after PELF. No significant difference was found in changes in neither FV nor FMA between the two groups. CONCLUSION: Clinical results and foraminal dimensions improved significantly after PELF, indicating that PELF was a prominent technique suitable for LFS because of the direct decompression at impingement structures. No relationship was found between morphometric changes and clinical outcomes, revealing that full-scale endoscopic decompression is necessary and adequate for LFS, and unsatisfactory outcomes are less likely to result from decompression procedure."
2022,BioMed research international,Biomed Res Int. 2022 Aug 31;2022:8504149. doi: 10.1155/2022/8504149. eCollection ,"['Ku, Yiji', 'Ding, Hui', 'Wang, Guangzhi']","['computers', 'endoscopy, gastrointestinal', ' gastroscopy', 'humans', ' juniperus', 'retrospective studies']",Efficient Synchronous Real-Time CADe for Multicategory Lesions in Gastroscopy by Using Multiclass Detection Model.,"Often more than one category of lesions in patients' gastrointestinal tracts need to be found in the endoscopic examination. Therefore, there is a need to establish an efficient synchronous real-time computer-aided detection (CADe) system for multicategory lesion detection. This paper proposes to build a system with a multiclass detection model based on the YOLOv5 to detect multicategory lesions synchronously in real-time. Two joint detection CADe systems using multiple single-class detection models with the same structure in parallel or series are established for comparison. A retrospective dataset containing 31117 images from 3747 patients is used in this study. To train the model, various online data augmentation methods and multiple loss functions are used. The proposed CADe system can synchronously detect cancers, gastrointestinal stromal tumours, polyps, and ulcers from different quality input images with 98% precision, 89% recall, and 90.2% mAP. The detection speed is 47 frames per second with a 0.04 s latency on a PC workstation. Compared to the two joint detection CADe systems, the proposed system is more accurate with faster speed and lower latency. Two extra experiments indicated that the lesion detection model based on YOLOv5x could provide better performance than other common YOLO structures and that different accuracy metrics and lesion categories have different requirements for the number of training images. The proposed synchronous real-time CADe system with the multiclass detection model can detect multicategory lesions with high accuracy and speed and low latency on limited hardware. It expands the clinical application of CADe in endoscopy and uses expensive labelled medical images more efficiently than multiple single-category lesion models for joint detection."
2022 Sep,Computers in biology and medicine,Comput Biol Med. 2022 Sep;148:105951. doi: 10.1016/j.compbiomed.2022.105951. Epub ,"['Weng, Wenhai', 'Ku, Yijie', 'Chen, Zhong', 'Zheng, Huanqin', 'Xu, Chuang', 'Ding, Hui', 'Li, Lei', 'Wang, Guangzhi']","[' calcinosis', ' computed tomography angiography', 'femoral artery', 'humans', 'image processing, computer-assisted', 'neural networks, computer', 'thigh', 'atherosclerotic occlusion', 'calcification segmentation', 'convolutional neural network', 'lower extremity cta', 'superficial femoral artery']",Superficial femoral artery calcification segmentation and detection in CT angiography using convolutional neural network.,"PURPOSE: Calcification detection and segmentation in CT angiography (CTA) is the basis of preoperative calcification assessment and treatment determination in endovascular interventional surgery for lower-extremity atherosclerotic occlusion disease. However, the complex calcification-lumen contrast and difficult-to-locate occluded superficial femoral artery (SFA) make it challenging. This paper proposes a fast and accurate method without artery extraction to segment and detect SFA calcification in CTA using a convolutional neural network. METHOD: The thigh region containing the target SFA is first automatically extracted based on the human anatomical position. Then, 3D Unet with a large receptive field is used to segment calcifications in image patches with a large field of view. The lumen label is introduced and a calcification-lumen contrast data augmentation method is developed to improve the segmentation performance on images with varying calcification-lumen contrast. Finally, false-positive errors far from the SFA are eliminated based on the SFA centerline estimated from the segmentation results. RESULTS: Five-fold cross validation experiments were conducted on a local dataset of CTA images containing 128 SFAs. The average Dice scores of calcification segmentation on the entire, occluded and non-occluded arteries achieved 89.12%, 92.98% and 88.96%, respectively. The average recall and precision of calcification detection on each slice were 93.50% and 91.51%, respectively. The total processing time was about 2 min. CONCLUSIONS: This paper proposes a CNN-based method to segment and detect SFA calcification in CTA without artery extraction for varying calcification-lumen intensity contrast and arterial occlusion situations. The work can be used to improve clinical calcification analysis."
2022 Jun,Computerized medical imaging and graphics : the official journal of the ,Comput Med Imaging Graph. 2022 Jun;98:102070. doi: ,"['Chen, Cheng', 'Zhou, Kangneng', 'Guo, Xiaoyu', 'Wang, Zhiliang', 'Xiao, Ruoxiu', 'Wang, Guangzhi']","['humans', ' magnetic resonance angiography methods', ' magnetic resonance imaging', 'reproducibility of results', 'cerebrovascular segmentation', 'contrast-enhanced magnetic, resonance angiography', 'dempster-shafer evidence theory', 'phase-contrast magnetic resonance angiography', 'vessel completion']",Cerebrovascular segmentation in phase-contrast magnetic resonance angiography by multi-feature fusion and vessel completion.,"Phase-Contrast Magnetic Resonance Angiography (PC-MRA) is a potential way of cerebrovascular imaging, which can suppress non-vascular tissue while presenting vessels. But PC-MRA will bring much noise and is easy to result in partially broken vessels. Usually, deep learning is an effective way to quantify vessels. However, how to choose an appropriate deep learning model is an important and difficult issue. In this work, we adopted the Dempster-Shafer (DS) evidence theory to fuse multi-feature from different models. Also, the vessel thinning and completion method were proposed to fill in information of broken cerebrovascular in PC-MRA images. For quantitative analysis, we chose Precision (PRE), Recall (REC), and Dice Similarity Coefficient (DSC) as assessment metrics, and established U-Net, V-Net, and Dense-Net. The 22 subjects tested this method. Comparison with different fusion strategies and common deep learning models have confirmed the effectiveness of the proposed method. In addition, we scanned Contrast-Enhanced MRA (CE-MRA) for 12 patients to verify reliability of vessel completion. Experiments show that the completion vessel can improve the matching ratio with CE-MRA, which has clinical potential."
