time,journal,doi_info,authors,key words,title,abstract
2024 Mar 6,The Journal of neuroscience : the official journal of the Society for ,J Neurosci. 2024 Mar 6;44(10):e1655232024. doi: 10.1523/JNEUROSCI.1655-23.2024.,"['Liu, Mengting', 'Gao, Yixiao', 'Xin, Fengyuan', 'Hu, Ying', 'Wang, Tao', 'Xie, Fenghua', 'Shao, Chengjun', 'Li, Tianyu', 'Wang, Ningyu', 'Yuan, Kexin']","['female', 'male', 'mice', 'animals', ' parvalbumins metabolism', ' inferior colliculi physiology', 'neurons physiology', 'auditory pathways physiology', 'somatostatin metabolism', 'auditory thalamus', 'biomarker', 'inferior colliculus', 'parvalbumin', 'somatostatin', 'tectothalamic pathway']",Parvalbumin and Somatostatin: Biomarkers for Two Parallel Tectothalamic Pathways in the Auditory Midbrain.,
2023 Oct 18,Neuron,Neuron. 2023 Oct 18;111(20):3270-3287.e8. doi: 10.1016/j.neuron.2023.07.007. Epub ,"['Wang, Yiwei', 'You, Ling', 'Tan, KaMun', 'Li, Meijie', 'Zou, Jingshan', 'Zhao, Zhifeng', 'Hu, Wenxin', 'Li, Tianyu', 'Xie, Fenghua', 'Li, Caiqin', 'Yuan, Ruizhi', 'Ding, Kai', 'Cao, Lingwei', 'Xin, Fengyuan', 'Shang, Congping', 'Liu, Miaomiao', 'Gao, Yixiao', 'Wei, Liqiang', 'You, Zhiwei', 'Gao, Xiaorong', 'Xiong, Wei', 'Cao, Peng', 'Luo, Minmin', 'Chen, Feng', 'Li, Kun', 'Wu, Jiamin', 'Hong, Bo', 'Yuan, Kexin']","['mice', 'animals', ' arousal physiology', ' thalamus physiology', 'wakefulness physiology', 'neurons physiology', 'synaptic transmission', 'arousal', 'auditory thalamus', 'defensive behavior', 'sensory system', 'temporal association cortex', 'thalamocortical projection', 'two-photon microscopy', 'wakefulness']",A common thalamic hub for general and defensive arousal control.,"The expression of defensive responses to alerting sensory cues requires both general arousal and a specific arousal state associated with defensive emotions. However, it remains unclear whether these two forms of arousal can be regulated by common brain regions. We discovered that the medial sector of the auditory thalamus (ATm) in mice is a thalamic hub controlling both general and defensive arousal. The spontaneous activity of VGluT2-expressing ATm (ATm(VGluT2+)) neurons was correlated with and causally contributed to wakefulness. In sleeping mice, sustained ATm(VGluT2+) population responses were predictive of sensory-induced arousal, the likelihood of which was markedly decreased by inhibiting ATm(VGluT2+) neurons or multiple downstream pathways. In awake mice, ATm(VGluT2+) activation led to heightened arousal accompanied by excessive anxiety and avoidance behavior. Notably, blocking their neurotransmission abolished alerting stimuli-induced defensive behaviors. These findings may shed light on the comorbidity of sleep disturbances and abnormal sensory sensitivity in specific brain disorders."
2022,Frontiers in immunology,Front Immunol. 2022 Dec 14;13:1059364. doi: 10.3389/fimmu.2022.1059364. ,"['Zhou, Xing', 'Wei, Jiacheng', 'Li, Liang', 'Shu, Zhenfeng', 'You, Ling', 'Liu, Yang', 'Zhao, Ruozhu', 'Yao, Jiacheng', 'Wang, Jianbin', 'Luo, Minmin', 'Shu, Yousheng', 'Yuan, Kexin', 'Qi, Hai']","['mice', 'animals', ' neurons metabolism', 'microglia metabolism', 'pyramidal cells', 'cerebral cortex', ' autism spectrum disorder metabolism', 'pten', 'vglut1', 'auditory cortex', 'autism spectrum disorders', 'cerebral cortex', 'layer 5', 'microglia', 'phagocytosis']",Microglial Pten safeguards postnatal integrity of the cortex and sociability.,"Microglial abnormalities may contribute to neurodevelopmental disorders. PTEN is implicated as a susceptibility gene for autism spectrum disorders and its germline ablation in mice causes behavioral abnormalities. Here we find postnatal PTEN deletion in microglia causes deficits in sociability and novel object recognition test. Mutant mice harbor markedly more activated microglia that manifest enhanced phagocytosis. Interestingly, two-week postponement of microglia PTEN ablation leads to no social interaction defects, even though mutant microglia remain abnormal in adult animals. Disturbed neurodevelopment caused by early PTEN deletion in microglia is characterized by insufficient VGLUT1 protein in synaptosomes, likely a consequence of enhanced removal by microglia. In correlation, in vitro acute slice recordings demonstrate weakened synaptic inputs to layer 5 pyramidal neurons in the developing cortex. Therefore, microglial PTEN safeguards integrity of neural substrates underlying sociability in a developmentally determined manner."
2023 Jan 10,Neuroscience letters,Neurosci Lett. 2023 Jan 10;793:136976. doi: 10.1016/j.neulet.2022.136976. Epub ,"['Liu, Mengting', 'Xie, Fenghua', 'Dai, Jinsheng', 'Zhang, Juan', 'Yuan, Kexin', 'Wang, Ningyu']","['animals', 'mice', ' inferior colliculi physiology', 'auditory pathways', 'neurons physiology', 'brain mapping', ' auditory cortex physiology', 'inferior colliculus', 'multimodal', 'non-lemniscal', 'retrograde']",Brain-wide inputs to the non-lemniscal inferior colliculus in mice.,"The inferior colliculus (IC) is the hub along the auditory pathway. Although it is fundamentally an auditory structure, the neurons in the IC, especially its non-lemniscal part also respond to multimodal stimuli. However, the sources of these non-auditory inputs are unclear. In this study, we injected the rAAV2-retro virus, a virus with efficient retrograde function, into the non-lemniscal IC of the Ai14 reporter line. The majority of cortical and subcortical brain areas, including cognitive, motor, somatosensory, auditory, and visual-related regions were revealed. The quantified whole brain input data have showed that the non-lemniscal IC received a higher proportion of inputs from ipsilateral cortical brain regions. The non-lemniscal IC integrates different multimodal patterns, for the dorsal cortex (ICD) receives primarily auditory inputs, and the external cortex (ICE) receives primarily auditory and somatosensory inputs. These findings demonstrate that auditory integration is shaped by a network of multi-sensory connections in the non-lemniscal IC subregions."
2021 Jul 13,Proceedings of the National Academy of Sciences of the United States of America,Proc Natl Acad Sci U S A. 2021 Jul 13;118(28):e2101207118. doi: ,"['Li, Jie', 'Liu, Shuang', 'Song, Chenmeng', 'Hu, Qun', 'Zhao, Zhikai', 'Deng, Tuantuan', 'Wang, Yi', 'Zhu, Tong', 'Zou, Linzhi', 'Wang, Shufeng', 'Chen, Jiaofeng', 'Liu, Lian', 'Hou, Hanqing', 'Yuan, Kexin', 'Zheng, Hairong', 'Liu, Zhiyong', 'Chen, Xiaowei', 'Sun, Wenzhi', 'Xiao, Bailong', 'Xiong, Wei']","['animals', 'calcium metabolism', 'freezing reaction, cataleptic', 'gene deletion', 'hek293 cells', 'hair cells, auditory, outer  metabolism', 'hearing  physiology', 'humans', 'ion channels  metabolism', 'mechanotransduction, cellular', 'mice, knockout', ' ultrasonics', 'mice', 'piezo2', 'hair cells', 'hearing', 'mechanotransduction', 'ultrasonic vocalization']",PIEZO2 mediates ultrasonic hearing via cochlear outer hair cells in mice.,"Ultrasonic hearing and vocalization are the physiological mechanisms controlling echolocation used in hunting and navigation by microbats and bottleneck dolphins and for social communication by mice and rats. The molecular and cellular basis for ultrasonic hearing is as yet unknown. Here, we show that knockout of the mechanosensitive ion channel PIEZO2 in cochlea disrupts ultrasonic- but not low-frequency hearing in mice, as shown by audiometry and acoustically associative freezing behavior. Deletion of Piezo2 in outer hair cells (OHCs) specifically abolishes associative learning in mice during hearing exposure at ultrasonic frequencies. Ex vivo cochlear Ca(2+) imaging has revealed that ultrasonic transduction requires both PIEZO2 and the hair-cell mechanotransduction channel. The present study demonstrates that OHCs serve as effector cells, combining with PIEZO2 as an essential molecule for ultrasonic hearing in mice."
2020 May 14,"Cerebral cortex (New York, N.Y. : 1991)",Cereb Cortex. 2020 May 14;30(5):3130-3147. doi: 10.1093/cercor/bhz299.,"['Shih, Jonathan Y', 'Yuan, Kexin', 'Atencio, Craig A', 'Schreiner, Christoph E']","['acoustic stimulation  methods', 'action potentials physiology', 'animals', 'auditory cortex  physiology', 'auditory perception  physiology', 'cats', 'prosencephalon  physiology', 'auditory forebrain', 'cat', 'multiple filters', 'predictions', 'spectrotemporal receptive fields', 'transformations']","Distinct Manifestations of Cooperative, Multidimensional Stimulus Representations in Different Auditory Forebrain Stations.","Classic spectrotemporal receptive fields (STRFs) for auditory neurons are usually expressed as a single linear filter representing a single encoded stimulus feature. Multifilter STRF models represent the stimulus-response relationship of primary auditory cortex (A1) neurons more accurately because they can capture multiple stimulus features. To determine whether multifilter processing is unique to A1, we compared the utility of single-filter versus multifilter STRF models in the medial geniculate body (MGB), anterior auditory field (AAF), and A1 of ketamine-anesthetized cats. We estimated STRFs using both spike-triggered average (STA) and maximally informative dimension (MID) methods. Comparison of basic filter properties of first maximally informative dimension (MID1) and second maximally informative dimension (MID2) in the 3 stations revealed broader spectral integration of MID2s in MGBv and A1 as opposed to AAF. MID2 peak latency was substantially longer than for STAs and MID1s in all 3 stations. The 2-filter MID model captured more information and yielded better predictions in many neurons from all 3 areas but disproportionately more so in AAF and A1 compared with MGBv. Significantly, information-enhancing cooperation between the 2 MIDs was largely restricted to A1 neurons. This demonstrates significant differences in how these 3 forebrain stations process auditory information, as expressed in effective and synergistic multifilter processing."
2017 Dec 27,Micromachines,Micromachines (Basel). 2017 Dec 27;9(1):6. doi: 10.3390/mi9010006.,"['Zhang, Yuwei', 'Luo, Deng', 'Ou, Ting', 'Yuan, Zhangyi', 'Huang, Heng', 'You, Ling', 'Yue, Yin', 'Zhang, Milin', 'Li, Dongmei', 'Li, Guolin', 'Yuan, Kexin', 'Wang, Zhihua']","['arbitrary channel combination', 'functional electrical stimulation', 'implantable medical device', 'multi-channel neural stimulator', 'programmable current generator']",Design of a Compact Wireless Multi-Channel High Area-Efficient Stimulator with Arbitrary Channel Configuration.,"This paper presents the design of a wireless, implantable, multi-channel, programmable stimulator with arbitrary channel combination. A novel channel management module using a switch array is presented, enabling arbitrary channel configuration with a silicon area reduction of 81%. The chip was fabricated in a 0.18- μ m Taiwan semiconductor manufacturing company (TSMC) high voltage (HV) complementary metal⁻oxide semiconductor (CMOS) technology. A stimulator system was realized using the proposed integrated circuit (IC). A wireless communication link was established between a specified Android-based graphical user interface (GUI) and the proposed device for control of the stimulation pattern and wireless battery charging. The size of the entire system occupies a volume of only 14 mm × 14 mm × 4 mm (without the battery). Experimental results demonstrated a successful independent configuration between different channels, as well as an arbitrary channel combination, as expected."
2019 Jun 1,"Cerebral cortex (New York, N.Y. : 1991)",Cereb Cortex. 2019 Jun 1;29(6):2437-2454. doi: 10.1093/cercor/bhy115.,"['Cai, Dongqin', 'Yue, Yin', 'Su, Xin', 'Liu, Miaomiao', 'Wang, Yiwei', 'You, Ling', 'Xie, Fenghua', 'Deng, Fei', 'Chen, Feng', 'Luo, Minmin', 'Yuan, Kexin']","['animals', 'auditory pathways  anatomy & histology', 'female', 'male', 'mice', 'mice, inbred c57bl', 'thalamus  anatomy & histology', 'calcium-binding proteins', 'connectivity', 'mouse', 'nonlemniscal auditory thalamus', 'virus-assisted tracing']",Distinct Anatomical Connectivity Patterns Differentiate Subdivisions of the Nonlemniscal Auditory Thalamus in Mice.,"Systematic examination of the inputs and outputs of the nonlemniscal auditory thalamus will facilitate the functional elucidation of this complex structure in the central auditory system. In mice, comprehensive tracing studies that reveal the long-range connectivity of the nonlemniscal auditory thalamus are lacking. To this end, we used Cre-inducible anterograde and monosynaptic retrograde viruses in Calbindin-2A-dgCre-D and Calretinin-IRES-Cre mice, focusing on the differences across subdivisions of the nonlemniscal auditory thalamus. We found that, 1) the dorsal and medial parts of the auditory thalamus were predominantly connected to sensory processing centers, whereas the posterior intralaminar (PIN) and peripeduncular nucleus (PP) were additionally connected to emotion and motivation modulation centers; 2) ventral auditory cortical areas were the major source of cortical inputs for all subdivisions, and the PIN/PP received more inputs from cortical layer 5 than other subdivisions did; 3) deep layers of the superior colliculus and rostral part of the nonlemniscal inferior colliculus preferentially projected to the PIN/PP; and 4) compared with the dorsal auditory thalamus, the PIN/PP mainly innervated association cortices. In addition, new brain areas connected to the nonlemniscal auditory thalamus, mostly the PIN/PP, were identified. Our results suggested subdivision-specific function of the nonlemniscal auditory thalamus in sound processing."
2018 Dec 1,"Cerebral cortex (New York, N.Y. : 1991)",Cereb Cortex. 2018 Dec 1;28(12):4319-4335. doi: 10.1093/cercor/bhx284.,"['Xie, Fenghua', 'You, Ling', 'Cai, Dongqin', 'Liu, Miaomiao', 'Yue, Yin', 'Wang, Yiwei', 'Yuan, Kexin']","['acoustic stimulation', 'adaptation, physiological', 'animals', 'auditory cortex  growth & development', 'evoked potentials, auditory', 'female', ' neural inhibition', 'pyramidal cells  physiology', 'rats, sprague-dawley', 'time factors']",Fast Inhibitory Decay Facilitates Adult-like Temporal Processing in Layer 5 of Developing Primary Auditory Cortex.,"The protracted maturational process of temporal processing in layer 4 (L4) of primary auditory cortex (A1) has been extensively studied. Accumulating evidences show that layer 5 (L5) receives direct thalamic inputs as well. How the temporal responses in L5 may developmentally emerge remains unclear. Using in vivo loose-patch recordings in rat A1, we found that putative pyramidal (Pyr) neurons in developing L5 exhibited adult-like stimulus-following ability but less bursting shortly after hearing onset. L5 Pyr neurons in adult A1 exhibited phase-locking similar to L4 neurons, while L5 fast-spiking (FS) neurons showed greater phase-locking at 7 and 12.5 pps. In developing L5, whole-cell recordings revealed inhibition with decay constant comparable to that in adult L5, thereby avoiding the summation of inhibition that contributed to the strong adaptation in L4. Given the targets of L5 outputs, the relatively precocious temporal processing in L5 might contribute to temporal response maturation in connected cortical and subcortical areas. Our findings were in agreement with the idea that L5 may be a ""hub"" for processing cortical inputs and outputs that can operate independently of L4."
2018 May 1,"Cerebral cortex (New York, N.Y. : 1991)",Cereb Cortex. 2018 May 1;28(5):1610-1624. doi: 10.1093/cercor/bhx057.,"['Cai, Dongqin', 'Han, Rongrong', 'Liu, Miaomiao', 'Xie, Fenghua', 'You, Ling', 'Zheng, Yi', 'Zhao, Limin', 'Yao, Jun', 'Wang, Yiwei', 'Yue, Yin', 'Schreiner, Christoph E', 'Yuan, Kexin']","['acoustic stimulation', 'action potentials  physiology', 'age factors', 'animals', 'animals, newborn', 'auditory cortex  cytology  growth & development', 'electric impedance', 'neural inhibition  physiology', 'neurons classification  physiology', 'patch-clamp techniques', 'rats', 'rats, sprague-dawley', 'time factors']",A Critical Role of Inhibition in Temporal Processing Maturation in the Primary Auditory Cortex.,"Faithful representation of sound envelopes in primary auditory cortex (A1) is vital for temporal processing and perception of natural sounds. However, the emergence of cortical temporal processing mechanisms during development remains poorly understood. Although cortical inhibition has been proposed to play an important role in this process, direct in-vivo evidence has been lacking. Using loose-patch recordings in rat A1 immediately after hearing onset, we found that stimulus-following ability in fast-spiking neurons was significantly better than in regular-spiking (RS) neurons. In-vivo whole-cell recordings of RS neurons revealed that inhibition in the developing A1 demonstrated much weaker adaptation to repetitive stimuli than in adult A1. Furthermore, inhibitory synaptic inputs were of longer duration than observed in vitro and in adults. Early in development, overlap of the prolonged inhibition evoked by 2 closely following stimuli disrupted the classical temporal sequence between excitation and inhibition, resulting in slower following capacity. During maturation, inhibitory duration gradually shortened accompanied by an improving temporal following ability of RS neurons. Both inhibitory duration and stimulus-following ability demonstrated exposure-based plasticity. These results demonstrate the role of inhibition in setting the pace for experience-dependent maturation of temporal processing in the auditory cortex."
