time,journal,doi_info,authors,key words,title,abstract
2024 May 21,Journal of the American Heart Association,J Am Heart Assoc. 2024 May 21;13(10):e032856. doi: 10.1161/JAHA.123.032856. Epub ,"['Li, Jin', 'Bian, Yueyan', 'Wu, Fang', 'Fan, Zhaoyang', 'Zhang, Chen', 'Zhao, Xihai', 'Ji, Xunming', 'Yang, Qi']","['humans', 'male', 'female', 'aged', 'middle aged', ' plaque, atherosclerotic', 'prospective studies', 'cerebral infarction diagnostic imaging pathology', 'magnetic resonance angiography', 'basal ganglia cerebrovascular disease diagnostic imaging pathology', 'asymptomatic diseases', 'cerebral angiography methods', 'atherosclerosis', 'lenticulostriate artery', 'magnetic resonance imaging', 'middle cerebral artery', 'single subcortical infarction']",Association of Morphology of Lenticulostriate Arteries and Proximal Plaque Characteristics With Single Subcortical Infarction: A Whole-Brain High-Resolution Vessel Wall Imaging Study.,"BACKGROUND: We aimed to investigate the association of characteristics of lenticulostriate artery (LSA) morphology and parental atheromatous disease (PAD) with single subcortical infarction (SSI) and to explore whether the LSA morphology is correlated with proximal plaque features in asymptomatic PAD. METHODS AND RESULTS: Patients with acute SSI were prospectively enrolled and classified as large- and small-SSI groups. The clinical data and imaging features of LSA morphology (branches, length, dilation, and tortuosity) and middle cerebral artery plaques (normalized wall index, remodeling index, enhancement degree, and hyperintense plaques) were evaluated. Logistic regression was performed to determine the association of large SSIs with morphologic features of LSAs and plaques. The Spearman correlation between the morphologic characteristics of LSAs and plaque features in asymptomatic PAD was analyzed. Of the 121 patients recruited with symptomatic PAD, 102 had coexisting asymptomatic contralateral PAD. The mean length of LSAs (odds ratio, 0.84 [95%"
2024 May 29,The British journal of radiology,Br J Radiol. 2024 May 29;97(1158):1118-1124. doi: 10.1093/bjr/tqae057.,"['Meddings, Zakaria', 'Rundo, Leonardo', 'Sadat, Umar', 'Zhao, Xihai', 'Teng, Zhongzhao', 'Graves, Martin J']","['humans', 'male', 'female', 'middle aged', ' carotid stenosis diagnostic imaging', ' plaque, atherosclerotic diagnostic imaging', ' magnetic resonance imaging methods', 'reproducibility of results', 'risk assessment', 'aged', 'ischemic attack, transient diagnostic imaging', 'stroke diagnostic imaging', 'machine learning', 'radiomics', 'mri', 'atherosclerosis', 'carotid', 'radiomics', 'stroke']",Robustness and classification capabilities of MRI radiomic features in identifying carotid plaque vulnerability.,"OBJECTIVES: To assess how radiomic features may be combined with plaque morphological and compositional features identified by multi-contrast MRI to improve upon conventional risk assessment models in determining culprit carotid artery lesions. METHODS: Fifty-five patients (mean age: 62.6; 35 males) with bilateral carotid stenosis who experienced transient ischaemic attack (TIA) or stroke were included from the CARE-II multi-centre carotid imaging trial (ClinicalTrials.gov Identifier: NCT02017756). They underwent MRI within 2 weeks of the event. Classification capability in distinguishing culprit lesions was assessed by machine learning. Repeatability and reproducibility of the results were investigated by assessing the robustness of the radiomic features. RESULTS: Radiomics combined with a relatively conventional plaque morphological and compositional metric-based model provided incremental value over a conventional model alone (area under curve [AUC], 0.819 ± 0.002 vs 0.689 ± 0.019, respectively, P = .014). The radiomic model alone also provided value over the conventional model (AUC, 0.805 ± 0.003 vs 0.689 ± 0.019, respectively, P = .031). T2-weighted imaging-based radiomic features had consistently higher robustness and classification capabilities compared with T1-weighted images. Higher-dimensional radiomic features outperformed first-order features. Grey Level Co-occurrence Matrix, Grey Level Dependence Matrix, and Grey Level Size Zone Matrix sub-types were particularly useful in identifying textures which could detect vulnerable lesions. CONCLUSIONS: The combination of MRI-based radiomic features and lesion morphological and compositional parameters provided added value to the reference-standard risk assessment for carotid atherosclerosis. This may improve future risk stratification for individuals at risk of major adverse ischaemic cerebrovascular events. ADVANCES IN KNOWLEDGE: The clinical relevance of this work is that it addresses the need for a more comprehensive method of risk assessment for patients at risk of ischaemic stroke, beyond conventional stenosis measurement. This paper shows that in the case of carotid stroke, high-dimensional radiomics features can improve classification capabilities compared with stenosis measurement alone."
2024,Frontiers in neurology,Front Neurol. 2024 Apr 12;15:1372778. doi: 10.3389/fneur.2024.1372778. ,"['Zou, Yu', 'Tu, Jianglong', 'Hu, Pengxin', 'Zhao, Xihai', 'Tang, Xiaoping']","['acute ischemic stroke', 'artificial intelligence', 'core infarct site', 'core infarct volume', 'mechanical thrombectomy', 'the alberta stroke program early ct score']",The prognostic value of ASPECTS in specific regions following mechanical thrombectomy in patients with acute ischemic stroke from large-vessel occlusion.,"OBJECTIVE: The aim of this study is to investigate the relationship between the volume of specific regional infarction and the prognosis of patients who undergo mechanical thrombectomy (MT) for acute large vessel occlusion. METHODS: In this study, we collected the clinical and imaging features of patients with unilateral acute anterior circulation ischemic stroke from January 2021 to June 2023 in the Second Affiliated Hospital of Nanchang University. All patients underwent CT perfusion and non-contrast CT scan before MT. The ASPECTS was assessed based on imaging data, and artificial intelligence was used to obtain the percentage of infarction in each of the 10 regions of ASPECTS. According to the modified Rankin Scale, the patients were divided into the good prognosis group and poor prognosis group at the 90-day follow-up. Various indicators in the two groups were compared. Multivariable logistic regression was used to assess the risk factors for poor prognosis. The relationship between core infarction volume and the probability of poor prognosis was plotted to analyze the trend of poor prognosis with changes in the proportion of infarction volume. Finally, a receiver operating characteristic curve was constructed to analyze the predictive ability on poor prognosis. RESULTS: A total of 91 patients were included, with 58 patients having a good prognosis (mRS ≤ 2) and 33 patients having a poor prognosis (mRS ≥ 3). Multivariate analysis showed that NIHSS score and core infarction involving the internal capsule and M6 region were independent risk factors for poor prognosis. According to the linear correlation, a higher ratio of core infarction volume in the internal capsule or M6 region was linked to an increased risk of a poor prognosis. However, the non-linear analysis revealed that the prognostic impact of core infarction volume was significant when the ratio was greater than 69.7%. The ROC curve indicated that the combination of NIHSS score, infarct location, and the ratio of infarct volume has an AUC of 0.87, with a sensitivity of 84.8% and a specificity of 84.5%. CONCLUSION: It is important to examine the location and volume of the infarct in the internal capsule and M6 when deciding whether to do a MT."
2024 Jul,Magnetic resonance imaging,Magn Reson Imaging. 2024 Jul;110:86-95. doi: 10.1016/j.mri.2024.04.022. Epub 2024 ,"['Liao, Weibin', 'Shi, Gen', 'Lv, Yi', 'Liu, Lixin', 'Tang, Xihe', 'Jin, Yongjian', 'Ning, Zihan', 'Zhao, Xihai', 'Li, Xuesong', 'Chen, Zhensen']","['humans', ' magnetic resonance angiography methods', ' spin labels', ' machine learning', ' algorithms', ' imaging, three-dimensional methods', 'male', 'female', 'adult', 'cerebral arteries diagnostic imaging', 'image processing, computer-assisted methods', 'cerebrovascular circulation', 'brain diagnostic imaging blood supply', 'arterial spin labeling', 'cerebral vasculature', 'cerebrovascular segmentation', 'dynamic magnetic resonance angiography', 'machine-learning']",Accurate and robust segmentation of cerebral vasculature on four-dimensional arterial spin labeling magnetic resonance angiography using machine-learning approach.,"Segmentation of cerebral vasculature on MR vascular images is of great significance for clinical application and research. However, the existing cerebrovascular segmentation approaches are limited due to insufficient image contrast and complicated algorithms. This study aims to explore the potential of the emerging four-dimensional arterial spin labeling magnetic resonance angiography (4D ASL-MRA) technique for fast and accurate cerebrovascular segmentation with a simple machine-learning approach. Nine temporal features were extracted from the intensity-time signal of each voxel, and eight spatial features from the neighboring voxels. Then, the unsupervised outlier detection algorithm, i.e. Isolation Forest, is used for segmentation of the vascular voxels based on the extracted features. The total length of the centerlines of the intracranial arterial vasculature, the dice similarity coefficient (DSC), and the average Hausdorff Distance (AVGHD) on the cross-sections of small- to large-sized vessels were calculated to evaluate the performance of the segmentation approach on 4D ASL-MRA of 18 subjects. Experiments show that the temporal information on 4D ASL-MRA can largely improve the segmentation performance. In addition, the proposed segmentation approach outperforms the traditional methods that were performed on the 3D image (i.e. the temporal average intensity projection of 4D ASL-MRA) and the previously proposed frame-wise approach. In conclusion, this study demonstrates that accurate and robust segmentation of cerebral vasculature is achievable on 4D ASL-MRA by using a simple machine-learning approach with appropriate features."
2024 Jun,Magnetic resonance imaging,Magn Reson Imaging. 2024 Jun;109:203-210. doi: 10.1016/j.mri.2024.03.025. Epub ,"['Tong, Xinyu', 'He, Huilin', 'Ning, Zihan', 'Shen, Rui', 'Du, Chenlin', 'Zeng, Xiaofeng', 'Wang, Qian', 'He, Zuo-Xiang', 'Xu, Dong', 'Zhao, Xihai']","['female', 'humans', ' scleroderma, systemic diagnostic imaging', 'kidney diagnostic imaging', 'magnetic resonance imaging methods', ' skin ulcer', 'magnetic resonance spectroscopy', 'kidney', 'magnetic resonance imaging', 'multi-parametric imaging', 'quantitative imaging', 'systemic sclerosis']",Characterization of kidneys in patients with systemic sclerosis by multi-parametric magnetic resonance quantitative imaging.,"PURPOSE: To determine the usefulness of multiparametric magnetic resonance (MR) quantitative imaging in characterizing the kidneys in systemic sclerosis (SSc) patients. MATERIAL AND METHODS: Forty-six SSc patients (47.9 ± 12.8 years, 40 females) and 22 age- and sex- matched healthy volunteers (46.1 ± 13.8 years, 20 females) were recruited and underwent renal MR imaging by acquiring blood oxygen level dependent and saturated multi-delay renal arterial spin labeling (SAMURAI) sequences. The T2* value, T1 value, renal blood flow (RBF), arterial bolus arrival time (aBAT), and tissue bolus arrival time (tBAT) of renal cortex were measured and compared among diffuse cutaneous SSc (dcSSc) and limited cutaneous SSc (lcSSc) groups and healthy controls using One-way ANOVA and analyzed by logistic regression. RESULTS: Compared to healthy volunteers, SSc patients with normal estimated glomerular filtration rate (n = 40) had significantly lower T2* value (P = 0.026) in the left renal cortex, longer T1 value (right: P = 0.015; left: P = 0.023), lower RBF (right: P < 0.001; left: P < 0.001), and shorter tBAT (right: P < 0.001; left: P = 0.005) in both right and left renal cortex after adjusting for demographics. The dcSSc patients (n = 23) had significantly lower RBF in both right (226.7 ± 65.2 mL/100 g/min vs. 278.2 ± 73.5 mL/100 g/min, P = 0.022) and left (194.5 ± 71.5 mL/100 g/min vs. 252.7 ± 84.4 mL/100 g/min, P = 0.020) renal cortex compared to the lcSSc patients (n = 23) after adjusting for demographics, but the significance of the difference was attenuated after further adjusting for modified Rodnan skin score and digital ulcers. CONCLUSION: Multi-parametric MR quantitative imaging, particularly multi-delay ASL perfusion imaging, is a useful technique for characterizing the kidneys and classification of SSc patients."
2024 Mar,European journal of radiology,Eur J Radiol. 2024 Mar;172:111300. doi: 10.1016/j.ejrad.2024.111300. Epub 2024 ,"['Yu, Miaoxin', 'Yang, Dandan', 'Zhang, Runhua', 'Jiang, Yong', 'Qiao, Huiyu', 'Zhao, Xihai', 'Liu, Gaifen', 'Wang, Yongjun']","['male', 'humans', 'middle aged', 'aged', 'cohort studies', ' plaque, atherosclerotic diagnostic imaging pathology', 'constriction, pathologic', 'risk factors', 'magnetic resonance imaging methods', ' stroke pathology', 'carotid arteries pathology', ' atherosclerosis complications', ' intracranial arteriosclerosis diagnostic imaging pathology', 'atherosclerosis', 'carotid artery', 'intracranial artery', 'magnetic resonance imaging', 'progression']",Carotid atherosclerotic plaque predicts progression of intracranial artery atherosclerosis: A MR imaging-based community cohort study.,"PURPOSE: Intracranial artery atherosclerosis (ICAS) progression is associated with stroke. However, the association of carotid plaque with ICAS progression among stroke-free participants is still unclear. This study aimed to evaluate the association between carotid plaque and ICAS progression in stroke-free participants. METHOD: Stroke-free participants were recruited from a community-based cohort study. All participants underwent questionnaire interviews, blood tests, and high-resolution vessel wall magnetic resonance (MR) imaging at baseline and follow-up for around three years. The atherosclerotic plaque was defined as eccentric wall thickening on MR imaging. The presence, location, total number, and burden (maximum wall thickness, length, and stenosis) of carotid and intracranial plaque were evaluated. ICAS progression was defined as the number increased or plaque burden (maximum wall thickness, length, or stenosis increase) increased by ≥ 20 %. The association between carotid plaque and ICAS progression was evaluated using multivariable logistic regression. RESULTS: Of the 312 participants (mean age at baseline: 59.85 ± 13.04 years; 136 males) who completed baseline and follow-up studies with a mean time interval of 3.15 ± 0.59 years, 85 (27.24 %) had progression of ICAS during follow-up. At least one carotid plaque was detected at baseline in 167 (53.53 %) participants. In the multivariable logistic analysis, carotid plaque was a significant predictor for the progression of ICAS (odds ratio, 2.04; 95 % confidence interval, 1.06-3.92; P = 0.032). CONCLUSIONS: Carotid plaque is associated with intracranial artery atherosclerosis progression in stroke-free population. Our findings suggest that carotid plaque may be an effective predictor for intracranial artery atherosclerosis progression."
2024 Jan 23,The British journal of radiology,Br J Radiol. 2024 Jan 23;97(1153):210-220. doi: 10.1093/bjr/tqad011.,"['Jiang, Yuhan', 'Song, Xiaowei', 'Hou, Duoduo', 'Zhao, Xihai', 'Chen, Wenwen', 'Li, Rui', 'Zheng, Zhuozhao', 'Sang, Zhenhua', 'Wu, Jian']","['humans', 'blood pressure', 'blood pressure monitoring, ambulatory', ' brain ischemia', 'constriction, pathologic', 'retrospective studies', ' stroke', 'magnetic resonance imaging', ' intracranial arteriosclerosis', 'magnetic resonance spectroscopy', 'atherosclerosis', 'intraplaque haemorrhage', 'ischaemic stroke', 'morning blood pressure surge']",Morning blood pressure surge and intracranial atherosclerotic plaque characteristics: a high-resolution magnetic resonance vessel wall imaging study.,"OBJECTIVE: To investigate the relationship between morning blood pressure surge (MBPS) and intracranial atherosclerotic plaque burden and vulnerability. METHODS: A total of 267 ischaemic stroke patients were retrospectively analysed. Sleep-trough and prewaking MBPS were calculated from ambulatory blood pressure monitoring (ABPM). Plaque characteristics, including intraplaque haemorrhage (IPH), maximum wall thickness (max WT), and stenosis degree, were obtained from high-resolution MR vessel wall imaging (HR-vwMRI). Linear and logistic regression were used to detect the association. RESULTS: Subjects with the top tertile of sleep-trough MBPS (≥15.1 mmHg) had a lower prevalence (9.1% vs. 19.6%, P = .029) of severe stenosis (≥70%) than others. Subjects within the top tertile of prewaking MBPS (≥7.6 mmHg) had a lower percentage of IPH (27.3% vs. 40.4%, P = .035) than others. After adjusting for stroke risk factors (age, sex, diabetes, hyperlipidaemia, hyperhomocysteinaemia, smoking, and family stroke history) and 24-h mean systolic blood pressure, 10 mmHg sleep-trough MBPS increment was associated with 0.07mm max WT reduction, and the top tertile MBPS group was associated with a lower chance of severe stenosis (odd ratio = 0.407, 95%"
2024 Jun,Neurological sciences : official journal of the Italian Neurological Society and ,Neurol Sci. 2024 Jun;45(6):2845-2851. doi: 10.1007/s10072-024-07315-z. Epub 2024 ,"['Zhao, Benqi', 'Yao, Jingjing', 'Wang, Junkai', 'Li, Jie', 'Shi, Wei', 'Zhang, Chen', 'Zhao, Xihai', 'Qiao, Jian', 'Ma, Yongqiang', 'Xu, Yilan', 'Zheng, Zhuozhao']","['humans', 'male', ' glioma genetics diagnostic imaging pathology', 'female', ' magnetic resonance imaging methods', ' spinal cord neoplasms genetics diagnostic imaging pathology', 'adult', 'middle aged', ' mutation', ' histones genetics', 'young adult', 'aged', 'adolescent', 'spinal cord diagnostic imaging pathology', 'glioma', 'h3 k27m', 'mri', 'spinal cord']",Usefulness of magnetic resonance imaging characteristics in discriminating H3 K27M-mutant gliomas from wildtype gliomas in spinal cord.,"AIM: The aim of this study was to determine the usefulness of magnetic resonance imaging (MRI) characteristics in discriminating H3 K27M-mutant gliomas from wildtype gliomas in the spinal cord. MATERIALS AND METHODS: Fifty-eight patients with spinal cord gliomas were enrolled in this study. The H3 K27 gene status was identified by Sanger sequencing or immunohistochemistry test of resection tumor specimens. The MR imaging characteristics were evaluated and compared between H3 K27M-mutant and wildtype gliomas using the χ(2) test and the Mann-Whitney U test. RESULTS: Of 58 recruited patients, 23 (39.7%) were diagnosed with H3 K27M-mutant glioma. The H3 K27M-mutant gliomas were found to more likely occur in men compared with wildtype gliomas (87.0% vs. 42.9%, p = 0.001). On T2-weighted MR images, the signal-to-noise ratio (SNR) of H3 K27M-mutant gliomas was significantly lower than that of wildtype gliomas (103.9 ± 72.0 vs. 168.9 ± 86.8, p < 0.001). Of 35 wildtype tumors, 60% showed well-defined margin but this feature was not found in all mutant tumors (p < 0.001). The SNR of tumors on contrast-enhanced T1-weighted images of the H3 K27M-mutant gliomas was significantly lower than that of wildtype gliomas (187.7 ± 160.4 vs. 295.1 ± 207.8, p = 0.006). Receiver operating-characteristic analysis revealed that area under curve (AUC) of combination of 1/SNR on T2-weighted images, 1/SNR on contrast-enhanced T1-weighted images, ill-defined margin, and sex reached 0.937 (95%"
2024 Jul,European radiology,Eur Radiol. 2024 Jul;34(7):4831-4840. doi: 10.1007/s00330-023-10539-w. Epub 2024 ,"['Zhang, Jin', 'Chen, Xiaoyi', 'Tian, Jiaqi', 'Sun, Beibei', 'Li, Xiao', 'Wang, Lingling', 'Zhang, Jianjian', 'Zhao, Bing', 'Guo, Qinghua', 'Wan, Jieqing', 'Wu, Peng', 'Zhou, Yan', 'Xu, Jianrong', 'Ding, Shenghao', 'Zhao, Xihai', 'Zhao, Huilin']","['humans', 'female', 'male', ' carotid stenosis diagnostic imaging complications', 'middle aged', ' carotid artery, internal diagnostic imaging pathology', 'aged', 'magnetic resonance angiography methods', 'adult', 'imaging, three-dimensional methods', 'aged, 80 and over', 'atherosclerosis', 'carotid artery disease', 'magnetic resonance imaging']",Associations between atherosclerotic luminal stenosis in the distal internal carotid artery and diffuse wall thickening in its upstream segment.,"OBJECTIVES: Significant atherosclerotic stenosis or occlusion in the distal internal carotid artery (ICA) may induce diffuse wall thickening (DWT) in the upstream arterial wall. This study aimed to assess the association of atherosclerotic steno-occlusive diseases in the distal ICA with DWT in the upstream ipsilateral ICA. METHODS: Individuals with atherosclerotic stenosis in the distal ICA, detected by carotid MR vessel wall imaging using 3D pre- and post-contrast T1 volume isotropic turbo spin-echo acquisition (T1-VISTA) sequence, were enrolled. The associations of vessel wall thickening, the longitudinal extent of DWT, enhancement of the upstream ipsilateral ICA, and stenosis degree in the distal ICA were examined. RESULTS: Totally 64 arteries in 55 patients with atherosclerotic steno-occlusive distal ICAs were included. Significant correlations were found between distal ICA stenosis and DWT in the petrous ICA (r = 0.422, p = 0.001), DWT severity (r = 0.474, p < 0.001), the longitudinal extent of DWT in the ICA (r = 0.671, p < 0.001), enhancement in the petrous ICA (r = 0.409, p = 0.001), and enhancement degree (r = 0.651, p < 0.001). In addition, high degree of enhancement was correlated with both increased wall thickness and increased prevalence of DWT in the petrous ICA (both p < 0.001). CONCLUSIONS: DWT of the petrous ICA is commonly detected in patients with atherosclerotic steno-occlusive disease in the distal ICA. The degree of stenosis in the distal ICA is associated with wall thickening and its longitudinal extent in the upstream segments. CLINICAL RELEVANCE STATEMENT: Diffuse wall thickening is a common secondary change in atherosclerotic steno-occlusive disease in the intracranial carotid. This phenomenon constitutes a confounding factor in the distinction between atherosclerosis and inflammatory vasculopathies, and could be reversed after alleviated atherosclerotic stenosis. KEY POINTS: • Diffuse wall thickening of the petrous internal carotid artery is commonly detected in patients with atherosclerotic steno-occlusive disease in the distal internal carotid artery. • The phenomenon of diffuse wall thickening could be reversed after stenosis alleviation. • Carotid artery atherosclerosis with diffuse wall thickening should warrant a differential diagnosis from other steno-occlusive diseases, including moyamoya diseases and Takayasu aortitis."
2023 Dec 1,Quantitative imaging in medicine and surgery,Quant Imaging Med Surg. 2023 Dec 1;13(12):7695-7705. doi: 10.21037/qims-23-280. ,"['Yu, Shuwan', 'Huo, Ran', 'Qiao, Huiyu', 'Ning, Zihan', 'Xu, Huimin', 'Yang, Dandan', 'Shen, Rui', 'Xu, Ning', 'Han, Hualu', 'Chen, Shuo', 'Liu, Ying', 'Zhao, Xihai']","['perivascular adipose tissue (pvat)', 'carotid artery', 'magnetic resonance imaging (mri)', 'signal intensity', 'vulnerable plaque']",Carotid artery perivascular adipose tissue on magnetic resonance imaging: a potential indicator for carotid vulnerable atherosclerotic plaque.,"BACKGROUND: Magnetic resonance imaging (MRI) has the potential in assessing the inflammation of perivascular adipose tissue (PVAT) due to its excellent soft tissue contrast. However, evidence is lacking for the association between carotid PVAT measured by MRI and carotid vulnerable atherosclerotic plaques. This study aimed to investigate the association between signal intensity of PVAT and vulnerable plaques in carotid arteries using multi-contrast magnetic resonance (MR) vessel wall imaging. METHODS: In this cross-sectional study, a total of 104 patients (mean age, 64.9±7.0 years; 86 men) with unilateral moderate-to-severe atherosclerotic stenosis referred to carotid endarterectomy (CEA) were recruited from April 2018 to December 2020 at Department of Neurosurgery of Peking University Third Hospital. All patients underwent multi-contrast MR vessel wall imaging including time-of-flight (ToF) MR angiography, black-blood T1-weighted (T1w) and T2-weighted (T2w) and simultaneous non-contrast angiography and intraplaque hemorrhage (IPH) imaging sequences. Patients with contraindications to endarterectomy or MRI examinations were excluded. The signal-to-noise ratio (SNR) and contrast-to-noise ratio (CNR) of PVAT were measured on ToF images and vulnerable plaque characteristics including IPH, large lipid-rich necrotic core (LRNC), and fibrous cap rupture (FCR) were identified. The SNR and CNR of PVAT were compared between slices with and without vulnerable plaque features using Mann-Whitney U test and their associations were analyzed using the generalized linear mixed model (GLMM). RESULTS: Carotid artery slices with IPH (30.93±14.56 vs. 27.34±10.02; P<0.001), FCR (30.35±13.82 vs. 27.53±10.37; P=0.006), and vulnerable plaque (29.15±12.52 vs. 27.32±10.05; P=0.016) had significantly higher value of SNR of PVAT compared to those without. After adjusting for clinical confounders, the SNR of PVAT was significantly associated with presence of IPH [odds ratio (OR) =0.627, 95% confidence interval ("
