time,journal,doi_info,authors,key words,title,abstract
2023,Frontiers in robotics and AI,Front Robot AI. 2023 Apr 6;10:1100411. doi: 10.3389/frobt.2023.1100411. ,"['Nizamis, Kostas', 'Ayvaz, Anıl', 'Rijken, Noortje H M', 'Koopman, Bart F J M', 'Sartori, Massimo']","['duchenne muscular dystrophy', 'admittance', 'forearm', 'intention decoding', 'myoelectric control', 'pattern recognition', 'surface electromyography', 'wrist']",Real-time myoelectric control of wrist/hand motion in Duchenne muscular dystrophy: A case study.,"Introduction: Duchenne muscular dystrophy (DMD) is a genetic disorder that induces progressive muscular degeneration. Currently, the increase in DMD individuals' life expectancy is not being matched by an increase in quality of life. The functioning of the hand and wrist is central for performing daily activities and for providing a higher degree of independence. Active exoskeletons can assist this functioning but require the accurate decoding of the users' motor intention. These methods have, however, never been systematically analyzed in the context of DMD. Methods: This case study evaluated direct control (DC) and pattern recognition (PR), combined with an admittance model. This enabled customization of myoelectric controllers to one DMD individual and to a control population of ten healthy participants during a target-reaching task in 1- and 2- degrees of freedom (DOF). We quantified real-time myocontrol performance using target reaching times and compared the differences between the healthy individuals and the DMD individual. Results and Discussion: Our findings suggest that despite the muscle tissue degeneration, the myocontrol performance of the DMD individual was comparable to that of the healthy individuals in both DOFs and with both control approaches. It was also evident that PR control performed better for the 2-DOF tasks for both DMD and healthy participants, while DC performed better for the 1-DOF tasks. The insights gained from this study can lead to further developments for the intuitive multi-DOF myoelectric control of active hand exoskeletons for individuals with DMD."
2022 Dec 6,Biofabrication,Biofabrication. 2022 Dec 6;15(1). doi: 10.1088/1758-5090/aca124.,"['Trikalitis, Vasileios D', 'Kroese, Niels J J', 'Kaya, Mert', 'Cofiño-Fabres, Carla', 'Ten Den, Simone', 'Khalil, Islam S M', 'Misra, Sarthak', 'Koopman, Bart F J M', 'Passier, Robert', 'Schwach, Verena', 'Rouwkema, Jeroen']","[' ink', 'suspensions', 'baths', ' bioprinting methods', 'printing, three-dimensional', 'hydrogels chemistry', 'tissue engineering', 'tissue scaffolds', '3d bioprinting', 'particles', 'tissue']",Embedded 3D printing of dilute particle suspensions into dense complex tissue fibers using shear thinning xanthan baths.,"In order to fabricate functional organoids and microtissues, a high cell density is generally required. As such, the placement of cell suspensions in molds or microwells to allow for cell concentration by sedimentation is the current standard for the production of organoids and microtissues. Even though molds offer some level of control over the shape of the resulting microtissue, this control is limited as microtissues tend to compact towards a sphere after sedimentation of the cells. 3D bioprinting on the other hand offers complete control over the shape of the resulting structure. Even though the printing of dense cell suspensions in the ink has been reported, extruding dense cellular suspensions is challenging and generally results in high shear stresses on the cells and a poor shape fidelity of the print. As such, additional materials such as hydrogels are added in the bioink to limit shear stresses, and to improve shape fidelity and resolution. The maximum cell concentration that can be incorporated in a hydrogel-based ink before the ink's rheological properties are compromised, is significantly lower than the concentration in a tissue equivalent. Additionally, the hydrogel components often interfere with cellular self-assembly processes. To circumvent these limitations, we report a simple and inexpensive xanthan bath based embedded printing method to 3D print dense functional linear tissues using dilute particle suspensions consisting of cells, spheroids, hydrogel beads, or combinations thereof. Using this method, we demonstrated the self-organization of functional cardiac tissue fibers with a layer of epicardial cells surrounding a body of cardiomyocytes."
2023 Jul,Disability and rehabilitation. Assistive technology,Disabil Rehabil Assist Technol. 2023 Jul;18(5):564-587. doi: ,"['Geers, Anoek M', 'Prinsen, Erik C', 'van der Pijl, Dick J', 'Bergsma, Arjen', 'Rietman, Johan S', 'Koopman, Bart F J M']","['humans', 'quality of life', ' wheelchairs', ' disabled persons', 'assistive devices', 'head movements', 'head position', 'head support', 'orthotic devices', 'sitting', 'wheelchairs']",Head support in wheelchairs (scoping review): state-of-the-art and beyond.,"BACKGROUND: Many wheelchair users experience disabilities in stabilising and positioning of the head. For these users, adequate head support is required. Although several types of head supports are available, further development of these systems is needed to improve functionality and quality of life, especially for the group of severely challenged users. For this group, user needs have not been clearly established. In this article, we provide an overview of the state-of-the-art in wheelchair mounted head supports and associated scientific evidence in order to identify requirements for the next generation of head support systems. MATERIALS AND METHODS: A scoping review was performed including scientific literature (PubMed/Scopus), patents (Espacenet/Google Scholar) and commercial information. Types of head support and important system characteristics for future head support systems were proposed from consultations with wheelchair users (n = 3), occupational therapists (n = 3) and an expert panel. RESULTS: Forty scientific papers, 90 patents and 80 descriptions of commercial devices were included in the scoping review. The identified head support systems were categorised per head support type. Only limited scientific clinical evidence with respect to the effectiveness of existing head support systems was found. From the user and expert consultations, a need was identified for personalised head support systems that intuitively combine changes in sitting and head position with continuous optimal support of the head to accommodate severely challenged users. CONCLUSIONS: This study presents the state-of-the-art in head support systems. Additionally, several important system characteristics are introduced that provide guidance for the development and improvement of head supports.Implications for rehabilitationEspecially for the group of severely challenged wheelchair users, current head support systems require further development to improve their users' quality of life.The desired system characteristics which are discussed in this review are an important step in the definition of requirements for the next generation of head supports."
2019,BMC biomedical engineering,BMC Biomed Eng. 2019 Dec 9;1:31. doi: 10.1186/s42490-019-0032-x. eCollection ,"['Verros, Stergios', 'Peeters, Laura', 'Bergsma, Arjen', 'Hekman, Edsko E G', 'Verkerke, Gijsbertus J', 'Koopman, Bart F J M']","['control interface', 'duchenne muscular dystrophy', 'trunk support']",Exploring physiological signals on people with Duchenne muscular dystrophy for an active trunk support: a case study.,"BACKGROUND: Arm support devices are available to support people with Duchenne muscular dystrophy (DMD), but active trunk support devices are lacking. An active trunk support device can potentially extend the reach of the arm and stabilize the unstable trunk of people with DMD. In a previous study, we showed that healthy people were able to control an active trunk support using four different control interfaces (based on joystick, force on feet, force on sternum and surface electromyography). All four control interfaces had different advantages and disadvantages. The aim of this study was to explore which of the four inputs is detectably used by people with DMD to control an active trunk support. RESULTS: The results were subject-dependent in both experiments. In the active experiment, the joystick was the most promising control interface. Regarding the static experiment, surface electromyography and force on feet worked for two out of the three subjects. CONCLUSIONS: To our knowledge, this is the first time that people with DMD have engaged in a control task using signals other than those related to their arm muscles. According to our findings, the control interfaces have to be customised to every DMD subject."
2020,Frontiers in neurology,Front Neurol. 2020 Apr 15;11:231. doi: 10.3389/fneur.2020.00231. eCollection ,"['Nizamis, Kostas', 'Rijken, Noortje H M', 'van Middelaar, Robbert', 'Neto, João', 'Koopman, Bart F J M', 'Sartori, Massimo']","['duchenne muscular dystrophy', 'forearm', 'hand', 'high-density surface electromyography', 'motor control', 'myocontrol', 'principal component analysis (pca)', 'wrist']",Characterization of Forearm Muscle Activation in Duchenne Muscular Dystrophy via High-Density Electromyography: A Case Study on the Implications for Myoelectric Control.,"Duchenne muscular dystrophy (DMD) is a genetic disorder that results in progressive muscular degeneration. Although medical advances increased their life expectancy, DMD individuals are still highly dependent on caregivers. Hand/wrist function is central for providing independence, and robotic exoskeletons are good candidates for effectively compensating for deteriorating functionality. Robotic hand exoskeletons require the accurate decoding of motor intention typically via surface electromyography (sEMG). Traditional low-density sEMG was used in the past to explore the muscular activations of individuals with DMD; however, it cannot provide high spatial resolution. This study characterized, for the first time, the forearm high-density (HD) electromyograms of three individuals with DMD while performing seven hand/wrist-related tasks and compared them to eight healthy individuals (all data available online). We looked into the spatial distribution of HD-sEMG patterns by using principal component analysis (PCA) and also assessed the repeatability and the amplitude distributions of muscle activity. Additionally, we used a machine learning approach to assess DMD individuals' potentials for myocontrol. Our analysis showed that although participants with DMD were able to repeat similar HD-sEMG patterns across gestures (similarly to healthy participants), a fewer number of electrodes was activated during their gestures compared to the healthy participants. Additionally, participants with DMD activated their muscles close to maximal contraction level (0.63 ± 0.23), whereas healthy participants had lower normalized activations (0.26 ± 0.2). Lastly, participants with DMD showed on average fewer PCs (3), explaining 90% of the complete gesture space than the healthy (5). However, the ability of the DMD participants to produce repeatable HD-sEMG patterns was unexpectedly comparable to that of healthy participants, and the same holds true for their offline myocontrol performance, disproving our hypothesis and suggesting a clear potential for the myocontrol of wearable exoskeletons. Our findings present evidence for the first time on how DMD leads to progressive alterations in hand/wrist motor control in DMD individuals compared to healthy. The better understanding of these alterations can lead to further developments for the intuitive and robust myoelectric control of active hand exoskeletons for individuals with DMD."
2020,PloS one,PLoS One. 2020 Jan 31;15(1):e0228128. doi: 10.1371/journal.pone.0228128. ,"['Nizamis, Kostas', 'Schutte, Wouter', 'Grutters, Jan J', 'Goseling, Jasper', 'Rijken, Noortje H M', 'Koopman, Bart F J M']","['adult', 'hand  physiopathology', 'humans', 'male', 'muscular dystrophy, duchenne  physiopathology', ' psychomotor performance', 'young adult']",Evaluation of the cognitive-motor performance of adults with Duchenne Muscular Dystrophy in a hand-related task.,"Duchenne muscular Dystrophy (DMD) is a progressive degenerative muscle disease, affecting, among others, the upper extremities. Effective hand rehabilitation can improve the hand function of people with DMD. To reach this goal, we first need to gain more insight into the hand cognitive-motor performance of people with DMD. This is the first study employing a systematic analysis on multi-finger, cognitive-motor performance of people with DMD. For this purpose, we propose an active dynamic visuo-motor task. The task employed six visual stimuli, a subset of which was activated at each trial. The stimuli were activated with a frequency of 1, 2, 3 and 4 Hz. Eight healthy participants and three participants with DMD performed the task. Additionally, the healthy participants performed seven sessions, and we assessed the training effects. Task-related cognitive-motor performance was evaluated using information transfer rate (ITR) and perceived workload. Regarding ITR, healthy participants performed significantly better than DMD participants; however, this was more evident for trials involving more than three fingers. Workload showed no difference between the healthy and the DMD groups. Healthy participants significantly improved their performance during training. Our results suggest that hand rehabilitation of people with DMD should consider multi-finger dynamic training. However, additional research with more people with DMD is needed for further generalization of our conclusions."
2019,PloS one,PLoS One. 2019 Apr 3;14(4):e0214645. doi: 10.1371/journal.pone.0214645. ,"['Verros, Stergios', 'Lucassen, Koen', 'Hekman, Edsko E G', 'Bergsma, Arjen', 'Verkerke, Gijsbertus J', 'Koopman, Bart F J M']","['activities of daily living', 'electromyography  methods', 'humans', 'learning', 'muscle, skeletal physiology', 'muscular dystrophy, duchenne', ' orthotic devices', 'torso']",Evaluation of intuitive trunk and non-intuitive leg sEMG control interfaces as command input for a 2-D Fitts's law style task.,"Duchenne muscular dystrophy (DMD) is a muscular condition that leads to muscle loss. Orthotic devices may present a solution for people with DMD to perform activities of daily living (ADL). One such device is the active trunk support but it needs a control interface to identify the user's intention. Myoelectric control interfaces can be used to detect the user's intention and consequently control an active trunk support. Current research on the control of orthotic devices that use surface electromyography (sEMG) signals as control inputs, focuses mainly on muscles that are directly linked to the movement being performed (intuitive control). However in some cases, it is hard to detect a proper sEMG signal (e.g., when there is significant amount of fat), which can result in poor control performance. A way to overcome this problem might be the introduction of other, non-intuitive forms of control. This paper presents an explorative study on the comparison and learning behavior of two different control interfaces, one using sEMG of trunk muscles (intuitive) and one using sEMG of leg muscles that can be potentially used for an active trunk support (non-intuitive). Six healthy subjects undertook a 2-D Fitts's law style task. They were asked to steer a cursor into targets that were radially distributed symmetrically in five directions. The results show that the subjects were generally able to learn to control the tasks using either of the control interfaces and improve their performance over time. Comparison of both control interfaces demonstrated that the subjects were able to learn the leg control interface task faster than the trunk control interface task. Moreover, the performance on the diagonal-targets was significantly lower compared to the one directional-targets for both control interfaces. Overall, the results show that the subjects were able to control a non-intuitive control interface with high performance. Moreover, the results indicate that the non-intuitive control may be a viable solution for controlling an active trunk support."
2018 Sep 25,"Sensors (Basel, Switzerland)",Sensors (Basel). 2018 Sep 25;18(10):3230. doi: 10.3390/s18103230.,"['Nizamis, Kostas', 'Rijken, Noortje H M', 'Mendes, Ana', 'Janssen, Mariska M H P', 'Bergsma, Arjen', 'Koopman, Bart F J M']","['adult', 'female', 'hand  physiology', 'humans', 'male', ' range of motion, articular', 'reproducibility of results', 'wrist  physiology', 'young adult', 'distal upper extremities', 'goniometer', 'hand', 'leap motion sensor', 'motion capture', 'range-of-motion', 'rehabilitation', 'wrist']",A Novel Setup and Protocol to Measure the Range of Motion of the Wrist and the Hand.,"The human hand is important for the performance of activities of daily living which are directly related to quality of life. Various conditions, such as Duchenne muscular dystrophy (DMD) can affect the function of the human hand and wrist. The ability to assess the impairment in the hand and the wrist by measuring the range of motion (ROM), is essential for the development of effective rehabilitation protocols. Currently the clinical standard is the goniometer. In this study we explore the feasibility and reliability of an optical sensor (Leap motion sensor) in measuring active hand/wrist ROM. We measured the hand/wrist ROM of 20 healthy adults with the goniometer and the Leap motion sensor, in order to check the agreement between the two methods and additionally, we performed a test-retest of the Leap motion sensor with 12 of them, to assess its reliability. The results suggest low agreement between the goniometer and the leap motion sensor, yet showing a large decrease in measurement time and high reliability when using the later. Despite the low agreement between the two methods, we believe that the Leap motion sensor shows potential to contribute to the development of hand rehabilitation protocols and be used with patients in a clinical setting."
2018 Nov,"Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",Knee Surg Sports Traumatol Arthrosc. 2018 Nov;26(11):3377-3385. doi: ,"['Marra, Marco A', 'Strzelczak, Marta', 'Heesterbeek, Petra J C', 'van de Groes, Sebastiaan A W', 'Janssen, Dennis', 'Koopman, Bart F J M', 'Verdonschot, Nico', 'Wymenga, Ate B']","['arthroplasty, replacement, knee  methods', 'biomechanical phenomena', ' computer simulation', 'humans', ' knee prosthesis', 'ligaments, articular physiology', 'patellar ligament physiology', 'patellofemoral joint  physiology', ' prosthesis design', 'quadriceps muscle physiology', 'range of motion, articular physiology', 'alignment', 'biomechanics', 'cr', 'chair', 'component', 'femoral', 'flexion', 'force', 'model', 'musculoskeletal', 'patellofemoral', 'posterior-referencing', 'quadriceps', 'rising', 'sagittal', 'tka', 'total knee arthroplasty', 'total knee replacement']",Flexing and downsizing the femoral component is not detrimental to patellofemoral biomechanics in posterior-referencing cruciate-retaining total knee arthroplasty.,"PURPOSE: When downsizing the femoral component to prevent mediolateral overhang, notching of the anterior femoral cortex may occur, which could be solved by flexing the femoral component. In this study, we investigated the effect of flexion of the femoral component on patellar tendon moment arm, patellofemoral forces and kinematics in posterior-referencing CR-TKA. Our hypothesis was that flexion of the femoral component increases the patellar tendon moment arm, reduces the patellofemoral forces and provides stable kinematics. METHODS: A validated musculoskeletal model of CR-TKA was used. The flexion of the femoral component was increased in four steps (0°, 3°, 6°, 9°) using posterior referencing, and different alignments were analysed in combination with three implant sizes (3, 4, 5). A chair-rising trial was analysed using the model, while simultaneously estimating quadriceps muscle force, patellofemoral contact force, tibiofemoral and patellofemoral kinematics. RESULTS: Compared to the reference case (size 4 and 0° flexion), for every 3° of increase in flexion of the femoral component the patellar tendon moment arm increased by 1% at knee extension. The peak quadriceps muscle force and patellofemoral contact force decreased by 2%, the patella shifted 0.8 mm more anteriorly and the remaining kinematics remained stable, with knee flexion. With the smaller size, the patellar tendon moment arm decreased by 6%, the quadriceps muscle force and patellofemoral contact force increased by 8 and 12%, and the patellar shifted 5 mm more posteriorly. Opposite trends were found with the bigger size. CONCLUSION: Flexing the femoral component with posterior referencing reduced the patellofemoral contact forces during a simulated chair-rising trial with a patient-specific musculoskeletal model of CR-TKA. There seems to be little risk when flexing and downsizing the femoral component, compared to when using a bigger size and neutral alignment. These findings provide relevant information to surgeons who wish to prevent anterior notching when downsizing the femoral component."
2017 Aug 29,Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil. 2017 Aug 29;14(1):86. doi: 10.1186/s12984-017-0292-4.,"['Lobo-Prat, Joan', 'Janssen, Mariska M H P', 'Koopman, Bart F J M', 'Stienen, Arno H A', 'de Groot, Imelda J M']","['elbow physiology', ' electromyography', 'humans', 'isometric contraction', 'male', 'movement', 'muscle, skeletal physiopathology', 'muscular dystrophy, duchenne  physiopathology', 'orthotic devices', 'quality of life', 'robotics', 'signal processing, computer-assisted', 'signal-to-noise ratio', 'young adult', 'assistive device', 'control interface', 'duchenne', 'surface electromyography (semg)', 'upper extremity']",Surface EMG signals in very late-stage of Duchenne muscular dystrophy: a case study.,"BACKGROUND: Robotic arm supports aim at improving the quality of life for adults with Duchenne muscular dystrophy (DMD) by augmenting their residual functional abilities. A critical component of robotic arm supports is the control interface, as is it responsible for the human-machine interaction. Our previous studies showed the feasibility of using surface electromyography (sEMG) as a control interface to operate robotic arm supports in adults with DMD (22-24 years-old). However, in the biomedical engineering community there is an often raised skepticism on whether adults with DMD at the last stage of their disease have sEMG signals that can be measured and used for control. FINDINGS: In this study sEMG signals from Biceps and Triceps Brachii muscles were measured for the first time in a 37 year-old man with DMD (Brooke 6) that lost his arm function 15 years ago. The sEMG signals were measured during maximal and sub-maximal voluntary isometric contractions and evaluated in terms of signal-to-noise ratio and co-activation ratio. Beyond the profound deterioration of the muscles, we found that sEMG signals from both Biceps and Triceps muscles were measurable in this individual, although with a maximum signal amplitude 100 times lower compared to sEMG from healthy subjects. The participant was able to voluntarily modulate the required level of muscle activation during the sub-maximal voluntary isometric contractions. Despite the low sEMG amplitude and a considerable level of muscle co-activation, simulations of an elbow orthosis using the measured sEMG as driving signal indicated that the sEMG signals of the participant had the potential to provide control of elbow movements. CONCLUSIONS: To the best of our knowledge this is the first time that sEMG signals from a man with DMD at the last-stage of the disease were measured, analyzed and reported. These findings offer promising perspectives to the use of sEMG as an intuitive and natural control interface for robotic arm supports in adults with DMD until the last stage of the disease."
